actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
17,PT10M54.00S,2026-03-04T00:45:10.1Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,2,0,2026-03-04T00:45:10Z,170000,False,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
18,PT10M43.00S,2026-03-04T00:45:22.7Z,1,REGULAR,turnover,bad pass,[],1642849,,,1610612751,2,0,2026-03-04T00:45:27Z,180000,False,,,0,,N. Traore bad pass TURNOVER (1 TO),"[1642849, 1628389]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Adebayo,1628389.0,,,,,
19,PT10M43.00S,2026-03-04T00:45:22.7Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,0,2026-03-04T00:45:24Z,190000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M38.00S,2026-03-04T00:45:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641796,6.521024967148489,45.34313725490196,1610612748,2,0,2026-03-04T00:45:34Z,200000,False,23.0,9.0,1,left,MISS P. Larsson running Layup,[1641796],1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,2.49,Missed,,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2026-03-04T00:45:31.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,2,0,2026-03-04T00:45:31Z,210000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M33.00S,2026-03-04T00:45:31.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,5.590000152587891,50.0,1610612748,4,0,2026-03-04T00:45:55Z,220000,False,0.0,0.0,1,left,B. Adebayo tip Layup (2 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,2.0,,,,,,,,
23,PT10M18.00S,2026-03-04T00:45:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,91.93495400788436,50.73529411764706,1610612751,4,0,2026-03-04T00:45:53Z,230000,False,4.0,23.0,1,right,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 203952]",1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,Wiggins,203952.0,,,
24,PT10M18.00S,2026-03-04T00:45:46.8Z,1,REGULAR,block,,[],203952,,,1610612751,4,0,2026-03-04T00:45:49Z,240000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M15.00S,2026-03-04T00:45:49.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,4,0,2026-03-04T00:45:53Z,250000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT10M09.00S,2026-03-04T00:45:56.7Z,1,REGULAR,3pt,Jump Shot,[],203952,31.225361366622867,29.166666666666668,1610612748,7,0,2026-03-04T00:46:02Z,260000,False,104.0,241.0,1,left,A. Wiggins 26' 3PT step back (3 PTS) (D. Mitchell 1 AST),"[203952, 1630558]",1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,26.26,Made,,,,,,,,,,3.0,,,,,,D. Mitchell,1630558.0,1.0
28,PT09M51.00S,2026-03-04T00:46:14.1Z,1,REGULAR,turnover,bad pass,[],1642849,,,1610612751,7,0,2026-03-04T00:46:18Z,280000,False,,,0,,N. Traore bad pass TURNOVER (2 TO),"[1642849, 1628389]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,Adebayo,1628389.0,,,,,
29,PT09M51.00S,2026-03-04T00:46:14.1Z,1,REGULAR,steal,,[],1628389,,,1610612748,7,0,2026-03-04T00:46:16Z,290000,False,,,0,,B. Adebayo STEAL (2 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
30,PT09M47.00S,2026-03-04T00:46:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629639,6.521024967148489,46.32352941176471,1610612748,7,0,2026-03-04T00:46:25Z,300000,False,18.0,9.0,1,left,MISS T. Herro running Layup,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.04,Missed,,,,,,,,,,,,,,,,,,
31,PT09M44.00S,2026-03-04T00:46:21.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,0,2026-03-04T00:46:21Z,310000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M38.00S,2026-03-04T00:46:27.4Z,1,REGULAR,3pt,Jump Shot,[],1642849,67.49342969776609,50.49019607843137,1610612751,7,3,2026-03-04T00:46:33Z,320000,False,2.0,253.0,1,right,N. Traore 25' 3PT  (3 PTS) (M. Porter Jr. 1 AST),"[1642849, 1629008]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Center,25.31,Made,,,,,,,,,,3.0,,,,,,M. Porter Jr.,1629008.0,1.0
34,PT09M24.00S,2026-03-04T00:46:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,5.863994743758213,51.9607843137255,1610612748,9,3,2026-03-04T00:46:47Z,340000,False,-10.0,3.0,1,left,B. Adebayo driving reverse Layup (4 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,,,,4.0,,,,,,P. Larsson,1641796.0,1.0
36,PT09M05.00S,2026-03-04T00:47:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642849,93.77463863337714,51.470588235294116,1610612751,9,5,2026-03-04T00:47:04Z,360000,False,7.0,6.0,1,right,N. Traore driving floating bank Jump Shot (5 PTS),[1642849],1610612751.0,BKN,driving floating bank,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,,,,5.0,,,,,,,,
37,PT08M50.00S,2026-03-04T00:47:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,11.514454664914586,49.50980392156863,1610612748,11,5,2026-03-04T00:47:21Z,370000,False,2.0,56.0,1,left,B. Adebayo finger roll Layup (6 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,finger roll,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.58,Made,,,,,,,,,,6.0,,,,,,T. Herro,1629639.0,1.0
39,PT08M22.00S,2026-03-04T00:47:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,80.3712220762155,58.82352941176471,1610612751,11,7,2026-03-04T00:47:48Z,390000,False,44.0,132.0,1,right,T. Mann 13' turnaround fadeaway Jump Shot (2 PTS),[1629611],1610612751.0,BKN,turnaround fadeaway,,,Mann,T. Mann,,,,,In The Paint (Non-RA),8-16 Center,13.92,Made,,,,,,,,,,2.0,,,,,,,,
40,PT08M15.00S,2026-03-04T00:47:50.3Z,1,REGULAR,3pt,Jump Shot,[],1628389,26.62614980289093,87.99019607843137,1610612748,11,7,2026-03-04T00:47:56Z,400000,False,-190.0,198.0,1,left,MISS B. Adebayo 27' pullup 3PT,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,27.43,Missed,,,,,,,,,,,,,,,,,,
41,PT08M12.00S,2026-03-04T00:47:53.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,11,7,2026-03-04T00:47:56Z,410000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M05.00S,2026-03-04T00:47:59.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629651,93.51182654402102,54.41176470588235,1610612751,11,7,2026-03-04T00:48:07Z,420000,False,22.0,8.0,1,right,MISS N. Claxton running Layup,[1629651],1610612751.0,BKN,running,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
43,PT08M00.00S,2026-03-04T00:48:04.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,11,7,2026-03-04T00:48:07Z,430000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M58.00S,2026-03-04T00:48:07.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641796,23.209592641261498,86.02941176470588,1610612748,11,7,2026-03-04T00:48:47Z,440000,False,-180.0,166.0,1,left,MISS P. Larsson 24' running 3PT,[1641796],1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,24.47,Missed,,,,,,,,,,,,,,,,,,
45,PT07M51.00S,2026-03-04T00:48:14.1Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,11,7,2026-03-04T00:48:15Z,450000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT07M48.00S,2026-03-04T00:48:17.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,89.17542706964521,94.85294117647058,1610612751,11,7,2026-03-04T00:49:00Z,460000,False,224.0,49.0,1,right,MISS M. Porter Jr. running 3PT,[1629008],1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,22.97,Missed,,,,,,,,,,,,,,,,,,
47,PT07M44.00S,2026-03-04T00:48:21.2Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,11,7,2026-03-04T00:48:24Z,470000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Right Corner 3,24+ Right,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M40.00S,2026-03-04T00:48:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,6.258212877792378,51.71568627450981,1610612748,13,7,2026-03-04T00:48:39Z,480000,False,-9.0,6.0,1,left,B. Adebayo running Layup (8 PTS) (P. Larsson 2 AST),"[1628389, 1641796]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,,,8.0,,,,,,P. Larsson,1641796.0,2.0
50,PT07M39.00S,2026-03-04T00:48:31.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,13,7,2026-03-04T00:48:31Z,500000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2026-03-04T00:51:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,88.25558475689881,47.30392156862745,1610612751,13,9,2026-03-04T00:51:55Z,510000,False,-13.0,58.0,1,right,N. Clowney driving floating Jump Shot (2 PTS) (N. Claxton 1 AST),"[1641730, 1629651]",1610612751.0,BKN,driving floating,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,,,,,,,,,,2.0,,,,,,N. Claxton,1629651.0,1.0
53,PT06M55.00S,2026-03-04T00:52:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,5.995400788436268,52.94117647058824,1610612748,13,9,2026-03-04T00:52:18Z,530000,False,-15.0,4.0,1,left,MISS P. Larsson driving Layup,[1641796],1610612748.0,MIA,driving,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,1.52,Missed,,,,,,,,,,,,,,,,,,
54,PT06M55.00S,2026-03-04T00:52:13.4Z,1,REGULAR,rebound,offensive,[],203952,,,1610612748,13,9,2026-03-04T00:52:18Z,540000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:2),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,,,
55,PT06M55.00S,2026-03-04T00:52:16.7Z,1,REGULAR,foul,personal,['2freethrow'],1642849,,,1610612748,13,9,2026-03-04T00:52:33Z,550000,False,,,0,,N. Traore shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1642849, 203952]",1610612751.0,BKN,shooting,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
57,PT06M55.00S,2026-03-04T00:52:44.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203952,,,1610612748,14,9,2026-03-04T00:52:44Z,570000,False,,,0,,A. Wiggins Free Throw 1 of 2 (4 PTS),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
58,PT06M55.00S,2026-03-04T00:53:03.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203952,,,1610612748,15,9,2026-03-04T00:53:03Z,580000,False,,,0,,A. Wiggins Free Throw 2 of 2 (5 PTS),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
59,PT06M45.00S,2026-03-04T00:53:19.6Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612751,15,9,2026-03-04T00:53:45Z,590000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Clowney 2 FT),"[1629639, 1641730]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,1.0,0.0,Clowney,1641730.0,,,,,,,,,
61,PT06M45.00S,2026-03-04T00:53:45.6Z,1,REGULAR,freethrow,1 of 2,[],1641730,,,1610612751,15,10,2026-03-04T00:53:45Z,610000,False,,,0,,N. Clowney Free Throw 1 of 2 (3 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
62,PT06M45.00S,2026-03-04T00:53:59.2Z,1,REGULAR,freethrow,2 of 2,[],1641730,,,1610612751,15,11,2026-03-04T00:53:59Z,620000,False,,,0,,N. Clowney Free Throw 2 of 2 (4 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
63,PT06M30.00S,2026-03-04T00:54:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,5.469776609724048,51.9607843137255,1610612748,17,11,2026-03-04T00:54:21Z,630000,False,-10.0,-1.0,1,left,D. Mitchell driving finger roll Layup (2 PTS),[1630558],1610612748.0,MIA,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.99,Made,,,,,,,,,,2.0,,,,,,,,
64,PT06M21.00S,2026-03-04T00:54:26.1Z,1,REGULAR,turnover,bad pass,[],1642849,,,1610612751,17,11,2026-03-04T00:54:29Z,640000,False,,,0,,N. Traore bad pass TURNOVER (3 TO),"[1642849, 1628389]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,3.0,Adebayo,1628389.0,,,,,
65,PT06M21.00S,2026-03-04T00:54:26.1Z,1,REGULAR,steal,,[],1628389,,,1610612748,17,11,2026-03-04T00:54:28Z,650000,False,,,0,,B. Adebayo STEAL (3 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
66,PT06M17.00S,2026-03-04T00:54:32.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,10.463206307490145,50.73529411764706,1610612748,17,11,2026-03-04T00:57:09Z,660000,False,-4.0,46.0,1,left,MISS B. Adebayo running Layup - blocked,"[1628389, 1629651]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,,,,,,,,,,,,,Claxton,1629651.0,,,
67,PT06M17.00S,2026-03-04T00:54:32.2Z,1,REGULAR,block,,[],1629651,,,1610612748,17,11,2026-03-04T00:54:34Z,670000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M17.00S,2026-03-04T00:54:32.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,17,11,2026-03-04T00:54:38Z,680000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,66.0,,,,,,,,,,,,,,,,,
70,PT06M17.00S,2026-03-04T00:54:38.4Z,1,REGULAR,substitution,out,[],1628389,,,1610612751,17,11,2026-03-04T00:54:48Z,700000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2026-03-04T00:54:38.4Z,1,REGULAR,substitution,out,[],1641796,,,1610612751,17,11,2026-03-04T00:54:48Z,710000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M17.00S,2026-03-04T00:54:38.4Z,1,REGULAR,substitution,out,[],1642849,,,1610612751,17,11,2026-03-04T00:54:48Z,720000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2026-03-04T00:54:38.4Z,1,REGULAR,substitution,in,[],1642276,,,1610612751,17,11,2026-03-04T00:54:48Z,730000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M17.00S,2026-03-04T00:54:38.4Z,1,REGULAR,substitution,in,[],1631170,,,1610612751,17,11,2026-03-04T00:54:48Z,740000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M17.00S,2026-03-04T00:54:38.4Z,1,REGULAR,substitution,in,[],1642879,,,1610612751,17,11,2026-03-04T00:54:48Z,750000,False,,,0,,SUB in: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M05.00S,2026-03-04T00:55:05.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,80.50262812089356,63.48039215686274,1610612751,17,13,2026-03-04T00:55:40Z,760000,False,67.0,131.0,1,right,M. Porter Jr. 14' fadeaway Jump Shot (2 PTS) (N. Claxton 2 AST),"[1629008, 1629651]",1610612751.0,BKN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,14.71,Made,,,,,,,,,,2.0,,,,,,N. Claxton,1629651.0,2.0
78,PT05M52.00S,2026-03-04T00:55:19.3Z,1,REGULAR,3pt,Jump Shot,[],203952,31.750985545335087,38.48039215686275,1610612748,17,13,2026-03-04T01:56:17Z,780000,False,58.0,246.0,1,left,MISS A. Wiggins 25' step back 3PT,[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
79,PT05M50.00S,2026-03-04T00:55:21.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,17,13,2026-03-04T00:55:26Z,790000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,78.0,,,,,,,,,,,,,,,,,
81,PT05M31.00S,2026-03-04T00:55:44.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,90.88370565045992,37.254901960784316,1610612751,17,13,2026-03-04T00:55:49Z,810000,False,-64.0,33.0,1,right,MISS N. Claxton 7' turnaround Hook,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,7.18,Missed,,,,,,,,,,,,,,,,,,
82,PT05M27.00S,2026-03-04T00:55:48.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,17,13,2026-03-04T00:55:49Z,820000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:3),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,81.0,4.0,3.0,1.0,,,,,,,,,,,,,,
