actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
39,PT09M02.00S,2025-11-20T00:46:24.4Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,10,4,2025-11-20T00:46:48Z,390000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,
40,PT09M02.00S,2025-11-20T00:46:28.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,10,4,2025-11-20T00:46:41Z,400000,False,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,2714.0,,,,,,,,,
41,PT08M47.00S,2025-11-20T00:46:53.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,78.66294349540078,7.107843137254902,1610612748,10,4,2025-11-20T00:48:49Z,410000,False,-214.0,148.0,1,right,MISS N. Powell 26' pullup 3PT,[1626181],1610612748.0,MIA,pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,26.07,Missed,,,,,,,,,,,,,,,,,,
42,PT08M45.00S,2025-11-20T00:46:55.8Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,10,4,2025-11-20T00:46:59Z,420000,False,,,0,,T. Jackson-Davis REBOUND (Off:1 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Above the Break 3,24+ Left Center,,,,41.0,3.0,2.0,1.0,,,,,,,,,,,,,
43,PT08M44.00S,2025-11-20T00:46:59.9Z,1,REGULAR,foul,personal,[],1630558,,,1610612744,10,4,2025-11-20T00:47:06Z,430000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1641764]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2714.0,1.0,0.0,Podziemski,1641764.0,,,,,
45,PT08M33.00S,2025-11-20T00:47:45.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,10,4,2025-11-20T00:47:45Z,450000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M18.00S,2025-11-20T00:50:59.9Z,1,REGULAR,2pt,Jump Shot,[],1641764,12.87779237844941,32.17294730392157,1610612744,10,4,2025-11-20T00:51:06Z,460000,False,89.0,69.0,1,left,MISS B. Podziemski 11' Jump Shot - blocked,"[1641764, 203952]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,8-16 Right,11.24,Missed,,,,,,,,,,,,,,Wiggins,203952.0,,,
47,PT08M18.00S,2025-11-20T00:50:59.9Z,1,REGULAR,block,,[],203952,,,1610612744,10,4,2025-11-20T00:51:02Z,470000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
48,PT08M15.00S,2025-11-20T00:51:02.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,10,4,2025-11-20T00:51:06Z,480000,False,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Mid-Range,8-16 Right,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT08M03.00S,2025-11-20T00:51:14.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,70.90998685939553,80.88235294117648,1610612748,10,4,2025-11-20T00:51:19Z,490000,False,154.0,221.0,1,right,MISS N. Powell 26' 3PT,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,26.95,Missed,,,,,,,,,,,,,,,,,,
50,PT08M00.00S,2025-11-20T00:51:17.7Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,10,4,2025-11-20T00:51:19Z,500000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M40.00S,2025-11-20T00:51:41.7Z,1,REGULAR,3pt,Jump Shot,[],1642954,30.042706964520367,4.411764705882353,1610612744,10,4,2025-11-20T00:52:21Z,510000,False,228.0,230.0,1,left,MISS W. Richard 32' pullup 3PT,[1642954],1610612744.0,GSW,pullup,,,Richard,W. Richard,,,,,Above the Break 3,24+ Right Center,32.37,Missed,,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2025-11-20T00:51:43.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,10,4,2025-11-20T00:52:01Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,51.0,,,,,,,,,,,,,,,,
53,PT07M38.00S,2025-11-20T00:51:46.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,10,4,2025-11-20T00:51:55Z,530000,False,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627962.0,,,,,,,,,
54,PT07M30.00S,2025-11-20T00:52:03.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,66.04796320630749,47.05882352941176,1610612748,13,4,2025-11-20T00:52:08Z,540000,False,-15.0,267.0,1,right,A. Wiggins 26' 3PT  (5 PTS) (D. Mitchell 2 AST),"[203952, 1630558]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,26.7,Made,5.0,,,,,D. Mitchell,1630558.0,2.0,,,,,,,,,,
56,PT07M08.00S,2025-11-20T00:52:25.2Z,1,REGULAR,3pt,Jump Shot,[],1630611,12.171484888304862,98.0392156862745,1610612744,13,4,2025-11-20T00:52:30Z,560000,False,-240.0,62.0,1,left,MISS G. Santos 24' 3PT,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Left Corner 3,24+ Left,24.8,Missed,,,,,,,,,,,,,,,,,,
57,PT07M05.00S,2025-11-20T00:52:28.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,13,4,2025-11-20T00:52:30Z,570000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,56.0,3.0,3.0,0.0,,,,,,,,,,,,,
59,PT06M56.00S,2025-11-20T00:52:58.0Z,1,REGULAR,foul,personal,['2freethrow'],1630611,,,1610612748,13,4,2025-11-20T00:53:08Z,590000,False,,,0,,G. Santos shooting personal FOUL (1 PF) (Larsson 2 FT),"[1630611, 1641796]",1610612744.0,GSW,shooting,,,Santos,G. Santos,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1627962.0,1.0,0.0,Larsson,1641796.0,,,,,
61,PT06M56.00S,2025-11-20T00:53:15.2Z,1,REGULAR,freethrow,1 of 2,[],1641796,,,1610612748,13,4,2025-11-20T00:53:28Z,610000,False,,,0,,MISS P. Larsson Free Throw 1 of 2,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
66,PT06M56.00S,2025-11-20T00:53:15.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,13,4,2025-11-20T00:53:28Z,615000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,
62,PT06M56.00S,2025-11-20T00:53:15.8Z,1,REGULAR,substitution,out,[],1630611,,,1610612748,13,4,2025-11-20T00:53:26Z,620000,False,,,0,,SUB out: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M56.00S,2025-11-20T00:53:15.8Z,1,REGULAR,substitution,out,[],1630541,,,1610612748,13,4,2025-11-20T00:53:26Z,630000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2025-11-20T00:53:15.8Z,1,REGULAR,substitution,in,[],1627741,,,1610612748,13,4,2025-11-20T00:53:26Z,640000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2025-11-20T00:53:15.8Z,1,REGULAR,substitution,in,[],1627780,,,1610612748,13,4,2025-11-20T00:53:26Z,650000,False,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M56.00S,2025-11-20T00:53:15.2Z,1,REGULAR,freethrow,2 of 2,[],1641796,,,1610612748,14,4,2025-11-20T00:53:35Z,660000,False,,,0,,P. Larsson Free Throw 2 of 2 (4 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
68,PT06M36.00S,2025-11-20T00:53:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,5.732588699080158,53.18627450980392,1610612744,14,4,2025-11-20T00:53:56Z,670000,False,-16.0,1.0,1,left,MISS B. Podziemski driving Layup - blocked,"[1641764, 1628389]",1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,,,,,,Adebayo,1628389.0,,,
116,PT06M36.00S,2025-11-20T00:53:48.8Z,1,REGULAR,block,,[],1628389,,,1610612744,14,4,2025-11-20T00:58:02Z,675000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2025-11-20T00:53:50.8Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,14,4,2025-11-20T00:53:56Z,680000,False,,,0,,T. Jackson-Davis REBOUND (Off:2 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,,68.0,4.0,2.0,2.0,,,,,,,,,,,,,
70,PT06M30.00S,2025-11-20T00:53:54.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627741,14.011169513797633,3.1862745098039214,1610612744,14,4,2025-11-20T00:53:58Z,690000,False,234.0,79.0,1,left,MISS B. Hield 24' 3PT,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Right Corner 3,24+ Right,24.71,Missed,,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2025-11-20T00:53:54.3Z,1,REGULAR,rebound,offensive,[],1631218,,,1610612744,14,4,2025-11-20T00:53:58Z,700000,False,,,0,,T. Jackson-Davis REBOUND (Off:3 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Right Corner 3,24+ Right,,,,70.0,5.0,2.0,3.0,,,,,,,,,,,,,
72,PT06M30.00S,2025-11-20T00:53:58.8Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612744,14,4,2025-11-20T00:54:05Z,710000,False,,,0,,A. Wiggins shooting personal FOUL (2 PF) (Jackson-Davis 2 FT),"[203952, 1631218]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2714.0,2.0,0.0,Jackson-Davis,1631218.0,,,,,
74,PT06M30.00S,2025-11-20T00:54:31.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631218,,,1610612744,14,4,2025-11-20T00:54:56Z,730000,False,,,0,,MISS T. Jackson-Davis Free Throw 1 of 2,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M30.00S,2025-11-20T00:54:31.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612744,14,4,2025-11-20T00:54:56Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,
76,PT06M30.00S,2025-11-20T00:54:32.5Z,1,REGULAR,substitution,out,[],203952,,,1610612744,14,4,2025-11-20T00:54:35Z,750000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M30.00S,2025-11-20T00:54:32.5Z,1,REGULAR,substitution,in,[],1631170,,,1610612744,14,4,2025-11-20T00:54:35Z,760000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M30.00S,2025-11-20T00:54:31.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631218,,,1610612744,14,4,2025-11-20T00:54:56Z,770000,False,,,0,,MISS T. Jackson-Davis Free Throw 2 of 2,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
79,PT06M26.00S,2025-11-20T00:54:35.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,14,4,2025-11-20T00:54:56Z,780000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,
80,PT06M22.00S,2025-11-20T00:54:54.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628389,65.1281208935611,39.950980392156865,1610612748,17,4,2025-11-20T00:55:44Z,790000,False,-50.0,275.0,1,right,B. Adebayo 27' 3PT running pullup (3 PTS) (J. Jaquez Jr. 1 AST),"[1628389, 1631170]",1610612748.0,MIA,running pullup,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,27.98,Made,3.0,,,,,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,,,
82,PT06M05.00S,2025-11-20T00:55:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627780,17.16491458607096,46.81372549019608,1610612744,17,4,2025-11-20T00:55:16Z,810000,False,16.0,109.0,1,left,MISS G. Payton II 11' driving floating Shot,[1627780],1610612744.0,GSW,driving floating,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),8-16 Center,11.01,Missed,,,,,,,,,,,,,,,,,,
83,PT06M02.00S,2025-11-20T00:55:13.6Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,17,4,2025-11-20T00:55:16Z,820000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,
