actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M40.00S,2026-03-08T22:13:11.4Z,1,REGULAR,rebound,offensive,[],1631204,,,1610612765,2,2,2026-03-08T22:13:11Z,150000,False,,,0,,M. Sasser REBOUND (Off:1 Def:0),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Left Corner 3,24+ Left,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,
17,PT10M30.00S,2026-03-08T22:13:21.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631105,86.15308804204993,13.480392156862745,1610612765,2,2,2026-03-08T22:13:27Z,160000,False,-183.0,78.0,1,right,MISS J. Duren 19' Jump Shot,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left,,19.84,Missed,,,,,,,,,,,,,,,,,
18,PT10M26.00S,2026-03-08T22:13:25.1Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,2,2,2026-03-08T22:13:27Z,170000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,
19,PT10M15.00S,2026-03-08T22:13:36.1Z,1,REGULAR,3pt,Jump Shot,[],1629639,8.09789750328515,5.147058823529411,1610612748,2,2,2026-03-08T22:13:43Z,180000,False,224.0,24.0,1,left,MISS T. Herro 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,,22.55,Missed,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2026-03-08T22:13:40.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,2,2026-03-08T22:13:43Z,190000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M04.00S,2026-03-08T22:13:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630595,65.65374507227332,60.5392156862745,1610612765,2,2,2026-03-08T22:13:56Z,200000,False,53.0,270.0,1,right,MISS C. Cunningham 27' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,27.55,Missed,,,,,,,,,,,,,,,,,
22,PT09M58.00S,2026-03-08T22:13:54.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2026-03-08T22:13:56Z,210000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT09M52.00S,2026-03-08T22:14:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1631204,,,1610612748,2,2,2026-03-08T22:14:19Z,220000,False,,,0,,M. Sasser shooting personal FOUL (1 PF) (Herro 2 FT),"[1631204, 1629639]",1610612765.0,DET,shooting,,,Sasser,M. Sasser,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,203593.0,1.0,0.0,Herro,1629639.0,,,,
25,PT09M52.00S,2026-03-08T22:14:35.8Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,3,2,2026-03-08T22:14:35Z,240000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
26,PT09M52.00S,2026-03-08T22:14:59.1Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,4,2,2026-03-08T22:14:59Z,250000,False,,,0,,T. Herro Free Throw 2 of 2 (2 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
27,PT09M45.00S,2026-03-08T22:15:11.2Z,1,REGULAR,foul,personal,[],1630558,,,1610612765,4,2,2026-03-08T22:16:23Z,260000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1630595]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,203593.0,1.0,0.0,Cunningham,1630595.0,,,,
29,PT09M38.00S,2026-03-08T22:15:38.7Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,4,2,2026-03-08T22:15:43Z,280000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1629639]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,1.0,,,,,,,,,,,,,,,,Herro,1629639.0,,
30,PT09M38.00S,2026-03-08T22:15:38.7Z,1,REGULAR,steal,,[],1629639,,,1610612748,4,2,2026-03-08T22:15:41Z,290000,False,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
31,PT09M35.00S,2026-03-08T22:15:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612748,4,2,2026-03-08T22:15:55Z,300000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Larsson 2 FT),"[1629130, 1641796]",1610612765.0,DET,shooting,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Larsson,1641796.0,,,,
33,PT09M35.00S,2026-03-08T22:16:13.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641796,,,1610612748,5,2,2026-03-08T22:16:13Z,320000,False,,,0,,P. Larsson Free Throw 1 of 2 (1 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
34,PT09M35.00S,2026-03-08T22:16:30.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641796,,,1610612748,6,2,2026-03-08T22:16:30Z,330000,False,,,0,,P. Larsson Free Throw 2 of 2 (2 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
36,PT09M17.00S,2026-03-08T22:17:01.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,76.95466491458606,41.911764705882355,1610612765,6,2,2026-03-08T22:17:12Z,350000,False,-40.0,164.0,1,right,MISS C. Cunningham 16' step back Shot,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Center,,16.9,Missed,,,,,,,,,,,,,,,,,
37,PT09M15.00S,2026-03-08T22:17:03.2Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,6,2,2026-03-08T22:19:28Z,360000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Mid-Range,16-24 Center,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
38,PT09M06.00S,2026-03-08T22:17:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642066,9.149145860709593,42.64705882352941,1610612748,8,2,2026-03-08T22:19:35Z,370000,False,37.0,34.0,1,left,M. Gardner driving Layup (2 PTS) (P. Larsson 1 AST),"[1642066, 1641796]",1610612748.0,MIA,driving,,,Gardner,M. Gardner,,,,,In The Paint (Non-RA),0-8 Center,,4.98,Made,2.0,P. Larsson,1641796.0,1.0,,,,,,,,,,,,,
39,PT08M48.00S,2026-03-08T22:17:29.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202699,89.35611038107753,48.8357843137255,1610612765,8,2,2026-03-08T22:20:34Z,380000,False,-6.0,48.0,1,right,MISS T. Harris driving Hook,[202699],1610612765.0,DET,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,4.8,Missed,,,,,,,,,,,,,,,,,
40,PT08M47.00S,2026-03-08T22:17:30.4Z,1,REGULAR,rebound,defensive,[],1642066,,,1610612748,8,2,2026-03-09T01:21:36Z,390000,False,,,0,,M. Gardner REBOUND (Off:0 Def:1),[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
42,PT08M35.00S,2026-03-08T22:17:42.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,12.565703022339028,52.20588235294118,1610612748,10,2,2026-03-08T22:17:55Z,400000,False,-11.0,66.0,1,left,B. Adebayo 6' driving Hook (2 PTS) (M. Gardner 1 AST),"[1628389, 1642066]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,6.65,Made,2.0,M. Gardner,1642066.0,1.0,,,,,,,,,,,,,
43,PT08M34.00S,2026-03-08T22:17:49.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,10,2,2026-03-08T22:17:49Z,410000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M21.00S,2026-03-08T22:21:07.5Z,1,REGULAR,3pt,Jump Shot,[],202699,88.91261498028909,97.30392156862744,1610612765,10,2,2026-03-08T22:21:13Z,420000,False,237.0,52.0,1,right,MISS T. Harris 24' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,24.21,Missed,,,,,,,,,,,,,,,,,
45,PT08M16.00S,2026-03-08T22:21:12.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,10,2,2026-03-08T22:21:13Z,430000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,
46,PT08M03.00S,2026-03-08T22:21:23.8Z,1,REGULAR,3pt,Jump Shot,[],1628389,5.469776609724048,95.34313725490196,1610612748,13,2,2026-03-08T22:21:29Z,440000,False,-227.0,-1.0,1,left,B. Adebayo 3PT  (5 PTS) (D. Mitchell 1 AST),"[1628389, 1630558]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,22.67,Made,5.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,
48,PT07M45.00S,2026-03-08T22:21:43.6Z,1,REGULAR,foul,personal,['2freethrow'],1642066,,,1610612765,13,2,2026-03-08T22:21:58Z,460000,False,,,0,,M. Gardner shooting personal FOUL (1 PF) (Harris 2 FT),"[1642066, 202699]",1610612748.0,MIA,shooting,,,Gardner,M. Gardner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1627961.0,1.0,0.0,Harris,202699.0,,,,
50,PT07M45.00S,2026-03-08T22:22:11.8Z,1,REGULAR,freethrow,1 of 2,[],202699,,,1610612765,13,3,2026-03-08T22:22:11Z,480000,False,,,0,,T. Harris Free Throw 1 of 2 (1 PTS),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
51,PT07M45.00S,2026-03-08T22:22:28.8Z,1,REGULAR,freethrow,2 of 2,[],202699,,,1610612765,13,4,2026-03-08T22:22:28Z,490000,False,,,0,,T. Harris Free Throw 2 of 2 (2 PTS),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
53,PT07M25.00S,2026-03-08T22:22:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642066,15.062417871222076,38.48039215686275,1610612748,13,4,2026-03-08T22:25:15Z,500000,False,58.0,89.0,1,left,MISS M. Gardner 10' step back Shot,[1642066],1610612748.0,MIA,step back,,,Gardner,M. Gardner,,,,,In The Paint (Non-RA),8-16 Right,,10.61,Missed,,,,,,,,,,,,,,,,,
54,PT07M23.00S,2026-03-08T22:22:53.3Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,13,4,2026-03-08T22:25:15Z,510000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,
55,PT07M16.00S,2026-03-08T22:23:02.8Z,1,REGULAR,foul,personal,[],1641796,,,1610612765,13,4,2026-03-08T22:23:20Z,520000,False,,,0,,P. Larsson personal FOUL (1 PF),"[1641796, 1631105]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,2882.0,1.0,0.0,Duren,1631105.0,,,,
57,PT07M07.00S,2026-03-08T22:23:30.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,90.3580814717477,44.6078431372549,1610612765,13,6,2026-03-08T22:23:36Z,540000,False,-27.0,38.0,1,right,J. Duren alley-oop DUNK (4 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,4.67,Made,4.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,
59,PT06M57.00S,2026-03-08T22:23:40.2Z,1,REGULAR,3pt,Jump Shot,[],1628389,26.363337713534822,80.3921568627451,1610612748,13,6,2026-03-08T22:23:50Z,560000,False,-152.0,195.0,1,left,MISS B. Adebayo 24' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,24.75,Missed,,,,,,,,,,,,,,,,,
60,PT06M56.00S,2026-03-08T22:23:45.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,13,6,2026-03-08T22:23:45Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,59.0,,,,,,,,,,,,
62,PT06M46.00S,2026-03-08T22:24:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628389,9.017739816031538,44.6078431372549,1610612748,15,6,2026-03-08T22:24:19Z,590000,False,27.0,32.0,1,left,B. Adebayo cutting Layup (7 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,cutting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,4.21,Made,7.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,
64,PT06M28.00S,2026-03-08T22:24:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,89.83245729303549,56.86274509803921,1610612765,15,8,2026-03-08T22:24:38Z,610000,False,34.0,43.0,1,right,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,5.51,Made,2.0,,,,,,,,,,,,,,,,
65,PT06M05.00S,2026-03-08T22:24:51.6Z,1,REGULAR,2pt,Jump Shot,[],1629639,14.011169513797633,73.77450980392157,1610612748,15,8,2026-03-08T22:27:08Z,620000,False,-119.0,79.0,1,left,MISS T. Herro 14' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,14.29,Missed,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2026-03-08T22:24:51.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,15,8,2026-03-08T22:25:04Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,65.0,,,,,,,,,,,,
68,PT06M05.00S,2026-03-08T22:24:57.4Z,1,REGULAR,foul,personal,[],1642066,,,1610612765,15,8,2026-03-08T22:33:01Z,640000,False,,,0,,M. Gardner loose ball personal FOUL (2 PF),"[1642066, 202699]",1610612748.0,MIA,loose ball,,,Gardner,M. Gardner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,2882.0,2.0,0.0,Harris,202699.0,,,,
70,PT06M05.00S,2026-03-08T22:25:05.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612765,15,8,2026-03-08T22:25:25Z,660000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M05.00S,2026-03-08T22:25:05.0Z,1,REGULAR,substitution,out,[],1642066,,,1610612765,15,8,2026-03-08T22:25:25Z,670000,False,,,0,,SUB out: M. Gardner,[1642066],1610612748.0,MIA,,,,Gardner,M. Gardner,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M05.00S,2026-03-08T22:25:05.0Z,1,REGULAR,substitution,out,[],202699,,,1610612765,15,8,2026-03-08T22:25:25Z,680000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M05.00S,2026-03-08T22:25:05.0Z,1,REGULAR,substitution,in,[],1642276,,,1610612765,15,8,2026-03-08T22:25:25Z,690000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M05.00S,2026-03-08T22:25:05.0Z,1,REGULAR,substitution,in,[],1631170,,,1610612765,15,8,2026-03-08T22:25:25Z,700000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M05.00S,2026-03-08T22:25:05.0Z,1,REGULAR,substitution,in,[],1630191,,,1610612765,15,8,2026-03-08T22:25:25Z,710000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2026-03-08T22:25:46.9Z,1,REGULAR,turnover,lost ball,[],1631105,,,1610612765,15,8,2026-03-08T22:25:53Z,720000,False,,,0,,J. Duren lost ball TURNOVER (1 TO),"[1631105, 1630558]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,,,,Mitchell,1630558.0,,
77,PT05M55.00S,2026-03-08T22:25:46.9Z,1,REGULAR,steal,,[],1630558,,,1610612748,15,8,2026-03-08T22:25:48Z,730000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
78,PT05M51.00S,2026-03-08T22:25:51.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629639,9.017739816031538,43.872549019607845,1610612748,17,8,2026-03-08T22:28:06Z,740000,False,31.0,32.0,1,left,T. Herro running alley-oop Layup (4 PTS) (D. Mitchell 2 AST),"[1629639, 1630558]",1610612748.0,MIA,running alley-oop,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,4.45,Made,4.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,,
80,PT05M37.00S,2026-03-08T22:26:05.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,71.69842312746385,17.892156862745097,1610612765,17,8,2026-03-08T22:26:10Z,760000,False,-161.0,214.0,1,right,MISS D. Robinson 26' 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,26.71,Missed,,,,,,,,,,,,,,,,,
81,PT05M34.00S,2026-03-08T22:26:08.6Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,17,8,2026-03-08T22:26:10Z,770000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,
82,PT05M30.00S,2026-03-08T22:26:14.4Z,1,REGULAR,foul,personal,[],1629130,,,1610612748,17,8,2026-03-08T22:26:56Z,780000,False,,,0,,D. Robinson personal FOUL (2 PF),"[1629130, 1629639]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1627961.0,2.0,0.0,Herro,1629639.0,,,,
84,PT05M30.00S,2026-03-08T22:26:41.3Z,1,REGULAR,substitution,out,[],1631204,,,1610612748,17,8,2026-03-08T22:26:52Z,800000,False,,,0,,SUB out: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M30.00S,2026-03-08T22:26:41.3Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,17,8,2026-03-08T22:26:52Z,810000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M30.00S,2026-03-08T22:26:41.3Z,1,REGULAR,substitution,in,[],1628989,,,1610612748,17,8,2026-03-08T22:26:52Z,820000,False,,,0,,SUB in: K. Huerter,[1628989],1610612765.0,DET,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M30.00S,2026-03-08T22:26:41.3Z,1,REGULAR,substitution,in,[],1641842,,,1610612748,17,8,2026-03-08T22:26:52Z,830000,False,,,0,,SUB in: R. Holland II,[1641842],1610612765.0,DET,,,,Holland II,R. Holland II,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M18.00S,2026-03-08T22:26:57.7Z,1,REGULAR,2pt,Jump Shot,[],1631170,9.280551905387648,26.225490196078432,1610612748,19,8,2026-03-08T22:27:05Z,840000,False,119.0,35.0,1,left,J. Jaquez Jr. 12' driving floating bank Jump Shot (2 PTS) (P. Larsson 2 AST),"[1631170, 1641796]",1610612748.0,MIA,driving floating bank,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,8-16 Right,,12.39,Made,2.0,P. Larsson,1641796.0,2.0,,,,,,,,,,,,,
