actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
21,PT10M52.00S,2025-12-30T00:43:43.0Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,2,2,2025-12-30T00:43:43Z,210000,False,,,0,,N. Jokić Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
22,PT10M33.00S,2025-12-30T00:44:05.6Z,1,REGULAR,3pt,Jump Shot,[],203952,78.40013140604468,8.088235294117647,1610612748,2,2,2025-12-30T00:44:11Z,220000,False,-210.0,151.0,1,right,MISS A. Wiggins 25' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.8,Missed,,,,,,,,,,,,,,,,,,
23,PT10M30.00S,2025-12-30T00:44:08.6Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,2,2,2025-12-30T00:44:11Z,230000,False,,,0,,J. Murray REBOUND (Off:1 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,22.0,,,2.0,1.0,1.0,,,,,,,,,,,,
24,PT10M22.00S,2025-12-30T00:44:16.8Z,1,REGULAR,2pt,Jump Shot,[],203501,23.078186596583443,41.911764705882355,1610612743,2,2,2025-12-30T00:44:22Z,240000,False,40.0,164.0,1,left,MISS T. Hardaway Jr. 16' pullup Shot,[203501],1610612743.0,DEN,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,16.93,Missed,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2025-12-30T00:44:20.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2025-12-30T00:44:22Z,250000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,24.0,,,2.0,2.0,0.0,,,,,,,,,,,,
26,PT10M12.00S,2025-12-30T00:44:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.47371879106439,50.98039215686274,1610612748,2,2,2025-12-30T00:44:31Z,260000,False,5.0,112.0,1,right,MISS B. Adebayo 11' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
27,PT10M08.00S,2025-12-30T00:44:30.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,2,2025-12-30T00:44:31Z,270000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,26.0,,,1.0,1.0,0.0,,,,,,,,,,,,
28,PT10M03.00S,2025-12-30T00:44:35.6Z,1,REGULAR,turnover,lost ball,[],1631212,,,1610612743,2,2,2025-12-30T00:44:40Z,280000,False,,,0,,P. Watson lost ball TURNOVER (1 TO),"[1631212, 203952]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,,,
29,PT10M03.00S,2025-12-30T00:44:35.6Z,1,REGULAR,steal,,[],203952,,,1610612748,2,2,2025-12-30T00:44:37Z,290000,False,,,0,,A. Wiggins STEAL (2 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
30,PT09M59.00S,2025-12-30T00:44:40.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203952,93.64323258869908,50.245098039215684,1610612748,4,2,2025-12-30T00:44:45Z,300000,False,1.0,7.0,1,right,A. Wiggins running DUNK (2 PTS),[203952],1610612748.0,MIA,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,,,,2.0,,,,,,,,
31,PT09M44.00S,2025-12-30T00:44:55.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,17.296320630749015,64.4607843137255,1610612743,4,4,2025-12-30T00:44:59Z,310000,False,-72.0,110.0,1,left,J. Murray 13' step back Jump Shot (2 PTS) (N. Jokić 1 AST),"[1627750, 203999]",1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Left,13.17,Made,,,,,,,,,,2.0,,,,,,N. Jokić,203999.0,1.0
33,PT09M32.00S,2025-12-30T00:45:07.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,89.70105124835742,52.450980392156865,1610612748,6,4,2025-12-30T00:47:51Z,330000,False,12.0,44.0,1,right,B. Adebayo driving Hook (4 PTS),[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,4.6,Made,,,,,,,,,,4.0,,,,,,,,
34,PT09M18.00S,2025-12-30T00:45:22.2Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612743,6,4,2025-12-30T00:45:34Z,340000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Watson 2 FT),"[203952, 1631212]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627962.0,1.0,0.0,Watson,1631212.0,,,
36,PT09M18.00S,2025-12-30T00:45:53.1Z,1,REGULAR,freethrow,1 of 2,[],1631212,,,1610612743,6,4,2025-12-30T00:45:53Z,360000,False,,,0,,MISS P. Watson Free Throw 1 of 2,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT09M18.00S,2025-12-30T00:45:53.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,6,4,2025-12-30T00:45:53Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,
38,PT09M18.00S,2025-12-30T00:46:11.0Z,1,REGULAR,freethrow,2 of 2,[],1631212,,,1610612743,6,5,2025-12-30T00:46:11Z,380000,False,,,0,,P. Watson Free Throw 2 of 2 (1 PTS),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
39,PT09M15.00S,2025-12-30T00:46:15.9Z,1,REGULAR,3pt,Jump Shot,[],1626181,73.80091984231275,86.76470588235294,1610612748,9,5,2025-12-30T00:46:23Z,390000,False,184.0,194.0,1,right,N. Powell 26' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1626181, 1630558]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,26.71,Made,,,,,,,,,,3.0,,,,,,D. Mitchell,1630558.0,1.0
41,PT09M02.00S,2025-12-30T00:46:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,5.863994743758213,41.911764705882355,1610612743,9,7,2025-12-30T00:47:07Z,410000,False,40.0,3.0,1,left,T. Hardaway Jr. driving Layup (2 PTS) (N. Jokić 2 AST),"[203501, 203999]",1610612743.0,DEN,driving,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,4.05,Made,,,,,,,,,,2.0,,,,,,N. Jokić,203999.0,2.0
43,PT09M02.00S,2025-12-30T00:46:36.0Z,1,REGULAR,foul,personal,['1freethrow'],203952,,,1610612743,9,7,2025-12-30T00:46:46Z,430000,False,,,0,,A. Wiggins shooting personal FOUL (2 PF) (Hardaway Jr. 1 FT),"[203952, 203501]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628487.0,2.0,0.0,Hardaway Jr.,203501.0,,,
45,PT09M02.00S,2025-12-30T00:47:02.2Z,1,REGULAR,freethrow,1 of 1,[],203501,,,1610612743,9,8,2025-12-30T00:47:02Z,450000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 1 (3 PTS),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
46,PT08M49.00S,2025-12-30T00:47:16.5Z,1,REGULAR,2pt,Jump Shot,[],1626181,81.94809461235218,13.970588235294118,1610612748,11,8,2025-12-30T00:47:21Z,460000,False,-180.0,117.0,1,right,N. Powell 21' pullup Jump Shot (5 PTS) (D. Mitchell 2 AST),"[1626181, 1630558]",1610612748.0,MIA,pullup,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left,21.49,Made,,,,,,,,,,5.0,,,,,,D. Mitchell,1630558.0,2.0
48,PT08M36.00S,2025-12-30T00:47:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.389618922470433,45.588235294117645,1610612743,11,8,2025-12-30T00:47:33Z,480000,False,22.0,8.0,1,left,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
49,PT08M34.00S,2025-12-30T00:47:31.6Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,11,8,2025-12-30T00:47:33Z,490000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,48.0,,,1.0,1.0,0.0,,,,,,,,,,,,
50,PT08M30.00S,2025-12-30T00:47:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630558,93.51182654402102,46.32352941176471,1610612748,11,8,2025-12-30T00:47:43Z,500000,False,-18.0,8.0,1,right,MISS D. Mitchell running Layup,[1630558],1610612748.0,MIA,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,2.03,Missed,,,,,,,,,,,,,,,,,,
51,PT08M23.00S,2025-12-30T00:47:42.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,11,8,2025-12-30T00:47:42Z,510000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,50.0,,,3.0,2.0,1.0,,,,,,,,,,,,
52,PT08M23.00S,2025-12-30T00:47:42.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1628389,94.40999984741211,50.0,1610612748,11,8,2025-12-30T00:47:48Z,520000,False,0.0,0.0,1,right,MISS B. Adebayo tip Layup,[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
53,PT08M23.00S,2025-12-30T00:47:42.0Z,1,REGULAR,rebound,defensive,[],1642461,,,1610612743,11,8,2025-12-30T00:47:44Z,530000,False,,,0,,S. Jones REBOUND (Off:0 Def:1),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Restricted Area,0-8 Center,,,52.0,,,1.0,1.0,0.0,,,,,,,,,,,,
54,PT08M18.00S,2025-12-30T00:47:47.4Z,1,REGULAR,3pt,Jump Shot,[],203501,18.478975032851512,5.637254901960785,1610612743,11,8,2025-12-30T00:50:52Z,540000,False,222.0,121.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,25.28,Missed,,,,,,,,,,,,,,,,,,
55,PT08M14.00S,2025-12-30T00:47:51.4Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,11,8,2025-12-30T00:47:57Z,550000,False,,,0,,K. Ware REBOUND (Off:0 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,54.0,,,2.0,2.0,0.0,,,,,,,,,,,,
56,PT08M05.00S,2025-12-30T00:48:02.7Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,11,8,2025-12-30T00:48:08Z,560000,False,,,0,,B. Adebayo lost ball out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,lost ball,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,,,,1628487.0,,,,,,,
57,PT07M53.00S,2025-12-30T00:48:27.2Z,1,REGULAR,foul,personal,[],1630558,,,1610612743,11,8,2025-12-30T00:48:39Z,570000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1627750]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1627962.0,1.0,0.0,Murray,1627750.0,,,
59,PT07M45.00S,2025-12-30T00:48:53.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203501,19.136005256241788,70.58823529411765,1610612743,11,10,2025-12-30T00:48:58Z,590000,False,-103.0,127.0,1,left,T. Hardaway Jr. 16' step back Jump Shot (5 PTS) (N. Jokić 3 AST),"[203501, 203999]",1610612743.0,DEN,step back,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Left Center,16.38,Made,,,,,,,,,,5.0,,,,,,N. Jokić,203999.0,3.0
61,PT07M33.00S,2025-12-30T00:49:06.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642276,93.64323258869908,50.49019607843137,1610612748,13,10,2025-12-30T00:49:10Z,610000,False,2.0,7.0,1,right,K. Ware alley-oop DUNK (2 PTS) (D. Mitchell 3 AST),"[1642276, 1630558]",1610612748.0,MIA,alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,,,,2.0,,,,,,D. Mitchell,1630558.0,3.0
63,PT07M22.00S,2025-12-30T00:49:16.6Z,1,REGULAR,2pt,Jump Shot,[],203999,6.258212877792378,68.87254901960785,1610612743,13,12,2025-12-30T00:49:46Z,630000,False,-94.0,6.0,1,left,N. Jokić 9' driving floating Jump Shot (4 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Left,9.46,Made,,,,,,,,,,4.0,,,,,,,,
64,PT07M09.00S,2025-12-30T00:49:29.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,92.32917214191852,3.9215686274509802,1610612748,13,12,2025-12-30T00:49:34Z,640000,False,-230.0,20.0,1,right,MISS N. Powell 3PT,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,23.12,Missed,,,,,,,,,,,,,,,,,,
65,PT07M07.00S,2025-12-30T00:49:31.0Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612748,13,12,2025-12-30T00:49:34Z,650000,False,,,0,,N. Powell REBOUND (Off:1 Def:0),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,,,64.0,,,1.0,0.0,1.0,,,,,,,,,,,,
66,PT07M05.00S,2025-12-30T00:49:33.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626181,87.33574244415243,40.44117647058824,1610612748,15,12,2025-12-30T00:49:42Z,660000,False,-48.0,67.0,1,right,N. Powell 8' driving floating bank Jump Shot (7 PTS),[1626181],1610612748.0,MIA,driving floating bank,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Left,8.19,Made,,,,,,,,,,7.0,,,,,,,,
67,PT06M47.00S,2025-12-30T00:49:51.6Z,1,REGULAR,3pt,Jump Shot,[],203501,31.488173455978973,35.049019607843135,1610612743,15,12,2025-12-30T00:49:56Z,670000,False,75.0,243.0,1,left,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
68,PT06M44.00S,2025-12-30T00:49:54.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,15,12,2025-12-30T00:49:56Z,680000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,67.0,,,4.0,3.0,1.0,,,,,,,,,,,,
69,PT06M38.00S,2025-12-30T00:50:01.0Z,1,REGULAR,3pt,Jump Shot,[],1628389,67.7562417871222,39.21568627450981,1610612748,15,12,2025-12-30T00:50:05Z,690000,False,-54.0,251.0,1,right,MISS B. Adebayo 25' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,25.63,Missed,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2025-12-30T00:50:05.0Z,1,REGULAR,rebound,defensive,[],203501,,,1610612743,15,12,2025-12-30T00:50:05Z,700000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,,69.0,,,1.0,1.0,0.0,,,,,,,,,,,,
71,PT06M27.00S,2025-12-30T00:50:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,5.732588699080158,51.9607843137255,1610612743,15,14,2025-12-30T00:50:18Z,710000,False,-10.0,1.0,1,left,J. Murray cutting finger roll Layup (4 PTS) (N. Jokić 4 AST),"[1627750, 203999]",1610612743.0,DEN,cutting finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,0.99,Made,,,,,,,,,,4.0,,,,,,N. Jokić,203999.0,4.0
74,PT06M17.00S,2025-12-30T00:50:28.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,15,14,2025-12-30T00:50:28Z,740000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M17.00S,2025-12-30T00:52:55.7Z,1,REGULAR,substitution,out,[],203952,,,1610612748,15,14,2025-12-30T00:53:27Z,750000,False,,,0,,SUB out: A. Wiggins,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M17.00S,2025-12-30T00:52:55.7Z,1,REGULAR,substitution,out,[],1642276,,,1610612748,15,14,2025-12-30T00:53:27Z,760000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M17.00S,2025-12-30T00:52:55.7Z,1,REGULAR,substitution,out,[],203501,,,1610612748,15,14,2025-12-30T00:53:27Z,770000,False,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M17.00S,2025-12-30T00:52:55.7Z,1,REGULAR,substitution,in,[],1631170,,,1610612748,15,14,2025-12-30T00:53:27Z,780000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M17.00S,2025-12-30T00:52:55.7Z,1,REGULAR,substitution,in,[],1641796,,,1610612748,15,14,2025-12-30T00:53:27Z,790000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M17.00S,2025-12-30T00:52:55.7Z,1,REGULAR,substitution,in,[],1628971,,,1610612748,15,14,2025-12-30T00:53:27Z,800000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M02.00S,2025-12-30T00:53:50.7Z,1,REGULAR,3pt,Jump Shot,[],1630558,78.79434954007884,8.823529411764707,1610612748,15,14,2025-12-30T00:53:56Z,810000,False,-206.0,147.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.29,Missed,,,,,,,,,,,,,,,,,,
