actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M42.00S,2026-01-18T01:15:30.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626181,20.41721419185282,46.568627450980394,1610612748,2,2,2026-01-18T01:15:37Z,160000,False,17.0,139.0,1,left,MISS N. Powell 14' fadeaway Shot,[1626181],1610612748.0,MIA,fadeaway,,,Powell,N. Powell,,,,,Mid-Range,8-16 Center,14.05,Missed,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2026-01-18T01:15:33.3Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,2,2026-01-18T01:16:12Z,170000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Center,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M38.00S,2026-01-18T01:15:36.8Z,1,REGULAR,foul,personal,['2freethrow'],1641796,,,1610612760,2,2,2026-01-18T01:16:19Z,180000,False,,,0,,P. Larsson shooting personal FOUL (1 PF) (Wallace 2 FT),"[1641796, 1641717]",1610612748.0,MIA,shooting,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,1628159.0,,,,,,1.0,0.0,Wallace,1641717.0,,,,,,,
21,PT10M38.00S,2026-01-18T01:17:10.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641717,,,1610612760,2,3,2026-01-18T01:17:10Z,210000,False,,,0,,C. Wallace Free Throw 1 of 2 (3 PTS),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2026-01-18T01:17:24.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641717,,,1610612760,2,4,2026-01-18T01:17:24Z,220000,False,,,0,,C. Wallace Free Throw 2 of 2 (4 PTS),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
23,PT10M28.00S,2026-01-18T01:17:35.5Z,1,REGULAR,2pt,Jump Shot,[],1628389,20.41721419185282,30.637254901960787,1610612748,4,4,2026-01-18T01:17:46Z,230000,False,97.0,139.0,1,left,B. Adebayo 16' pullup Jump Shot (4 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,16.97,Made,4.0,,,,,,,,,,,P. Larsson,1641796.0,1.0,,,,
25,PT10M16.00S,2026-01-18T01:17:48.5Z,1,REGULAR,2pt,Jump Shot,[],1628983,92.55913272010513,23.039215686274503,1610612760,4,6,2026-01-18T01:18:52Z,250000,False,-135.0,17.0,1,right,S. Gilgeous-Alexander 13' step back Jump Shot (2 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,13.59,Made,2.0,,,,,,,,,,,,,,,,,
26,PT10M16.00S,2026-01-18T01:17:53.3Z,1,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612760,4,6,2026-01-18T01:18:17Z,260000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1628389, 1628983]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,,201638.0,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,
28,PT10M16.00S,2026-01-18T01:18:19.9Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,4,7,2026-01-18T01:18:19Z,280000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
29,PT10M00.00S,2026-01-18T01:18:36.6Z,1,REGULAR,turnover,lost ball,[],1641796,,,1610612748,4,7,2026-01-18T01:18:42Z,290000,False,,,0,,P. Larsson lost ball TURNOVER (1 TO),"[1641796, 1628983]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),8-16 Center,,,,,1.0,,,,,,,,,,,,Gilgeous-Alexander,1628983.0,,
30,PT10M00.00S,2026-01-18T01:18:36.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,4,7,2026-01-18T01:18:38Z,300000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M52.00S,2026-01-18T01:18:44.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,72.19119579500656,24.264705882352942,1610612760,4,7,2026-01-18T01:18:53Z,310000,False,-129.0,209.0,1,right,MISS S. Gilgeous-Alexander 24' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,,,,,,,,,,,,,,,,,
32,PT09M46.00S,2026-01-18T01:18:49.3Z,1,REGULAR,rebound,defensive,[],1642857,,,1610612748,4,7,2026-01-18T01:18:49Z,320000,False,,,0,,K. Jakučionis REBOUND (Off:0 Def:1),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Left Center,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M43.00S,2026-01-18T01:18:52.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641796,22.78252299605782,89.2156862745098,1610612748,4,7,2026-01-18T01:19:00Z,330000,False,-196.0,162.0,1,left,MISS P. Larsson 25' running 3PT,[1641796],1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,25.42,Missed,,,,,,,,,,,,,,,,,,
34,PT09M40.00S,2026-01-18T01:18:55.6Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,4,7,2026-01-18T01:19:00Z,340000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M27.00S,2026-01-18T01:19:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,81.7838370565046,56.61764705882353,1610612760,4,9,2026-01-18T01:19:14Z,350000,False,33.0,119.0,1,right,S. Gilgeous-Alexander 12' turnaround Jump Shot (5 PTS),[1628983],1610612760.0,OKC,turnaround,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,12.32,Made,5.0,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2026-01-18T01:19:26.4Z,1,REGULAR,3pt,Jump Shot,[],1626181,34.21484888304862,22.549019607843135,1610612748,4,9,2026-01-18T01:19:31Z,360000,False,137.0,269.0,1,left,MISS N. Powell 30' 3PT,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,30.21,Missed,,,,,,,,,,,,,,,,,,
37,PT09M06.00S,2026-01-18T01:19:29.4Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,4,9,2026-01-18T01:19:31Z,370000,False,,,0,,C. Wallace REBOUND (Off:0 Def:2),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,
38,PT08M50.00S,2026-01-18T01:19:45.7Z,1,REGULAR,2pt,Jump Shot,[],1631096,92.55913272010513,27.941176470588232,1610612760,4,11,2026-01-18T01:19:50Z,380000,False,-110.0,17.0,1,right,C. Holmgren 11' turnaround fadeaway Jump Shot (2 PTS),[1631096],1610612760.0,OKC,turnaround fadeaway,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Left,11.17,Made,2.0,,,,,,,,,,,,,,,,,
39,PT08M39.00S,2026-01-18T01:19:57.1Z,1,REGULAR,3pt,Jump Shot,[],1628389,5.831143232588701,97.30392156862744,1610612748,7,11,2026-01-18T01:20:01Z,390000,False,-237.0,2.0,1,left,B. Adebayo 3PT  (7 PTS) (A. Wiggins 1 AST),"[1628389, 203952]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,23.65,Made,7.0,,,,,,,,,,,A. Wiggins,203952.0,1.0,,,,
41,PT08M28.00S,2026-01-18T01:20:07.3Z,1,REGULAR,3pt,Jump Shot,[],1631096,75.47634691195795,86.27450980392157,1610612760,7,11,2026-01-18T01:20:11Z,410000,False,181.0,178.0,1,right,MISS C. Holmgren 25' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
42,PT08M25.00S,2026-01-18T01:20:10.3Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,7,11,2026-01-18T01:20:11Z,420000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Right Center,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,
43,PT08M21.00S,2026-01-18T01:20:17.0Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612748,7,11,2026-01-18T01:20:25Z,430000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629652, 1628389]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,201638.0,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,,,
45,PT08M21.00S,2026-01-18T01:20:49.7Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,8,11,2026-01-18T01:20:49Z,450000,False,,,0,,B. Adebayo Free Throw 1 of 2 (8 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2026-01-18T01:21:08.5Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,9,11,2026-01-18T01:21:08Z,460000,False,,,0,,B. Adebayo Free Throw 2 of 2 (9 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
63,PT08M08.00S,2026-01-18T01:21:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,94.00459921156373,53.18627450980392,1610612760,9,11,2026-01-18T01:26:19Z,465000,False,16.0,4.0,1,right,MISS C. Holmgren alley-oop Layup,[1631096],1610612760.0,OKC,alley-oop,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,,,,,,,,,,,,,,
64,PT08M07.00S,2026-01-18T01:21:11.3Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,9,11,2026-01-18T01:26:19Z,467500,False,,,0,,C. Holmgren REBOUND (Off:1 Def:0),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,
47,PT08M00.00S,2026-01-18T01:21:30.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631114,90.45663600525624,4.656862745098039,1610612760,9,14,2026-01-18T01:26:21Z,470000,False,-227.0,37.0,1,right,J. Williams 3PT step back (3 PTS),[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,22.97,Made,3.0,,,,,,,,,,,,,,,,,
48,PT07M45.00S,2026-01-18T01:21:45.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203952,8.722076215505908,40.68627450980392,1610612748,11,14,2026-01-18T01:25:21Z,480000,False,47.0,29.0,1,left,A. Wiggins driving bank Hook (2 PTS),[203952],1610612748.0,MIA,driving bank,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.52,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M28.00S,2026-01-18T01:22:02.0Z,1,REGULAR,3pt,Jump Shot,[],1631114,69.69448094612352,32.84313725490196,1610612760,11,17,2026-01-18T01:22:06Z,490000,False,-86.0,232.0,1,right,J. Williams 24' 3PT  (6 PTS) (S. Gilgeous-Alexander 1 AST),"[1631114, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,24.77,Made,6.0,,,,,,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,
52,PT07M07.00S,2026-01-18T01:22:49.9Z,1,REGULAR,3pt,Jump Shot,[],1628389,33.295006570302235,57.84313725490196,1610612748,14,17,2026-01-18T01:22:54Z,520000,False,-39.0,260.0,1,left,B. Adebayo 26' 3PT  (12 PTS) (A. Wiggins 2 AST),"[1628389, 203952]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,26.34,Made,12.0,,,,,,,,,,,A. Wiggins,203952.0,2.0,,,,
54,PT06M55.00S,2026-01-18T01:23:01.8Z,1,REGULAR,3pt,Jump Shot,[],1628983,78.76149802890933,11.274509803921575,1610612760,14,20,2026-01-18T01:23:07Z,540000,False,-194.0,147.0,1,right,S. Gilgeous-Alexander 24' 3PT step back (8 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,24.31,Made,8.0,,,,,,,,,,,,,,,,,
55,PT06M44.00S,2026-01-18T01:23:12.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,21.337056504599218,10.784313725490193,1610612748,17,20,2026-01-18T01:23:17Z,550000,False,196.0,148.0,1,left,N. Powell 24' 3PT  (3 PTS) (K. Jakučionis 1 AST),"[1626181, 1642857]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,24.57,Made,3.0,,,,,,,,,,,K. Jakučionis,1642857.0,1.0,,,,
57,PT06M31.00S,2026-01-18T01:23:26.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631096,93.47897503285151,51.470588235294116,1610612760,17,22,2026-01-18T01:23:30Z,570000,False,7.0,9.0,1,right,C. Holmgren driving DUNK (4 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,driving,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,1.15,Made,4.0,,,,,,,,,,,J. Williams,1631114.0,1.0,,,,
59,PT06M15.00S,2026-01-18T01:23:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,6.619579500657039,48.529411764705884,1610612748,17,22,2026-01-18T01:23:49Z,590000,False,7.0,10.0,1,left,MISS P. Larsson Layup,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,1.22,Missed,,,,,,,,,,,,,,,,,,
60,PT06M13.00S,2026-01-18T01:23:44.1Z,1,REGULAR,rebound,offensive,[],1641796,,,1610612748,17,22,2026-01-18T01:23:49Z,600000,False,,,0,,P. Larsson REBOUND (Off:1 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,
61,PT06M13.00S,2026-01-18T01:23:46.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641796,5.590000152587891,50.0,1610612748,19,22,2026-01-18T01:23:46Z,610000,False,0.0,0.0,1,left,P. Larsson tip Layup (2 PTS),[1641796],1610612748.0,MIA,tip,,,Larsson,P. Larsson,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
62,PT06M13.00S,2026-01-18T01:23:53.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,19,22,2026-01-18T01:23:53Z,620000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M13.00S,2026-01-18T01:26:23.8Z,1,REGULAR,substitution,out,[],1626181,,,1610612760,19,22,2026-01-18T01:26:40Z,630000,False,,,0,,SUB out: N. Powell,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M13.00S,2026-01-18T01:26:23.8Z,1,REGULAR,substitution,in,[],1631323,,,1610612760,19,22,2026-01-18T01:26:40Z,640000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612748.0,MIA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M50.00S,2026-01-18T01:27:09.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,88.2227332457293,52.205882352941174,1610612760,19,24,2026-01-18T01:27:15Z,650000,False,11.0,58.0,1,right,L. Dort driving floating Jump Shot (2 PTS) (J. Williams 2 AST),"[1629652, 1631114]",1610612760.0,OKC,driving floating,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,5.92,Made,2.0,,,,,,,,,,,J. Williams,1631114.0,2.0,,,,
70,PT05M40.00S,2026-01-18T01:27:19.8Z,1,REGULAR,3pt,Jump Shot,[],1641796,23.570959264126145,88.48039215686275,1610612748,19,24,2026-01-18T01:27:24Z,660000,False,-192.0,169.0,1,left,MISS P. Larsson 25' 3PT,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,25.61,Missed,,,,,,,,,,,,,,,,,,
71,PT05M37.00S,2026-01-18T01:27:22.8Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,19,24,2026-01-18T01:27:24Z,670000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,
72,PT05M29.00S,2026-01-18T01:27:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,94.00459921156373,52.450980392156865,1610612760,19,26,2026-01-18T01:29:27Z,680000,False,12.0,4.0,1,right,J. Williams driving Layup (8 PTS),[1631114],1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.29,Made,8.0,,,,,,,,,,,,,,,,,
73,PT05M13.00S,2026-01-18T01:27:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631323,6.4881734559789805,54.16666666666667,1610612748,19,26,2026-01-18T01:28:05Z,690000,False,-21.0,8.0,1,left,MISS S. Fontecchio cutting finger roll Layup,[1631323],1610612748.0,MIA,cutting finger roll,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,2.25,Missed,,,,,,,,,,,,,,,,,,
74,PT05M09.00S,2026-01-18T01:27:51.9Z,1,REGULAR,rebound,offensive,[],203952,,,1610612748,19,26,2026-01-18T01:28:05Z,700000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,,,
75,PT05M08.00S,2026-01-18T01:27:51.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203952,6.4881734559789805,50.0,1610612748,21,26,2026-01-18T01:27:59Z,710000,False,0.0,8.0,1,left,A. Wiggins putback DUNK (4 PTS),[203952],1610612748.0,MIA,putback,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,0.85,Made,4.0,,,,,,,,,,,,,,,,,
76,PT04M44.00S,2026-01-18T01:28:19.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612760,21,26,2026-01-18T01:28:30Z,720000,False,,,0,,OKC shot clock Team TURNOVER,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT04M44.00S,2026-01-18T01:28:30.2Z,1,REGULAR,substitution,out,[],1629652,,,1610612748,21,26,2026-01-18T01:28:46Z,730000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M44.00S,2026-01-18T01:28:30.2Z,1,REGULAR,substitution,out,[],1631114,,,1610612748,21,26,2026-01-18T01:28:46Z,740000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M44.00S,2026-01-18T01:28:30.2Z,1,REGULAR,substitution,in,[],1642349,,,1610612748,21,26,2026-01-18T01:28:46Z,750000,False,,,0,,SUB in: A. Mitchell,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M44.00S,2026-01-18T01:28:30.2Z,1,REGULAR,substitution,in,[],1627936,,,1610612748,21,26,2026-01-18T01:28:46Z,760000,False,,,0,,SUB in: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M44.00S,2026-01-18T01:28:30.2Z,1,REGULAR,substitution,out,[],1631096,,,1610612748,21,26,2026-01-18T01:28:53Z,770000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M44.00S,2026-01-18T01:28:30.2Z,1,REGULAR,substitution,in,[],1631119,,,1610612748,21,26,2026-01-18T01:28:53Z,780000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M29.00S,2026-01-18T01:28:56.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642857,21.337056504599218,89.95098039215686,1610612748,21,26,2026-01-18T01:29:02Z,790000,False,-200.0,148.0,1,left,MISS K. Jakučionis 24' 3PT,[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Left Center,24.87,Missed,,,,,,,,,,,,,,,,,,
