actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
20,PT10M16.00S,2026-03-06T00:44:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630558,9.017739816031538,54.65686274509803,1610612748,4,5,2026-03-06T00:44:08Z,200000,False,-23.0,32.0,1,left,MISS D. Mitchell driving Layup - blocked,"[1630558, 1641730]",1610612748.0,MIA,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.98,,,,,,,,Clowney,1641730.0,,
21,PT10M16.00S,2026-03-06T00:44:03.9Z,1,REGULAR,block,,[],1641730,,,1610612748,4,5,2026-03-06T00:44:06Z,210000,False,,,0,,N. Clowney BLOCK (1 BLK),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2026-03-06T00:44:07.9Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612751,4,5,2026-03-06T00:44:08Z,220000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
23,PT10M10.00S,2026-03-06T00:44:12.9Z,1,REGULAR,turnover,out-of-bounds,[],1629651,,,1610612751,4,5,2026-03-06T00:44:18Z,230000,False,,,0,,N. Claxton step out-of-bounds TURNOVER (1 TO),[1629651],1610612751.0,BKN,step,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,101284.0,1.0,,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2026-03-06T00:44:32.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203952,19.66162943495401,62.99019607843137,1610612748,4,5,2026-03-06T00:44:37Z,240000,False,-65.0,132.0,1,left,MISS A. Wiggins 14' pullup Shot,[203952],1610612748.0,MIA,pullup,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Missed,,14.74,,,,,,,,,,,
25,PT09M54.00S,2026-03-06T00:44:36.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,5,2026-03-06T00:44:37Z,250000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
706,PT09M48.00S,2026-03-06T00:45:19.0Z,1,REGULAR,turnover,out-of-bounds,[],1629611,,,1610612751,4,5,2026-03-06T03:25:29Z,315000,False,,,0,,T. Mann lost ball out-of-bounds TURNOVER (1 TO),[1629611],1610612751.0,BKN,lost ball,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,101284.0,1.0,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2026-03-06T00:45:19.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641796,7.046649145860711,42.8921568627451,1610612748,6,5,2026-03-06T03:25:50Z,317500,False,36.0,14.0,1,left,P. Larsson bank Jump Shot (2 PTS) (T. Herro 1 AST),"[1641796, 1629639]",1610612748.0,MIA,bank,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,3.81,T. Herro,1629639.0,1.0,,,,,,,,
32,PT09M19.00S,2026-03-06T00:45:27.1Z,1,REGULAR,3pt,Jump Shot,[],1629008,71.04139290407359,18.627450980392158,1610612751,6,5,2026-03-06T00:45:31Z,320000,False,-157.0,220.0,1,right,MISS M. Porter Jr. 27' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,27.0,,,,,,,,,,,
33,PT09M16.00S,2026-03-06T00:45:30.1Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,6,5,2026-03-06T00:45:31Z,330000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,
34,PT09M10.00S,2026-03-06T00:45:36.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.674770039421814,50.98039215686274,1610612748,8,5,2026-03-06T00:45:43Z,340000,False,-5.0,38.0,1,left,T. Herro driving floating Jump Shot (2 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,3.87,,,,,,,,,,,
35,PT08M53.00S,2026-03-06T00:45:53.4Z,1,REGULAR,turnover,bad pass,[],1629008,,,1610612751,8,5,2026-03-06T00:45:58Z,350000,False,,,0,,M. Porter Jr. bad pass TURNOVER (3 TO),"[1629008, 203952]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,3.0,,,,,,,,,,,,,,,,,Wiggins,203952.0
36,PT08M53.00S,2026-03-06T00:45:53.4Z,1,REGULAR,steal,,[],203952,,,1610612748,8,5,2026-03-06T00:45:55Z,360000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M49.00S,2026-03-06T00:45:57.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,22.421156373193167,10.53921568627451,1610612748,8,5,2026-03-06T00:46:06Z,370000,False,197.0,158.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,25.3,,,,,,,,,,,
38,PT08M45.00S,2026-03-06T00:46:01.9Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,8,5,2026-03-06T00:46:02Z,380000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,37.0,1.0,0.0,1.0,,,,
39,PT08M44.00S,2026-03-06T00:46:03.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630558,31.09395532194481,70.83333333333334,1610612748,8,5,2026-03-06T00:46:14Z,390000,False,-104.0,240.0,1,left,MISS D. Mitchell 26' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,26.15,,,,,,,,,,,
40,PT08M42.00S,2026-03-06T00:46:05.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,8,5,2026-03-06T00:46:14Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,39.0,,,,,,,
42,PT08M27.00S,2026-03-06T00:46:32.2Z,1,REGULAR,turnover,lost ball,[],1629651,,,1610612751,8,5,2026-03-06T00:46:35Z,420000,False,,,0,,N. Claxton lost ball TURNOVER (2 TO),"[1629651, 1630558]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,2.0,,,,,,,,,,,,,,,,,Mitchell,1630558.0
43,PT08M27.00S,2026-03-06T00:46:32.2Z,1,REGULAR,steal,,[],1630558,,,1610612748,8,5,2026-03-06T00:46:33Z,430000,False,,,0,,D. Mitchell STEAL (1 STL),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
44,PT08M23.00S,2026-03-06T00:46:35.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628389,6.521024967148489,50.245098039215684,1610612748,10,5,2026-03-06T00:46:43Z,440000,False,-1.0,9.0,1,left,B. Adebayo running alley-oop DUNK (6 PTS) (T. Herro 2 AST),"[1628389, 1629639]",1610612748.0,MIA,running alley-oop,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,Made,6.0,0.89,T. Herro,1629639.0,2.0,,,,,,,,
46,PT08M22.00S,2026-03-06T00:46:42.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,10,5,2026-03-06T00:46:42Z,460000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2026-03-06T00:50:05.6Z,1,REGULAR,foul,offensive,[],1629651,,,1610612751,10,5,2026-03-06T00:50:31Z,490000,False,,,0,,N. Claxton offensive FOUL (1 PF),"[1629651, 1630558]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,1627519.0,,1.0,0.0,Mitchell,1630558.0,,,,,,,,,,,,,,
51,PT08M07.00S,2026-03-06T00:50:05.6Z,1,REGULAR,turnover,offensive foul,[],1629651,,,1610612751,10,5,2026-03-06T00:50:05Z,510000,False,,,0,,N. Claxton offensive foul TURNOVER (3 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,1627519.0,3.0,,,,,,,,,,,,,,,,,,
52,PT07M57.00S,2026-03-06T00:50:14.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641796,10.33180026281209,51.225490196078425,1610612748,10,5,2026-03-06T00:50:24Z,520000,False,-6.0,45.0,1,left,MISS P. Larsson driving reverse Layup,[1641796],1610612748.0,MIA,driving reverse,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,4.5,,,,,,,,,,,
53,PT07M55.00S,2026-03-06T00:50:17.2Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,10,5,2026-03-06T00:50:17Z,530000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,,,
54,PT07M50.00S,2026-03-06T00:50:33.1Z,1,REGULAR,foul,personal,[],1641796,,,1610612751,10,5,2026-03-06T00:52:20Z,540000,False,,,0,,P. Larsson personal FOUL (1 PF),"[1641796, 1641730]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,1.0,0.0,Clowney,1641730.0,,,,,,,,,,,,,,
56,PT07M46.00S,2026-03-06T00:50:54.0Z,1,REGULAR,turnover,bad pass,[],1641730,,,1610612751,10,5,2026-03-06T00:51:00Z,560000,False,,,0,,N. Clowney bad pass TURNOVER (1 TO),"[1641730, 1628389]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,,,Adebayo,1628389.0
57,PT07M46.00S,2026-03-06T00:50:54.0Z,1,REGULAR,steal,,[],1628389,,,1610612748,10,5,2026-03-06T00:50:57Z,570000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
58,PT07M28.00S,2026-03-06T00:51:12.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630558,10.33180026281209,34.55882352941176,1610612748,12,5,2026-03-06T00:51:18Z,580000,False,77.0,45.0,1,left,D. Mitchell 8' driving floating bank Jump Shot (2 PTS),[1630558],1610612748.0,MIA,driving floating bank,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,Made,2.0,8.92,,,,,,,,,,,
59,PT07M02.00S,2026-03-06T00:51:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,90.48948751642575,44.36274509803921,1610612751,12,5,2026-03-06T00:51:44Z,590000,False,-28.0,37.0,1,right,MISS N. Claxton alley-oop Layup,[1629651],1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,4.64,,,,,,,,,,,
60,PT06M56.00S,2026-03-06T00:51:43.6Z,1,REGULAR,rebound,offensive,[],1642849,,,1610612751,12,5,2026-03-06T00:51:44Z,600000,False,,,0,,N. Traore REBOUND (Off:1 Def:0),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,59.0,1.0,0.0,1.0,,,,
61,PT06M56.00S,2026-03-06T00:51:42.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642849,94.40999984741211,50.0,1610612751,12,7,2026-03-06T00:51:42Z,610000,False,0.0,0.0,1,right,N. Traore tip Layup (4 PTS),[1642849],1610612751.0,BKN,tip,,,Traore,N. Traore,,,,,Mid-Range,8-16 Left,,,,,,,Made,4.0,0.0,,,,,,,,,,,
62,PT06M47.00S,2026-03-06T00:51:52.7Z,1,REGULAR,3pt,Jump Shot,[],1628389,28.991458607095925,19.362745098039216,1610612748,12,7,2026-03-06T00:51:57Z,620000,False,153.0,220.0,1,left,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,26.81,,,,,,,,,,,
63,PT06M44.00S,2026-03-06T00:51:55.7Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,12,7,2026-03-06T00:51:57Z,630000,False,,,0,,N. Traore REBOUND (Off:1 Def:1),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,62.0,2.0,1.0,1.0,,,,
64,PT06M40.00S,2026-03-06T00:51:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642849,88.12417871222075,53.92156862745098,1610612751,12,7,2026-03-06T00:52:05Z,640000,False,20.0,59.0,1,right,MISS N. Traore 6' running finger roll Layup - blocked,"[1642849, 1628389]",1610612751.0,BKN,running finger roll,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,6.23,,,,,,,,Adebayo,1628389.0,,
65,PT06M40.00S,2026-03-06T00:51:58.8Z,1,REGULAR,block,,[],1628389,,,1610612751,12,7,2026-03-06T00:52:01Z,650000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT06M37.00S,2026-03-06T00:52:01.8Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,12,7,2026-03-06T00:52:05Z,660000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,64.0,2.0,2.0,0.0,,,,
67,PT06M36.00S,2026-03-06T00:52:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,5.995400788436268,50.73529411764706,1610612748,12,7,2026-03-06T00:52:11Z,670000,False,-4.0,4.0,1,left,MISS A. Wiggins running Layup,[203952],1610612748.0,MIA,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,0.54,,,,,,,,,,,
68,PT06M36.00S,2026-03-06T00:52:03.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,12,7,2026-03-06T00:52:13Z,680000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,67.0,,,,,,,
70,PT06M25.00S,2026-03-06T00:52:23.4Z,1,REGULAR,foul,personal,[],1628389,,,1610612751,12,7,2026-03-06T00:52:30Z,700000,False,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 1629651]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,101284.0,,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,
72,PT06M25.00S,2026-03-06T00:52:35.1Z,1,REGULAR,substitution,out,[],1628389,,,1610612751,12,7,2026-03-06T00:52:42Z,720000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M25.00S,2026-03-06T00:52:35.1Z,1,REGULAR,substitution,out,[],1641796,,,1610612751,12,7,2026-03-06T00:52:42Z,730000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M25.00S,2026-03-06T00:52:35.1Z,1,REGULAR,substitution,in,[],1642276,,,1610612751,12,7,2026-03-06T00:52:42Z,740000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M25.00S,2026-03-06T00:52:35.1Z,1,REGULAR,substitution,in,[],1631170,,,1610612751,12,7,2026-03-06T00:52:42Z,750000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M19.00S,2026-03-06T00:52:58.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.11760840998686,50.245098039215684,1610612751,12,9,2026-03-06T00:53:02Z,760000,False,1.0,12.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (M. Porter Jr. 1 AST),"[1629651, 1629008]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,1.23,M. Porter Jr.,1629008.0,1.0,,,,,,,,
78,PT05M58.00S,2026-03-06T00:53:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,16.245072273324574,42.8921568627451,1610612748,14,9,2026-03-06T00:53:21Z,780000,False,36.0,100.0,1,left,A. Wiggins 10' turnaround fadeaway Jump Shot (2 PTS),[203952],1610612748.0,MIA,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Made,2.0,10.63,,,,,,,,,,,
79,PT05M43.00S,2026-03-06T00:53:35.4Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612751,14,9,2026-03-06T00:53:51Z,790000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Claxton 2 FT),"[1642276, 1629651]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,
81,PT05M43.00S,2026-03-06T00:53:58.8Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,14,10,2026-03-06T00:53:58Z,810000,False,,,0,,N. Claxton Free Throw 1 of 2 (3 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
82,PT05M43.00S,2026-03-06T00:54:13.6Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,14,11,2026-03-06T00:54:13Z,820000,False,,,0,,N. Claxton Free Throw 2 of 2 (4 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
83,PT05M28.00S,2026-03-06T00:54:32.5Z,1,REGULAR,foul,personal,['2freethrow'],1642849,,,1610612748,14,11,2026-03-06T00:54:51Z,830000,False,,,0,,N. Traore shooting personal FOUL (1 PF) (Herro 2 FT),"[1642849, 1629639]",1610612751.0,BKN,shooting,,,Traore,N. Traore,,,,,Mid-Range,8-16 Right,1627519.0,,1.0,0.0,Herro,1629639.0,,,,,,,,,,,,,,
85,PT05M28.00S,2026-03-06T00:55:07.1Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,15,11,2026-03-06T00:55:07Z,850000,False,,,0,,T. Herro Free Throw 1 of 2 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
86,PT05M28.00S,2026-03-06T00:55:17.2Z,1,REGULAR,freethrow,2 of 2,[],1629639,,,1610612748,16,11,2026-03-06T00:55:17Z,860000,False,,,0,,T. Herro Free Throw 2 of 2 (4 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
87,PT05M16.00S,2026-03-06T00:55:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,82.34231274638634,49.26470588235294,1610612751,16,11,2026-03-06T00:55:40Z,870000,False,-4.0,113.0,1,right,MISS N. Claxton 11' floating Shot,[1629651],1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Missed,,11.36,,,,,,,,,,,
