actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
47,PT07M57.00S,2026-03-10T23:47:11.6Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,9,7,2026-03-10T23:47:14Z,470000,False,,,0,,A. Sarr REBOUND (Off:1 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Left Corner 3,24+ Left,,,,46.0,,,2.0,1.0,1.0,,,,,,,,,,,
48,PT07M57.00S,2026-03-10T23:47:12.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1642259,94.40999984741211,50.0,1610612764,9,9,2026-03-10T23:47:24Z,480000,False,0.0,0.0,1,right,A. Sarr tip DUNK (7 PTS),[1642259],1610612764.0,WAS,tip,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,0.0,Made,7.0,,,,,,,,,,,,,,,,,
49,PT07M45.00S,2026-03-10T23:47:23.9Z,1,REGULAR,3pt,Jump Shot,[],1630558,32.14520367936925,59.55882352941176,1610612748,9,9,2026-03-10T23:47:30Z,490000,False,-48.0,250.0,1,left,MISS D. Mitchell 25' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,25.42,Missed,,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2026-03-10T23:47:27.9Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,9,9,2026-03-10T23:47:30Z,500000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,,,,49.0,,,1.0,1.0,0.0,,,,,,,,,,,
51,PT07M33.00S,2026-03-10T23:47:35.7Z,1,REGULAR,turnover,bad pass,[],1642267,,,1610612764,9,9,2026-03-10T23:47:42Z,510000,False,,,0,,B. Carrington bad pass TURNOVER (2 TO),"[1642267, 1641796]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,2.0,Larsson,1641796.0
52,PT07M33.00S,2026-03-10T23:47:35.7Z,1,REGULAR,steal,,[],1641796,,,1610612748,9,9,2026-03-11T00:18:13Z,520000,False,,,0,,P. Larsson STEAL (1 STL),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2026-03-10T23:47:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1628389,11.514454664914586,53.92156862745098,1610612748,11,9,2026-03-10T23:47:59Z,530000,False,-20.0,56.0,1,left,B. Adebayo Layup (9 PTS) (M. Gardner 1 AST),"[1628389, 1642066]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,9.0,,,,,,,M. Gardner,1642066.0,1.0,,,,,,,,
55,PT07M26.00S,2026-03-10T23:47:52.5Z,1,REGULAR,violation,defensive goaltending,[],1642259,,,1610612748,11,9,2026-03-10T23:48:53Z,550000,False,,,0,,A. Sarr defensive goaltending VIOLATION,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,203592.0,,,,,,,
56,PT07M14.00S,2026-03-10T23:48:03.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642259,93.24901445466492,50.0,1610612764,11,11,2026-03-11T00:01:03Z,560000,False,0.0,11.0,1,right,A. Sarr driving DUNK (9 PTS) (B. Carrington 1 AST),"[1642259, 1642267]",1610612764.0,WAS,driving,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,1.1,Made,9.0,,,,,,,B. Carrington,1642267.0,1.0,,,,,,,,
58,PT07M00.00S,2026-03-10T23:48:17.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,11.251642575558476,51.470588235294116,1610612748,11,11,2026-03-11T00:20:28Z,580000,False,-7.0,53.0,1,left,MISS B. Adebayo driving DUNK,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.38,Missed,,,,,,,,,,,,,,,,,,
60,PT06M54.00S,2026-03-10T23:48:23.8Z,1,REGULAR,rebound,defensive,[],1642860,,,1610612764,11,11,2026-03-10T23:48:28Z,600000,False,,,0,,W. Riley REBOUND (Off:0 Def:1),[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,In The Paint (Non-RA),0-8 Center,,,,58.0,,,1.0,1.0,0.0,,,,,,,,,,,
61,PT06M54.00S,2026-03-10T23:48:25.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642860,93.38042049934296,52.94117647058824,1610612764,11,11,2026-03-10T23:48:43Z,610000,False,15.0,10.0,1,right,MISS W. Riley running finger roll Layup,[1642860],1610612764.0,WAS,running finger roll,,,Riley,W. Riley,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
62,PT06M54.00S,2026-03-10T23:48:25.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,11,11,2026-03-10T23:48:43Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,61.0,,,,,,,,,,,,,,,,
64,PT06M54.00S,2026-03-10T23:48:35.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,11,11,2026-03-10T23:48:35Z,640000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M46.00S,2026-03-10T23:51:33.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642848,67.88764783180025,74.01960784313727,1610612764,11,11,2026-03-11T00:06:09Z,650000,False,120.0,249.0,1,right,MISS T. Johnson 27' step back 3PT,[1642848],1610612764.0,WAS,step back,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Right Center,27.68,Missed,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2026-03-10T23:51:37.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,11,11,2026-03-10T23:51:38Z,660000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,65.0,,,1.0,1.0,0.0,,,,,,,,,,,
67,PT06M35.00S,2026-03-10T23:51:44.8Z,1,REGULAR,foul,personal,['2freethrow'],1642259,,,1610612748,11,11,2026-03-10T23:52:00Z,670000,False,,,0,,A. Sarr shooting personal FOUL (2 PF) (Adebayo 2 FT),"[1642259, 1628389]",1610612764.0,WAS,shooting,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,203592.0,2.0,0.0,Adebayo,1628389.0,,,
69,PT06M35.00S,2026-03-10T23:52:16.7Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,12,11,2026-03-10T23:52:16Z,690000,False,,,0,,B. Adebayo Free Throw 1 of 2 (10 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
70,PT06M35.00S,2026-03-10T23:52:32.5Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,13,11,2026-03-10T23:52:32Z,700000,False,,,0,,B. Adebayo Free Throw 2 of 2 (11 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2026-03-10T23:52:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,85.23324572930355,52.450980392156865,1610612764,13,13,2026-03-10T23:52:53Z,710000,False,12.0,86.0,1,right,A. Sarr 8' turnaround fadeaway Jump Shot (11 PTS),[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,8.72,Made,11.0,,,,,,,,,,,,,,,,,
72,PT06M07.00S,2026-03-10T23:53:02.0Z,1,REGULAR,3pt,Jump Shot,[],1628389,13.485545335085414,3.9215686274509802,1610612748,16,13,2026-03-10T23:53:07Z,720000,False,230.0,74.0,1,left,B. Adebayo 24' 3PT  (14 PTS) (D. Mitchell 3 AST),"[1628389, 1630558]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,24.21,Made,14.0,,,,,,,D. Mitchell,1630558.0,3.0,,,,,,,,
75,PT05M48.00S,2026-03-10T23:53:30.1Z,1,REGULAR,substitution,out,[],1641796,,,1610612764,16,13,2026-03-10T23:53:40Z,750000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M48.00S,2026-03-10T23:53:30.1Z,1,REGULAR,substitution,in,[],1631170,,,1610612764,16,13,2026-03-10T23:53:40Z,760000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M47.00S,2026-03-10T23:53:52.4Z,1,REGULAR,turnover,out-of-bounds,[],1642267,,,1610612764,16,13,2026-03-10T23:54:05Z,770000,False,,,0,,B. Carrington bad pass out-of-bounds TURNOVER (3 TO),[1642267],1610612764.0,WAS,bad pass,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,202049.0,,,,,3.0,,
78,PT05M39.00S,2026-03-10T23:54:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630558,4.944152431011826,50.245098039215684,1610612748,18,13,2026-03-10T23:54:08Z,780000,False,-1.0,-6.0,1,left,D. Mitchell cutting Layup (2 PTS) (K. Jakučionis 1 AST),"[1630558, 1642857]",1610612748.0,MIA,cutting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,,,,,,,K. Jakučionis,1642857.0,1.0,,,,,,,,
80,PT05M33.00S,2026-03-10T23:54:08.8Z,1,REGULAR,3pt,Jump Shot,[],1642848,86.15308804204993,95.83333333333334,1610612764,18,16,2026-03-10T23:54:14Z,800000,False,229.0,78.0,1,right,T. Johnson 24' 3PT  (5 PTS) (B. Coulibaly 1 AST),"[1642848, 1641731]",1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Right Corner 3,24+ Right,24.2,Made,5.0,,,,,,,B. Coulibaly,1641731.0,1.0,,,,,,,,
82,PT05M20.00S,2026-03-10T23:54:22.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,7.440867279894875,49.754901960784316,1610612748,20,16,2026-03-10T23:54:28Z,820000,False,1.0,17.0,1,left,B. Adebayo driving DUNK (16 PTS) (J. Jaquez Jr. 1 AST),"[1628389, 1631170]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.74,Made,16.0,,,,,,,J. Jaquez Jr.,1631170.0,1.0,,,,,,,,
84,PT05M06.00S,2026-03-10T23:54:37.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642259,94.1688567674113,48.77450980392157,1610612764,20,18,2026-03-10T23:54:42Z,840000,False,-6.0,2.0,1,right,A. Sarr driving DUNK (13 PTS) (B. Carrington 2 AST),"[1642259, 1642267]",1610612764.0,WAS,driving,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,0.65,Made,13.0,,,,,,,B. Carrington,1642267.0,2.0,,,,,,,,
86,PT04M58.00S,2026-03-10T23:54:43.6Z,1,REGULAR,3pt,Jump Shot,[],1628389,8.623521681997373,3.6764705882352944,1610612748,23,18,2026-03-10T23:54:50Z,860000,False,232.0,29.0,1,left,B. Adebayo 3PT  (19 PTS) (J. Jaquez Jr. 2 AST),"[1628389, 1631170]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,23.34,Made,19.0,,,,,,,J. Jaquez Jr.,1631170.0,2.0,,,,,,,,
88,PT04M57.00S,2026-03-10T23:54:49.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,23,18,2026-03-10T23:54:49Z,880000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M57.00S,2026-03-10T23:57:17.4Z,1,REGULAR,substitution,out,[],1642259,,,1610612764,23,18,2026-03-10T23:57:44Z,890000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M57.00S,2026-03-10T23:57:17.4Z,1,REGULAR,substitution,out,[],1642860,,,1610612764,23,18,2026-03-10T23:57:44Z,900000,False,,,0,,SUB out: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
