actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
27,PT08M52.00S,2024-03-10T02:14:37.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641729,67.09921156373193,62.5,1610612762,10,4,2024-03-10T02:14:46Z,270000,False,62.0,257.0,1,right,MISS B. Sensabaugh 26' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,,,26.43,Missed,,,,,,,,,,,,,,,,
28,PT08M48.00S,2024-03-10T02:14:41.3Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,10,4,2024-03-10T02:14:46Z,280000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT08M46.00S,2024-03-10T02:14:42.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,24.392247043363994,16.666666666666664,1610612743,13,4,2024-03-10T02:14:56Z,290000,False,167.0,177.0,1,left,K. Caldwell-Pope 24' 3PT running pullup (3 PTS),[203484],1610612743.0,DEN,running pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,24.3,Made,3.0,,,,,,,,,,,,,,,
30,PT08M43.00S,2024-03-10T02:14:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,13,4,2024-03-10T02:14:50Z,300000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M30.00S,2024-03-10T02:17:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641718,94.1688567674113,46.32352941176471,1610612762,13,6,2024-03-10T02:18:47Z,320000,False,-18.0,2.0,1,right,K. George driving finger roll Layup (2 PTS),[1641718],1610612762.0,UTA,driving finger roll,,,George,K. George,,,,,Restricted Area,0-8 Center,,,1.85,Made,2.0,,,,,,,,,,,,,,,
33,PT08M04.00S,2024-03-10T02:18:16.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,10.5946123521682,36.51960784313725,1610612743,13,6,2024-03-10T02:18:21Z,330000,False,67.0,47.0,1,left,MISS N. Jokic 8' turnaround bank Hook,[203999],1610612743.0,DEN,turnaround bank,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Right,,,8.22,Missed,,,,,,,,,,,,,,,,
34,PT08M03.00S,2024-03-10T02:18:17.8Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,13,6,2024-03-10T02:18:21Z,340000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,,
35,PT07M58.00S,2024-03-10T02:18:23.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629012,92.72339027595268,52.450980392156865,1610612762,13,6,2024-03-10T02:19:36Z,350000,False,12.0,16.0,1,right,MISS C. Sexton running Layup - blocked,"[1629012, 203484]",1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,2.01,Missed,,,,,Caldwell-Pope,203484.0,,,,,,,,,,
36,PT07M58.00S,2024-03-10T02:18:23.0Z,1,REGULAR,block,,[],203484,,,1610612762,13,6,2024-03-10T02:18:25Z,360000,False,,,0,,K. Caldwell-Pope BLOCK (2 BLK),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT07M53.00S,2024-03-10T02:18:28.0Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,13,6,2024-03-10T02:18:35Z,370000,False,,,0,,W. Kessler REBOUND (Off:2 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,35.0,3.0,1.0,2.0,,,,,,
38,PT07M53.00S,2024-03-10T02:18:27.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631117,94.40999984741211,50.0,1610612762,13,8,2024-03-10T02:18:27Z,380000,False,0.0,0.0,1,right,W. Kessler putback DUNK (2 PTS),[1631117],1610612762.0,UTA,putback,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
39,PT07M51.00S,2024-03-10T02:18:29.3Z,1,REGULAR,turnover,bad pass,[],203932,,,1610612743,13,8,2024-03-10T02:22:28Z,390000,False,,,0,,A. Gordon bad pass TURNOVER (1 TO),"[203932, 1641729]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,1.0,,,,,,,,,,,,,Sensabaugh,1641729.0,,,,
40,PT07M51.00S,2024-03-10T02:18:29.3Z,1,REGULAR,steal,,[],1641729,,,1610612762,13,8,2024-03-10T02:18:30Z,400000,False,,,0,,B. Sensabaugh STEAL (1 STL),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
41,PT07M40.00S,2024-03-10T02:18:40.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629012,79.31997371879106,53.92156862745098,1610612762,13,8,2024-03-10T02:18:46Z,410000,False,20.0,142.0,1,right,MISS C. Sexton 14' pullup Shot,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Center,,,14.32,Missed,,,,,,,,,,,,,,,,
42,PT07M37.00S,2024-03-10T02:18:43.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,13,8,2024-03-10T02:18:46Z,420000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,
43,PT07M30.00S,2024-03-10T02:18:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,7.835085413929041,54.41176470588235,1610612743,13,8,2024-03-10T02:18:56Z,430000,False,-22.0,21.0,1,left,MISS M. Porter Jr. driving finger roll Layup,[1629008],1610612743.0,DEN,driving finger roll,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,3.06,Missed,,,,,,,,,,,,,,,,
44,PT07M27.00S,2024-03-10T02:18:53.6Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,13,8,2024-03-10T02:18:56Z,440000,False,,,0,,W. Kessler REBOUND (Off:2 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,43.0,4.0,2.0,2.0,,,,,,
45,PT07M18.00S,2024-03-10T02:19:03.0Z,1,REGULAR,turnover,bad pass,[],1641718,,,1610612762,13,8,2024-03-10T02:19:07Z,450000,False,,,0,,K. George bad pass TURNOVER (2 TO),"[1641718, 1629008]",1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,,,,,,,Porter Jr.,1629008.0,,,,
46,PT07M18.00S,2024-03-10T02:19:03.0Z,1,REGULAR,steal,,[],1629008,,,1610612743,13,8,2024-03-10T02:19:04Z,460000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT07M13.00S,2024-03-10T02:19:08.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627750,4.812746386333772,3.1862745098039214,1610612743,16,8,2024-03-10T02:19:19Z,470000,False,234.0,-7.0,1,left,J. Murray 3PT running (6 PTS) (A. Gordon 4 AST),"[1627750, 203932]",1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,,,23.42,Made,6.0,A. Gordon,203932.0,4.0,,,,,,,,,,,,
49,PT06M52.00S,2024-03-10T02:19:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,89.04402102496715,44.6078431372549,1610612762,16,10,2024-03-10T02:19:37Z,490000,False,-27.0,50.0,1,right,J. Collins driving floating Jump Shot (2 PTS) (C. Sexton 2 AST),"[1628381, 1629012]",1610612762.0,UTA,driving floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,5.73,Made,2.0,C. Sexton,1629012.0,2.0,,,,,,,,,,,,
51,PT06M42.00S,2024-03-10T02:19:38.4Z,1,REGULAR,2pt,Jump Shot,[],203932,13.091327201051248,27.205882352941174,1610612743,18,10,2024-03-10T02:19:44Z,510000,False,114.0,71.0,1,left,A. Gordon 13' fadeaway Jump Shot (2 PTS) (J. Murray 2 AST),"[203932, 1627750]",1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,13.41,Made,2.0,J. Murray,1627750.0,2.0,,,,,,,,,,,,
53,PT06M20.00S,2024-03-10T02:20:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,90.3580814717477,48.77450980392157,1610612762,18,12,2024-03-10T02:20:09Z,530000,False,-6.0,38.0,1,right,J. Collins cutting Layup (4 PTS) (B. Sensabaugh 1 AST),"[1628381, 1641729]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,3.86,Made,4.0,B. Sensabaugh,1641729.0,1.0,,,,,,,,,,,,
55,PT06M18.00S,2024-03-10T02:20:13.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612743,18,12,2024-03-10T02:20:21Z,550000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,,,200834.0,,,,,,,,,,,,,,,,,,,
56,PT06M00.00S,2024-03-10T02:20:35.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,10.726018396846255,46.07843137254902,1610612743,20,12,2024-03-10T02:20:40Z,560000,False,20.0,48.0,1,left,N. Jokic turnaround Hook (6 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,5.21,Made,6.0,,,,,,,,,,,,,,,
59,PT05M53.00S,2024-03-10T02:21:00.9Z,1,REGULAR,substitution,out,[],1631117,,,1610612762,20,12,2024-03-10T02:21:10Z,590000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M53.00S,2024-03-10T02:21:00.9Z,1,REGULAR,substitution,out,[],1641718,,,1610612762,20,12,2024-03-10T02:21:10Z,600000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M53.00S,2024-03-10T02:21:00.9Z,1,REGULAR,substitution,in,[],1627739,,,1610612762,20,12,2024-03-10T02:21:10Z,610000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M53.00S,2024-03-10T02:21:00.9Z,1,REGULAR,substitution,in,[],1629677,,,1610612762,20,12,2024-03-10T02:21:10Z,620000,False,,,0,,SUB in: L. Samanic,[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M47.00S,2024-03-10T02:21:14.1Z,1,REGULAR,3pt,Jump Shot,[],1641729,74.98357424441524,11.76470588235294,1610612762,20,12,2024-03-10T02:21:27Z,630000,False,-191.0,183.0,1,right,MISS B. Sensabaugh 26' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,,,26.45,Missed,,,,,,,,,,,,,,,,
64,PT05M46.00S,2024-03-10T02:21:15.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,20,12,2024-03-10T02:21:15Z,640000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,
65,PT05M30.00S,2024-03-10T02:21:32.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,29.38567674113009,19.11764705882353,1610612743,20,12,2024-03-10T02:21:40Z,650000,False,154.0,224.0,1,left,MISS M. Porter Jr. 27' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,27.18,Missed,,,,,,,,,,,,,,,,
66,PT05M26.00S,2024-03-10T02:21:36.2Z,1,REGULAR,rebound,defensive,[],1629677,,,1610612762,20,12,2024-03-10T02:21:40Z,660000,False,,,0,,L. Samanic REBOUND (Off:0 Def:1),[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,
67,PT05M13.00S,2024-03-10T02:21:49.7Z,1,REGULAR,2pt,Jump Shot,[],1628381,91.67214191852825,68.38235294117648,1610612762,20,12,2024-03-10T02:21:56Z,670000,False,92.0,26.0,1,right,MISS J. Collins 9' Jump Shot - blocked,"[1628381, 203999]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,9.55,Missed,,,,,Jokic,203999.0,,,,,,,,,,
68,PT05M13.00S,2024-03-10T02:21:49.7Z,1,REGULAR,block,,[],203999,,,1610612762,20,12,2024-03-10T02:21:53Z,680000,False,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
69,PT05M13.00S,2024-03-10T02:21:49.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,20,12,2024-03-10T02:21:56Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,67.0,,,,,,,,,
70,PT05M13.00S,2024-03-10T02:22:01.1Z,1,REGULAR,substitution,out,[],1627750,,,1610612762,20,12,2024-03-10T02:22:03Z,700000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M13.00S,2024-03-10T02:22:01.1Z,1,REGULAR,substitution,in,[],202704,,,1610612762,20,12,2024-03-10T02:22:03Z,710000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT05M09.00S,2024-03-10T02:22:26.5Z,1,REGULAR,turnover,lost ball,[],1628381,,,1610612762,20,12,2024-03-10T02:27:25Z,715000,False,,,0,,J. Collins lost ball TURNOVER (1 TO),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,,
72,PT05M09.00S,2024-03-10T02:22:51.9Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,20,12,2024-03-10T02:27:25Z,720000,False,,,0,,Jump Ball N. Jokic vs. J. Collins: Tip to A. Gordon,"[203932, 203999, 1628381]",1610612743.0,DEN,heldball,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
77,PT05M07.00S,2024-03-10T02:22:56.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'fromturnover']",203932,6.389618922470433,48.28431372549019,1610612743,22,12,2024-03-10T02:27:25Z,770000,False,9.0,8.0,1,left,A. Gordon running finger roll Layup (4 PTS),[203932],1610612743.0,DEN,running finger roll,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,1.15,Made,4.0,,,,,,,,,,,,,,,
78,PT05M07.00S,2024-03-10T02:23:01.4Z,1,REGULAR,foul,personal,['1freethrow'],1627739,,,1610612743,22,12,2024-03-10T02:23:09Z,780000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Gordon 1 FT),"[1627739, 203932]",1610612762.0,UTA,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,1628159.0,,,,,,,,,,,,,,,,1.0,0.0,Gordon,203932.0
80,PT05M07.00S,2024-03-10T02:23:26.2Z,1,REGULAR,freethrow,1 of 1,"['fastbreak', 'fromturnover']",203932,,,1610612743,23,12,2024-03-10T02:27:25Z,800000,False,,,0,,A. Gordon Free Throw 1 of 1 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
81,PT04M49.00S,2024-03-10T02:23:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,92.72339027595268,48.529411764705884,1610612762,23,14,2024-03-10T02:30:59Z,810000,False,-7.0,16.0,1,right,J. Collins cutting Layup (6 PTS) (B. Sensabaugh 2 AST),"[1628381, 1641729]",1610612762.0,UTA,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,1.75,Made,6.0,B. Sensabaugh,1641729.0,2.0,,,,,,,,,,,,
83,PT04M37.00S,2024-03-10T02:23:52.7Z,1,REGULAR,3pt,Jump Shot,[],203484,31.750985545335087,64.95098039215686,1610612743,26,14,2024-03-10T02:23:57Z,830000,False,-75.0,246.0,1,left,K. Caldwell-Pope 25' 3PT  (6 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,25.71,Made,6.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,
85,PT04M22.00S,2024-03-10T02:24:07.5Z,1,REGULAR,3pt,Jump Shot,[],1629677,73.80091984231275,17.892156862745097,1610612762,26,14,2024-03-10T02:24:15Z,850000,False,-161.0,194.0,1,right,MISS L. Samanic 25' 3PT,[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Above the Break 3,24+ Left Center,,,25.16,Missed,,,,,,,,,,,,,,,,
86,PT04M19.00S,2024-03-10T02:24:10.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,26,14,2024-03-10T02:24:15Z,860000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,85.0,2.0,2.0,0.0,,,,,,
87,PT04M10.00S,2024-03-10T02:24:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,6.389618922470433,50.49019607843137,1610612743,26,14,2024-03-10T02:24:24Z,870000,False,-2.0,8.0,1,left,MISS R. Jackson driving finger roll Layup,[202704],1610612743.0,DEN,driving finger roll,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,0.8,Missed,,,,,,,,,,,,,,,,
