actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M33.00S,2023-11-04T02:23:48.3Z,1,REGULAR,3pt,Jump Shot,[],203932,71.96123521681997,81.12745098039215,1610612743,5,6,2023-11-04T02:23:55Z,160000,False,156.0,211.0,1,right,A. Gordon 26' 3PT pullup (3 PTS),[203932],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Right Center,,Gordon,A. Gordon,,,26.22,Made,3.0,,,,,,,,,,,,,,
18,PT10M22.00S,2023-11-04T02:23:59.9Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,5,6,2023-11-04T02:24:03Z,170000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 203999]",1610612742.0,DAL,,,,,,,Mid-Range,16-24 Left Center,1.0,Doncic,L. Doncic,Jokic,203999.0,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2023-11-04T02:23:59.9Z,1,REGULAR,steal,,[],203999,,,1610612743,5,6,2023-11-04T02:24:01Z,180000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Left Center,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,
20,PT10M10.00S,2023-11-04T02:24:12.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203484,77.34888304862024,87.25490196078431,1610612743,8,6,2023-11-04T02:24:15Z,190000,False,186.0,160.0,1,right,K. Caldwell-Pope 24' 3PT  (3 PTS) (A. Gordon 1 AST),"[203484, 203932]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,Caldwell-Pope,K. Caldwell-Pope,,,24.58,Made,3.0,A. Gordon,203932.0,1.0,,,,,,,,,,,
22,PT09M47.00S,2023-11-04T02:24:33.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,12.302890932982917,45.09803921568628,1610612742,8,8,2023-11-04T02:24:36Z,210000,False,25.0,63.0,1,left,K. Irving 6' pullup Jump Shot (2 PTS),[202681],1610612742.0,DAL,pullup,,,,,,In The Paint (Non-RA),0-8 Center,,Irving,K. Irving,,,6.77,Made,2.0,,,,,,,,,,,,,,
23,PT09M34.00S,2023-11-04T02:24:46.7Z,1,REGULAR,2pt,Jump Shot,[],1629008,75.90341655716163,45.34313725490196,1610612743,8,8,2023-11-04T02:24:50Z,220000,False,-23.0,174.0,1,right,MISS M. Porter Jr. 17' pullup Shot,[1629008],1610612743.0,DEN,pullup,,,,,,Mid-Range,16-24 Center,,Porter Jr.,M. Porter Jr.,,,17.56,Missed,,,,,,,,,,,,,,,
24,PT09M32.00S,2023-11-04T02:24:48.7Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,8,8,2023-11-04T02:24:50Z,230000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Center,,Lively II,D. Lively II,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M22.00S,2023-11-04T02:24:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,5.995400788436268,95.58823529411765,1610612742,8,8,2023-11-04T02:25:03Z,240000,False,-228.0,4.0,1,left,MISS G. Williams 3PT,[1629684],1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,,Williams,G. Williams,,,22.79,Missed,,,,,,,,,,,,,,,
26,PT09M20.00S,2023-11-04T02:25:01.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,8,8,2023-11-04T02:25:03Z,250000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,,,,Left Corner 3,24+ Left,,Porter Jr.,M. Porter Jr.,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,
27,PT09M13.00S,2023-11-04T02:25:09.3Z,1,REGULAR,2pt,Jump Shot,[],1627750,76.2976346911958,30.392156862745097,1610612743,8,8,2023-11-04T02:25:44Z,260000,False,-98.0,170.0,1,right,MISS J. Murray 19' step back Shot,[1627750],1610612743.0,DEN,step back,,,,,,Mid-Range,16-24 Left Center,,Murray,J. Murray,,,19.65,Missed,,,,,,,,,,,,,,,
28,PT09M07.00S,2023-11-04T02:25:15.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,8,8,2023-11-04T02:25:14Z,270000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Left Center,,Jokic,N. Jokic,,,,,,,,,27.0,1.0,0.0,1.0,,,,,,,
29,PT09M07.00S,2023-11-04T02:25:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,94.40999984741211,50.0,1610612743,10,8,2023-11-04T02:25:14Z,280000,False,0.0,0.0,1,right,N. Jokic tip Layup (4 PTS),[203999],1610612743.0,DEN,tip,,,,,,Mid-Range,8-16 Left,,Jokic,N. Jokic,,,0.0,Made,4.0,,,,,,,,,,,,,,
30,PT08M50.00S,2023-11-04T02:25:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,25.57490144546649,83.82352941176471,1610612742,10,8,2023-11-04T02:25:43Z,290000,False,-169.0,188.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,,,,Above the Break 3,24+ Left Center,,Doncic,L. Doncic,,,25.28,Missed,,,,,,,,,,,,,,,
31,PT08M48.00S,2023-11-04T02:25:33.4Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,10,8,2023-11-04T02:25:43Z,300000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,Murray,J. Murray,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,
32,PT08M44.00S,2023-11-04T02:25:37.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629008,93.77463863337714,49.26470588235294,1610612743,12,8,2023-11-04T02:25:47Z,310000,False,-4.0,6.0,1,right,M. Porter Jr. running DUNK (2 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,running,,,,,,Restricted Area,0-8 Center,,Porter Jr.,M. Porter Jr.,,,0.7,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,
34,PT08M22.00S,2023-11-04T02:25:59.8Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612742,12,8,2023-11-04T02:26:05Z,330000,False,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 203932]",1610612742.0,DAL,,,,,,,Mid-Range,16-24 Right Center,1.0,Williams,G. Williams,Gordon,203932.0,,,,,,,,,,,,,,,,,
35,PT08M22.00S,2023-11-04T02:25:59.8Z,1,REGULAR,steal,,[],203932,,,1610612743,12,8,2023-11-04T02:26:01Z,340000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Right Center,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
36,PT08M20.00S,2023-11-04T02:26:10.7Z,1,REGULAR,foul,personal,['1freethrow'],202681,,,1610612743,12,8,2023-11-04T02:26:29Z,350000,False,,,0,,K. Irving transition take personal FOUL (1 PF) (Gordon 1 FT),"[202681, 203932]",1610612742.0,DAL,transition take,,,,,,Above the Break 3,24+ Left Center,,Irving,K. Irving,,,,,,,,,,,,,1198.0,1.0,0.0,Gordon,203932.0,,
38,PT08M20.00S,2023-11-04T02:26:38.0Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1627750,,,1610612743,13,8,2023-11-04T02:26:38Z,370000,False,,,0,,J. Murray transition take Free Throw 1 of 1 (1 PTS),[1627750],1610612743.0,DEN,transition take,,,,,,,,,Murray,J. Murray,,,,Made,1.0,,,,,,,,,,,,,,
39,PT08M11.00S,2023-11-04T02:26:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629008,92.9862023653088,43.627450980392155,1610612743,13,8,2023-11-04T02:27:03Z,380000,False,-32.0,13.0,1,right,MISS M. Porter Jr. driving Layup,[1629008],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,,Porter Jr.,M. Porter Jr.,,,3.46,Missed,,,,,,,,,,,,,,,
40,PT08M10.00S,2023-11-04T02:26:58.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,13,8,2023-11-04T02:27:03Z,390000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Doncic,L. Doncic,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,
41,PT08M04.00S,2023-11-04T02:27:04.7Z,1,REGULAR,3pt,Jump Shot,[],1629684,4.28712220762155,96.81372549019608,1610612742,13,11,2023-11-04T02:27:08Z,400000,False,-234.0,-12.0,1,left,G. Williams 3PT  (3 PTS) (L. Doncic 2 AST),"[1629684, 1629029]",1610612742.0,DAL,,,,,,,Left Corner 3,24+ Left,,Williams,G. Williams,,,23.44,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,
43,PT07M49.00S,2023-11-04T02:27:18.3Z,1,REGULAR,3pt,Jump Shot,[],203484,67.09921156373193,39.46078431372549,1610612743,16,11,2023-11-04T02:27:23Z,420000,False,-53.0,257.0,1,right,K. Caldwell-Pope 26' 3PT pullup (6 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Center,,Caldwell-Pope,K. Caldwell-Pope,,,26.22,Made,6.0,N. Jokic,203999.0,1.0,,,,,,,,,,,
45,PT07M30.00S,2023-11-04T02:27:38.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,32.276609724047304,67.15686274509804,1610612742,16,14,2023-11-04T02:27:41Z,440000,False,-86.0,251.0,1,left,L. Doncic 26' 3PT  (5 PTS) (K. Irving 1 AST),"[1629029, 202681]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,,Doncic,L. Doncic,,,26.52,Made,5.0,K. Irving,202681.0,1.0,,,,,,,,,,,
47,PT07M16.00S,2023-11-04T02:27:51.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,91.14651773981603,95.83333333333334,1610612743,19,14,2023-11-04T02:27:55Z,460000,False,229.0,31.0,1,right,M. Porter Jr. 3PT  (5 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,Porter Jr.,M. Porter Jr.,,,23.12,Made,5.0,J. Murray,1627750.0,2.0,,,,,,,,,,,
49,PT06M58.00S,2023-11-04T02:28:09.4Z,1,REGULAR,3pt,Jump Shot,[],202681,33.327858081471746,34.80392156862745,1610612742,19,14,2023-11-04T02:28:14Z,480000,False,76.0,261.0,1,left,MISS K. Irving 27' 3PT,[202681],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Irving,K. Irving,,,27.16,Missed,,,,,,,,,,,,,,,
50,PT06M56.00S,2023-11-04T02:28:11.4Z,1,REGULAR,rebound,offensive,[],1627884,,,1610612742,19,14,2023-11-04T02:28:14Z,490000,False,,,0,,D. Jones Jr. REBOUND (Off:1 Def:0),[1627884],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Jones Jr.,D. Jones Jr.,,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,
51,PT06M47.00S,2023-11-04T02:28:21.3Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,19,14,2023-11-04T02:28:24Z,500000,False,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 203932]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,2.0,Doncic,L. Doncic,Gordon,203932.0,,,,,,,,,,,,,,,,,
52,PT06M47.00S,2023-11-04T02:28:21.3Z,1,REGULAR,steal,,[],203932,,,1610612743,19,14,2023-11-04T02:28:22Z,510000,False,,,0,,A. Gordon STEAL (2 STL),[203932],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Center,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,
53,PT06M44.00S,2023-11-04T02:28:25.7Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612743,19,14,2023-11-04T02:28:42Z,520000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Murray 2 FT),"[1629684, 1627750]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,Williams,G. Williams,,,,,,,,,,,,,2530.0,1.0,0.0,Murray,1627750.0,,
55,PT06M44.00S,2023-11-04T02:28:44.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,19,14,2023-11-04T02:28:44Z,540000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M44.00S,2023-11-04T02:31:33.6Z,1,REGULAR,substitution,out,[],202681,,,1610612743,19,14,2023-11-04T02:31:51Z,550000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,,,,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
57,PT06M44.00S,2023-11-04T02:31:33.6Z,1,REGULAR,substitution,out,[],1641726,,,1610612743,19,14,2023-11-04T02:31:51Z,560000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,,,,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,
58,PT06M44.00S,2023-11-04T02:31:33.6Z,1,REGULAR,substitution,in,[],203501,,,1610612743,19,14,2023-11-04T02:31:51Z,570000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,,,,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,
59,PT06M44.00S,2023-11-04T02:31:33.6Z,1,REGULAR,substitution,in,[],203939,,,1610612743,19,14,2023-11-04T02:31:51Z,580000,False,,,0,,SUB in: D. Powell,[203939],1610612742.0,DAL,,,,,,,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2023-11-04T02:32:12.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627750,,,1610612743,20,14,2023-11-04T02:32:12Z,590000,False,,,0,,J. Murray Free Throw 1 of 2 (2 PTS),[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,Made,2.0,,,,,,,,,,,,,,
61,PT06M44.00S,2023-11-04T02:32:26.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1627750,,,1610612743,21,14,2023-11-04T02:32:26Z,600000,False,,,0,,J. Murray Free Throw 2 of 2 (3 PTS),[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,Made,3.0,,,,,,,,,,,,,,
62,PT06M32.00S,2023-11-04T02:32:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612742,21,14,2023-11-04T02:32:49Z,610000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Powell 2 FT),"[1629008, 203939]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,2530.0,1.0,0.0,Powell,203939.0,,
64,PT06M32.00S,2023-11-04T02:33:13.3Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,21,15,2023-11-04T02:33:13Z,630000,False,,,0,,D. Powell Free Throw 1 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,,,,,,,Powell,D. Powell,,,,Made,1.0,,,,,,,,,,,,,,
65,PT06M32.00S,2023-11-04T02:33:31.1Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,21,16,2023-11-04T02:33:31Z,640000,False,,,0,,D. Powell Free Throw 2 of 2 (2 PTS),[203939],1610612742.0,DAL,,,,,,,,,,Powell,D. Powell,,,,Made,2.0,,,,,,,,,,,,,,
66,PT06M17.00S,2023-11-04T02:33:47.5Z,1,REGULAR,3pt,Jump Shot,[],203999,69.33311432325887,70.83333333333334,1610612743,24,16,2023-11-04T02:33:52Z,650000,False,104.0,236.0,1,right,N. Jokic 25' 3PT  (7 PTS) (A. Gordon 2 AST),"[203999, 203932]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,Jokic,N. Jokic,,,25.78,Made,7.0,A. Gordon,203932.0,2.0,,,,,,,,,,,
68,PT06M01.00S,2023-11-04T02:34:03.2Z,1,REGULAR,3pt,Jump Shot,[],1627884,29.6484888304862,71.81372549019608,1610612742,24,19,2023-11-04T02:34:25Z,670000,False,-109.0,226.0,1,left,D. Jones Jr. 25' 3PT pullup (5 PTS) (L. Doncic 3 AST),"[1627884, 1629029]",1610612742.0,DAL,pullup,,,,,,Above the Break 3,24+ Left Center,,Jones Jr.,D. Jones Jr.,,,25.11,Made,5.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,
70,PT05M37.00S,2023-11-04T02:34:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,90.75229960578186,40.19607843137255,1610612743,26,19,2023-11-04T02:34:51Z,690000,False,-49.0,34.0,1,right,M. Porter Jr. driving floating Jump Shot (7 PTS),[1629008],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Porter Jr.,M. Porter Jr.,,,5.99,Made,7.0,,,,,,,,,,,,,,
71,PT05M22.00S,2023-11-04T02:34:42.1Z,1,REGULAR,3pt,Jump Shot,[],1627884,31.61957950065703,59.068627450980394,1610612742,26,19,2023-11-04T02:34:47Z,700000,False,-45.0,245.0,1,left,MISS D. Jones Jr. 24' 3PT,[1627884],1610612742.0,DAL,,,,,,,Above the Break 3,24+ Center,,Jones Jr.,D. Jones Jr.,,,24.89,Missed,,,,,,,,,,,,,,,
72,PT05M19.00S,2023-11-04T02:34:45.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,26,19,2023-11-04T02:34:47Z,710000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,Jokic,N. Jokic,,,,,,,,,71.0,2.0,1.0,1.0,,,,,,,
73,PT05M16.00S,2023-11-04T02:34:54.6Z,1,REGULAR,foul,personal,[],203501,,,1610612743,26,19,2023-11-04T02:35:25Z,720000,False,,,0,,T. Hardaway Jr. personal FOUL (1 PF),"[203501, 203932]",1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,2530.0,1.0,0.0,Gordon,203932.0,,
75,PT05M16.00S,2023-11-04T02:35:05.2Z,1,REGULAR,substitution,out,[],1627884,,,1610612743,26,19,2023-11-04T02:35:09Z,740000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,,,,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,
76,PT05M16.00S,2023-11-04T02:35:05.2Z,1,REGULAR,substitution,in,[],1630182,,,1610612743,26,19,2023-11-04T02:35:09Z,750000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
77,PT05M16.00S,2023-11-04T02:35:16.9Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,26,19,2023-11-04T02:35:21Z,760000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,
78,PT05M16.00S,2023-11-04T02:35:16.9Z,1,REGULAR,substitution,in,[],202704,,,1610612743,26,19,2023-11-04T02:35:21Z,770000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,,,,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,
79,PT05M11.00S,2023-11-04T02:35:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,87.07293035479631,48.28431372549019,1610612743,28,19,2023-11-04T02:35:31Z,780000,False,-9.0,69.0,1,right,M. Porter Jr. 6' driving floating Jump Shot (9 PTS) (R. Jackson 1 AST),"[1629008, 202704]",1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Porter Jr.,M. Porter Jr.,,,6.95,Made,9.0,R. Jackson,202704.0,1.0,,,,,,,,,,,
81,PT04M56.00S,2023-11-04T02:35:38.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203939,8.360709592641262,45.34313725490196,1610612742,28,19,2023-11-04T02:35:44Z,800000,False,23.0,26.0,1,left,MISS D. Powell cutting Layup,[203939],1610612742.0,DAL,cutting,,,,,,Restricted Area,0-8 Center,,Powell,D. Powell,,,3.5,Missed,,,,,,,,,,,,,,,
82,PT04M54.00S,2023-11-04T02:35:40.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,28,19,2023-11-04T02:35:44Z,810000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,Gordon,A. Gordon,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,
83,PT04M49.00S,2023-11-04T02:35:45.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,90.62089356110381,96.07843137254902,1610612743,28,19,2023-11-04T02:36:03Z,820000,False,230.0,36.0,1,right,MISS M. Porter Jr. 3PT,[1629008],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,Porter Jr.,M. Porter Jr.,,,23.31,Missed,,,,,,,,,,,,,,,
84,PT04M48.00S,2023-11-04T02:35:49.0Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,28,19,2023-11-04T02:35:49Z,830000,False,,,0,,N. Jokic REBOUND (Off:2 Def:1),[203999],1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,,Jokic,N. Jokic,,,,,,,,,83.0,3.0,1.0,2.0,,,,,,,
85,PT04M48.00S,2023-11-04T02:35:49.8Z,1,REGULAR,foul,personal,[],1629029,,,1610612743,28,19,2023-11-04T02:36:08Z,840000,False,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 203999]",1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Doncic,L. Doncic,,,,,,,,,,,,,204058.0,1.0,0.0,Jokic,203999.0,,
