actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,descriptor,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M18.00S,2024-04-07T01:13:11.0Z,1,REGULAR,3pt,Jump Shot,[],1630552,25.969119579500656,14.705882352941178,1610612737,5,3,2024-04-07T01:13:20Z,150000,False,176.0,192.0,1,left,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,Johnson,J. Johnson,Above the Break 3,24+ Right Center,26.05,Missed,,,,,,,,,,,,,,,,,,
16,PT10M15.00S,2024-04-07T01:13:14.0Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,5,3,2024-04-07T01:13:20Z,160000,False,,,0,,C. Capela REBOUND (Off:1 Def:1),[203991],1610612737.0,ATL,,Capela,C. Capela,Above the Break 3,24+ Right Center,,,,,,,,,,,15.0,2.0,1.0,1.0,,,,,,
17,PT10M10.00S,2024-04-07T01:13:19.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,5.469776609724048,50.98039215686274,1610612737,5,3,2024-04-07T01:13:24Z,170000,False,-5.0,-1.0,1,left,MISS C. Capela driving reverse Layup,[203991],1610612737.0,ATL,,Capela,C. Capela,Restricted Area,0-8 Center,0.5,Missed,,,,,,,,driving reverse,,,,,,,,,,
18,PT10M10.00S,2024-04-07T01:13:19.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,3,2024-04-07T01:13:24Z,180000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,Jokic,N. Jokic,Restricted Area,0-8 Center,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,
19,PT10M02.00S,2024-04-07T01:13:27.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203999,92.9862023653088,50.73529411764706,1610612743,5,3,2024-04-07T02:23:34Z,190000,False,4.0,13.0,1,right,MISS N. Jokic running Layup - blocked,"[203999, 203992]",1610612743.0,DEN,,Jokic,N. Jokic,Restricted Area,0-8 Center,1.39,Missed,,,,,,,,running,,,,,Bogdanovic,203992.0,,,,
20,PT10M02.00S,2024-04-07T01:13:27.2Z,1,REGULAR,block,,[],203992,,,1610612743,5,3,2024-04-07T01:19:52Z,200000,False,,,0,,B. Bogdanovic BLOCK (1 BLK),[203992],1610612737.0,ATL,,Bogdanovic,B. Bogdanovic,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT09M58.00S,2024-04-07T01:13:31.2Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,5,3,2024-04-07T01:13:36Z,210000,False,,,0,,C. Braun REBOUND (Off:1 Def:0),[1631128],1610612743.0,DEN,,Braun,C. Braun,Restricted Area,0-8 Center,,,,,,,,,,,19.0,1.0,0.0,1.0,,,,,,
22,PT09M57.00S,2024-04-07T01:13:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631128,91.93495400788436,51.470588235294116,1610612743,5,3,2024-04-07T01:21:17Z,220000,False,7.0,23.0,1,right,MISS C. Braun putback Layup,[1631128],1610612743.0,DEN,,Braun,C. Braun,Restricted Area,0-8 Center,2.44,Missed,,,,,,,,putback,,,,,,,,,,
23,PT09M57.00S,2024-04-07T01:13:31.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,5,3,2024-04-07T01:13:44Z,230000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,Murray,D. Murray,Restricted Area,0-8 Center,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M49.00S,2024-04-07T01:13:39.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,7.5722733245729295,45.09803921568628,1610612737,5,5,2024-04-07T01:17:54Z,240000,False,25.0,19.0,1,left,J. Johnson driving Layup (2 PTS) (D. Murray 1 AST),"[1630552, 1627749]",1610612737.0,ATL,,Johnson,J. Johnson,Restricted Area,0-8 Center,3.08,Made,2.0,D. Murray,1627749.0,1.0,,,,driving,,,,,,,,,,
26,PT09M34.00S,2024-04-07T01:13:58.0Z,1,REGULAR,foul,personal,[],1627749,,,1610612743,5,5,2024-04-07T01:14:03Z,260000,False,,,0,,D. Murray personal FOUL (1 PF),"[1627749, 1627750]",1610612737.0,ATL,2002.0,Murray,D. Murray,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,1.0,0.0,Murray,1627750.0
29,PT09M24.00S,2024-04-07T01:14:47.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,72.22404730617609,77.20588235294117,1610612743,8,5,2024-04-07T01:14:51Z,290000,False,136.0,209.0,1,right,M. Porter Jr. 24' 3PT  (3 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,Above the Break 3,24+ Right Center,24.9,Made,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
31,PT09M11.00S,2024-04-07T01:15:00.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,22.946780551905388,91.17647058823529,1610612737,8,8,2024-04-07T01:15:04Z,310000,False,-206.0,163.0,1,left,D. Hunter 26' 3PT  (3 PTS) (D. Murray 2 AST),"[1629631, 1627749]",1610612737.0,ATL,,Hunter,D. Hunter,Above the Break 3,24+ Left Center,26.27,Made,3.0,D. Murray,1627749.0,2.0,,,,,,,,,,,,,,
33,PT08M57.00S,2024-04-07T01:15:14.5Z,1,REGULAR,turnover,bad pass,[],1629008,,,1610612743,8,8,2024-04-07T01:15:22Z,330000,False,,,0,,M. Porter Jr. bad pass TURNOVER (1 TO),"[1629008, 1630552]",1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,Above the Break 3,24+ Center,,,,,,,1.0,Johnson,1630552.0,,,,,,,,,,,
34,PT08M57.00S,2024-04-07T01:15:14.5Z,1,REGULAR,steal,,[],1630552,,,1610612737,8,8,2024-04-07T01:15:20Z,340000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,Johnson,J. Johnson,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2024-04-07T01:15:20.6Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,8,8,2024-04-07T01:15:25Z,350000,False,,,0,,J. Johnson bad pass TURNOVER (2 TO),"[1630552, 1629008]",1610612737.0,ATL,,Johnson,J. Johnson,Above the Break 3,24+ Center,,,,,,,2.0,Porter Jr.,1629008.0,,,,,,,,,,,
36,PT08M56.00S,2024-04-07T01:15:20.6Z,1,REGULAR,steal,,[],1629008,,,1610612743,8,8,2024-04-07T01:15:22Z,360000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
37,PT08M56.00S,2024-04-07T01:15:23.0Z,1,REGULAR,foul,personal,['2freethrow'],203992,,,1610612743,8,8,2024-04-07T01:15:31Z,370000,False,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[203992, 1629008]",1610612737.0,ATL,202053.0,Bogdanovic,B. Bogdanovic,Restricted Area,0-8 Center,,,,,,,,,,shooting,,,,,,,1.0,0.0,Porter Jr.,1629008.0
39,PT08M56.00S,2024-04-07T01:15:44.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629008,,,1610612743,9,8,2024-04-07T01:15:44Z,390000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (4 PTS),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,,,Made,4.0,,,,,,,,,,,,,,,,,
40,PT08M56.00S,2024-04-07T01:15:58.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629008,,,1610612743,10,8,2024-04-07T01:15:58Z,400000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (5 PTS),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,,,Made,5.0,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2024-04-07T01:16:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,6.1268068331143235,46.32352941176471,1610612737,10,10,2024-04-07T01:16:20Z,410000,False,18.0,5.0,1,left,C. Capela cutting Layup (2 PTS) (D. Murray 3 AST),"[203991, 1627749]",1610612737.0,ATL,,Capela,C. Capela,Restricted Area,0-8 Center,1.91,Made,2.0,D. Murray,1627749.0,3.0,,,,cutting,,,,,,,,,,
43,PT08M30.00S,2024-04-07T01:16:27.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,68.28186596583443,52.20588235294118,1610612743,10,10,2024-04-07T01:16:32Z,430000,False,11.0,246.0,1,right,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,Above the Break 3,24+ Center,24.59,Missed,,,,,,,,,,,,,,,,,,
44,PT08M26.00S,2024-04-07T01:16:31.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,10,10,2024-04-07T01:16:32Z,440000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,Murray,D. Murray,Above the Break 3,24+ Center,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,,
45,PT08M15.00S,2024-04-07T01:16:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,15.588042049934298,51.470588235294116,1610612737,10,10,2024-04-07T01:16:48Z,450000,False,-7.0,94.0,1,left,MISS D. Murray 9' turnaround Shot,[1627749],1610612737.0,ATL,,Murray,D. Murray,In The Paint (Non-RA),8-16 Center,9.43,Missed,,,,,,,,turnaround,,,,,,,,,,
46,PT08M15.00S,2024-04-07T01:16:41.6Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,10,10,2024-04-07T01:20:46Z,460000,False,,,0,,C. Braun REBOUND (Off:1 Def:1),[1631128],1610612743.0,DEN,,Braun,C. Braun,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,
47,PT08M08.00S,2024-04-07T01:16:49.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,93.9060446780552,51.470588235294116,1610612743,12,10,2024-04-07T01:16:57Z,470000,False,7.0,5.0,1,right,C. Braun running finger roll Layup (2 PTS),[1631128],1610612743.0,DEN,,Braun,C. Braun,Restricted Area,0-8 Center,0.88,Made,2.0,,,,,,,running finger roll,,,,,,,,,,
48,PT07M47.00S,2024-04-07T01:17:10.0Z,1,REGULAR,2pt,Jump Shot,[],1630552,8.229303547963205,72.79411764705883,1610612737,12,12,2024-04-07T01:17:15Z,480000,False,-114.0,25.0,1,left,J. Johnson 11' fadeaway Jump Shot (4 PTS),[1630552],1610612737.0,ATL,,Johnson,J. Johnson,Mid-Range,8-16 Left,11.67,Made,4.0,,,,,,,fadeaway,,,,,,,,,,
49,PT07M34.00S,2024-04-07T01:17:23.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,66.96780551905388,43.872549019607845,1610612743,15,12,2024-04-07T01:17:26Z,490000,False,-31.0,258.0,1,right,J. Murray 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,,Murray,J. Murray,Above the Break 3,24+ Center,25.98,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
51,PT07M20.00S,2024-04-07T01:17:39.3Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612737,15,12,2024-04-07T01:17:48Z,510000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Capela 2 FT),"[1627750, 203991]",1610612743.0,DEN,202053.0,Murray,J. Murray,Restricted Area,0-8 Center,,,,,,,,,,shooting,,,,,,,1.0,0.0,Capela,203991.0
53,PT07M20.00S,2024-04-07T01:18:00.8Z,1,REGULAR,freethrow,1 of 2,[],203991,,,1610612737,15,13,2024-04-07T01:18:00Z,530000,False,,,0,,C. Capela Free Throw 1 of 2 (3 PTS),[203991],1610612737.0,ATL,,Capela,C. Capela,,,,Made,3.0,,,,,,,,,,,,,,,,,
54,PT07M20.00S,2024-04-07T01:18:16.7Z,1,REGULAR,freethrow,2 of 2,[],203991,,,1610612737,15,14,2024-04-07T01:18:16Z,540000,False,,,0,,C. Capela Free Throw 2 of 2 (4 PTS),[203991],1610612737.0,ATL,,Capela,C. Capela,,,,Made,4.0,,,,,,,,,,,,,,,,,
55,PT07M00.00S,2024-04-07T01:18:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,91.40932982917214,50.0,1610612743,15,14,2024-04-07T01:18:43Z,550000,False,0.0,28.0,1,right,MISS J. Murray driving finger roll Layup,[1627750],1610612743.0,DEN,,Murray,J. Murray,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,driving finger roll,,,,,,,,,,
56,PT06M57.00S,2024-04-07T01:18:40.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,14,2024-04-07T01:18:40Z,560000,False,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,Capela,C. Capela,Restricted Area,0-8 Center,,,,,,,,,,,55.0,3.0,2.0,1.0,,,,,,
57,PT06M51.00S,2024-04-07T01:18:47.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627749,6.389618922470433,43.872549019607845,1610612737,15,14,2024-04-07T01:24:48Z,570000,False,31.0,8.0,1,left,MISS D. Murray running Layup,[1627749],1610612737.0,ATL,,Murray,D. Murray,Restricted Area,0-8 Center,3.15,Missed,,,,,,,,running,,,,,,,,,,
58,PT06M49.00S,2024-04-07T01:18:49.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,15,14,2024-04-07T01:18:54Z,580000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,Restricted Area,0-8 Center,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,
59,PT06M45.00S,2024-04-07T01:18:53.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203999,91.5407358738502,60.5392156862745,1610612743,17,14,2024-04-07T01:26:01Z,590000,False,53.0,27.0,1,right,N. Jokic running Layup (5 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,,Jokic,N. Jokic,In The Paint (Non-RA),0-8 Center,5.92,Made,5.0,K. Caldwell-Pope,203484.0,1.0,,,,running,,,,,,,,,,
61,PT06M28.00S,2024-04-07T01:19:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,12.697109067017081,51.71568627450981,1610612737,17,16,2024-04-07T01:19:21Z,610000,False,-9.0,67.0,1,left,D. Hunter 6' driving floating Jump Shot (5 PTS) (C. Capela 1 AST),"[1629631, 203991]",1610612737.0,ATL,,Hunter,D. Hunter,In The Paint (Non-RA),0-8 Center,6.75,Made,5.0,C. Capela,203991.0,1.0,,,,driving floating,,,,,,,,,,
62,PT06M28.00S,2024-04-07T01:19:14.7Z,1,REGULAR,foul,personal,['1freethrow'],1629008,,,1610612737,17,16,2024-04-07T01:19:38Z,620000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Hunter 1 FT),"[1629008, 1629631]",1610612743.0,DEN,2002.0,Porter Jr.,M. Porter Jr.,In The Paint (Non-RA),0-8 Center,,,,,,,,,,shooting,,,,,,,1.0,0.0,Hunter,1629631.0
65,PT06M28.00S,2024-04-07T01:19:23.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,17,16,2024-04-07T01:20:46Z,640000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2024-04-07T01:22:02.2Z,1,REGULAR,substitution,out,[],203992,,,1610612737,17,16,2024-04-07T01:22:16Z,650000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,
67,PT06M28.00S,2024-04-07T01:22:02.2Z,1,REGULAR,substitution,out,[],203991,,,1610612737,17,16,2024-04-07T01:22:16Z,660000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2024-04-07T01:22:02.2Z,1,REGULAR,substitution,out,[],1630552,,,1610612737,17,16,2024-04-07T01:22:16Z,670000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2024-04-07T01:22:02.2Z,1,REGULAR,substitution,in,[],1630249,,,1610612737,17,16,2024-04-07T01:22:16Z,680000,False,,,0,,SUB in: V. Krejci,[1630249],1610612737.0,ATL,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,,,,,,
70,PT06M28.00S,2024-04-07T01:22:02.2Z,1,REGULAR,substitution,in,[],1628981,,,1610612737,17,16,2024-04-07T01:22:16Z,690000,False,,,0,,SUB in: B. Fernando,[1628981],1610612737.0,ATL,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,
71,PT06M28.00S,2024-04-07T01:22:02.2Z,1,REGULAR,substitution,in,[],1629726,,,1610612737,17,16,2024-04-07T01:22:16Z,700000,False,,,0,,SUB in: G. Mathews,[1629726],1610612737.0,ATL,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,
72,PT06M28.00S,2024-04-07T01:22:31.2Z,1,REGULAR,freethrow,1 of 1,[],1629631,,,1610612737,17,17,2024-04-07T01:22:31Z,710000,False,,,0,,D. Hunter Free Throw 1 of 1 (6 PTS),[1629631],1610612737.0,ATL,,Hunter,D. Hunter,,,,Made,6.0,,,,,,,,,,,,,,,,,
73,PT06M14.00S,2024-04-07T01:22:47.8Z,1,REGULAR,2pt,Jump Shot,[],1629008,76.5604467805519,23.52941176470588,1610612743,19,17,2024-04-07T01:22:54Z,720000,False,-132.0,168.0,1,right,M. Porter Jr. 21' step back Jump Shot (7 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,Mid-Range,16-24 Left Center,21.37,Made,7.0,N. Jokic,203999.0,2.0,,,,step back,,,,,,,,,,
75,PT05M59.00S,2024-04-07T01:23:02.7Z,1,REGULAR,3pt,Jump Shot,[],1629631,33.459264126149804,42.64705882352941,1610612737,19,17,2024-04-07T01:23:08Z,740000,False,37.0,262.0,1,left,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,Hunter,D. Hunter,Above the Break 3,24+ Center,26.46,Missed,,,,,,,,,,,,,,,,,,
76,PT05M54.00S,2024-04-07T01:23:07.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,19,17,2024-04-07T01:23:08Z,750000,False,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,Jokic,N. Jokic,Above the Break 3,24+ Center,,,,,,,,,,,75.0,3.0,3.0,0.0,,,,,,
77,PT05M42.00S,2024-04-07T01:23:19.2Z,1,REGULAR,3pt,Jump Shot,[],203484,66.5735873850197,44.6078431372549,1610612743,22,17,2024-04-07T01:28:30Z,760000,False,-27.0,262.0,1,right,K. Caldwell-Pope 26' 3PT pullup (5 PTS) (J. Murray 2 AST),"[203484, 1627750]",1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,Above the Break 3,24+ Center,26.31,Made,5.0,J. Murray,1627750.0,2.0,,,,pullup,,,,,,,,,,
79,PT05M42.00S,2024-04-07T01:23:26.5Z,1,REGULAR,foul,personal,['1freethrow'],1630249,,,1610612743,22,17,2024-04-07T01:29:01Z,780000,False,,,0,,V. Krejci personal FOUL (1 PF) (Murray 1 FT),"[1630249, 1627750]",1610612737.0,ATL,2002.0,Krejci,V. Krejci,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,1.0,0.0,Murray,1627750.0
81,PT05M42.00S,2024-04-07T01:23:53.5Z,1,REGULAR,freethrow,1 of 1,[],1627750,,,1610612743,23,17,2024-04-07T01:28:13Z,800000,False,,,0,,J. Murray Free Throw 1 of 1 (4 PTS),[1627750],1610612743.0,DEN,,Murray,J. Murray,,,,Made,4.0,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2024-04-07T01:24:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,4.02431011826544,54.90196078431373,1610612737,23,17,2024-04-07T01:24:19Z,810000,False,-25.0,-15.0,1,left,MISS B. Fernando Layup,[1628981],1610612737.0,ATL,,Fernando,B. Fernando,In The Paint (Non-RA),0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
83,PT05M22.00S,2024-04-07T01:24:17.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,23,17,2024-04-07T01:24:19Z,820000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,
84,PT05M01.00S,2024-04-07T01:24:38.2Z,1,REGULAR,3pt,Jump Shot,[],203484,92.59198423127464,4.411764705882353,1610612743,23,17,2024-04-07T01:24:49Z,830000,False,-228.0,17.0,1,right,MISS K. Caldwell-Pope turnaround fadeaway 3PT,[203484],1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,Left Corner 3,24+ Left,22.85,Missed,,,,,,,,turnaround fadeaway,,,,,,,,,,
85,PT05M00.00S,2024-04-07T01:24:39.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,23,17,2024-04-07T01:29:28Z,840000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,Left Corner 3,24+ Left,,,,,,,,,,,84.0,,,,,,,,,
86,PT05M00.00S,2024-04-07T01:24:43.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,23,17,2024-04-07T01:24:54Z,850000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,2002.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
