actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M16.00S,2023-11-27T01:13:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,93.24901445466492,46.81372549019608,1610612743,3,2,2023-11-27T01:13:23Z,170000,False,-16.0,11.0,1,right,MISS R. Jackson driving reverse Layup - blocked,"[202704, 1641705]",1610612743.0,DEN,driving reverse,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,Wembanyama,1641705.0,,
18,PT10M16.00S,2023-11-27T01:13:18.1Z,1,REGULAR,block,,[],1641705,,,1610612743,3,2,2023-11-27T01:13:20Z,180000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2023-11-27T01:13:20.1Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,3,2,2023-11-27T01:13:23Z,190000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,17.0,,,,,,,1.0,1.0,0.0,,,,
20,PT10M10.00S,2023-11-27T01:13:25.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,32.14520367936925,33.82352941176471,1610612759,3,5,2023-11-27T01:15:49Z,200000,False,81.0,250.0,1,left,V. Wembanyama 26' 3PT running (5 PTS) (J. Sochan 1 AST),"[1641705, 1631110]",1610612759.0,SAS,running,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,26.25,Made,5.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
22,PT09M58.00S,2023-11-27T01:13:39.7Z,1,REGULAR,foul,personal,[],1628380,,,1610612743,3,5,2023-11-27T01:13:57Z,220000,False,,,0,,Z. Collins personal FOUL (1 PF),"[1628380, 203484]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Center,,,,,,,,202027.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,
24,PT09M54.00S,2023-11-27T01:14:04.3Z,1,REGULAR,2pt,Jump Shot,[],1629008,76.2976346911958,55.14705882352941,1610612743,5,5,2023-11-27T01:14:13Z,240000,False,26.0,170.0,1,right,M. Porter Jr. 17' Jump Shot (5 PTS) (R. Jackson 1 AST),"[1629008, 202704]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,17.22,Made,5.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,
26,PT09M35.00S,2023-11-27T01:14:23.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,19.92444152431012,20.588235294117645,1610612759,5,5,2023-11-27T01:14:27Z,260000,False,147.0,135.0,1,left,MISS V. Wembanyama 19' Jump Shot,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right Center,19.95,Missed,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2023-11-27T01:14:26.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,5,2023-11-27T01:14:27Z,270000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right Center,,,,,,,26.0,,,,,,,1.0,1.0,0.0,,,,
28,PT09M28.00S,2023-11-27T01:14:29.9Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,5,5,2023-11-27T01:14:36Z,280000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1641705]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,,,,,,Wembanyama,1641705.0
29,PT09M28.00S,2023-11-27T01:14:29.9Z,1,REGULAR,steal,,[],1641705,,,1610612759,5,5,2023-11-27T01:14:31Z,290000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
30,PT09M25.00S,2023-11-27T01:14:35.0Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612759,5,5,2023-11-27T01:14:46Z,300000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[203484, 1641705]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,202027.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,
32,PT09M25.00S,2023-11-27T01:15:04.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641705,,,1610612759,5,6,2023-11-27T01:15:04Z,320000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (6 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
33,PT09M25.00S,2023-11-27T01:15:23.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641705,,,1610612759,5,7,2023-11-27T01:15:23Z,330000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (7 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
34,PT09M05.00S,2023-11-27T01:15:46.1Z,1,REGULAR,foul,personal,['2freethrow'],1631103,,,1610612743,5,7,2023-11-27T01:15:53Z,340000,False,,,0,,M. Branham shooting personal FOUL (1 PF) (Jackson 2 FT),"[1631103, 202704]",1610612759.0,SAS,shooting,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628954.0,1.0,0.0,Jackson,202704.0,,,,,,,,
36,PT09M05.00S,2023-11-27T01:16:16.2Z,1,REGULAR,freethrow,1 of 2,[],202704,,,1610612743,6,7,2023-11-27T01:16:16Z,360000,False,,,0,,R. Jackson Free Throw 1 of 2 (1 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
37,PT09M05.00S,2023-11-27T01:16:40.2Z,1,REGULAR,freethrow,2 of 2,[],202704,,,1610612743,7,7,2023-11-27T01:16:40Z,370000,False,,,0,,R. Jackson Free Throw 2 of 2 (2 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
38,PT08M56.00S,2023-11-27T01:16:50.0Z,1,REGULAR,3pt,Jump Shot,[],1628380,31.882391590013142,47.05882352941176,1610612759,7,7,2023-11-27T01:16:55Z,380000,False,15.0,247.0,1,left,MISS Z. Collins 24' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,24.76,Missed,,,,,,,,,,,,,,,,,,
39,PT08M54.00S,2023-11-27T01:16:53.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,7,7,2023-11-27T01:16:53Z,390000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,38.0,,,,,,,,,,,,,
41,PT08M44.00S,2023-11-27T01:17:07.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,90.62089356110381,48.28431372549019,1610612743,7,7,2023-11-27T01:17:14Z,410000,False,-9.0,36.0,1,right,MISS N. Jokic driving Hook,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,,,,,,,,,,,,,,
42,PT08M42.00S,2023-11-27T01:17:10.2Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,7,7,2023-11-27T01:17:10Z,420000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,41.0,,,,,,,2.0,1.0,1.0,,,,
43,PT08M39.00S,2023-11-27T01:17:13.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203200,68.54467805519053,54.41176470588235,1610612743,10,7,2023-11-27T01:17:19Z,430000,False,22.0,243.0,1,right,J. Holiday 24' 3PT pullup (3 PTS) (N. Jokic 1 AST),"[203200, 203999]",1610612743.0,DEN,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,24.42,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
45,PT08M27.00S,2023-11-27T01:17:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,8.229303547963205,47.30392156862745,1610612759,10,7,2023-11-27T01:17:31Z,450000,False,13.0,25.0,1,left,MISS J. Sochan driving Layup - blocked,"[1631110, 1629008]",1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,Porter Jr.,1629008.0,,
46,PT08M27.00S,2023-11-27T01:17:23.9Z,1,REGULAR,block,,[],1629008,,,1610612759,10,7,2023-11-27T01:17:26Z,460000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M27.00S,2023-11-27T01:17:23.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,10,7,2023-11-27T01:17:31Z,470000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,45.0,,,,,,,,,,,,,
49,PT08M24.00S,2023-11-27T01:17:45.6Z,1,REGULAR,turnover,bad pass,[],1631110,,,1610612759,10,7,2023-11-27T01:17:48Z,490000,False,,,0,,J. Sochan bad pass TURNOVER (1 TO),"[1631110, 203200]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,,,,,,Holiday,203200.0
50,PT08M24.00S,2023-11-27T01:17:45.6Z,1,REGULAR,steal,,[],203200,,,1610612743,10,7,2023-11-27T01:21:40Z,500000,False,,,0,,J. Holiday STEAL (1 STL),[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
51,PT08M22.00S,2023-11-27T01:17:47.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203200,91.5407358738502,49.754901960784316,1610612743,12,7,2023-11-27T01:17:59Z,510000,False,-1.0,27.0,1,right,J. Holiday running DUNK (5 PTS),[203200],1610612743.0,DEN,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,2.7,Made,5.0,,,,,,,,,,,,,,,,,
52,PT08M22.00S,2023-11-27T01:17:52.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,12,7,2023-11-27T01:17:52Z,520000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M09.00S,2023-11-27T01:20:56.7Z,1,REGULAR,2pt,Jump Shot,[],1628380,22.28975032851511,46.81372549019608,1610612759,12,9,2023-11-27T01:21:01Z,530000,False,16.0,157.0,1,left,Z. Collins 15' floating Jump Shot (2 PTS) (K. Johnson 1 AST),"[1628380, 1629640]",1610612759.0,SAS,floating,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Center,15.78,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
55,PT07M50.00S,2023-11-27T01:21:18.7Z,1,REGULAR,turnover,traveling,[],1629008,,,1610612743,12,9,2023-11-27T01:21:25Z,550000,False,,,0,,M. Porter Jr. traveling TURNOVER (1 TO),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,1628954.0,,,,,1.0,,,,,,,
56,PT07M37.00S,2023-11-27T01:21:40.9Z,1,REGULAR,turnover,traveling,[],1628380,,,1610612759,12,9,2023-11-27T01:21:48Z,560000,False,,,0,,Z. Collins traveling TURNOVER (1 TO),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,1162.0,,,,,1.0,,,,,,,
57,PT07M20.00S,2023-11-27T01:22:07.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,77.7431011826544,11.76470588235294,1610612743,15,9,2023-11-27T01:22:13Z,570000,False,-191.0,157.0,1,right,M. Porter Jr. 24' 3PT step back (8 PTS) (K. Caldwell-Pope 1 AST),"[1629008, 203484]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.72,Made,8.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
59,PT06M59.00S,2023-11-27T01:22:29.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628380,5.995400788436268,48.529411764705884,1610612759,15,11,2023-11-27T01:22:42Z,590000,False,7.0,4.0,1,left,Z. Collins cutting DUNK (4 PTS) (V. Wembanyama 1 AST),"[1628380, 1641705]",1610612759.0,SAS,cutting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,0.84,Made,4.0,V. Wembanyama,1641705.0,1.0,,,,,,,,,,,,,,
61,PT06M39.00S,2023-11-27T01:22:48.1Z,1,REGULAR,3pt,Jump Shot,[],202704,71.69842312746385,18.627450980392158,1610612743,18,11,2023-11-27T01:22:54Z,610000,False,-157.0,214.0,1,right,R. Jackson 26' 3PT  (5 PTS) (N. Jokic 2 AST),"[202704, 203999]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,26.5,Made,5.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
63,PT06M29.00S,2023-11-27T01:22:58.8Z,1,REGULAR,turnover,bad pass,[],1631110,,,1610612759,18,11,2023-11-27T01:23:03Z,630000,False,,,0,,J. Sochan bad pass TURNOVER (2 TO),"[1631110, 202704]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,,,,,,Jackson,202704.0
64,PT06M29.00S,2023-11-27T01:22:58.8Z,1,REGULAR,steal,,[],202704,,,1610612743,18,11,2023-11-27T01:23:00Z,640000,False,,,0,,R. Jackson STEAL (1 STL),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2023-11-27T01:23:06.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203484,84.44480946123521,33.33333333333333,1610612743,20,11,2023-11-27T01:25:31Z,650000,False,-83.0,94.0,1,right,K. Caldwell-Pope 12' pullup Jump Shot (2 PTS) (M. Porter Jr. 1 AST),"[203484, 1629008]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,12.54,Made,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
67,PT06M08.00S,2023-11-27T01:23:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628380,8.09789750328515,61.51960784313726,1610612759,20,11,2023-11-27T01:23:26Z,670000,False,-58.0,24.0,1,left,MISS Z. Collins 6' driving floating bank Shot,[1628380],1610612759.0,SAS,driving floating bank,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,,,,,,,,,,,,,,
68,PT06M07.00S,2023-11-27T01:23:20.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,20,11,2023-11-27T01:23:26Z,680000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,67.0,,,,,,,1.0,1.0,0.0,,,,
69,PT06M01.00S,2023-11-27T01:23:27.6Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,20,11,2023-11-27T01:23:32Z,690000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1641705]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,,,,,,Wembanyama,1641705.0
70,PT06M01.00S,2023-11-27T01:23:27.6Z,1,REGULAR,steal,,[],1641705,,,1610612759,20,11,2023-11-27T01:23:29Z,700000,False,,,0,,V. Wembanyama STEAL (2 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
71,PT05M53.00S,2023-11-27T01:23:34.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631103,5.995400788436268,96.56862745098039,1610612759,20,14,2023-11-27T01:28:58Z,710000,False,-233.0,4.0,1,left,M. Branham 3PT running (3 PTS) (Z. Collins 1 AST),"[1631103, 1628380]",1610612759.0,SAS,running,,,Branham,M. Branham,,,,,Left Corner 3,24+ Left,23.28,Made,3.0,Z. Collins,1628380.0,1.0,,,,,,,,,,,,,,
73,PT05M32.00S,2023-11-27T01:23:58.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,92.9862023653088,58.333333333333336,1610612743,22,14,2023-11-27T01:24:05Z,730000,False,42.0,13.0,1,right,N. Jokic driving floating bank Jump Shot (2 PTS) (K. Caldwell-Pope 2 AST),"[203999, 203484]",1610612743.0,DEN,driving floating bank,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,4.38,Made,2.0,K. Caldwell-Pope,203484.0,2.0,,,,,,,,,,,,,,
75,PT05M32.00S,2023-11-27T01:24:02.1Z,1,REGULAR,foul,personal,['1freethrow'],1631103,,,1610612743,22,14,2023-11-27T01:24:09Z,750000,False,,,0,,M. Branham shooting personal FOUL (2 PF) (Jokic 1 FT),"[1631103, 203999]",1610612759.0,SAS,shooting,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202027.0,2.0,0.0,Jokic,203999.0,,,,,,,,
92,PT05M32.00S,2023-11-27T01:24:06.6Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,23,14,2023-11-27T01:28:42Z,765000,False,,,0,,N. Jokic Free Throw 1 of 1 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
77,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,out,[],1629008,,,1610612759,23,14,2023-11-27T01:27:27Z,770000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,out,[],202704,,,1610612759,23,14,2023-11-27T01:27:27Z,780000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,out,[],1631103,,,1610612759,23,14,2023-11-27T01:27:27Z,790000,False,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,23,14,2023-11-27T01:27:27Z,800000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,in,[],1630192,,,1610612759,23,14,2023-11-27T01:27:27Z,810000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,in,[],1631128,,,1610612759,23,14,2023-11-27T01:27:27Z,820000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,in,[],1630170,,,1610612759,23,14,2023-11-27T01:27:27Z,830000,False,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M32.00S,2023-11-27T01:24:11.9Z,1,REGULAR,substitution,in,[],1630200,,,1610612759,23,14,2023-11-27T01:27:27Z,840000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M23.00S,2023-11-27T01:24:50.4Z,1,REGULAR,foul,personal,[],1630192,,,1610612759,23,14,2023-11-27T01:27:27Z,850000,False,,,0,,Z. Nnaji personal FOUL (1 PF),"[1630192, 1641705]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Mid-Range,16-24 Right Center,,,,,,,,1628954.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,
88,PT05M23.00S,2023-11-27T01:24:55.7Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,23,14,2023-11-27T01:27:27Z,880000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M23.00S,2023-11-27T01:24:55.7Z,1,REGULAR,substitution,in,[],1626224,,,1610612759,23,14,2023-11-27T01:27:27Z,890000,False,,,0,,SUB in: C. Osman,[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
