actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M23.00S,2023-12-29T02:13:09.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631212,15.850854139290407,94.11764705882352,1610612743,2,3,2023-12-29T02:13:15Z,190000,False,-221.0,96.0,1,left,MISS P. Watson 24' 3PT,[1631212],1610612743.0,DEN,,Watson,P. Watson,,Above the Break 3,24+ Left Center,24.08,Missed,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2023-12-29T02:13:12.6Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,2,3,2023-12-29T02:13:15Z,200000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612763.0,MEM,,Biyombo,B. Biyombo,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M06.00S,2023-12-29T02:13:25.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,90.88370565045992,50.245098039215684,1610612763,2,5,2023-12-29T02:13:30Z,210000,False,1.0,33.0,1,right,J. Jackson Jr. driving floating Jump Shot (2 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,driving floating,Restricted Area,0-8 Center,3.32,Made,,,,,2.0,D. Bane,1630217.0,1.0,,,,,,,,,
23,PT09M48.00S,2023-12-29T02:13:43.9Z,1,REGULAR,3pt,Jump Shot,[],1631212,9.543363994743759,3.6764705882352944,1610612743,2,5,2023-12-29T02:13:52Z,230000,False,232.0,37.0,1,left,MISS P. Watson 3PT,[1631212],1610612743.0,DEN,,Watson,P. Watson,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2023-12-29T02:13:46.9Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,2,5,2023-12-29T02:13:52Z,240000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:2),[202687],1610612763.0,MEM,,Biyombo,B. Biyombo,,Right Corner 3,24+ Right,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,
25,PT09M40.00S,2023-12-29T02:13:52.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,67.62483574244416,16.176470588235293,1610612763,2,8,2023-12-29T02:16:14Z,250000,False,-169.0,252.0,1,right,D. Bane 30' 3PT running pullup (6 PTS),[1630217],1610612763.0,MEM,,Bane,D. Bane,running pullup,Above the Break 3,24+ Left Center,30.33,Made,,,,,6.0,,,,,,,,,,,,
26,PT09M20.00S,2023-12-29T02:14:12.0Z,1,REGULAR,3pt,Jump Shot,[],1631212,8.492115637319317,2.450980392156863,1610612743,5,8,2023-12-29T02:14:17Z,260000,False,238.0,27.0,1,left,P. Watson 3PT  (3 PTS) (J. Murray 2 AST),"[1631212, 1627750]",1610612743.0,DEN,,Watson,P. Watson,,Right Corner 3,24+ Right,23.93,Made,,,,,3.0,J. Murray,1627750.0,2.0,,,,,,,,,
28,PT09M11.00S,2023-12-29T02:14:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.24901445466492,51.470588235294116,1610612763,5,10,2023-12-29T02:14:32Z,280000,False,7.0,11.0,1,right,D. Bane driving finger roll Layup (8 PTS),[1630217],1610612763.0,MEM,,Bane,D. Bane,driving finger roll,Restricted Area,0-8 Center,1.33,Made,,,,,8.0,,,,,,,,,,,,
29,PT09M11.00S,2023-12-29T02:14:27.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,5,10,2023-12-29T02:14:27Z,290000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M56.00S,2023-12-29T02:17:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,5.995400788436268,48.529411764705884,1610612743,7,10,2023-12-29T02:17:35Z,300000,False,7.0,4.0,1,left,M. Porter Jr. cutting Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[1629008, 203484]",1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,cutting,Restricted Area,0-8 Center,0.84,Made,,,,,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,
32,PT08M39.00S,2023-12-29T02:17:43.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,83.78777923784494,37.99019607843137,1610612763,7,12,2023-12-29T02:17:49Z,320000,False,-60.0,100.0,1,right,D. Bane 11' pullup Jump Shot (10 PTS),[1630217],1610612763.0,MEM,,Bane,D. Bane,pullup,In The Paint (Non-RA),8-16 Left,11.65,Made,,,,,10.0,,,,,,,,,,,,
33,PT08M24.00S,2023-12-29T02:17:57.9Z,1,REGULAR,2pt,Jump Shot,[],1629008,29.6484888304862,48.28431372549019,1610612743,7,12,2023-12-29T02:18:03Z,330000,False,9.0,226.0,1,left,MISS M. Porter Jr. 22' pullup Shot,[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,pullup,Mid-Range,16-24 Center,22.64,Missed,,,,,,,,,,,,,,,,,
34,PT08M22.00S,2023-12-29T02:17:59.9Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,7,12,2023-12-29T02:18:03Z,340000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:2),[1631246],1610612763.0,MEM,,Williams Jr.,V. Williams Jr.,,Mid-Range,16-24 Center,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT08M15.00S,2023-12-29T02:18:08.1Z,1,REGULAR,3pt,Jump Shot,[],1628991,72.61826544021025,18.137254901960784,1610612763,7,12,2023-12-29T02:18:14Z,350000,False,-159.0,205.0,1,right,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,Above the Break 3,24+ Left Center,25.95,Missed,,,,,,,,,,,,,,,,,
36,PT08M10.00S,2023-12-29T02:18:13.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,12,2023-12-29T02:18:14Z,360000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,Jokic,N. Jokic,,Above the Break 3,24+ Left Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M04.00S,2023-12-29T02:18:18.4Z,1,REGULAR,turnover,lost ball,[],1629008,,,1610612743,7,12,2023-12-29T02:18:24Z,370000,False,,,0,,M. Porter Jr. lost ball TURNOVER (1 TO),"[1629008, 1628991]",1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,1.0,Jackson Jr.,1628991.0
38,PT08M04.00S,2023-12-29T02:18:18.4Z,1,REGULAR,steal,,[],1628991,,,1610612763,7,12,2023-12-29T02:18:20Z,380000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
39,PT07M54.00S,2023-12-29T02:18:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,90.3580814717477,56.372549019607845,1610612763,7,12,2023-12-29T02:18:38Z,390000,False,32.0,38.0,1,right,MISS M. Smart driving Layup - blocked,"[203935, 1629008]",1610612763.0,MEM,,Smart,M. Smart,driving,In The Paint (Non-RA),0-8 Center,4.97,Missed,,,,,,,,,Porter Jr.,1629008.0,,,,,,,
40,PT07M54.00S,2023-12-29T02:18:28.2Z,1,REGULAR,block,,[],1629008,,,1610612763,7,12,2023-12-29T02:18:31Z,400000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
41,PT07M51.00S,2023-12-29T02:18:31.2Z,1,REGULAR,rebound,offensive,[],203935,,,1610612763,7,12,2023-12-29T02:18:38Z,410000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612763.0,MEM,,Smart,M. Smart,,In The Paint (Non-RA),0-8 Center,,,39.0,1.0,0.0,1.0,,,,,,,,,,,,,
42,PT07M50.00S,2023-12-29T02:18:32.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631246,91.80354796320631,94.36274509803921,1610612763,7,15,2023-12-29T02:18:41Z,420000,False,222.0,25.0,1,right,V. Williams Jr. 3PT  (3 PTS) (M. Smart 1 AST),"[1631246, 203935]",1610612763.0,MEM,,Williams Jr.,V. Williams Jr.,,Right Corner 3,24+ Right,22.31,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,
44,PT07M27.00S,2023-12-29T02:18:55.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631212,4.681340341655716,49.26470588235294,1610612743,7,15,2023-12-29T02:19:05Z,440000,False,4.0,-8.0,1,left,MISS P. Watson reverse DUNK,[1631212],1610612743.0,DEN,,Watson,P. Watson,reverse,Restricted Area,0-8 Center,0.93,Missed,,,,,,,,,,,,,,,,,
46,PT07M24.00S,2023-12-29T02:18:58.8Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,7,15,2023-12-29T02:19:05Z,460000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:3),[1631246],1610612763.0,MEM,,Williams Jr.,V. Williams Jr.,,Restricted Area,0-8 Center,,,44.0,3.0,3.0,0.0,,,,,,,,,,,,,
47,PT07M17.00S,2023-12-29T02:19:05.4Z,1,REGULAR,3pt,Jump Shot,[],203935,69.46452036793693,68.13725490196079,1610612763,7,15,2023-12-29T02:19:13Z,470000,False,91.0,235.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612763.0,MEM,,Smart,M. Smart,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,
48,PT07M14.00S,2023-12-29T02:19:08.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,15,2023-12-29T02:19:13Z,480000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,Jokic,N. Jokic,,Above the Break 3,24+ Right Center,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT07M06.00S,2023-12-29T02:19:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,5.863994743758213,47.30392156862745,1610612743,9,15,2023-12-29T02:19:21Z,490000,False,13.0,3.0,1,left,K. Caldwell-Pope Layup (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,,Restricted Area,0-8 Center,1.37,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,
51,PT06M48.00S,2023-12-29T02:19:34.4Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,9,15,2023-12-29T02:19:42Z,510000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1627750]",1610612763.0,MEM,,Bane,D. Bane,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,1.0,Murray,1627750.0
52,PT06M48.00S,2023-12-29T02:19:34.4Z,1,REGULAR,steal,,[],1627750,,,1610612743,9,15,2023-12-29T02:19:36Z,520000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,Murray,J. Murray,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
53,PT06M44.00S,2023-12-29T02:19:39.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629008,21.76412614980289,88.72549019607843,1610612743,12,15,2023-12-29T02:22:53Z,530000,False,-194.0,152.0,1,left,M. Porter Jr. 24' 3PT running (5 PTS) (J. Murray 3 AST),"[1629008, 1627750]",1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,running,Above the Break 3,24+ Left Center,24.62,Made,,,,,5.0,J. Murray,1627750.0,3.0,,,,,,,,,
55,PT06M22.00S,2023-12-29T02:20:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,91.27792378449409,57.59803921568627,1610612763,12,15,2023-12-29T02:20:08Z,550000,False,38.0,29.0,1,right,MISS J. Jackson Jr. turnaround bank Shot,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,turnaround bank,In The Paint (Non-RA),0-8 Center,4.81,Missed,,,,,,,,,,,,,,,,,
56,PT06M20.00S,2023-12-29T02:20:02.2Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,12,15,2023-12-29T02:20:08Z,560000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,In The Paint (Non-RA),0-8 Center,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,
57,PT06M19.00S,2023-12-29T02:20:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,91.80354796320631,49.50980392156863,1610612763,12,15,2023-12-29T02:20:11Z,570000,False,-2.0,25.0,1,right,MISS J. Jackson Jr. putback Layup,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,putback,Restricted Area,0-8 Center,2.46,Missed,,,,,,,,,,,,,,,,,
58,PT06M17.00S,2023-12-29T02:20:05.9Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,12,15,2023-12-29T02:20:11Z,580000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,Watson,P. Watson,,Restricted Area,0-8 Center,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,
59,PT06M12.00S,2023-12-29T02:20:10.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,25.837713534822605,14.950980392156863,1610612743,15,15,2023-12-29T02:20:29Z,590000,False,175.0,190.0,1,left,J. Murray 25' 3PT step back (3 PTS) (P. Watson 1 AST),"[1627750, 1631212]",1610612743.0,DEN,,Murray,J. Murray,step back,Above the Break 3,24+ Right Center,25.87,Made,,,,,3.0,P. Watson,1631212.0,1.0,,,,,,,,,
60,PT06M10.00S,2023-12-29T02:20:18.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,15,15,2023-12-29T02:20:18Z,600000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M10.00S,2023-12-29T02:22:47.7Z,1,REGULAR,substitution,out,[],1631212,,,1610612763,15,15,2023-12-29T02:23:20Z,610000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,
62,PT06M10.00S,2023-12-29T02:22:47.7Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,15,15,2023-12-29T02:23:20Z,620000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,
63,PT06M10.00S,2023-12-29T02:22:47.7Z,1,REGULAR,substitution,out,[],203935,,,1610612763,15,15,2023-12-29T02:23:20Z,630000,False,,,0,,SUB out: M. Smart,[203935],1610612763.0,MEM,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,
65,PT06M10.00S,2023-12-29T02:22:47.7Z,1,REGULAR,substitution,in,[],1631223,,,1610612763,15,15,2023-12-29T02:23:20Z,650000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,
66,PT06M10.00S,2023-12-29T02:22:47.7Z,1,REGULAR,substitution,in,[],1629723,,,1610612763,15,15,2023-12-29T02:23:20Z,660000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,
74,PT06M10.00S,2023-12-29T02:22:47.7Z,1,REGULAR,substitution,in,[],203200,,,1610612763,15,15,2023-12-29T02:24:00Z,667500,False,,,0,,SUB in: J. Holiday,[203200],1610612743.0,DEN,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,
67,PT06M03.00S,2023-12-29T02:23:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.59198423127464,47.30392156862745,1610612763,15,15,2023-12-29T02:23:33Z,670000,False,-13.0,17.0,1,right,MISS D. Bane cutting Layup - blocked,"[1630217, 203484]",1610612763.0,MEM,,Bane,D. Bane,cutting,Restricted Area,0-8 Center,2.18,Missed,,,,,,,,,Caldwell-Pope,203484.0,,,,,,,
68,PT06M03.00S,2023-12-29T02:23:20.7Z,1,REGULAR,block,,[],203484,,,1610612763,15,15,2023-12-29T02:23:23Z,680000,False,,,0,,K. Caldwell-Pope BLOCK (1 BLK),[203484],1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
69,PT06M03.00S,2023-12-29T02:23:20.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,15,15,2023-12-29T02:23:33Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,Restricted Area,0-8 Center,,,67.0,,,,,,,,,,,,,,,,
72,PT05M49.00S,2023-12-29T02:23:50.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631246,75.77201051248358,83.08823529411765,1610612763,15,15,2023-12-29T02:24:16Z,710000,False,165.0,175.0,1,right,MISS V. Williams Jr. 24' 3PT,[1631246],1610612763.0,MEM,,Williams Jr.,V. Williams Jr.,,Above the Break 3,24+ Right Center,24.09,Missed,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2023-12-29T02:23:53.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,15,15,2023-12-29T02:24:16Z,720000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,Above the Break 3,24+ Right Center,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,
75,PT05M27.00S,2023-12-29T02:24:12.1Z,1,REGULAR,2pt,Jump Shot,[],203999,9.674770039421814,25.98039215686275,1610612743,17,15,2023-12-29T02:24:20Z,730000,False,120.0,38.0,1,left,N. Jokic 12' fadeaway Jump Shot (4 PTS),[203999],1610612743.0,DEN,,Jokic,N. Jokic,fadeaway,Mid-Range,8-16 Right,12.61,Made,,,,,4.0,,,,,,,,,,,,
76,PT05M05.00S,2023-12-29T02:24:34.2Z,1,REGULAR,3pt,Jump Shot,[],1631223,69.85873850197109,74.75490196078431,1610612763,17,18,2023-12-29T02:24:40Z,740000,False,124.0,231.0,1,right,D. Roddy 26' 3PT  (3 PTS) (J. Konchar 1 AST),"[1631223, 1629723]",1610612763.0,MEM,,Roddy,D. Roddy,,Above the Break 3,24+ Right Center,26.19,Made,,,,,3.0,J. Konchar,1629723.0,1.0,,,,,,,,,
78,PT04M47.00S,2023-12-29T02:24:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.652431011826544,53.18627450980392,1610612743,19,18,2023-12-29T02:24:58Z,760000,False,-16.0,10.0,1,left,J. Murray driving finger roll Layup (5 PTS) (N. Jokic 2 AST),"[1627750, 203999]",1610612743.0,DEN,,Murray,J. Murray,driving finger roll,Restricted Area,0-8 Center,1.88,Made,,,,,5.0,N. Jokic,203999.0,2.0,,,,,,,,,
80,PT04M31.00S,2023-12-29T02:25:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202687,93.38042049934296,46.568627450980394,1610612763,19,20,2023-12-29T02:25:14Z,780000,False,-17.0,10.0,1,right,B. Biyombo Layup (2 PTS) (D. Roddy 1 AST),"[202687, 1631223]",1610612763.0,MEM,,Biyombo,B. Biyombo,,Restricted Area,0-8 Center,1.97,Made,,,,,2.0,D. Roddy,1631223.0,1.0,,,,,,,,,
83,PT04M13.00S,2023-12-29T02:25:32.0Z,1,REGULAR,foul,personal,[],202687,,,1610612743,19,20,2023-12-29T02:26:09Z,800000,False,,,0,,B. Biyombo personal FOUL (2 PF),"[202687, 203999]",1610612763.0,MEM,1626302.0,Biyombo,B. Biyombo,,Mid-Range,16-24 Center,,,,,,,,,,,,,2.0,0.0,Jokic,203999.0,,,
85,PT04M13.00S,2023-12-29T02:25:46.9Z,1,REGULAR,substitution,out,[],202687,,,1610612743,19,20,2023-12-29T02:25:59Z,820000,False,,,0,,SUB out: B. Biyombo,[202687],1610612763.0,MEM,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,
86,PT04M13.00S,2023-12-29T02:25:46.9Z,1,REGULAR,substitution,out,[],1631246,,,1610612743,19,20,2023-12-29T02:25:59Z,830000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,
87,PT04M13.00S,2023-12-29T02:25:46.9Z,1,REGULAR,substitution,in,[],1630214,,,1610612743,19,20,2023-12-29T02:25:59Z,840000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,
