actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M36.00S,2024-03-31T19:43:21.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,3,4,2024-03-31T19:43:28Z,180000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,,,,1.0,1.0,0.0,,,,,
19,PT10M30.00S,2024-03-31T19:43:27.1Z,1,REGULAR,3pt,Jump Shot,[],203932,91.14651773981603,96.07843137254902,1610612743,3,4,2024-03-31T19:43:31Z,190000,False,230.0,31.0,1,right,MISS A. Gordon step back 3PT,[203932],1610612743.0,DEN,step back,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,23.24,Missed,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2024-03-31T19:43:29.1Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,3,4,2024-03-31T19:43:31Z,200000,False,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Right Corner 3,24+ Right,,,,,,,,,19.0,,,,1.0,1.0,0.0,,,,,
21,PT10M22.00S,2024-03-31T19:43:35.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,27.94021024967148,17.15686274509804,1610612739,3,7,2024-03-31T19:43:43Z,210000,False,164.0,210.0,1,left,D. Mitchell 26' 3PT pullup (5 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,26.67,Made,5.0,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2024-03-31T19:43:50.4Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,3,7,2024-03-31T19:43:55Z,220000,False,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,1162.0,,,,,,,,,,,,1.0,,,,
23,PT09M58.00S,2024-03-31T19:44:04.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628386,10.726018396846255,49.50980392156863,1610612739,3,9,2024-03-31T19:44:10Z,230000,False,2.0,48.0,1,left,J. Allen Hook (4 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,4.84,Made,4.0,,,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,
25,PT09M47.00S,2024-03-31T19:44:15.7Z,1,REGULAR,3pt,Jump Shot,[],203999,71.69842312746385,76.47058823529412,1610612743,6,9,2024-03-31T19:55:19Z,250000,False,132.0,214.0,1,right,N. Jokic 25' 3PT pullup (3 PTS),[203999],1610612743.0,DEN,pullup,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,25.12,Made,3.0,,,,,,,,,,,,,,,,,
26,PT09M33.00S,2024-03-31T19:44:28.9Z,1,REGULAR,2pt,Hook,[],1628386,6.307490144546649,69.38572303921569,1610612739,6,9,2024-03-31T19:44:36Z,260000,False,-97.0,7.0,1,left,MISS J. Allen 9' turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,9.71,Missed,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2024-03-31T19:44:29.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,9,2024-03-31T19:44:32Z,270000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,26.0,,,,2.0,2.0,0.0,,,,,
28,PT09M19.00S,2024-03-31T19:44:43.5Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,6,9,2024-03-31T19:44:48Z,280000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1629636]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Garland,1629636.0,,
29,PT09M19.00S,2024-03-31T19:44:43.5Z,1,REGULAR,steal,,[],1629636,,,1610612739,6,9,2024-03-31T19:44:45Z,290000,False,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
30,PT09M11.00S,2024-03-31T19:44:51.3Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,6,9,2024-03-31T19:44:55Z,300000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 203484]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,
31,PT09M11.00S,2024-03-31T19:44:51.3Z,1,REGULAR,steal,,[],203484,,,1610612743,6,9,2024-03-31T19:44:53Z,310000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M06.00S,2024-03-31T19:44:56.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629008,72.09264126149803,20.833333333333336,1610612743,6,9,2024-03-31T19:47:37Z,320000,False,-146.0,210.0,1,right,MISS M. Porter Jr. 25' running 3PT,[1629008],1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.55,Missed,,,,,,,,,,,,,,,,,,
33,PT09M03.00S,2024-03-31T19:44:59.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,6,9,2024-03-31T19:45:03Z,330000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,32.0,,,,1.0,1.0,0.0,,,,,
34,PT08M55.00S,2024-03-31T19:45:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,6.652431011826544,53.18627450980392,1610612739,6,11,2024-03-31T19:45:14Z,340000,False,-16.0,10.0,1,left,M. Strus cutting Layup (2 PTS) (D. Mitchell 2 AST),"[1629622, 1628378]",1610612739.0,CLE,cutting,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,1.88,Made,2.0,,,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,
36,PT08M54.00S,2024-03-31T19:45:12.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,6,11,2024-03-31T19:45:15Z,360000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2024-03-31T19:48:12.8Z,1,REGULAR,foul,personal,[],1628378,,,1610612743,6,11,2024-03-31T19:48:21Z,370000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 203999]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Center,,,,1162.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,
39,PT08M29.00S,2024-03-31T19:48:43.6Z,1,REGULAR,2pt,Jump Shot,[],1629008,75.9526938239159,81.88572303921569,1610612743,8,11,2024-03-31T19:48:59Z,390000,False,159.0,174.0,1,right,M. Porter Jr. 23' step back Jump Shot (2 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,23.56,Made,2.0,,,,,,,N. Jokic,203999.0,2.0,,,,,,,,
41,PT08M08.00S,2024-03-31T19:49:04.2Z,1,REGULAR,2pt,Jump Shot,[],1629636,5.601182654402102,80.3921568627451,1610612739,8,13,2024-03-31T19:49:12Z,410000,False,-152.0,0.0,1,left,D. Garland 15' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,15.2,Made,2.0,,,,,,,,,,,,,,,,,
42,PT07M52.00S,2024-03-31T19:49:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,85.10183968462549,42.15686274509804,1610612743,10,13,2024-03-31T19:52:02Z,420000,False,-39.0,88.0,1,right,M. Porter Jr. 9' pullup Jump Shot (4 PTS) (N. Jokic 3 AST),"[1629008, 203999]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.59,Made,4.0,,,,,,,N. Jokic,203999.0,3.0,,,,,,,,
44,PT07M44.00S,2024-03-31T19:49:28.7Z,1,REGULAR,2pt,Jump Shot,[],1629636,26.231931668856767,53.92156862745098,1610612739,10,13,2024-03-31T19:49:33Z,440000,False,-20.0,194.0,1,left,MISS D. Garland 19' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,19.51,Missed,,,,,,,,,,,,,,,,,,
45,PT07M42.00S,2024-03-31T19:49:30.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,13,2024-03-31T19:49:33Z,450000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,,,,,,44.0,,,,1.0,1.0,0.0,,,,,
46,PT07M33.00S,2024-03-31T19:49:40.1Z,1,REGULAR,2pt,Jump Shot,[],1629008,79.188567674113,30.392156862745097,1610612743,12,13,2024-03-31T19:49:45Z,460000,False,-98.0,143.0,1,right,M. Porter Jr. 17' Jump Shot (6 PTS) (K. Caldwell-Pope 1 AST),"[1629008, 203484]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,17.34,Made,6.0,,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,,
49,PT07M08.00S,2024-03-31T19:50:15.2Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,12,13,2024-03-31T19:50:19Z,490000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M08.00S,2024-03-31T19:50:15.2Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,12,13,2024-03-31T19:50:19Z,500000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M04.00S,2024-03-31T19:50:36.7Z,1,REGULAR,2pt,Jump Shot,[],1628386,22.28975032851511,33.33333333333333,1610612739,12,13,2024-03-31T19:50:45Z,510000,False,83.0,157.0,1,left,MISS J. Allen 17' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Right Center,17.77,Missed,,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2024-03-31T19:50:39.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,12,13,2024-03-31T19:50:45Z,520000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Right Center,,,,,,,,,51.0,,,,1.0,1.0,0.0,,,,,
53,PT06M55.00S,2024-03-31T19:50:46.3Z,1,REGULAR,2pt,Jump Shot,[],1629008,81.2910643889619,20.588235294117645,1610612743,12,13,2024-03-31T19:50:53Z,530000,False,-147.0,123.0,1,right,MISS M. Porter Jr. 19' step back Shot,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,19.2,Missed,,,,,,,,,,,,,,,,,,
54,PT06M51.00S,2024-03-31T19:50:50.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,12,13,2024-03-31T19:50:53Z,540000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Left Center,,,,,,,,,53.0,,,,2.0,2.0,0.0,,,,,
55,PT06M46.00S,2024-03-31T19:50:56.9Z,1,REGULAR,foul,personal,[],202704,,,1610612739,12,13,2024-03-31T19:51:19Z,550000,False,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 1630596]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left Center,,,,1162.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,
57,PT06M46.00S,2024-03-31T19:51:06.2Z,1,REGULAR,substitution,out,[],202704,,,1610612739,12,13,2024-03-31T19:51:08Z,570000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2024-03-31T19:51:06.2Z,1,REGULAR,substitution,in,[],1631128,,,1610612739,12,13,2024-03-31T19:51:08Z,580000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M37.00S,2024-03-31T19:51:30.2Z,1,REGULAR,3pt,Jump Shot,[],1630596,27.283180026281208,21.323529411764707,1610612739,12,16,2024-03-31T19:51:38Z,590000,False,143.0,204.0,1,left,E. Mobley 24' 3PT  (3 PTS) (C. LeVert 1 AST),"[1630596, 1627747]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,24.94,Made,3.0,,,,,,,C. LeVert,1627747.0,1.0,,,,,,,,
61,PT06M24.00S,2024-03-31T19:51:42.8Z,1,REGULAR,3pt,Jump Shot,[],203484,68.41327201051249,65.44117647058823,1610612743,15,16,2024-03-31T19:51:47Z,610000,False,77.0,244.0,1,right,K. Caldwell-Pope 25' 3PT pullup (3 PTS) (A. Gordon 1 AST),"[203484, 203932]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,25.63,Made,3.0,,,,,,,A. Gordon,203932.0,1.0,,,,,,,,
63,PT06M09.00S,2024-03-31T19:52:01.9Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,15,16,2024-03-31T19:52:08Z,630000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,200833.0,,,,,,,,,,,,1.0,,,,
64,PT06M00.00S,2024-03-31T19:52:22.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203484,67.88764783180025,58.333333333333336,1610612743,18,16,2024-03-31T19:52:27Z,640000,False,42.0,249.0,1,right,K. Caldwell-Pope 25' 3PT  (6 PTS) (A. Gordon 2 AST),"[203484, 203932]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,25.29,Made,6.0,,,,,,,A. Gordon,203932.0,2.0,,,,,,,,
66,PT05M58.00S,2024-03-31T19:52:27.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,18,16,2024-03-31T19:52:27Z,660000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M58.00S,2024-03-31T19:54:59.6Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,18,16,2024-03-31T19:55:26Z,670000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M58.00S,2024-03-31T19:54:59.6Z,1,REGULAR,substitution,in,[],1627777,,,1610612739,18,16,2024-03-31T19:55:26Z,680000,False,,,0,,SUB in: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M41.00S,2024-03-31T19:55:42.8Z,1,REGULAR,2pt,Jump Shot,[],1628386,21.23850197109067,61.51960784313726,1610612739,18,16,2024-03-31T19:55:47Z,690000,False,-58.0,147.0,1,left,MISS J. Allen 15' Jump Shot,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Center,15.8,Missed,,,,,,,,,,,,,,,,,,
70,PT05M38.00S,2024-03-31T19:55:45.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,16,2024-03-31T19:55:47Z,700000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,,,,,,,,,69.0,,,,2.0,2.0,0.0,,,,,
71,PT05M29.00S,2024-03-31T19:55:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.24901445466492,51.225490196078425,1610612743,18,16,2024-03-31T19:55:59Z,710000,False,6.0,11.0,1,right,MISS N. Jokic driving Layup - blocked,"[203999, 1628386]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,1.26,Missed,,,,,,,,,,,,,,,,,Allen,1628386.0
72,PT05M29.00S,2024-03-31T19:55:54.1Z,1,REGULAR,block,,[],1628386,,,1610612743,18,16,2024-03-31T19:55:55Z,720000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
73,PT05M27.00S,2024-03-31T19:55:56.1Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,18,16,2024-03-31T19:55:59Z,730000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,71.0,,,,1.0,1.0,0.0,,,,,
74,PT05M23.00S,2024-03-31T19:56:00.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627747,22.946780551905388,87.25490196078431,1610612739,18,19,2024-03-31T19:56:41Z,740000,False,-186.0,163.0,1,left,C. LeVert 24' 3PT running (3 PTS) (M. Strus 1 AST),"[1627747, 1629622]",1610612739.0,CLE,running,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,24.77,Made,3.0,,,,,,,M. Strus,1629622.0,1.0,,,,,,,,
76,PT05M09.00S,2024-03-31T19:56:16.5Z,1,REGULAR,foul,personal,[],1629622,,,1610612743,18,19,2024-03-31T19:56:29Z,760000,False,,,0,,M. Strus personal FOUL (1 PF),"[1629622, 203484]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,,,,200833.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,
78,PT04M55.00S,2024-03-31T19:56:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,91.67214191852825,51.9607843137255,1610612743,18,19,2024-03-31T19:56:57Z,780000,False,10.0,26.0,1,right,MISS N. Jokic Layup,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.76,Missed,,,,,,,,,,,,,,,,,,
79,PT04M54.00S,2024-03-31T19:56:51.5Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,19,2024-03-31T19:56:57Z,790000,False,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,78.0,,,,3.0,2.0,1.0,,,,,
80,PT04M54.00S,2024-03-31T19:56:55.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,18,19,2024-03-31T19:57:13Z,800000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,1204.0,,,,,,,,,,,,,,,,
81,PT04M40.00S,2024-03-31T19:57:19.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628386,7.703679369250986,51.71568627450981,1610612739,18,19,2024-03-31T19:58:22Z,810000,False,-9.0,20.0,1,left,MISS J. Allen turnaround bank Hook,[1628386],1610612739.0,CLE,turnaround bank,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
82,PT04M37.00S,2024-03-31T19:57:22.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,19,2024-03-31T19:57:24Z,820000,False,,,0,,N. Jokic REBOUND (Off:1 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,81.0,,,,4.0,3.0,1.0,,,,,
83,PT04M31.00S,2024-03-31T19:57:27.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631128,92.06636005256242,43.627450980392155,1610612743,18,19,2024-03-31T19:57:40Z,830000,False,-32.0,22.0,1,right,MISS C. Braun running Layup,[1631128],1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.88,Missed,,,,,,,,,,,,,,,,,,
84,PT04M31.00S,2024-03-31T19:57:27.5Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,18,19,2024-03-31T19:57:40Z,840000,False,,,0,,C. Braun REBOUND (Off:1 Def:0),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,,,,83.0,,,,1.0,0.0,1.0,,,,,
85,PT04M28.00S,2024-03-31T19:57:31.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629008,74.85216819973719,66.91176470588235,1610612743,18,19,2024-03-31T19:57:36Z,850000,False,85.0,184.0,1,right,MISS M. Porter Jr. 20' pullup Shot,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,20.24,Missed,,,,,,,,,,,,,,,,,,
86,PT04M25.00S,2024-03-31T19:57:34.3Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,18,19,2024-03-31T19:57:36Z,860000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Mid-Range,16-24 Right Center,,,,,,,,,85.0,,,,1.0,1.0,0.0,,,,,
