actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M20.00S,2024-01-30T02:12:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,9.247700394218143,53.92156862745098,1610612743,2,7,2024-01-30T02:17:03Z,180000,False,-20.0,34.0,1,left,J. Murray driving Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[1627750, 203484]",1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.96,Made,,,,,2.0,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,,
19,PT10M20.00S,2024-01-30T02:12:44.6Z,1,REGULAR,foul,personal,['1freethrow'],201572,,,1610612743,2,7,2024-01-30T02:13:00Z,190000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Murray 1 FT),"[201572, 1627750]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1146.0,1.0,0.0,Murray,1627750.0,,,
21,PT10M20.00S,2024-01-30T02:13:01.6Z,1,REGULAR,freethrow,1 of 1,[],1627750,,,1610612743,3,7,2024-01-30T02:13:01Z,210000,False,,,0,,J. Murray Free Throw 1 of 1 (3 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
22,PT10M08.00S,2024-01-30T02:13:12.9Z,1,REGULAR,3pt,Jump Shot,[],203114,68.67608409986859,31.862745098039213,1610612749,3,10,2024-01-30T02:17:58Z,220000,False,-91.0,242.0,1,right,K. Middleton 25' 3PT  (6 PTS) (M. Beasley 1 AST),"[203114, 1627736]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.83,Made,,,,,6.0,,,M. Beasley,1627736.0,1.0,,,,,,,,
24,PT09M49.00S,2024-01-30T02:13:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,12.828515111695138,55.88235294117647,1610612743,3,10,2024-01-30T02:13:37Z,240000,False,-29.0,68.0,1,left,MISS J. Murray 7' floating Shot,[1627750],1610612743.0,DEN,floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,7.42,Missed,,,,,,,,,,,,,,,,,,
25,PT09M46.00S,2024-01-30T02:13:34.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,10,2024-01-30T02:13:37Z,250000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,,,
26,PT09M40.00S,2024-01-30T02:13:40.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,89.30683311432325,56.86274509803921,1610612749,3,12,2024-01-30T02:13:55Z,260000,False,34.0,48.0,1,right,M. Beasley driving floating bank Jump Shot (2 PTS) (G. Antetokounmpo 2 AST),"[1627736, 203507]",1610612749.0,MIL,driving floating bank,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,,,,,2.0,,,G. Antetokounmpo,203507.0,2.0,,,,,,,,
28,PT09M20.00S,2024-01-30T02:14:02.7Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612743,3,12,2024-01-30T02:14:24Z,280000,False,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Gordon 2 FT),"[203507, 203932]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1146.0,1.0,0.0,Gordon,203932.0,,,
30,PT09M20.00S,2024-01-30T02:14:29.3Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,3,12,2024-01-30T02:14:29Z,300000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
31,PT09M20.00S,2024-01-30T02:14:29.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,3,12,2024-01-30T02:14:29Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,
32,PT09M20.00S,2024-01-30T02:14:45.9Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,4,12,2024-01-30T02:14:46Z,320000,False,,,0,,A. Gordon Free Throw 2 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
33,PT09M04.00S,2024-01-30T02:15:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,92.32917214191852,38.72549019607843,1610612749,4,12,2024-01-30T02:15:09Z,330000,False,-56.0,20.0,1,right,MISS D. Lillard driving Layup,[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,5.97,Missed,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2024-01-30T02:15:08.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,12,2024-01-30T02:15:09Z,340000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT08M58.00S,2024-01-30T02:15:11.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203932,7.5722733245729295,55.392156862745104,1610612743,4,12,2024-01-30T02:21:14Z,342500,False,-27.0,19.0,1,left,MISS A. Gordon running Layup,[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.28,Missed,,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2024-01-30T02:15:12.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,4,12,2024-01-30T02:21:14Z,343750,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,
37,PT08M57.00S,2024-01-30T02:15:22.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",203932,5.590000152587891,50.0,1610612743,6,12,2024-01-30T02:21:34Z,345000,False,0.0,0.0,1,left,A. Gordon tip Layup (3 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,3.0,,,,,,,,,,,,,
38,PT08M38.00S,2024-01-30T02:15:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,93.38042049934296,45.34313725490196,1610612749,6,14,2024-01-30T02:15:37Z,380000,False,-23.0,10.0,1,right,B. Lopez driving Layup (2 PTS),[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,2.0,,,,,,,,,,,,,
39,PT08M17.00S,2024-01-30T02:15:59.2Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,6,14,2024-01-30T02:16:18Z,390000,False,,,0,,N. Jokic lost ball out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,lost ball,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1628159.0,,,,,1.0,,
40,PT08M07.00S,2024-01-30T02:16:09.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,88.12417871222075,95.09803921568627,1610612749,6,14,2024-01-30T02:16:21Z,400000,False,225.0,59.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,23.31,Missed,,,,,,,,,,,,,,,,,,
41,PT08M03.00S,2024-01-30T02:16:13.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,14,2024-01-30T02:16:13Z,410000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M48.00S,2024-01-30T02:16:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.389618922470433,37.99019607843137,1610612743,6,14,2024-01-30T02:17:02Z,430000,False,60.0,8.0,1,left,MISS J. Murray 6' driving Layup - blocked,"[1627750, 203507]",1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.05,Missed,,,,,,Antetokounmpo,203507.0,,,,,,,,,,,
44,PT07M48.00S,2024-01-30T02:16:49.7Z,1,REGULAR,block,,[],203507,,,1610612743,6,14,2024-01-30T02:24:28Z,440000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M44.00S,2024-01-30T02:16:53.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,14,2024-01-30T02:24:28Z,450000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,43.0,4.0,4.0,0.0,,,,,,,,,,,,,,
46,PT07M40.00S,2024-01-30T02:16:57.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627736,91.19579500657031,94.140625,1610612749,6,14,2024-01-30T05:50:33Z,460000,False,221.0,30.0,1,right,MISS M. Beasley running 3PT,[1627736],1610612749.0,MIL,running,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,22.28,Missed,,,,,,,,,,,,,,,,,,
47,PT07M37.00S,2024-01-30T02:17:00.5Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,6,14,2024-01-30T05:50:33Z,470000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,46.0,5.0,4.0,1.0,,,,,,,,,,,,,,
49,PT07M35.00S,2024-01-30T02:17:03.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,75.90341655716163,9.803921568627452,1610612749,6,17,2024-01-30T02:17:16Z,480000,False,-201.0,174.0,1,right,D. Lillard 26' 3PT  (3 PTS) (K. Middleton 1 AST),"[203081, 203114]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.59,Made,,,,,3.0,,,K. Middleton,203114.0,1.0,,,,,,,,
51,PT07M35.00S,2024-01-30T02:17:22.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,6,17,2024-01-30T02:17:22Z,500000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M22.00S,2024-01-30T02:20:08.1Z,1,REGULAR,2pt,Jump Shot,[],203999,21.632720105124836,30.88235294117647,1610612743,6,17,2024-01-30T02:33:20Z,510000,False,96.0,151.0,1,left,MISS N. Jokic 17' pullup Shot,[203999],1610612743.0,DEN,pullup,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right Center,17.85,Missed,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2024-01-30T02:20:10.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,17,2024-01-30T02:20:13Z,520000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:5),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,,,52.0,6.0,5.0,1.0,,,,,,,,,,,,,,
54,PT07M14.00S,2024-01-30T02:20:16.8Z,1,REGULAR,2pt,Jump Shot,[],203507,87.59855453350855,27.696078431372552,1610612749,6,17,2024-01-30T02:20:21Z,530000,False,-112.0,64.0,1,right,MISS G. Antetokounmpo 12' turnaround Shot,[203507],1610612749.0,MIL,turnaround,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,12.86,Missed,,,,,,,,,,,,,,,,,,
55,PT07M11.00S,2024-01-30T02:20:19.8Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,6,17,2024-01-30T02:20:21Z,540000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
56,PT06M52.00S,2024-01-30T02:20:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,5.863994743758213,43.38235294117647,1610612743,8,17,2024-01-30T02:20:45Z,550000,False,33.0,3.0,1,left,J. Murray reverse Layup (5 PTS) (K. Caldwell-Pope 2 AST),"[1627750, 203484]",1610612743.0,DEN,reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.32,Made,,,,,5.0,,,K. Caldwell-Pope,203484.0,2.0,,,,,,,,
58,PT06M40.00S,2024-01-30T02:20:50.8Z,1,REGULAR,3pt,Jump Shot,[],201572,69.33311432325887,67.8921568627451,1610612749,8,20,2024-01-30T02:29:50Z,570000,False,89.0,236.0,1,right,B. Lopez 25' 3PT  (5 PTS) (D. Lillard 1 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,25.22,Made,,,,,5.0,,,D. Lillard,203081.0,1.0,,,,,,,,
60,PT06M20.00S,2024-01-30T02:21:09.8Z,1,REGULAR,3pt,Jump Shot,[],203999,30.962549277266753,70.09803921568627,1610612743,11,20,2024-01-30T02:29:56Z,590000,False,-100.0,239.0,1,left,N. Jokic 25' 3PT  (3 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,25.88,Made,,,,,3.0,,,J. Murray,1627750.0,1.0,,,,,,,,
62,PT06M04.00S,2024-01-30T02:21:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.24901445466492,49.26470588235294,1610612749,11,22,2024-01-30T02:33:40Z,610000,False,-4.0,11.0,1,right,G. Antetokounmpo driving Layup (6 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.16,Made,,,,,6.0,,,,,,,,,,,,,
63,PT05M53.00S,2024-01-30T02:21:46.0Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,11,22,2024-01-30T04:44:41Z,620000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1146.0,,,,,1.0,,
64,PT05M34.00S,2024-01-30T02:22:14.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203114,77.4802890932983,64.70588235294117,1610612749,11,24,2024-01-30T02:22:20Z,630000,False,74.0,159.0,1,right,K. Middleton 17' fadeaway Jump Shot (8 PTS),[203114],1610612749.0,MIL,fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,17.53,Made,,,,,8.0,,,,,,,,,,,,,
66,PT05M15.00S,2024-01-30T02:22:39.5Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,11,24,2024-01-30T02:22:57Z,650000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M15.00S,2024-01-30T02:22:39.5Z,1,REGULAR,substitution,out,[],203507,,,1610612743,11,24,2024-01-30T02:22:57Z,660000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M15.00S,2024-01-30T02:22:39.5Z,1,REGULAR,substitution,out,[],203081,,,1610612743,11,24,2024-01-30T02:22:57Z,670000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M15.00S,2024-01-30T02:22:39.5Z,1,REGULAR,substitution,in,[],202704,,,1610612743,11,24,2024-01-30T02:22:57Z,680000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M15.00S,2024-01-30T02:22:39.5Z,1,REGULAR,substitution,in,[],1626166,,,1610612743,11,24,2024-01-30T02:22:57Z,690000,False,,,0,,SUB in: C. Payne,[1626166],1610612749.0,MIL,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M15.00S,2024-01-30T02:22:39.5Z,1,REGULAR,substitution,in,[],1626171,,,1610612743,11,24,2024-01-30T02:22:57Z,700000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M09.00S,2024-01-30T02:22:58.6Z,1,REGULAR,3pt,Jump Shot,[],203999,29.38567674113009,24.509803921568626,1610612743,11,24,2024-01-30T02:23:04Z,710000,False,127.0,224.0,1,left,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
73,PT05M06.00S,2024-01-30T02:23:01.6Z,1,REGULAR,rebound,offensive,[],202704,,,1610612743,11,24,2024-01-30T02:23:04Z,720000,False,,,0,,R. Jackson REBOUND (Off:1 Def:0),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,,,72.0,1.0,0.0,1.0,,,,,,,,,,,,,,
74,PT05M03.00S,2024-01-30T02:23:05.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202704,22.28975032851511,68.87254901960785,1610612743,11,24,2024-01-30T04:45:09Z,730000,False,-94.0,157.0,1,left,MISS R. Jackson 18' floating Shot,[202704],1610612743.0,DEN,floating,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left Center,18.32,Missed,,,,,,,,,,,,,,,,,,
75,PT05M00.00S,2024-01-30T02:23:08.0Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,11,24,2024-01-30T04:45:09Z,740000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Left Center,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT04M57.00S,2024-01-30T02:23:10.5Z,1,REGULAR,3pt,Jump Shot,[],201572,73.01248357424441,12.009803921568627,1610612749,11,24,2024-01-30T02:23:17Z,750000,False,-190.0,201.0,1,right,MISS B. Lopez 27' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,,,,,,,,,,,,,,,,,
77,PT04M54.00S,2024-01-30T02:23:13.5Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,11,24,2024-01-30T02:23:17Z,760000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT04M42.00S,2024-01-30T02:23:25.6Z,1,REGULAR,2pt,Jump Shot,[],203484,8.492115637319317,76.22549019607843,1610612743,13,24,2024-01-30T02:23:30Z,770000,False,-131.0,27.0,1,left,K. Caldwell-Pope 13' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,13.39,Made,,,,,2.0,,,N. Jokic,203999.0,1.0,,,,,,,,
80,PT04M25.00S,2024-01-30T02:23:41.8Z,1,REGULAR,2pt,Jump Shot,[],203114,77.34888304862024,35.53921568627451,1610612749,13,26,2024-01-30T02:23:47Z,790000,False,-72.0,160.0,1,right,K. Middleton 17' turnaround Jump Shot (10 PTS),[203114],1610612749.0,MIL,turnaround,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Left Center,17.59,Made,,,,,10.0,,,,,,,,,,,,,
81,PT04M10.00S,2024-01-30T02:23:57.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,36.48160315374508,50.0,1610612743,13,26,2024-01-30T02:24:02Z,800000,False,0.0,290.0,1,left,MISS M. Porter Jr. 29' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,29.04,Missed,,,,,,,,,,,,,,,,,,
82,PT04M07.00S,2024-01-30T02:24:00.5Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,13,26,2024-01-30T02:24:02Z,810000,False,,,0,,A. Gordon REBOUND (Off:2 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,81.0,3.0,1.0,2.0,,,,,,,,,,,,,,
