actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
29,PT09M20.00S,2022-12-26T03:54:44.6Z,1,REGULAR,2pt,Jump Shot,[],1629028,78.79434954007884,47.549019607843135,1610612756,11,2,2022-12-26T03:54:51Z,280000,False,-12.0,147.0,1,right,MISS D. Ayton 14' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,14.73,Missed,,,,,,,,,,,,,,,,,,
30,PT09M20.00S,2022-12-26T03:54:44.6Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,11,2,2022-12-26T03:54:51Z,290000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,8-16 Center,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M11.00S,2022-12-26T03:54:53.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,6.915243101182654,50.245098039215684,1610612743,13,2,2022-12-26T03:55:07Z,300000,False,-1.0,13.0,1,left,A. Gordon alley-oop DUNK (5 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.26,Made,5.0,,,,,,,,,J. Murray,1627750.0,1.0,,,,,,
33,PT08M56.00S,2022-12-26T03:55:08.4Z,1,REGULAR,2pt,Jump Shot,[],1629028,77.87450722733246,59.068627450980394,1610612756,13,2,2022-12-26T03:55:12Z,320000,False,45.0,155.0,1,right,MISS D. Ayton 16' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,16.2,Missed,,,,,,,,,,,,,,,,,,
34,PT08M54.00S,2022-12-26T03:55:10.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,13,2,2022-12-26T03:55:12Z,330000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,,
35,PT08M46.00S,2022-12-26T03:55:18.4Z,1,REGULAR,2pt,Jump Shot,[],203932,7.440867279894875,25.735294117647058,1610612743,13,2,2022-12-26T03:55:26Z,340000,False,121.0,17.0,1,left,MISS A. Gordon 12' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,12.25,Missed,,,,,,,,,,,,,,,,,,
36,PT08M43.00S,2022-12-26T03:55:21.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,13,2,2022-12-26T03:55:26Z,350000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M36.00S,2022-12-26T03:55:28.0Z,1,REGULAR,3pt,Jump Shot,[],1628470,66.3107752956636,62.745098039215684,1610612756,13,5,2022-12-26T03:55:32Z,360000,False,64.0,264.0,1,right,T. Craig 27' 3PT  (3 PTS) (C. Paul 1 AST),"[1628470, 101108]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,27.18,Made,3.0,,,,,,,,,C. Paul,101108.0,1.0,,,,,,
39,PT08M12.00S,2022-12-26T03:55:51.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.728646517739815,21.813725490196077,1610612743,13,5,2022-12-26T03:55:57Z,380000,False,141.0,218.0,1,left,MISS M. Porter Jr. 25' pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.92,Missed,,,,,,,,,,,,,,,,,,
40,PT08M10.00S,2022-12-26T03:55:53.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,13,5,2022-12-26T03:55:57Z,390000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,
41,PT07M56.00S,2022-12-26T03:56:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,83.65637319316689,46.32352941176471,1610612756,13,7,2022-12-26T03:56:17Z,400000,False,-18.0,101.0,1,right,C. Paul 10' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,10.28,Made,2.0,,,,,,,,,,,,,,,,,
42,PT07M40.00S,2022-12-26T03:56:25.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,14.668199737187912,37.5,1610612743,15,7,2022-12-26T03:56:30Z,410000,False,62.0,85.0,1,left,N. Jokic 10' floating Jump Shot (10 PTS) (J. Murray 2 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Right,10.58,Made,10.0,,,,,,,,,J. Murray,1627750.0,2.0,,,,,,
44,PT07M40.00S,2022-12-26T03:56:28.3Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612743,15,7,2022-12-26T03:56:39Z,430000,False,,,0,,M. Bridges shooting personal FOUL (2 PF) (Jokic 1 FT),"[1628969, 203999]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,1146.0,,,,,,,2.0,0.0,Jokic,203999.0
47,PT07M40.00S,2022-12-26T03:56:40.2Z,1,REGULAR,substitution,in,[],1629013,,,1610612743,15,7,2022-12-26T03:57:33Z,460000,False,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M40.00S,2022-12-26T03:56:40.2Z,1,REGULAR,substitution,out,[],1626164,,,1610612743,15,7,2022-12-26T03:57:33Z,470000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M40.00S,2022-12-26T03:57:13.1Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,16,7,2022-12-26T03:57:13Z,480000,False,,,0,,N. Jokic Free Throw 1 of 1 (11 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2022-12-26T03:57:31.0Z,1,REGULAR,3pt,Jump Shot,[],1628470,67.7562417871222,57.59803921568627,1610612756,16,7,2022-12-26T03:57:36Z,490000,False,38.0,251.0,1,right,MISS T. Craig 25' 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,25.35,Missed,,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2022-12-26T03:57:33.0Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,16,7,2022-12-26T03:57:36Z,500000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT07M17.00S,2022-12-26T03:57:40.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,26.231931668856767,18.137254901960784,1610612743,16,7,2022-12-26T03:57:46Z,510000,False,159.0,194.0,1,left,MISS J. Murray 25' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,25.11,Missed,,,,,,,,,,,,,,,,,,
53,PT07M14.00S,2022-12-26T03:57:43.5Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,16,7,2022-12-26T03:57:46Z,520000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,
54,PT06M59.00S,2022-12-26T03:57:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.06636005256242,50.49019607843137,1610612756,16,9,2022-12-26T03:58:03Z,530000,False,2.0,22.0,1,right,M. Bridges cutting Layup (2 PTS) (D. Ayton 1 AST),"[1628969, 1629028]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,,,,,,,,,D. Ayton,1629028.0,1.0,,,,,,
56,PT06M39.00S,2022-12-26T03:58:18.0Z,1,REGULAR,3pt,Jump Shot,[],1629008,27.020367936925098,18.137254901960784,1610612743,16,9,2022-12-26T03:58:23Z,550000,False,159.0,201.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
57,PT06M36.00S,2022-12-26T03:58:21.0Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,16,9,2022-12-26T03:58:23Z,560000,False,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,56.0,3.0,3.0,0.0,,,,,,,,,,,,,
58,PT06M23.00S,2022-12-26T03:58:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],101108,92.24704336399475,54.59175857843137,1610612756,16,9,2022-12-26T04:02:50Z,570000,False,23.0,20.0,1,right,MISS C. Paul driving finger roll Layup,[101108],1610612756.0,PHX,driving finger roll,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
59,PT06M23.00S,2022-12-26T03:58:33.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,16,9,2022-12-26T04:02:50Z,580000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,58.0,,,,,,,,,,,,,,,,
61,PT06M23.00S,2022-12-26T03:58:46.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,16,9,2022-12-26T03:58:49Z,600000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M23.00S,2022-12-26T04:00:13.6Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,16,9,2022-12-26T04:02:06Z,610000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M23.00S,2022-12-26T04:00:13.6Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,16,9,2022-12-26T04:02:06Z,620000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2022-12-26T04:02:30.1Z,1,REGULAR,2pt,Jump Shot,[],203999,11.908672798948752,22.30392156862745,1610612743,18,9,2022-12-26T04:02:39Z,630000,False,138.0,59.0,1,left,N. Jokic 15' turnaround fadeaway Jump Shot (13 PTS) (K. Caldwell-Pope 2 AST),"[203999, 203484]",1610612743.0,DEN,turnaround fadeaway,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,15.07,Made,13.0,,,,,,,,,K. Caldwell-Pope,203484.0,2.0,,,,,,
69,PT05M37.00S,2022-12-26T04:02:57.5Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612756,18,9,2022-12-26T04:03:01Z,650000,False,,,0,,D. Ayton lost ball TURNOVER (2 TO),"[1629028, 1628971]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,,,,Brown,1628971.0,,,,
70,PT05M37.00S,2022-12-26T04:02:57.5Z,1,REGULAR,steal,,[],1628971,,,1610612743,18,9,2022-12-26T04:02:59Z,660000,False,,,0,,B. Brown STEAL (1 STL),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT05M30.00S,2022-12-26T04:03:11.1Z,1,REGULAR,turnover,3-second-violation,[],203932,,,1610612743,18,9,2022-12-26T04:03:18Z,670000,False,,,0,,A. Gordon 3-second-violation TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2005.0,1.0,,,,,,,,,
72,PT05M19.00S,2022-12-26T04:03:37.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629013,75.64060446780552,9.313725490196079,1610612756,18,9,2022-12-26T04:03:46Z,680000,False,-203.0,176.0,1,right,MISS L. Shamet 26' 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,26.93,Missed,,,,,,,,,,,,,,,,,,
73,PT05M15.00S,2022-12-26T04:03:42.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,18,9,2022-12-26T04:03:42Z,690000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,,
74,PT05M15.00S,2022-12-26T04:03:44.5Z,1,REGULAR,foul,personal,['2freethrow'],1629013,,,1610612743,18,9,2022-12-26T04:04:03Z,700000,False,,,0,,L. Shamet shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[1629013, 203484]",1610612756.0,PHX,shooting,,,Shamet,L. Shamet,,,,,Restricted Area,0-8 Center,,,,,,,,,,2005.0,,,,,,,1.0,0.0,Caldwell-Pope,203484.0
76,PT05M15.00S,2022-12-26T04:04:11.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203484,,,1610612743,19,9,2022-12-26T04:04:11Z,720000,False,,,0,,K. Caldwell-Pope Free Throw 1 of 2 (1 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
77,PT05M15.00S,2022-12-26T04:04:12.4Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,19,9,2022-12-26T04:04:32Z,730000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M15.00S,2022-12-26T04:04:12.4Z,1,REGULAR,substitution,in,[],1631128,,,1610612743,19,9,2022-12-26T04:04:32Z,740000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M15.00S,2022-12-26T04:04:34.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203484,,,1610612743,20,9,2022-12-26T04:04:34Z,750000,False,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (2 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
80,PT04M57.00S,2022-12-26T04:04:56.9Z,1,REGULAR,turnover,traveling,[],1628470,,,1610612756,20,9,2022-12-26T04:05:02Z,760000,False,,,0,,T. Craig traveling TURNOVER (1 TO),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,,,,,,,,,,202026.0,1.0,,,,,,,,,
81,PT04M40.00S,2022-12-26T04:05:19.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628971,31.750985545335087,38.970588235294116,1610612743,23,9,2022-12-26T04:05:24Z,770000,False,55.0,246.0,1,left,B. Brown 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1628971, 203999]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,25.21,Made,3.0,,,,,,,,,N. Jokic,203999.0,1.0,,,,,,
83,PT04M25.00S,2022-12-26T04:05:34.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,92.9862023653088,65.19607843137256,1610612756,23,11,2022-12-26T04:05:39Z,790000,False,76.0,13.0,1,right,C. Paul 7' fadeaway Jump Shot (4 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,7.72,Made,4.0,,,,,,,,,,,,,,,,,
