actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
41,PT10M47.00S,2023-03-07T02:12:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,13.84691195795007,49.50980392156863,1610612761,2,2,2023-03-07T02:16:43Z,175000,False,2.0,78.0,1,left,MISS J. Poeltl 7' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,7.77,Missed,,,,,,,,,,,,,,,,,
42,PT10M45.00S,2023-03-07T02:12:27.3Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,2,2,2023-03-07T02:16:43Z,177500,False,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,In The Paint (Non-RA),0-8 Center,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,,
18,PT10M44.00S,2023-03-07T02:12:31.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,7.835085413929041,53.67647058823529,1610612761,2,4,2023-03-07T02:17:12Z,180000,False,-18.0,21.0,1,left,S. Barnes putback Layup (2 PTS),[1630567],1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,,,2.0,,,,,,,,,,
20,PT10M18.00S,2023-03-07T02:13:00.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,2,4,2023-03-07T02:13:06Z,200000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,1628480.0,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2023-03-07T02:13:23.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,14.668199737187912,78.67647058823529,1610612761,2,6,2023-03-07T02:13:31Z,210000,False,-143.0,85.0,1,left,P. Siakam 16' step back Jump Shot (2 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,,Mid-Range,16-24 Left,16.69,Made,,,,,,,2.0,,,,,,,,,,
22,PT09M50.00S,2023-03-07T02:13:40.7Z,1,REGULAR,2pt,Jump Shot,[],203484,80.1084099868594,77.69607843137256,1610612743,2,6,2023-03-07T02:13:46Z,220000,False,138.0,134.0,1,right,MISS K. Caldwell-Pope 19' pullup Shot,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Mid-Range,16-24 Right Center,19.31,Missed,,,,,,,,,,,,,,,,,
23,PT09M49.00S,2023-03-07T02:13:41.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,6,2023-03-07T02:13:46Z,230000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Mid-Range,16-24 Right Center,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,
24,PT09M41.00S,2023-03-07T02:13:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,92.72339027595268,45.83333333333333,1610612743,4,6,2023-03-07T02:13:54Z,240000,False,-21.0,16.0,1,right,N. Jokic reverse Layup (2 PTS),[203999],1610612743.0,DEN,reverse,,,Jokic,N. Jokic,,,,,,Restricted Area,0-8 Center,2.62,Made,,,,,,,2.0,,,,,,,,,,
25,PT09M28.00S,2023-03-07T02:14:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.046649145860711,55.88235294117647,1610612761,4,8,2023-03-07T02:14:07Z,250000,False,-29.0,14.0,1,left,J. Poeltl cutting Layup (4 PTS) (F. VanVleet 1 AST),"[1627751, 1627832]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,3.24,Made,,,,,,,4.0,F. VanVleet,1627832.0,1.0,,,,,,,
27,PT09M09.00S,2023-03-07T02:14:21.9Z,1,REGULAR,2pt,Jump Shot,[],1629008,88.38699080157687,75.24509803921569,1610612743,4,8,2023-03-07T02:14:26Z,270000,False,126.0,57.0,1,right,MISS M. Porter Jr. 13' pullup bank Shot,[1629008],1610612743.0,DEN,pullup bank,,,Porter Jr.,M. Porter Jr.,,,,,,Mid-Range,8-16 Right,13.84,Missed,,,,,,,,,,,,,,,,,
28,PT09M07.00S,2023-03-07T02:14:23.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,8,2023-03-07T02:14:26Z,280000,False,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Mid-Range,8-16 Right,,,,,27.0,3.0,2.0,1.0,,,,,,,,,,,
29,PT09M03.00S,2023-03-07T02:14:28.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,8.886333771353483,50.73529411764706,1610612761,4,8,2023-03-07T02:14:36Z,290000,False,-4.0,31.0,1,left,MISS P. Siakam running finger roll Layup,[1627783],1610612761.0,TOR,running finger roll,,,Siakam,P. Siakam,,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,,,,,,,
30,PT09M01.00S,2023-03-07T02:14:30.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,8,2023-03-07T02:14:36Z,300000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Restricted Area,0-8 Center,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,
31,PT08M55.00S,2023-03-07T02:14:35.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,87.72996057818659,96.32352941176471,1610612743,4,8,2023-03-07T02:21:26Z,310000,False,232.0,63.0,1,right,MISS K. Caldwell-Pope 24' running 3PT,[203484],1610612743.0,DEN,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Right Corner 3,24+ Right,24.0,Missed,,,,,,,,,,,,,,,,,
32,PT08M52.00S,2023-03-07T02:14:38.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,4,8,2023-03-07T02:14:42Z,320000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Right Corner 3,24+ Right,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT08M44.00S,2023-03-07T02:14:50.5Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612761,4,8,2023-03-07T02:14:58Z,330000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Siakam 2 FT),"[1627750, 1627783]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,202007.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,0.0,Siakam,1627783.0,,,
35,PT08M44.00S,2023-03-07T02:15:20.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612761,4,9,2023-03-07T02:15:20Z,350000,False,,,0,,P. Siakam Free Throw 1 of 2 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
36,PT08M44.00S,2023-03-07T02:15:39.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612761,4,10,2023-03-07T02:15:39Z,360000,False,,,0,,P. Siakam Free Throw 2 of 2 (4 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,
37,PT08M26.00S,2023-03-07T02:15:59.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,93.11760840998686,50.0,1610612743,6,10,2023-03-07T02:16:03Z,370000,False,0.0,12.0,1,right,M. Porter Jr. cutting DUNK (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,2.0,A. Gordon,203932.0,1.0,,,,,,,
39,PT08M12.00S,2023-03-07T02:16:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,12.434296977660972,48.77450980392157,1610612761,6,12,2023-03-07T02:22:19Z,390000,False,6.0,64.0,1,left,S. Barnes 6' fadeaway Jump Shot (4 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,,In The Paint (Non-RA),0-8 Center,6.47,Made,,,,,,,4.0,F. VanVleet,1627832.0,2.0,,,,,,,
40,PT08M12.00S,2023-03-07T02:16:20.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,6,12,2023-03-07T02:16:20Z,400000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M01.00S,2023-03-07T02:19:18.4Z,1,REGULAR,2pt,Jump Shot,[],203484,74.98357424441524,36.029411764705884,1610612743,6,12,2023-03-07T02:19:23Z,410000,False,-70.0,183.0,1,right,MISS K. Caldwell-Pope 19' pullup Shot,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,Mid-Range,16-24 Left Center,19.56,Missed,,,,,,,,,,,,,,,,,
45,PT07M58.00S,2023-03-07T02:19:21.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,6,12,2023-03-07T02:19:23Z,420000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Mid-Range,16-24 Left Center,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT07M54.00S,2023-03-07T02:19:27.6Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612761,6,12,2023-03-07T02:19:37Z,430000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (VanVleet 2 FT),"[203484, 1627832]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1162.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,0.0,VanVleet,1627832.0,,,
48,PT07M54.00S,2023-03-07T02:19:49.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627832,,,1610612761,6,13,2023-03-07T02:19:49Z,450000,False,,,0,,F. VanVleet Free Throw 1 of 2 (1 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
49,PT07M54.00S,2023-03-07T02:20:02.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627832,,,1610612761,6,14,2023-03-07T02:20:02Z,460000,False,,,0,,F. VanVleet Free Throw 2 of 2 (2 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,
50,PT07M41.00S,2023-03-07T02:20:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.19776609724047,44.85294117647059,1610612743,6,14,2023-03-07T02:20:22Z,470000,False,-26.0,21.0,1,right,MISS A. Gordon cutting Layup,[203932],1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,
51,PT07M39.00S,2023-03-07T02:20:19.1Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,6,14,2023-03-07T02:20:19Z,480000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Restricted Area,0-8 Center,,,,,50.0,1.0,0.0,1.0,,,,,,,,,,,
52,PT07M39.00S,2023-03-07T02:20:19.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,94.40999984741211,50.0,1610612743,8,14,2023-03-07T02:20:19Z,490000,False,0.0,0.0,1,right,A. Gordon tip Layup (4 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,4.0,,,,,,,,,,
53,PT07M27.00S,2023-03-07T02:20:33.7Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612761,8,14,2023-03-07T02:20:44Z,500000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Anunoby 2 FT),"[203932, 1628384]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,1628480.0,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,0.0,Anunoby,1628384.0,,,
55,PT07M27.00S,2023-03-07T02:20:56.7Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612761,8,15,2023-03-07T02:20:56Z,520000,False,,,0,,O. Anunoby Free Throw 1 of 2 (1 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
56,PT07M27.00S,2023-03-07T02:21:09.1Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612761,8,16,2023-03-07T02:21:09Z,530000,False,,,0,,O. Anunoby Free Throw 2 of 2 (2 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,
57,PT07M05.00S,2023-03-07T02:21:32.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,69.20170827858082,69.6078431372549,1610612743,11,16,2023-03-07T02:21:36Z,540000,False,98.0,237.0,1,right,J. Murray 25' 3PT step back (3 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Right Center,25.65,Made,,,,,,,3.0,,,,,,,,,,
58,PT06M46.00S,2023-03-07T02:21:50.6Z,1,REGULAR,2pt,Jump Shot,[],1627783,8.492115637319317,78.67647058823529,1610612761,11,18,2023-03-07T02:21:55Z,550000,False,-143.0,27.0,1,left,P. Siakam 14' turnaround fadeaway Jump Shot (6 PTS),[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,,Mid-Range,8-16 Left,14.6,Made,,,,,,,6.0,,,,,,,,,,
59,PT06M35.00S,2023-03-07T02:22:02.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,68.54467805519053,30.392156862745097,1610612743,14,18,2023-03-07T02:22:06Z,560000,False,-98.0,243.0,1,right,J. Murray 26' 3PT pullup (6 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,,Above the Break 3,24+ Left Center,26.22,Made,,,,,,,6.0,,,,,,,,,,
60,PT06M19.00S,2023-03-07T02:22:18.4Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,14,18,2023-03-07T02:22:22Z,570000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1629008]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,1.0,Porter Jr.,1629008.0
61,PT06M19.00S,2023-03-07T02:22:18.4Z,1,REGULAR,steal,,[],1629008,,,1610612743,14,18,2023-03-07T02:22:19Z,580000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
62,PT06M14.00S,2023-03-07T02:22:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629008,92.19776609724047,54.166666666666664,1610612743,14,18,2023-03-07T02:27:04Z,590000,False,21.0,21.0,1,right,MISS M. Porter Jr. running Layup - blocked,"[1629008, 1627783]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,,Restricted Area,0-8 Center,2.94,Missed,Siakam,1627783.0,,,,,,,,,,,,,,,
63,PT06M14.00S,2023-03-07T02:22:24.3Z,1,REGULAR,block,,[],1627783,,,1610612743,14,18,2023-03-07T02:22:26Z,600000,False,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
64,PT06M11.00S,2023-03-07T02:22:27.3Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,14,18,2023-03-07T02:23:28Z,610000,False,,,0,,A. Gordon REBOUND (Off:2 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Restricted Area,0-8 Center,,,,,62.0,2.0,0.0,2.0,,,,,,,,,,,
67,PT06M11.00S,2023-03-07T02:22:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612743,14,18,2023-03-07T02:22:42Z,640000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Gordon 2 FT),"[1628384, 203932]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,1162.0,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,0.0,Gordon,203932.0,,,
69,PT06M11.00S,2023-03-07T02:22:55.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203932,,,1610612743,14,18,2023-03-07T02:22:55Z,660000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
70,PT06M11.00S,2023-03-07T02:22:55.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,14,18,2023-03-07T02:22:55Z,670000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,
71,PT06M11.00S,2023-03-07T02:23:14.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203932,,,1610612743,15,18,2023-03-07T02:23:14Z,680000,False,,,0,,A. Gordon Free Throw 2 of 2 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,
72,PT05M58.00S,2023-03-07T02:23:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,14.536793692509855,40.931372549019606,1610612761,15,20,2023-03-07T02:29:16Z,690000,False,45.0,84.0,1,left,J. Poeltl 9' floating Jump Shot (6 PTS) (F. VanVleet 3 AST),"[1627751, 1627832]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),8-16 Center,9.55,Made,,,,,,,6.0,F. VanVleet,1627832.0,3.0,,,,,,,
74,PT05M38.00S,2023-03-07T02:23:49.4Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,15,20,2023-03-07T02:24:46Z,710000,False,,,0,,J. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,1162.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,1.0,,
76,PT05M38.00S,2023-03-07T02:23:52.9Z,1,REGULAR,substitution,out,[],203484,,,1610612761,15,20,2023-03-07T02:23:57Z,730000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M38.00S,2023-03-07T02:23:52.9Z,1,REGULAR,substitution,in,[],1628971,,,1610612761,15,20,2023-03-07T02:23:57Z,740000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M22.00S,2023-03-07T02:24:22.3Z,1,REGULAR,turnover,traveling,[],1627783,,,1610612761,15,20,2023-03-07T02:24:27Z,750000,False,,,0,,P. Siakam traveling TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,1162.0,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,1.0,,
79,PT05M07.00S,2023-03-07T02:24:49.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628971,90.88370565045992,4.166666666666666,1610612743,15,20,2023-03-07T02:24:53Z,760000,False,-229.0,33.0,1,right,MISS B. Brown 3PT,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,
80,PT05M05.00S,2023-03-07T02:24:51.1Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,15,20,2023-03-07T02:24:53Z,770000,False,,,0,,A. Gordon REBOUND (Off:3 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Left Corner 3,24+ Left,,,,,79.0,3.0,0.0,3.0,,,,,,,,,,,
81,PT05M00.00S,2023-03-07T02:24:57.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628971,91.5407358738502,44.36274509803921,1610612743,15,20,2023-03-07T02:25:01Z,780000,False,-28.0,27.0,1,right,MISS B. Brown driving finger roll Layup - blocked,"[1628971, 1627751]",1610612743.0,DEN,driving finger roll,,,Brown,B. Brown,,,,,,Restricted Area,0-8 Center,3.9,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,
82,PT05M00.00S,2023-03-07T02:24:57.2Z,1,REGULAR,block,,[],1627751,,,1610612743,15,20,2023-03-07T02:24:59Z,790000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
83,PT04M58.00S,2023-03-07T02:24:59.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,15,20,2023-03-07T02:25:01Z,800000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,
