actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
20,PT10M04.00S,2023-01-02T01:13:05.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.40801576872536,50.73529411764706,1610612738,5,5,2023-01-02T01:13:11Z,200000,False,-4.0,252.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
21,PT10M02.00S,2023-01-02T01:13:07.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,5,2023-01-02T01:13:11Z,210000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M54.00S,2023-01-02T01:13:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628971,90.22667542706965,3.6764705882352944,1610612743,8,5,2023-01-02T01:13:23Z,220000,False,-232.0,39.0,1,right,B. Brown 3PT  (6 PTS) (A. Gordon 1 AST),"[1628971, 203932]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,23.49,Made,,,,,,,6.0,A. Gordon,203932.0,1.0,,,,,,,,
24,PT09M38.00S,2023-01-02T01:13:32.2Z,1,REGULAR,2pt,Jump Shot,[],201143,6.783837056504599,79.65686274509804,1610612738,8,5,2023-01-02T01:15:26Z,240000,False,-148.0,11.0,1,left,MISS A. Horford 14' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,14.87,Missed,,,,,,,,,,,,,,,,,,
25,PT09M36.00S,2023-01-02T01:13:34.2Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,8,5,2023-01-02T01:13:36Z,250000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M30.00S,2023-01-02T01:13:40.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628971,93.38042049934296,44.36274509803921,1610612743,8,5,2023-01-02T03:17:33Z,260000,False,-28.0,10.0,1,right,MISS B. Brown running Layup - blocked,"[1628971, 201143]",1610612743.0,DEN,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.98,Missed,,,,,,,,,,,Horford,201143.0,,,,,,
27,PT09M30.00S,2023-01-02T01:13:40.5Z,1,REGULAR,block,,[],201143,,,1610612743,8,5,2023-01-02T01:13:42Z,270000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M27.00S,2023-01-02T01:13:43.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,8,5,2023-01-02T01:13:55Z,280000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M22.00S,2023-01-02T01:13:51.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628401,7.30946123521682,50.245098039215684,1610612738,8,7,2023-01-02T01:14:36Z,290000,False,-1.0,16.0,1,left,D. White driving Layup (2 PTS) (M. Smart 2 AST),"[1628401, 203935]",1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,1.62,Made,,,,,,,2.0,M. Smart,203935.0,2.0,,,,,,,,
31,PT09M22.00S,2023-01-02T01:13:55.0Z,1,REGULAR,violation,defensive goaltending,[],1629008,,,1610612738,8,7,2023-01-02T01:14:36Z,310000,False,,,0,,M. Porter Jr. defensive goaltending VIOLATION,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,1626300.0,,,,,,,,,,,,,
32,PT09M01.00S,2023-01-02T01:14:21.1Z,1,REGULAR,2pt,Jump Shot,[],203932,92.85479632063075,20.34313725490196,1610612743,8,7,2023-01-02T01:17:26Z,320000,False,-148.0,15.0,1,right,MISS A. Gordon 14' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,14.9,Missed,,,,,,,,,,,,,,,,,,
33,PT08M59.00S,2023-01-02T01:14:23.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,7,2023-01-02T01:17:26Z,330000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,32.0,3.0,3.0,0.0,,,,,,,,,,,,,,
34,PT08M56.00S,2023-01-02T01:14:26.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,29.38567674113009,71.56862745098039,1610612738,8,7,2023-01-02T01:17:48Z,340000,False,-108.0,224.0,1,left,MISS J. Tatum 24' running pullup 3PT,[1628369],1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.83,Missed,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2023-01-02T01:14:30.2Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612743,8,7,2023-01-02T01:14:39Z,350000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M43.00S,2023-01-02T01:14:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.06636005256242,49.50980392156863,1610612743,10,7,2023-01-02T01:18:29Z,360000,False,-2.0,22.0,1,right,N. Jokic finger roll Layup (2 PTS) (B. Brown 1 AST),"[203999, 1628971]",1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,,,2.0,B. Brown,1628971.0,1.0,,,,,,,,
38,PT08M37.00S,2023-01-02T01:14:44.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,24.655059132720105,13.970588235294118,1610612738,10,10,2023-01-02T01:14:51Z,380000,False,180.0,179.0,1,left,J. Brown 25' 3PT pullup (8 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.41,Made,,,,,,,8.0,M. Smart,203935.0,3.0,,,,,,,,
39,PT08M25.00S,2023-01-02T01:14:56.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,93.51182654402102,50.73529411764706,1610612743,12,10,2023-01-02T01:21:40Z,390000,False,4.0,8.0,1,right,A. Gordon cutting DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.93,Made,,,,,,,2.0,N. Jokic,203999.0,2.0,,,,,,,,
41,PT08M12.00S,2023-01-02T01:15:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.389618922470433,44.6078431372549,1610612738,12,12,2023-01-02T01:15:15Z,410000,False,27.0,8.0,1,left,J. Brown driving reverse Layup (10 PTS),[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,,,10.0,,,,,,,,,,,
42,PT08M05.00S,2023-01-02T01:15:18.8Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612743,12,12,2023-01-02T01:15:25Z,420000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Gordon 2 FT),"[1628369, 203932]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,,,,1.0,0.0,Gordon,203932.0,,
44,PT08M05.00S,2023-01-02T01:15:44.7Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,13,12,2023-01-02T01:15:44Z,440000,False,,,0,,A. Gordon Free Throw 1 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
45,PT08M05.00S,2023-01-02T01:16:00.7Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,14,12,2023-01-02T01:16:00Z,450000,False,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
46,PT07M54.00S,2023-01-02T01:16:17.0Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612738,14,12,2023-01-02T01:16:31Z,460000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Brown 2 FT),"[203484, 1627759]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,,,,,,,1662.0,,,,,,,,1.0,0.0,Brown,1627759.0,,
48,PT07M54.00S,2023-01-02T01:16:45.5Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,14,13,2023-01-02T01:16:45Z,480000,False,,,0,,J. Brown Free Throw 1 of 2 (11 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
49,PT07M54.00S,2023-01-02T01:17:00.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,14,14,2023-01-02T01:17:00Z,490000,False,,,0,,J. Brown Free Throw 2 of 2 (12 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,,,12.0,,,,,,,,,,,
50,PT07M42.00S,2023-01-02T01:17:14.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.64980289093299,47.794117647058826,1610612743,14,14,2023-01-02T01:17:22Z,500000,False,-11.0,54.0,1,right,MISS N. Jokic turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.53,Missed,,,,,,,,,,,,,,,,,,
51,PT07M38.00S,2023-01-02T01:17:18.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,14,14,2023-01-02T01:25:01Z,510000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M36.00S,2023-01-02T01:17:20.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,6.521024967148489,95.58823529411765,1610612738,14,14,2023-01-02T01:25:28Z,520000,False,-228.0,9.0,1,left,MISS M. Smart running 3PT,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,22.81,Missed,,,,,,,,,,,,,,,,,,
53,PT07M36.00S,2023-01-02T01:17:20.4Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,14,14,2023-01-02T01:17:25Z,530000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT07M25.00S,2023-01-02T01:17:33.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,93.51182654402102,54.41176470588235,1610612743,16,14,2023-01-02T01:17:42Z,540000,False,22.0,8.0,1,right,N. Jokic turnaround bank Jump Shot (4 PTS) (K. Caldwell-Pope 2 AST),"[203999, 203484]",1610612743.0,DEN,turnaround bank,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.37,Made,,,,,,,4.0,K. Caldwell-Pope,203484.0,2.0,,,,,,,,
56,PT07M25.00S,2023-01-02T01:17:36.2Z,1,REGULAR,foul,personal,['1freethrow'],1628401,,,1610612743,16,14,2023-01-02T01:17:49Z,560000,False,,,0,,D. White shooting personal FOUL (1 PF) (Jokic 1 FT),"[1628401, 203999]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,1662.0,,,,,,,,1.0,0.0,Jokic,203999.0,,
58,PT07M25.00S,2023-01-02T01:18:00.1Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,17,14,2023-01-02T01:18:00Z,580000,False,,,0,,N. Jokic Free Throw 1 of 1 (5 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
59,PT07M13.00S,2023-01-02T01:18:16.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.597240473061763,74.26470588235294,1610612738,17,14,2023-01-02T01:18:23Z,590000,False,-121.0,216.0,1,left,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
60,PT07M09.00S,2023-01-02T01:18:20.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,17,14,2023-01-02T01:18:23Z,600000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT06M58.00S,2023-01-02T01:18:31.5Z,1,REGULAR,2pt,Jump Shot,[],1629008,75.77201051248358,25.49019607843137,1610612743,19,14,2023-01-02T01:18:38Z,610000,False,-123.0,175.0,1,right,M. Porter Jr. 21' Jump Shot (4 PTS) (A. Gordon 2 AST),"[1629008, 203932]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,21.38,Made,,,,,,,4.0,A. Gordon,203932.0,2.0,,,,,,,,
63,PT06M43.00S,2023-01-02T01:18:46.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,33.327858081471746,42.64705882352941,1610612738,19,14,2023-01-02T01:18:52Z,630000,False,37.0,261.0,1,left,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.34,Missed,,,,,,,,,,,,,,,,,,
64,PT06M40.00S,2023-01-02T01:18:49.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,19,14,2023-01-02T01:18:52Z,640000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,
65,PT06M25.00S,2023-01-02T01:19:05.4Z,1,REGULAR,2pt,Jump Shot,[],1628971,78.26872536136662,33.33333333333333,1610612743,21,14,2023-01-02T01:19:14Z,650000,False,-83.0,152.0,1,right,B. Brown 17' driving floating Jump Shot (8 PTS),[1628971],1610612743.0,DEN,driving floating,,,Brown,B. Brown,,,,,Mid-Range,16-24 Left Center,17.32,Made,,,,,,,8.0,,,,,,,,,,,
67,PT06M11.00S,2023-01-02T01:19:18.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,14.011169513797633,41.911764705882355,1610612738,21,16,2023-01-02T01:19:23Z,670000,False,40.0,79.0,1,left,M. Smart 8' turnaround Jump Shot (2 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,8.89,Made,,,,,,,2.0,,,,,,,,,,,
68,PT06M01.00S,2023-01-02T01:19:30.7Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612743,21,16,2023-01-02T01:19:44Z,680000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Gordon 2 FT),"[1627759, 203932]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,1662.0,,,,,,,,1.0,0.0,Gordon,203932.0,,
71,PT06M01.00S,2023-01-02T01:19:47.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,21,16,2023-01-02T01:19:47Z,700000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2023-01-02T01:21:32.5Z,1,REGULAR,substitution,out,[],203484,,,1610612743,21,16,2023-01-02T01:22:12Z,710000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M01.00S,2023-01-02T01:21:32.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612743,21,16,2023-01-02T01:22:12Z,720000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2023-01-02T01:21:32.5Z,1,REGULAR,substitution,in,[],1631128,,,1610612743,21,16,2023-01-02T01:22:12Z,730000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M01.00S,2023-01-02T01:21:32.5Z,1,REGULAR,substitution,in,[],1627763,,,1610612743,21,16,2023-01-02T01:22:12Z,740000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M01.00S,2023-01-02T01:22:36.2Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,22,16,2023-01-02T01:22:56Z,750000,False,,,0,,A. Gordon Free Throw 1 of 2 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
77,PT06M01.00S,2023-01-02T01:22:36.2Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,22,16,2023-01-02T01:22:56Z,760000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
78,PT05M59.00S,2023-01-02T01:22:38.2Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,22,16,2023-01-02T01:22:56Z,770000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT05M36.00S,2023-01-02T01:23:17.3Z,1,REGULAR,2pt,Jump Shot,[],201143,8.754927726675426,76.22549019607843,1610612738,22,16,2023-01-02T01:23:23Z,780000,False,-131.0,30.0,1,left,MISS A. Horford 13' turnaround Shot,[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,13.44,Missed,,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2023-01-02T01:23:19.7Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,22,16,2023-01-02T01:23:19Z,790000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,8-16 Left,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT05M26.00S,2023-01-02T01:23:27.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.59198423127464,51.225490196078425,1610612743,24,16,2023-01-02T01:23:37Z,800000,False,6.0,17.0,1,right,A. Gordon DUNK (7 PTS) (N. Jokic 3 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,7.0,N. Jokic,203999.0,3.0,,,,,,,,
83,PT05M13.00S,2023-01-02T01:23:39.1Z,1,REGULAR,3pt,Jump Shot,[],201143,31.09395532194481,70.34313725490196,1610612738,24,16,2023-01-02T01:23:45Z,820000,False,-102.0,240.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.05,Missed,,,,,,,,,,,,,,,,,,
84,PT05M10.00S,2023-01-02T01:23:42.1Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,24,16,2023-01-02T01:23:45Z,830000,False,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,83.0,2.0,1.0,1.0,,,,,,,,,,,,,,
85,PT05M08.00S,2023-01-02T01:23:44.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,9.674770039421814,3.431372549019608,1610612738,24,16,2023-01-02T01:23:50Z,840000,False,233.0,38.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,23.59,Missed,,,,,,,,,,,,,,,,,,
86,PT05M05.00S,2023-01-02T01:23:48.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,24,16,2023-01-02T01:23:48Z,850000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,85.0,2.0,2.0,0.0,,,,,,,,,,,,,,
