actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
27,PT10M18.00S,2023-02-08T02:13:49.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203484,93.64323258869908,50.245098039215684,1610612743,7,3,2023-02-08T02:13:55Z,270000,False,1.0,7.0,1,right,K. Caldwell-Pope cutting DUNK (4 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,cutting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,4.0,N. Jokic,203999.0,1.0,,,,,,,,,,
29,PT10M02.00S,2023-02-08T02:14:03.9Z,1,REGULAR,3pt,Jump Shot,[],1629675,4.28712220762155,97.30392156862744,1610612750,7,6,2023-02-08T02:14:10Z,290000,False,-237.0,-12.0,1,left,N. Reid 3PT  (3 PTS) (A. Edwards 1 AST),"[1629675, 1630162]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,23.68,Made,,,,,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
31,PT09M49.00S,2023-02-08T02:14:17.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.72339027595268,45.34313725490196,1610612743,7,6,2023-02-08T02:14:26Z,310000,False,-23.0,16.0,1,right,MISS A. Gordon DUNK - blocked,"[203932, 203497]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.82,Missed,,,,,,,,,,,,,,Gobert,203497.0,,,
32,PT09M49.00S,2023-02-08T02:14:17.9Z,1,REGULAR,block,,[],203497,,,1610612743,7,6,2023-02-08T02:14:19Z,320000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M46.00S,2023-02-08T02:14:20.9Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,7,6,2023-02-08T02:14:26Z,330000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,31.0,,,,,,,,,,,,,,,1.0,1.0,0.0
34,PT09M41.00S,2023-02-08T02:14:24.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,29.122864651773984,23.284313725490197,1610612750,7,9,2023-02-08T02:14:38Z,340000,False,134.0,221.0,1,left,A. Edwards 25' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,25.85,Made,,,,,3.0,,,,,,,,,,,,,
35,PT09M22.00S,2023-02-08T02:14:44.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,87.20433639947439,49.01960784313725,1610612743,9,9,2023-02-08T02:14:51Z,350000,False,-5.0,68.0,1,right,N. Jokic 6' turnaround Hook (5 PTS) (B. Brown 1 AST),"[203999, 1628971]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.8,Made,,,,,5.0,B. Brown,1628971.0,1.0,,,,,,,,,,
37,PT09M06.00S,2023-02-08T02:15:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,12.434296977660972,40.931372549019606,1610612750,9,9,2023-02-08T02:15:11Z,370000,False,45.0,64.0,1,left,MISS N. Reid 7' driving Layup - blocked,"[1629675, 203932]",1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,7.87,Missed,,,,,,,,,,,,,,Gordon,203932.0,,,
38,PT09M06.00S,2023-02-08T02:15:00.1Z,1,REGULAR,block,,[],203932,,,1610612750,9,9,2023-02-08T02:15:35Z,380000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M06.00S,2023-02-08T02:15:00.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,9,9,2023-02-08T02:15:11Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,37.0,,,,,,,,,,,,,,,,,
41,PT09M05.00S,2023-02-08T02:15:20.8Z,1,REGULAR,foul,personal,[],1629008,,,1610612750,9,9,2023-02-08T02:15:36Z,410000,False,,,0,,M. Porter Jr. personal FOUL (1 PF),"[1629008, 1626156]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,,1830.0,1.0,0.0,Russell,1626156.0,,,,,
43,PT08M55.00S,2023-02-08T02:15:44.3Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612750,9,9,2023-02-08T02:18:30Z,435000,False,,,0,,B. Brown shooting personal FOUL (1 PF) (Edwards 2 FT),"[1628971, 1630162]",1610612743.0,DEN,shooting,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1830.0,1.0,0.0,Edwards,1630162.0,,,,,
45,PT08M55.00S,2023-02-08T02:16:15.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630162,,,1610612750,9,10,2023-02-08T02:16:43Z,450000,False,,,0,,A. Edwards Free Throw 1 of 2 (4 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
46,PT08M55.00S,2023-02-08T02:16:16.0Z,1,REGULAR,substitution,out,[],1628971,,,1610612750,9,10,2023-02-08T02:16:20Z,460000,False,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M55.00S,2023-02-08T02:16:16.0Z,1,REGULAR,substitution,in,[],202397,,,1610612750,9,10,2023-02-08T02:16:20Z,470000,False,,,0,,SUB in: I. Smith,[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M55.00S,2023-02-08T02:16:15.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630162,,,1610612750,9,11,2023-02-08T02:16:43Z,480000,False,,,0,,A. Edwards Free Throw 2 of 2 (5 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
49,PT08M41.00S,2023-02-08T02:16:44.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,91.93495400788436,51.225490196078425,1610612743,11,11,2023-02-08T02:16:51Z,510000,False,6.0,23.0,1,right,A. Gordon cutting DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.41,Made,,,,,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,
51,PT08M28.00S,2023-02-08T02:16:57.6Z,1,REGULAR,2pt,Jump Shot,[],1626156,16.507884362680684,78.67647058823529,1610612750,11,11,2023-02-08T02:17:05Z,530000,False,-143.0,103.0,1,left,MISS D. Russell 17' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left,17.64,Missed,,,,,,,,,,,,,,,,,,
52,PT08M25.00S,2023-02-08T02:17:00.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,11,11,2023-02-08T02:17:05Z,540000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left,,,51.0,,,,,,,,,,,,,,,1.0,1.0,0.0
53,PT08M17.00S,2023-02-08T02:17:08.2Z,1,REGULAR,3pt,Jump Shot,[],203484,92.19776609724047,3.1862745098039214,1610612743,11,11,2023-02-08T02:17:34Z,550000,False,-234.0,21.0,1,right,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,23.5,Missed,,,,,,,,,,,,,,,,,,
54,PT08M14.00S,2023-02-08T02:17:11.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,11,11,2023-02-08T02:17:34Z,560000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Left Corner 3,24+ Left,,,53.0,,,,,,,,,,,,,,,1.0,1.0,0.0
55,PT07M57.00S,2023-02-08T02:17:28.1Z,1,REGULAR,turnover,lost ball,[],1629675,,,1610612750,11,11,2023-02-08T02:17:38Z,570000,False,,,0,,N. Reid lost ball TURNOVER (1 TO),"[1629675, 203932]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Gordon,203932.0,,,,,,,,,,,,,,
56,PT07M57.00S,2023-02-08T02:17:28.1Z,1,REGULAR,steal,,[],203932,,,1610612743,11,11,2023-02-08T02:17:30Z,580000,False,,,0,,A. Gordon STEAL (3 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M52.00S,2023-02-08T02:17:36.3Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612743,11,11,2023-02-08T02:17:44Z,590000,False,,,0,,N. Reid shooting personal FOUL (2 PF) (Gordon 2 FT),"[1629675, 203932]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,2.0,0.0,Gordon,203932.0,,,,,
59,PT07M52.00S,2023-02-08T02:18:09.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203932,,,1610612743,11,11,2023-02-08T02:18:09Z,610000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
60,PT07M52.00S,2023-02-08T02:18:09.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,11,11,2023-02-08T02:18:09Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,
61,PT07M52.00S,2023-02-08T02:18:10.3Z,1,REGULAR,substitution,out,[],1629675,,,1610612743,11,11,2023-02-08T02:18:19Z,630000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M52.00S,2023-02-08T02:18:10.3Z,1,REGULAR,substitution,in,[],1627752,,,1610612743,11,11,2023-02-08T02:18:19Z,640000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M52.00S,2023-02-08T02:18:40.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203932,,,1610612743,12,11,2023-02-08T02:18:40Z,650000,False,,,0,,A. Gordon Free Throw 2 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
64,PT07M30.00S,2023-02-08T02:19:03.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,13.61695137976347,20.34313725490196,1610612750,12,13,2023-02-08T02:19:08Z,660000,False,148.0,75.0,1,left,A. Edwards 16' pullup Jump Shot (7 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right,16.64,Made,,,,,7.0,,,,,,,,,,,,,
65,PT07M26.00S,2023-02-08T02:19:09.7Z,1,REGULAR,foul,personal,[],1630162,,,1610612743,12,13,2023-02-08T02:19:21Z,670000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 202397]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1830.0,1.0,0.0,Smith,202397.0,,,,,
67,PT07M15.00S,2023-02-08T02:19:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,89.96386333771353,49.01960784313725,1610612743,14,13,2023-02-08T02:19:56Z,690000,False,-5.0,42.0,1,right,N. Jokic driving finger roll Layup (7 PTS),[203999],1610612743.0,DEN,driving finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,4.21,Made,,,,,7.0,,,,,,,,,,,,,
68,PT07M06.00S,2023-02-08T02:19:56.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,11.383048620236531,51.470588235294116,1610612750,14,13,2023-02-08T02:20:02Z,700000,False,-7.0,55.0,1,left,MISS R. Gobert driving floating Shot,[203497],1610612750.0,MIN,driving floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,,,,,,,,,,,,,
69,PT07M02.00S,2023-02-08T02:20:00.2Z,1,REGULAR,rebound,defensive,[],202397,,,1610612743,14,13,2023-02-08T02:20:02Z,710000,False,,,0,,I. Smith REBOUND (Off:0 Def:1),[202397],1610612743.0,DEN,,,,Smith,I. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,68.0,,,,,,,,,,,,,,,1.0,1.0,0.0
70,PT06M58.00S,2023-02-08T02:20:06.1Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612743,14,13,2023-02-08T02:20:15Z,720000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630183, 1629008]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Porter Jr.,1629008.0,,,,,
72,PT06M58.00S,2023-02-08T02:20:14.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,14,13,2023-02-08T02:20:14Z,740000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M58.00S,2023-02-08T02:23:30.4Z,1,REGULAR,freethrow,1 of 2,[],1629008,,,1610612743,15,13,2023-02-08T02:23:30Z,750000,False,,,0,,M. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
74,PT06M58.00S,2023-02-08T02:23:44.5Z,1,REGULAR,freethrow,2 of 2,[],1629008,,,1610612743,16,13,2023-02-08T02:23:44Z,760000,False,,,0,,M. Porter Jr. Free Throw 2 of 2 (2 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
75,PT06M41.00S,2023-02-08T02:24:03.0Z,1,REGULAR,3pt,Jump Shot,[],1630183,30.699737187910642,28.676470588235293,1610612750,16,13,2023-02-08T02:24:24Z,770000,False,107.0,236.0,1,left,MISS J. McDaniels 25' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,25.9,Missed,,,,,,,,,,,,,,,,,,
76,PT06M38.00S,2023-02-08T02:24:06.0Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,16,13,2023-02-08T02:24:09Z,780000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,75.0,,,,,,,,,,,,,,,1.0,1.0,0.0
77,PT06M31.00S,2023-02-08T02:24:14.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630162,,,1610612743,16,13,2023-02-08T02:24:21Z,790000,False,,,0,,A. Edwards personal FOUL (2 PF) (Gordon 2 FT),"[1630162, 203932]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627963.0,2.0,0.0,Gordon,203932.0,,,,,
79,PT06M31.00S,2023-02-08T02:24:52.5Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,17,13,2023-02-08T02:25:19Z,810000,False,,,0,,A. Gordon Free Throw 1 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
80,PT06M31.00S,2023-02-08T02:24:52.5Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,17,13,2023-02-08T02:25:19Z,820000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT06M28.00S,2023-02-08T02:24:55.5Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,17,13,2023-02-08T02:25:19Z,830000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,80.0,,,,,,,,,,,,,,,2.0,1.0,1.0
82,PT06M18.00S,2023-02-08T02:25:26.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,68.67608409986859,26.47058823529412,1610612743,20,13,2023-02-08T02:25:44Z,840000,False,-118.0,242.0,1,right,M. Porter Jr. 26' 3PT  (5 PTS) (I. Smith 1 AST),"[1629008, 202397]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.9,Made,,,,,5.0,I. Smith,202397.0,1.0,,,,,,,,,,
84,PT05M56.00S,2023-02-08T02:25:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,6.915243101182654,45.588235294117645,1610612750,20,15,2023-02-08T02:25:54Z,860000,False,22.0,13.0,1,left,D. Russell driving reverse Layup (5 PTS),[1626156],1610612750.0,MIN,driving reverse,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,2.54,Made,,,,,5.0,,,,,,,,,,,,,
85,PT05M46.00S,2023-02-08T02:25:58.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,70.64717477003943,70.58823529411765,1610612743,23,15,2023-02-08T02:26:06Z,870000,False,103.0,223.0,1,right,M. Porter Jr. 24' 3PT  (8 PTS) (A. Gordon 3 AST),"[1629008, 203932]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.6,Made,,,,,8.0,A. Gordon,203932.0,3.0,,,,,,,,,,
87,PT05M34.00S,2023-02-08T02:26:10.8Z,1,REGULAR,2pt,Jump Shot,[],1630162,26.231931668856767,50.0,1610612750,23,15,2023-02-08T02:26:17Z,890000,False,0.0,194.0,1,left,MISS A. Edwards 19' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,19.41,Missed,,,,,,,,,,,,,,,,,,
88,PT05M31.00S,2023-02-08T02:26:13.8Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,23,15,2023-02-08T02:26:17Z,900000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,,,87.0,,,,,,,,,,,,,,,1.0,1.0,0.0
89,PT05M25.00S,2023-02-08T02:26:19.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,93.77463863337714,48.77450980392157,1610612743,25,15,2023-02-08T02:26:31Z,910000,False,-6.0,6.0,1,right,A. Gordon DUNK (6 PTS) (N. Jokic 3 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,6.0,N. Jokic,203999.0,3.0,,,,,,,,,,
