actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
23,PT10M19.00S,2023-02-05T02:13:28.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,5,4,2023-02-05T02:13:29Z,230000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,,,,,,,22.0,,,,,,,,,1.0,1.0,0.0,,
24,PT10M13.00S,2023-02-05T02:13:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,6.783837056504599,44.11764705882353,1610612737,5,6,2023-02-05T02:13:41Z,240000,False,29.0,11.0,1,left,J. Collins driving Layup (2 PTS) (D. Murray 2 AST),"[1628381, 1627749]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,3.15,D. Murray,1627749.0,2.0,,,,,,,,
26,PT10M02.00S,2023-02-05T02:13:45.7Z,1,REGULAR,3pt,Jump Shot,[],203484,86.67871222076215,95.58823529411765,1610612743,5,6,2023-02-05T02:13:50Z,260000,False,228.0,73.0,1,right,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.92,,,,,,,,,,,
27,PT09M59.00S,2023-02-05T02:13:48.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,5,6,2023-02-05T02:13:50Z,270000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Right Corner 3,24+ Right,,,,,,,26.0,,,,,,,,,1.0,1.0,0.0,,
28,PT09M55.00S,2023-02-05T02:13:53.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631100,5.995400788436268,95.58823529411765,1610612737,5,6,2023-02-05T02:14:10Z,280000,False,-228.0,4.0,1,left,MISS A. Griffin 3PT,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,22.79,,,,,,,,,,,
29,PT09M53.00S,2023-02-05T02:13:55.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,6,2023-02-05T02:14:10Z,290000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Left Corner 3,24+ Left,,,,,,,28.0,,,,,,,,,1.0,1.0,0.0,,
30,PT09M53.00S,2023-02-05T02:14:04.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,5,6,2023-02-05T02:14:04Z,300000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2023-02-05T02:17:07.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,72.09264126149803,18.872549019607842,1610612743,5,6,2023-02-05T02:17:15Z,310000,False,-156.0,210.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.12,,,,,,,,,,,
32,PT09M34.00S,2023-02-05T02:17:10.9Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,5,6,2023-02-05T02:17:15Z,320000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,31.0,,,,,,,,,1.0,0.0,1.0,,
33,PT09M33.00S,2023-02-05T02:17:12.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629008,91.14651773981603,24.509803921568626,1610612743,7,6,2023-02-05T02:17:17Z,330000,False,-127.0,31.0,1,right,M. Porter Jr. 13' floating Jump Shot (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,floating,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,Made,,2.0,13.11,A. Gordon,203932.0,1.0,,,,,,,,
35,PT09M12.00S,2023-02-05T02:17:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,10.200394218134035,54.90196078431373,1610612737,7,8,2023-02-05T02:17:40Z,350000,False,-25.0,43.0,1,left,D. Hunter driving floating Jump Shot (2 PTS),[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,,2.0,4.98,,,,,,,,,,,
36,PT08M58.00S,2023-02-05T02:17:46.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,66.83639947437582,15.441176470588236,1610612743,10,8,2023-02-05T02:17:50Z,360000,False,-173.0,259.0,1,right,J. Murray 31' 3PT  (5 PTS) (M. Porter Jr. 1 AST),"[1627750, 1629008]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,5.0,31.15,M. Porter Jr.,1629008.0,1.0,,,,,,,,
38,PT08M37.00S,2023-02-05T02:18:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631100,7.440867279894875,46.568627450980394,1610612737,10,10,2023-02-05T02:18:11Z,380000,False,17.0,17.0,1,left,A. Griffin cutting finger roll Layup (2 PTS) (J. Collins 1 AST),"[1631100, 1628381]",1610612737.0,ATL,cutting finger roll,,,Griffin,A. Griffin,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,2.45,J. Collins,1628381.0,1.0,,,,,,,,
40,PT08M27.00S,2023-02-05T02:18:17.1Z,1,REGULAR,2pt,Jump Shot,[],1629008,79.05716162943496,52.69607843137255,1610612743,12,10,2023-02-05T02:18:24Z,400000,False,13.0,144.0,1,right,M. Porter Jr. 14' fadeaway Jump Shot (4 PTS) (N. Jokic 3 AST),"[1629008, 203999]",1610612743.0,DEN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Center,,,,,,Made,,4.0,14.5,N. Jokic,203999.0,3.0,,,,,,,,
42,PT08M16.00S,2023-02-05T02:18:28.9Z,1,REGULAR,2pt,Jump Shot,[],1627749,16.113666228646515,75.98039215686273,1610612737,12,12,2023-02-05T02:18:33Z,420000,False,-130.0,99.0,1,left,D. Murray 16' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,Made,,2.0,16.33,,,,,,,,,,,
43,PT08M03.00S,2023-02-05T02:18:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,92.9862023653088,55.14705882352941,1610612743,14,12,2023-02-05T02:18:46Z,430000,False,26.0,13.0,1,right,J. Murray driving finger roll Layup (7 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,Made,,7.0,2.9,,,,,,,,,,,
44,PT07M51.00S,2023-02-05T02:18:54.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,9.411957950065702,50.49019607843137,1610612737,14,14,2023-02-05T02:18:58Z,440000,False,-2.0,36.0,1,left,C. Capela Hook (6 PTS) (D. Murray 3 AST),"[203991, 1627749]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Made,,6.0,3.61,D. Murray,1627749.0,3.0,,,,,,,,
46,PT07M41.00S,2023-02-05T02:19:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,90.48948751642575,50.245098039215684,1610612743,16,14,2023-02-05T02:19:14Z,460000,False,1.0,37.0,1,right,N. Jokic floating Jump Shot (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,3.69,J. Murray,1627750.0,1.0,,,,,,,,
48,PT07M29.00S,2023-02-05T02:19:15.5Z,1,REGULAR,2pt,Jump Shot,[],1631100,20.97568988173456,22.54901960784314,1610612737,16,16,2023-02-05T02:19:20Z,480000,False,137.0,145.0,1,left,A. Griffin 19' pullup Jump Shot (4 PTS) (D. Murray 4 AST),"[1631100, 1627749]",1610612737.0,ATL,pullup,,,Griffin,A. Griffin,,,,,Mid-Range,16-24 Right Center,,,,,,Made,,4.0,19.95,D. Murray,1627749.0,4.0,,,,,,,,
50,PT07M09.00S,2023-02-05T02:19:35.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,80.50262812089356,50.0,1610612743,18,16,2023-02-05T02:19:38Z,500000,False,0.0,131.0,1,right,M. Porter Jr. 13' turnaround fadeaway Jump Shot (6 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,turnaround fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,6.0,13.08,J. Murray,1627750.0,2.0,,,,,,,,
52,PT06M54.00S,2023-02-05T02:19:50.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,32.14520367936925,39.46078431372549,1610612737,18,19,2023-02-05T02:19:54Z,520000,False,53.0,250.0,1,left,D. Murray 25' 3PT  (5 PTS) (A. Griffin 1 AST),"[1627749, 1631100]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,Made,,5.0,25.52,A. Griffin,1631100.0,1.0,,,,,,,,
54,PT06M43.00S,2023-02-05T02:20:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,90.48948751642575,48.529411764705884,1610612743,18,19,2023-02-05T02:20:54Z,540000,False,-7.0,37.0,1,right,MISS A. Gordon cutting Layup,[203932],1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.76,,,,,,,,,,,
55,PT06M40.00S,2023-02-05T02:20:05.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,18,19,2023-02-05T02:20:09Z,550000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,54.0,,,,,,,,,1.0,1.0,0.0,,
56,PT06M28.00S,2023-02-05T02:20:16.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,8.886333771353483,3.1862745098039214,1610612737,18,19,2023-02-05T02:20:22Z,560000,False,234.0,31.0,1,left,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.61,,,,,,,,,,,
57,PT06M23.00S,2023-02-05T02:20:21.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,19,2023-02-05T02:20:22Z,570000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Right Corner 3,24+ Right,,,,,,,56.0,,,,,,,,,2.0,2.0,0.0,,
58,PT06M18.00S,2023-02-05T02:20:26.9Z,1,REGULAR,3pt,Jump Shot,[],1627750,92.46057818659659,96.32352941176471,1610612743,18,19,2023-02-05T02:20:41Z,580000,False,232.0,18.0,1,right,MISS J. Murray 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.23,,,,,,,,,,,
59,PT06M15.00S,2023-02-05T02:20:30.0Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,19,2023-02-05T02:20:30Z,590000,False,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Right Corner 3,24+ Right,,,,,,,58.0,,,,,,,,,3.0,2.0,1.0,,
60,PT06M12.00S,2023-02-05T02:20:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203484,92.19776609724047,54.65686274509803,1610612743,18,19,2023-02-05T02:20:43Z,600000,False,23.0,21.0,1,right,MISS K. Caldwell-Pope Layup,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.12,,,,,,,,,,,
61,PT06M09.00S,2023-02-05T02:20:36.1Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,19,2023-02-05T02:20:43Z,610000,False,,,0,,N. Jokic REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,60.0,,,,,,,,,4.0,2.0,2.0,,
62,PT06M09.00S,2023-02-05T02:20:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,94.40999984741211,50.0,1610612743,18,19,2023-02-05T02:20:35Z,620000,False,0.0,0.0,1,right,MISS N. Jokic tip Layup,[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,0.0,,,,,,,,,,,
63,PT06M09.00S,2023-02-05T02:20:35.8Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,19,2023-02-05T02:20:35Z,630000,False,,,0,,N. Jokic REBOUND (Off:3 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,,,,,,,62.0,,,,,,,,,5.0,2.0,3.0,,
64,PT06M06.00S,2023-02-05T02:20:38.8Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,18,19,2023-02-05T02:20:46Z,640000,False,,,0,,N. Jokic lost ball TURNOVER (1 TO),"[203999, 1629631]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Hunter,1629631.0,,,,,
65,PT06M06.00S,2023-02-05T02:20:38.8Z,1,REGULAR,steal,,[],1629631,,,1610612737,18,19,2023-02-05T02:21:54Z,650000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
66,PT05M59.00S,2023-02-05T02:20:49.8Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612737,18,19,2023-02-05T02:20:55Z,660000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Griffin 2 FT),"[203484, 1631100]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,1627964.0,1.0,0.0,Griffin,1631100.0,,,,,,,,,,,,,,,
68,PT05M59.00S,2023-02-05T02:21:13.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631100,,,1610612737,18,20,2023-02-05T02:21:13Z,680000,False,,,0,,A. Griffin Free Throw 1 of 2 (5 PTS),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,
69,PT05M59.00S,2023-02-05T02:21:13.6Z,1,REGULAR,substitution,out,[],203484,,,1610612737,18,20,2023-02-05T02:21:25Z,690000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M59.00S,2023-02-05T02:21:13.6Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,18,20,2023-02-05T02:21:25Z,700000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M59.00S,2023-02-05T02:21:13.6Z,1,REGULAR,substitution,in,[],1628971,,,1610612737,18,20,2023-02-05T02:21:25Z,710000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M59.00S,2023-02-05T02:21:13.6Z,1,REGULAR,substitution,in,[],1630235,,,1610612737,18,20,2023-02-05T02:21:25Z,720000,False,,,0,,SUB in: T. Forrest,[1630235],1610612737.0,ATL,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M59.00S,2023-02-05T02:21:40.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631100,,,1610612737,18,21,2023-02-05T02:21:40Z,730000,False,,,0,,A. Griffin Free Throw 2 of 2 (6 PTS),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,Made,,6.0,,,,,,,,,,,,
74,PT05M46.00S,2023-02-05T02:21:55.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.32917214191852,49.50980392156863,1610612743,20,21,2023-02-05T02:24:42Z,740000,False,-2.0,20.0,1,right,A. Gordon reverse DUNK (4 PTS) (N. Jokic 4 AST),"[203932, 203999]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.98,N. Jokic,203999.0,4.0,,,,,,,,
76,PT05M28.00S,2023-02-05T02:22:12.9Z,1,REGULAR,2pt,Jump Shot,[],1629631,20.581471747700395,54.41176470588235,1610612737,20,23,2023-02-05T02:22:17Z,760000,False,-22.0,141.0,1,left,D. Hunter 14' pullup Jump Shot (4 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Center,,,,,,Made,,4.0,14.27,,,,,,,,,,,
77,PT05M10.00S,2023-02-05T02:22:30.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,66.3107752956636,59.068627450980394,1610612743,20,23,2023-02-05T02:22:36Z,770000,False,45.0,264.0,1,right,MISS M. Porter Jr. 26' step back 3PT,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,26.81,,,,,,,,,,,
78,PT05M09.00S,2023-02-05T02:22:31.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,20,23,2023-02-05T02:22:36Z,780000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Center,,,,,,,77.0,,,,,,,,,2.0,2.0,0.0,,
79,PT04M55.00S,2023-02-05T02:22:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631100,9.937582128777924,63.48039215686274,1610612737,20,23,2023-02-05T02:22:51Z,790000,False,-67.0,41.0,1,left,MISS A. Griffin 7' pullup Shot,[1631100],1610612737.0,ATL,pullup,,,Griffin,A. Griffin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,7.88,,,,,,,,,,,
80,PT04M52.00S,2023-02-05T02:22:49.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,20,23,2023-02-05T02:22:51Z,800000,False,,,0,,N. Jokic REBOUND (Off:3 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,79.0,,,,,,,,,6.0,3.0,3.0,,
81,PT04M45.00S,2023-02-05T02:22:56.1Z,1,REGULAR,3pt,Jump Shot,[],1627750,92.32917214191852,3.431372549019608,1610612743,20,23,2023-02-05T02:23:00Z,810000,False,-233.0,20.0,1,right,MISS J. Murray 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.36,,,,,,,,,,,
82,PT04M42.00S,2023-02-05T02:22:59.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,20,23,2023-02-05T02:23:00Z,820000,False,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Left Corner 3,24+ Left,,,,,,,81.0,,,,,,,,,3.0,3.0,0.0,,
83,PT04M29.00S,2023-02-05T02:23:12.4Z,1,REGULAR,2pt,Jump Shot,[],1628381,8.886333771353483,33.82352941176471,1610612737,20,23,2023-02-05T02:23:17Z,830000,False,81.0,31.0,1,left,MISS J. Collins 8' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,8.66,,,,,,,,,,,
84,PT04M27.00S,2023-02-05T02:23:14.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,20,23,2023-02-05T02:23:17Z,840000,False,,,0,,N. Jokic REBOUND (Off:3 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,,,,,83.0,,,,,,,,,7.0,4.0,3.0,,
85,PT04M20.00S,2023-02-05T02:23:21.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,71.82982917214193,77.69607843137256,1610612743,23,23,2023-02-05T02:23:25Z,850000,False,138.0,212.0,1,right,M. Porter Jr. 25' 3PT  (9 PTS) (N. Jokic 5 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,9.0,25.35,N. Jokic,203999.0,5.0,,,,,,,,
