actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
23,PT09M36.00S,2022-11-06T01:14:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.652431011826544,45.83333333333333,1610612759,6,9,2022-11-06T01:14:23Z,230000,21.0,10.0,1,left,J. Poeltl reverse Layup (6 PTS) (J. Sochan 1 AST),"[1627751, 1631110]",1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.31,Made,6.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
25,PT09M18.00S,2022-11-06T01:14:30.8Z,1,REGULAR,2pt,Jump Shot,[],1627750,85.89027595269383,21.07843137254902,1610612743,8,9,2022-11-06T01:14:36Z,250000,-145.0,80.0,1,right,J. Murray 16' turnaround fadeaway Jump Shot (4 PTS),[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left,16.53,Made,4.0,,,,,,,,,,,,,,,,,
27,PT08M53.00S,2022-11-06T01:14:55.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,14.273981603153747,48.77450980392157,1610612759,8,9,2022-11-06T01:14:59Z,270000,6.0,82.0,1,left,MISS J. Poeltl 8' Hook,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,8.19,Missed,,,,,,,,,,,,,,,,,,
28,PT08M50.00S,2022-11-06T01:14:58.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,8,9,2022-11-06T01:14:59Z,280000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT08M41.00S,2022-11-06T01:15:07.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,91.93495400788436,49.50980392156863,1610612743,8,9,2022-11-06T01:15:18Z,290000,-2.0,23.0,1,right,MISS A. Gordon driving DUNK - blocked,"[203932, 1627751]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,Poeltl,1627751.0,,,
30,PT08M41.00S,2022-11-06T01:15:07.6Z,1,REGULAR,block,,[],1627751,,,1610612743,8,9,2022-11-06T01:15:09Z,300000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT08M41.00S,2022-11-06T01:15:07.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,8,9,2022-11-06T01:15:18Z,310000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,29.0,,,,,,,,
32,PT08M21.00S,2022-11-06T01:15:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,9.280551905387648,46.07843137254902,1610612759,8,11,2022-11-06T01:15:47Z,320000,20.0,35.0,1,left,J. Poeltl driving finger roll Layup (8 PTS) (K. Johnson 2 AST),"[1627751, 1629640]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.99,Made,8.0,K. Johnson,1629640.0,2.0,,,,,,,,,,,,,,
34,PT08M05.00S,2022-11-06T01:15:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,94.30026281208936,54.90196078431373,1610612743,10,11,2022-11-06T01:16:01Z,340000,25.0,1.0,1,right,N. Jokic driving Layup (2 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
36,PT07M48.00S,2022-11-06T01:16:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,8.229303547963205,44.11764705882353,1610612759,10,13,2022-11-06T01:16:14Z,360000,29.0,25.0,1,left,T. Jones driving finger roll Layup (2 PTS),[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.85,Made,2.0,,,,,,,,,,,,,,,,,
37,PT07M36.00S,2022-11-06T01:16:20.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,71.82982917214193,75.98039215686273,1610612743,13,13,2022-11-06T01:16:24Z,370000,130.0,212.0,1,right,J. Murray 24' 3PT step back (7 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,24.89,Made,7.0,,,,,,,,,,,,,,,,,
38,PT07M35.00S,2022-11-06T01:16:26.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,13,13,2022-11-06T01:16:26Z,380000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT07M35.00S,2022-11-06T01:18:47.5Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,13,13,2022-11-06T01:19:05Z,390000,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT07M35.00S,2022-11-06T01:18:47.5Z,1,REGULAR,substitution,in,[],1628966,,,1610612759,13,13,2022-11-06T01:19:05Z,400000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M22.00S,2022-11-06T01:19:34.3Z,1,REGULAR,substitution,out,[],1631103,,,1610612759,13,13,2022-11-06T01:19:40Z,420000,,,0,,SUB out: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M22.00S,2022-11-06T01:19:34.3Z,1,REGULAR,substitution,in,[],1630170,,,1610612759,13,13,2022-11-06T01:19:40Z,430000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M14.00S,2022-11-06T01:20:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,10.068988173455978,63.725490196078425,1610612759,13,13,2022-11-06T01:20:18Z,450000,-69.0,42.0,1,left,MISS T. Jones 8' driving floating Shot,[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,8.05,Missed,,,,,,,,,,,,,,,,,,
46,PT07M12.00S,2022-11-06T01:20:15.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,13,13,2022-11-06T01:20:18Z,460000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,
47,PT06M57.00S,2022-11-06T01:20:31.0Z,1,REGULAR,2pt,Jump Shot,[],1627750,91.80354796320631,17.401960784313726,1610612743,15,13,2022-11-06T01:21:10Z,470000,-163.0,25.0,1,right,J. Murray 16' step back Jump Shot (9 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left,16.48,Made,9.0,,,,,,,,,,,,,,,,,
48,PT06M46.00S,2022-11-06T01:20:40.5Z,1,REGULAR,3pt,Jump Shot,[],1629640,29.77989487516426,29.411764705882355,1610612759,15,13,2022-11-06T01:21:29Z,480000,103.0,227.0,1,left,MISS K. Johnson 24' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,24.96,Missed,,,,,,,,,,,,,,,,,,
49,PT06M44.00S,2022-11-06T01:20:42.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,15,13,2022-11-06T01:20:46Z,490000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,
50,PT06M40.00S,2022-11-06T01:20:46.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,68.54467805519053,72.30392156862744,1610612743,18,13,2022-11-06T01:22:09Z,500000,112.0,243.0,1,right,M. Porter Jr. 26' 3PT running pullup (5 PTS),[1629008],1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.75,Made,5.0,,,,,,,,,,,,,,,,,
51,PT06M18.00S,2022-11-06T01:21:08.8Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,18,13,2022-11-06T01:21:16Z,510000,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 203484]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0
52,PT06M18.00S,2022-11-06T01:21:08.8Z,1,REGULAR,steal,,[],203484,,,1610612743,18,13,2022-11-06T01:21:10Z,520000,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
53,PT06M15.00S,2022-11-06T01:21:14.0Z,1,REGULAR,turnover,out-of-bounds,[],203484,,,1610612743,18,13,2022-11-06T01:21:21Z,530000,,,0,,K. Caldwell-Pope bad pass out-of-bounds TURNOVER (1 TO),[203484],1610612743.0,DEN,bad pass,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1151.0,,,,,,,,,,,1.0,,
54,PT06M15.00S,2022-11-06T01:21:18.8Z,1,REGULAR,substitution,out,[],1629008,,,1610612759,18,13,2022-11-06T01:21:26Z,540000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M15.00S,2022-11-06T01:21:18.8Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,18,13,2022-11-06T01:21:26Z,550000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M15.00S,2022-11-06T01:21:18.8Z,1,REGULAR,substitution,in,[],1628971,,,1610612759,18,13,2022-11-06T01:21:26Z,560000,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M15.00S,2022-11-06T01:21:18.8Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,18,13,2022-11-06T01:21:26Z,570000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M04.00S,2022-11-06T01:21:40.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626196,12.565703022339028,96.32352941176471,1610612759,18,16,2022-11-06T01:21:45Z,580000,-232.0,66.0,1,left,J. Richardson 24' 3PT  (3 PTS) (D. Vassell 1 AST),"[1626196, 1630170]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Left Corner 3,24+ Left,24.07,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,
60,PT05M51.00S,2022-11-06T01:21:53.3Z,1,REGULAR,3pt,Jump Shot,[],1628971,92.32917214191852,4.411764705882353,1610612743,18,16,2022-11-06T01:21:59Z,600000,-228.0,20.0,1,right,MISS B. Brown 3PT,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,22.87,Missed,,,,,,,,,,,,,,,,,,
61,PT05M48.00S,2022-11-06T01:21:56.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,18,16,2022-11-06T01:21:59Z,610000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,
62,PT05M43.00S,2022-11-06T01:22:01.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630170,28.86005256241787,75.49019607843137,1610612759,18,16,2022-11-06T01:23:21Z,620000,-127.0,219.0,1,left,MISS D. Vassell 25' running pullup 3PT,[1630170],1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
63,PT05M40.00S,2022-11-06T01:22:04.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612743,18,16,2022-11-06T01:22:08Z,630000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,
64,PT05M28.00S,2022-11-06T01:22:16.7Z,1,REGULAR,3pt,Jump Shot,[],203484,93.38042049934296,95.83333333333334,1610612743,21,16,2022-11-06T01:22:21Z,640000,229.0,10.0,1,right,K. Caldwell-Pope 3PT  (3 PTS) (N. Jokic 2 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,22.94,Made,3.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
66,PT05M17.00S,2022-11-06T01:22:28.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,8.754927726675426,43.38235294117647,1610612759,21,18,2022-11-06T01:22:32Z,660000,33.0,30.0,1,left,K. Johnson driving floating bank Jump Shot (5 PTS) (D. Vassell 2 AST),"[1629640, 1630170]",1610612759.0,SAS,driving floating bank,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,5.0,D. Vassell,1630170.0,2.0,,,,,,,,,,,,,,
68,PT04M59.00S,2022-11-06T01:22:47.6Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612743,21,18,2022-11-06T01:22:58Z,680000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Jokic 2 FT),"[1627751, 203999]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1151.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
70,PT04M59.00S,2022-11-06T01:23:15.8Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,22,18,2022-11-06T01:23:15Z,700000,,,0,,N. Jokic Free Throw 1 of 2 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
71,PT04M59.00S,2022-11-06T01:23:16.4Z,1,REGULAR,substitution,out,[],1627751,,,1610612743,22,18,2022-11-06T01:23:21Z,710000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M59.00S,2022-11-06T01:23:16.4Z,1,REGULAR,substitution,in,[],203476,,,1610612743,22,18,2022-11-06T01:23:21Z,720000,,,0,,SUB in: G. Dieng,[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M59.00S,2022-11-06T01:23:41.7Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,23,18,2022-11-06T01:23:41Z,730000,,,0,,N. Jokic Free Throw 2 of 2 (4 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
74,PT04M39.00S,2022-11-06T01:24:03.2Z,1,REGULAR,3pt,Jump Shot,[],203476,30.17411300919842,71.32352941176471,1610612759,23,21,2022-11-06T01:24:16Z,740000,-107.0,231.0,1,left,G. Dieng 25' 3PT  (3 PTS) (J. Richardson 1 AST),"[203476, 1626196]",1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,Above the Break 3,24+ Left Center,25.45,Made,3.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,,
76,PT04M21.00S,2022-11-06T01:24:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,92.46057818659659,53.67647058823529,1610612743,25,21,2022-11-06T01:24:25Z,760000,18.0,18.0,1,right,K. Caldwell-Pope driving finger roll Layup (5 PTS) (B. Brown 1 AST),"[203484, 1628971]",1610612743.0,DEN,driving finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,2.6,Made,5.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,
78,PT04M08.00S,2022-11-06T01:24:34.0Z,1,REGULAR,3pt,Jump Shot,[],1626196,30.831143232588698,72.30392156862744,1610612759,25,21,2022-11-06T01:24:38Z,780000,-112.0,237.0,1,left,MISS J. Richardson 26' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
79,PT04M06.00S,2022-11-06T01:24:36.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,25,21,2022-11-06T01:24:38Z,790000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,
80,PT03M57.00S,2022-11-06T01:24:44.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,91.40932982917214,59.068627450980394,1610612743,27,21,2022-11-06T01:24:48Z,800000,45.0,28.0,1,right,N. Jokic driving floating Jump Shot (6 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.34,Made,6.0,,,,,,,,,,,,,,,,,
81,PT03M45.00S,2022-11-06T01:24:59.0Z,1,REGULAR,turnover,out-of-bounds,[],203476,,,1610612759,27,21,2022-11-06T01:25:05Z,810000,,,0,,G. Dieng bad pass out-of-bounds TURNOVER (1 TO),[203476],1610612759.0,SAS,bad pass,,,Dieng,G. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202049.0,,,,,,,,,,,1.0,,
82,PT03M45.00S,2022-11-06T01:25:01.5Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,27,21,2022-11-06T01:25:19Z,820000,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT03M45.00S,2022-11-06T01:25:01.5Z,1,REGULAR,substitution,out,[],203932,,,1610612743,27,21,2022-11-06T01:25:19Z,830000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT03M45.00S,2022-11-06T01:25:01.5Z,1,REGULAR,substitution,out,[],1629640,,,1610612743,27,21,2022-11-06T01:25:19Z,840000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M45.00S,2022-11-06T01:25:01.5Z,1,REGULAR,substitution,in,[],1630538,,,1610612743,27,21,2022-11-06T01:25:19Z,850000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M45.00S,2022-11-06T01:25:01.5Z,1,REGULAR,substitution,in,[],201145,,,1610612743,27,21,2022-11-06T01:25:19Z,860000,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M45.00S,2022-11-06T01:25:01.5Z,1,REGULAR,substitution,in,[],203926,,,1610612743,27,21,2022-11-06T01:25:19Z,870000,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M26.00S,2022-11-06T01:25:45.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201145,93.9060446780552,56.372549019607845,1610612743,29,21,2022-11-06T01:25:51Z,880000,32.0,5.0,1,right,J. Green cutting Layup (2 PTS) (N. Jokic 3 AST),"[201145, 203999]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.23,Made,2.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,,,
90,PT03M11.00S,2022-11-06T01:26:01.6Z,1,REGULAR,turnover,traveling,[],1628966,,,1610612759,29,21,2022-11-06T01:26:06Z,900000,,,0,,K. Bates-Diop traveling TURNOVER (1 TO),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Center,,,,,,,202035.0,,,,,,,,,,,1.0,,
91,PT03M11.00S,2022-11-06T01:26:04.6Z,1,REGULAR,substitution,out,[],203484,,,1610612743,29,21,2022-11-06T01:26:15Z,910000,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M11.00S,2022-11-06T01:26:04.6Z,1,REGULAR,substitution,in,[],1629008,,,1610612743,29,21,2022-11-06T01:26:15Z,920000,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
