actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M56.00S,2022-10-23T01:17:23.2Z,1,REGULAR,2pt,Jump Shot,[],1630581,12.565703022339028,14.950980392156863,1610612760,0,0,2022-10-23T01:17:28Z,150000,175.0,66.0,1,left,MISS J. Giddey 18' pullup Shot,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right,18.71,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-10-23T01:17:25.2Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,0,0,2022-10-23T01:17:28Z,160000,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M52.00S,2022-10-23T01:17:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,9.411957950065702,42.64705882352941,1610612760,0,2,2022-10-23T01:17:32Z,170000,37.0,36.0,1,left,J. Giddey cutting Layup (2 PTS) (L. Dort 1 AST),"[1630581, 1629652]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.15,Made,,,,,,,,2.0,L. Dort,1629652.0,1.0,,,,,,,
20,PT10M37.00S,2022-10-23T01:17:41.6Z,1,REGULAR,3pt,Jump Shot,[],203484,69.20170827858082,25.49019607843137,1610612743,3,2,2022-10-23T01:18:52Z,190000,-123.0,237.0,1,right,K. Caldwell-Pope 26' 3PT  (3 PTS) (J. Murray 1 AST),"[203484, 1627750]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,26.68,Made,,,,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,
22,PT10M21.00S,2022-10-23T01:17:58.0Z,1,REGULAR,3pt,Jump Shot,[],1628983,27.54599211563732,82.35294117647058,1610612760,3,5,2022-10-23T01:18:02Z,210000,-162.0,206.0,1,left,S. Gilgeous-Alexander 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1628983, 1630581]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,26.23,Made,,,,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,,
24,PT10M07.00S,2022-10-23T01:18:12.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,93.38042049934296,4.901960784313726,1610612743,3,5,2022-10-23T01:18:20Z,230000,-225.0,10.0,1,right,MISS M. Porter Jr. 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,22.57,Missed,,,,,,,,,,,,,,,,,,
25,PT10M03.00S,2022-10-23T01:18:15.5Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,5,2022-10-23T01:18:15Z,240000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT10M00.00S,2022-10-23T01:18:18.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,92.46057818659659,55.63725490196079,1610612743,3,5,2022-10-23T01:18:24Z,250000,28.0,18.0,1,right,MISS A. Gordon Layup - blocked,"[203932, 1630197]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,Pokusevski,1630197.0,,,,,
27,PT10M00.00S,2022-10-23T01:18:18.5Z,1,REGULAR,block,,[],1630197,,,1610612743,3,5,2022-10-23T01:18:20Z,260000,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT10M00.00S,2022-10-23T01:18:18.5Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,5,2022-10-23T01:18:24Z,270000,,,0,,A. Gordon REBOUND (Off:2 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,26.0,2.0,0.0,2.0,,,,,,,,,,,,,,
29,PT09M56.00S,2022-10-23T01:18:22.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203932,94.40999984741211,50.0,1610612743,5,5,2022-10-23T02:15:58Z,280000,0.0,0.0,1,right,A. Gordon putback DUNK (2 PTS),[203932],1610612743.0,DEN,putback,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
30,PT09M50.00S,2022-10-23T01:18:29.4Z,1,REGULAR,3pt,Jump Shot,[],1630526,28.597240473061763,21.323529411764707,1610612760,5,5,2022-10-23T01:18:33Z,290000,143.0,216.0,1,left,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,25.95,Missed,,,,,,,,,,,,,,,,,,
31,PT09M47.00S,2022-10-23T01:18:32.4Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,5,2022-10-23T01:18:33Z,300000,,,0,,A. Gordon REBOUND (Off:2 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,30.0,3.0,1.0,2.0,,,,,,,,,,,,,,
32,PT09M42.00S,2022-10-23T01:18:36.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,92.85479632063075,3.431372549019608,1610612743,8,5,2022-10-23T01:20:58Z,310000,-233.0,15.0,1,right,M. Porter Jr. 3PT running (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,23.33,Made,,,,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,
34,PT09M17.00S,2022-10-23T01:19:02.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,4.02431011826544,74.75490196078431,1610612760,8,5,2022-10-23T01:19:10Z,330000,-124.0,-15.0,1,left,MISS S. Gilgeous-Alexander 12' turnaround Shot,[1628983],1610612760.0,OKC,turnaround,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,12.47,Missed,,,,,,,,,,,,,,,,,,
35,PT09M14.00S,2022-10-23T01:19:05.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,8,5,2022-10-23T01:19:10Z,340000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT09M07.00S,2022-10-23T01:19:11.5Z,1,REGULAR,3pt,Jump Shot,[],203484,70.38436268068331,76.22549019607843,1610612743,11,5,2022-10-23T02:16:06Z,350000,131.0,226.0,1,right,K. Caldwell-Pope 26' 3PT  (6 PTS) (J. Murray 2 AST),"[203484, 1627750]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,26.12,Made,,,,,,,,6.0,J. Murray,1627750.0,2.0,,,,,,,
38,PT08M56.00S,2022-10-23T01:19:22.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,24.129434954007884,11.029411764705882,1610612760,11,5,2022-10-23T01:19:26Z,370000,195.0,174.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,26.15,Missed,,,,,,,,,,,,,,,,,,
39,PT08M53.00S,2022-10-23T01:19:25.9Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,11,5,2022-10-23T01:19:26Z,380000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M37.00S,2022-10-23T01:20:00.7Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,11,5,2022-10-23T01:20:03Z,400000,,,0,,J. Murray bad pass TURNOVER (2 TO),"[1627750, 1629652]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,,,,,,,2.0,Dort,1629652.0,,,,,,,,,,,
42,PT08M37.00S,2022-10-23T01:20:00.7Z,1,REGULAR,steal,,[],1629652,,,1610612760,11,5,2022-10-23T01:20:02Z,410000,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2022-10-23T01:20:39.5Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,11,5,2022-10-23T01:20:42Z,430000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1627750]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Murray,1627750.0,,,,,,,,,,,
45,PT08M22.00S,2022-10-23T01:20:39.5Z,1,REGULAR,steal,,[],1627750,,,1610612743,11,5,2022-10-23T01:20:41Z,440000,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT08M10.00S,2022-10-23T01:20:51.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629008,87.72996057818659,41.911764705882355,1610612743,11,5,2022-10-23T01:20:55Z,450000,-40.0,63.0,1,right,MISS M. Porter Jr. 7' Layup - blocked,"[1629008, 1630581]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.47,Missed,,,,,,,,,,,,Giddey,1630581.0,,,,,
47,PT08M10.00S,2022-10-23T01:20:51.0Z,1,REGULAR,block,,[],1630581,,,1610612743,11,5,2022-10-23T01:20:52Z,460000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2022-10-23T01:20:53.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,11,5,2022-10-23T01:20:55Z,470000,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,,
49,PT08M03.00S,2022-10-23T01:20:57.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,8.360709592641262,44.11764705882353,1610612760,11,5,2022-10-23T01:26:18Z,480000,29.0,26.0,1,left,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,3.93,Missed,,,,,,,,,,,,,,,,,,
50,PT08M00.00S,2022-10-23T01:21:00.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,11,5,2022-10-23T01:21:07Z,490000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,,
51,PT07M55.00S,2022-10-23T01:21:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627750,91.80354796320631,45.09803921568628,1610612743,13,5,2022-10-23T01:26:57Z,500000,-25.0,25.0,1,right,J. Murray running Layup (2 PTS) (M. Porter Jr. 1 AST),"[1627750, 1629008]",1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.46,Made,,,,,,,,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,
53,PT07M46.00S,2022-10-23T01:21:19.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,13,5,2022-10-23T01:21:19Z,520000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M40.00S,2022-10-23T01:24:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,8.886333771353483,56.86274509803921,1610612760,13,5,2022-10-23T01:24:36Z,530000,-34.0,31.0,1,left,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
55,PT07M39.00S,2022-10-23T01:24:32.4Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,13,5,2022-10-23T01:24:32Z,540000,,,0,,L. Dort REBOUND (Off:2 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,3.0,1.0,2.0,,,,,,,,,,,,,,
56,PT07M39.00S,2022-10-23T01:24:33.7Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612760,13,5,2022-10-23T01:24:43Z,550000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Dort 2 FT),"[203999, 1629652]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Dort,1629652.0
58,PT07M39.00S,2022-10-23T01:24:59.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629652,,,1610612760,13,6,2022-10-23T01:25:00Z,570000,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
59,PT07M39.00S,2022-10-23T01:25:13.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629652,,,1610612760,13,7,2022-10-23T01:25:13Z,580000,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
60,PT07M20.00S,2022-10-23T01:25:33.6Z,1,REGULAR,3pt,Jump Shot,[],203484,69.07030223390277,29.65686274509804,1610612743,16,7,2022-10-23T01:25:39Z,590000,-102.0,238.0,1,right,K. Caldwell-Pope 25' 3PT  (9 PTS) (A. Gordon 1 AST),"[203484, 203932]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,25.9,Made,,,,,,,,9.0,A. Gordon,203932.0,1.0,,,,,,,
62,PT07M08.00S,2022-10-23T01:25:46.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,29.122864651773984,75.49019607843137,1610612760,16,7,2022-10-23T01:25:52Z,610000,-127.0,221.0,1,left,MISS L. Dort 25' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
63,PT07M04.00S,2022-10-23T01:25:50.3Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,16,7,2022-10-23T01:25:52Z,620000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:3),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,,
64,PT06M59.00S,2022-10-23T01:25:54.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,95.22010512483574,94.85294117647058,1610612743,16,7,2022-10-23T01:29:25Z,630000,224.0,-8.0,1,right,MISS M. Porter Jr. running 3PT,[1629008],1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2022-10-23T01:25:57.7Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,16,7,2022-10-23T01:26:03Z,640000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Right Corner 3,24+ Right,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT06M48.00S,2022-10-23T01:26:05.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,14.799605781865965,75.49019607843137,1610612760,16,7,2022-10-23T01:26:10Z,650000,-127.0,87.0,1,left,MISS S. Gilgeous-Alexander 15' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,15.41,Missed,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2022-10-23T01:26:08.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,16,7,2022-10-23T01:26:10Z,660000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,,
68,PT06M40.00S,2022-10-23T01:26:18.3Z,1,REGULAR,foul,personal,[],1629652,,,1610612743,16,7,2022-10-23T01:26:45Z,670000,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 203999]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Jokic,203999.0
70,PT06M33.00S,2022-10-23T01:26:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,93.51182654402102,56.86274509803921,1610612743,16,7,2022-10-23T01:26:49Z,690000,34.0,8.0,1,right,MISS J. Murray driving reverse Layup,[1627750],1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.53,Missed,,,,,,,,,,,,,,,,,,
71,PT06M31.00S,2022-10-23T01:26:45.4Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,16,7,2022-10-23T01:26:49Z,700000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M28.00S,2022-10-23T01:26:49.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630526,6.783837056504599,47.549019607843135,1610612760,16,9,2022-10-23T01:26:55Z,710000,12.0,11.0,1,left,J. Robinson-Earl running DUNK (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630526, 1628983]",1610612760.0,OKC,running,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,
74,PT06M23.00S,2022-10-23T01:26:53.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,16,9,2022-10-23T01:26:58Z,730000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1630197]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Pokusevski,1630197.0,,,,,,,,,,,
75,PT06M23.00S,2022-10-23T01:26:53.7Z,1,REGULAR,steal,,[],1630197,,,1610612760,16,9,2022-10-23T01:26:55Z,740000,,,0,,A. Pokusevski STEAL (2 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
76,PT06M15.00S,2022-10-23T01:27:01.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,30.56833114323259,23.774509803921568,1610612760,16,9,2022-10-23T01:27:06Z,750000,131.0,235.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,26.89,Missed,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2022-10-23T01:27:04.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,16,9,2022-10-23T01:27:06Z,760000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,,,76.0,3.0,3.0,0.0,,,,,,,,,,,,,,
78,PT06M07.00S,2022-10-23T01:27:09.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,72.35545335085413,82.84313725490196,1610612743,16,9,2022-10-23T01:31:29Z,770000,164.0,207.0,1,right,MISS K. Caldwell-Pope 26' running pullup 3PT,[203484],1610612743.0,DEN,running pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
79,PT06M05.00S,2022-10-23T01:27:11.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,16,9,2022-10-23T01:27:14Z,780000,,,0,,L. Dort REBOUND (Off:2 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,78.0,4.0,2.0,2.0,,,,,,,,,,,,,,
80,PT05M56.00S,2022-10-23T01:27:20.2Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,16,9,2022-10-23T01:27:23Z,790000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (2 TO),"[1628983, 1627750]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,,,,,,,2.0,Murray,1627750.0,,,,,,,,,,,
81,PT05M56.00S,2022-10-23T01:27:20.2Z,1,REGULAR,steal,,[],1627750,,,1610612743,16,9,2022-10-23T01:27:21Z,800000,,,0,,J. Murray STEAL (2 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
