actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M06.00S,2022-10-29T01:12:10.2Z,1,REGULAR,3pt,Jump Shot,[],203482,68.28186596583443,30.88235294117647,1610612762,0,3,2022-10-29T01:12:14Z,150000,-96.0,246.0,1,right,K. Olynyk 26' 3PT  (3 PTS) (M. Conley 1 AST),"[203482, 201144]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,26.36,Made,,,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,
17,PT10M46.00S,2022-10-29T01:12:30.7Z,1,REGULAR,3pt,Jump Shot,[],203932,8.09789750328515,4.166666666666666,1610612743,3,3,2022-10-29T01:12:34Z,170000,229.0,24.0,1,left,A. Gordon 3PT  (3 PTS) (B. Brown 1 AST),"[203932, 1628971]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,23.04,Made,,,,,,,3.0,B. Brown,1628971.0,1.0,,,,,,,,
19,PT10M29.00S,2022-10-29T01:12:47.7Z,1,REGULAR,3pt,Jump Shot,[],201144,70.12155059132719,73.52941176470588,1610612762,3,6,2022-10-29T01:12:51Z,190000,118.0,228.0,1,right,M. Conley 25' 3PT  (3 PTS) (K. Olynyk 1 AST),"[201144, 203482]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.69,Made,,,,,,,3.0,K. Olynyk,203482.0,1.0,,,,,,,,
21,PT10M10.00S,2022-10-29T01:13:05.9Z,1,REGULAR,3pt,Jump Shot,[],203932,27.414586070959263,76.7156862745098,1610612743,3,6,2022-10-29T01:13:09Z,210000,-134.0,205.0,1,left,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,24.49,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2022-10-29T01:13:07.9Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,3,6,2022-10-29T01:13:09Z,220000,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,
23,PT09M58.00S,2022-10-29T01:13:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,89.30683311432325,62.745098039215684,1610612762,3,6,2022-10-29T01:13:23Z,230000,64.0,48.0,1,right,MISS J. Clarkson 7' driving floating Shot,[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,7.98,Missed,,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2022-10-29T01:13:20.8Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,3,6,2022-10-29T01:13:23Z,240000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,
25,PT09M46.00S,2022-10-29T01:13:30.9Z,1,REGULAR,turnover,lost ball,[],203932,,,1610612743,3,6,2022-10-29T01:13:39Z,250000,,,0,,A. Gordon lost ball TURNOVER (1 TO),"[203932, 203482]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1.0,Olynyk,203482.0,,,,,
26,PT09M46.00S,2022-10-29T01:13:30.9Z,1,REGULAR,steal,,[],203482,,,1610612762,3,6,2022-10-29T01:13:39Z,260000,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
27,PT09M39.00S,2022-10-29T01:13:38.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,75.50919842312747,84.80392156862744,1610612762,3,9,2022-10-29T01:14:06Z,270000,174.0,178.0,1,right,L. Markkanen 24' 3PT  (3 PTS) (K. Olynyk 2 AST),"[1628374, 203482]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,24.87,Made,,,,,,,3.0,K. Olynyk,203482.0,2.0,,,,,,,,
29,PT09M38.00S,2022-10-29T01:13:42.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,3,9,2022-10-29T01:13:42Z,290000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M20.00S,2022-10-29T01:16:46.0Z,1,REGULAR,3pt,Jump Shot,[],1629008,29.38567674113009,21.07843137254902,1610612743,6,9,2022-10-29T01:16:51Z,300000,145.0,224.0,1,left,M. Porter Jr. 26' 3PT  (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.64,Made,,,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,,
32,PT09M06.00S,2022-10-29T01:16:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,70.90998685939553,20.34313725490196,1610612762,6,12,2022-10-29T01:17:07Z,320000,-148.0,221.0,1,right,L. Markkanen 26' 3PT  (6 PTS) (M. Conley 2 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.61,Made,,,,,,,6.0,M. Conley,201144.0,2.0,,,,,,,,
34,PT08M45.00S,2022-10-29T01:17:19.9Z,1,REGULAR,3pt,Jump Shot,[],1628971,20.97568988173456,8.333333333333332,1610612743,9,12,2022-10-29T01:17:26Z,340000,208.0,145.0,1,left,B. Brown 25' 3PT  (3 PTS),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,25.36,Made,,,,,,,3.0,,,,,,,,,,,
35,PT08M25.00S,2022-10-29T01:17:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,84.44480946123521,44.36274509803921,1610612762,9,12,2022-10-29T01:17:46Z,350000,-28.0,94.0,1,right,MISS L. Markkanen 9' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,9.79,Missed,,,,,,,,,,,,,,,,,,
36,PT08M23.00S,2022-10-29T01:17:42.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,12,2022-10-29T01:17:46Z,360000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT08M16.00S,2022-10-29T01:17:50.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.61957950065703,62.00980392156863,1610612743,12,12,2022-10-29T01:17:54Z,370000,-60.0,245.0,1,left,M. Porter Jr. 25' 3PT  (6 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.19,Made,,,,,,,6.0,N. Jokic,203999.0,2.0,,,,,,,,
39,PT07M51.00S,2022-10-29T01:18:14.4Z,1,REGULAR,2pt,Jump Shot,[],203482,91.67214191852825,17.647058823529413,1610612762,12,14,2022-10-29T01:18:22Z,390000,-162.0,26.0,1,right,K. Olynyk 16' turnaround fadeaway Jump Shot (5 PTS) (L. Markkanen 1 AST),"[203482, 1628374]",1610612762.0,UTA,turnaround fadeaway,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left,16.38,Made,,,,,,,5.0,L. Markkanen,1628374.0,1.0,,,,,,,,
41,PT07M30.00S,2022-10-29T01:18:35.3Z,1,REGULAR,2pt,Jump Shot,[],1627750,23.866622864651774,36.76470588235294,1610612743,14,14,2022-10-29T01:18:39Z,410000,66.0,172.0,1,left,J. Murray 18' pullup Jump Shot (2 PTS) (N. Jokic 3 AST),"[1627750, 203999]",1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,18.41,Made,,,,,,,2.0,N. Jokic,203999.0,3.0,,,,,,,,
43,PT07M18.00S,2022-10-29T01:18:50.6Z,1,REGULAR,foul,offensive,[],203482,,,1610612762,14,14,2022-10-29T01:19:05Z,430000,,,0,,K. Olynyk offensive FOUL (1 PF),"[203482, 1627750]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Murray,1627750.0
45,PT07M18.00S,2022-10-29T01:18:50.6Z,1,REGULAR,turnover,offensive foul,[],203482,,,1610612762,14,14,2022-10-29T01:18:50Z,450000,,,0,,K. Olynyk offensive foul TURNOVER (1 TO),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1.0,,,1193.0,,,,
46,PT07M03.00S,2022-10-29T01:19:20.1Z,1,REGULAR,foul,personal,['2freethrow'],1628374,,,1610612743,14,14,2022-10-29T01:19:33Z,460000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Jokic 2 FT),"[1628374, 203999]",1610612762.0,UTA,shooting,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Jokic,203999.0
48,PT07M03.00S,2022-10-29T01:19:44.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203999,,,1610612743,15,14,2022-10-29T01:20:21Z,480000,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
49,PT07M03.00S,2022-10-29T01:19:44.7Z,1,REGULAR,substitution,out,[],201144,,,1610612743,15,14,2022-10-29T01:20:14Z,490000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M03.00S,2022-10-29T01:19:44.7Z,1,REGULAR,substitution,out,[],1629020,,,1610612743,15,14,2022-10-29T01:20:14Z,500000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2022-10-29T01:19:44.7Z,1,REGULAR,substitution,in,[],1629012,,,1610612743,15,14,2022-10-29T01:20:14Z,510000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M03.00S,2022-10-29T01:19:44.7Z,1,REGULAR,substitution,in,[],1627736,,,1610612743,15,14,2022-10-29T01:20:14Z,520000,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M03.00S,2022-10-29T01:19:44.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203999,,,1610612743,15,14,2022-10-29T01:20:21Z,530000,,,0,,MISS N. Jokic Free Throw 2 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT06M57.00S,2022-10-29T01:19:50.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,15,14,2022-10-29T01:20:21Z,540000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,
55,PT06M49.00S,2022-10-29T01:20:23.7Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,15,14,2022-10-29T01:20:28Z,550000,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 203999]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Jokic,203999.0,,,,,
56,PT06M49.00S,2022-10-29T01:20:23.7Z,1,REGULAR,steal,,[],203999,,,1610612743,15,14,2022-10-29T01:20:25Z,560000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT06M49.00S,2022-10-29T01:20:27.4Z,1,REGULAR,foul,personal,[],1629012,,,1610612743,15,14,2022-10-29T01:21:04Z,570000,,,0,,C. Sexton personal FOUL (1 PF),"[1629012, 203999]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Jokic,203999.0
59,PT06M39.00S,2022-10-29T01:20:57.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,32.013797634691194,31.862745098039213,1610612743,15,14,2022-10-29T01:21:06Z,590000,91.0,248.0,1,left,MISS N. Jokic 26' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
60,PT06M36.00S,2022-10-29T01:21:00.8Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,15,14,2022-10-29T01:21:00Z,600000,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,
61,PT06M26.00S,2022-10-29T01:21:10.6Z,1,REGULAR,3pt,Jump Shot,[],203903,75.90341655716163,12.254901960784313,1610612762,15,14,2022-10-29T01:21:15Z,610000,-189.0,174.0,1,right,MISS J. Clarkson 25' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,,
62,PT06M23.00S,2022-10-29T01:21:13.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,15,14,2022-10-29T01:21:15Z,620000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,
63,PT06M02.00S,2022-10-29T01:21:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.750985545335087,63.970588235294116,1610612743,15,14,2022-10-29T01:21:44Z,630000,-70.0,246.0,1,left,MISS M. Porter Jr. 25' step back 3PT,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.57,Missed,,,,,,,,,,,,,,,,,,
64,PT05M59.00S,2022-10-29T01:21:37.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,15,14,2022-10-29T01:21:44Z,640000,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,
65,PT05M58.00S,2022-10-29T01:21:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,6.652431011826544,37.745098039215684,1610612743,17,14,2022-10-29T01:22:41Z,650000,61.0,10.0,1,left,N. Jokic 6' putback Layup (3 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.21,Made,,,,,,,3.0,,,,,,,,,,,
66,PT05M51.00S,2022-10-29T01:21:45.6Z,1,REGULAR,3pt,Jump Shot,[],1629012,69.07030223390277,29.65686274509804,1610612762,17,14,2022-10-29T01:21:54Z,660000,-102.0,238.0,1,right,MISS C. Sexton 25' pullup 3PT,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,25.9,Missed,,,,,,,,,,,,,,,,,,
67,PT05M51.00S,2022-10-29T01:21:45.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612743,17,14,2022-10-29T01:21:54Z,670000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
69,PT05M39.00S,2022-10-29T01:22:05.6Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,17,14,2022-10-29T01:22:16Z,690000,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M39.00S,2022-10-29T01:22:05.6Z,1,REGULAR,substitution,out,[],203903,,,1610612743,17,14,2022-10-29T01:22:16Z,700000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M39.00S,2022-10-29T01:22:05.6Z,1,REGULAR,substitution,out,[],203482,,,1610612743,17,14,2022-10-29T01:22:16Z,710000,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M39.00S,2022-10-29T01:22:05.6Z,1,REGULAR,substitution,in,[],1631128,,,1610612743,17,14,2022-10-29T01:22:16Z,720000,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M39.00S,2022-10-29T01:22:05.6Z,1,REGULAR,substitution,in,[],1630534,,,1610612743,17,14,2022-10-29T01:22:16Z,730000,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M39.00S,2022-10-29T01:22:05.6Z,1,REGULAR,substitution,in,[],1629659,,,1610612743,17,14,2022-10-29T01:22:16Z,740000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M25.00S,2022-10-29T01:22:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,8.360709592641262,46.32352941176471,1610612743,19,14,2022-10-29T01:22:44Z,750000,18.0,26.0,1,left,J. Murray driving Layup (4 PTS),[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,,,4.0,,,,,,,,,,,
77,PT05M10.00S,2022-10-29T01:22:50.1Z,1,REGULAR,2pt,Jump Shot,[],1627736,78.66294349540078,61.274509803921575,1610612762,19,14,2022-10-29T01:22:54Z,770000,56.0,148.0,1,right,MISS M. Beasley 15' pullup Shot,[1627736],1610612762.0,UTA,pullup,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Center,15.85,Missed,,,,,,,,,,,,,,,,,,
78,PT05M08.00S,2022-10-29T01:22:52.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,19,14,2022-10-29T01:22:54Z,780000,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,,,,,77.0,3.0,2.0,1.0,,,,,,,,,,,,
79,PT05M01.00S,2022-10-29T01:23:00.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628971,25.837713534822605,78.18627450980392,1610612743,21,14,2022-10-29T01:27:00Z,790000,-141.0,190.0,1,left,B. Brown 23' running pullup Jump Shot (5 PTS) (N. Jokic 4 AST),"[1628971, 203999]",1610612743.0,DEN,running pullup,,,Brown,B. Brown,,,,,Mid-Range,16-24 Left Center,23.69,Made,,,,,,,5.0,N. Jokic,203999.0,4.0,,,,,,,,
81,PT05M01.00S,2022-10-29T01:23:10.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,21,14,2022-10-29T01:23:10Z,810000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M01.00S,2022-10-29T01:25:33.7Z,1,REGULAR,substitution,out,[],1627750,,,1610612762,21,14,2022-10-29T01:25:48Z,820000,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2022-10-29T01:25:33.7Z,1,REGULAR,substitution,in,[],1630538,,,1610612762,21,14,2022-10-29T01:25:48Z,830000,,,0,,SUB in: B. Hyland,[1630538],1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M41.00S,2022-10-29T01:26:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,92.9862023653088,41.66666666666667,1610612762,21,14,2022-10-29T01:26:18Z,840000,-42.0,13.0,1,right,MISS C. Sexton driving Layup - blocked,"[1629012, 203999]",1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,4.38,Missed,Jokic,203999.0,,,,,,,,,,,,,,,,
127,PT04M41.00S,2022-10-29T01:26:13.0Z,1,REGULAR,block,,[],203999,,,1610612762,21,14,2022-10-29T01:31:02Z,845000,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT04M39.00S,2022-10-29T01:26:15.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,21,14,2022-10-29T01:26:18Z,850000,,,0,,N. Jokic REBOUND (Off:1 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,84.0,4.0,3.0,1.0,,,,,,,,,,,,
86,PT04M22.00S,2022-10-29T01:26:31.7Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,21,14,2022-10-29T01:26:37Z,860000,,,0,,N. Jokic lost ball TURNOVER (1 TO),"[203999, 1629659]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Horton-Tucker,1629659.0,,,,,
