actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M11.00S,2022-11-23T02:14:32.3Z,1,REGULAR,foul,offensive,[],1628963,,,1610612765,2,8,2022-11-23T02:15:16Z,190000,False,,,0,,M. Bagley III offensive FOUL (1 PF),"[1628963, 203484]",1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,,203177.0,,,,,,,,,1.0,0.0,Caldwell-Pope,203484.0,,,,
21,PT10M11.00S,2022-11-23T02:14:32.3Z,1,REGULAR,turnover,offensive foul,[],1628963,,,1610612765,2,8,2022-11-23T02:14:32Z,210000,False,,,0,,M. Bagley III offensive foul TURNOVER (1 TO),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,,203177.0,1.0,,,,,,,,,,,,,,,
22,PT09M53.00S,2022-11-23T02:15:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627750,89.70105124835742,50.49019607843137,1610612743,2,8,2022-11-23T02:16:19Z,220000,False,2.0,44.0,1,right,MISS J. Murray driving Layup - blocked,"[1627750, 1630587]",1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,4.44,Missed,,,,,,,,,,,,,,,Livers,1630587.0,,
23,PT09M53.00S,2022-11-23T02:15:04.4Z,1,REGULAR,block,,[],1630587,,,1610612743,2,8,2022-11-23T02:15:08Z,230000,False,,,0,,I. Livers BLOCK (1 BLK),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2022-11-23T02:15:08.4Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,8,2022-11-23T02:15:10Z,240000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
25,PT09M48.00S,2022-11-23T02:15:09.9Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,2,8,2022-11-23T02:18:20Z,250000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 1627750]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Left Center,,,,,1.0,,,,,,,,,,,,,,Murray,1627750.0
26,PT09M48.00S,2022-11-23T02:15:09.9Z,1,REGULAR,steal,,[],1627750,,,1610612743,2,8,2022-11-23T02:15:12Z,260000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2022-11-23T02:15:37.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629008,75.50919842312747,33.088235294117645,1610612743,2,8,2022-11-23T02:15:42Z,280000,False,-85.0,178.0,1,right,MISS M. Porter Jr. 19' fadeaway Shot,[1629008],1610612743.0,DEN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,19.68,Missed,,,,,,,,,,,,,,,,,,
29,PT09M40.00S,2022-11-23T02:15:40.3Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,8,2022-11-23T02:15:42Z,290000,False,,,0,,J. Ivey REBOUND (Off:0 Def:2),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,
64,PT09M33.00S,2022-11-23T02:15:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,9.411957950065702,46.81372549019608,1610612765,2,8,2022-11-23T02:20:18Z,315000,False,16.0,36.0,1,left,MISS J. Ivey driving Layup - blocked,"[1631093, 1627750]",1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,Murray,1627750.0,,
65,PT09M33.00S,2022-11-23T02:15:49.7Z,1,REGULAR,block,,[],1627750,,,1610612765,2,8,2022-11-23T02:20:18Z,317500,False,,,0,,J. Murray BLOCK (1 BLK),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT09M33.00S,2022-11-23T02:15:49.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,8,2022-11-23T02:20:18Z,318750,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,
32,PT09M29.00S,2022-11-23T02:15:51.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,92.9862023653088,51.9607843137255,1610612743,4,8,2022-11-23T02:20:18Z,320000,False,10.0,13.0,1,right,A. Gordon running alley-oop DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[203932, 203484]",1610612743.0,DEN,running alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,
34,PT09M14.00S,2022-11-23T02:16:06.3Z,1,REGULAR,3pt,Jump Shot,[],1631093,29.122864651773984,78.18627450980392,1610612765,4,8,2022-11-23T02:16:11Z,340000,False,-141.0,221.0,1,left,MISS J. Ivey 26' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,26.23,Missed,,,,,,,,,,,,,,,,,,
35,PT09M11.00S,2022-11-23T02:16:09.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,8,2022-11-23T02:16:11Z,350000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT09M02.00S,2022-11-23T02:16:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,93.77463863337714,46.81372549019608,1610612743,6,8,2022-11-23T02:16:27Z,360000,False,-16.0,6.0,1,right,A. Gordon cutting Layup (4 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.7,Made,4.0,,,N. Jokic,203999.0,2.0,,,,,,,,,,,,
38,PT08M53.00S,2022-11-23T02:16:26.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202711,6.652431011826544,59.068627450980394,1610612765,6,10,2022-11-23T02:16:36Z,380000,False,-45.0,10.0,1,left,B. Bogdanovic running Layup (7 PTS) (J. Ivey 2 AST),"[202711, 1631093]",1610612765.0,DET,running,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,7.0,,,J. Ivey,1631093.0,2.0,,,,,,,,,,,,
40,PT08M49.00S,2022-11-23T02:16:31.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,74.06373193166885,14.950980392156863,1610612743,6,10,2022-11-23T02:16:39Z,400000,False,-175.0,191.0,1,right,MISS K. Caldwell-Pope 25' pullup 3PT,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,25.94,Missed,,,,,,,,,,,,,,,,,,
41,PT08M49.00S,2022-11-23T02:16:31.5Z,1,REGULAR,rebound,offensive,[],203484,,,1610612743,6,10,2022-11-23T02:16:39Z,410000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,
42,PT08M41.00S,2022-11-23T02:16:38.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203484,92.59198423127464,53.67647058823529,1610612743,8,10,2022-11-23T02:25:54Z,420000,False,18.0,17.0,1,right,K. Caldwell-Pope driving finger roll Layup (4 PTS),[203484],1610612743.0,DEN,driving finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,2.51,Made,4.0,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2022-11-23T02:16:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,10.988830486202366,44.6078431372549,1610612765,8,12,2022-11-23T02:17:03Z,430000,False,27.0,51.0,1,left,B. Bogdanovic driving Layup (9 PTS) (K. Hayes 1 AST),"[202711, 1630165]",1610612765.0,DET,driving,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,5.75,Made,9.0,,,K. Hayes,1630165.0,1.0,,,,,,,,,,,,
45,PT08M10.00S,2022-11-23T02:17:10.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,76.42904073587385,30.88235294117647,1610612743,8,12,2022-11-23T02:17:19Z,450000,False,-96.0,169.0,1,right,MISS J. Murray 19' step back Shot,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,19.43,Missed,,,,,,,,,,,,,,,,,,
46,PT08M05.00S,2022-11-23T02:17:15.2Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,8,12,2022-11-23T02:17:19Z,460000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,
47,PT08M05.00S,2022-11-23T02:17:18.4Z,1,REGULAR,foul,personal,[],1630165,,,1610612743,8,12,2022-11-23T02:17:40Z,470000,False,,,0,,K. Hayes personal FOUL (1 PF),"[1630165, 203999]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,,,,203177.0,,,,,,,,,1.0,0.0,Jokic,203999.0,,,,
49,PT07M54.00S,2022-11-23T02:17:45.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,90.48948751642575,50.49019607843137,1610612743,10,12,2022-11-23T02:17:59Z,490000,False,2.0,37.0,1,right,N. Jokic Hook (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.7,Made,2.0,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2022-11-23T02:17:58.3Z,1,REGULAR,2pt,Jump Shot,[],202711,10.5946123521682,83.08823529411765,1610612765,10,12,2022-11-23T02:18:03Z,500000,False,-165.0,47.0,1,left,MISS B. Bogdanovic 17' Jump Shot,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Left,17.2,Missed,,,,,,,,,,,,,,,,,,
51,PT07M39.00S,2022-11-23T02:18:00.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,10,12,2022-11-23T02:18:03Z,510000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,
52,PT07M30.00S,2022-11-23T02:18:09.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,93.64323258869908,51.71568627450981,1610612743,12,12,2022-11-23T02:18:12Z,520000,False,9.0,7.0,1,right,A. Gordon DUNK (6 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.13,Made,6.0,,,J. Murray,1627750.0,1.0,,,,,,,,,,,,
54,PT07M12.00S,2022-11-23T02:18:28.2Z,1,REGULAR,turnover,bad pass,[],1630165,,,1610612765,12,12,2022-11-23T02:18:32Z,540000,False,,,0,,K. Hayes bad pass TURNOVER (1 TO),"[1630165, 203484]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Left,,,,,1.0,,,,,,,,,,,,,,Caldwell-Pope,203484.0
55,PT07M12.00S,2022-11-23T02:18:28.2Z,1,REGULAR,steal,,[],203484,,,1610612743,12,12,2022-11-23T02:18:30Z,550000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
56,PT07M00.00S,2022-11-23T02:18:40.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629008,85.10183968462549,48.77450980392157,1610612743,12,12,2022-11-23T02:18:48Z,560000,False,-6.0,88.0,1,right,MISS M. Porter Jr. 8' driving floating Shot - blocked,"[1629008, 1630587]",1610612743.0,DEN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.77,Missed,,,,,,,,,,,,,,,Livers,1630587.0,,
73,PT07M00.00S,2022-11-23T02:18:40.2Z,1,REGULAR,block,,[],1630587,,,1610612743,12,12,2022-11-23T02:22:56Z,565000,False,,,0,,I. Livers BLOCK (2 BLK),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2022-11-23T02:18:44.2Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,12,12,2022-11-23T02:18:48Z,570000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,
58,PT06M44.00S,2022-11-23T02:18:55.3Z,1,REGULAR,3pt,Jump Shot,[],1631093,33.590670170827856,47.794117647058826,1610612765,12,12,2022-11-23T02:19:00Z,580000,False,11.0,263.0,1,left,MISS J. Ivey 26' step back 3PT,[1631093],1610612765.0,DET,step back,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,,
59,PT06M42.00S,2022-11-23T02:18:57.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,12,12,2022-11-23T02:19:00Z,590000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,
60,PT06M26.00S,2022-11-23T02:19:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.06636005256242,52.94117647058824,1610612743,12,12,2022-11-23T02:19:19Z,600000,False,15.0,22.0,1,right,MISS N. Jokic cutting finger roll Layup,[203999],1610612743.0,DEN,cutting finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.65,Missed,,,,,,,,,,,,,,,,,,
61,PT06M24.00S,2022-11-23T02:19:16.5Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,12,12,2022-11-23T02:19:19Z,610000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,
62,PT06M20.00S,2022-11-23T02:19:20.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202711,6.258212877792378,45.09803921568628,1610612765,12,14,2022-11-23T02:19:27Z,620000,False,25.0,6.0,1,left,B. Bogdanovic running Layup (11 PTS),[202711],1610612765.0,DET,running,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,2.53,Made,11.0,,,,,,,,,,,,,,,,,
63,PT06M19.00S,2022-11-23T02:19:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,12,14,2022-11-23T02:19:26Z,630000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M19.00S,2022-11-23T02:21:57.1Z,1,REGULAR,substitution,out,[],203484,,,1610612743,12,14,2022-11-23T02:22:27Z,640000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M19.00S,2022-11-23T02:21:57.1Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,12,14,2022-11-23T02:22:27Z,650000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M06.00S,2022-11-23T02:22:38.3Z,1,REGULAR,foul,offensive,[],203999,,,1610612743,12,14,2022-11-23T02:22:43Z,660000,False,,,0,,N. Jokic offensive FOUL (1 PF),"[203999, 1628963]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,202058.0,,,,,,,,,1.0,0.0,Bagley III,1628963.0,,,,
71,PT06M06.00S,2022-11-23T02:22:38.3Z,1,REGULAR,turnover,offensive foul,[],203999,,,1610612743,12,14,2022-11-23T02:22:38Z,680000,False,,,0,,N. Jokic offensive foul TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,202058.0,1.0,,,,,,,,,,,,,,,
72,PT06M06.00S,2022-11-23T02:22:53.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,14,2022-11-23T02:22:53Z,690000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M49.00S,2022-11-23T02:25:55.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630165,9.280551905387648,96.56862745098039,1610612765,12,14,2022-11-23T02:25:59Z,710000,False,-233.0,35.0,1,left,MISS K. Hayes 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Left Corner 3,24+ Left,23.54,Missed,,,,,,,,,,,,,,,,,,
76,PT05M46.00S,2022-11-23T02:25:58.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,12,14,2022-11-23T02:25:59Z,720000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,75.0,3.0,3.0,0.0,,,,,,,,
77,PT05M40.00S,2022-11-23T02:26:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203932,92.32917214191852,51.225490196078425,1610612743,14,14,2022-11-23T02:26:11Z,730000,False,6.0,20.0,1,right,A. Gordon running Layup (8 PTS) (N. Jokic 3 AST),"[203932, 203999]",1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.05,Made,8.0,,,N. Jokic,203999.0,3.0,,,,,,,,,,,,
79,PT05M25.00S,2022-11-23T02:26:18.9Z,1,REGULAR,3pt,Jump Shot,[],202711,12.565703022339028,4.166666666666666,1610612765,14,14,2022-11-23T02:26:23Z,750000,False,229.0,66.0,1,left,MISS B. Bogdanovic 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,23.84,Missed,,,,,,,,,,,,,,,,,,
80,PT05M22.00S,2022-11-23T02:26:21.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,14,14,2022-11-23T02:26:23Z,760000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Right Corner 3,24+ Right,,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,
81,PT05M18.00S,2022-11-23T02:26:26.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,92.46057818659659,44.11764705882353,1610612743,16,14,2022-11-23T02:26:32Z,770000,False,-29.0,18.0,1,right,B. Brown running finger roll Layup (2 PTS) (N. Jokic 4 AST),"[1628971, 203999]",1610612743.0,DEN,running finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,3.47,Made,2.0,,,N. Jokic,203999.0,4.0,,,,,,,,,,,,
83,PT05M02.00S,2022-11-23T02:26:42.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,16.376478318002626,50.98039215686274,1610612765,16,16,2022-11-23T02:26:56Z,790000,False,-5.0,101.0,1,left,J. Ivey 10' floating Jump Shot (2 PTS),[1631093],1610612765.0,DET,floating,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),8-16 Center,10.15,Made,2.0,,,,,,,,,,,,,,,,,
84,PT04M48.00S,2022-11-23T02:26:56.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,69.33311432325887,69.36274509803921,1610612743,19,16,2022-11-23T02:27:02Z,800000,False,97.0,236.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (B. Brown 1 AST),"[1629008, 1628971]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.49,Made,3.0,,,B. Brown,1628971.0,1.0,,,,,,,,,,,,
86,PT04M35.00S,2022-11-23T02:27:10.0Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,19,16,2022-11-23T02:27:13Z,820000,False,,,0,,J. Ivey bad pass TURNOVER (2 TO),"[1631093, 203999]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,2.0,,,,,,,,,,,,,,Jokic,203999.0
