actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M58.00S,2023-03-04T03:16:43.2Z,1,REGULAR,steal,,[],1628415,,,1610612763,2,0,2023-03-04T03:16:45Z,160000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2023-03-04T03:16:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,66.04796320630749,34.31372549019608,1610612763,2,3,2023-03-04T03:17:44Z,170000,False,-78.0,267.0,1,right,D. Bane 27' 3PT pullup (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,27.79,Made,3.0,,,,,,,,J. Morant,1629630.0,1.0,,,,,,,
19,PT10M32.00S,2023-03-04T03:17:09.4Z,1,REGULAR,2pt,Jump Shot,[],1627750,11.514454664914586,68.13725490196079,1610612743,2,3,2023-03-04T04:24:14Z,190000,False,-91.0,56.0,1,left,MISS J. Murray 10' driving floating Shot - blocked,"[1627750, 1628991]",1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,10.64,Missed,,,,,,,,,,,,Jackson Jr.,1628991.0,,,,,
20,PT10M32.00S,2023-03-04T03:17:09.4Z,1,REGULAR,block,,[],1628991,,,1610612743,2,3,2023-03-04T03:17:11Z,200000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2023-03-04T03:17:11.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,2,3,2023-03-04T03:17:18Z,210000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M27.00S,2023-03-04T03:17:14.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,65.52233902759527,35.78431372549019,1610612763,2,3,2023-03-04T03:18:31Z,220000,False,-71.0,272.0,1,right,MISS D. Bane 28' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,28.08,Missed,,,,,,,,,,,,,,,,,,
23,PT10M25.00S,2023-03-04T03:17:16.6Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,2,3,2023-03-04T03:17:16Z,230000,False,,,0,,D. Bane REBOUND (Off:1 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,
24,PT10M24.00S,2023-03-04T03:17:18.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,66.3107752956636,32.35294117647059,1610612763,2,3,2023-03-04T03:17:25Z,240000,False,-88.0,264.0,1,right,MISS D. Bane 27' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,27.85,Missed,,,,,,,,,,,,,,,,,,
25,PT10M21.00S,2023-03-04T03:17:21.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,2,3,2023-03-04T03:17:25Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,24.0,,,,,,,,,,,,,,,,
27,PT10M05.00S,2023-03-04T03:17:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,24.129434954007884,86.27450980392157,1610612743,2,3,2023-03-04T03:17:51Z,270000,False,-181.0,174.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
28,PT10M01.00S,2023-03-04T03:17:49.9Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,2,3,2023-03-04T03:17:51Z,280000,False,,,0,,X. Tillman REBOUND (Off:0 Def:2),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Left Center,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
29,PT09M48.00S,2023-03-04T03:18:02.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629630,93.24901445466492,49.50980392156863,1610612763,2,5,2023-03-04T03:18:05Z,290000,False,-2.0,11.0,1,right,J. Morant cutting DUNK (2 PTS) (J. Jackson Jr. 1 AST),"[1629630, 1628991]",1610612763.0,MEM,cutting,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,,,,,,,,J. Jackson Jr.,1628991.0,1.0,,,,,,,
31,PT09M30.00S,2023-03-04T03:18:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,9.674770039421814,40.44117647058824,1610612743,4,5,2023-03-04T03:18:29Z,310000,False,48.0,38.0,1,left,N. Jokic 6' driving floating bank Jump Shot (4 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,driving floating bank,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.13,Made,4.0,,,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,
33,PT09M25.00S,2023-03-04T03:18:25.3Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,4,5,2023-03-04T03:18:32Z,330000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1627750]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,Murray,1627750.0,,,,,,,,,,
34,PT09M25.00S,2023-03-04T03:18:25.3Z,1,REGULAR,steal,,[],1627750,,,1610612743,4,5,2023-03-04T03:18:26Z,340000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M13.00S,2023-03-04T03:18:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203932,7.835085413929041,41.911764705882355,1610612743,6,5,2023-03-04T03:18:42Z,350000,False,40.0,21.0,1,left,A. Gordon driving Layup (2 PTS) (K. Caldwell-Pope 2 AST),"[203932, 203484]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,4.56,Made,2.0,,,,,,,,K. Caldwell-Pope,203484.0,2.0,,,,,,,
37,PT08M53.00S,2023-03-04T03:18:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,84.05059132720105,37.99019607843137,1610612763,6,7,2023-03-04T03:19:01Z,370000,False,-60.0,97.0,1,right,D. Brooks 11' pullup Jump Shot (2 PTS) (J. Morant 2 AST),"[1628415, 1629630]",1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,11.44,Made,2.0,,,,,,,,J. Morant,1629630.0,2.0,,,,,,,
39,PT08M38.00S,2023-03-04T03:19:12.1Z,1,REGULAR,2pt,Jump Shot,[],203484,21.107095926412615,30.14705882352941,1610612743,6,7,2023-03-04T03:19:16Z,390000,False,99.0,146.0,1,left,MISS K. Caldwell-Pope 17' pullup Shot,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,17.65,Missed,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2023-03-04T03:19:13.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,6,7,2023-03-04T03:19:16Z,400000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,16-24 Right Center,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,
41,PT08M29.00S,2023-03-04T03:19:23.7Z,1,REGULAR,foul,personal,[],1629008,,,1610612763,6,7,2023-03-04T03:19:49Z,410000,False,,,0,,M. Porter Jr. personal FOUL (1 PF),"[1629008, 1628991]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Jackson Jr.,1628991.0
43,PT08M24.00S,2023-03-04T03:19:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,84.83902759526939,46.81372549019608,1610612763,6,7,2023-03-04T03:19:52Z,430000,False,-16.0,90.0,1,right,MISS J. Morant 9' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,9.14,Missed,,,,,,,,,,,,,,,,,,
44,PT08M22.00S,2023-03-04T03:19:49.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,7,2023-03-04T03:19:49Z,440000,False,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,
45,PT08M15.00S,2023-03-04T03:19:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,9.411957950065702,51.225490196078425,1610612743,6,7,2023-03-04T03:20:06Z,450000,False,-6.0,36.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.65,Missed,,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2023-03-04T03:19:56.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,6,7,2023-03-04T03:20:06Z,460000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,45.0,1.0,0.0,1.0,,,,,,,,,,,,,
47,PT08M15.00S,2023-03-04T03:20:03.1Z,1,REGULAR,foul,personal,[],1628991,,,1610612743,6,7,2023-03-04T03:20:34Z,470000,False,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 203932]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Gordon,203932.0
49,PT08M08.00S,2023-03-04T03:20:31.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629008,21.107095926412615,22.54901960784314,1610612743,8,7,2023-03-04T03:21:02Z,490000,False,137.0,146.0,1,left,M. Porter Jr. 20' pullup Jump Shot (2 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,20.03,Made,2.0,,,,,,,,J. Murray,1627750.0,1.0,,,,,,,
51,PT07M50.00S,2023-03-04T03:20:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630214,91.93495400788436,3.9215686274509802,1610612763,8,10,2023-03-04T03:20:53Z,510000,False,-230.0,23.0,1,right,X. Tillman 3PT  (3 PTS) (J. Morant 3 AST),"[1630214, 1629630]",1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Left Corner 3,24+ Left,23.16,Made,3.0,,,,,,,,J. Morant,1629630.0,3.0,,,,,,,
53,PT07M36.00S,2023-03-04T03:21:03.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,6.915243101182654,49.01960784313725,1610612743,10,10,2023-03-04T03:21:07Z,530000,False,5.0,13.0,1,left,A. Gordon DUNK (4 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.34,Made,4.0,,,,,,,,N. Jokic,203999.0,1.0,,,,,,,
56,PT07M17.00S,2023-03-04T03:21:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,91.80354796320631,41.66666666666667,1610612763,10,12,2023-03-04T03:21:43Z,560000,False,-42.0,25.0,1,right,J. Jackson Jr. driving finger roll Layup (2 PTS) (X. Tillman 1 AST),"[1628991, 1630214]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.84,Made,2.0,,,,,,,,X. Tillman,1630214.0,1.0,,,,,,,
58,PT07M17.00S,2023-03-04T03:21:36.4Z,1,REGULAR,foul,personal,['1freethrow'],203932,,,1610612763,10,12,2023-03-04T03:21:42Z,580000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Jackson Jr. 1 FT),"[203932, 1628991]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Jackson Jr.,1628991.0
60,PT07M17.00S,2023-03-04T03:22:00.1Z,1,REGULAR,freethrow,1 of 1,[],1628991,,,1610612763,10,13,2023-03-04T03:22:00Z,600000,False,,,0,,J. Jackson Jr. Free Throw 1 of 1 (3 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
61,PT07M07.00S,2023-03-04T03:22:16.2Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612743,10,13,2023-03-04T03:22:38Z,610000,False,,,0,,J. Morant shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629630, 203999]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Jokic,203999.0
63,PT07M07.00S,2023-03-04T03:22:38.6Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,10,13,2023-03-04T03:22:38Z,630000,False,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
64,PT07M07.00S,2023-03-04T03:22:38.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,10,13,2023-03-04T03:22:38Z,640000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,
65,PT07M07.00S,2023-03-04T03:22:53.1Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,11,13,2023-03-04T03:22:53Z,650000,False,,,0,,N. Jokic Free Throw 2 of 2 (5 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
66,PT06M54.00S,2023-03-04T03:23:09.9Z,1,REGULAR,3pt,Jump Shot,[],1628991,90.3580814717477,95.58823529411765,1610612763,11,13,2023-03-04T03:23:14Z,660000,False,228.0,38.0,1,right,MISS J. Jackson Jr. 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.11,Missed,,,,,,,,,,,,,,,,,,
67,PT06M54.00S,2023-03-04T03:23:09.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,11,13,2023-03-04T03:23:14Z,670000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT06M43.00S,2023-03-04T03:23:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,11.645860709592641,49.01960784313725,1610612743,13,13,2023-03-04T03:23:25Z,680000,False,5.0,57.0,1,left,N. Jokic turnaround Jump Shot (7 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.72,Made,7.0,,,,,,,,M. Porter Jr.,1629008.0,1.0,,,,,,,
70,PT06M31.00S,2023-03-04T03:23:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,86.81011826544021,53.92156862745098,1610612763,13,13,2023-03-04T03:23:38Z,700000,False,20.0,71.0,1,right,MISS D. Brooks 7' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2023-03-04T03:23:36.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,13,13,2023-03-04T03:23:36Z,710000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,70.0,,,,,,,,,,,,,,,,
73,PT06M30.00S,2023-03-04T03:23:41.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,13,13,2023-03-04T03:23:41Z,730000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M30.00S,2023-03-04T03:26:25.2Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,13,13,2023-03-04T03:27:01Z,740000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M30.00S,2023-03-04T03:26:25.2Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,13,13,2023-03-04T03:27:01Z,750000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M25.00S,2023-03-04T03:27:12.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630214,83.13074901445466,49.50980392156863,1610612763,13,13,2023-03-04T03:27:41Z,760000,False,-2.0,106.0,1,right,MISS X. Tillman 10' floating Shot,[1630214],1610612763.0,MEM,floating,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),8-16 Center,10.61,Missed,,,,,,,,,,,,,,,,,,
77,PT06M21.00S,2023-03-04T03:27:16.5Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,13,13,2023-03-04T03:28:28Z,770000,False,,,0,,X. Tillman REBOUND (Off:1 Def:2),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),8-16 Center,,,,76.0,3.0,2.0,1.0,,,,,,,,,,,,,
78,PT06M20.00S,2023-03-04T03:27:17.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629630,90.62089356110381,95.34313725490196,1610612763,13,16,2023-03-04T03:27:44Z,780000,False,227.0,36.0,1,right,J. Morant 3PT  (5 PTS) (X. Tillman 2 AST),"[1629630, 1630214]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Right Corner 3,24+ Right,22.95,Made,5.0,,,,,,,,X. Tillman,1630214.0,2.0,,,,,,,
79,PT05M58.00S,2023-03-04T03:27:39.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,32.276609724047304,63.970588235294116,1610612743,13,16,2023-03-04T03:27:49Z,790000,False,-70.0,251.0,1,left,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,26.05,Missed,,,,,,,,,,,,,,,,,,
80,PT05M58.00S,2023-03-04T03:27:39.4Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,13,16,2023-03-04T03:27:49Z,800000,False,,,0,,X. Tillman REBOUND (Off:1 Def:3),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Center,,,,79.0,4.0,3.0,1.0,,,,,,,,,,,,,
81,PT05M45.00S,2023-03-04T03:27:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.77463863337714,53.92156862745098,1610612763,13,18,2023-03-04T03:27:57Z,810000,False,20.0,6.0,1,right,J. Morant driving finger roll Layup (7 PTS),[1629630],1610612763.0,MEM,driving finger roll,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,2.05,Made,7.0,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2023-03-04T03:28:13.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,5.601182654402102,51.9607843137255,1610612743,15,18,2023-03-04T03:28:19Z,820000,False,-10.0,0.0,1,left,M. Porter Jr. cutting DUNK (4 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.98,Made,4.0,,,,,,,,J. Murray,1627750.0,2.0,,,,,,,
85,PT04M54.00S,2023-03-04T03:28:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630217,74.19513797634691,86.76470588235294,1610612763,15,18,2023-03-04T03:28:48Z,840000,False,184.0,190.0,1,right,MISS D. Bane 26' fadeaway 3PT,[1630217],1610612763.0,MEM,fadeaway,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2023-03-04T03:28:45.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,15,18,2023-03-04T03:28:48Z,850000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,85.0,2.0,2.0,0.0,,,,,,,,,,,,,
87,PT04M47.00S,2023-03-04T03:28:52.7Z,1,REGULAR,foul,personal,['2freethrow'],1630583,,,1610612743,15,18,2023-03-04T03:29:00Z,860000,False,,,0,,S. Aldama shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1630583, 1629008]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Porter Jr.,1629008.0
