actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT11M13.00S,2023-01-19T03:13:52.5Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2023-01-19T03:13:55Z,170000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT11M03.00S,2023-01-19T03:14:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.11760840998686,51.9607843137255,1610612743,0,0,2023-01-19T03:14:08Z,180000,False,10.0,12.0,1,right,MISS N. Jokic finger roll Layup,[203999],1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,,,,
19,PT11M02.00S,2023-01-19T03:14:04.1Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2023-01-19T03:14:04Z,190000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,
20,PT11M01.00S,2023-01-19T03:14:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,92.06636005256242,47.05882352941176,1610612743,0,0,2023-01-19T03:14:12Z,200000,False,-15.0,22.0,1,right,MISS N. Jokic putback Layup - blocked,"[203999, 1629675]",1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.65,Missed,Reid,1629675.0,,,,,,,,,,,,,,,,
21,PT11M01.00S,2023-01-19T03:14:04.9Z,1,REGULAR,block,,[],1629675,,,1610612743,0,0,2023-01-19T03:14:07Z,210000,False,,,0,,N. Reid BLOCK (1 BLK),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT11M01.00S,2023-01-19T03:14:04.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2023-01-19T03:14:12Z,220000,False,,,0,,N. Jokic REBOUND (Off:2 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,,
23,PT11M00.00S,2023-01-19T03:14:09.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,2,0,2023-01-19T03:20:39Z,230000,False,0.0,0.0,1,right,N. Jokic putback Layup (2 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
24,PT10M41.00S,2023-01-19T03:14:24.0Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,2,0,2023-01-19T03:14:30Z,240000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 203999]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Jokic,203999.0,,,,,,,
25,PT10M41.00S,2023-01-19T03:14:24.0Z,1,REGULAR,steal,,[],203999,,,1610612743,2,0,2023-01-19T03:14:26Z,250000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
26,PT10M37.00S,2023-01-19T03:14:28.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627750,94.1688567674113,47.30392156862745,1610612743,4,0,2023-01-19T03:14:34Z,260000,False,-13.0,2.0,1,right,J. Murray running DUNK (2 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.37,Made,,,,,,,,2.0,,,,N. Jokic,203999.0,1.0,,,,
28,PT10M23.00S,2023-01-19T03:14:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,7.30946123521682,39.705882352941174,1610612750,4,2,2023-01-19T03:14:50Z,280000,False,51.0,16.0,1,left,K. Anderson driving floating Jump Shot (2 PTS) (N. Reid 1 AST),"[203937, 1629675]",1610612750.0,MIN,driving floating,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,5.4,Made,,,,,,,,2.0,,,,N. Reid,1629675.0,1.0,,,,
30,PT09M58.00S,2023-01-19T03:15:07.4Z,1,REGULAR,2pt,Jump Shot,[],1627750,89.83245729303549,18.872549019607842,1610612743,4,2,2023-01-19T03:22:22Z,300000,False,-156.0,43.0,1,right,MISS J. Murray 16' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left,16.15,Missed,,,,,,,,,,,,,,,,,,
31,PT09M57.00S,2023-01-19T03:15:08.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,4,2,2023-01-19T03:15:26Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,16-24 Left,,,,,30.0,,,,,,,,,,,,,,,
33,PT09M48.00S,2023-01-19T03:16:04.1Z,1,REGULAR,2pt,Jump Shot,[],1626156,10.5946123521682,75.73529411764706,1610612750,4,2,2023-01-19T03:16:15Z,330000,False,-129.0,47.0,1,left,MISS D. Russell 13' fadeaway Shot,[1626156],1610612750.0,MIN,fadeaway,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,13.7,Missed,,,,,,,,,,,,,,,,,,
34,PT09M44.00S,2023-01-19T03:16:08.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,2,2023-01-19T03:16:12Z,340000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,
35,PT09M34.00S,2023-01-19T03:16:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,91.5407358738502,44.6078431372549,1610612743,6,2,2023-01-19T03:24:31Z,350000,False,-27.0,27.0,1,right,M. Porter Jr. Layup (2 PTS) (N. Jokic 2 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,3.82,Made,,,,,,,,2.0,,,,N. Jokic,203999.0,2.0,,,,
37,PT09M17.00S,2023-01-19T03:16:34.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,12.434296977660972,65.68627450980392,1610612750,6,4,2023-01-19T03:26:48Z,370000,False,-78.0,64.0,1,left,J. McDaniels 10' fadeaway Jump Shot (2 PTS),[1630183],1610612750.0,MIN,fadeaway,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,10.15,Made,,,,,,,,2.0,,,,,,,,,,
39,PT09M07.00S,2023-01-19T03:16:45.1Z,1,REGULAR,3pt,Jump Shot,[],203484,94.43166885676742,95.58823529411765,1610612743,9,4,2023-01-19T03:16:51Z,390000,False,228.0,0.0,1,right,K. Caldwell-Pope 3PT fadeaway (3 PTS),[203484],1610612743.0,DEN,fadeaway,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,22.79,Made,,,,,,,,3.0,,,,,,,,,,
40,PT08M53.00S,2023-01-19T03:16:59.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,31.61957950065703,65.44117647058823,1610612750,9,4,2023-01-19T03:17:05Z,400000,False,-77.0,245.0,1,left,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,25.66,Missed,,,,,,,,,,,,,,,,,,
41,PT08M48.00S,2023-01-19T03:17:04.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,9,4,2023-01-19T03:17:05Z,410000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,40.0,3.0,3.0,0.0,,,,,,,,,,,,
42,PT08M46.00S,2023-01-19T03:17:06.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,71.82982917214193,77.45098039215686,1610612743,9,4,2023-01-19T03:17:17Z,420000,False,137.0,212.0,1,right,MISS M. Porter Jr. 25' running pullup 3PT,[1629008],1610612743.0,DEN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.28,Missed,,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2023-01-19T03:17:08.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,9,4,2023-01-19T03:17:17Z,430000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,42.0,,,,,,,,,,,,,,,
45,PT08M27.00S,2023-01-19T03:17:36.8Z,1,REGULAR,3pt,Jump Shot,[],1630183,9.149145860709593,2.450980392156863,1610612750,9,7,2023-01-19T03:17:40Z,450000,False,238.0,34.0,1,left,J. McDaniels 24' 3PT  (5 PTS) (D. Russell 1 AST),"[1630183, 1626156]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,24.0,Made,,,,,,,,5.0,,,,D. Russell,1626156.0,1.0,,,,
47,PT08M09.00S,2023-01-19T03:17:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.64323258869908,54.41176470588235,1610612743,11,7,2023-01-19T03:17:59Z,470000,False,22.0,7.0,1,right,N. Jokic driving Layup (4 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,,,,4.0,,,,,,,,,,
48,PT07M58.00S,2023-01-19T03:18:05.8Z,1,REGULAR,3pt,Jump Shot,[],203937,27.020367936925098,17.401960784313726,1610612750,11,10,2023-01-19T03:18:10Z,480000,False,163.0,201.0,1,left,K. Anderson 25' 3PT  (5 PTS) (D. Russell 2 AST),"[203937, 1626156]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,25.92,Made,,,,,,,,5.0,,,,D. Russell,1626156.0,2.0,,,,
51,PT07M34.00S,2023-01-19T03:18:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,91.40932982917214,38.23529411764706,1610612743,13,10,2023-01-19T03:18:34Z,500000,False,-59.0,28.0,1,right,J. Murray 6' driving floating bank Jump Shot (4 PTS) (A. Gordon 1 AST),"[1627750, 203932]",1610612743.0,DEN,driving floating bank,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.53,Made,,,,,,,,4.0,,,,A. Gordon,203932.0,1.0,,,,
53,PT07M22.00S,2023-01-19T03:18:42.5Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,13,10,2023-01-19T03:18:45Z,520000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1627750]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Murray,1627750.0,,,,,,,
54,PT07M22.00S,2023-01-19T03:18:42.5Z,1,REGULAR,steal,,[],1627750,,,1610612743,13,10,2023-01-19T03:18:43Z,530000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M19.00S,2023-01-19T03:18:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629008,89.56964520367937,53.18627450980392,1610612743,13,10,2023-01-19T03:18:53Z,540000,False,16.0,46.0,1,right,MISS M. Porter Jr. running Layup,[1629008],1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.82,Missed,,,,,,,,,,,,,,,,,,
57,PT07M19.00S,2023-01-19T03:18:46.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,13,10,2023-01-19T03:18:53Z,560000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,55.0,,,,,,,,,,,,,,,
59,PT07M13.00S,2023-01-19T03:19:11.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203932,70.64717477003943,76.9607843137255,1610612743,13,10,2023-01-19T03:19:16Z,580000,False,135.0,223.0,1,right,MISS A. Gordon 26' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,26.09,Missed,,,,,,,,,,,,,,,,,,
60,PT07M11.00S,2023-01-19T03:19:13.8Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,13,10,2023-01-19T03:19:16Z,590000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,
61,PT07M05.00S,2023-01-19T03:19:21.5Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612750,13,10,2023-01-19T03:19:47Z,600000,False,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,202901.0,,,,,,,,,,,
63,PT07M05.00S,2023-01-19T03:19:32.5Z,1,REGULAR,substitution,out,[],1630183,,,1610612750,13,10,2023-01-19T03:19:39Z,610000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M05.00S,2023-01-19T03:19:32.5Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,13,10,2023-01-19T03:19:39Z,620000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M52.00S,2023-01-19T03:20:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,6.915243101182654,44.6078431372549,1610612750,13,12,2023-01-19T03:20:07Z,630000,False,27.0,13.0,1,left,N. Reid Layup (2 PTS) (K. Anderson 1 AST),"[1629675, 203937]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,2.98,Made,,,,,,,,2.0,,,,K. Anderson,203937.0,1.0,,,,
70,PT06M40.00S,2023-01-19T03:20:44.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,13,12,2023-01-19T03:23:41Z,680000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2023-01-19T03:23:43.4Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,13,12,2023-01-19T03:24:07Z,700000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M40.00S,2023-01-19T03:23:43.4Z,1,REGULAR,substitution,in,[],1628971,,,1610612743,13,12,2023-01-19T03:24:07Z,710000,False,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M31.00S,2023-01-19T03:24:25.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,93.51182654402102,53.431372549019606,1610612743,15,12,2023-01-19T03:24:32Z,720000,False,17.0,8.0,1,right,K. Caldwell-Pope cutting finger roll Layup (5 PTS) (N. Jokic 3 AST),"[203484, 203999]",1610612743.0,DEN,cutting finger roll,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,1.92,Made,,,,,,,,5.0,,,,N. Jokic,203999.0,3.0,,,,
76,PT06M18.00S,2023-01-19T03:24:38.5Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,15,12,2023-01-19T03:24:43Z,740000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 203484]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,
77,PT06M18.00S,2023-01-19T03:24:38.5Z,1,REGULAR,steal,,[],203484,,,1610612743,15,12,2023-01-19T03:24:39Z,750000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
78,PT06M15.00S,2023-01-19T03:24:42.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,93.11760840998686,50.0,1610612743,17,12,2023-01-19T03:24:48Z,760000,False,0.0,12.0,1,right,B. Brown running DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[1628971, 203484]",1610612743.0,DEN,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,,2.0,,,,K. Caldwell-Pope,203484.0,1.0,,,,
80,PT06M08.00S,2023-01-19T03:24:50.8Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,17,12,2023-01-19T03:24:57Z,780000,False,,,0,,D. Russell bad pass out-of-bounds TURNOVER (2 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,202901.0,,2.0,,,,,,,,,
81,PT05M55.00S,2023-01-19T03:25:11.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,17,12,2023-01-19T03:25:20Z,790000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 203937]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Anderson,203937.0,,,,,,,
82,PT05M55.00S,2023-01-19T03:25:11.7Z,1,REGULAR,steal,,[],203937,,,1610612750,17,12,2023-01-19T03:25:12Z,800000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT05M48.00S,2023-01-19T03:25:18.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203937,6.915243101182654,54.90196078431373,1610612750,17,14,2023-01-19T03:25:29Z,810000,False,-25.0,13.0,1,left,K. Anderson running reverse Layup (7 PTS),[203937],1610612750.0,MIN,running reverse,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,2.75,Made,,,,,,,,7.0,,,,,,,,,,
84,PT05M33.00S,2023-01-19T03:25:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612743,17,14,2023-01-19T03:25:46Z,820000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Jokic 2 FT),"[1629675, 203999]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,202901.0,,,,,,,,1.0,0.0,Jokic,203999.0
86,PT05M33.00S,2023-01-19T03:25:58.5Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,18,14,2023-01-19T03:25:58Z,840000,False,,,0,,N. Jokic Free Throw 1 of 2 (5 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
87,PT05M33.00S,2023-01-19T03:25:59.1Z,1,REGULAR,substitution,out,[],1626156,,,1610612743,18,14,2023-01-19T03:26:07Z,850000,False,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M33.00S,2023-01-19T03:25:59.1Z,1,REGULAR,substitution,in,[],1631111,,,1610612743,18,14,2023-01-19T03:26:07Z,860000,False,,,0,,SUB in: W. Moore Jr.,[1631111],1610612750.0,MIN,,,,Moore Jr.,W. Moore Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M33.00S,2023-01-19T03:26:19.4Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,19,14,2023-01-19T03:26:19Z,870000,False,,,0,,N. Jokic Free Throw 2 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
90,PT05M15.00S,2023-01-19T03:26:40.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,28.597240473061763,80.3921568627451,1610612750,19,14,2023-01-19T03:26:46Z,880000,False,-152.0,216.0,1,left,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
91,PT05M12.00S,2023-01-19T03:26:43.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,19,14,2023-01-19T03:26:46Z,890000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,90.0,4.0,4.0,0.0,,,,,,,,,,,,
92,PT05M06.00S,2023-01-19T03:26:49.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203999,92.72339027595268,55.14705882352941,1610612743,19,14,2023-01-19T03:27:12Z,900000,False,26.0,16.0,1,right,MISS N. Jokic reverse Layup - blocked,"[203999, 1631111]",1610612743.0,DEN,reverse,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.02,Missed,Moore Jr.,1631111.0,,,,,,,,,,,,,,,,
93,PT05M06.00S,2023-01-19T03:26:49.8Z,1,REGULAR,block,,[],1631111,,,1610612743,19,14,2023-01-19T03:26:51Z,910000,False,,,0,,W. Moore Jr. BLOCK (1 BLK),[1631111],1610612750.0,MIN,,,,Moore Jr.,W. Moore Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
