actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M31.00S,2022-10-27T02:19:29.2Z,1,REGULAR,3pt,Jump Shot,[],203484,29.6484888304862,26.47058823529412,1610612743,5,4,2022-10-27T02:19:33Z,180000,118.0,226.0,1,left,K. Caldwell-Pope 25' 3PT  (3 PTS) (N. Jokic 2 AST),"[203484, 203999]",1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,25.49,Made,,,,,3.0,,,,,,N. Jokic,203999.0,2.0,,,,,
20,PT10M10.00S,2022-10-27T02:19:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,93.51182654402102,53.18627450980392,1610612747,5,4,2022-10-27T02:19:54Z,200000,16.0,8.0,1,right,MISS A. Davis cutting Layup - blocked,"[203076, 203932]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.8,Missed,,,,,,,,,,,,,,Gordon,203932.0,,,
21,PT10M10.00S,2022-10-27T02:19:49.7Z,1,REGULAR,block,,[],203932,,,1610612747,5,4,2022-10-27T02:19:51Z,210000,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M09.00S,2022-10-27T02:19:50.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,4,2022-10-27T02:19:54Z,220000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M06.00S,2022-10-27T02:19:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627750,30.436925098554536,75.49019607843137,1610612743,5,4,2022-10-27T02:22:03Z,230000,-127.0,234.0,1,left,MISS J. Murray 26' running pullup 3PT,[1627750],1610612743.0,DEN,running pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,26.61,Missed,,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2022-10-27T02:19:58.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,4,2022-10-27T02:20:00Z,240000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M57.00S,2022-10-27T02:20:02.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203076,93.24901445466492,46.568627450980394,1610612747,5,6,2022-10-27T02:22:43Z,250000,-17.0,11.0,1,right,A. Davis running finger roll Layup (4 PTS) (L. James 2 AST),"[203076, 2544]",1610612747.0,LAL,running finger roll,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.04,Made,,,,,4.0,,,,,,L. James,2544.0,2.0,,,,,
27,PT09M48.00S,2022-10-27T02:20:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,11.251642575558476,41.66666666666667,1610612743,7,6,2022-10-27T02:20:17Z,270000,42.0,53.0,1,left,N. Jokic 6' driving floating Jump Shot (2 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.77,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M30.00S,2022-10-27T02:20:45.7Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,7,6,2022-10-27T02:20:51Z,290000,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1628971]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Brown,1628971.0
30,PT09M30.00S,2022-10-27T02:20:45.7Z,1,REGULAR,steal,,[],1628971,,,1610612743,7,6,2022-10-27T02:20:47Z,300000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
31,PT09M26.00S,2022-10-27T02:20:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,6.1268068331143235,44.36274509803921,1610612743,7,6,2022-10-27T02:20:59Z,310000,28.0,5.0,1,left,MISS B. Brown running Layup,[1628971],1610612743.0,DEN,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.87,Missed,,,,,,,,,,,,,,,,,,
32,PT09M25.00S,2022-10-27T02:20:51.1Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,7,6,2022-10-27T02:20:51Z,320000,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,
33,PT09M23.00S,2022-10-27T02:20:53.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover', '2ndchance']",1627750,6.521024967148489,48.77450980392157,1610612743,9,6,2022-10-27T02:23:26Z,330000,6.0,9.0,1,left,J. Murray cutting DUNK (2 PTS) (A. Gordon 1 AST),"[1627750, 203932]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,2.0,,,,,,A. Gordon,203932.0,1.0,,,,,
35,PT08M59.00S,2022-10-27T02:21:16.2Z,1,REGULAR,3pt,Jump Shot,[],1630559,71.96123521681997,78.43137254901961,1610612747,9,9,2022-10-27T02:21:20Z,350000,142.0,211.0,1,right,A. Reaves 25' 3PT  (5 PTS) (A. Davis 1 AST),"[1630559, 203076]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,25.45,Made,,,,,5.0,,,,,,A. Davis,203076.0,1.0,,,,,
37,PT08M47.00S,2022-10-27T02:21:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,7.178055190538765,57.84313725490197,1610612743,9,9,2022-10-27T02:21:33Z,370000,-39.0,15.0,1,left,MISS J. Murray driving reverse Layup,[1627750],1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,4.2,Missed,,,,,,,,,,,,,,,,,,
38,PT08M45.00S,2022-10-27T02:21:30.7Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,9,9,2022-10-27T02:21:33Z,380000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M41.00S,2022-10-27T02:21:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,87.07293035479631,54.65686274509803,1610612747,9,9,2022-10-27T02:21:45Z,390000,23.0,69.0,1,right,MISS A. Davis 7' floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.28,Missed,,,,,,,,,,,,,,,,,,
40,PT08M37.00S,2022-10-27T02:21:38.4Z,1,REGULAR,rebound,offensive,[],201976,,,1610612747,9,9,2022-10-27T02:21:38Z,400000,,,0,,P. Beverley REBOUND (Off:1 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,,,
41,PT08M36.00S,2022-10-27T02:21:40.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629022,70.38436268068331,73.77450980392157,1610612747,9,9,2022-10-27T02:21:48Z,410000,119.0,226.0,1,right,MISS L. Walker IV 25' 3PT,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2022-10-27T02:21:43.7Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,9,9,2022-10-27T02:21:43Z,420000,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M18.00S,2022-10-27T02:21:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.915243101182654,50.245098039215684,1610612743,11,9,2022-10-27T02:22:01Z,430000,-1.0,13.0,1,left,N. Jokic Layup (4 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,4.0,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,
45,PT07M59.00S,2022-10-27T02:22:16.4Z,1,REGULAR,2pt,Jump Shot,[],203076,89.04402102496715,78.92156862745098,1610612747,11,9,2022-10-27T02:22:20Z,450000,145.0,50.0,1,right,MISS A. Davis 15' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,15.32,Missed,,,,,,,,,,,,,,,,,,
46,PT07M57.00S,2022-10-27T02:22:18.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,9,2022-10-27T02:22:20Z,460000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT07M51.00S,2022-10-27T02:22:24.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628971,7.440867279894875,44.85294117647059,1610612743,13,9,2022-10-27T02:24:49Z,470000,26.0,17.0,1,left,B. Brown running Layup (4 PTS) (N. Jokic 3 AST),"[1628971, 203999]",1610612743.0,DEN,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,3.1,Made,,,,,4.0,,,,,,N. Jokic,203999.0,3.0,,,,,
49,PT07M30.00S,2022-10-27T02:22:45.5Z,1,REGULAR,2pt,Jump Shot,[],203076,90.3580814717477,24.019607843137255,1610612747,13,11,2022-10-27T02:22:50Z,490000,-130.0,38.0,1,right,A. Davis 13' driving floating Jump Shot (6 PTS) (L. James 3 AST),"[203076, 2544]",1610612747.0,LAL,driving floating,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,13.54,Made,,,,,6.0,,,,,,L. James,2544.0,3.0,,,,,
51,PT07M17.00S,2022-10-27T02:23:00.8Z,1,REGULAR,turnover,3-second-violation,[],203999,,,1610612743,13,11,2022-10-27T02:23:24Z,510000,,,0,,N. Jokic 3-second-violation TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,202037.0,,,,,,,,,,1.0,,
52,PT07M08.00S,2022-10-27T02:23:22.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201976,93.77463863337714,94.85294117647058,1610612747,13,11,2022-10-27T02:23:26Z,520000,224.0,6.0,1,right,MISS P. Beverley 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
53,PT07M05.00S,2022-10-27T02:23:25.1Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,13,11,2022-10-27T02:23:26Z,530000,,,0,,J. Murray REBOUND (Off:0 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M00.00S,2022-10-27T02:23:30.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,29.25427069645204,74.75490196078431,1610612743,13,11,2022-10-27T02:23:38Z,540000,-124.0,222.0,1,left,MISS J. Murray 25' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,25.46,Missed,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2022-10-27T02:23:35.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,13,11,2022-10-27T02:23:38Z,550000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT06M51.00S,2022-10-27T02:23:44.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,13,11,2022-10-27T02:23:44Z,560000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M51.00S,2022-10-27T02:26:29.3Z,1,REGULAR,substitution,out,[],1628971,,,1610612747,13,11,2022-10-27T02:27:06Z,570000,,,0,,SUB out: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M51.00S,2022-10-27T02:26:29.3Z,1,REGULAR,substitution,out,[],201976,,,1610612747,13,11,2022-10-27T02:27:06Z,580000,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M51.00S,2022-10-27T02:26:29.3Z,1,REGULAR,substitution,out,[],1630559,,,1610612747,13,11,2022-10-27T02:27:06Z,590000,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M51.00S,2022-10-27T02:26:29.3Z,1,REGULAR,substitution,in,[],1631128,,,1610612747,13,11,2022-10-27T02:27:06Z,600000,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2022-10-27T02:26:29.3Z,1,REGULAR,substitution,in,[],1629134,,,1610612747,13,11,2022-10-27T02:27:06Z,610000,,,0,,SUB in: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2022-10-27T02:26:29.3Z,1,REGULAR,substitution,in,[],1628972,,,1610612747,13,11,2022-10-27T02:27:06Z,620000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2022-10-27T02:27:28.2Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612747,13,11,2022-10-27T02:27:37Z,630000,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,202037.0,,,,,,,,,,,,
65,PT06M44.00S,2022-10-27T02:27:48.7Z,1,REGULAR,3pt,Jump Shot,[],1629134,92.19776609724047,4.411764705882353,1610612747,13,11,2022-10-27T02:27:53Z,650000,-228.0,21.0,1,right,MISS K. Nunn 3PT,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,Left Corner 3,24+ Left,22.88,Missed,,,,,,,,,,,,,,,,,,
66,PT06M41.00S,2022-10-27T02:27:51.7Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,13,11,2022-10-27T02:27:53Z,660000,,,0,,J. Murray REBOUND (Off:0 Def:3),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,
67,PT06M29.00S,2022-10-27T02:28:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,10.463206307490145,49.26470588235294,1610612743,13,11,2022-10-27T02:28:08Z,670000,4.0,46.0,1,left,MISS C. Braun driving Layup,[1631128],1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,4.6,Missed,,,,,,,,,,,,,,,,,,
68,PT06M26.00S,2022-10-27T02:28:06.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,13,11,2022-10-27T02:28:08Z,680000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,,
69,PT06M13.00S,2022-10-27T02:28:19.1Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,13,11,2022-10-27T02:28:22Z,690000,,,0,,L. James bad pass TURNOVER (2 TO),"[2544, 203999]",1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,2.0,Jokic,203999.0
70,PT06M13.00S,2022-10-27T02:28:19.1Z,1,REGULAR,steal,,[],203999,,,1610612743,13,11,2022-10-27T02:28:20Z,700000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M07.00S,2022-10-27T02:28:24.7Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,13,11,2022-10-27T02:28:28Z,710000,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1629022]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Walker IV,1629022.0
72,PT06M07.00S,2022-10-27T02:28:24.7Z,1,REGULAR,steal,,[],1629022,,,1610612747,13,11,2022-10-27T02:28:26Z,720000,,,0,,L. Walker IV STEAL (1 STL),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2022-10-27T02:28:31.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629022,92.85479632063075,57.107843137254896,1610612747,13,13,2022-10-27T02:28:44Z,730000,36.0,15.0,1,right,L. Walker IV running Layup (2 PTS),[1629022],1610612747.0,LAL,running,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,3.84,Made,,,,,2.0,,,,,,,,,,,,,
74,PT05M41.00S,2022-10-27T02:28:51.6Z,1,REGULAR,2pt,Jump Shot,[],1631128,14.14257555847569,90.68627450980392,1610612743,15,13,2022-10-27T02:28:56Z,740000,-203.0,80.0,1,left,C. Braun 21' Jump Shot (2 PTS) (N. Jokic 4 AST),"[1631128, 203999]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Left,21.87,Made,,,,,2.0,,,,,,N. Jokic,203999.0,4.0,,,,,
76,PT05M21.00S,2022-10-27T02:29:10.2Z,1,REGULAR,3pt,Jump Shot,[],1629134,91.67214191852825,4.6568627450980395,1610612747,15,13,2022-10-27T02:29:14Z,760000,-227.0,26.0,1,right,MISS K. Nunn 3PT,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,Left Corner 3,24+ Left,22.82,Missed,,,,,,,,,,,,,,,,,,
77,PT05M19.00S,2022-10-27T02:29:12.2Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,15,13,2022-10-27T02:29:14Z,770000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT05M13.00S,2022-10-27T02:29:19.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,8.754927726675426,41.17647058823529,1610612743,15,13,2022-10-27T02:29:24Z,780000,44.0,30.0,1,left,MISS N. Jokic turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.32,Missed,,,,,,,,,,,,,,,,,,
79,PT05M07.00S,2022-10-27T02:29:25.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,15,13,2022-10-27T02:29:24Z,790000,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,
80,PT04M51.00S,2022-10-27T02:29:40.3Z,1,REGULAR,3pt,Jump Shot,[],1629022,72.88107752956637,83.82352941176471,1610612747,15,16,2022-10-27T02:29:45Z,800000,169.0,202.0,1,right,L. Walker IV 26' 3PT  (5 PTS) (T. Brown Jr. 1 AST),"[1629022, 1628972]",1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,26.37,Made,,,,,5.0,,,,,,T. Brown Jr.,1628972.0,1.0,,,,,
82,PT04M28.00S,2022-10-27T02:30:03.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,7.703679369250986,45.83333333333333,1610612743,17,16,2022-10-27T02:30:07Z,820000,21.0,20.0,1,left,J. Murray driving floating bank Jump Shot (4 PTS),[1627750],1610612743.0,DEN,driving floating bank,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.88,Made,,,,,4.0,,,,,,,,,,,,,
83,PT04M16.00S,2022-10-27T02:30:15.7Z,1,REGULAR,3pt,Jump Shot,[],203076,66.83639947437582,54.166666666666664,1610612747,17,16,2022-10-27T02:30:20Z,830000,21.0,259.0,1,right,MISS A. Davis 26' 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,26.0,Missed,,,,,,,,,,,,,,,,,,
84,PT04M13.00S,2022-10-27T02:30:18.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,17,16,2022-10-27T02:30:20Z,840000,,,0,,A. Gordon REBOUND (Off:1 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,83.0,3.0,2.0,1.0,,,,,,,,,,,,,,
85,PT04M11.00S,2022-10-27T02:30:21.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,17,16,2022-10-27T02:30:24Z,850000,,,0,,N. Jokic bad pass TURNOVER (2 TO),"[203999, 2544]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,James,2544.0
