actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT10M40.00S,2021-12-22T03:04:03.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,2,0,2021-12-22T03:04:05Z,160000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M29.00S,2021-12-22T03:04:13.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,82.30946123521682,59.068627450980394,1610612756,2,2,2021-12-22T03:04:18Z,170000,45.0,114.0,1,right,C. Paul 12' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,12.25,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M06.00S,2021-12-22T03:04:39.0Z,1,REGULAR,foul,personal,['2freethrow'],203109,,,1610612747,2,2,2021-12-22T03:04:47Z,180000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Jordan 2 FT),"[203109, 201599]",1610612756.0,PHX,shooting,,,Crowder,J. Crowder,,,,,,,,,,,,202049.0,1.0,0.0,Jordan,201599.0,,,,,,,,,
20,PT10M06.00S,2021-12-22T03:05:22.3Z,1,REGULAR,freethrow,1 of 2,[],201599,,,1610612747,3,2,2021-12-22T03:05:48Z,200000,,,0,,D. Jordan Free Throw 1 of 2 (1 PTS),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2021-12-22T03:05:22.3Z,1,REGULAR,freethrow,2 of 2,[],201599,,,1610612747,3,2,2021-12-22T03:05:48Z,210000,,,0,,MISS D. Jordan Free Throw 2 of 2,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2021-12-22T03:05:26.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,2,2021-12-22T03:05:48Z,220000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M52.00S,2021-12-22T03:05:58.4Z,1,REGULAR,3pt,Jump Shot,[],203109,93.61038107752957,96.07843137254902,1610612756,3,2,2021-12-22T03:06:03Z,230000,230.0,8.0,1,right,MISS J. Crowder 3PT,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M48.00S,2021-12-22T03:06:02.4Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,3,2,2021-12-22T03:06:03Z,240000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M42.00S,2021-12-22T03:06:08.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201599,9.379106438896187,52.450980392156865,1610612747,3,2,2021-12-22T03:06:12Z,250000,-12.0,36.0,1,left,MISS D. Jordan cutting Layup,[201599],1610612747.0,LAL,cutting,,,Jordan,D. Jordan,,,,,3.78,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2021-12-22T03:06:10.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,3,2,2021-12-22T03:06:10Z,260000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT09M36.00S,2021-12-22T03:06:14.3Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,3,2,2021-12-22T03:06:21Z,270000,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 201566]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,,,
28,PT09M36.00S,2021-12-22T03:06:14.3Z,1,REGULAR,steal,,[],201566,,,1610612747,3,2,2021-12-22T03:06:17Z,280000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M24.00S,2021-12-22T03:06:26.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",2544,13.715505913272011,56.127450980392155,1610612747,5,2,2021-12-22T03:06:30Z,290000,-31.0,76.0,1,left,L. James 8' turnaround Jump Shot (2 PTS),[2544],1610612747.0,LAL,turnaround,,,James,L. James,,,,,8.23,Made,2.0,,,,,,,,,,,,,,,,,,
30,PT09M10.00S,2021-12-22T03:06:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,80.6833114323259,50.81188725490196,1610612756,5,4,2021-12-22T03:06:47Z,300000,4.0,129.0,1,right,D. Ayton 12' Jump Shot (2 PTS) (D. Booker 1 AST),"[1629028, 1626164]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,12.92,Made,2.0,,,,,,,,,,,,,D. Booker,1626164.0,1.0,,,
32,PT08M51.00S,2021-12-22T03:06:59.2Z,1,REGULAR,3pt,Jump Shot,[],201961,6.8823915900131425,97.79411764705883,1610612747,8,4,2021-12-22T03:07:03Z,320000,-239.0,12.0,1,left,W. Ellington 3PT  (3 PTS) (R. Westbrook 1 AST),"[201961, 201566]",1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,23.93,Made,3.0,,,,,,,,,,,,,R. Westbrook,201566.0,1.0,,,
34,PT08M36.00S,2021-12-22T03:07:13.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,93.47897503285151,5.882352941176478,1610612756,8,4,2021-12-22T03:07:17Z,340000,-221.0,9.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,22.08,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2021-12-22T03:07:15.9Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,8,4,2021-12-22T03:07:17Z,350000,,,0,,D. Jordan REBOUND (Off:0 Def:3),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,34.0,3.0,3.0,0.0,,,,,,,,,,,,,,
36,PT08M25.00S,2021-12-22T03:07:25.1Z,1,REGULAR,2pt,Jump Shot,[],2544,23.176741130091983,75.49019607843138,1610612747,10,4,2021-12-22T03:07:29Z,360000,-127.0,165.0,1,left,L. James 20' step back Jump Shot (4 PTS),[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,20.88,Made,4.0,,,,,,,,,,,,,,,,,,
37,PT08M08.00S,2021-12-22T03:07:43.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,89.01116951379764,55.14705882352941,1610612756,10,6,2021-12-22T03:07:46Z,370000,26.0,51.0,1,right,D. Ayton Hook (4 PTS) (C. Paul 1 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,5.69,Made,4.0,,,,,,,,,,,,,C. Paul,101108.0,1.0,,,
39,PT07M57.00S,2021-12-22T03:07:53.3Z,1,REGULAR,3pt,Jump Shot,[],201961,33.820630749014455,45.34313725490197,1610612747,10,6,2021-12-22T03:07:57Z,390000,23.0,265.0,1,left,MISS W. Ellington 26' 3PT,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,26.64,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M54.00S,2021-12-22T03:07:56.3Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,10,6,2021-12-22T03:07:57Z,400000,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT07M41.00S,2021-12-22T03:08:12.2Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,10,6,2021-12-22T03:08:17Z,410000,,,0,,D. Booker bad pass out-of-bounds TURNOVER (2 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,,,,,,,,1627961.0,,,,,2.0,,,,,,,,
42,PT07M30.00S,2021-12-22T03:08:41.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,32.24375821287779,66.17647058823529,1610612747,10,6,2021-12-22T03:08:45Z,420000,-81.0,251.0,1,left,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M27.00S,2021-12-22T03:08:44.3Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,10,6,2021-12-22T03:08:44Z,430000,,,0,,D. Jordan REBOUND (Off:1 Def:3),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,42.0,4.0,3.0,1.0,,,,,,,,,,,,,,
44,PT07M22.00S,2021-12-22T03:08:50.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",201566,15.029566360052556,42.40196078431373,1610612747,10,6,2021-12-22T03:09:09Z,440000,38.0,89.0,1,left,MISS R. Westbrook 9' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,9.66,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M20.00S,2021-12-22T03:08:51.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,6,2021-12-22T03:08:51Z,450000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,44.0,3.0,3.0,0.0,,,,,,,,,,,,,,
46,PT07M11.00S,2021-12-22T03:09:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,94.3988173455979,95.83333333333333,1610612756,10,6,2021-12-22T03:09:05Z,460000,229.0,0.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M09.00S,2021-12-22T03:09:02.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,10,6,2021-12-22T03:09:05Z,470000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M04.00S,2021-12-22T03:09:08.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,5.831143232588701,50.0,1610612747,12,6,2021-12-22T03:09:13Z,480000,0.0,2.0,1,left,L. James running Layup (6 PTS) (R. Westbrook 2 AST),"[2544, 201566]",1610612747.0,LAL,running,,,James,L. James,,,,,0.23,Made,6.0,,,,,,,,,,,,,R. Westbrook,201566.0,2.0,,,
50,PT06M56.00S,2021-12-22T03:09:20.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,12,6,2021-12-22T03:09:20Z,500000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M50.00S,2021-12-22T03:13:01.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,73.63666228646518,15.441176470588232,1610612756,12,6,2021-12-22T03:13:06Z,510000,-173.0,195.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M46.00S,2021-12-22T03:13:05.4Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612747,12,6,2021-12-22T03:13:06Z,520000,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,
53,PT06M39.00S,2021-12-22T03:13:12.0Z,1,REGULAR,3pt,Jump Shot,[],2544,31.192509855453352,73.0392156862745,1610612747,12,6,2021-12-22T03:13:16Z,530000,-115.0,241.0,1,left,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M35.00S,2021-12-22T03:13:16.0Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,12,6,2021-12-22T03:13:16Z,540000,,,0,,D. Booker REBOUND (Off:0 Def:3),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,,,,,,,
55,PT06M32.00S,2021-12-22T03:13:19.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,86.51445466491458,96.07843137254902,1610612756,12,6,2021-12-22T03:13:28Z,550000,230.0,74.0,1,right,MISS M. Bridges 24' running 3PT,[1628969],1610612756.0,PHX,running,,,Bridges,M. Bridges,,,,,24.21,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M28.00S,2021-12-22T03:13:23.8Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,12,6,2021-12-22T03:13:28Z,560000,,,0,,D. Jordan REBOUND (Off:1 Def:4),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,55.0,5.0,4.0,1.0,,,,,,,,,,,,,,
57,PT06M22.00S,2021-12-22T03:13:29.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],2544,17.263469119579497,26.225490196078425,1610612747,14,6,2021-12-22T03:14:21Z,570000,119.0,110.0,1,left,L. James 16' running pullup Jump Shot (8 PTS),[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,16.18,Made,8.0,,,,,,,,,,,,,,,,,,
58,PT06M02.00S,2021-12-22T03:13:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,83.36070959264126,50.73529411764706,1610612756,14,6,2021-12-22T03:13:53Z,580000,4.0,104.0,1,right,MISS M. Bridges 10' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,10.4,Missed,,,,,,,,,,,,,,,,,,,
59,PT05M59.00S,2021-12-22T03:13:51.7Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,14,6,2021-12-22T03:13:53Z,590000,,,0,,D. Jordan REBOUND (Off:1 Def:5),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,58.0,6.0,5.0,1.0,,,,,,,,,,,,,,
60,PT05M50.00S,2021-12-22T03:14:01.4Z,1,REGULAR,2pt,Jump Shot,[],201566,9.510512483574246,66.66666666666667,1610612747,16,6,2021-12-22T03:14:06Z,600000,-83.0,37.0,1,left,R. Westbrook 9' turnaround Jump Shot (4 PTS),[201566],1610612747.0,LAL,turnaround,,,Westbrook,R. Westbrook,,,,,9.11,Made,4.0,,,,,,,,,,,,,,,,,,
61,PT05M33.00S,2021-12-22T03:14:18.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,92.42772667542707,50.73529411764706,1610612756,16,8,2021-12-22T03:14:24Z,610000,4.0,19.0,1,right,D. Ayton alley-oop DUNK (6 PTS) (D. Booker 2 AST),"[1629028, 1626164]",1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,1.91,Made,6.0,,,,,,,,,,,,,D. Booker,1626164.0,2.0,,,
63,PT05M03.00S,2021-12-22T03:14:48.2Z,1,REGULAR,3pt,Jump Shot,[],1629659,41.179369250985545,66.91176470588235,1610612747,16,8,2021-12-22T03:14:51Z,630000,-85.0,335.0,1,left,MISS T. Horton-Tucker 34' 3PT,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,34.51,Missed,,,,,,,,,,,,,,,,,,,
64,PT05M01.00S,2021-12-22T03:14:50.2Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,16,8,2021-12-22T03:14:50Z,640000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT04M53.00S,2021-12-22T03:14:59.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,86.51445466491458,54.65686274509804,1610612756,16,10,2021-12-22T03:15:04Z,650000,23.0,74.0,1,right,D. Ayton 7' Hook (8 PTS) (C. Paul 2 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,7.79,Made,8.0,,,,,,,,,,,,,C. Paul,101108.0,2.0,,,
67,PT04M53.00S,2021-12-22T03:15:03.9Z,1,REGULAR,foul,personal,['1freethrow'],201566,,,1610612756,16,10,2021-12-22T03:15:08Z,670000,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Ayton 1 FT),"[201566, 1629028]",1610612747.0,LAL,shooting,,,Westbrook,R. Westbrook,,,,,,,,,,,,1627961.0,1.0,0.0,Ayton,1629028.0,,,,,,,,,
69,PT04M53.00S,2021-12-22T03:15:17.2Z,1,REGULAR,substitution,out,[],201599,,,1610612756,16,10,2021-12-22T03:16:07Z,690000,,,0,,SUB out: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M53.00S,2021-12-22T03:15:17.2Z,1,REGULAR,substitution,out,[],201961,,,1610612756,16,10,2021-12-22T03:16:07Z,700000,,,0,,SUB out: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M53.00S,2021-12-22T03:15:17.2Z,1,REGULAR,substitution,out,[],201566,,,1610612756,16,10,2021-12-22T03:16:07Z,710000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M53.00S,2021-12-22T03:15:17.2Z,1,REGULAR,substitution,in,[],200765,,,1610612756,16,10,2021-12-22T03:16:07Z,720000,,,0,,SUB in: R. Rondo,[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M53.00S,2021-12-22T03:15:17.2Z,1,REGULAR,substitution,in,[],202738,,,1610612756,16,10,2021-12-22T03:16:07Z,730000,,,0,,SUB in: I. Thomas,[202738],1610612747.0,LAL,,,,Thomas,I. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M53.00S,2021-12-22T03:15:17.2Z,1,REGULAR,substitution,in,[],2546,,,1610612756,16,10,2021-12-22T03:16:07Z,740000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M53.00S,2021-12-22T03:15:52.9Z,1,REGULAR,freethrow,1 of 1,[],1629028,,,1610612756,16,11,2021-12-22T03:15:52Z,750000,,,0,,D. Ayton Free Throw 1 of 1 (9 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
76,PT04M43.00S,2021-12-22T03:16:04.1Z,1,REGULAR,3pt,Jump Shot,[],202738,32.50657030223391,63.72549019607843,1610612747,16,11,2021-12-22T03:16:08Z,760000,-69.0,253.0,1,left,MISS I. Thomas 26' pullup 3PT,[202738],1610612747.0,LAL,pullup,,,Thomas,I. Thomas,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M39.00S,2021-12-22T03:16:07.1Z,1,REGULAR,rebound,offensive,[],200765,,,1610612747,16,11,2021-12-22T03:16:07Z,770000,,,0,,R. Rondo REBOUND (Off:1 Def:0),[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT04M29.00S,2021-12-22T03:16:27.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,16,11,2021-12-22T03:16:27Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M26.00S,2021-12-22T03:16:45.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],2544,24.885019710906704,67.8921568627451,1610612747,18,11,2021-12-22T03:16:54Z,790000,-89.0,181.0,1,left,L. James 20' driving bank Jump Shot (10 PTS) (R. Rondo 1 AST),"[2544, 200765]",1610612747.0,LAL,driving bank,,,James,L. James,,,,,20.23,Made,10.0,,,,,,,,,,,,,R. Rondo,200765.0,1.0,,,
81,PT04M15.00S,2021-12-22T03:16:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,92.95335085413929,51.470588235294116,1610612756,18,13,2021-12-22T03:17:00Z,810000,7.0,14.0,1,right,D. Ayton alley-oop Layup (11 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,1.56,Made,11.0,,,,,,,,,,,,,C. Paul,101108.0,3.0,,,
83,PT03M54.00S,2021-12-22T03:17:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200765,10.82457293035479,49.01960784313726,1610612747,18,13,2021-12-22T03:17:22Z,830000,5.0,49.0,1,left,MISS R. Rondo driving Layup,[200765],1610612747.0,LAL,driving,,,Rondo,R. Rondo,,,,,4.95,Missed,,,,,,,,,,,,,,,,,,,
84,PT03M52.00S,2021-12-22T03:17:20.0Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,18,13,2021-12-22T03:17:22Z,840000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,,,
85,PT03M48.00S,2021-12-22T03:17:24.3Z,1,REGULAR,foul,personal,['2freethrow'],1629659,,,1610612756,18,13,2021-12-22T03:17:37Z,850000,,,0,,T. Horton-Tucker shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629659, 1628969]",1610612747.0,LAL,shooting,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,1627961.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,
87,PT03M48.00S,2021-12-22T03:18:01.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628969,,,1610612756,18,14,2021-12-22T03:18:01Z,870000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
