actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
69,PT10M55.00S,2022-03-06T01:42:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,8.984888304862025,50.73529411764706,1610612744,2,2,2022-03-06T01:51:07Z,195000,-4.0,32.0,1,left,MISS A. Wiggins Layup,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,3.22,Missed,,,,,,,,,,,,,,,,,,,
70,PT10M55.00S,2022-03-06T01:42:06.3Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,2,2,2022-03-06T01:51:07Z,202500,,,0,,M. Monk REBOUND (Off:0 Def:2),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
21,PT10M40.00S,2022-03-06T01:42:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,89.14257555847568,48.529411764705884,1610612747,4,2,2022-03-06T01:52:23Z,210000,-7.0,50.0,1,right,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,5.01,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT10M26.00S,2022-03-06T01:42:16.2Z,1,REGULAR,3pt,Jump Shot,[],201939,32.11235216819975,62.254901960784316,1610612744,4,2,2022-03-06T02:47:06Z,220000,-61.0,249.0,1,left,MISS S. Curry 25' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M26.00S,2022-03-06T01:42:16.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,2,2022-03-06T01:52:54Z,230000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M06.00S,2022-03-06T01:42:35.4Z,1,REGULAR,3pt,Jump Shot,[],1628370,67.19776609724047,31.372549019607845,1610612747,4,2,2022-03-06T02:43:41Z,250000,-93.0,256.0,1,right,MISS M. Monk 27' step back 3PT,[1628370],1610612747.0,LAL,step back,,,Monk,M. Monk,,,,,27.22,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M05.00S,2022-03-06T01:42:37.2Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,4,2,2022-03-06T01:42:37Z,260000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:2),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
27,PT10M01.00S,2022-03-06T01:42:40.8Z,1,REGULAR,2pt,Jump Shot,[],201939,16.737844940867276,74.26470588235294,1610612744,4,4,2022-03-06T01:54:02Z,270000,-121.0,105.0,1,left,S. Curry 16' step back Jump Shot (2 PTS) (O. Porter Jr. 1 AST),"[201939, 203490]",1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,16.03,Made,,,,,2.0,O. Porter Jr.,203490.0,1.0,,,,,,,,,,,
28,PT09M51.00S,2022-03-06T01:42:51.2Z,1,REGULAR,turnover,lost ball,[],1630559,,,1610612747,4,4,2022-03-06T01:42:59Z,280000,,,0,,A. Reaves lost ball TURNOVER (1 TO),"[1630559, 1626172]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,1.0,Looney,1626172.0,,,,,,,,
29,PT09M51.00S,2022-03-06T01:42:51.2Z,1,REGULAR,steal,,[],1626172,,,1610612744,4,4,2022-03-06T01:42:55Z,290000,,,0,,K. Looney STEAL (1 STL),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2022-03-06T01:43:08.8Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,4,4,2022-03-06T01:43:13Z,300000,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1630559]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,1.0,Reaves,1630559.0,,,,,,,,
31,PT09M33.00S,2022-03-06T01:43:08.8Z,1,REGULAR,steal,,[],1630559,,,1610612747,4,4,2022-03-06T01:43:10Z,310000,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2022-03-06T01:43:13.5Z,1,REGULAR,violation,kicked ball,[],203490,,,1610612747,4,4,2022-03-06T01:43:24Z,320000,,,0,,O. Porter Jr. kicked ball VIOLATION,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,1626300.0,,,,,,,
33,PT09M20.00S,2022-03-06T01:43:40.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,92.55913272010513,52.94117647058824,1610612747,4,4,2022-03-06T01:43:45Z,330000,15.0,17.0,1,right,MISS L. James alley-oop Layup,[2544],1610612747.0,LAL,alley-oop,,,James,L. James,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M18.00S,2022-03-06T01:43:42.3Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,4,4,2022-03-06T01:43:45Z,340000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT09M14.00S,2022-03-06T01:43:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203490,9.379106438896187,47.05882352941176,1610612744,4,4,2022-03-06T01:55:15Z,350000,15.0,36.0,1,left,MISS O. Porter Jr. running Layup - blocked,"[203490, 1626169]",1610612744.0,GSW,running,,,Porter Jr.,O. Porter Jr.,,,,,3.86,Missed,,,,,,,,,,,,,Johnson,1626169.0,,,,,
36,PT09M14.00S,2022-03-06T01:43:45.8Z,1,REGULAR,block,,[],1626169,,,1610612744,4,4,2022-03-06T01:43:50Z,360000,,,0,,S. Johnson BLOCK (1 BLK),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M06.00S,2022-03-06T01:43:53.8Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,4,4,2022-03-06T01:43:56Z,370000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
38,PT09M06.00S,2022-03-06T01:43:53.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203952,5.590000152587891,50.0,1610612744,4,6,2022-03-06T01:44:07Z,380000,0.0,0.0,1,left,A. Wiggins putback Layup (4 PTS),[203952],1610612744.0,GSW,putback,,,Wiggins,A. Wiggins,,,,,0.0,Made,,,,,4.0,,,,,,,,,,,,,,
39,PT08M58.00S,2022-03-06T01:44:01.6Z,1,REGULAR,3pt,Jump Shot,[],1626169,68.11760840998686,73.77450980392157,1610612747,4,6,2022-03-06T01:44:10Z,390000,119.0,247.0,1,right,MISS S. Johnson 27' 3PT,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,27.43,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M58.00S,2022-03-06T01:44:01.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,6,2022-03-06T01:44:10Z,400000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
41,PT08M47.00S,2022-03-06T01:44:13.0Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,4,6,2022-03-06T01:44:16Z,410000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1630559]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,1.0,Reaves,1630559.0,,,,,,,,
42,PT08M47.00S,2022-03-06T01:44:13.0Z,1,REGULAR,steal,,[],1630559,,,1610612747,4,6,2022-03-06T01:44:14Z,420000,,,0,,A. Reaves STEAL (2 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M42.00S,2022-03-06T01:44:18.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",2544,92.95335085413929,50.98039215686275,1610612747,6,6,2022-03-06T01:56:04Z,430000,5.0,14.0,1,right,L. James running DUNK (4 PTS) (M. Monk 1 AST),"[2544, 1628370]",1610612747.0,LAL,running,,,James,L. James,,,,,1.45,Made,,,,,4.0,M. Monk,1628370.0,1.0,,,,,,,,,,,
45,PT08M21.00S,2022-03-06T01:44:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,14.241130091984232,51.22549019607843,1610612744,6,6,2022-03-06T01:44:47Z,450000,-6.0,81.0,1,left,MISS S. Curry 8' step back Shot,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,8.16,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M20.00S,2022-03-06T01:44:39.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,6,6,2022-03-06T01:44:47Z,460000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,
47,PT08M20.00S,2022-03-06T01:44:44.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,6,6,2022-03-06T01:44:44Z,470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M10.00S,2022-03-06T01:45:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.42772667542707,46.568627450980394,1610612747,8,6,2022-03-06T01:45:07Z,480000,-17.0,19.0,1,right,R. Westbrook driving Layup (4 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.54,Made,,,,,4.0,,,,,,,,,,,,,,
49,PT07M52.00S,2022-03-06T01:45:20.6Z,1,REGULAR,turnover,bad pass,[],203952,,,1610612744,8,6,2022-03-06T01:45:28Z,490000,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[203952, 1628370]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1.0,Monk,1628370.0,,,,,,,,
50,PT07M52.00S,2022-03-06T01:45:20.6Z,1,REGULAR,steal,,[],1628370,,,1610612747,8,6,2022-03-06T01:45:25Z,500000,,,0,,M. Monk STEAL (1 STL),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M45.00S,2022-03-06T01:45:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,87.17148488830486,95.83333333333333,1610612747,11,6,2022-03-06T01:45:44Z,510000,229.0,68.0,1,right,M. Monk 3PT  (3 PTS) (S. Johnson 1 AST),"[1628370, 1626169]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,23.91,Made,,,,,3.0,S. Johnson,1626169.0,1.0,,,,,,,,,,,
53,PT07M35.00S,2022-03-06T01:45:42.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,11,6,2022-03-06T01:45:42Z,530000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M30.00S,2022-03-06T01:49:10.9Z,1,REGULAR,3pt,Jump Shot,[],202691,31.586727989487514,67.15686274509804,1610612744,11,6,2022-03-06T01:49:15Z,540000,-86.0,244.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M27.00S,2022-03-06T01:49:13.9Z,1,REGULAR,rebound,defensive,[],1626169,,,1610612747,11,6,2022-03-06T01:49:15Z,550000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT07M23.00S,2022-03-06T01:49:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,92.69053876478318,53.67647058823529,1610612747,13,6,2022-03-06T01:49:25Z,560000,18.0,16.0,1,right,L. James running Layup (6 PTS) (S. Johnson 2 AST),"[2544, 1626169]",1610612747.0,LAL,running,,,James,L. James,,,,,2.45,Made,,,,,6.0,S. Johnson,1626169.0,2.0,,,,,,,,,,,
58,PT07M02.00S,2022-03-06T01:49:38.3Z,1,REGULAR,2pt,Jump Shot,[],202691,20.285808147174762,15.686274509803923,1610612744,13,6,2022-03-06T01:50:23Z,580000,172.0,138.0,1,left,MISS K. Thompson 22' Jump Shot,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,22.03,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M00.00S,2022-03-06T01:49:40.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,13,6,2022-03-06T01:49:41Z,590000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
60,PT06M55.00S,2022-03-06T01:49:47.1Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612747,13,6,2022-03-06T01:49:57Z,600000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (James 2 FT),"[203952, 2544]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,201639.0,,,1.0,0.0,James,2544.0,
64,PT06M55.00S,2022-03-06T01:50:13.8Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,14,6,2022-03-06T01:50:13Z,620000,,,0,,L. James Free Throw 1 of 2 (7 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
65,PT06M55.00S,2022-03-06T01:50:30.1Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,15,6,2022-03-06T01:50:30Z,630000,,,0,,L. James Free Throw 2 of 2 (8 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
66,PT06M41.00S,2022-03-06T01:50:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,8.984888304862025,41.17647058823529,1610612744,15,6,2022-03-06T01:51:22Z,640000,44.0,32.0,1,left,MISS A. Wiggins driving Layup - blocked,"[203952, 1630559]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,5.45,Missed,,,,,,,,,,,,,Reaves,1630559.0,,,,,
67,PT06M41.00S,2022-03-06T01:50:48.7Z,1,REGULAR,block,,[],1630559,,,1610612744,15,6,2022-03-06T01:50:50Z,650000,,,0,,A. Reaves BLOCK (1 BLK),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2022-03-06T01:50:48.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,15,6,2022-03-06T01:52:10Z,660000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,
71,PT06M41.00S,2022-03-06T01:51:27.6Z,1,REGULAR,jumpball,recovered,[],1626172,,,1610612744,15,6,2022-03-06T01:59:02Z,670000,,,0,,Jump Ball A. Wiggins vs. A. Reaves: Tip to K. Looney,"[1626172, 203952, 1630559]",1610612744.0,GSW,heldball,K. Looney,1626172.0,Looney,K. Looney,Wiggins,203952.0,Reaves,1630559.0,,,,,,,,,,,,,,,,,,,,,
76,PT06M30.00S,2022-03-06T01:51:32.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202691,17.263469119579497,40.19607843137255,1610612744,15,6,2022-03-06T02:00:00Z,720000,49.0,110.0,1,left,MISS K. Thompson 12' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,12.02,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M26.00S,2022-03-06T01:51:36.8Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,15,6,2022-03-06T01:51:45Z,730000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
78,PT06M22.00S,2022-03-06T01:51:40.6Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,15,6,2022-03-06T01:51:48Z,740000,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 203952]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,,
79,PT06M22.00S,2022-03-06T01:51:40.6Z,1,REGULAR,steal,,[],203952,,,1610612744,15,6,2022-03-06T01:51:43Z,750000,,,0,,A. Wiggins STEAL (2 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M18.00S,2022-03-06T01:51:45.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201939,29.48423127463863,27.205882352941174,1610612744,15,9,2022-03-06T01:51:54Z,760000,114.0,225.0,1,left,S. Curry 25' 3PT running (5 PTS) (K. Thompson 1 AST),"[201939, 202691]",1610612744.0,GSW,running,,,Curry,S. Curry,,,,,25.2,Made,,,,,5.0,K. Thompson,202691.0,1.0,,,,,,,,,,,
82,PT05M55.00S,2022-03-06T01:52:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.16491458607096,46.07843137254902,1610612747,17,9,2022-03-06T01:52:18Z,780000,-20.0,21.0,1,right,R. Westbrook reverse Layup (6 PTS) (L. James 1 AST),"[201566, 2544]",1610612747.0,LAL,reverse,,,Westbrook,R. Westbrook,,,,,2.88,Made,,,,,6.0,L. James,2544.0,1.0,,,,,,,,,,,
84,PT05M36.00S,2022-03-06T01:52:29.6Z,1,REGULAR,foul,personal,['2freethrow'],201566,,,1610612744,17,9,2022-03-06T01:52:35Z,800000,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[201566, 203490]",1610612747.0,LAL,shooting,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,1626300.0,,,1.0,0.0,Porter Jr.,203490.0,
86,PT05M36.00S,2022-03-06T01:53:03.1Z,1,REGULAR,freethrow,1 of 2,[],203490,,,1610612744,17,10,2022-03-06T01:53:03Z,820000,,,0,,O. Porter Jr. Free Throw 1 of 2 (1 PTS),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
87,PT05M36.00S,2022-03-06T01:53:03.6Z,1,REGULAR,substitution,out,[],201566,,,1610612744,17,10,2022-03-06T01:53:14Z,830000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M36.00S,2022-03-06T01:53:03.6Z,1,REGULAR,substitution,out,[],1626172,,,1610612744,17,10,2022-03-06T01:53:14Z,840000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M36.00S,2022-03-06T01:53:03.6Z,1,REGULAR,substitution,out,[],202691,,,1610612744,17,10,2022-03-06T01:53:14Z,850000,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M36.00S,2022-03-06T01:53:03.6Z,1,REGULAR,substitution,in,[],1629659,,,1610612744,17,10,2022-03-06T01:53:14Z,860000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M36.00S,2022-03-06T01:53:03.6Z,1,REGULAR,substitution,in,[],1629673,,,1610612744,17,10,2022-03-06T01:53:14Z,870000,,,0,,SUB in: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M36.00S,2022-03-06T01:53:03.6Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,17,10,2022-03-06T01:53:14Z,880000,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M36.00S,2022-03-06T01:53:28.2Z,1,REGULAR,freethrow,2 of 2,[],203490,,,1610612744,17,11,2022-03-06T01:53:28Z,890000,,,0,,O. Porter Jr. Free Throw 2 of 2 (2 PTS),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
94,PT05M20.00S,2022-03-06T01:53:45.4Z,1,REGULAR,2pt,Jump Shot,[],2544,82.57227332457293,26.715686274509807,1610612747,17,11,2022-03-06T01:53:51Z,900000,-116.0,111.0,1,right,MISS L. James 16' Jump Shot,[2544],1610612747.0,LAL,,,,James,L. James,,,,,16.1,Missed,,,,,,,,,,,,,,,,,,,
95,PT05M16.00S,2022-03-06T01:53:49.4Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,17,11,2022-03-06T01:53:51Z,910000,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
