actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M07.00S,2021-12-13T02:42:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,93.74178712220763,40.19607843137255,1610612753,5,0,2021-12-13T02:42:52Z,180000,-49.0,6.0,1,right,MISS C. Anthony fadeaway Shot,[1630175],1610612753.0,ORL,fadeaway,,,Anthony,C. Anthony,,,,,4.94,Missed,,,,,,,,,,,,,,,,,,
19,PT10M03.00S,2021-12-13T02:42:34.9Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,5,0,2021-12-13T02:42:40Z,190000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M02.00S,2021-12-13T02:42:40.4Z,1,REGULAR,turnover,out-of-bounds,[],1628964,,,1610612753,5,0,2021-12-13T02:43:03Z,200000,,,0,,M. Bamba bad pass out-of-bounds TURNOVER (1 TO),[1628964],1610612753.0,ORL,bad pass,,,Bamba,M. Bamba,,,,,,,,,,,,,,,2005.0,1.0,,,,,,,,
22,PT09M54.00S,2021-12-13T02:43:05.1Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,5,0,2021-12-13T02:43:32Z,220000,,,0,,R. Westbrook lost ball out-of-bounds TURNOVER (1 TO),[201566],1610612747.0,LAL,lost ball,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,201638.0,1.0,,,,,,,,
23,PT09M37.00S,2021-12-13T02:43:34.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203914,87.82851511169514,52.205882352941174,1610612753,5,0,2021-12-13T02:43:39Z,230000,11.0,62.0,1,right,MISS G. Harris 6' driving floating Shot,[203914],1610612753.0,ORL,driving floating,,,Harris,G. Harris,,,,,6.29,Missed,,,,,,,,,,,,,,,,,,
24,PT09M35.00S,2021-12-13T02:43:36.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,0,2021-12-13T02:43:36Z,240000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M32.00S,2021-12-13T02:43:40.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629659,6.750985545335084,54.16666666666667,1610612747,7,0,2021-12-13T02:45:03Z,250000,-21.0,11.0,1,left,T. Horton-Tucker running reverse Layup (5 PTS),[1629659],1610612747.0,LAL,running reverse,,,Horton-Tucker,T. Horton-Tucker,,,,,2.35,Made,,,,,5.0,,,,,,,,,,,,,
26,PT09M05.00S,2021-12-13T02:44:06.1Z,1,REGULAR,3pt,Jump Shot,[],1630532,95.58147174770039,5.14705882352942,1610612753,7,3,2021-12-13T02:44:10Z,260000,-224.0,-11.0,1,right,F. Wagner 3PT  (3 PTS) (G. Harris 1 AST),"[1630532, 203914]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,22.46,Made,,,,,3.0,G. Harris,203914.0,1.0,,,,,,,,,,
28,PT08M57.00S,2021-12-13T02:44:14.3Z,1,REGULAR,3pt,Jump Shot,[],2544,23.833771353482263,88.97058823529412,1610612747,7,3,2021-12-13T02:44:22Z,280000,-195.0,172.0,1,left,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,
29,PT08M55.00S,2021-12-13T02:44:16.3Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,7,3,2021-12-13T02:44:22Z,290000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT08M45.00S,2021-12-13T02:44:27.2Z,1,REGULAR,turnover,lost ball,[],1630175,,,1610612753,7,3,2021-12-13T02:44:31Z,300000,,,0,,C. Anthony lost ball TURNOVER (1 TO),"[1630175, 1629659]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,1.0,Horton-Tucker,1629659.0,,,,,,
31,PT08M45.00S,2021-12-13T02:44:27.2Z,1,REGULAR,steal,,[],1629659,,,1610612747,7,3,2021-12-13T02:45:13Z,310000,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M43.00S,2021-12-13T02:44:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,6.4881734559789805,50.49019607843137,1610612747,9,3,2021-12-13T02:44:36Z,320000,-2.0,8.0,1,left,L. James running Layup (4 PTS) (R. Westbrook 2 AST),"[2544, 201566]",1610612747.0,LAL,running,,,James,L. James,,,,,0.89,Made,,,,,4.0,R. Westbrook,201566.0,2.0,,,,,,,,,,
34,PT08M43.00S,2021-12-13T02:44:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,9,3,2021-12-13T02:44:34Z,340000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M28.00S,2021-12-13T02:47:40.1Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,9,3,2021-12-13T02:47:45Z,350000,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 202340]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,1.0,Bradley,202340.0,,,,,,
36,PT08M28.00S,2021-12-13T02:47:40.1Z,1,REGULAR,steal,,[],202340,,,1610612747,9,3,2021-12-13T02:47:42Z,360000,,,0,,A. Bradley STEAL (1 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M22.00S,2021-12-13T02:47:45.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629659,7.145203679369246,48.774509803921575,1610612747,9,3,2021-12-13T02:48:14Z,370000,6.0,15.0,1,left,MISS T. Horton-Tucker running Layup,[1629659],1610612747.0,LAL,running,,,Horton-Tucker,T. Horton-Tucker,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,
38,PT08M19.00S,2021-12-13T02:47:48.8Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,9,3,2021-12-13T02:47:51Z,380000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M09.00S,2021-12-13T02:47:59.2Z,1,REGULAR,3pt,Jump Shot,[],1630532,70.3515111695138,80.88235294117646,1610612753,9,3,2021-12-13T02:48:06Z,390000,154.0,226.0,1,right,MISS F. Wagner 27' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,27.39,Missed,,,,,,,,,,,,,,,,,,
40,PT08M05.00S,2021-12-13T02:48:03.2Z,1,REGULAR,rebound,offensive,[],203914,,,1610612753,9,3,2021-12-13T02:48:06Z,400000,,,0,,G. Harris REBOUND (Off:1 Def:0),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,39.0,1.0,0.0,1.0,,,,,,,,,,,,,,
41,PT08M02.00S,2021-12-13T02:48:05.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630175,70.61432325886992,22.794117647058826,1610612753,9,6,2021-12-13T02:48:10Z,410000,-136.0,224.0,1,right,C. Anthony 26' 3PT  (3 PTS) (G. Harris 2 AST),"[1630175, 203914]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,26.18,Made,,,,,3.0,G. Harris,203914.0,2.0,,,,,,,,,,
43,PT07M40.00S,2021-12-13T02:48:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.539421813403408,52.205882352941174,1610612747,9,6,2021-12-13T02:49:39Z,430000,-11.0,18.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.14,Missed,,,,,,,,,,,,,,,,,,
44,PT07M38.00S,2021-12-13T02:48:29.9Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,9,6,2021-12-13T02:48:33Z,440000,,,0,,M. Bamba REBOUND (Off:0 Def:3),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,,
45,PT07M24.00S,2021-12-13T02:48:44.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,90.45663600525624,57.35294117647059,1610612753,9,8,2021-12-13T02:48:49Z,450000,37.0,37.0,1,right,F. Wagner driving bank Hook (5 PTS),[1630532],1610612753.0,ORL,driving bank,,,Wagner,F. Wagner,,,,,5.23,Made,,,,,5.0,,,,,,,,,,,,,
46,PT07M12.00S,2021-12-13T02:48:58.7Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,9,8,2021-12-13T02:49:05Z,460000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (2 TO),[201566],1610612747.0,LAL,bad pass,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,2.0,,,,,,,,
47,PT07M12.00S,2021-12-13T02:49:01.4Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,9,8,2021-12-13T02:49:07Z,470000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M12.00S,2021-12-13T02:49:01.4Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,9,8,2021-12-13T02:49:07Z,480000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M58.00S,2021-12-13T02:49:26.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203914,68.77463863337714,28.186274509803923,1610612753,9,11,2021-12-13T02:49:30Z,490000,-109.0,241.0,1,right,G. Harris 26' 3PT step back (3 PTS),[203914],1610612753.0,ORL,step back,,,Harris,G. Harris,,,,,26.45,Made,,,,,3.0,,,,,,,,,,,,,
50,PT06M46.00S,2021-12-13T02:49:38.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],2730,7.013797634691201,42.40196078431373,1610612747,9,11,2021-12-13T02:49:44Z,500000,38.0,13.0,1,left,MISS D. Howard bank Hook,[2730],1610612747.0,LAL,bank,,,Howard,D. Howard,,,,,4.03,Missed,,,,,,,,,,,,,,,,,,
51,PT06M46.00S,2021-12-13T02:49:38.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,9,11,2021-12-13T02:49:44Z,510000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
53,PT06M46.00S,2021-12-13T02:49:49.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,9,11,2021-12-13T02:49:49Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M46.00S,2021-12-13T02:49:51.4Z,1,REGULAR,substitution,out,[],201566,,,1610612747,9,11,2021-12-13T02:49:58Z,540000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2021-12-13T02:49:51.4Z,1,REGULAR,substitution,out,[],1630532,,,1610612747,9,11,2021-12-13T02:49:58Z,550000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M46.00S,2021-12-13T02:49:51.4Z,1,REGULAR,substitution,in,[],1628370,,,1610612747,9,11,2021-12-13T02:49:58Z,560000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2021-12-13T02:49:51.4Z,1,REGULAR,substitution,in,[],203082,,,1610612747,9,11,2021-12-13T02:49:58Z,570000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M46.00S,2021-12-13T02:49:51.4Z,1,REGULAR,substitution,out,[],1628976,,,1610612747,9,11,2021-12-13T02:50:24Z,580000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2021-12-13T02:49:51.4Z,1,REGULAR,substitution,in,[],201577,,,1610612747,9,11,2021-12-13T02:50:24Z,590000,,,0,,SUB in: R. Lopez,[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M36.00S,2021-12-13T02:50:52.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202340,12.270039421813408,56.127450980392155,1610612747,9,11,2021-12-13T02:50:58Z,600000,-31.0,63.0,1,left,MISS A. Bradley 6' driving floating Shot,[202340],1610612747.0,LAL,driving floating,,,Bradley,A. Bradley,,,,,6.99,Missed,,,,,,,,,,,,,,,,,,
61,PT06M36.00S,2021-12-13T02:50:52.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,9,11,2021-12-13T02:50:58Z,610000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,
62,PT06M36.00S,2021-12-13T02:50:56.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,9,11,2021-12-13T02:50:56Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2021-12-13T02:51:18.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,9,11,2021-12-13T02:51:18Z,630000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2021-12-13T02:51:40.8Z,1,REGULAR,turnover,lost ball,[],201577,,,1610612753,9,11,2021-12-13T02:51:46Z,640000,,,0,,R. Lopez lost ball TURNOVER (1 TO),"[201577, 2730]",1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,1.0,Howard,2730.0,,,,,,
65,PT06M12.00S,2021-12-13T02:51:40.8Z,1,REGULAR,steal,,[],2730,,,1610612747,9,11,2021-12-13T02:51:43Z,650000,,,0,,D. Howard STEAL (1 STL),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M01.00S,2021-12-13T02:51:54.9Z,1,REGULAR,foul,personal,[],203082,,,1610612747,9,11,2021-12-13T02:52:01Z,660000,,,0,,T. Ross personal FOUL (1 PF),"[203082, 1629659]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,2882.0,,,,1.0,0.0,Horton-Tucker,1629659.0,,
68,PT06M00.00S,2021-12-13T02:52:13.3Z,1,REGULAR,turnover,out-of-bounds,[],202340,,,1610612747,9,11,2021-12-13T02:52:21Z,680000,,,0,,A. Bradley lost ball out-of-bounds TURNOVER (1 TO),[202340],1610612747.0,LAL,lost ball,,,Bradley,A. Bradley,,,,,,,,,,,,,,,2005.0,1.0,,,,,,,,
69,PT05M43.00S,2021-12-13T02:52:35.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629643,73.37385019710908,17.64705882352942,1610612753,9,11,2021-12-13T02:52:41Z,690000,-162.0,198.0,1,right,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,
70,PT05M41.00S,2021-12-13T02:52:38.0Z,1,REGULAR,rebound,offensive,[],201577,,,1610612753,9,11,2021-12-13T02:52:38Z,700000,,,0,,R. Lopez REBOUND (Off:1 Def:0),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,,,69.0,1.0,0.0,1.0,,,,,,,,,,,,,,
71,PT05M38.00S,2021-12-13T02:52:40.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",201577,93.61038107752957,51.71568627450981,1610612753,9,13,2021-12-13T02:52:48Z,710000,9.0,8.0,1,right,R. Lopez Hook (2 PTS),[201577],1610612753.0,ORL,,,,Lopez,R. Lopez,,,,,1.15,Made,,,,,2.0,,,,,,,,,,,,,
72,PT05M38.00S,2021-12-13T02:52:46.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,9,13,2021-12-13T02:52:46Z,720000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M38.00S,2021-12-13T02:55:16.8Z,1,REGULAR,substitution,out,[],1629659,,,1610612747,9,13,2021-12-13T02:55:36Z,730000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M38.00S,2021-12-13T02:55:16.8Z,1,REGULAR,substitution,in,[],2546,,,1610612747,9,13,2021-12-13T02:55:36Z,740000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M14.00S,2021-12-13T02:56:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202340,8.853482260183966,52.69607843137255,1610612747,9,13,2021-12-13T02:56:05Z,750000,-13.0,31.0,1,left,MISS A. Bradley driving Layup,[202340],1610612747.0,LAL,driving,,,Bradley,A. Bradley,,,,,3.35,Missed,,,,,,,,,,,,,,,,,,
76,PT05M12.00S,2021-12-13T02:56:02.3Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,9,13,2021-12-13T02:56:05Z,760000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,,,,,,
77,PT05M12.00S,2021-12-13T02:56:08.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",2730,6.619579500657039,50.73529411764706,1610612747,11,13,2021-12-13T02:59:06Z,770000,-4.0,10.0,1,left,D. Howard tip DUNK (2 PTS),[2730],1610612747.0,LAL,tip,,,Howard,D. Howard,,,,,1.04,Made,,,,,2.0,,,,,,,,,,,,,
78,PT04M57.00S,2021-12-13T02:56:17.3Z,1,REGULAR,3pt,Jump Shot,[],203914,75.34494086727989,12.25490196078431,1610612753,11,13,2021-12-13T02:56:22Z,780000,-189.0,179.0,1,right,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,
79,PT04M57.00S,2021-12-13T02:56:17.3Z,1,REGULAR,rebound,offensive,[],1630175,,,1610612753,11,13,2021-12-13T02:56:22Z,790000,,,0,,C. Anthony REBOUND (Off:1 Def:0),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,78.0,1.0,0.0,1.0,,,,,,,,,,,,,,
80,PT04M52.00S,2021-12-13T02:56:21.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629643,84.1491458607096,96.81372549019608,1610612753,11,13,2021-12-13T02:56:26Z,800000,234.0,96.0,1,right,MISS C. Okeke 25' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
81,PT04M49.00S,2021-12-13T02:56:25.1Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,11,13,2021-12-13T02:56:25Z,810000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT04M42.00S,2021-12-13T02:56:32.6Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,11,13,2021-12-13T02:56:36Z,820000,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 203082]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,1.0,Ross,203082.0,,,,,,
83,PT04M42.00S,2021-12-13T02:56:32.6Z,1,REGULAR,steal,,[],203082,,,1610612753,11,13,2021-12-13T02:57:01Z,830000,,,0,,T. Ross STEAL (1 STL),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M37.00S,2021-12-13T02:56:38.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203082,94.3988173455979,44.85294117647059,1610612753,11,15,2021-12-13T02:57:32Z,840000,-26.0,0.0,1,right,T. Ross driving floating Jump Shot (2 PTS),[203082],1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,2.57,Made,,,,,2.0,,,,,,,,,,,,,
85,PT04M09.00S,2021-12-13T02:57:05.6Z,1,REGULAR,3pt,Jump Shot,[],1628370,28.170170827858072,19.607843137254903,1610612747,11,15,2021-12-13T02:57:10Z,850000,152.0,212.0,1,left,MISS M. Monk 26' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,
86,PT04M07.00S,2021-12-13T02:57:07.6Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,11,15,2021-12-13T02:57:10Z,860000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,
88,PT04M00.00S,2021-12-13T02:57:14.9Z,1,REGULAR,2pt,Jump Shot,[],1630175,79.15571616294349,37.254901960784316,1610612753,11,17,2021-12-13T02:57:21Z,880000,-64.0,143.0,1,right,C. Anthony 15' pullup Jump Shot (5 PTS),[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,15.69,Made,,,,,5.0,,,,,,,,,,,,,
