actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
23,PT09M22.00S,2022-01-05T03:43:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,89.83245729303549,47.549019607843135,1610612758,2,6,2022-01-05T03:43:50Z,230000,-12.0,43.0,1,right,MISS D. Fox Layup - blocked,"[1628368, 202340]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,4.48,Missed,,,,,,,,,,,Bradley,202340.0,,,,,,
24,PT09M22.00S,2022-01-05T03:43:44.3Z,1,REGULAR,block,,[],202340,,,1610612758,2,6,2022-01-05T03:43:48Z,240000,,,0,,A. Bradley BLOCK (1 BLK),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M18.00S,2022-01-05T03:43:48.3Z,1,REGULAR,rebound,defensive,[],2772,,,1610612747,2,6,2022-01-05T03:43:50Z,250000,,,0,,T. Ariza REBOUND (Off:0 Def:2),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,
26,PT09M14.00S,2022-01-05T03:43:52.6Z,1,REGULAR,2pt,Jump Shot,[],1628370,19.004599211563733,25.245098039215684,1610612747,2,6,2022-01-05T03:43:59Z,260000,124.0,126.0,1,left,MISS M. Monk 17' pullup Shot,[1628370],1610612747.0,LAL,pullup,,,Monk,M. Monk,,,,,17.67,Missed,,,,,,,,,,,,,,,,,,
27,PT09M11.00S,2022-01-05T03:43:55.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,6,2022-01-05T03:43:59Z,270000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
28,PT09M03.00S,2022-01-05T03:44:04.0Z,1,REGULAR,3pt,Jump Shot,[],203084,75.77201051248358,87.99019607843137,1610612758,2,9,2022-01-05T03:44:08Z,280000,190.0,175.0,1,right,H. Barnes 25' 3PT  (3 PTS) (T. Haliburton 1 AST),"[203084, 1630169]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.84,Made,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
30,PT08M48.00S,2022-01-05T03:44:19.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,8.360709592641262,54.166666666666664,1610612747,4,9,2022-01-05T03:44:24Z,300000,-21.0,26.0,1,left,L. James cutting DUNK (2 PTS) (R. Westbrook 1 AST),"[2544, 201566]",1610612747.0,LAL,cutting,,,James,L. James,,,,,3.34,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
32,PT08M43.00S,2022-01-05T03:44:25.4Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,4,9,2022-01-05T03:44:29Z,320000,,,0,,D. Fox lost ball out-of-bounds TURNOVER (1 TO),[1628368],1610612758.0,SAC,lost ball,,,Fox,D. Fox,,,,,,,,,,,,,,,202056.0,1.0,,,,,,,,
33,PT08M32.00S,2022-01-05T03:44:41.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,8.360709592641262,54.65686274509803,1610612747,4,9,2022-01-05T03:44:45Z,330000,-23.0,26.0,1,left,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,3.5,Missed,,,,,,,,,,,,,,,,,,
34,PT08M30.00S,2022-01-05T03:44:44.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,4,9,2022-01-05T03:44:44Z,340000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,
35,PT08M26.00S,2022-01-05T03:44:47.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628368,93.38042049934296,51.225490196078425,1610612758,4,9,2022-01-05T03:44:55Z,350000,6.0,10.0,1,right,MISS D. Fox running Layup - blocked,"[1628368, 2544]",1610612758.0,SAC,running,,,Fox,D. Fox,,,,,1.15,Missed,,,,,,,,,,,James,2544.0,,,,,,
36,PT08M26.00S,2022-01-05T03:44:47.7Z,1,REGULAR,block,,[],2544,,,1610612758,4,9,2022-01-05T03:44:51Z,360000,,,0,,L. James BLOCK (1 BLK),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M24.00S,2022-01-05T03:44:49.7Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,4,9,2022-01-05T03:45:18Z,370000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M23.00S,2022-01-05T03:44:55.4Z,1,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612747,4,9,2022-01-05T03:45:04Z,380000,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Monk 2 FT),"[1628963, 1628370]",1610612758.0,SAC,shooting,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,101283.0,,,,1.0,0.0,Monk,1628370.0,,
40,PT08M23.00S,2022-01-05T03:45:17.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628370,,,1610612747,5,9,2022-01-05T03:45:17Z,400000,,,0,,M. Monk Free Throw 1 of 2 (3 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
41,PT08M23.00S,2022-01-05T03:45:28.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628370,,,1610612747,6,9,2022-01-05T03:45:28Z,410000,,,0,,M. Monk Free Throw 2 of 2 (4 PTS),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
42,PT08M11.00S,2022-01-05T03:45:40.7Z,1,REGULAR,2pt,Jump Shot,[],1630169,87.33574244415243,76.7156862745098,1610612758,6,9,2022-01-05T03:45:50Z,420000,134.0,67.0,1,right,MISS T. Haliburton 14' step back Shot,[1630169],1610612758.0,SAC,step back,,,Haliburton,T. Haliburton,,,,,14.92,Missed,,,,,,,,,,,,,,,,,,
43,PT08M10.00S,2022-01-05T03:45:41.7Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612758,6,9,2022-01-05T03:45:50Z,430000,,,0,,M. Bagley III REBOUND (Off:1 Def:2),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,
44,PT08M04.00S,2022-01-05T03:45:53.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628963,90.62089356110381,58.82352941176471,1610612758,6,11,2022-01-05T03:46:00Z,440000,44.0,36.0,1,right,M. Bagley III driving bank Jump Shot (2 PTS) (T. Haliburton 2 AST),"[1628963, 1630169]",1610612758.0,SAC,driving bank,,,Bagley III,M. Bagley III,,,,,5.67,Made,2.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
46,PT08M04.00S,2022-01-05T03:45:57.4Z,1,REGULAR,foul,personal,['1freethrow'],202340,,,1610612758,6,11,2022-01-05T03:46:08Z,460000,,,0,,A. Bradley shooting personal FOUL (1 PF) (Bagley III 1 FT),"[202340, 1628963]",1610612747.0,LAL,shooting,,,Bradley,A. Bradley,,,,,,,,,,,,,,,202056.0,,,,1.0,0.0,Bagley III,1628963.0,,
48,PT08M04.00S,2022-01-05T03:46:17.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628963,,,1610612758,6,11,2022-01-05T03:46:19Z,480000,,,0,,MISS M. Bagley III Free Throw 1 of 1,[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,Missed,,,,,,,,,,,,,,,,,,
49,PT08M01.00S,2022-01-05T03:46:20.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,6,11,2022-01-05T03:46:19Z,490000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,
50,PT07M46.00S,2022-01-05T03:46:33.4Z,1,REGULAR,2pt,Jump Shot,[],201566,18.2161629434954,27.450980392156865,1610612747,6,11,2022-01-05T03:49:52Z,500000,113.0,119.0,1,left,MISS R. Westbrook 16' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,16.37,Missed,,,,,,,,,,,,,,,,,,
51,PT07M44.00S,2022-01-05T03:46:35.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,6,11,2022-01-05T03:46:37Z,510000,,,0,,H. Barnes REBOUND (Off:0 Def:3),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,,,
52,PT07M39.00S,2022-01-05T03:46:40.7Z,1,REGULAR,turnover,lost ball,[],1628963,,,1610612758,6,11,2022-01-05T03:46:44Z,520000,,,0,,M. Bagley III lost ball TURNOVER (2 TO),"[1628963, 201566]",1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,2.0,,,,,,,Westbrook,201566.0
53,PT07M39.00S,2022-01-05T03:46:40.7Z,1,REGULAR,steal,,[],201566,,,1610612747,6,11,2022-01-05T03:46:42Z,530000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M34.00S,2022-01-05T03:46:45.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201566,7.30946123521682,46.81372549019608,1610612747,8,11,2022-01-05T03:46:53Z,540000,16.0,16.0,1,left,R. Westbrook running finger roll Layup (2 PTS),[201566],1610612747.0,LAL,running finger roll,,,Westbrook,R. Westbrook,,,,,2.27,Made,2.0,,,,,,,,,,,,,,,,,
55,PT07M26.00S,2022-01-05T03:46:58.5Z,1,REGULAR,turnover,traveling,[],1630169,,,1610612758,8,11,2022-01-05T03:47:02Z,550000,,,0,,T. Haliburton traveling TURNOVER (1 TO),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,101283.0,1.0,,,,,,,,
56,PT07M11.00S,2022-01-05T03:47:19.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,27.94021024967148,76.9607843137255,1610612747,11,11,2022-01-05T03:47:23Z,560000,-135.0,210.0,1,left,L. James 24' 3PT  (5 PTS) (A. Bradley 1 AST),"[2544, 202340]",1610612747.0,LAL,,,,James,L. James,,,,,24.96,Made,5.0,A. Bradley,202340.0,1.0,,,,,,,,,,,,,,
58,PT07M06.00S,2022-01-05T03:47:29.1Z,1,REGULAR,foul,personal,[],2544,,,1610612758,11,11,2022-01-05T03:47:48Z,580000,,,0,,L. James personal FOUL (1 PF),"[2544, 1627745]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,202056.0,,,,1.0,0.0,Jones,1627745.0,,
60,PT07M06.00S,2022-01-05T03:47:42.3Z,1,REGULAR,substitution,out,[],201566,,,1610612758,11,11,2022-01-05T03:48:00Z,600000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M06.00S,2022-01-05T03:47:42.3Z,1,REGULAR,substitution,out,[],1627745,,,1610612758,11,11,2022-01-05T03:48:00Z,610000,,,0,,SUB out: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M06.00S,2022-01-05T03:47:42.3Z,1,REGULAR,substitution,out,[],1630169,,,1610612758,11,11,2022-01-05T03:48:00Z,620000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M06.00S,2022-01-05T03:47:42.3Z,1,REGULAR,substitution,in,[],1629659,,,1610612758,11,11,2022-01-05T03:48:00Z,630000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M06.00S,2022-01-05T03:47:42.3Z,1,REGULAR,substitution,in,[],203458,,,1610612758,11,11,2022-01-05T03:48:00Z,640000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M06.00S,2022-01-05T03:47:42.3Z,1,REGULAR,substitution,in,[],1627741,,,1610612758,11,11,2022-01-05T03:48:00Z,650000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M57.00S,2022-01-05T03:48:10.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203458,90.62089356110381,47.794117647058826,1610612758,11,13,2022-01-05T03:48:15Z,660000,-11.0,36.0,1,right,A. Len turnaround Hook (2 PTS) (D. Fox 2 AST),"[203458, 1628368]",1610612758.0,SAC,turnaround,,,Len,A. Len,,,,,3.74,Made,2.0,D. Fox,1628368.0,2.0,,,,,,,,,,,,,,
68,PT06M38.00S,2022-01-05T03:48:29.6Z,1,REGULAR,3pt,Jump Shot,[],1628370,7.703679369250986,95.83333333333334,1610612747,11,13,2022-01-05T03:48:33Z,680000,-229.0,20.0,1,left,MISS M. Monk 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,23.01,Missed,,,,,,,,,,,,,,,,,,
69,PT06M35.00S,2022-01-05T03:48:32.0Z,1,REGULAR,rebound,offensive,[],202340,,,1610612747,11,13,2022-01-05T03:48:32Z,690000,,,0,,A. Bradley REBOUND (Off:1 Def:0),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,
70,PT06M34.00S,2022-01-05T03:48:33.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202340,16.113666228646515,37.745098039215684,1610612747,13,13,2022-01-05T03:48:37Z,700000,61.0,99.0,1,left,A. Bradley 11' Jump Shot (2 PTS),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,11.64,Made,2.0,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2022-01-05T03:48:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,92.46057818659659,48.28431372549019,1610612758,13,15,2022-01-05T03:48:48Z,710000,-9.0,18.0,1,right,D. Fox driving Layup (4 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,2.03,Made,4.0,,,,,,,,,,,,,,,,,
72,PT06M24.00S,2022-01-05T03:48:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,13,15,2022-01-05T03:48:49Z,720000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M04.00S,2022-01-05T03:52:03.6Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612747,13,15,2022-01-05T03:52:07Z,730000,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1628963]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,1.0,,,,,,,Bagley III,1628963.0
74,PT06M04.00S,2022-01-05T03:52:03.6Z,1,REGULAR,steal,,[],1628963,,,1610612758,13,15,2022-01-05T03:52:05Z,740000,,,0,,M. Bagley III STEAL (1 STL),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M58.00S,2022-01-05T03:52:08.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627741,76.95466491458606,12.745098039215685,1610612758,13,18,2022-01-05T03:53:00Z,750000,-186.0,164.0,1,right,B. Hield 24' 3PT running (3 PTS) (H. Barnes 1 AST),"[1627741, 203084]",1610612758.0,SAC,running,,,Hield,B. Hield,,,,,24.83,Made,3.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
77,PT05M41.00S,2022-01-05T03:52:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,8.886333771353483,48.77450980392157,1610612747,13,18,2022-01-05T03:52:32Z,770000,6.0,31.0,1,left,MISS M. Monk driving finger roll Layup,[1628370],1610612747.0,LAL,driving finger roll,,,Monk,M. Monk,,,,,3.16,Missed,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2022-01-05T03:52:28.5Z,1,REGULAR,rebound,offensive,[],1628370,,,1610612747,13,18,2022-01-05T03:52:32Z,780000,,,0,,M. Monk REBOUND (Off:1 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,
79,PT05M35.00S,2022-01-05T03:52:32.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,29.25427069645204,75.73529411764706,1610612747,13,18,2022-01-05T03:52:39Z,790000,-129.0,222.0,1,left,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,
80,PT05M34.00S,2022-01-05T03:52:33.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,13,18,2022-01-05T03:52:39Z,800000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,
81,PT05M34.00S,2022-01-05T03:52:38.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,13,18,2022-01-05T03:52:38Z,810000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2022-01-05T03:52:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,92.46057818659659,48.28431372549019,1610612758,13,20,2022-01-05T03:52:57Z,820000,-9.0,18.0,1,right,D. Fox cutting Layup (6 PTS) (H. Barnes 2 AST),"[1628368, 203084]",1610612758.0,SAC,cutting,,,Fox,D. Fox,,,,,2.03,Made,6.0,H. Barnes,203084.0,2.0,,,,,,,,,,,,,,
84,PT05M03.00S,2022-01-05T03:53:13.6Z,1,REGULAR,3pt,Jump Shot,[],202340,28.86005256241787,23.03921568627451,1610612747,13,20,2022-01-05T03:53:17Z,840000,135.0,219.0,1,left,MISS A. Bradley 25' 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,
85,PT05M01.00S,2022-01-05T03:53:16.0Z,1,REGULAR,rebound,offensive,[],1629659,,,1610612747,13,20,2022-01-05T03:53:16Z,850000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:0),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,84.0,1.0,0.0,1.0,,,,,,,,,,
86,PT04M59.00S,2022-01-05T03:53:17.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629659,7.30946123521682,50.245098039215684,1610612747,15,20,2022-01-05T03:53:22Z,860000,-1.0,16.0,1,left,T. Horton-Tucker reverse Layup (2 PTS),[1629659],1610612747.0,LAL,reverse,,,Horton-Tucker,T. Horton-Tucker,,,,,1.62,Made,2.0,,,,,,,,,,,,,,,,,
87,PT04M50.00S,2022-01-05T03:53:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,92.59198423127464,50.49019607843137,1610612758,15,20,2022-01-05T03:53:30Z,870000,2.0,17.0,1,right,MISS D. Fox turnaround fadeaway Shot,[1628368],1610612758.0,SAC,turnaround fadeaway,,,Fox,D. Fox,,,,,1.73,Missed,,,,,,,,,,,,,,,,,,
