actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
31,PT10M08.00S,2021-11-03T02:44:44.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,35.79172141918528,37.745098039215684,1610612745,4,5,2021-11-03T02:44:50Z,310000,61.0,284.0,1,left,J. Green 29' 3PT  (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,,,,Green,J. Green,,,,,29.04,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
33,PT09M56.00S,2021-11-03T02:44:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.95335085413929,46.07843137254902,1610612747,6,5,2021-11-03T02:45:01Z,330000,-20.0,14.0,1,right,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.39,Made,2.0,,,,,,,,,,,,,,,,,
34,PT09M41.00S,2021-11-03T02:45:13.9Z,1,REGULAR,turnover,out-of-bounds,[],1630578,,,1610612745,6,5,2021-11-03T02:45:19Z,340000,,,0,,A. Sengun lost ball out-of-bounds TURNOVER (2 TO),[1630578],1610612745.0,HOU,lost ball,,,Sengun,A. Sengun,,,,,,,,,,,1155.0,,,,,,,,,,,2.0,,
35,PT09M24.00S,2021-11-03T02:45:35.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203076,82.83508541392904,51.470588235294116,1610612747,8,5,2021-11-03T02:45:40Z,350000,7.0,109.0,1,right,A. Davis 10' Hook (4 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,10.92,Made,4.0,,,,,,,,,,,,,,,,,
36,PT09M12.00S,2021-11-03T02:45:47.5Z,1,REGULAR,3pt,Jump Shot,[],1630256,18.31471747700394,94.6078431372549,1610612745,8,8,2021-11-03T02:45:52Z,360000,-223.0,120.0,1,left,J. Tate 25' 3PT  (5 PTS) (C. Wood 1 AST),"[1630256, 1626174]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,25.31,Made,5.0,C. Wood,1626174.0,1.0,,,,,,,,,,,,,,
38,PT08M54.00S,2021-11-03T02:46:04.3Z,1,REGULAR,2pt,Jump Shot,[],203076,86.7772667542707,82.1078431372549,1610612747,10,8,2021-11-03T02:46:09Z,380000,161.0,72.0,1,right,A. Davis 17' Jump Shot (6 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,17.58,Made,6.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
40,PT08M40.00S,2021-11-03T02:46:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,7.933639947437584,49.50980392156863,1610612745,10,10,2021-11-03T02:46:26Z,400000,2.0,22.0,1,left,C. Wood cutting Layup (2 PTS) (J. Green 1 AST),"[1626174, 1630224]",1610612745.0,HOU,cutting,,,Wood,C. Wood,,,,,2.22,Made,2.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,
42,PT08M40.00S,2021-11-03T02:46:25.5Z,1,REGULAR,foul,personal,['1freethrow'],203076,,,1610612745,10,10,2021-11-03T02:46:34Z,420000,,,0,,A. Davis shooting personal FOUL (1 PF) (Wood 1 FT),"[203076, 1626174]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,,,,1155.0,1.0,0.0,Wood,1626174.0,,,,,,,,,
44,PT08M40.00S,2021-11-03T02:47:02.7Z,1,REGULAR,freethrow,1 of 1,[],1626174,,,1610612745,10,10,2021-11-03T02:47:06Z,440000,,,0,,MISS C. Wood Free Throw 1 of 1,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,Missed,,,,,,,,,,,,,,,,,,
45,PT08M37.00S,2021-11-03T02:47:05.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,10,10,2021-11-03T02:47:06Z,450000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,
46,PT08M34.00S,2021-11-03T02:47:09.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",2544,92.95335085413929,50.73529411764706,1610612747,12,10,2021-11-03T02:47:18Z,460000,4.0,14.0,1,right,L. James cutting DUNK (4 PTS) (A. Bradley 1 AST),"[2544, 202340]",1610612747.0,LAL,cutting,,,James,L. James,,,,,1.42,Made,4.0,A. Bradley,202340.0,1.0,,,,,,,,,,,,,,
48,PT08M23.00S,2021-11-03T02:47:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,7.145203679369246,50.73529411764706,1610612745,12,10,2021-11-03T02:48:07Z,480000,-4.0,15.0,1,left,MISS J. Tate driving Layup,[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.52,Missed,,,,,,,,,,,,,,,,,,
49,PT08M21.00S,2021-11-03T02:47:21.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,10,2021-11-03T02:47:23Z,490000,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,48.0,3.0,3.0,0.0,,,,,
50,PT08M16.00S,2021-11-03T02:47:25.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203076,92.82194480946123,48.28431372549019,1610612747,14,10,2021-11-03T02:47:41Z,500000,-9.0,15.0,1,right,A. Davis running alley-oop Layup (8 PTS) (A. Bradley 2 AST),"[203076, 202340]",1610612747.0,LAL,running alley-oop,,,Davis,A. Davis,,,,,1.73,Made,8.0,A. Bradley,202340.0,2.0,,,,,,,,,,,,,,
52,PT08M04.00S,2021-11-03T02:47:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,7.276609724047319,49.754901960784316,1610612745,14,12,2021-11-03T02:48:05Z,520000,1.0,16.0,1,left,K. Porter Jr. driving reverse Layup (2 PTS),[1629645],1610612745.0,HOU,driving reverse,,,Porter Jr.,K. Porter Jr.,,,,,1.59,Made,2.0,,,,,,,,,,,,,,,,,
53,PT08M04.00S,2021-11-03T02:47:46.8Z,1,REGULAR,foul,personal,['1freethrow'],2544,,,1610612745,14,12,2021-11-03T02:47:53Z,530000,,,0,,L. James shooting personal FOUL (1 PF) (Porter Jr. 1 FT),"[2544, 1629645]",1610612747.0,LAL,shooting,,,James,L. James,,,,,,,,,,,202058.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,
55,PT08M04.00S,2021-11-03T02:48:10.6Z,1,REGULAR,freethrow,1 of 1,[],1629645,,,1610612745,14,12,2021-11-03T02:48:12Z,550000,,,0,,MISS K. Porter Jr. Free Throw 1 of 1,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT08M01.00S,2021-11-03T02:48:13.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,14,12,2021-11-03T02:48:12Z,560000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,
57,PT07M57.00S,2021-11-03T02:48:17.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,93.08475689881735,50.0,1610612747,14,12,2021-11-03T02:48:21Z,570000,0.0,13.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,1.25,Missed,,,,,,,,,,,,,,,,,,
58,PT07M55.00S,2021-11-03T02:48:19.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,14,12,2021-11-03T02:48:21Z,580000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,
59,PT07M51.00S,2021-11-03T02:48:26.1Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612745,14,12,2021-11-03T02:48:32Z,590000,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[1630224],1610612745.0,HOU,bad pass,,,Green,J. Green,,,,,,,,,,,1155.0,,,,,,,,,,,1.0,,
60,PT07M33.00S,2021-11-03T02:48:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,92.95335085413929,51.22549019607843,1610612747,16,12,2021-11-03T02:48:50Z,600000,6.0,14.0,1,right,R. Westbrook driving Layup (4 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.5,Made,4.0,,,,,,,,,,,,,,,,,
61,PT07M21.00S,2021-11-03T02:48:57.9Z,1,REGULAR,3pt,Jump Shot,[],1626174,27.250328515111704,82.59803921568627,1610612745,16,15,2021-11-03T02:49:02Z,610000,-163.0,204.0,1,left,C. Wood 26' 3PT pullup (5 PTS),[1626174],1610612745.0,HOU,pullup,,,Wood,C. Wood,,,,,26.09,Made,5.0,,,,,,,,,,,,,,,,,
62,PT07M17.00S,2021-11-03T02:49:06.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,16,15,2021-11-03T02:49:06Z,620000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2021-11-03T02:52:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,90.71944809461235,46.568627450980394,1610612747,16,15,2021-11-03T02:52:19Z,630000,-17.0,35.0,1,right,MISS A. Davis cutting Layup,[203076],1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,3.87,Missed,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2021-11-03T02:52:17.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,16,15,2021-11-03T02:52:19Z,640000,,,0,,C. Wood REBOUND (Off:0 Def:3),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,63.0,3.0,3.0,0.0,,,,,
65,PT06M45.00S,2021-11-03T02:52:28.8Z,1,REGULAR,3pt,Jump Shot,[],1630224,28.95860709592641,82.1078431372549,1610612745,16,18,2021-11-03T02:52:33Z,650000,-161.0,220.0,1,left,J. Green 27' 3PT pullup (6 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,27.21,Made,6.0,,,,,,,,,,,,,,,,,
66,PT06M32.00S,2021-11-03T02:52:42.8Z,1,REGULAR,3pt,Jump Shot,[],203145,69.30026281208936,31.617647058823522,1610612747,19,18,2021-11-03T02:52:47Z,660000,-92.0,236.0,1,right,K. Bazemore 25' 3PT pullup (3 PTS) (A. Davis 1 AST),"[203145, 203076]",1610612747.0,LAL,pullup,,,Bazemore,K. Bazemore,,,,,25.34,Made,3.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
68,PT06M16.00S,2021-11-03T02:52:57.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630224,9.379106438896187,50.73529411764706,1610612745,19,20,2021-11-03T02:53:03Z,680000,-4.0,36.0,1,left,J. Green driving DUNK (8 PTS) (K. Porter Jr. 2 AST),"[1630224, 1629645]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,3.59,Made,8.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,
70,PT06M02.00S,2021-11-03T02:53:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,89.14257555847568,47.05882352941176,1610612747,19,20,2021-11-03T02:53:17Z,700000,-15.0,50.0,1,right,MISS R. Westbrook fadeaway bank Shot,[201566],1610612747.0,LAL,fadeaway bank,,,Westbrook,R. Westbrook,,,,,5.17,Missed,,,,,,,,,,,,,,,,,,
71,PT06M02.00S,2021-11-03T02:53:11.4Z,1,REGULAR,rebound,offensive,[],203145,,,1610612747,19,20,2021-11-03T02:53:41Z,710000,,,0,,K. Bazemore REBOUND (Off:1 Def:0),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,70.0,1.0,0.0,1.0,,,,,
72,PT05M54.00S,2021-11-03T02:53:19.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203076,93.47897503285151,49.754901960784316,1610612747,21,20,2021-11-03T02:53:24Z,720000,-1.0,9.0,1,right,A. Davis DUNK (10 PTS) (K. Bazemore 1 AST),"[203076, 203145]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,0.89,Made,10.0,K. Bazemore,203145.0,1.0,,,,,,,,,,,,,,
74,PT05M38.00S,2021-11-03T02:53:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,9.247700394218143,51.71568627450981,1610612745,21,20,2021-11-03T02:55:17Z,740000,-9.0,34.0,1,left,MISS A. Sengun driving Layup,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,3.55,Missed,,,,,,,,,,,,,,,,,,
75,PT05M38.00S,2021-11-03T02:53:48.7Z,1,REGULAR,rebound,offensive,[],1629645,,,1610612745,21,20,2021-11-03T02:53:48Z,750000,,,0,,K. Porter Jr. REBOUND (Off:1 Def:0),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,74.0,1.0,0.0,1.0,,,,,
76,PT05M38.00S,2021-11-03T02:53:49.8Z,1,REGULAR,foul,personal,[],203076,,,1610612745,21,20,2021-11-03T02:53:57Z,760000,,,0,,A. Davis personal FOUL (2 PF),"[203076, 1629645]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,1155.0,2.0,0.0,Porter Jr.,1629645.0,,,,,,,,,
78,PT05M38.00S,2021-11-03T02:53:55.3Z,1,REGULAR,substitution,out,[],201566,,,1610612745,21,20,2021-11-03T02:53:58Z,780000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M38.00S,2021-11-03T02:53:55.3Z,1,REGULAR,substitution,in,[],1628370,,,1610612745,21,20,2021-11-03T02:53:58Z,790000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
137,PT05M38.00S,2021-11-03T02:53:55.3Z,1,REGULAR,substitution,out,[],1626174,,,1610612745,21,20,2021-11-03T03:01:39Z,795000,,,0,,SUB out: C. Wood,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
138,PT05M38.00S,2021-11-03T02:53:55.3Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,21,20,2021-11-03T03:01:39Z,797500,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M28.00S,2021-11-03T02:54:09.2Z,1,REGULAR,turnover,lost ball,[],1630256,,,1610612745,21,20,2021-11-03T02:54:14Z,800000,,,0,,J. Tate lost ball TURNOVER (1 TO),"[1630256, 2544]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,1.0,James,2544.0
81,PT05M28.00S,2021-11-03T02:54:09.2Z,1,REGULAR,steal,,[],2544,,,1610612747,21,20,2021-11-03T02:54:11Z,810000,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2021-11-03T02:54:13.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203145,92.55913272010513,49.50980392156863,1610612747,23,20,2021-11-03T02:54:21Z,820000,-2.0,17.0,1,right,K. Bazemore running DUNK (5 PTS) (M. Monk 1 AST),"[203145, 1628370]",1610612747.0,LAL,running,,,Bazemore,K. Bazemore,,,,,1.76,Made,5.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,
84,PT05M15.00S,2021-11-03T02:54:21.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629645,8.722076215505908,52.205882352941174,1610612745,23,22,2021-11-03T02:54:25Z,840000,-11.0,29.0,1,left,K. Porter Jr. driving DUNK (4 PTS),[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,3.15,Made,4.0,,,,,,,,,,,,,,,,,
87,PT05M04.00S,2021-11-03T02:54:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.82194480946123,51.71568627450981,1610612747,25,22,2021-11-03T02:54:37Z,850000,9.0,15.0,1,right,L. James Layup (6 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,1.73,Made,6.0,,,,,,,,,,,,,,,,,
88,PT04M47.00S,2021-11-03T02:54:50.7Z,1,REGULAR,2pt,Jump Shot,[],1630224,18.577529566360056,32.59803921568627,1610612745,25,24,2021-11-03T03:04:10Z,860000,87.0,122.0,1,left,J. Green 14' floating Jump Shot (10 PTS) (K. Martin Jr. 1 AST),"[1630224, 1630231]",1610612745.0,HOU,floating,,,Green,J. Green,,,,,14.99,Made,10.0,K. Martin Jr.,1630231.0,1.0,,,,,,,,,,,,,,
90,PT04M34.00S,2021-11-03T02:55:19.5Z,1,REGULAR,foul,technical,['1freethrow'],1630578,,,1610612747,25,24,2021-11-03T02:55:27Z,880000,,,0,,A. Sengun defensive-3-second technical FOUL (1 Tech),[1630578],1610612745.0,HOU,defensive-3-second,,,Sengun,A. Sengun,,,,,,,,,,,202058.0,1.0,1.0,,,,,,,,,,,
91,PT04M34.00S,2021-11-03T02:55:28.2Z,1,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,26,24,2021-11-03T02:55:28Z,890000,,,0,,A. Davis technical Free Throw 1 of 1 (11 PTS),[203076],1610612747.0,LAL,technical,,,Davis,A. Davis,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
93,PT04M34.00S,2021-11-03T02:55:29.0Z,1,REGULAR,substitution,out,[],203076,,,1610612747,26,24,2021-11-03T02:55:45Z,900000,,,0,,SUB out: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M34.00S,2021-11-03T02:55:29.0Z,1,REGULAR,substitution,in,[],201599,,,1610612747,26,24,2021-11-03T02:55:45Z,910000,,,0,,SUB in: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M34.00S,2021-11-03T02:55:48.4Z,1,REGULAR,substitution,out,[],1630578,,,1610612747,26,24,2021-11-03T02:55:53Z,920000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,
139,PT04M34.00S,2021-11-03T02:55:48.4Z,1,REGULAR,substitution,in,[],1626174,,,1610612747,26,24,2021-11-03T03:02:02Z,935000,,,0,,SUB in: C. Wood,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,
