actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
597,PT02M58.00S,2021-11-29T04:42:06.6Z,4,REGULAR,rebound,defensive,[],1630180,,,1610612765,106,97,2021-11-29T04:42:09Z,5930000,,,0,,S. Bey REBOUND (Off:3 Def:6),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,596.0,9.0,6.0,3.0,,,,,,,,,,,,
598,PT02M47.00S,2021-11-29T04:42:18.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,86.12023653088042,47.30392156862745,1610612765,106,97,2021-11-29T04:42:24Z,5940000,-13.0,78.0,1,right,MISS S. Bey 7' floating Shot,[1630180],1610612765.0,DET,floating,,,Bey,S. Bey,,,,,,,7.92,Missed,,,,,,,,,,,,,,,,
599,PT02M45.00S,2021-11-29T04:42:20.0Z,4,REGULAR,rebound,defensive,[],203076,,,1610612747,106,97,2021-11-29T04:42:24Z,5950000,,,0,,A. Davis REBOUND (Off:0 Def:9),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,598.0,9.0,9.0,0.0,,,,,,,,,,,,
600,PT02M30.00S,2021-11-29T04:42:33.8Z,4,REGULAR,2pt,Jump Shot,[],202340,14.323258869908017,8.310355392156865,1610612747,106,97,2021-11-29T04:42:39Z,5960000,208.0,82.0,1,left,MISS A. Bradley 22' Jump Shot,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,22.4,Missed,,,,,,,,,,,,,,,,
601,PT02M28.00S,2021-11-29T04:42:35.8Z,4,REGULAR,rebound,defensive,[],203924,,,1610612765,106,97,2021-11-29T04:42:39Z,5970000,,,0,,J. Grant REBOUND (Off:2 Def:4),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,600.0,6.0,4.0,2.0,,,,,,,,,,,,
602,PT02M21.00S,2021-11-29T04:42:42.7Z,4,REGULAR,3pt,Jump Shot,[],1628402,92.69053876478318,4.656862745098039,1610612765,106,100,2021-11-29T04:42:48Z,5980000,-227.0,16.0,1,right,F. Jackson 3PT  (17 PTS) (K. Hayes 6 AST),"[1628402, 1630165]",1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,22.73,Made,,,,,,,,,17.0,K. Hayes,1630165.0,6.0,,,,
604,PT02M07.00S,2021-11-29T04:42:59.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203076,8.459264126149804,49.754901960784316,1610612747,108,100,2021-11-29T04:43:12Z,6000000,1.0,27.0,1,left,A. Davis finger roll Layup (24 PTS) (L. James 9 AST),"[203076, 2544]",1610612747.0,LAL,finger roll,,,Davis,A. Davis,,,,,,,2.7,Made,,,,,,,,,24.0,L. James,2544.0,9.0,,,,
606,PT02M07.00S,2021-11-29T04:43:10.7Z,4,REGULAR,foul,personal,['1freethrow'],203924,,,1610612747,108,100,2021-11-29T04:43:16Z,6020000,,,0,,J. Grant shooting personal FOUL (4 PF) (Davis 1 FT),"[203924, 203076]",1610612765.0,DET,shooting,,,Grant,J. Grant,,,,,2534.0,,,,,,,,4.0,0.0,Davis,203076.0,,,,,,,,
608,PT02M07.00S,2021-11-29T04:43:16.8Z,4,REGULAR,substitution,out,[],202340,,,1610612747,108,100,2021-11-29T04:43:32Z,6040000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
609,PT02M07.00S,2021-11-29T04:43:16.8Z,4,REGULAR,substitution,in,[],1629659,,,1610612747,108,100,2021-11-29T04:43:32Z,6050000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
