actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
21,PT10M16.00S,2021-10-30T02:43:00.6Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,2,5,2021-10-30T02:43:00Z,210000,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,
22,PT10M06.00S,2021-10-30T02:43:11.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203076,86.90867279894876,80.88235294117646,1610612747,2,5,2021-10-30T02:43:17Z,220000,154.0,71.0,1,right,MISS A. Davis 16' step back Shot,[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,,,16.98,Missed,,,,,,,,,,,,,,,,,
23,PT10M02.00S,2021-10-30T02:43:15.1Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,2,5,2021-10-30T02:43:17Z,230000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,
24,PT10M00.00S,2021-10-30T02:43:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,93.74178712220763,48.28431372549019,1610612747,2,5,2021-10-30T02:43:22Z,240000,-9.0,6.0,1,right,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,1.07,Missed,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2021-10-30T02:43:16.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,2,5,2021-10-30T02:43:22Z,250000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
26,PT10M00.00S,2021-10-30T02:43:22.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,2,5,2021-10-30T02:43:22Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M56.00S,2021-10-30T02:43:35.4Z,1,REGULAR,turnover,out-of-bounds,[],203076,,,1610612747,2,5,2021-10-30T02:43:47Z,270000,,,0,,A. Davis lost ball out-of-bounds TURNOVER (1 TO),[203076],1610612747.0,LAL,lost ball,,,Davis,A. Davis,,,,,,1.0,,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2021-10-30T02:43:54.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630596,17.263469119579497,56.372549019607845,1610612739,2,5,2021-10-30T02:43:59Z,280000,-32.0,110.0,1,left,MISS E. Mobley 11' pullup Shot - blocked,"[1630596, 203076]",1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,,,11.43,Missed,,,,,,,,,,,Davis,203076.0,,,,,
29,PT09M43.00S,2021-10-30T02:43:54.7Z,1,REGULAR,block,,[],203076,,,1610612739,2,5,2021-10-30T02:43:57Z,290000,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M40.00S,2021-10-30T02:43:57.7Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,5,2021-10-30T02:43:59Z,300000,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,
31,PT09M35.00S,2021-10-30T02:44:02.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630596,7.276609724047319,82.1078431372549,1610612739,2,7,2021-10-30T02:44:07Z,310000,-161.0,16.0,1,left,E. Mobley 16' pullup Jump Shot (4 PTS) (C. Sexton 1 AST),"[1630596, 1629012]",1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,,,16.13,Made,4.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,
33,PT09M27.00S,2021-10-30T02:44:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.55913272010513,46.568627450980394,1610612747,4,7,2021-10-30T02:44:16Z,330000,-17.0,17.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,,,2.45,Made,2.0,,,,,,,,,,,,,,,,
34,PT09M16.00S,2021-10-30T02:44:21.6Z,1,REGULAR,3pt,Jump Shot,[],1630596,28.038764783180028,78.43137254901961,1610612739,4,7,2021-10-30T02:44:26Z,340000,-142.0,211.0,1,left,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,25.45,Missed,,,,,,,,,,,,,,,,,
35,PT09M13.00S,2021-10-30T02:44:24.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,4,7,2021-10-30T02:44:26Z,350000,,,0,,R. Westbrook REBOUND (Off:1 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,
36,PT08M55.00S,2021-10-30T02:44:43.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201599,92.55913272010513,49.26470588235294,1610612747,4,7,2021-10-30T02:44:47Z,360000,-4.0,17.0,1,right,MISS D. Jordan Hook,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,1.78,Missed,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2021-10-30T02:44:45.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,7,2021-10-30T02:44:47Z,370000,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,36.0,3.0,1.0,2.0,,,,,,,,,
38,PT08M49.00S,2021-10-30T02:44:50.0Z,1,REGULAR,3pt,Jump Shot,[],1629636,33.295006570302235,44.36274509803921,1610612739,4,7,2021-10-30T02:44:55Z,380000,28.0,260.0,1,left,MISS D. Garland 26' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,26.2,Missed,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2021-10-30T02:44:54.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,7,2021-10-30T02:44:55Z,390000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,
40,PT08M32.00S,2021-10-30T02:45:06.6Z,1,REGULAR,3pt,Jump Shot,[],201566,67.85479632063075,57.35294117647059,1610612747,7,7,2021-10-30T02:45:11Z,400000,37.0,250.0,1,right,R. Westbrook 25' 3PT  (3 PTS) (A. Davis 2 AST),"[201566, 203076]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,25.24,Made,3.0,A. Davis,203076.0,2.0,,,,,,,,,,,,,
42,PT08M15.00S,2021-10-30T02:45:22.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,15.949408672798953,50.245098039215684,1610612739,7,9,2021-10-30T02:45:28Z,420000,-1.0,97.0,1,left,E. Mobley 9' floating Jump Shot (6 PTS) (D. Garland 3 AST),"[1630596, 1629636]",1610612739.0,CLE,floating,,,Mobley,E. Mobley,,,,,,,9.74,Made,6.0,D. Garland,1629636.0,3.0,,,,,,,,,,,,,
44,PT07M57.00S,2021-10-30T02:45:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,89.14257555847568,49.01960784313726,1610612747,9,9,2021-10-30T02:45:47Z,440000,-5.0,50.0,1,right,R. Westbrook driving finger roll Layup (5 PTS),[201566],1610612747.0,LAL,driving finger roll,,,Westbrook,R. Westbrook,,,,,,,4.98,Made,5.0,,,,,,,,,,,,,,,,
45,PT07M42.00S,2021-10-30T02:45:57.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,8.590670170827863,51.71568627450981,1610612739,9,11,2021-10-30T02:46:01Z,450000,-9.0,28.0,1,left,J. Allen turnaround Hook (2 PTS) (D. Garland 4 AST),"[1628386, 1629636]",1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,,,2.96,Made,2.0,D. Garland,1629636.0,4.0,,,,,,,,,,,,,
47,PT07M22.00S,2021-10-30T02:46:16.2Z,1,REGULAR,3pt,Jump Shot,[],2544,70.61432325886992,28.67647058823529,1610612747,9,11,2021-10-30T02:47:42Z,470000,-107.0,224.0,1,right,MISS L. James 24' step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,,,24.78,Missed,,,,,,,,,,,,,,,,,
48,PT07M22.00S,2021-10-30T02:46:16.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,9,11,2021-10-30T02:47:42Z,480000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,
49,PT07M22.00S,2021-10-30T02:46:21.0Z,1,REGULAR,foul,personal,[],1628374,,,1610612747,9,11,2021-10-30T02:46:31Z,490000,,,0,,L. Markkanen loose ball personal FOUL (1 PF),"[1628374, 201599]",1610612739.0,CLE,loose ball,,,Markkanen,L. Markkanen,,,,,2715.0,,,,,,,,,,,,,,,,1.0,0.0,Jordan,201599.0,
51,PT07M06.00S,2021-10-30T02:46:54.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,92.55913272010513,48.0392156862745,1610612747,11,11,2021-10-30T02:46:59Z,510000,-10.0,17.0,1,right,A. Davis driving finger roll Layup (2 PTS),[203076],1610612747.0,LAL,driving finger roll,,,Davis,A. Davis,,,,,,,2.0,Made,2.0,,,,,,,,,,,,,,,,
52,PT06M46.00S,2021-10-30T02:47:17.2Z,1,REGULAR,turnover,traveling,[],1629012,,,1610612739,11,11,2021-10-30T02:47:27Z,520000,,,0,,C. Sexton traveling TURNOVER (1 TO),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,1628951.0,1.0,,,,,,,,,,,,,,,,,,,
53,PT06M46.00S,2021-10-30T02:47:23.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,11,11,2021-10-30T02:47:23Z,530000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M46.00S,2021-10-30T02:50:03.0Z,1,REGULAR,substitution,out,[],1630596,,,1610612747,11,11,2021-10-30T02:50:18Z,540000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2021-10-30T02:50:03.0Z,1,REGULAR,substitution,out,[],1629012,,,1610612747,11,11,2021-10-30T02:50:18Z,550000,,,0,,SUB out: C. Sexton,[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M46.00S,2021-10-30T02:50:03.0Z,1,REGULAR,substitution,in,[],201937,,,1610612747,11,11,2021-10-30T02:50:18Z,560000,,,0,,SUB in: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2021-10-30T02:50:03.0Z,1,REGULAR,substitution,in,[],201567,,,1610612747,11,11,2021-10-30T02:50:18Z,570000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M32.00S,2021-10-30T02:50:32.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203076,89.53679369250986,53.18627450980392,1610612747,13,11,2021-10-30T02:50:36Z,580000,16.0,46.0,1,right,A. Davis driving Hook (4 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,,,4.86,Made,4.0,L. James,2544.0,1.0,,,,,,,,,,,,,
60,PT06M16.00S,2021-10-30T02:50:49.1Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,13,11,2021-10-30T02:50:55Z,600000,,,0,,D. Garland lost ball TURNOVER (2 TO),"[1629636, 203145]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,2.0,,,,,,,,,,,Bazemore,203145.0,,,,,,,
61,PT06M16.00S,2021-10-30T02:50:49.1Z,1,REGULAR,steal,,[],203145,,,1610612747,13,11,2021-10-30T02:50:51Z,610000,,,0,,K. Bazemore STEAL (1 STL),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M13.00S,2021-10-30T02:50:53.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak', 'defensivegoaltending']",203145,93.2161629434954,52.94117647058824,1610612747,15,11,2021-10-30T02:51:15Z,620000,15.0,11.0,1,right,K. Bazemore running reverse Layup (2 PTS),[203145],1610612747.0,LAL,running reverse,,,Bazemore,K. Bazemore,,,,,,,1.85,Made,2.0,,,,,,,,,,,,,,,,
63,PT06M13.00S,2021-10-30T02:50:57.0Z,1,REGULAR,violation,defensive goaltending,[],1628374,,,1610612747,15,11,2021-10-30T02:51:15Z,630000,,,0,,L. Markkanen defensive goaltending VIOLATION,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,2715.0,,,,,,,,,,,,,,,,,,,,
64,PT05M55.00S,2021-10-30T02:51:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201937,16.212220762155056,63.48039215686275,1610612739,15,13,2021-10-30T02:51:29Z,640000,-67.0,100.0,1,left,R. Rubio 12' pullup Jump Shot (2 PTS) (J. Allen 1 AST),"[201937, 1628386]",1610612739.0,CLE,pullup,,,Rubio,R. Rubio,,,,,,,12.05,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,
66,PT05M39.00S,2021-10-30T02:51:38.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201566,93.47897503285151,47.79411764705882,1610612747,17,13,2021-10-30T02:51:43Z,660000,-11.0,9.0,1,right,R. Westbrook driving DUNK (7 PTS) (K. Bazemore 1 AST),"[201566, 203145]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,,,1.41,Made,7.0,K. Bazemore,203145.0,1.0,,,,,,,,,,,,,
68,PT05M27.00S,2021-10-30T02:51:51.3Z,1,REGULAR,3pt,Jump Shot,[],201937,25.804862023653087,82.84313725490196,1610612739,17,13,2021-10-30T02:51:58Z,680000,-164.0,190.0,1,left,MISS R. Rubio 25' 3PT,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,25.12,Missed,,,,,,,,,,,,,,,,,
69,PT05M23.00S,2021-10-30T02:51:55.3Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,17,13,2021-10-30T02:51:58Z,690000,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,
70,PT05M12.00S,2021-10-30T02:52:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,92.95335085413929,54.65686274509804,1610612747,17,13,2021-10-30T02:52:12Z,700000,23.0,14.0,1,right,MISS L. James bank Shot,[2544],1610612747.0,LAL,bank,,,James,L. James,,,,,,,2.7,Missed,,,,,,,,,,,,,,,,,
71,PT05M09.00S,2021-10-30T02:52:09.4Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,17,13,2021-10-30T02:52:12Z,710000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,
72,PT04M55.00S,2021-10-30T02:52:22.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201567,8.459264126149804,45.09803921568627,1610612739,17,13,2021-10-30T02:52:30Z,720000,25.0,27.0,1,left,MISS K. Love turnaround Hook,[201567],1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,,,3.65,Missed,,,,,,,,,,,,,,,,,
73,PT04M50.00S,2021-10-30T02:52:27.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,17,13,2021-10-30T02:52:27Z,730000,,,0,,J. Allen REBOUND (Off:3 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,72.0,4.0,1.0,3.0,,,,,,,,,
74,PT04M50.00S,2021-10-30T02:52:27.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628386,5.590000152587891,50.0,1610612739,17,15,2021-10-30T02:52:27Z,740000,0.0,0.0,1,left,J. Allen putback DUNK (4 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,
75,PT04M36.00S,2021-10-30T02:52:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,88.74835742444152,48.529411764705884,1610612747,19,15,2021-10-30T02:52:49Z,750000,-7.0,53.0,1,right,A. Davis fadeaway Jump Shot (6 PTS),[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,,,5.38,Made,6.0,,,,,,,,,,,,,,,,
76,PT04M21.00S,2021-10-30T02:52:56.7Z,1,REGULAR,3pt,Jump Shot,[],201567,22.125492772667542,91.42156862745098,1610612739,19,15,2021-10-30T02:53:04Z,760000,-207.0,155.0,1,left,MISS K. Love 25' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,25.9,Missed,,,,,,,,,,,,,,,,,
77,PT04M18.00S,2021-10-30T02:52:59.7Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,19,15,2021-10-30T02:53:04Z,770000,,,0,,R. Westbrook REBOUND (Off:1 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,76.0,3.0,2.0,1.0,,,,,,,,,
78,PT04M15.00S,2021-10-30T02:53:04.0Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,19,15,2021-10-30T02:53:11Z,780000,,,0,,R. Westbrook bad pass TURNOVER (2 TO),"[201566, 201937]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,2.0,,,,,,,,,,,Rubio,201937.0,,,,,,,
79,PT04M15.00S,2021-10-30T02:53:04.0Z,1,REGULAR,steal,,[],201937,,,1610612739,19,15,2021-10-30T02:53:06Z,790000,,,0,,R. Rubio STEAL (1 STL),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M11.00S,2021-10-30T02:53:09.7Z,1,REGULAR,foul,personal,[],201599,,,1610612739,19,15,2021-10-30T02:53:19Z,800000,,,0,,D. Jordan take personal FOUL (1 PF),"[201599, 201937]",1610612747.0,LAL,take,,,Jordan,D. Jordan,,,,,2715.0,,,,,,,,,,,,,,,,1.0,0.0,Rubio,201937.0,
82,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,out,[],201566,,,1610612739,19,15,2021-10-30T02:53:33Z,820000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,out,[],201599,,,1610612739,19,15,2021-10-30T02:53:33Z,830000,,,0,,SUB out: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,19,15,2021-10-30T02:53:33Z,840000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,out,[],1628374,,,1610612739,19,15,2021-10-30T02:53:33Z,850000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,19,15,2021-10-30T02:53:33Z,860000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,in,[],1628370,,,1610612739,19,15,2021-10-30T02:53:33Z,870000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,in,[],2546,,,1610612739,19,15,2021-10-30T02:53:33Z,880000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M11.00S,2021-10-30T02:53:16.1Z,1,REGULAR,substitution,in,[],1630205,,,1610612739,19,15,2021-10-30T02:53:33Z,890000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
