actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M46.00S,2022-01-18T03:44:03.0Z,1,REGULAR,steal,,[],2730,,,1610612747,3,0,2022-01-18T03:44:05Z,160000,,,0,,D. Howard STEAL (1 STL),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2022-01-18T03:44:09.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,5.962549277266746,45.58823529411765,1610612747,3,0,2022-01-18T03:44:12Z,170000,22.0,4.0,1,left,MISS L. James driving Layup - blocked,"[2544, 1628378]",1610612747.0,LAL,driving,,,James,L. James,,,,,2.24,Missed,,,,,,,,,,,,,,,Mitchell,1628378.0,,
18,PT10M39.00S,2022-01-18T03:44:09.1Z,1,REGULAR,block,,[],1628378,,,1610612747,3,0,2022-01-18T03:44:11Z,180000,,,0,,D. Mitchell BLOCK (1 BLK),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M36.00S,2022-01-18T03:44:12.1Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,3,0,2022-01-18T03:44:12Z,190000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M33.00S,2022-01-18T03:44:14.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,77.71024967148489,91.66666666666667,1610612762,3,3,2022-01-18T03:44:22Z,200000,208.0,157.0,1,right,R. O'Neale 26' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1626220, 202711]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,26.08,Made,,,,,,,,,3.0,B. Bogdanovic,202711.0,1.0,,,,,,
22,PT10M05.00S,2022-01-18T03:44:43.7Z,1,REGULAR,2pt,Jump Shot,[],201566,23.04533508541394,28.67647058823529,1610612747,3,3,2022-01-18T03:44:48Z,220000,107.0,164.0,1,left,MISS R. Westbrook 19' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,19.57,Missed,,,,,,,,,,,,,,,,,,
23,PT10M01.00S,2022-01-18T03:44:47.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,3,3,2022-01-18T03:44:48Z,230000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M56.00S,2022-01-18T03:45:00.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,3,3,2022-01-18T03:45:00Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2022-01-18T03:45:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,91.37647831800263,47.549019607843135,1610612762,3,5,2022-01-18T03:45:19Z,250000,-12.0,29.0,1,right,D. Mitchell driving Layup (2 PTS),[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,3.11,Made,,,,,,,,,2.0,,,,,,,,,
26,PT09M20.00S,2022-01-18T03:45:43.5Z,1,REGULAR,3pt,Jump Shot,[],2544,31.84954007884363,31.127450980392155,1610612747,6,5,2022-01-18T03:54:08Z,260000,94.0,247.0,1,left,L. James 26' 3PT pullup (3 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,26.43,Made,,,,,,,,,3.0,,,,,,,,,
27,PT09M09.00S,2022-01-18T03:45:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,82.44086727989487,34.55882352941177,1610612762,6,5,2022-01-18T03:45:58Z,270000,-77.0,113.0,1,right,MISS M. Conley 13' pullup Shot,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,13.65,Missed,,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2022-01-18T03:45:58.0Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,6,5,2022-01-18T03:45:58Z,280000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT08M53.00S,2022-01-18T03:46:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2772,8.327858081471746,53.67647058823529,1610612747,6,5,2022-01-18T03:54:16Z,290000,-18.0,26.0,1,left,MISS T. Ariza driving Layup - blocked,"[2772, 203497]",1610612747.0,LAL,driving,,,Ariza,T. Ariza,,,,,3.17,Missed,,,,,,,,,,,,,,,Gobert,203497.0,,
30,PT08M53.00S,2022-01-18T03:46:11.2Z,1,REGULAR,block,,[],203497,,,1610612747,6,5,2022-01-18T03:46:14Z,300000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M49.00S,2022-01-18T03:46:15.2Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,6,5,2022-01-18T03:46:16Z,310000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M49.00S,2022-01-18T03:46:20.1Z,1,REGULAR,foul,personal,['2freethrow'],202340,,,1610612762,6,5,2022-01-18T03:46:28Z,320000,,,0,,A. Bradley shooting personal FOUL (1 PF) (Gobert 2 FT),"[202340, 203497]",1610612747.0,LAL,shooting,,,Bradley,A. Bradley,,,,,,,,,,,1193.0,,1.0,0.0,,,,,,,,,Gobert,203497.0
34,PT08M49.00S,2022-01-18T03:46:46.2Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,6,6,2022-01-18T03:46:46Z,340000,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
35,PT08M49.00S,2022-01-18T03:47:05.2Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,6,7,2022-01-18T03:47:05Z,350000,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
36,PT08M40.00S,2022-01-18T03:47:15.2Z,1,REGULAR,3pt,Jump Shot,[],201566,32.24375821287779,67.8921568627451,1610612747,9,7,2022-01-18T03:47:21Z,360000,-89.0,251.0,1,left,R. Westbrook 26' 3PT pullup (3 PTS),[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,26.61,Made,,,,,,,,,3.0,,,,,,,,,
37,PT08M28.00S,2022-01-18T03:47:30.1Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612762,9,7,2022-01-18T03:47:35Z,370000,,,0,,D. Mitchell step out-of-bounds TURNOVER (3 TO),[1628378],1610612762.0,UTA,step,,,Mitchell,D. Mitchell,,,,,,,,,,,2714.0,3.0,,,,,,,,,,,,
44,PT08M28.00S,2022-01-18T03:48:14.6Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612747,9,7,2022-01-18T03:50:43Z,375000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M13.00S,2022-01-18T03:48:59.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,22.519710906701704,71.32352941176471,1610612747,11,7,2022-01-18T03:49:03Z,380000,-107.0,159.0,1,left,R. Westbrook 19' pullup bank Jump Shot (5 PTS),[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,19.16,Made,,,,,,,,,5.0,,,,,,,,,
39,PT07M51.00S,2022-01-18T03:49:23.3Z,1,REGULAR,foul,personal,['2freethrow'],2772,,,1610612762,11,7,2022-01-18T03:49:30Z,390000,,,0,,T. Ariza shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[2772, 202711]",1610612747.0,LAL,shooting,,,Ariza,T. Ariza,,,,,,,,,,,2714.0,,1.0,0.0,,,,,,,,,Bogdanovic,202711.0
41,PT07M51.00S,2022-01-18T03:49:50.5Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,11,8,2022-01-18T03:49:50Z,410000,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
42,PT07M51.00S,2022-01-18T03:50:09.0Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,11,9,2022-01-18T03:50:09Z,420000,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
43,PT07M31.00S,2022-01-18T03:50:29.3Z,1,REGULAR,2pt,Jump Shot,[],2544,18.446123521681997,75.73529411764706,1610612747,13,9,2022-01-18T03:50:34Z,430000,-129.0,121.0,1,left,L. James 17' step back Jump Shot (5 PTS),[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,17.66,Made,,,,,,,,,5.0,,,,,,,,,
45,PT07M15.00S,2022-01-18T03:50:46.4Z,1,REGULAR,3pt,Jump Shot,[],1626220,70.22010512483574,28.67647058823529,1610612762,13,12,2022-01-18T03:50:50Z,440000,-107.0,227.0,1,right,R. O'Neale 25' 3PT  (6 PTS) (B. Bogdanovic 2 AST),"[1626220, 202711]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,25.11,Made,,,,,,,,,6.0,B. Bogdanovic,202711.0,2.0,,,,,,
47,PT06M49.00S,2022-01-18T03:51:12.0Z,1,REGULAR,3pt,Jump Shot,[],201566,8.459264126149804,96.07843137254902,1610612747,13,12,2022-01-18T03:52:11Z,460000,-230.0,27.0,1,left,MISS R. Westbrook pullup 3PT,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,
48,PT06M46.00S,2022-01-18T03:51:15.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,13,12,2022-01-18T03:51:19Z,470000,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT06M43.00S,2022-01-18T03:51:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.42772667542707,52.450980392156865,1610612762,13,14,2022-01-18T03:53:37Z,480000,12.0,19.0,1,right,D. Mitchell driving finger roll Layup (4 PTS),[1628378],1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,2.24,Made,,,,,,,,,4.0,,,,,,,,,
50,PT06M41.00S,2022-01-18T03:51:26.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,13,14,2022-01-18T03:51:26Z,490000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M41.00S,2022-01-18T03:53:50.7Z,1,REGULAR,substitution,out,[],201144,,,1610612747,13,14,2022-01-18T03:54:11Z,500000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M41.00S,2022-01-18T03:53:50.7Z,1,REGULAR,substitution,in,[],204060,,,1610612747,13,14,2022-01-18T03:54:11Z,510000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M21.00S,2022-01-18T03:54:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,8.065045992115643,50.49019607843137,1610612747,13,14,2022-01-18T03:55:14Z,520000,-2.0,23.0,1,left,MISS R. Westbrook driving Layup - blocked,"[201566, 1626220]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.34,Missed,,,,,,,,,,,,,,,O'Neale,1626220.0,,
54,PT06M21.00S,2022-01-18T03:54:42.7Z,1,REGULAR,block,,[],1626220,,,1610612747,13,14,2022-01-18T03:54:47Z,530000,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M19.00S,2022-01-18T03:54:44.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,13,14,2022-01-18T03:55:14Z,540000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
55,PT06M19.00S,2022-01-18T03:55:13.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612762,13,14,2022-01-18T03:55:13Z,550000,,,0,,Jump Ball R. O'Neale vs. R. Westbrook: Tip to Team (UTA),"[1626220, 201566]",1610612762.0,UTA,heldball,Team (UTA),,,,O'Neale,1626220.0,Westbrook,201566.0,,,,,,,,,,,,,,,,,,,,
59,PT06M19.00S,2022-01-18T03:55:16.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,13,14,2022-01-18T03:55:16Z,580000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M57.00S,2022-01-18T03:55:41.4Z,1,REGULAR,3pt,Jump Shot,[],204060,90.06241787122208,96.56862745098039,1610612762,13,17,2022-01-18T03:55:45Z,590000,233.0,41.0,1,right,J. Ingles 3PT  (3 PTS) (B. Bogdanovic 3 AST),"[204060, 202711]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,23.64,Made,,,,,,,,,3.0,B. Bogdanovic,202711.0,3.0,,,,,,
62,PT05M43.00S,2022-01-18T03:55:59.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,13,17,2022-01-18T03:55:59Z,610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M43.00S,2022-01-18T03:55:59.8Z,1,REGULAR,substitution,out,[],2544,,,1610612747,13,17,2022-01-18T03:56:13Z,620000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M43.00S,2022-01-18T03:55:59.8Z,1,REGULAR,substitution,out,[],2730,,,1610612747,13,17,2022-01-18T03:56:13Z,630000,,,0,,SUB out: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M43.00S,2022-01-18T03:55:59.8Z,1,REGULAR,substitution,out,[],203497,,,1610612747,13,17,2022-01-18T03:56:13Z,640000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M43.00S,2022-01-18T03:55:59.8Z,1,REGULAR,substitution,in,[],1626169,,,1610612747,13,17,2022-01-18T03:56:13Z,650000,,,0,,SUB in: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M43.00S,2022-01-18T03:55:59.8Z,1,REGULAR,substitution,in,[],1628370,,,1610612747,13,17,2022-01-18T03:56:13Z,660000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2022-01-18T03:55:59.8Z,1,REGULAR,substitution,in,[],200752,,,1610612747,13,17,2022-01-18T03:56:13Z,670000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M30.00S,2022-01-18T03:56:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202340,8.590670170827863,52.450980392156865,1610612747,13,17,2022-01-18T03:57:01Z,680000,-12.0,28.0,1,left,MISS A. Bradley driving reverse Layup,[202340],1610612747.0,LAL,driving reverse,,,Bradley,A. Bradley,,,,,3.09,Missed,,,,,,,,,,,,,,,,,,
70,PT05M27.00S,2022-01-18T03:56:36.2Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,13,17,2022-01-18T03:56:38Z,690000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,,
71,PT05M21.00S,2022-01-18T03:56:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,91.24507227332458,44.85294117647059,1610612762,13,17,2022-01-18T03:56:47Z,700000,-26.0,30.0,1,right,MISS D. Mitchell Layup - blocked,"[1628378, 1626169]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,3.94,Missed,,,,,,,,,,,,,,,Johnson,1626169.0,,
72,PT05M21.00S,2022-01-18T03:56:42.9Z,1,REGULAR,block,,[],1626169,,,1610612762,13,17,2022-01-18T03:56:45Z,710000,,,0,,S. Johnson BLOCK (1 BLK),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M18.00S,2022-01-18T03:56:45.9Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,13,17,2022-01-18T03:56:47Z,720000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT05M07.00S,2022-01-18T03:56:56.9Z,1,REGULAR,2pt,Jump Shot,[],201566,19.8915900131406,71.56862745098039,1610612747,13,17,2022-01-18T03:57:02Z,730000,-108.0,134.0,1,left,MISS R. Westbrook 17' pullup bank Shot,[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,17.24,Missed,,,,,,,,,,,,,,,,,,
75,PT05M03.00S,2022-01-18T03:57:00.9Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,13,17,2022-01-18T03:57:02Z,740000,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,,
76,PT04M56.00S,2022-01-18T03:57:08.3Z,1,REGULAR,3pt,Jump Shot,[],200752,65.09526938239159,57.59803921568628,1610612762,13,17,2022-01-18T03:57:12Z,750000,38.0,276.0,1,right,MISS R. Gay 27' 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,27.82,Missed,,,,,,,,,,,,,,,,,,
77,PT04M52.00S,2022-01-18T03:57:12.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,13,17,2022-01-18T03:57:12Z,760000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT04M38.00S,2022-01-18T03:57:25.6Z,1,REGULAR,3pt,Jump Shot,[],2772,26.461892247043366,83.82352941176471,1610612747,13,17,2022-01-18T03:57:31Z,770000,-169.0,196.0,1,left,MISS T. Ariza 25' 3PT,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
79,PT04M33.00S,2022-01-18T03:57:30.6Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,13,17,2022-01-18T03:57:31Z,780000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
142,PT04M31.00S,2022-01-18T03:57:35.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,87.9599211563732,60.294117647058826,1610612762,13,17,2022-01-18T04:11:18Z,795000,51.0,61.0,1,right,MISS B. Bogdanovic 7' driving floating Shot - blocked,"[202711, 1626169]",1610612762.0,UTA,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,7.96,Missed,,,,,,,,,,,,,,,Johnson,1626169.0,,
143,PT04M31.00S,2022-01-18T03:57:35.7Z,1,REGULAR,block,,[],1626169,,,1610612762,13,17,2022-01-18T04:08:07Z,802500,,,0,,S. Johnson BLOCK (2 BLK),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
144,PT04M30.00S,2022-01-18T03:57:36.7Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,13,17,2022-01-18T04:11:18Z,806250,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,142.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT04M28.00S,2022-01-18T03:57:45.8Z,1,REGULAR,foul,personal,[],204060,,,1610612747,13,17,2022-01-18T04:11:58Z,810000,,,0,,J. Ingles take personal FOUL (1 PF),"[204060, 1628370]",1610612762.0,UTA,take,,,Ingles,J. Ingles,,,,,,,,,,,2714.0,,1.0,0.0,,,,,,,,,Monk,1628370.0
84,PT04M28.00S,2022-01-18T03:57:59.1Z,1,REGULAR,substitution,out,[],202340,,,1610612747,13,17,2022-01-18T03:57:45Z,830000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M28.00S,2022-01-18T03:57:59.1Z,1,REGULAR,substitution,out,[],1626169,,,1610612747,13,17,2022-01-18T03:57:45Z,840000,,,0,,SUB out: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M28.00S,2022-01-18T03:57:59.1Z,1,REGULAR,substitution,out,[],202711,,,1610612747,13,17,2022-01-18T03:57:45Z,850000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M28.00S,2022-01-18T03:57:59.1Z,1,REGULAR,substitution,in,[],1630559,,,1610612747,13,17,2022-01-18T03:57:45Z,860000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M28.00S,2022-01-18T03:57:59.1Z,1,REGULAR,substitution,in,[],1629659,,,1610612747,13,17,2022-01-18T03:57:45Z,870000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
