actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
57,PT06M59.00S,2021-12-08T03:18:04.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,10,17,2021-12-08T03:18:14Z,570000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,56.0,,3.0,2.0,1.0,,,,,,,,,,,,,,
58,PT06M41.00S,2021-12-08T03:18:23.3Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,10,17,2021-12-08T03:18:28Z,580000,,,0,,J. Tatum bad pass TURNOVER (1 TO),"[1628369, 201566]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,,,,,,,,
59,PT06M41.00S,2021-12-08T03:18:23.3Z,1,REGULAR,steal,,[],201566,,,1610612747,10,17,2021-12-08T03:18:25Z,590000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M31.00S,2021-12-08T03:18:32.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629659,8.196452036793687,52.450980392156865,1610612747,12,17,2021-12-08T03:18:39Z,600000,-12.0,25.0,1,left,T. Horton-Tucker driving Layup (4 PTS) (R. Westbrook 2 AST),"[1629659, 201566]",1610612747.0,LAL,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,2.74,Made,,,,,,,,,4.0,R. Westbrook,201566.0,2.0,,,,,,,
62,PT06M20.00S,2021-12-08T03:18:44.1Z,1,REGULAR,3pt,Jump Shot,[],203471,74.4250985545335,84.06862745098039,1610612738,12,17,2021-12-08T03:18:49Z,620000,170.0,188.0,1,right,MISS D. Schroder 25' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M16.00S,2021-12-08T03:18:48.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,17,2021-12-08T03:18:49Z,630000,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,62.0,,4.0,3.0,1.0,,,,,,,,,,,,,,
64,PT05M57.00S,2021-12-08T03:19:06.0Z,1,REGULAR,3pt,Jump Shot,[],201566,26.41672141918528,17.624080882352942,1610612747,12,17,2021-12-08T03:19:16Z,640000,162.0,196.0,1,left,MISS R. Westbrook 25' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M53.00S,2021-12-08T03:19:10.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,17,2021-12-08T03:19:16Z,650000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,64.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT05M49.00S,2021-12-08T03:19:16.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,91.77069645203679,52.205882352941174,1610612738,12,19,2021-12-08T03:19:25Z,660000,11.0,25.0,1,right,R. Williams III alley-oop DUNK (5 PTS) (D. Schroder 3 AST),"[1629057, 203471]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,2.72,Made,,,,,,,,,5.0,D. Schroder,203471.0,3.0,,,,,,,
68,PT05M49.00S,2021-12-08T03:19:23.2Z,1,REGULAR,foul,personal,['1freethrow'],203076,,,1610612738,12,19,2021-12-08T03:19:42Z,680000,,,0,,A. Davis shooting personal FOUL (1 PF) (Williams III 1 FT),"[203076, 1629057]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,,,,200832.0,,,,,,,,,,,1.0,0.0,Williams III,1629057.0,,,
70,PT05M49.00S,2021-12-08T03:19:30.7Z,1,REGULAR,substitution,out,[],201566,,,1610612738,12,19,2021-12-08T03:19:40Z,700000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M49.00S,2021-12-08T03:19:30.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,12,19,2021-12-08T03:19:40Z,710000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2021-12-08T03:19:30.7Z,1,REGULAR,substitution,out,[],203471,,,1610612738,12,19,2021-12-08T03:19:40Z,720000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M49.00S,2021-12-08T03:19:30.7Z,1,REGULAR,substitution,in,[],1628370,,,1610612738,12,19,2021-12-08T03:19:40Z,730000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M49.00S,2021-12-08T03:19:30.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,12,19,2021-12-08T03:19:40Z,740000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M49.00S,2021-12-08T03:19:30.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,12,19,2021-12-08T03:19:40Z,750000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M49.00S,2021-12-08T03:19:58.1Z,1,REGULAR,freethrow,1 of 1,[],1629057,,,1610612738,12,20,2021-12-08T03:19:58Z,760000,,,0,,R. Williams III Free Throw 1 of 1 (6 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,,,,,,,,,6.0,,,,,,,,,,
77,PT05M32.00S,2021-12-08T03:20:12.8Z,1,REGULAR,3pt,Jump Shot,[],2544,30.798291721419176,73.77450980392157,1610612747,15,20,2021-12-08T03:22:55Z,770000,-119.0,237.0,1,left,L. James 26' 3PT  (7 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,,,,James,L. James,,,,,26.52,Made,,,,,,,,,7.0,A. Davis,203076.0,1.0,,,,,,,
79,PT05M02.00S,2021-12-08T03:20:46.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.32917214191853,50.98039215686275,1610612738,15,20,2021-12-08T03:23:29Z,790000,5.0,255.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M01.00S,2021-12-08T03:20:47.8Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,15,20,2021-12-08T03:23:29Z,800000,,,0,,A. Bradley REBOUND (Off:1 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,79.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
81,PT04M52.00S,2021-12-08T03:20:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,6.8823915900131425,50.73529411764706,1610612747,17,20,2021-12-08T03:21:03Z,810000,-4.0,12.0,1,left,L. James driving reverse Layup (9 PTS),[2544],1610612747.0,LAL,driving reverse,,,James,L. James,,,,,1.27,Made,,,,,,,,,9.0,,,,,,,,,,
82,PT04M31.00S,2021-12-08T03:21:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,94.13600525624179,49.01960784313726,1610612738,17,22,2021-12-08T03:21:21Z,820000,-5.0,3.0,1,right,J. Richardson driving Layup (2 PTS) (R. Williams III 1 AST),"[1626196, 1629057]",1610612738.0,BOS,driving,,,Richardson,J. Richardson,,,,,0.55,Made,,,,,,,,,2.0,R. Williams III,1629057.0,1.0,,,,,,,
84,PT04M09.00S,2021-12-08T03:21:36.9Z,1,REGULAR,2pt,Jump Shot,[],1629659,20.154402102496718,26.715686274509807,1610612747,17,22,2021-12-08T03:21:42Z,840000,116.0,137.0,1,left,MISS T. Horton-Tucker 17' fadeaway Shot,[1629659],1610612747.0,LAL,fadeaway,,,Horton-Tucker,T. Horton-Tucker,,,,,17.98,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M08.00S,2021-12-08T03:21:37.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,17,22,2021-12-08T03:21:42Z,850000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,84.0,,2.0,2.0,0.0,,,,,,,,,,,,,,
86,PT03M59.00S,2021-12-08T03:21:47.2Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,17,22,2021-12-08T03:22:04Z,860000,,,0,,J. Tatum lost ball TURNOVER (2 TO),"[1628369, 1629659]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,2.0,Horton-Tucker,1629659.0,,,,,,,,,,,
87,PT03M59.00S,2021-12-08T03:21:47.2Z,1,REGULAR,steal,,[],1629659,,,1610612747,17,22,2021-12-08T03:22:04Z,870000,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M58.00S,2021-12-08T03:21:50.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628370,6.8823915900131425,52.450980392156865,1610612747,19,22,2021-12-08T03:22:12Z,880000,-12.0,12.0,1,left,M. Monk running DUNK (2 PTS) (T. Horton-Tucker 1 AST),"[1628370, 1629659]",1610612747.0,LAL,running,,,Monk,M. Monk,,,,,1.73,Made,,,,,,,,,2.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,
