actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
44,PT07M34.00S,2021-11-05T02:46:48.8Z,1,REGULAR,2pt,Jump Shot,[],203076,79.15571616294349,69.8529411764706,1610612747,14,8,2021-11-05T02:46:52Z,440000,99.0,143.0,1,right,A. Davis 17' step back Jump Shot (10 PTS),[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,17.44,Made,10.0,,,,,,,,,,,,,,,,,
45,PT07M17.00S,2021-11-05T02:47:09.5Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612760,14,8,2021-11-05T02:47:14Z,450000,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (1 TO),[1630581],1610612760.0,OKC,bad pass,,,Giddey,J. Giddey,,,,,,,,,,,,203177.0,1.0,,,,,,,,,,,
46,PT07M08.00S,2021-11-05T02:47:32.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202340,74.95072273324573,8.088235294117652,1610612747,14,8,2021-11-05T02:47:36Z,460000,-210.0,183.0,1,right,MISS A. Bradley 27' 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,27.82,Missed,,,,,,,,,,,,,,,,,,
47,PT07M06.00S,2021-11-05T02:47:34.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,14,8,2021-11-05T02:47:36Z,470000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
48,PT06M59.00S,2021-11-05T02:47:42.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,29.09001314060447,79.65686274509804,1610612760,14,8,2021-11-05T02:47:48Z,480000,-148.0,221.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,
49,PT06M55.00S,2021-11-05T02:47:46.1Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,14,8,2021-11-05T02:47:46Z,490000,,,0,,D. Favors REBOUND (Off:1 Def:0),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,
50,PT06M48.00S,2021-11-05T02:47:53.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,23.04533508541394,86.51960784313725,1610612760,14,8,2021-11-05T02:48:00Z,500000,-183.0,164.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,
51,PT06M44.00S,2021-11-05T02:47:57.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,14,8,2021-11-05T02:48:00Z,510000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,
52,PT06M44.00S,2021-11-05T02:48:01.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,14,8,2021-11-05T02:48:01Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M44.00S,2021-11-05T02:48:08.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,14,8,2021-11-05T02:48:08Z,530000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M33.00S,2021-11-05T02:51:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,81.38961892247043,62.5,1610612747,14,8,2021-11-05T02:51:10Z,540000,62.0,122.0,1,right,MISS R. Westbrook 13' step back Shot,[201566],1610612747.0,LAL,step back,,,Westbrook,R. Westbrook,,,,,13.74,Missed,,,,,,,,,,,,,,,,,,
55,PT06M30.00S,2021-11-05T02:51:08.9Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,14,8,2021-11-05T02:51:10Z,550000,,,0,,D. Bazley REBOUND (Off:1 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,54.0,3.0,2.0,1.0,,,,,,,,,,,,,
56,PT06M23.00S,2021-11-05T02:51:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,6.4881734559789805,5.14705882352942,1610612760,14,8,2021-11-05T02:51:20Z,560000,224.0,8.0,1,left,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,22.45,Missed,,,,,,,,,,,,,,,,,,
57,PT06M20.00S,2021-11-05T02:51:18.7Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,14,8,2021-11-05T02:51:18Z,570000,,,0,,A. Bradley REBOUND (Off:0 Def:2),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT06M16.00S,2021-11-05T02:51:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203145,92.95335085413929,48.28431372549019,1610612747,14,8,2021-11-05T02:51:29Z,580000,-9.0,14.0,1,right,MISS K. Bazemore running Layup,[203145],1610612747.0,LAL,running,,,Bazemore,K. Bazemore,,,,,1.62,Missed,,,,,,,,,,,,,,,,,,
59,PT06M13.00S,2021-11-05T02:51:26.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,14,8,2021-11-05T02:51:29Z,590000,,,0,,A. Davis REBOUND (Off:2 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,58.0,4.0,2.0,2.0,,,,,,,,,,,,,
60,PT06M12.00S,2021-11-05T02:51:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fastbreak']",203076,93.2161629434954,49.50980392156863,1610612747,16,8,2021-11-05T02:51:33Z,600000,-2.0,11.0,1,right,A. Davis putback Layup (12 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,1.16,Made,12.0,,,,,,,,,,,,,,,,,
61,PT05M51.00S,2021-11-05T02:51:48.3Z,1,REGULAR,3pt,Jump Shot,[],1630581,32.90078843626807,61.27450980392157,1610612760,16,8,2021-11-05T02:51:52Z,610000,-56.0,257.0,1,left,MISS J. Giddey 26' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,
62,PT05M49.00S,2021-11-05T02:51:50.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,16,8,2021-11-05T02:51:52Z,620000,,,0,,A. Davis REBOUND (Off:2 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,61.0,5.0,3.0,2.0,,,,,,,,,,,,,
63,PT05M42.00S,2021-11-05T02:51:57.2Z,1,REGULAR,3pt,Jump Shot,[],201566,67.06636005256242,58.82352941176471,1610612747,19,8,2021-11-05T02:52:01Z,630000,44.0,257.0,1,right,R. Westbrook 26' 3PT  (5 PTS) (A. Davis 2 AST),"[201566, 203076]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,26.09,Made,5.0,,,,,,,A. Davis,203076.0,2.0,,,,,,,,
65,PT05M24.00S,2021-11-05T02:52:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,18.31471747700394,60.294117647058826,1610612760,19,8,2021-11-05T02:52:19Z,650000,-51.0,120.0,1,left,MISS S. Gilgeous-Alexander 13' floating Shot,[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,13.03,Missed,,,,,,,,,,,,,,,,,,
66,PT05M22.00S,2021-11-05T02:52:17.6Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,19,8,2021-11-05T02:52:17Z,660000,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,,,,,
67,PT05M08.00S,2021-11-05T02:52:30.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202324,10.430354796320628,58.33333333333333,1610612760,19,10,2021-11-05T02:52:34Z,670000,-42.0,46.0,1,left,D. Favors 6' Jump Shot (2 PTS),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,6.17,Made,2.0,,,,,,,,,,,,,,,,,
68,PT04M52.00S,2021-11-05T02:52:47.4Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,19,10,2021-11-05T02:52:51Z,680000,,,0,,R. Westbrook bad pass TURNOVER (2 TO),"[201566, 1629647]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,2.0,,,,,,,,,,Bazley,1629647.0
69,PT04M52.00S,2021-11-05T02:52:47.4Z,1,REGULAR,steal,,[],1629647,,,1610612760,19,10,2021-11-05T02:52:49Z,690000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M47.00S,2021-11-05T02:52:51.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629647,5.962549277266746,50.0,1610612760,19,12,2021-11-05T02:52:59Z,700000,0.0,4.0,1,left,D. Bazley running alley-oop DUNK (7 PTS) (J. Giddey 1 AST),"[1629647, 1630581]",1610612760.0,OKC,running alley-oop,,,Bazley,D. Bazley,,,,,0.35,Made,7.0,,,,,,,J. Giddey,1630581.0,1.0,,,,,,,,
72,PT04M30.00S,2021-11-05T02:53:08.7Z,1,REGULAR,2pt,Jump Shot,[],202340,75.21353482260184,63.970588235294116,1610612747,19,12,2021-11-05T02:53:19Z,720000,70.0,180.0,1,right,MISS A. Bradley 19' Jump Shot,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,19.36,Missed,,,,,,,,,,,,,,,,,,
73,PT04M29.00S,2021-11-05T02:53:09.7Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,19,12,2021-11-05T02:53:19Z,730000,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,,,,
74,PT04M29.00S,2021-11-05T02:53:24.9Z,1,REGULAR,foul,personal,['2freethrow'],202324,,,1610612747,19,12,2021-11-05T02:53:30Z,740000,,,0,,D. Favors shooting personal FOUL (1 PF) (Jordan 2 FT),"[202324, 201599]",1610612760.0,OKC,shooting,,,Favors,D. Favors,,,,,,,,,,,,202041.0,,,,,,,1.0,0.0,Jordan,201599.0,,
76,PT04M29.00S,2021-11-05T02:53:54.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],201599,,,1610612747,20,12,2021-11-05T02:53:54Z,760000,,,0,,D. Jordan Free Throw 1 of 2 (1 PTS),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
77,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,out,[],203145,,,1610612747,20,12,2021-11-05T02:54:12Z,770000,,,0,,SUB out: K. Bazemore,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,out,[],201566,,,1610612747,20,12,2021-11-05T02:54:12Z,780000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,out,[],1629652,,,1610612747,20,12,2021-11-05T02:54:12Z,790000,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,out,[],202324,,,1610612747,20,12,2021-11-05T02:54:12Z,800000,,,0,,SUB out: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,in,[],200765,,,1610612747,20,12,2021-11-05T02:54:12Z,810000,,,0,,SUB in: R. Rondo,[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,in,[],201961,,,1610612747,20,12,2021-11-05T02:54:12Z,820000,,,0,,SUB in: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M29.00S,2021-11-05T02:53:55.1Z,1,REGULAR,substitution,in,[],1630526,,,1610612747,20,12,2021-11-05T02:54:12Z,830000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
