actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
22,PT10M27.00S,2021-12-24T03:44:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,13.584099868593952,62.00980392156863,1610612759,2,5,2021-12-24T03:44:59Z,220000,-60.0,75.0,1,left,J. Poeltl 9' floating Jump Shot (2 PTS) (D. Murray 2 AST),"[1627751, 1627749]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,9.62,Made,,,,,,,,2.0,D. Murray,1627749.0,2.0,,,,,,,
24,PT10M16.00S,2021-12-24T03:45:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,89.79960578186596,49.754901960784316,1610612747,4,5,2021-12-24T03:45:18Z,240000,-1.0,43.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,4.34,Made,,,,,,,,2.0,,,,,,,,,,
25,PT10M06.00S,2021-12-24T03:45:19.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,12.795663600525614,46.81372549019608,1610612759,4,5,2021-12-24T03:45:38Z,250000,16.0,68.0,1,left,MISS D. Murray 6' pullup Shot - blocked,"[1627749, 2730]",1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,6.96,Missed,,,,,,,,,,,,Howard,2730.0,,,,,
26,PT10M06.00S,2021-12-24T03:45:19.1Z,1,REGULAR,block,,[],2730,,,1610612759,4,5,2021-12-24T03:45:21Z,260000,,,0,,D. Howard BLOCK (1 BLK),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2021-12-24T03:45:19.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,4,5,2021-12-24T03:45:38Z,270000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
28,PT10M06.00S,2021-12-24T03:45:22.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,4,5,2021-12-24T03:45:22Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M55.00S,2021-12-24T03:45:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,90.71944809461235,45.09803921568627,1610612747,4,5,2021-12-24T03:45:40Z,290000,-25.0,35.0,1,right,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,4.25,Missed,,,,,,,,,,,,,,,,,,
30,PT09M53.00S,2021-12-24T03:45:35.9Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,4,5,2021-12-24T03:45:35Z,300000,,,0,,D. Howard REBOUND (Off:1 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M51.00S,2021-12-24T03:45:36.9Z,1,REGULAR,3pt,Jump Shot,"['2ndchance', 'fastbreak']",2544,65.22667542706964,53.18627450980392,1610612747,7,5,2021-12-24T03:45:58Z,310000,16.0,274.0,1,right,L. James 27' 3PT  (5 PTS) (D. Howard 1 AST),"[2544, 2730]",1610612747.0,LAL,,,,James,L. James,,,,,27.49,Made,,,,,,,,5.0,D. Howard,2730.0,1.0,,,,,,,
33,PT09M41.00S,2021-12-24T03:45:50.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,7,5,2021-12-24T03:45:50Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M39.00S,2021-12-24T03:46:01.8Z,1,REGULAR,3pt,Jump Shot,[],203926,23.702365308804204,13.480392156862735,1610612759,7,8,2021-12-24T03:46:06Z,340000,183.0,170.0,1,left,D. McDermott 24' 3PT  (6 PTS) (D. Murray 3 AST),"[203926, 1627749]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,24.97,Made,,,,,,,,6.0,D. Murray,1627749.0,3.0,,,,,,,
36,PT09M26.00S,2021-12-24T03:46:17.5Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,7,8,2021-12-24T03:46:26Z,360000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (2 TO),[201566],1610612747.0,LAL,bad pass,,,Westbrook,R. Westbrook,,,,,,,,,,,2.0,,,,,,,,,202027.0,,,,
37,PT09M14.00S,2021-12-24T03:46:32.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,20.236530880420503,53.442861519607845,1610612759,7,10,2021-12-24T03:46:41Z,370000,-17.0,138.0,1,left,J. Poeltl 13' floating Jump Shot (4 PTS) (D. McDermott 1 AST),"[1627751, 203926]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,13.88,Made,,,,,,,,4.0,D. McDermott,203926.0,1.0,,,,,,,
39,PT08M58.00S,2021-12-24T03:46:47.8Z,1,REGULAR,2pt,Jump Shot,[],2544,91.11366622864652,21.32352941176471,1610612747,9,10,2021-12-24T03:46:51Z,390000,-143.0,31.0,1,right,L. James 14' turnaround fadeaway Jump Shot (7 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,14.67,Made,,,,,,,,7.0,,,,,,,,,,
40,PT08M46.00S,2021-12-24T03:47:00.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,22.38830486202366,88.72549019607843,1610612759,9,10,2021-12-24T03:48:02Z,400000,-194.0,158.0,1,left,MISS D. Murray 24' pullup 3PT,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2021-12-24T03:47:02.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,9,10,2021-12-24T03:47:06Z,410000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,
42,PT08M44.00S,2021-12-24T03:47:06.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,9,10,2021-12-24T03:47:06Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M30.00S,2021-12-24T03:47:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629659,82.04664914586071,43.627450980392155,1610612747,9,10,2021-12-24T03:47:31Z,430000,-32.0,116.0,1,right,MISS T. Horton-Tucker 12' pullup Shot,[1629659],1610612747.0,LAL,pullup,,,Horton-Tucker,T. Horton-Tucker,,,,,12.06,Missed,,,,,,,,,,,,,,,,,,
44,PT08M28.00S,2021-12-24T03:47:28.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,9,10,2021-12-24T03:47:31Z,440000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,
45,PT08M28.00S,2021-12-24T03:47:32.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,9,10,2021-12-24T03:47:32Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M17.00S,2021-12-24T03:47:46.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,11.744415243101187,5.637254901960787,1610612759,9,10,2021-12-24T03:47:52Z,460000,222.0,58.0,1,left,MISS D. White 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,22.92,Missed,,,,,,,,,,,,,,,,,,
47,PT08M15.00S,2021-12-24T03:47:48.3Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,9,10,2021-12-24T03:47:52Z,470000,,,0,,D. Howard REBOUND (Off:1 Def:2),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,46.0,3.0,2.0,1.0,,,,,,,,,,,,,,
48,PT08M03.00S,2021-12-24T03:48:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,86.25164257555848,47.05882352941176,1610612747,9,10,2021-12-24T03:48:08Z,480000,-15.0,77.0,1,right,MISS L. James 7' turnaround Shot,[2544],1610612747.0,LAL,turnaround,,,James,L. James,,,,,7.81,Missed,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2021-12-24T03:48:06.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,9,10,2021-12-24T03:48:08Z,490000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT07M53.00S,2021-12-24T03:48:11.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627749,5.436925098554539,50.245098039215684,1610612759,9,12,2021-12-24T03:48:17Z,500000,-1.0,-1.0,1,left,D. Murray cutting Layup (2 PTS) (D. White 1 AST),"[1627749, 1628401]",1610612759.0,SAS,cutting,,,Murray,D. Murray,,,,,0.18,Made,,,,,,,,2.0,D. White,1628401.0,1.0,,,,,,,
52,PT07M40.00S,2021-12-24T03:48:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.37647831800263,54.411764705882355,1610612747,9,12,2021-12-24T03:48:28Z,520000,22.0,29.0,1,right,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,3.61,Missed,,,,,,,,,,,,,,,,,,
53,PT07M39.00S,2021-12-24T03:48:24.5Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,9,12,2021-12-24T03:48:28Z,530000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,
54,PT07M34.00S,2021-12-24T03:48:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,10.82457293035479,44.85294117647059,1610612759,9,12,2021-12-24T03:48:35Z,540000,26.0,49.0,1,left,MISS D. Murray driving floating Shot,[1627749],1610612759.0,SAS,driving floating,,,Murray,D. Murray,,,,,5.56,Missed,,,,,,,,,,,,,,,,,,
55,PT07M31.00S,2021-12-24T03:48:33.1Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,9,12,2021-12-24T03:48:35Z,550000,,,0,,D. Howard REBOUND (Off:1 Def:3),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,54.0,4.0,3.0,1.0,,,,,,,,,,,,,,
56,PT07M24.00S,2021-12-24T03:48:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,90.8508541392904,51.71568627450981,1610612747,9,12,2021-12-24T03:48:43Z,560000,9.0,34.0,1,right,MISS T. Horton-Tucker driving Layup,[1629659],1610612747.0,LAL,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,3.46,Missed,,,,,,,,,,,,,,,,,,
57,PT07M22.00S,2021-12-24T03:48:42.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,9,12,2021-12-24T03:48:43Z,570000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT07M20.00S,2021-12-24T03:48:44.1Z,1,REGULAR,foul,personal,['3freethrow'],201566,,,1610612759,9,12,2021-12-24T03:48:55Z,580000,,,0,,R. Westbrook shooting personal FOUL (1 PF) (McDermott 3 FT),"[201566, 203926]",1610612747.0,LAL,shooting,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,McDermott,203926.0
60,PT07M20.00S,2021-12-24T03:49:14.1Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],203926,,,1610612759,9,13,2021-12-24T03:49:14Z,600000,,,0,,D. McDermott Free Throw 1 of 3 (7 PTS),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,Made,,,,,,,,7.0,,,,,,,,,,
61,PT07M20.00S,2021-12-24T03:49:30.2Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],203926,,,1610612759,9,13,2021-12-24T03:49:30Z,610000,,,0,,MISS D. McDermott Free Throw 2 of 3,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT07M20.00S,2021-12-24T03:49:30.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,9,13,2021-12-24T03:49:30Z,620000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,
63,PT07M20.00S,2021-12-24T03:49:47.3Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],203926,,,1610612759,9,14,2021-12-24T03:49:47Z,630000,,,0,,D. McDermott Free Throw 3 of 3 (8 PTS),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,Made,,,,,,,,8.0,,,,,,,,,,
64,PT07M08.00S,2021-12-24T03:50:00.8Z,1,REGULAR,2pt,Jump Shot,[],201566,94.34954007884363,23.996629901960787,1610612747,11,14,2021-12-24T03:50:08Z,640000,-130.0,1.0,1,right,R. Westbrook 13' turnaround fadeaway Jump Shot (2 PTS),[201566],1610612747.0,LAL,turnaround fadeaway,,,Westbrook,R. Westbrook,,,,,13.0,Made,,,,,,,,2.0,,,,,,,,,,
65,PT07M05.00S,2021-12-24T03:50:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,11,14,2021-12-24T03:50:09Z,650000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M48.00S,2021-12-24T03:53:23.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,29.352825229960573,75.49019607843138,1610612759,11,14,2021-12-24T03:53:28Z,660000,-127.0,223.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2021-12-24T03:53:26.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,11,14,2021-12-24T03:53:28Z,670000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M43.00S,2021-12-24T03:53:30.1Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612747,11,14,2021-12-24T03:53:37Z,680000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1629640, 201566]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Westbrook,201566.0
70,PT06M43.00S,2021-12-24T03:54:00.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],201566,,,1610612747,12,14,2021-12-24T03:54:00Z,700000,,,0,,R. Westbrook Free Throw 1 of 2 (3 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
71,PT06M43.00S,2021-12-24T03:54:17.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],201566,,,1610612747,13,14,2021-12-24T03:54:17Z,710000,,,0,,R. Westbrook Free Throw 2 of 2 (4 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,Made,,,,,,,,4.0,,,,,,,,,,
72,PT06M23.00S,2021-12-24T03:54:38.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,11.169513797634693,37.032781862745104,1610612759,13,14,2021-12-24T03:54:46Z,720000,65.0,52.0,1,left,MISS J. Poeltl 8' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,8.34,Missed,,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2021-12-24T03:54:40.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,13,14,2021-12-24T03:54:46Z,730000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,,,,,
74,PT06M14.00S,2021-12-24T03:54:48.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628401,14.37253613666229,45.34313725490197,1610612759,13,14,2021-12-24T03:54:52Z,740000,23.0,83.0,1,left,MISS D. White 8' pullup Shot,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,8.58,Missed,,,,,,,,,,,,,,,,,,
75,PT06M10.00S,2021-12-24T03:54:52.2Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,13,14,2021-12-24T03:54:52Z,750000,,,0,,D. Howard REBOUND (Off:1 Def:4),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,74.0,5.0,4.0,1.0,,,,,,,,,,,,,,
76,PT05M55.00S,2021-12-24T03:55:06.1Z,1,REGULAR,3pt,Jump Shot,[],201961,70.3515111695138,72.54901960784314,1610612747,13,14,2021-12-24T03:55:15Z,760000,113.0,226.0,1,right,MISS W. Ellington 25' 3PT,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2021-12-24T03:55:09.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,13,14,2021-12-24T03:55:15Z,770000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,
78,PT05M52.00S,2021-12-24T03:55:15.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,13,14,2021-12-24T03:55:15Z,780000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M52.00S,2021-12-24T03:55:16.5Z,1,REGULAR,substitution,out,[],201566,,,1610612747,13,14,2021-12-24T03:55:20Z,790000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M52.00S,2021-12-24T03:55:16.5Z,1,REGULAR,substitution,in,[],200765,,,1610612747,13,14,2021-12-24T03:55:20Z,800000,,,0,,SUB in: R. Rondo,[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M52.00S,2021-12-24T03:55:23.2Z,1,REGULAR,substitution,out,[],1628401,,,1610612747,13,14,2021-12-24T03:55:35Z,810000,,,0,,SUB out: D. White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M52.00S,2021-12-24T03:55:23.2Z,1,REGULAR,substitution,out,[],203926,,,1610612747,13,14,2021-12-24T03:55:35Z,820000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M52.00S,2021-12-24T03:55:23.2Z,1,REGULAR,substitution,in,[],1630170,,,1610612747,13,14,2021-12-24T03:55:35Z,830000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M52.00S,2021-12-24T03:55:23.2Z,1,REGULAR,substitution,in,[],1629022,,,1610612747,13,14,2021-12-24T03:55:35Z,840000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M41.00S,2021-12-24T03:55:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2730,92.0335085413929,54.90196078431372,1610612747,15,14,2021-12-24T03:55:53Z,850000,25.0,22.0,1,right,D. Howard cutting Layup (2 PTS) (L. James 1 AST),"[2730, 2544]",1610612747.0,LAL,cutting,,,Howard,D. Howard,,,,,3.32,Made,,,,,,,,2.0,L. James,2544.0,1.0,,,,,,,
87,PT05M16.00S,2021-12-24T03:56:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629022,15.160972404730614,3.9215686274509807,1610612759,15,17,2021-12-24T03:56:17Z,870000,230.0,90.0,1,left,L. Walker IV 24' 3PT  (3 PTS) (D. Vassell 1 AST),"[1629022, 1630170]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,24.74,Made,,,,,,,,3.0,D. Vassell,1630170.0,1.0,,,,,,,
89,PT04M57.00S,2021-12-24T03:56:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201961,89.14257555847568,49.01960784313726,1610612747,17,17,2021-12-24T03:56:34Z,890000,-5.0,50.0,1,right,W. Ellington driving floating Jump Shot (2 PTS) (R. Rondo 1 AST),"[201961, 200765]",1610612747.0,LAL,driving floating,,,Ellington,W. Ellington,,,,,4.98,Made,,,,,,,,2.0,R. Rondo,200765.0,1.0,,,,,,,
91,PT04M48.00S,2021-12-24T03:56:39.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,32.11235216819975,68.62745098039215,1610612759,17,17,2021-12-24T03:56:45Z,910000,-93.0,249.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,
