actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
20,PT10M37.00S,2021-12-26T01:10:39.7Z,1,REGULAR,foul,personal,['2freethrow'],1627761,,,1610612747,2,4,2021-12-26T01:10:53Z,200000,,,0,,D. Bembry shooting personal FOUL (1 PF) (Horton-Tucker 2 FT),"[1627761, 1629659]",1610612751.0,BKN,shooting,,,Bembry,D. Bembry,,,,,,,,,,,1204.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,
22,PT10M37.00S,2021-12-26T01:11:12.1Z,1,REGULAR,freethrow,1 of 2,[],1629659,,,1610612747,3,4,2021-12-26T01:11:12Z,220000,,,0,,T. Horton-Tucker Free Throw 1 of 2 (1 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
23,PT10M37.00S,2021-12-26T01:11:22.6Z,1,REGULAR,freethrow,2 of 2,[],1629659,,,1610612747,4,4,2021-12-26T01:11:22Z,230000,,,0,,T. Horton-Tucker Free Throw 2 of 2 (2 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2021-12-26T01:11:36.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627761,6.225361366622863,51.22549019607843,1610612751,4,6,2021-12-26T01:12:40Z,240000,-6.0,6.0,1,left,D. Bembry reverse DUNK (2 PTS) (N. Claxton 1 AST),"[1627761, 1629651]",1610612751.0,BKN,reverse,,,Bembry,D. Bembry,,,,,0.86,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,,
26,PT10M15.00S,2021-12-26T01:11:47.7Z,1,REGULAR,3pt,Jump Shot,[],1629659,72.9796320630749,79.90196078431373,1610612747,4,6,2021-12-26T01:11:52Z,260000,150.0,201.0,1,right,MISS T. Horton-Tucker 25' 3PT,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M11.00S,2021-12-26T01:11:51.8Z,1,REGULAR,rebound,offensive,[],201961,,,1610612747,4,6,2021-12-26T01:11:51Z,270000,,,0,,W. Ellington REBOUND (Off:1 Def:1),[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,
28,PT10M05.00S,2021-12-26T01:11:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,93.47897503285151,46.81372549019608,1610612747,4,6,2021-12-26T01:13:47Z,280000,-16.0,9.0,1,right,MISS R. Westbrook driving Layup - blocked,"[201566, 201935]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.82,Missed,,,,,,,,,,,,,,,Harden,201935.0,,,
29,PT10M05.00S,2021-12-26T01:11:57.6Z,1,REGULAR,block,,[],201935,,,1610612747,4,6,2021-12-26T01:12:00Z,290000,,,0,,J. Harden BLOCK (1 BLK),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M05.00S,2021-12-26T01:11:57.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,4,6,2021-12-26T01:12:03Z,300000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,
31,PT10M05.00S,2021-12-26T01:12:03.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,4,6,2021-12-26T01:12:03Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M48.00S,2021-12-26T01:12:23.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,4,6,2021-12-26T01:12:23Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT09M42.00S,2021-12-26T01:12:41.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,4,6,2021-12-26T01:16:28Z,324687,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M41.00S,2021-12-26T01:12:58.6Z,1,REGULAR,2pt,Jump Shot,[],1629651,11.218791064388967,23.039215686274503,1610612751,4,6,2021-12-26T01:19:18Z,329375,135.0,53.0,1,left,MISS N. Claxton 14' Jump Shot,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,14.48,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M40.00S,2021-12-26T01:12:59.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,4,6,2021-12-26T01:19:18Z,334062,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,
37,PT09M40.00S,2021-12-26T01:13:11.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,4,6,2021-12-26T01:19:24Z,374375,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,,,,,,,1628159.0,,,,,,,,,,,,,,
38,PT09M35.00S,2021-12-26T01:13:17.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,74.1622864651774,14.950980392156865,1610612747,4,6,2021-12-26T01:31:23Z,380000,-175.0,190.0,1,right,MISS L. James 25' pullup 3PT,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M31.00S,2021-12-26T01:13:20.7Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,4,6,2021-12-26T01:13:20Z,390000,,,0,,D. Howard REBOUND (Off:1 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,38.0,1.0,0.0,1.0,,,,,
40,PT09M19.00S,2021-12-26T01:13:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",2544,88.35413929040736,49.26470588235294,1610612747,4,6,2021-12-26T01:15:34Z,400000,-4.0,57.0,1,right,MISS L. James Layup - blocked,"[2544, 1627761]",1610612747.0,LAL,,,,James,L. James,,,,,5.71,Missed,,,,,,,,,,,,,,,Bembry,1627761.0,,,
41,PT09M19.00S,2021-12-26T01:13:32.8Z,1,REGULAR,block,,[],1627761,,,1610612747,4,6,2021-12-26T01:13:35Z,410000,,,0,,D. Bembry BLOCK (1 BLK),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M16.00S,2021-12-26T01:13:35.8Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,4,6,2021-12-26T01:13:38Z,420000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,
43,PT09M12.00S,2021-12-26T01:13:39.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,11.875821287779246,96.07843137254902,1610612751,4,9,2021-12-26T01:13:57Z,430000,-230.0,59.0,1,left,P. Mills 3PT fadeaway (3 PTS) (B. Brown 1 AST),"[201988, 1628971]",1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,23.79,Made,3.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,,
45,PT09M00.00S,2021-12-26T01:13:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,93.34756898817345,52.205882352941174,1610612747,6,9,2021-12-26T01:13:59Z,450000,11.0,10.0,1,right,T. Horton-Tucker driving Layup (4 PTS) (R. Westbrook 2 AST),"[1629659, 201566]",1610612747.0,LAL,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,1.49,Made,4.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,,
47,PT08M47.00S,2021-12-26T01:14:04.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,8.853482260183966,51.96078431372549,1610612751,6,11,2021-12-26T01:14:10Z,470000,-10.0,31.0,1,left,J. Harden Layup (2 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,3.22,Made,2.0,,,,,,,,,,,,,,,,,,
48,PT08M27.00S,2021-12-26T01:14:23.9Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,6,11,2021-12-26T01:14:28Z,480000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 201988]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,1.0,,,,,,,Mills,201988.0,
49,PT08M27.00S,2021-12-26T01:14:23.9Z,1,REGULAR,steal,,[],201988,,,1610612751,6,11,2021-12-26T01:14:26Z,490000,,,0,,P. Mills STEAL (1 STL),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M15.00S,2021-12-26T01:14:36.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627761,5.174113009198422,5.392156862745097,1610612751,6,14,2021-12-26T01:14:41Z,500000,223.0,-4.0,1,left,D. Bembry 3PT  (5 PTS) (B. Brown 2 AST),"[1627761, 1628971]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,22.3,Made,5.0,B. Brown,1628971.0,2.0,,,,,,,,,,,,,,,
52,PT08M15.00S,2021-12-26T01:14:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,6,14,2021-12-26T01:14:44Z,520000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M00.00S,2021-12-26T01:18:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.82194480946123,46.07843137254902,1610612747,6,14,2021-12-26T01:18:25Z,530000,-20.0,15.0,1,right,MISS R. Westbrook Layup,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,2.47,Missed,,,,,,,,,,,,,,,,,,,
55,PT08M00.00S,2021-12-26T01:18:20.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,6,14,2021-12-26T01:18:25Z,540000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,
56,PT08M00.00S,2021-12-26T01:18:26.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,6,14,2021-12-26T01:18:26Z,550000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M52.00S,2021-12-26T01:18:41.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",2730,93.2161629434954,48.28431372549019,1610612747,6,14,2021-12-26T01:18:47Z,560000,-9.0,11.0,1,right,MISS D. Howard DUNK - blocked,"[2730, 1629651]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,1.42,Missed,,,,,,,,,,,,,,,Claxton,1629651.0,,,
58,PT07M52.00S,2021-12-26T01:18:41.3Z,1,REGULAR,block,,[],1629651,,,1610612747,6,14,2021-12-26T01:18:44Z,570000,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M52.00S,2021-12-26T01:18:41.3Z,1,REGULAR,rebound,offensive,[],2730,,,1610612747,6,14,2021-12-26T01:18:47Z,580000,,,0,,D. Howard REBOUND (Off:2 Def:0),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,57.0,2.0,0.0,2.0,,,,,
60,PT07M52.00S,2021-12-26T01:18:46.3Z,1,REGULAR,foul,personal,['2freethrow'],201935,,,1610612747,6,14,2021-12-26T01:18:51Z,590000,,,0,,J. Harden shooting personal FOUL (1 PF) (Howard 2 FT),"[201935, 2730]",1610612751.0,BKN,shooting,,,Harden,J. Harden,,,,,,,,,,,201246.0,1.0,0.0,Howard,2730.0,,,,,,,,,,
62,PT07M52.00S,2021-12-26T01:19:09.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],2730,,,1610612747,7,14,2021-12-26T01:19:09Z,610000,,,0,,D. Howard Free Throw 1 of 2 (1 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
63,PT07M52.00S,2021-12-26T01:19:26.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],2730,,,1610612747,8,14,2021-12-26T01:19:26Z,620000,,,0,,D. Howard Free Throw 2 of 2 (2 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
64,PT07M40.00S,2021-12-26T01:19:39.9Z,1,REGULAR,3pt,Jump Shot,[],201988,28.827201051248352,23.774509803921575,1610612751,8,17,2021-12-26T01:23:21Z,630000,131.0,218.0,1,left,P. Mills 25' 3PT pullup (6 PTS) (J. Harden 3 AST),"[201988, 201935]",1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,25.48,Made,6.0,J. Harden,201935.0,3.0,,,,,,,,,,,,,,,
66,PT07M35.00S,2021-12-26T01:19:53.1Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,8,17,2021-12-26T01:19:59Z,650000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,,,,,,,201246.0,,,,,1.0,,,,,,,,,
67,PT07M23.00S,2021-12-26T01:20:14.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,11.087385019710908,50.0,1610612751,8,19,2021-12-26T01:20:17Z,660000,0.0,52.0,1,left,J. Harden driving floating Jump Shot (4 PTS),[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,5.17,Made,4.0,,,,,,,,,,,,,,,,,,
68,PT07M11.00S,2021-12-26T01:20:25.2Z,1,REGULAR,3pt,Jump Shot,[],201566,82.9664914586071,6.862745098039213,1610612747,8,19,2021-12-26T01:20:31Z,670000,-216.0,108.0,1,right,MISS R. Westbrook 24' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,24.1,Missed,,,,,,,,,,,,,,,,,,,
69,PT07M11.00S,2021-12-26T01:20:25.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,8,19,2021-12-26T01:20:31Z,680000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,
70,PT07M11.00S,2021-12-26T01:20:30.3Z,1,REGULAR,foul,personal,[],1627761,,,1610612747,8,19,2021-12-26T01:20:55Z,690000,,,0,,D. Bembry loose ball personal FOUL (2 PF),"[1627761, 2730]",1610612751.0,BKN,loose ball,,,Bembry,D. Bembry,,,,,,,,,,,1628159.0,2.0,0.0,Howard,2730.0,,,,,,,,,,
72,PT07M05.00S,2021-12-26T01:20:54.5Z,1,REGULAR,turnover,3-second-violation,[],2730,,,1610612747,8,19,2021-12-26T01:21:08Z,710000,,,0,,D. Howard 3-second-violation TURNOVER (1 TO),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,201246.0,,,,,1.0,,,,,,,,,
73,PT06M54.00S,2021-12-26T01:21:08.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,32.50657030223391,36.029411764705884,1610612751,8,19,2021-12-26T01:21:15Z,720000,70.0,253.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2021-12-26T01:21:09.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,8,19,2021-12-26T01:21:16Z,730000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,
85,PT06M53.00S,2021-12-26T01:21:14.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,8,19,2021-12-26T01:22:29Z,735000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M49.00S,2021-12-26T01:21:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,93.34756898817345,53.18627450980392,1610612747,8,19,2021-12-26T01:21:28Z,740000,16.0,10.0,1,right,MISS R. Westbrook driving Layup - blocked,"[201566, 1629651]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.88,Missed,,,,,,,,,,,,,,,Claxton,1629651.0,,,
76,PT06M49.00S,2021-12-26T01:21:19.5Z,1,REGULAR,block,,[],1629651,,,1610612747,8,19,2021-12-26T01:21:21Z,750000,,,0,,N. Claxton BLOCK (2 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M49.00S,2021-12-26T01:21:19.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,8,19,2021-12-26T01:21:28Z,760000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,
78,PT06M49.00S,2021-12-26T01:21:24.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,8,19,2021-12-26T01:21:24Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M40.00S,2021-12-26T01:21:41.3Z,1,REGULAR,foul,personal,[],1629651,,,1610612747,8,19,2021-12-26T01:21:57Z,780000,,,0,,N. Claxton personal FOUL (1 PF),"[1629651, 201566]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,201246.0,1.0,0.0,Westbrook,201566.0,,,,,,,,,,
81,PT06M40.00S,2021-12-26T01:21:59.1Z,1,REGULAR,substitution,out,[],201566,,,1610612747,8,19,2021-12-26T01:22:01Z,800000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M40.00S,2021-12-26T01:21:59.1Z,1,REGULAR,substitution,in,[],1628370,,,1610612747,8,19,2021-12-26T01:22:01Z,810000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M26.00S,2021-12-26T01:22:14.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629659,83.36070959264126,15.196078431372555,1610612747,8,19,2021-12-26T01:31:10Z,820000,-174.0,104.0,1,right,MISS T. Horton-Tucker 20' step back Shot,[1629659],1610612747.0,LAL,step back,,,Horton-Tucker,T. Horton-Tucker,,,,,20.27,Missed,,,,,,,,,,,,,,,,,,,
84,PT06M22.00S,2021-12-26T01:22:17.9Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,8,19,2021-12-26T01:22:17Z,830000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,
86,PT06M21.00S,2021-12-26T01:22:23.8Z,1,REGULAR,foul,personal,[],201961,,,1610612751,8,19,2021-12-26T01:22:26Z,840000,,,0,,W. Ellington personal FOUL (1 PF),"[201961, 201935]",1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,1628159.0,1.0,0.0,Harden,201935.0,,,,,,,,,,
88,PT06M21.00S,2021-12-26T01:22:48.5Z,1,REGULAR,substitution,out,[],201961,,,1610612751,8,19,2021-12-26T01:22:53Z,860000,,,0,,SUB out: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M21.00S,2021-12-26T01:22:48.5Z,1,REGULAR,substitution,in,[],1626169,,,1610612751,8,19,2021-12-26T01:22:53Z,870000,,,0,,SUB in: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT06M12.00S,2021-12-26T01:23:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,11.350197109067011,45.833333333333336,1610612751,8,19,2021-12-26T01:23:11Z,880000,21.0,54.0,1,left,MISS J. Harden fadeaway Shot,[201935],1610612751.0,BKN,fadeaway,,,Harden,J. Harden,,,,,5.81,Missed,,,,,,,,,,,,,,,,,,,
91,PT06M09.00S,2021-12-26T01:23:09.6Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,8,19,2021-12-26T01:23:11Z,890000,,,0,,D. Howard REBOUND (Off:2 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,90.0,3.0,1.0,2.0,,,,,
92,PT06M07.00S,2021-12-26T01:23:11.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628370,93.61038107752957,53.92156862745098,1610612747,10,19,2021-12-26T01:23:18Z,900000,20.0,8.0,1,right,M. Monk running Layup (2 PTS) (L. James 1 AST),"[1628370, 2544]",1610612747.0,LAL,running,,,Monk,M. Monk,,,,,2.1,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,,
94,PT05M53.00S,2021-12-26T01:23:25.6Z,1,REGULAR,3pt,Jump Shot,[],1627761,5.699737187910642,5.392156862745097,1610612751,10,22,2021-12-26T01:23:29Z,920000,223.0,1.0,1,left,D. Bembry 3PT  (8 PTS) (P. Mills 1 AST),"[1627761, 201988]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,22.3,Made,8.0,P. Mills,201988.0,1.0,,,,,,,,,,,,,,,
96,PT05M49.00S,2021-12-26T01:23:32.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201988,,,1610612747,10,22,2021-12-26T01:23:38Z,940000,,,0,,P. Mills personal FOUL (1 PF) (Johnson 2 FT),"[201988, 1626169]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,1628159.0,1.0,0.0,Johnson,1626169.0,,,,,,,,,,
98,PT05M49.00S,2021-12-26T01:24:03.9Z,1,REGULAR,freethrow,1 of 2,[],1626169,,,1610612747,11,22,2021-12-26T01:24:03Z,960000,,,0,,S. Johnson Free Throw 1 of 2 (1 PTS),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
