actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
33,PT08M59.00S,2022-03-15T02:43:41.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,2,13,2022-03-15T02:43:41Z,330000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M46.00S,2022-03-15T02:46:46.3Z,1,REGULAR,3pt,Jump Shot,[],1626169,72.58541392904074,82.35294117647058,1610612747,2,13,2022-03-15T02:46:51Z,340000,162.0,205.0,1,right,MISS S. Johnson 26' 3PT,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M42.00S,2022-03-15T02:46:50.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,2,13,2022-03-15T02:46:51Z,350000,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT08M35.00S,2022-03-15T02:46:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,5.962549277266746,49.01960784313726,1610612761,2,15,2022-03-15T02:47:31Z,360000,5.0,4.0,1,left,S. Barnes cutting Layup (8 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,0.6,Made,,,,,8.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,
38,PT08M25.00S,2022-03-15T02:47:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.82194480946123,50.73529411764706,1610612747,2,15,2022-03-15T02:47:12Z,380000,4.0,15.0,1,right,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,1.54,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M23.00S,2022-03-15T02:47:09.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,15,2022-03-15T02:47:12Z,390000,,,0,,S. Barnes REBOUND (Off:1 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,38.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
40,PT08M22.00S,2022-03-15T02:47:11.7Z,1,REGULAR,foul,personal,[],201566,,,1610612761,2,15,2022-03-15T02:47:21Z,400000,,,0,,R. Westbrook take personal FOUL (1 PF),"[201566, 1630567]",1610612747.0,LAL,take,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Barnes,1630567.0,,,
42,PT08M15.00S,2022-03-15T02:47:34.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,32.50657030223391,34.803921568627445,1610612761,2,15,2022-03-15T02:47:39Z,420000,76.0,253.0,1,left,MISS F. VanVleet 26' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M12.00S,2022-03-15T02:47:38.5Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,2,15,2022-03-15T02:47:38Z,430000,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
44,PT08M10.00S,2022-03-15T02:47:41.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630173,15.686596583442835,52.450980392156865,1610612761,2,15,2022-03-15T02:47:44Z,440000,-12.0,95.0,1,left,MISS P. Achiuwa 9' turnaround fadeaway Shot,[1630173],1610612761.0,TOR,turnaround fadeaway,,,Achiuwa,P. Achiuwa,,,,,9.58,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M07.00S,2022-03-15T02:47:44.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,2,15,2022-03-15T02:47:44Z,450000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
46,PT07M57.00S,2022-03-15T02:47:53.4Z,1,REGULAR,3pt,Jump Shot,[],1630559,95.05584756898817,4.166666666666657,1610612747,2,15,2022-03-15T02:47:56Z,460000,-229.0,-6.0,1,right,MISS A. Reaves 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M55.00S,2022-03-15T02:47:55.4Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,2,15,2022-03-15T02:47:56Z,470000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
48,PT07M47.00S,2022-03-15T02:48:03.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,8.853482260183966,49.754901960784316,1610612761,2,17,2022-03-15T02:48:10Z,480000,1.0,31.0,1,left,P. Siakam Layup (4 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,3.07,Made,,,,,4.0,,,,,,,,,,,,,,
49,PT07M23.00S,2022-03-15T02:48:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,92.95335085413929,49.50980392156863,1610612747,2,17,2022-03-15T02:48:30Z,490000,-2.0,14.0,1,right,MISS M. Monk driving reverse Layup,[1628370],1610612747.0,LAL,driving reverse,,,Monk,M. Monk,,,,,1.39,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M21.00S,2022-03-15T02:48:28.5Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,2,17,2022-03-15T02:48:30Z,500000,,,0,,R. Westbrook REBOUND (Off:1 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
51,PT07M20.00S,2022-03-15T02:48:30.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630559,70.08869908015768,76.47058823529412,1610612747,2,17,2022-03-15T02:48:34Z,510000,132.0,229.0,1,right,MISS A. Reaves 26' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,26.43,Missed,,,,,,,,,,,,,,,,,,,
