actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M51.00S,2025-02-12T01:13:53.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641709,94.30026281208936,50.98039215686274,1610612765,0,4,2025-02-12T01:13:58Z,170000,False,5.0,1.0,1,right,A. Thompson running DUNK (2 PTS) (C. Cunningham 2 AST),"[1641709, 1630595]",1610612765.0,DET,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,0.5,Made,,,,,2.0,C. Cunningham,1630595.0,2.0,,,,,,,,,
19,PT10M44.00S,2025-02-12T01:14:01.3Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,0,4,2025-02-12T01:14:06Z,190000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 202699]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,Harris,202699.0,,,,,,,
20,PT10M44.00S,2025-02-12T01:14:01.3Z,1,REGULAR,steal,,[],202699,,,1610612765,0,4,2025-02-12T01:14:03Z,200000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M40.00S,2025-02-12T01:14:05.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,94.69448094612353,49.26470588235294,1610612765,0,6,2025-02-12T01:14:19Z,210000,False,-4.0,-3.0,1,right,T. Harris running Layup (4 PTS),[202699],1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,0.45,Made,,,,,4.0,,,,,,,,,,,,
22,PT10M40.00S,2025-02-12T01:14:11.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,0,6,2025-02-12T01:14:11Z,220000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2025-02-12T01:17:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641824,12.040078843626807,46.32352941176471,1610612741,0,6,2025-02-12T01:17:48Z,230000,False,18.0,61.0,1,left,MISS M. Buzelis 6' driving floating bank Shot,[1641824],1610612741.0,CHI,driving floating bank,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,6.34,Missed,,,,,,,,,,,,,,,,,
24,PT10M11.00S,2025-02-12T01:17:33.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,0,6,2025-02-12T01:17:35Z,240000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:1),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT10M03.00S,2025-02-12T01:17:41.8Z,1,REGULAR,3pt,Jump Shot,[],203501,71.43561103810775,21.323529411764707,1610612765,0,6,2025-02-12T01:17:45Z,250000,False,-143.0,216.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,25.93,Missed,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2025-02-12T01:17:44.8Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,6,2025-02-12T01:17:45Z,260000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M49.00S,2025-02-12T01:17:56.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,9.149145860709593,49.26470588235294,1610612741,0,6,2025-02-12T01:18:02Z,270000,False,4.0,34.0,1,left,MISS N. Vučević turnaround Hook - blocked,"[202696, 1641709]",1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,3.37,Missed,,,,,,,,,,,Thompson,1641709.0,,,,,
28,PT09M49.00S,2025-02-12T01:17:56.9Z,1,REGULAR,block,,[],1641709,,,1610612741,0,6,2025-02-12T01:17:59Z,280000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M46.00S,2025-02-12T01:17:59.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,0,6,2025-02-12T01:18:02Z,290000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
30,PT09M30.00S,2025-02-12T01:18:15.3Z,1,REGULAR,turnover,bad pass,[],203501,,,1610612765,0,6,2025-02-12T01:18:19Z,300000,False,,,0,,T. Hardaway Jr. bad pass TURNOVER (2 TO),"[203501, 1629632]",1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,2.0,,,,,,,,,,,White,1629632.0,,,,,,,
31,PT09M30.00S,2025-02-12T01:18:15.3Z,1,REGULAR,steal,,[],1629632,,,1610612741,0,6,2025-02-12T01:18:17Z,310000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
32,PT09M26.00S,2025-02-12T01:18:19.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641824,5.863994743758213,51.470588235294116,1610612741,2,6,2025-02-12T01:18:24Z,320000,False,-7.0,3.0,1,left,M. Buzelis running DUNK (2 PTS) (C. White 1 AST),"[1641824, 1629632]",1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,0.78,Made,,,,,2.0,C. White,1629632.0,1.0,,,,,,,,,
34,PT09M05.00S,2025-02-12T01:18:39.7Z,1,REGULAR,3pt,Jump Shot,[],203501,67.49342969776609,46.81372549019608,1610612765,2,6,2025-02-12T01:18:43Z,340000,False,-16.0,253.0,1,right,MISS T. Hardaway Jr. 25' 3PT,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Center,,25.36,Missed,,,,,,,,,,,,,,,,,
35,PT09M03.00S,2025-02-12T01:18:41.7Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,2,6,2025-02-12T01:18:43Z,350000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Center,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M57.00S,2025-02-12T01:18:51.6Z,1,REGULAR,substitution,out,[],1641824,,,1610612741,2,6,2025-02-12T01:18:57Z,370000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M57.00S,2025-02-12T01:18:51.6Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,2,6,2025-02-12T01:18:57Z,380000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M48.00S,2025-02-12T01:19:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,17.559132720105126,42.40196078431372,1610612741,2,6,2025-02-12T01:20:04Z,390000,False,38.0,113.0,1,left,MISS N. Vučević 11' floating Shot,[202696],1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,,11.88,Missed,,,,,,,,,,,,,,,,,
40,PT08M46.00S,2025-02-12T01:19:15.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,2,6,2025-02-12T01:19:18Z,400000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,
41,PT08M30.00S,2025-02-12T01:19:31.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,93.77463863337714,51.225490196078425,1610612765,2,8,2025-02-12T01:20:23Z,410000,False,6.0,6.0,1,right,A. Thompson DUNK (4 PTS) (C. Cunningham 3 AST),"[1641709, 1630595]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,0.86,Made,,,,,4.0,C. Cunningham,1630595.0,3.0,,,,,,,,,
43,PT08M23.00S,2025-02-12T01:19:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,12.171484888304862,43.872549019607845,1610612741,4,8,2025-02-12T01:19:41Z,430000,False,31.0,62.0,1,left,J. Giddey 6' driving floating Jump Shot (2 PTS),[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,6.91,Made,,,,,2.0,,,,,,,,,,,,
44,PT08M03.00S,2025-02-12T01:19:58.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630595,88.51839684625493,51.470588235294116,1610612765,4,10,2025-02-12T01:20:01Z,440000,False,7.0,55.0,1,right,C. Cunningham turnaround Hook (2 PTS),[1630595],1610612765.0,DET,turnaround,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,5.59,Made,,,,,2.0,,,,,,,,,,,,
45,PT07M41.00S,2025-02-12T01:20:20.9Z,1,REGULAR,3pt,Jump Shot,[],1630245,27.020367936925098,18.137254901960784,1610612741,4,10,2025-02-12T02:15:42Z,450000,False,159.0,201.0,1,left,MISS A. Dosunmu 25' step back bank 3PT,[1630245],1610612741.0,CHI,step back bank,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,,25.69,Missed,,,,,,,,,,,,,,,,,
46,PT07M39.00S,2025-02-12T01:20:22.9Z,1,REGULAR,rebound,defensive,[],203501,,,1610612765,4,10,2025-02-12T01:20:23Z,460000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:3),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Right Center,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,
47,PT07M28.00S,2025-02-12T01:20:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,70.64717477003943,23.03921568627451,1610612765,4,10,2025-02-12T01:20:37Z,470000,False,-135.0,223.0,1,right,MISS C. Cunningham 26' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,26.09,Missed,,,,,,,,,,,,,,,,,
48,PT07M25.00S,2025-02-12T01:20:36.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,4,10,2025-02-12T01:20:37Z,480000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,
49,PT07M08.00S,2025-02-12T01:20:53.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,15.325229960578188,50.49019607843137,1610612741,4,10,2025-02-12T01:20:59Z,490000,False,-2.0,92.0,1,left,MISS P. Williams 9' turnaround fadeaway Shot,[1630172],1610612741.0,CHI,turnaround fadeaway,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,,9.16,Missed,,,,,,,,,,,,,,,,,
50,PT07M06.00S,2025-02-12T01:20:55.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,4,10,2025-02-12T01:20:59Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,49.0,,,,,,,,,,,,,,,,
52,PT07M06.00S,2025-02-12T01:20:59.4Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,4,10,2025-02-12T01:21:11Z,520000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M06.00S,2025-02-12T01:20:59.4Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,4,10,2025-02-12T01:21:11Z,530000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2025-02-12T01:20:59.4Z,1,REGULAR,substitution,in,[],1641824,,,1610612741,4,10,2025-02-12T01:21:11Z,540000,False,,,0,,SUB in: M. Buzelis,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M06.00S,2025-02-12T01:20:59.4Z,1,REGULAR,substitution,in,[],1630200,,,1610612741,4,10,2025-02-12T01:21:11Z,550000,False,,,0,,SUB in: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M58.00S,2025-02-12T01:21:23.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202696,32.802233902759525,45.34313725490196,1610612741,4,10,2025-02-12T01:21:30Z,560000,False,23.0,256.0,1,left,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,25.69,Missed,,,,,,,,,,,,,,,,,
57,PT06M52.00S,2025-02-12T01:21:29.5Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,4,10,2025-02-12T01:21:30Z,570000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,56.0,3.0,2.0,1.0,,,,,,,,,,,,,
58,PT06M52.00S,2025-02-12T01:21:29.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630581,5.590000152587891,50.0,1610612741,6,10,2025-02-12T01:22:14Z,580000,False,0.0,0.0,1,left,J. Giddey tip Layup (4 PTS),[1630581],1610612741.0,CHI,tip,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,0.0,Made,,,,,4.0,,,,,,,,,,,,
59,PT06M41.00S,2025-02-12T01:21:40.4Z,1,REGULAR,3pt,Jump Shot,[],202699,70.12155059132719,27.696078431372552,1610612765,6,10,2025-02-12T01:21:44Z,590000,False,-112.0,228.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,25.42,Missed,,,,,,,,,,,,,,,,,
60,PT06M40.00S,2025-02-12T01:21:41.4Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,6,10,2025-02-12T01:21:44Z,600000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT06M35.00S,2025-02-12T01:21:54.2Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,6,10,2025-02-12T01:21:57Z,620000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1641709]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,Thompson,1641709.0,,,,,,,
63,PT06M35.00S,2025-02-12T01:21:54.2Z,1,REGULAR,steal,,[],1641709,,,1610612765,6,10,2025-02-12T01:21:55Z,630000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
64,PT06M31.00S,2025-02-12T01:21:58.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202699,94.03745072273325,47.794117647058826,1610612765,6,12,2025-02-12T01:23:33Z,640000,False,-11.0,4.0,1,right,T. Harris alley-oop Layup (6 PTS) (A. Thompson 1 AST),"[202699, 1641709]",1610612765.0,DET,alley-oop,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,1.15,Made,,,,,6.0,A. Thompson,1641709.0,1.0,,,,,,,,,
66,PT06M11.00S,2025-02-12T01:22:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,8.754927726675426,50.73529411764706,1610612741,6,12,2025-02-12T01:22:23Z,660000,False,-4.0,30.0,1,left,MISS J. Giddey floating Shot,[1630581],1610612741.0,CHI,floating,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,3.0,Missed,,,,,,,,,,,,,,,,,
67,PT06M09.00S,2025-02-12T01:22:20.5Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,6,12,2025-02-12T01:22:20Z,670000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,66.0,1.0,0.0,1.0,,,,,,,,,,,,,
68,PT06M04.00S,2025-02-12T01:22:24.4Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,6,12,2025-02-12T01:24:07Z,680000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),"[1641824, 1641709]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,,,,,,Thompson,1641709.0,,,,,,,
69,PT06M04.00S,2025-02-12T01:22:24.4Z,1,REGULAR,steal,,[],1641709,,,1610612765,6,12,2025-02-12T01:22:26Z,690000,False,,,0,,A. Thompson STEAL (2 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
70,PT06M02.00S,2025-02-12T01:22:27.2Z,1,REGULAR,turnover,bad pass,[],1641709,,,1610612765,6,12,2025-02-12T01:22:30Z,700000,False,,,0,,A. Thompson bad pass TURNOVER (1 TO),"[1641709, 1630200]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,Jones,1630200.0,,,,,,,
71,PT06M02.00S,2025-02-12T01:22:27.2Z,1,REGULAR,steal,,[],1630200,,,1610612741,6,12,2025-02-12T01:22:29Z,710000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
72,PT05M50.00S,2025-02-12T01:22:39.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630200,28.728646517739815,24.019607843137255,1610612741,6,12,2025-02-12T01:22:44Z,720000,False,130.0,218.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,25.33,Missed,,,,,,,,,,,,,,,,,
73,PT05M46.00S,2025-02-12T01:22:43.5Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,6,12,2025-02-12T01:22:44Z,730000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,
74,PT05M37.00S,2025-02-12T01:22:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,94.69448094612353,49.26470588235294,1610612765,6,14,2025-02-12T01:22:55Z,740000,False,-4.0,-3.0,1,right,A. Thompson driving Layup (6 PTS) (C. Cunningham 4 AST),"[1641709, 1630595]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,0.45,Made,,,,,6.0,C. Cunningham,1630595.0,4.0,,,,,,,,,
76,PT05M27.00S,2025-02-12T01:23:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,5.601182654402102,52.450980392156865,1610612741,6,14,2025-02-12T01:23:05Z,760000,False,-12.0,0.0,1,left,MISS N. Vučević driving Layup - blocked,"[202696, 1631105]",1610612741.0,CHI,driving,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,1.23,Missed,,,,,,,,,,,Duren,1631105.0,,,,,
77,PT05M27.00S,2025-02-12T01:23:01.7Z,1,REGULAR,block,,[],1631105,,,1610612741,6,14,2025-02-12T01:23:03Z,770000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2025-02-12T01:23:03.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,6,14,2025-02-12T01:23:05Z,780000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,
79,PT05M22.00S,2025-02-12T01:23:08.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641709,94.1688567674113,51.71568627450981,1610612765,6,16,2025-02-12T01:25:24Z,790000,False,9.0,2.0,1,right,A. Thompson running reverse Layup (8 PTS) (C. Cunningham 5 AST),"[1641709, 1630595]",1610612765.0,DET,running reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,0.89,Made,,,,,8.0,C. Cunningham,1630595.0,5.0,,,,,,,,,
81,PT05M22.00S,2025-02-12T01:23:12.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,6,16,2025-02-12T01:23:12Z,810000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
