actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
29,PT09M33.00S,2024-10-27T00:17:10.0Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612741,7,7,2024-10-27T00:17:14Z,290000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 1641717]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Wallace,1641717.0,,,,
30,PT09M33.00S,2024-10-27T00:17:10.0Z,1,REGULAR,steal,,[],1641717,,,1610612760,7,7,2024-10-27T00:17:12Z,300000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M27.00S,2024-10-27T00:17:16.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631114,94.69448094612353,52.94117647058824,1610612760,7,7,2024-10-27T00:19:26Z,310000,False,15.0,-3.0,1,right,MISS J. Williams running Layup,[1631114],1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
32,PT09M25.00S,2024-10-27T00:17:18.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,7,7,2024-10-27T00:19:26Z,320000,False,,,0,,P. Williams REBOUND (Off:1 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,
33,PT09M17.00S,2024-10-27T00:17:26.0Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,7,7,2024-10-27T00:17:32Z,330000,False,,,0,,N. Vučević bad pass TURNOVER (1 TO),"[202696, 1628983]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,
34,PT09M17.00S,2024-10-27T00:17:26.0Z,1,REGULAR,steal,,[],1628983,,,1610612760,7,7,2024-10-27T00:17:29Z,340000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
35,PT09M10.00S,2024-10-27T00:17:33.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641717,95.0886990801577,95.34313725490196,1610612760,7,7,2024-10-27T00:17:40Z,350000,False,227.0,-6.0,1,right,MISS C. Wallace 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,22.68,Missed,,,,,,,,,,,,,,,,,,
36,PT09M06.00S,2024-10-27T00:17:37.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,7,7,2024-10-27T00:17:40Z,360000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Right Corner 3,24+ Right,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,
37,PT08M59.00S,2024-10-27T00:17:45.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,8.360709592641262,50.0,1610612741,7,7,2024-10-27T00:20:32Z,370000,False,0.0,26.0,1,left,MISS N. Vučević driving Layup,[202696],1610612741.0,CHI,driving,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,2.61,Missed,,,,,,,,,,,,,,,,,,
38,PT08M57.00S,2024-10-27T00:17:47.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,7,7,2024-10-27T00:17:52Z,380000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,,37.0,1.0,0.0,1.0,,,,,,,
39,PT08M57.00S,2024-10-27T00:17:48.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,7,7,2024-10-27T00:18:20Z,390000,False,0.0,0.0,1,left,MISS N. Vučević tip Layup,[202696],1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
40,PT08M57.00S,2024-10-27T00:17:48.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,7,7,2024-10-27T00:20:15Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,39.0,,,,,,,,,,
41,PT08M57.00S,2024-10-27T00:18:17.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,7,7,2024-10-27T00:28:57Z,410000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M36.00S,2024-10-27T00:21:47.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,11.383048620236531,98.2843137254902,1610612741,7,7,2024-10-27T00:22:03Z,440000,False,-241.0,55.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,24.75,Missed,,,,,,,,,,,,,,,,,,
46,PT08M36.00S,2024-10-27T00:21:47.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,7,7,2024-10-27T00:22:03Z,450000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,,,,,45.0,3.0,2.0,1.0,,,,,,,
47,PT08M36.00S,2024-10-27T00:22:00.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630581,5.590000152587891,50.0,1610612741,7,7,2024-10-27T00:22:46Z,460000,False,0.0,0.0,1,left,MISS J. Giddey tip DUNK,[1630581],1610612741.0,CHI,tip,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
48,PT08M36.00S,2024-10-27T00:22:00.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,7,7,2024-10-27T00:23:50Z,470000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,
49,PT08M36.00S,2024-10-27T00:22:04.1Z,1,REGULAR,foul,personal,['2freethrow'],1629632,,,1610612760,7,7,2024-10-27T00:22:16Z,480000,False,,,0,,C. White shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629632, 1628983]",1610612741.0,CHI,shooting,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,1.0,0.0,,,,,,,,Gilgeous-Alexander,1628983.0,,
51,PT08M36.00S,2024-10-27T00:22:17.6Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,7,8,2024-10-27T00:22:17Z,500000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
52,PT08M36.00S,2024-10-27T00:22:19.3Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,7,9,2024-10-27T00:22:19Z,510000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
53,PT08M22.00S,2024-10-27T00:22:34.8Z,1,REGULAR,3pt,Jump Shot,[],1630172,28.86005256241787,19.607843137254903,1610612741,7,9,2024-10-27T00:22:40Z,520000,False,152.0,219.0,1,left,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.64,Missed,,,,,,,,,,,,,,,,,,
54,PT08M20.00S,2024-10-27T00:22:36.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,7,9,2024-10-27T00:22:40Z,530000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,
55,PT08M11.00S,2024-10-27T00:22:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,84.05059132720105,58.333333333333336,1610612760,7,9,2024-10-27T00:22:54Z,540000,False,42.0,97.0,1,right,MISS S. Gilgeous-Alexander 10' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,10.6,Missed,,,,,,,,,,,,,,,,,,
56,PT08M06.00S,2024-10-27T00:22:52.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,7,9,2024-10-27T00:22:54Z,550000,False,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,55.0,4.0,3.0,1.0,,,,,,,
57,PT07M56.00S,2024-10-27T00:23:02.0Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612741,7,9,2024-10-27T00:23:10Z,560000,False,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (1 TO),[203897],1610612741.0,CHI,bad pass,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627534.0,,,,,,,1.0,,,,,,
58,PT07M41.00S,2024-10-27T00:23:24.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631114,83.65637319316689,38.72549019607843,1610612760,7,9,2024-10-27T00:23:32Z,570000,False,-56.0,101.0,1,right,MISS J. Williams 11' driving floating Shot,[1631114],1610612760.0,OKC,driving floating,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,11.58,Missed,,,,,,,,,,,,,,,,,,
59,PT07M38.00S,2024-10-27T00:23:27.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,9,2024-10-27T00:23:32Z,580000,False,,,0,,N. Vučević REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,
60,PT07M33.00S,2024-10-27T00:23:33.0Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,7,9,2024-10-27T00:23:42Z,590000,False,,,0,,C. White bad pass TURNOVER (2 TO),"[1629632, 1628983]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,2.0,Gilgeous-Alexander,1628983.0,,,,
61,PT07M33.00S,2024-10-27T00:23:33.0Z,1,REGULAR,steal,,[],1628983,,,1610612760,7,9,2024-10-27T00:23:36Z,600000,False,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
62,PT07M28.00S,2024-10-27T00:23:38.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641717,94.69448094612353,49.50980392156863,1610612760,7,11,2024-10-27T00:23:47Z,610000,False,-2.0,-3.0,1,right,C. Wallace driving DUNK (2 PTS) (J. Williams 3 AST),"[1641717, 1631114]",1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,0.36,Made,2.0,J. Williams,1631114.0,3.0,,,,,,,,,,,,,,
67,PT07M15.00S,2024-10-27T00:23:50.3Z,1,REGULAR,substitution,out,[],1630581,,,1610612741,7,11,2024-10-27T00:26:55Z,625000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M15.00S,2024-10-27T00:23:50.3Z,1,REGULAR,substitution,in,[],1628366,,,1610612741,7,11,2024-10-27T00:26:55Z,627500,False,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M14.00S,2024-10-27T00:23:51.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,15.850854139290407,51.71568627450981,1610612741,7,11,2024-10-27T00:24:01Z,630000,False,-9.0,96.0,1,left,MISS N. Vučević 9' Jump Shot,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,9.69,Missed,,,,,,,,,,,,,,,,,,
65,PT07M13.00S,2024-10-27T00:23:52.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,7,11,2024-10-27T00:27:44Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,64.0,,,,,,,,,,
69,PT07M04.00S,2024-10-27T00:24:19.3Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612760,7,11,2024-10-27T00:24:26Z,680000,False,,,0,,N. Vučević shooting personal FOUL (1 PF) (Holmgren 2 FT),"[202696, 1631096]",1610612741.0,CHI,shooting,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,1.0,0.0,,,,,,,,Holmgren,1631096.0,,
71,PT07M04.00S,2024-10-27T00:24:49.8Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,7,11,2024-10-27T00:24:49Z,700000,False,,,0,,MISS C. Holmgren Free Throw 1 of 2,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
72,PT07M04.00S,2024-10-27T00:24:49.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,7,11,2024-10-27T00:24:49Z,710000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,
73,PT07M04.00S,2024-10-27T00:24:52.3Z,1,REGULAR,substitution,out,[],1629632,,,1610612760,7,11,2024-10-27T00:24:56Z,720000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M04.00S,2024-10-27T00:24:52.3Z,1,REGULAR,substitution,in,[],1630245,,,1610612760,7,11,2024-10-27T00:24:56Z,730000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M04.00S,2024-10-27T00:25:09.7Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,7,12,2024-10-27T00:25:09Z,740000,False,,,0,,C. Holmgren Free Throw 2 of 2 (3 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
76,PT06M46.00S,2024-10-27T00:25:28.3Z,1,REGULAR,3pt,Jump Shot,[],202696,34.11629434954008,47.794117647058826,1610612741,10,12,2024-10-27T00:25:33Z,750000,False,11.0,268.0,1,left,N. Vučević 26' 3PT  (5 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,26.84,Made,5.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
78,PT06M34.00S,2024-10-27T00:25:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,93.9060446780552,48.28431372549019,1610612760,10,14,2024-10-27T00:25:46Z,770000,False,-9.0,5.0,1,right,C. Wallace driving reverse Layup (4 PTS),[1641717],1610612760.0,OKC,driving reverse,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,0.98,Made,4.0,,,,,,,,,,,,,,,,,
79,PT06M26.00S,2024-10-27T00:25:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630245,28.07161629434954,18.137254901960784,1610612741,10,14,2024-10-27T00:25:56Z,780000,False,159.0,211.0,1,left,MISS A. Dosunmu 26' pullup 3PT,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,26.47,Missed,,,,,,,,,,,,,,,,,,
80,PT06M22.00S,2024-10-27T00:25:52.0Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,10,14,2024-10-27T00:25:56Z,790000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,
81,PT06M09.00S,2024-10-27T00:26:05.3Z,1,REGULAR,3pt,Jump Shot,[],1628983,67.62483574244416,37.5,1610612760,10,14,2024-10-27T00:26:12Z,800000,False,-62.0,252.0,1,right,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,25.94,Missed,,,,,,,,,,,,,,,,,,
82,PT06M05.00S,2024-10-27T00:26:09.3Z,1,REGULAR,rebound,offensive,[],1631114,,,1610612760,10,14,2024-10-27T00:26:12Z,810000,False,,,0,,J. Williams REBOUND (Off:1 Def:0),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,81.0,1.0,0.0,1.0,,,,,,,
