actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
26,PT09M27.00S,2025-01-26T01:13:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,93.51182654402102,52.450980392156865,1610612755,2,4,2025-01-26T01:13:19Z,260000,False,12.0,8.0,1,right,G. Yabusele driving Layup (2 PTS) (T. Maxey 1 AST),"[1627824, 1630178]",1610612755.0,PHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,1.5,Made,,,,,,,2.0,T. Maxey,1630178.0,1.0,,,,,,
28,PT09M14.00S,2025-01-26T01:13:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630581,6.915243101182654,96.07843137254902,1610612741,2,4,2025-01-26T01:13:31Z,280000,False,-230.0,13.0,1,left,MISS J. Giddey 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,23.07,Missed,,,,,,,,,,,,,,,,
29,PT09M12.00S,2025-01-26T01:13:30.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,2,4,2025-01-26T01:13:31Z,290000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,
30,PT09M02.00S,2025-01-26T01:13:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,92.9862023653088,35.78431372549019,1610612755,2,6,2025-01-26T01:13:43Z,300000,False,-71.0,13.0,1,right,T. Maxey 7' fadeaway Jump Shot (2 PTS),[1630178],1610612755.0,PHI,fadeaway,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,7.24,Made,,,,,,,2.0,,,,,,,,,
31,PT08M50.00S,2025-01-26T01:13:51.4Z,1,REGULAR,3pt,Jump Shot,[],1628366,22.552562417871222,8.823529411764707,1610612741,5,6,2025-01-26T01:13:55Z,310000,False,206.0,159.0,1,left,L. Ball 26' 3PT  (3 PTS) (N. Vučević 1 AST),"[1628366, 202696]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,26.05,Made,,,,,,,3.0,N. Vučević,202696.0,1.0,,,,,,
33,PT08M39.00S,2025-01-26T01:14:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,68.54467805519053,64.2156862745098,1610612755,5,6,2025-01-26T01:14:09Z,330000,False,71.0,243.0,1,right,MISS T. Maxey 25' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,25.34,Missed,,,,,,,,,,,,,,,,
34,PT08M36.00S,2025-01-26T01:14:05.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,5,6,2025-01-26T01:14:09Z,340000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT08M15.00S,2025-01-26T01:14:26.3Z,1,REGULAR,2pt,Jump Shot,[],1630581,5.863994743758213,69.6078431372549,1610612741,7,6,2025-01-26T01:14:30Z,350000,False,-98.0,3.0,1,left,J. Giddey 9' fadeaway Jump Shot (2 PTS),[1630581],1610612741.0,CHI,fadeaway,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,9.8,Made,,,,,,,2.0,,,,,,,,,
36,PT07M53.00S,2025-01-26T01:14:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,93.51182654402102,51.71568627450981,1610612755,7,8,2025-01-26T01:16:39Z,360000,False,9.0,8.0,1,right,P. George driving reverse Layup (4 PTS),[202331],1610612755.0,PHI,driving reverse,,,George,P. George,,,,,Restricted Area,0-8 Center,,,1.21,Made,,,,,,,4.0,,,,,,,,,
37,PT07M47.00S,2025-01-26T01:14:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203897,7.046649145860711,47.794117647058826,1610612741,9,8,2025-01-26T01:15:02Z,370000,False,11.0,14.0,1,left,Z. LaVine alley-oop DUNK (2 PTS) (J. Giddey 1 AST),"[203897, 1630581]",1610612741.0,CHI,alley-oop,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,1.76,Made,,,,,,,2.0,J. Giddey,1630581.0,1.0,,,,,,
39,PT07M36.00S,2025-01-26T01:15:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,65.78515111695138,27.696078431372552,1610612755,9,8,2025-01-26T01:15:09Z,390000,False,-112.0,269.0,1,right,MISS T. Maxey 29' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,29.13,Missed,,,,,,,,,,,,,,,,
40,PT07M33.00S,2025-01-26T01:15:08.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,9,8,2025-01-26T01:15:09Z,400000,False,,,0,,N. Vučević REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,
41,PT07M28.00S,2025-01-26T01:15:17.7Z,1,REGULAR,turnover,traveling,[],1630172,,,1610612741,9,8,2025-01-26T01:15:24Z,410000,False,,,0,,P. Williams traveling TURNOVER (1 TO),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Left,202049.0,1.0,,,,,,,,,,,,,,,,,,
42,PT07M28.00S,2025-01-26T01:15:27.9Z,1,REGULAR,substitution,out,[],1628366,,,1610612755,9,8,2025-01-26T01:15:32Z,420000,False,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M28.00S,2025-01-26T01:15:27.9Z,1,REGULAR,substitution,in,[],1630245,,,1610612755,9,8,2025-01-26T01:15:32Z,430000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M19.00S,2025-01-26T01:15:41.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202331,71.69842312746385,22.794117647058822,1610612755,9,11,2025-01-26T01:15:46Z,440000,False,-136.0,214.0,1,right,P. George 25' 3PT  (7 PTS) (T. Maxey 2 AST),"[202331, 1630178]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,25.31,Made,,,,,,,7.0,T. Maxey,1630178.0,2.0,,,,,,
46,PT07M04.00S,2025-01-26T01:15:56.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,11.514454664914586,51.9607843137255,1610612741,11,11,2025-01-26T01:16:01Z,460000,False,-10.0,56.0,1,left,N. Vučević turnaround Hook (4 PTS) (J. Giddey 2 AST),"[202696, 1630581]",1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,5.66,Made,,,,,,,4.0,J. Giddey,1630581.0,2.0,,,,,,
48,PT06M51.00S,2025-01-26T01:16:08.7Z,1,REGULAR,3pt,Jump Shot,[],201569,74.45795006570303,81.37254901960785,1610612755,11,11,2025-01-26T01:19:10Z,480000,False,157.0,188.0,1,right,MISS E. Gordon 24' 3PT,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,24.46,Missed,,,,,,,,,,,,,,,,
49,PT06M48.00S,2025-01-26T01:16:11.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,11,11,2025-01-26T01:16:20Z,490000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,
50,PT06M39.00S,2025-01-26T01:16:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,6.389618922470433,49.01960784313725,1610612741,13,11,2025-01-26T01:16:27Z,500000,False,5.0,8.0,1,left,P. Williams driving finger roll Layup (2 PTS),[1630172],1610612741.0,CHI,driving finger roll,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,0.9,Made,,,,,,,2.0,,,,,,,,,
51,PT06M39.00S,2025-01-26T01:16:27.0Z,1,REGULAR,foul,personal,['1freethrow'],1626162,,,1610612741,13,11,2025-01-26T01:19:19Z,510000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Williams 1 FT),"[1626162, 1630172]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,202049.0,,,,,,,,,,,,,,1.0,0.0,Williams,1630172.0,,
53,PT06M39.00S,2025-01-26T01:16:42.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,13,11,2025-01-26T01:16:42Z,530000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M39.00S,2025-01-26T01:19:44.4Z,1,REGULAR,freethrow,1 of 1,[],1630172,,,1610612741,13,11,2025-01-26T01:19:47Z,540000,False,,,0,,MISS P. Williams Free Throw 1 of 1,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
55,PT06M36.00S,2025-01-26T01:19:47.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,13,11,2025-01-26T01:19:47Z,550000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,
56,PT06M22.00S,2025-01-26T01:20:00.1Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,13,11,2025-01-26T01:20:03Z,560000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 202696]",1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,Vučević,202696.0
57,PT06M22.00S,2025-01-26T01:20:00.1Z,1,REGULAR,steal,,[],202696,,,1610612741,13,11,2025-01-26T01:20:02Z,570000,False,,,0,,N. Vučević STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M14.00S,2025-01-26T01:20:11.1Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612741,13,11,2025-01-26T01:20:16Z,580000,False,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (2 TO),[1630581],1610612741.0,CHI,bad pass,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,202049.0,2.0,,,,,,,,,,,,,,,,,,
59,PT05M54.00S,2025-01-26T01:20:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201569,93.77463863337714,50.245098039215684,1610612755,13,13,2025-01-26T01:20:42Z,590000,False,1.0,6.0,1,right,E. Gordon driving reverse Layup (2 PTS),[201569],1610612755.0,PHI,driving reverse,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,,,0.61,Made,,,,,,,2.0,,,,,,,,,
60,PT05M45.00S,2025-01-26T01:20:45.2Z,1,REGULAR,3pt,Jump Shot,[],203897,6.783837056504599,95.09803921568627,1610612741,13,13,2025-01-26T01:20:48Z,600000,False,-225.0,11.0,1,left,MISS Z. LaVine 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Left Corner 3,24+ Left,,,22.58,Missed,,,,,,,,,,,,,,,,
61,PT05M42.00S,2025-01-26T01:20:48.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,13,13,2025-01-26T01:20:48Z,610000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Left Corner 3,24+ Left,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,
62,PT05M32.00S,2025-01-26T01:20:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,83.39356110381078,49.01960784313725,1610612755,13,13,2025-01-26T01:21:22Z,620000,False,-5.0,104.0,1,right,MISS K. Oubre Jr. 10' pullup Shot,[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,10.37,Missed,,,,,,,,,,,,,,,,
63,PT05M30.00S,2025-01-26T01:20:58.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,13,13,2025-01-26T01:21:02Z,630000,False,,,0,,N. Vučević REBOUND (Off:0 Def:4),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,,,,,62.0,4.0,4.0,0.0,,,,,,,,,,,,
64,PT05M18.00S,2025-01-26T01:21:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.783837056504599,50.98039215686274,1610612741,15,13,2025-01-26T01:21:17Z,640000,False,-5.0,11.0,1,left,J. Giddey cutting finger roll Layup (4 PTS) (Z. LaVine 2 AST),"[1630581, 203897]",1610612741.0,CHI,cutting finger roll,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,1.23,Made,,,,,,,4.0,Z. LaVine,203897.0,2.0,,,,,,
66,PT05M04.00S,2025-01-26T01:21:25.7Z,1,REGULAR,3pt,Jump Shot,[],202331,70.25295663600527,23.52941176470588,1610612755,15,13,2025-01-26T01:21:30Z,660000,False,-132.0,227.0,1,right,MISS P. George 26' pullup 3PT,[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,26.29,Missed,,,,,,,,,,,,,,,,
67,PT05M00.00S,2025-01-26T01:21:29.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,15,13,2025-01-26T01:21:30Z,670000,False,,,0,,N. Vučević REBOUND (Off:0 Def:5),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,66.0,5.0,5.0,0.0,,,,,,,,,,,,
68,PT04M56.00S,2025-01-26T01:21:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,6.258212877792378,44.6078431372549,1610612741,15,13,2025-01-26T01:21:37Z,680000,False,27.0,6.0,1,left,MISS A. Dosunmu running Layup,[1630245],1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,2.77,Missed,,,,,,,,,,,,,,,,
69,PT04M55.00S,2025-01-26T01:21:34.5Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,15,13,2025-01-26T01:21:37Z,690000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:3),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,
71,PT04M49.00S,2025-01-26T01:21:44.7Z,1,REGULAR,substitution,out,[],1630581,,,1610612755,15,13,2025-01-26T01:22:01Z,710000,False,,,0,,SUB out: J. Giddey,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M49.00S,2025-01-26T01:21:44.7Z,1,REGULAR,substitution,out,[],201569,,,1610612755,15,13,2025-01-26T01:22:01Z,720000,False,,,0,,SUB out: E. Gordon,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M49.00S,2025-01-26T01:21:44.7Z,1,REGULAR,substitution,out,[],1627824,,,1610612755,15,13,2025-01-26T01:22:01Z,730000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M49.00S,2025-01-26T01:21:44.7Z,1,REGULAR,substitution,in,[],1631207,,,1610612755,15,13,2025-01-26T01:22:01Z,740000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M49.00S,2025-01-26T01:21:44.7Z,1,REGULAR,substitution,in,[],1642348,,,1610612755,15,13,2025-01-26T01:22:01Z,750000,False,,,0,,SUB in: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M49.00S,2025-01-26T01:21:44.7Z,1,REGULAR,substitution,in,[],1641737,,,1610612755,15,13,2025-01-26T01:22:01Z,760000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M42.00S,2025-01-26T01:22:08.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,70.38436268068331,70.34313725490196,1610612755,15,16,2025-01-26T01:22:12Z,770000,False,102.0,226.0,1,right,T. Maxey 24' 3PT  (5 PTS) (P. George 1 AST),"[1630178, 202331]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,24.77,Made,,,,,,,5.0,P. George,202331.0,1.0,,,,,,
79,PT04M28.00S,2025-01-26T01:22:22.2Z,1,REGULAR,3pt,Jump Shot,[],1630172,27.54599211563732,78.92156862745098,1610612741,15,16,2025-01-26T01:22:26Z,790000,False,-145.0,206.0,1,left,MISS P. Williams 25' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,25.2,Missed,,,,,,,,,,,,,,,,
80,PT04M24.00S,2025-01-26T01:22:26.2Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,15,16,2025-01-26T01:22:26Z,800000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Above the Break 3,24+ Left Center,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,
81,PT04M15.00S,2025-01-26T01:22:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,95.0886990801577,50.98039215686274,1610612755,15,18,2025-01-26T01:22:39Z,810000,False,5.0,-6.0,1,right,T. Maxey driving Layup (7 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,0.8,Made,,,,,,,7.0,,,,,,,,,
82,PT03M59.00S,2025-01-26T01:22:50.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,7.5722733245729295,47.05882352941176,1610612741,17,18,2025-01-26T01:22:55Z,820000,False,15.0,19.0,1,left,N. Vučević Hook (6 PTS) (P. Williams 1 AST),"[202696, 1630172]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,2.38,Made,,,,,,,6.0,P. Williams,1630172.0,1.0,,,,,,
