actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
18,PT10M33.00S,2021-11-03T23:11:54.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,6,0,2021-11-03T23:11:57Z,180000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,17.0,,,,,1.0,1.0,0.0,,,,,,,,,
19,PT10M24.00S,2021-11-03T23:12:04.6Z,1,REGULAR,2pt,Jump Shot,[],1627747,86.94152431011827,28.921568627450984,1610612754,6,0,2021-11-03T23:12:09Z,190000,-105.0,70.0,1,right,MISS C. LeVert 12' fadeaway Shot,[1627747],1610612754.0,IND,fadeaway,,,LeVert,C. LeVert,,,,,12.66,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2021-11-03T23:12:08.6Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,6,0,2021-11-03T23:12:09Z,200000,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,19.0,,,,,2.0,1.0,1.0,,,,,,,,,
21,PT10M19.00S,2021-11-03T23:12:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,92.32917214191852,47.549019607843135,1610612754,8,0,2021-11-03T23:12:20Z,210000,-12.0,20.0,1,right,M. Turner putback Layup (8 PTS),[1626167],1610612754.0,IND,putback,,,Turner,M. Turner,,,,,2.31,Made,,,,8.0,,,,,,,,,,,,,,,
22,PT10M19.00S,2021-11-03T23:12:17.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612752,8,0,2021-11-03T23:12:33Z,220000,,,0,,TEAM delay-of-game VIOLATION,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,202049.0,,,,,,,,
23,PT10M01.00S,2021-11-03T23:12:34.7Z,1,REGULAR,2pt,Jump Shot,[],1629628,8.754927726675426,30.14705882352941,1610612752,8,0,2021-11-03T23:12:41Z,230000,99.0,30.0,1,left,MISS R. Barrett 10' fadeaway Shot - blocked,"[1629628, 1627747]",1610612752.0,NYK,fadeaway,,,Barrett,R. Barrett,,,,,10.37,Missed,LeVert,1627747.0,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2021-11-03T23:12:34.7Z,1,REGULAR,block,,[],1627747,,,1610612752,8,0,2021-11-03T23:12:38Z,240000,,,0,,C. LeVert BLOCK (1 BLK),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2021-11-03T23:12:38.7Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,8,0,2021-11-03T23:12:41Z,250000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,23.0,,,,,1.0,1.0,0.0,,,,,,,,,
26,PT09M55.00S,2021-11-03T23:12:40.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630537,74.58935611038108,12.5,1610612754,11,0,2021-11-03T23:13:24Z,260000,-188.0,186.0,1,right,C. Duarte 26' 3PT running pullup (3 PTS) (C. LeVert 2 AST),"[1630537, 1627747]",1610612754.0,IND,running pullup,,,Duarte,C. Duarte,,,,,26.44,Made,,,,3.0,C. LeVert,1627747.0,2.0,,,,,,,,,,,,
28,PT09M45.00S,2021-11-03T23:12:54.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,11,0,2021-11-03T23:12:54Z,280000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M40.00S,2021-11-03T23:15:54.5Z,1,REGULAR,2pt,Jump Shot,[],203095,27.151773981603156,50.49019607843137,1610612752,11,0,2021-11-03T23:16:00Z,290000,-2.0,203.0,1,left,MISS E. Fournier 20' step back Shot,[203095],1610612752.0,NYK,step back,,,Fournier,E. Fournier,,,,,20.27,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M36.00S,2021-11-03T23:15:58.4Z,1,REGULAR,rebound,offensive,[],203095,,,1610612752,11,0,2021-11-03T23:15:58Z,300000,,,0,,E. Fournier REBOUND (Off:1 Def:0),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,29.0,,,,,1.0,0.0,1.0,,,,,,,,,
31,PT09M34.00S,2021-11-03T23:16:00.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,24.917871222076215,86.76470588235294,1610612752,11,3,2021-11-03T23:16:04Z,310000,-184.0,182.0,1,left,R. Barrett 25' 3PT  (3 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.85,Made,,,,3.0,E. Fournier,203095.0,1.0,,,,,,,,,,,,
33,PT09M13.00S,2021-11-03T23:16:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,92.72339027595268,54.65686274509803,1610612754,13,3,2021-11-03T23:16:27Z,330000,23.0,16.0,1,right,M. Brogdon driving Layup (2 PTS) (M. Turner 1 AST),"[1627763, 1626167]",1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,2.82,Made,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,
35,PT09M13.00S,2021-11-03T23:16:24.9Z,1,REGULAR,foul,personal,['1freethrow'],202689,,,1610612754,13,3,2021-11-03T23:16:32Z,350000,,,0,,K. Walker shooting personal FOUL (1 PF) (Brogdon 1 FT),"[202689, 1627763]",1610612752.0,NYK,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Brogdon,1627763.0,,,,
37,PT09M13.00S,2021-11-03T23:16:46.3Z,1,REGULAR,freethrow,1 of 1,[],1627763,,,1610612754,14,3,2021-11-03T23:16:46Z,370000,,,0,,M. Brogdon Free Throw 1 of 1 (3 PTS),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,Made,,,,3.0,,,,,,,,,,,,,,,
38,PT08M58.00S,2021-11-03T23:17:03.2Z,1,REGULAR,2pt,Jump Shot,[],202689,23.73521681997372,35.049019607843135,1610612752,14,3,2021-11-03T23:17:08Z,380000,75.0,171.0,1,left,MISS K. Walker 18' pullup Shot,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,18.63,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M54.00S,2021-11-03T23:17:07.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,14,3,2021-11-03T23:17:08Z,390000,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,38.0,,,,,3.0,2.0,1.0,,,,,,,,,
40,PT08M45.00S,2021-11-03T23:17:15.9Z,1,REGULAR,2pt,Jump Shot,[],1627763,78.0059132720105,48.28431372549019,1610612754,14,3,2021-11-03T23:17:20Z,400000,-9.0,154.0,1,right,MISS M. Brogdon 15' driving floating bank Shot,[1627763],1610612754.0,IND,driving floating bank,,,Brogdon,M. Brogdon,,,,,15.44,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2021-11-03T23:17:18.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,14,3,2021-11-03T23:17:20Z,410000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,40.0,,,,,1.0,1.0,0.0,,,,,,,,,
42,PT08M34.00S,2021-11-03T23:17:26.4Z,1,REGULAR,3pt,Jump Shot,[],203095,18.2161629434954,94.6078431372549,1610612752,14,6,2021-11-03T23:17:32Z,420000,-223.0,119.0,1,left,E. Fournier 25' 3PT pullup (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.26,Made,,,,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,
44,PT08M17.00S,2021-11-03T23:17:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630537,84.83902759526939,34.80392156862745,1610612754,14,6,2021-11-03T23:17:47Z,440000,-76.0,90.0,1,right,MISS C. Duarte 11' fadeaway Shot - blocked,"[1630537, 1629011]",1610612754.0,IND,fadeaway,,,Duarte,C. Duarte,,,,,11.78,Missed,Robinson,1629011.0,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2021-11-03T23:17:43.2Z,1,REGULAR,block,,[],1629011,,,1610612754,14,6,2021-11-03T23:17:46Z,450000,,,0,,M. Robinson BLOCK (2 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2021-11-03T23:17:45.2Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,14,6,2021-11-03T23:17:47Z,460000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,44.0,,,,,1.0,1.0,0.0,,,,,,,,,
47,PT08M11.00S,2021-11-03T23:17:50.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,10.200394218134035,95.34313725490196,1610612752,14,6,2021-11-03T23:22:09Z,470000,-227.0,43.0,1,left,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.08,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2021-11-03T23:17:53.1Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,14,6,2021-11-03T23:22:09Z,480000,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,47.0,,,,,2.0,1.0,1.0,,,,,,,,,
49,PT07M56.00S,2021-11-03T23:18:04.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203095,7.835085413929041,3.9215686274509802,1610612752,14,6,2021-11-03T23:18:08Z,490000,230.0,21.0,1,left,MISS E. Fournier step back 3PT,[203095],1610612752.0,NYK,step back,,,Fournier,E. Fournier,,,,,23.14,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M53.00S,2021-11-03T23:18:07.5Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,14,6,2021-11-03T23:18:08Z,500000,,,0,,M. Brogdon REBOUND (Off:0 Def:2),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,49.0,,,,,2.0,2.0,0.0,,,,,,,,,
51,PT07M48.00S,2021-11-03T23:18:15.7Z,1,REGULAR,foul,offensive,[],1627734,,,1610612754,14,6,2021-11-03T23:18:20Z,510000,,,0,,D. Sabonis offensive FOUL (1 PF),"[1627734, 1629628]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,1363.0,1.0,0.0,Barrett,1629628.0,,,,
53,PT07M48.00S,2021-11-03T23:18:15.7Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612754,14,6,2021-11-03T23:18:15Z,530000,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,1363.0,,,,,1.0,,,
54,PT07M26.00S,2021-11-03T23:18:54.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202689,26.10052562417871,82.35294117647058,1610612752,14,6,2021-11-03T23:18:57Z,540000,-162.0,193.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M24.00S,2021-11-03T23:18:56.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,14,6,2021-11-03T23:18:57Z,550000,,,0,,M. Turner REBOUND (Off:1 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,54.0,,,,,4.0,3.0,1.0,,,,,,,,,
56,PT07M13.00S,2021-11-03T23:19:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.72339027595268,47.30392156862745,1610612754,16,6,2021-11-03T23:19:14Z,560000,-13.0,16.0,1,right,D. Sabonis Layup (2 PTS) (C. LeVert 3 AST),"[1627734, 1627747]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.09,Made,,,,2.0,C. LeVert,1627747.0,3.0,,,,,,,,,,,,
58,PT07M13.00S,2021-11-03T23:19:11.7Z,1,REGULAR,foul,personal,['1freethrow'],203944,,,1610612754,16,6,2021-11-03T23:19:20Z,580000,,,0,,J. Randle shooting personal FOUL (1 PF) (Sabonis 1 FT),"[203944, 1627734]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1363.0,1.0,0.0,Sabonis,1627734.0,,,,
60,PT07M13.00S,2021-11-03T23:19:33.7Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612754,17,6,2021-11-03T23:19:33Z,600000,,,0,,D. Sabonis Free Throw 1 of 1 (3 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,,,3.0,,,,,,,,,,,,,,,
61,PT06M55.00S,2021-11-03T23:19:53.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203944,7.046649145860711,49.26470588235294,1610612752,17,8,2021-11-03T23:19:58Z,610000,4.0,14.0,1,left,J. Randle driving DUNK (2 PTS) (E. Fournier 2 AST),"[203944, 203095]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,1.42,Made,,,,2.0,E. Fournier,203095.0,2.0,,,,,,,,,,,,
63,PT06M46.00S,2021-11-03T23:20:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,90.88370565045992,53.67647058823529,1610612754,17,8,2021-11-03T23:20:07Z,630000,18.0,33.0,1,right,MISS C. LeVert Layup - blocked,"[1627747, 1629011]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,3.8,Missed,Robinson,1629011.0,,,,,,,,,,,,,,,,,
64,PT06M46.00S,2021-11-03T23:20:01.5Z,1,REGULAR,block,,[],1629011,,,1610612754,17,8,2021-11-03T23:20:03Z,640000,,,0,,M. Robinson BLOCK (3 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M44.00S,2021-11-03T23:20:03.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,17,8,2021-11-03T23:20:07Z,650000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,63.0,,,,,2.0,2.0,0.0,,,,,,,,,
66,PT06M41.00S,2021-11-03T23:20:06.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203095,30.042706964520367,25.49019607843137,1610612752,17,8,2021-11-03T23:20:12Z,660000,123.0,230.0,1,left,MISS E. Fournier 26' step back 3PT,[203095],1610612752.0,NYK,step back,,,Fournier,E. Fournier,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M38.00S,2021-11-03T23:20:09.6Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,17,8,2021-11-03T23:20:12Z,670000,,,0,,M. Brogdon REBOUND (Off:0 Def:3),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,66.0,,,,,3.0,3.0,0.0,,,,,,,,,
68,PT06M28.00S,2021-11-03T23:20:22.4Z,1,REGULAR,3pt,Jump Shot,[],1627763,92.85479632063075,3.431372549019608,1610612754,17,8,2021-11-03T23:20:27Z,680000,-233.0,15.0,1,right,MISS M. Brogdon 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,23.33,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M23.00S,2021-11-03T23:20:27.4Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,17,8,2021-11-03T23:20:27Z,690000,,,0,,M. Robinson REBOUND (Off:0 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,68.0,,,,,3.0,3.0,0.0,,,,,,,,,
70,PT06M16.00S,2021-11-03T23:20:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629628,26.363337713534822,82.35294117647058,1610612752,17,8,2021-11-03T23:20:38Z,700000,-162.0,195.0,1,left,MISS R. Barrett 25' pullup 3PT,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,25.36,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M12.00S,2021-11-03T23:20:37.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,17,8,2021-11-03T23:20:38Z,710000,,,0,,M. Turner REBOUND (Off:1 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,70.0,,,,,5.0,4.0,1.0,,,,,,,,,
72,PT05M58.00S,2021-11-03T23:20:51.1Z,1,REGULAR,3pt,Jump Shot,[],1626167,92.9862023653088,4.411764705882353,1610612754,17,8,2021-11-03T23:20:57Z,720000,-228.0,13.0,1,right,MISS M. Turner 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,22.83,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M55.00S,2021-11-03T23:20:54.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,17,8,2021-11-03T23:20:57Z,730000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,
74,PT05M55.00S,2021-11-03T23:20:57.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,17,8,2021-11-03T23:20:57Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2021-11-03T23:20:57.5Z,1,REGULAR,substitution,out,[],1627734,,,1610612752,17,8,2021-11-03T23:21:06Z,750000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2021-11-03T23:20:57.5Z,1,REGULAR,substitution,out,[],1627747,,,1610612752,17,8,2021-11-03T23:21:06Z,760000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2021-11-03T23:20:57.5Z,1,REGULAR,substitution,in,[],1628470,,,1610612752,17,8,2021-11-03T23:21:06Z,770000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2021-11-03T23:20:57.5Z,1,REGULAR,substitution,in,[],203200,,,1610612752,17,8,2021-11-03T23:21:06Z,780000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M36.00S,2021-11-03T23:21:29.4Z,1,REGULAR,2pt,Jump Shot,[],203944,20.318659658344284,70.34313725490196,1610612752,17,10,2021-11-03T23:21:34Z,790000,-102.0,138.0,1,left,J. Randle 17' pullup Jump Shot (4 PTS) (K. Walker 1 AST),"[203944, 202689]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,17.18,Made,,,,4.0,K. Walker,202689.0,1.0,,,,,,,,,,,,
81,PT05M22.00S,2021-11-03T23:21:43.1Z,1,REGULAR,3pt,Jump Shot,[],1630537,71.43561103810775,18.627450980392158,1610612754,17,10,2021-11-03T23:21:48Z,810000,-157.0,216.0,1,right,MISS C. Duarte 26' pullup 3PT,[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,26.7,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M20.00S,2021-11-03T23:21:45.1Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,17,10,2021-11-03T23:21:48Z,820000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,81.0,,,,,1.0,1.0,0.0,,,,,,,,,
83,PT05M08.00S,2021-11-03T23:21:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,5.863994743758213,54.41176470588235,1610612752,17,12,2021-11-03T23:22:02Z,830000,-22.0,3.0,1,left,K. Walker driving finger roll Layup (2 PTS) (J. Randle 2 AST),"[202689, 203944]",1610612752.0,NYK,driving finger roll,,,Walker,K. Walker,,,,,2.23,Made,,,,2.0,J. Randle,203944.0,2.0,,,,,,,,,,,,
85,PT05M07.00S,2021-11-03T23:22:01.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,12,2021-11-03T23:22:02Z,850000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M07.00S,2021-11-03T23:24:24.7Z,1,REGULAR,substitution,out,[],1630537,,,1610612754,17,12,2021-11-03T23:24:50Z,860000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M07.00S,2021-11-03T23:24:24.7Z,1,REGULAR,substitution,in,[],204456,,,1610612754,17,12,2021-11-03T23:24:50Z,870000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M53.00S,2021-11-03T23:25:13.2Z,1,REGULAR,3pt,Jump Shot,[],1628470,94.43166885676742,3.1862745098039214,1610612754,20,12,2021-11-03T23:25:17Z,880000,-234.0,0.0,1,right,T. Craig 3PT  (3 PTS) (T. McConnell 1 AST),"[1628470, 204456]",1610612754.0,IND,,,,Craig,T. Craig,,,,,23.41,Made,,,,3.0,T. McConnell,204456.0,1.0,,,,,,,,,,,,
90,PT04M32.00S,2021-11-03T23:25:34.0Z,1,REGULAR,3pt,Jump Shot,[],202689,6.1268068331143235,4.6568627450980395,1610612752,20,12,2021-11-03T23:25:38Z,900000,227.0,5.0,1,left,MISS K. Walker 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
