actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
28,PT09M20.00S,2022-02-27T22:13:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.11760840998686,46.81372549019608,1610612738,7,9,2022-02-27T22:13:43Z,280000,-16.0,12.0,1,right,R. Williams III Layup (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,2.0,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M13.00S,2022-02-27T22:13:49.1Z,1,REGULAR,foul,personal,[],1628369,,,1610612754,7,9,2022-02-27T22:13:54Z,290000,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 1630543]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,1155.0,2.0,0.0,Jackson,1630543.0,,,,,
31,PT09M13.00S,2022-02-27T22:13:56.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612754,7,9,2022-02-27T22:14:04Z,310000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M13.00S,2022-02-27T22:13:56.6Z,1,REGULAR,substitution,in,[],1628401,,,1610612754,7,9,2022-02-27T22:14:04Z,320000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M09.00S,2022-02-27T22:14:19.7Z,1,REGULAR,foul,offensive,[],1630543,,,1610612754,7,9,2022-02-27T22:14:26Z,330000,,,0,,I. Jackson charge offensive FOUL (1 PF),"[1630543, 1628401]",1610612754.0,IND,charge,,,Jackson,I. Jackson,,,,,,,,,,,,,,,201640.0,1.0,0.0,White,1628401.0,,,,,
35,PT09M09.00S,2022-02-27T22:14:19.7Z,1,REGULAR,turnover,offensive foul,[],1630543,,,1610612754,7,9,2022-02-27T22:14:19Z,350000,,,0,,I. Jackson offensive foul TURNOVER (1 TO),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,201640.0,,,,,1.0,,,,
36,PT08M55.00S,2022-02-27T22:14:46.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,80.3712220762155,5.147058823529411,1610612738,7,9,2022-02-27T22:14:50Z,360000,-224.0,132.0,1,right,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2022-02-27T22:14:49.6Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,7,9,2022-02-27T22:14:50Z,370000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT08M48.00S,2022-02-27T22:14:53.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627759,67.49342969776609,43.872549019607845,1610612738,7,9,2022-02-27T22:14:56Z,380000,-31.0,253.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.49,Missed,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-02-27T22:14:56.2Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,7,9,2022-02-27T22:14:56Z,390000,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M40.00S,2022-02-27T22:15:00.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,32.933639947437584,73.2843137254902,1610612754,10,9,2022-02-27T22:15:05Z,400000,-116.0,257.0,1,left,T. Haliburton 28' 3PT running pullup (3 PTS),[1630169],1610612754.0,IND,running pullup,,,Haliburton,T. Haliburton,,,,,28.22,Made,,,,,3.0,,,,,,,,,,,,,
41,PT08M22.00S,2022-02-27T22:15:18.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,86.41590013140605,56.127450980392155,1610612738,10,11,2022-02-27T22:15:22Z,410000,31.0,75.0,1,right,D. White 8' pullup Jump Shot (2 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,8.12,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M09.00S,2022-02-27T22:15:31.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,10.5946123521682,61.274509803921575,1610612754,12,11,2022-02-27T22:15:36Z,420000,-56.0,47.0,1,left,B. Hield 7' fadeaway bank Jump Shot (2 PTS),[1627741],1610612754.0,IND,fadeaway bank,,,Hield,B. Hield,,,,,7.35,Made,,,,,2.0,,,,,,,,,,,,,
43,PT07M56.00S,2022-02-27T22:15:46.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,89.70105124835742,26.47058823529412,1610612738,12,13,2022-02-27T22:15:53Z,430000,-118.0,44.0,1,right,J. Brown 12' turnaround fadeaway Jump Shot (4 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,12.57,Made,,,,,4.0,,,,,,,,,,,,,
44,PT07M46.00S,2022-02-27T22:15:54.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,32.802233902759525,53.431372549019606,1610612754,15,13,2022-02-27T22:16:00Z,440000,-17.0,256.0,1,left,T. Haliburton 25' 3PT pullup (6 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,25.64,Made,,,,,6.0,,,,,,,,,,,,,
45,PT07M25.00S,2022-02-27T22:16:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,92.59198423127464,55.14705882352941,1610612738,15,13,2022-02-27T22:16:19Z,450000,26.0,17.0,1,right,MISS M. Smart cutting Layup - blocked,"[203935, 1630543]",1610612738.0,BOS,cutting,,,Smart,M. Smart,,,,,3.09,Missed,,,,,,,,,,,,,,,Jackson,1630543.0,,
46,PT07M25.00S,2022-02-27T22:16:15.3Z,1,REGULAR,block,,[],1630543,,,1610612738,15,13,2022-02-27T22:16:17Z,460000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M23.00S,2022-02-27T22:16:17.3Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,15,13,2022-02-27T22:16:19Z,470000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M20.00S,2022-02-27T22:16:21.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,27.020367936925098,84.55882352941177,1610612754,18,13,2022-02-27T22:16:27Z,480000,-173.0,201.0,1,left,M. Brogdon 26' 3PT running pullup (8 PTS),[1627763],1610612754.0,IND,running pullup,,,Brogdon,M. Brogdon,,,,,26.54,Made,,,,,8.0,,,,,,,,,,,,,
49,PT07M18.00S,2022-02-27T22:16:28.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,18,13,2022-02-27T22:16:28Z,490000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M18.00S,2022-02-27T22:18:58.5Z,1,REGULAR,substitution,out,[],1630169,,,1610612738,18,13,2022-02-27T22:19:13Z,500000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M18.00S,2022-02-27T22:18:58.5Z,1,REGULAR,substitution,out,[],1630543,,,1610612738,18,13,2022-02-27T22:19:13Z,510000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2022-02-27T22:18:58.5Z,1,REGULAR,substitution,in,[],1630537,,,1610612738,18,13,2022-02-27T22:19:13Z,520000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M18.00S,2022-02-27T22:18:58.5Z,1,REGULAR,substitution,in,[],1629048,,,1610612738,18,13,2022-02-27T22:19:13Z,530000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M08.00S,2022-02-27T22:19:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612738,18,13,2022-02-27T22:19:41Z,540000,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Williams 2 FT),"[1629048, 1629684]",1610612754.0,IND,shooting,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,201640.0,1.0,0.0,Williams,1629684.0,,,,,
56,PT07M08.00S,2022-02-27T22:20:01.5Z,1,REGULAR,freethrow,1 of 2,[],1629684,,,1610612738,18,14,2022-02-27T22:20:01Z,560000,,,0,,G. Williams Free Throw 1 of 2 (1 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
57,PT07M08.00S,2022-02-27T22:20:14.4Z,1,REGULAR,freethrow,2 of 2,[],1629684,,,1610612738,18,15,2022-02-27T22:20:14Z,570000,,,0,,G. Williams Free Throw 2 of 2 (2 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
58,PT07M00.00S,2022-02-27T22:20:24.0Z,1,REGULAR,turnover,backcourt,[],1630537,,,1610612754,18,15,2022-02-27T22:20:29Z,580000,,,0,,C. Duarte backcourt TURNOVER (1 TO),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,1626300.0,,,,,1.0,,,,
59,PT06M48.00S,2022-02-27T22:20:48.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,82.34231274638634,39.950980392156865,1610612738,18,15,2022-02-27T22:20:53Z,590000,-50.0,113.0,1,right,MISS J. Brown 12' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,12.41,Missed,,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2022-02-27T22:20:52.6Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612754,18,15,2022-02-27T22:20:53Z,600000,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT06M35.00S,2022-02-27T22:21:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,14.668199737187912,49.754901960784316,1610612754,20,15,2022-02-27T22:21:06Z,610000,1.0,85.0,1,left,M. Brogdon 8' floating Jump Shot (10 PTS),[1627763],1610612754.0,IND,floating,,,Brogdon,M. Brogdon,,,,,8.54,Made,,,,,10.0,,,,,,,,,,,,,
62,PT06M20.00S,2022-02-27T22:21:15.6Z,1,REGULAR,3pt,Jump Shot,[],1628401,83.78777923784494,4.411764705882353,1610612738,20,18,2022-02-27T22:21:19Z,620000,-228.0,100.0,1,right,D. White 24' 3PT  (5 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,24.88,Made,,,,,5.0,J. Brown,1627759.0,1.0,,,,,,,,,,
64,PT06M01.00S,2022-02-27T22:21:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,7.046649145860711,57.107843137254896,1610612754,20,18,2022-02-27T22:21:39Z,640000,-36.0,14.0,1,left,MISS C. Duarte driving finger roll Layup - blocked,"[1630537, 1629057]",1610612754.0,IND,driving finger roll,,,Duarte,C. Duarte,,,,,3.81,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
65,PT06M01.00S,2022-02-27T22:21:34.6Z,1,REGULAR,block,,[],1629057,,,1610612754,20,18,2022-02-27T22:21:36Z,650000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M01.00S,2022-02-27T22:21:34.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,20,18,2022-02-27T22:21:39Z,660000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,
67,PT06M01.00S,2022-02-27T22:21:38.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,20,18,2022-02-27T22:21:38Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M01.00S,2022-02-27T22:21:40.1Z,1,REGULAR,substitution,out,[],1629052,,,1610612754,20,18,2022-02-27T22:21:46Z,680000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M01.00S,2022-02-27T22:21:40.1Z,1,REGULAR,substitution,in,[],1630188,,,1610612754,20,18,2022-02-27T22:21:46Z,690000,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M58.00S,2022-02-27T22:21:58.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,10.463206307490145,47.30392156862745,1610612754,20,18,2022-02-27T22:22:01Z,700000,13.0,46.0,1,left,MISS G. Bitadze Layup - blocked,"[1629048, 1628401]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,4.78,Missed,,,,,,,,,,,,,,,White,1628401.0,,
71,PT05M58.00S,2022-02-27T22:21:58.3Z,1,REGULAR,block,,[],1628401,,,1610612754,20,18,2022-02-27T22:22:00Z,710000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M56.00S,2022-02-27T22:22:00.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,20,18,2022-02-27T22:22:01Z,720000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,,,
73,PT05M50.00S,2022-02-27T22:22:06.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,67.09921156373193,39.21568627450981,1610612738,20,18,2022-02-27T22:22:12Z,730000,-54.0,257.0,1,right,MISS D. White 26' running pullup 3PT,[1628401],1610612738.0,BOS,running pullup,,,White,D. White,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,
74,PT05M47.00S,2022-02-27T22:22:09.7Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,20,18,2022-02-27T22:22:22Z,740000,,,0,,B. Hield REBOUND (Off:0 Def:2),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,
76,PT05M40.00S,2022-02-27T22:22:16.7Z,1,REGULAR,2pt,Jump Shot,[],1630537,17.559132720105126,33.33333333333333,1610612754,22,18,2022-02-27T22:22:24Z,760000,83.0,113.0,1,left,C. Duarte 14' pullup Jump Shot (2 PTS) (B. Hield 1 AST),"[1630537, 1627741]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,14.01,Made,,,,,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,
78,PT05M25.00S,2022-02-27T22:22:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.9862023653088,48.03921568627451,1610612738,22,20,2022-02-27T22:22:34Z,780000,-10.0,13.0,1,right,J. Brown cutting Layup (6 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.66,Made,,,,,6.0,R. Williams III,1629057.0,1.0,,,,,,,,,,
80,PT05M08.00S,2022-02-27T22:22:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612754,22,20,2022-02-27T22:22:56Z,800000,,,0,,J. Brown shooting personal FOUL (1 PF) (Duarte 2 FT),"[1627759, 1630537]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,,,,,,,,,,,201640.0,1.0,0.0,Duarte,1630537.0,,,,,
82,PT05M08.00S,2022-02-27T22:23:14.7Z,1,REGULAR,freethrow,1 of 2,[],1630537,,,1610612754,23,20,2022-02-27T22:23:14Z,820000,,,0,,C. Duarte Free Throw 1 of 2 (3 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
83,PT05M08.00S,2022-02-27T22:23:15.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612754,23,20,2022-02-27T22:23:19Z,830000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M08.00S,2022-02-27T22:23:15.9Z,1,REGULAR,substitution,in,[],1628464,,,1610612754,23,20,2022-02-27T22:23:19Z,840000,,,0,,SUB in: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M08.00S,2022-02-27T22:23:20.6Z,1,REGULAR,substitution,out,[],1627763,,,1610612754,23,20,2022-02-27T22:23:24Z,850000,,,0,,SUB out: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2022-02-27T22:23:20.6Z,1,REGULAR,substitution,in,[],1630169,,,1610612754,23,20,2022-02-27T22:23:24Z,860000,,,0,,SUB in: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2022-02-27T22:23:39.4Z,1,REGULAR,freethrow,2 of 2,[],1630537,,,1610612754,24,20,2022-02-27T22:23:39Z,870000,,,0,,C. Duarte Free Throw 2 of 2 (4 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
88,PT04M58.00S,2022-02-27T22:23:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,90.62089356110381,63.23529411764706,1610612738,24,22,2022-02-27T22:23:58Z,880000,66.0,36.0,1,right,D. White 7' driving floating Jump Shot (7 PTS) (J. Brown 2 AST),"[1628401, 1627759]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,7.52,Made,,,,,7.0,J. Brown,1627759.0,2.0,,,,,,,,,,
