actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,value,blockPlayerName,blockPersonId
16,PT11M01.00S,2021-11-25T00:12:41.5Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,0,0,2021-11-25T00:12:43Z,160000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M54.00S,2021-11-25T00:12:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,91.93495400788436,47.05882352941176,1610612754,2,0,2021-11-25T00:13:04Z,170000,-15.0,23.0,1,right,D. Sabonis Layup (2 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,2.75,Made,,,,,,,,,2.0,,,,,,
18,PT10M35.00S,2021-11-25T00:13:10.9Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612747,2,0,2021-11-25T00:13:23Z,180000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1627734, 201566]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,,,,202026.0,,,,,,,1.0,0.0,Westbrook,201566.0,,,,,,,
20,PT10M35.00S,2021-11-25T00:13:35.0Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612747,2,1,2021-11-25T00:13:52Z,200000,,,0,,R. Westbrook Free Throw 1 of 2 (1 PTS),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,Made,,,,,,,,,1.0,,,,,,
21,PT10M35.00S,2021-11-25T00:13:35.0Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612747,2,1,2021-11-25T00:13:52Z,210000,,,0,,MISS R. Westbrook Free Throw 2 of 2,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,Missed,,,,,,,,,,,,,,,
22,PT10M33.00S,2021-11-25T00:13:37.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,2,1,2021-11-25T00:13:52Z,220000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M25.00S,2021-11-25T00:13:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,83.78777923784494,59.55882352941176,1610612754,2,1,2021-11-25T00:14:02Z,230000,48.0,100.0,1,right,MISS C. LeVert 11' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,,,,,11.07,Missed,,,,,,,,,,,,,,,
24,PT10M22.00S,2021-11-25T00:14:01.9Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,2,1,2021-11-25T00:14:01Z,240000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,
25,PT10M20.00S,2021-11-25T00:14:03.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,76.16622864651774,89.95098039215686,1610612754,5,1,2021-11-25T00:14:07Z,250000,200.0,172.0,1,right,M. Turner 26' 3PT  (3 PTS) (C. LeVert 1 AST),"[1626167, 1627747]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,26.33,Made,,,,,,,,,3.0,C. LeVert,1627747.0,1.0,,,
27,PT10M06.00S,2021-11-25T00:14:17.5Z,1,REGULAR,3pt,Jump Shot,[],201566,8.754927726675426,2.696078431372549,1610612747,5,4,2021-11-25T00:14:22Z,270000,237.0,30.0,1,left,R. Westbrook 3PT  (4 PTS) (L. James 1 AST),"[201566, 2544]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,23.84,Made,,,,,,,,,4.0,L. James,2544.0,1.0,,,
29,PT09M52.00S,2021-11-25T00:14:30.9Z,1,REGULAR,2pt,Jump Shot,[],1627763,93.64323258869908,77.45098039215686,1610612754,5,4,2021-11-25T00:14:36Z,290000,137.0,7.0,1,right,MISS M. Brogdon 13' step back Shot,[1627763],1610612754.0,IND,step back,,,Brogdon,M. Brogdon,,,,,,,,,13.75,Missed,,,,,,,,,,,,,,,
30,PT09M51.00S,2021-11-25T00:14:31.9Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,5,4,2021-11-25T00:14:36Z,300000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,
31,PT09M45.00S,2021-11-25T00:14:38.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202340,23.603810775295663,10.784313725490197,1610612747,5,4,2021-11-25T00:14:43Z,310000,196.0,169.0,1,left,MISS A. Bradley 25' 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,25.91,Missed,,,,,,,,,,,,,,,
32,PT09M43.00S,2021-11-25T00:14:40.2Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,5,4,2021-11-25T00:14:43Z,320000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT09M35.00S,2021-11-25T00:14:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,93.24901445466492,53.92156862745098,1610612754,7,4,2021-11-25T00:14:54Z,340000,20.0,11.0,1,right,C. LeVert cutting Layup (2 PTS) (D. Sabonis 1 AST),"[1627747, 1627734]",1610612754.0,IND,cutting,,,LeVert,C. LeVert,,,,,,,,,2.25,Made,,,,,,,,,2.0,D. Sabonis,1627734.0,1.0,,,
36,PT09M23.00S,2021-11-25T00:15:03.0Z,1,REGULAR,foul,offensive,[],201599,,,1610612747,7,4,2021-11-25T00:15:11Z,360000,,,0,,D. Jordan offensive FOUL (1 PF),"[201599, 1627747]",1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,202026.0,,,,,,,1.0,0.0,LeVert,1627747.0,,,,,,,
38,PT09M23.00S,2021-11-25T00:15:03.0Z,1,REGULAR,turnover,offensive foul,[],201599,,,1610612747,7,4,2021-11-25T00:15:03Z,380000,,,0,,D. Jordan offensive foul TURNOVER (1 TO),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,1.0,,,202026.0,,,,,,,,,,,,,,,,,
39,PT09M12.00S,2021-11-25T00:15:24.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,67.7562417871222,49.01960784313725,1610612754,7,4,2021-11-25T00:15:30Z,390000,-5.0,251.0,1,right,MISS C. LeVert 25' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,25.06,Missed,,,,,,,,,,,,,,,
40,PT09M08.00S,2021-11-25T00:15:28.2Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,7,4,2021-11-25T00:15:30Z,400000,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,,
41,PT08M55.00S,2021-11-25T00:15:40.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,7.440867279894875,56.127450980392155,1610612747,7,4,2021-11-25T00:15:46Z,410000,-31.0,17.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,,,,,3.52,Missed,,,,,,,,,,,,,,,
42,PT08M50.00S,2021-11-25T00:15:45.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,7,4,2021-11-25T00:17:02Z,420000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT08M44.00S,2021-11-25T00:15:51.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626167,93.9060446780552,45.588235294117645,1610612754,9,4,2021-11-25T00:15:57Z,450000,-22.0,5.0,1,right,M. Turner Layup (5 PTS) (J. Holiday 1 AST),"[1626167, 203200]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,2.26,Made,,,,,,,,,5.0,J. Holiday,203200.0,1.0,,,
47,PT08M31.00S,2021-11-25T00:16:05.1Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,9,4,2021-11-25T00:16:10Z,470000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612747.0,LAL,bad pass,,,Westbrook,R. Westbrook,,,,,1.0,,,1179.0,,,,,,,,,,,,,,,,,
48,PT08M22.00S,2021-11-25T00:16:24.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,9,4,2021-11-25T00:16:24Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M19.00S,2021-11-25T00:16:39.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627734,79.31997371879106,67.15686274509804,1610612754,9,4,2021-11-25T00:16:43Z,490000,86.0,142.0,1,right,MISS D. Sabonis 16' Jump Shot,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,16.58,Missed,,,,,,,,,,,,,,,
50,PT08M17.00S,2021-11-25T00:16:41.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,9,4,2021-11-25T00:16:43Z,500000,,,0,,D. Jordan REBOUND (Off:1 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,,,
51,PT08M06.00S,2021-11-25T00:16:52.4Z,1,REGULAR,3pt,Jump Shot,[],2544,34.773324572930356,50.245098039215684,1610612747,9,7,2021-11-25T00:16:57Z,510000,-1.0,274.0,1,left,L. James 27' 3PT  (3 PTS) (R. Westbrook 1 AST),"[2544, 201566]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,27.44,Made,,,,,,,,,3.0,R. Westbrook,201566.0,1.0,,,
53,PT07M53.00S,2021-11-25T00:17:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,86.5473061760841,53.67647058823529,1610612754,9,7,2021-11-25T00:17:09Z,530000,18.0,74.0,1,right,MISS M. Brogdon 7' driving floating Shot,[1627763],1610612754.0,IND,driving floating,,,Brogdon,M. Brogdon,,,,,,,,,7.63,Missed,,,,,,,,,,,,,,,
54,PT07M50.00S,2021-11-25T00:17:08.5Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612754,9,7,2021-11-25T00:17:09Z,540000,,,0,,M. Brogdon REBOUND (Off:1 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,
55,PT07M49.00S,2021-11-25T00:17:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627763,92.72339027595268,52.69607843137255,1610612754,11,7,2021-11-25T00:19:29Z,550000,13.0,16.0,1,right,M. Brogdon putback Layup (2 PTS),[1627763],1610612754.0,IND,putback,,,Brogdon,M. Brogdon,,,,,,,,,2.09,Made,,,,,,,,,2.0,,,,,,
56,PT07M43.00S,2021-11-25T00:17:17.4Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612747,11,7,2021-11-25T00:17:21Z,560000,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (2 TO),[201566],1610612747.0,LAL,bad pass,,,Westbrook,R. Westbrook,,,,,2.0,,,1179.0,,,,,,,,,,,,,,,,,
57,PT07M35.00S,2021-11-25T00:17:28.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,82.34231274638634,95.83333333333334,1610612754,11,7,2021-11-25T00:17:34Z,570000,229.0,113.0,1,right,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,25.58,Missed,,,,,,,,,,,,,,,
58,PT07M30.00S,2021-11-25T00:17:33.9Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,11,7,2021-11-25T00:17:34Z,580000,,,0,,D. Jordan REBOUND (Off:1 Def:3),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,57.0,4.0,3.0,1.0,,,,,,,,,,,
59,PT07M18.00S,2021-11-25T00:17:45.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629659,10.200394218134035,45.34313725490196,1610612747,11,9,2021-11-25T00:17:49Z,590000,23.0,43.0,1,left,T. Horton-Tucker Hook (2 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,4.93,Made,,,,,,,,,2.0,,,,,,
60,PT07M07.00S,2021-11-25T00:17:57.2Z,1,REGULAR,3pt,Jump Shot,[],203200,66.96780551905388,41.66666666666667,1610612754,11,9,2021-11-25T00:18:02Z,600000,-42.0,258.0,1,right,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,26.13,Missed,,,,,,,,,,,,,,,
61,PT07M01.00S,2021-11-25T00:18:02.0Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612754,11,9,2021-11-25T00:18:02Z,610000,,,0,,M. Brogdon REBOUND (Off:2 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,60.0,3.0,1.0,2.0,,,,,,,,,,,
62,PT07M00.00S,2021-11-25T00:18:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627763,92.59198423127464,52.20588235294118,1610612754,11,9,2021-11-25T00:18:06Z,620000,11.0,17.0,1,right,MISS M. Brogdon Layup,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,2.03,Missed,,,,,,,,,,,,,,,
63,PT06M59.00S,2021-11-25T00:18:04.1Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,11,9,2021-11-25T00:18:06Z,630000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,
64,PT06M54.00S,2021-11-25T00:18:12.3Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612747,11,9,2021-11-25T00:18:17Z,640000,,,0,,C. LeVert shooting personal FOUL (1 PF) (James 2 FT),"[1627747, 2544]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,,,,1179.0,,,,,,,1.0,0.0,James,2544.0,,,,,,,
66,PT06M54.00S,2021-11-25T00:18:20.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,11,9,2021-11-25T00:18:20Z,660000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M54.00S,2021-11-25T00:20:56.3Z,1,REGULAR,substitution,out,[],203200,,,1610612747,11,9,2021-11-25T00:21:13Z,670000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M54.00S,2021-11-25T00:20:56.3Z,1,REGULAR,substitution,out,[],201566,,,1610612747,11,9,2021-11-25T00:21:13Z,680000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M54.00S,2021-11-25T00:20:56.3Z,1,REGULAR,substitution,in,[],1630537,,,1610612747,11,9,2021-11-25T00:21:13Z,690000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M54.00S,2021-11-25T00:20:56.3Z,1,REGULAR,substitution,in,[],1628370,,,1610612747,11,9,2021-11-25T00:21:13Z,700000,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M54.00S,2021-11-25T00:21:36.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],2544,,,1610612747,11,10,2021-11-25T00:21:36Z,710000,,,0,,L. James Free Throw 1 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,Made,,,,,,,,,4.0,,,,,,
72,PT06M54.00S,2021-11-25T00:21:50.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],2544,,,1610612747,11,11,2021-11-25T00:21:50Z,720000,,,0,,L. James Free Throw 2 of 2 (5 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,Made,,,,,,,,,5.0,,,,,,
73,PT06M36.00S,2021-11-25T00:22:11.0Z,1,REGULAR,2pt,Jump Shot,[],1627747,95.0886990801577,28.676470588235293,1610612754,13,11,2021-11-25T00:22:17Z,730000,-107.0,-6.0,1,right,C. LeVert 10' turnaround Jump Shot (4 PTS) (D. Sabonis 2 AST),"[1627747, 1627734]",1610612754.0,IND,turnaround,,,LeVert,C. LeVert,,,,,,,,,10.68,Made,,,,,,,,,4.0,D. Sabonis,1627734.0,2.0,,,
75,PT06M14.00S,2021-11-25T00:22:31.4Z,1,REGULAR,2pt,Jump Shot,[],2544,16.507884362680684,76.9607843137255,1610612747,13,11,2021-11-25T00:22:36Z,750000,-135.0,103.0,1,left,MISS L. James 16' step back Shot,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,,,,,16.95,Missed,,,,,,,,,,,,,,,
76,PT06M12.00S,2021-11-25T00:22:33.4Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,13,11,2021-11-25T00:22:36Z,760000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,,
77,PT06M02.00S,2021-11-25T00:22:44.0Z,1,REGULAR,2pt,Jump Shot,[],1630537,89.04402102496715,67.15686274509804,1610612754,15,11,2021-11-25T00:23:32Z,770000,86.0,50.0,1,right,C. Duarte 9' fadeaway Jump Shot (2 PTS),[1630537],1610612754.0,IND,fadeaway,,,Duarte,C. Duarte,,,,,,,,,9.96,Made,,,,,,,,,2.0,,,,,,
78,PT05M38.00S,2021-11-25T00:23:09.0Z,1,REGULAR,2pt,Jump Shot,[],2544,23.99802890932983,30.14705882352941,1610612747,15,11,2021-11-25T00:23:15Z,780000,99.0,173.0,1,left,MISS L. James 19' step back Shot,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,,,,,19.96,Missed,,,,,,,,,,,,,,,
79,PT05M34.00S,2021-11-25T00:23:13.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,15,11,2021-11-25T00:23:15Z,790000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,
80,PT05M34.00S,2021-11-25T00:23:14.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,15,11,2021-11-25T00:23:14Z,800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M19.00S,2021-11-25T00:23:35.0Z,1,REGULAR,2pt,Jump Shot,[],1627747,79.188567674113,58.333333333333336,1610612754,17,11,2021-11-25T00:23:39Z,810000,42.0,143.0,1,right,C. LeVert 14' pullup Jump Shot (6 PTS),[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,,,,,14.91,Made,,,,,,,,,6.0,,,,,,
82,PT04M56.00S,2021-11-25T00:24:00.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,17,11,2021-11-25T00:24:00Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M56.00S,2021-11-25T00:24:01.3Z,1,REGULAR,substitution,out,[],1627734,,,1610612747,17,11,2021-11-25T00:24:23Z,830000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M56.00S,2021-11-25T00:24:01.3Z,1,REGULAR,substitution,out,[],201599,,,1610612747,17,11,2021-11-25T00:24:23Z,840000,,,0,,SUB out: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M56.00S,2021-11-25T00:24:01.3Z,1,REGULAR,substitution,out,[],202340,,,1610612747,17,11,2021-11-25T00:24:23Z,850000,,,0,,SUB out: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M56.00S,2021-11-25T00:24:01.3Z,1,REGULAR,substitution,in,[],1628470,,,1610612747,17,11,2021-11-25T00:24:23Z,860000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M56.00S,2021-11-25T00:24:01.3Z,1,REGULAR,substitution,in,[],2546,,,1610612747,17,11,2021-11-25T00:24:23Z,870000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M56.00S,2021-11-25T00:24:01.3Z,1,REGULAR,substitution,in,[],2730,,,1610612747,17,11,2021-11-25T00:24:23Z,880000,,,0,,SUB in: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M51.00S,2021-11-25T00:24:58.5Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612747,17,11,2021-11-25T00:24:58Z,900000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M46.00S,2021-11-25T00:25:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628370,13.091327201051248,40.931372549019606,1610612747,17,13,2021-11-25T00:25:37Z,910000,45.0,71.0,1,left,M. Monk 8' driving finger roll Layup (2 PTS) (L. James 2 AST),"[1628370, 2544]",1610612747.0,LAL,driving finger roll,,,Monk,M. Monk,,,,,,,,,8.39,Made,,,,,,,,,2.0,L. James,2544.0,2.0,,,
93,PT04M46.00S,2021-11-25T00:25:21.8Z,1,REGULAR,violation,defensive goaltending,[],1626167,,,1610612747,17,13,2021-11-25T00:25:37Z,930000,,,0,,M. Turner defensive goaltending VIOLATION,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,1627526.0,,,,,,,,,,,,,,,,,
