actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
90,PT04M23.00S,2021-11-21T00:22:11.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627734,,,1610612754,22,6,2021-11-21T00:22:11Z,890000,,,0,,D. Sabonis Free Throw 1 of 2 (9 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,,,,,,,9.0,,,,,,,,,,,
91,PT04M23.00S,2021-11-21T00:22:30.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627734,,,1610612754,23,6,2021-11-21T00:22:30Z,900000,,,0,,D. Sabonis Free Throw 2 of 2 (10 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,,,,,,,10.0,,,,,,,,,,,
92,PT04M04.00S,2021-11-21T00:22:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.38042049934296,52.20588235294118,1610612740,23,8,2021-11-21T00:23:01Z,910000,11.0,10.0,1,right,J. Hart driving finger roll Layup (2 PTS) (B. Ingram 1 AST),"[1628404, 1627742]",1610612740.0,NOP,driving finger roll,,,Hart,J. Hart,,,,,1.47,Made,,,,,,,,2.0,B. Ingram,1627742.0,1.0,,,,,,,,
94,PT03M49.00S,2021-11-21T00:23:07.2Z,1,REGULAR,3pt,Jump Shot,[],1627734,32.40801576872536,52.450980392156865,1610612754,23,8,2021-11-21T00:23:11Z,930000,-12.0,252.0,1,left,MISS D. Sabonis 25' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
95,PT03M47.00S,2021-11-21T00:23:09.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,23,8,2021-11-21T00:23:11Z,940000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,94.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
96,PT03M35.00S,2021-11-21T00:23:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,93.38042049934296,55.14705882352941,1610612740,23,10,2021-11-21T00:24:19Z,950000,26.0,10.0,1,right,J. Valanciunas Jump Shot (4 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,2.75,Made,,,,,,,,4.0,,,,,,,,,,,
98,PT03M34.00S,2021-11-21T00:23:33.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,23,10,2021-11-21T00:23:33Z,970000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,out,[],1627763,,,1610612754,23,10,2021-11-21T00:26:16Z,980000,,,0,,SUB out: M. Brogdon,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,out,[],1627734,,,1610612754,23,10,2021-11-21T00:26:16Z,990000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,out,[],1628404,,,1610612754,23,10,2021-11-21T00:26:16Z,1000000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,out,[],202685,,,1610612754,23,10,2021-11-21T00:26:16Z,1010000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,in,[],1629103,,,1610612754,23,10,2021-11-21T00:26:16Z,1020000,,,0,,SUB in: K. Martin,[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,in,[],1628470,,,1610612754,23,10,2021-11-21T00:26:16Z,1030000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,in,[],1629638,,,1610612754,23,10,2021-11-21T00:26:16Z,1040000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M34.00S,2021-11-21T00:25:32.5Z,1,REGULAR,substitution,in,[],1629637,,,1610612754,23,10,2021-11-21T00:26:16Z,1050000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M16.00S,2021-11-21T00:26:41.6Z,1,REGULAR,2pt,Jump Shot,[],1626167,21.50131406044678,78.43137254901961,1610612754,25,10,2021-11-21T00:26:48Z,1060000,-142.0,150.0,1,left,M. Turner 20' Jump Shot (5 PTS) (K. Martin 1 AST),"[1626167, 1629103]",1610612754.0,IND,,,,Turner,M. Turner,,,,,20.64,Made,,,,,,,,5.0,K. Martin,1629103.0,1.0,,,,,,,,
109,PT02M51.00S,2021-11-21T00:27:06.0Z,1,REGULAR,3pt,Jump Shot,[],1630184,68.54467805519053,73.2843137254902,1610612740,25,13,2021-11-21T00:27:11Z,1080000,116.0,243.0,1,right,K. Lewis Jr. 26' 3PT  (3 PTS) (B. Ingram 2 AST),"[1630184, 1627742]",1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,26.96,Made,,,,,,,,3.0,B. Ingram,1627742.0,2.0,,,,,,,,
111,PT02M25.00S,2021-11-21T00:27:33.3Z,1,REGULAR,3pt,Jump Shot,[],1628470,32.14520367936925,46.07843137254902,1610612754,25,13,2021-11-21T00:27:37Z,1100000,20.0,250.0,1,left,MISS T. Craig 25' pullup 3PT,[1628470],1610612754.0,IND,pullup,,,Craig,T. Craig,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
112,PT02M21.00S,2021-11-21T00:27:37.3Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,25,13,2021-11-21T00:27:37Z,1110000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,111.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
113,PT02M17.00S,2021-11-21T00:27:42.6Z,1,REGULAR,foul,personal,[],1628470,,,1610612740,25,13,2021-11-21T00:27:49Z,1120000,,,0,,T. Craig personal FOUL (1 PF),"[1628470, 1627742]",1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Ingram,1627742.0,
115,PT02M17.00S,2021-11-21T00:27:47.9Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,25,13,2021-11-21T00:27:54Z,1140000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M17.00S,2021-11-21T00:27:47.9Z,1,REGULAR,substitution,in,[],202066,,,1610612740,25,13,2021-11-21T00:27:54Z,1150000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M12.00S,2021-11-21T00:28:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,86.15308804204993,55.392156862745104,1610612740,25,15,2021-11-21T00:28:19Z,1160000,27.0,78.0,1,right,N. Alexander-Walker 8' driving floating Jump Shot (4 PTS),[1629638],1610612740.0,NOP,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,8.23,Made,,,,,,,,4.0,,,,,,,,,,,
118,PT01M58.00S,2021-11-21T00:28:26.1Z,1,REGULAR,2pt,Jump Shot,[],1629103,25.18068331143233,60.29411764705882,1610612754,27,15,2021-11-21T00:28:32Z,1170000,-51.0,184.0,1,left,K. Martin 19' pullup Jump Shot (2 PTS) (M. Turner 1 AST),"[1629103, 1626167]",1610612754.0,IND,pullup,,,Martin,K. Martin,,,,,19.13,Made,,,,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,
120,PT01M47.00S,2021-11-21T00:28:36.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,92.72339027595268,55.392156862745104,1610612740,27,15,2021-11-21T00:28:44Z,1190000,27.0,16.0,1,right,MISS J. Hayes alley-oop DUNK,[1629637],1610612740.0,NOP,alley-oop,,,Hayes,J. Hayes,,,,,3.13,Missed,,,,,,,,,,,,,,,,,,,
121,PT01M45.00S,2021-11-21T00:28:38.9Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,27,15,2021-11-21T00:28:44Z,1200000,,,0,,C. Duarte REBOUND (Off:0 Def:2),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
122,PT01M41.00S,2021-11-21T00:28:42.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628470,6.783837056504599,50.245098039215684,1610612754,29,15,2021-11-21T00:29:13Z,1210000,-1.0,11.0,1,left,T. Craig running DUNK (2 PTS) (T. McConnell 2 AST),"[1628470, 204456]",1610612754.0,IND,running,,,Craig,T. Craig,,,,,1.14,Made,,,,,,,,2.0,T. McConnell,204456.0,2.0,,,,,,,,
124,PT01M31.00S,2021-11-21T00:28:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630184,86.41590013140605,50.49019607843137,1610612740,29,17,2021-11-21T00:29:04Z,1230000,2.0,75.0,1,right,K. Lewis Jr. 7' driving floating Jump Shot (5 PTS),[1630184],1610612740.0,NOP,driving floating,,,Lewis Jr.,K. Lewis Jr.,,,,,7.52,Made,,,,,,,,5.0,,,,,,,,,,,
125,PT01M21.00S,2021-11-21T00:29:02.4Z,1,REGULAR,3pt,Jump Shot,[],1630537,32.53942181340342,38.72549019607843,1610612754,29,17,2021-11-21T00:29:08Z,1240000,56.0,253.0,1,left,MISS C. Duarte 25' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
126,PT01M17.00S,2021-11-21T00:29:06.4Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,29,17,2021-11-21T00:29:08Z,1250000,,,0,,J. Hayes REBOUND (Off:0 Def:2),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
127,PT01M09.00S,2021-11-21T00:29:13.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,93.9060446780552,1.9607843137254901,1610612740,29,17,2021-11-21T00:29:18Z,1260000,-240.0,5.0,1,right,MISS N. Alexander-Walker 24' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,24.02,Missed,,,,,,,,,,,,,,,,,,,
128,PT01M07.00S,2021-11-21T00:29:15.9Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,29,17,2021-11-21T00:29:18Z,1270000,,,0,,T. McConnell REBOUND (Off:0 Def:2),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,127.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
129,PT01M00.00S,2021-11-21T00:29:23.8Z,1,REGULAR,3pt,Jump Shot,[],1629103,6.258212877792378,95.09803921568627,1610612754,32,17,2021-11-21T00:29:29Z,1280000,-225.0,6.0,1,left,K. Martin 3PT  (5 PTS) (T. McConnell 3 AST),"[1629103, 204456]",1610612754.0,IND,,,,Martin,K. Martin,,,,,22.56,Made,,,,,,,,5.0,T. McConnell,204456.0,3.0,,,,,,,,
131,PT00M43.30S,2021-11-21T00:29:44.6Z,1,REGULAR,3pt,Jump Shot,[],1629638,90.88370565045992,3.431372549019608,1610612740,32,17,2021-11-21T00:29:49Z,1300000,-233.0,33.0,1,right,MISS N. Alexander-Walker pullup 3PT,[1629638],1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,23.52,Missed,,,,,,,,,,,,,,,,,,,
132,PT00M40.60S,2021-11-21T00:29:47.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,32,17,2021-11-21T00:29:49Z,1310000,,,0,,M. Turner REBOUND (Off:0 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,131.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
133,PT00M27.10S,2021-11-21T00:30:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629103,9.280551905387648,53.431372549019606,1610612754,32,17,2021-11-21T00:30:09Z,1320000,-17.0,35.0,1,left,MISS K. Martin driving Layup - blocked,"[1629103, 1630529]",1610612754.0,IND,driving,,,Martin,K. Martin,,,,,3.87,Missed,,,,,,,,,,,,Jones,1630529.0,,,,,,
134,PT00M27.10S,2021-11-21T00:30:01.4Z,1,REGULAR,block,,[],1630529,,,1610612754,32,17,2021-11-21T00:30:04Z,1330000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M27.10S,2021-11-21T00:30:01.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,32,17,2021-11-21T00:30:09Z,1340000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,,
136,PT00M27.10S,2021-11-21T00:30:08.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,32,17,2021-11-21T00:30:08Z,1350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT00M04.60S,2021-11-21T00:30:35.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629637,82.34231274638634,50.245098039215684,1610612740,32,19,2021-11-21T00:30:40Z,1360000,1.0,113.0,1,right,J. Hayes 11' Jump Shot (2 PTS) (N. Alexander-Walker 2 AST),"[1629637, 1629638]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,11.35,Made,,,,,,,,2.0,N. Alexander-Walker,1629638.0,2.0,,,,,,,,
139,PT00M00.00S,2021-11-21T00:30:41.9Z,1,REGULAR,2pt,Jump Shot,[],204456,28.597240473061763,35.78431372549019,1610612754,32,19,2021-11-21T00:30:49Z,1380000,71.0,216.0,1,left,MISS T. McConnell 22' running Shot,[204456],1610612754.0,IND,running,,,McConnell,T. McConnell,,,,,22.77,Missed,,,,,,,,,,,,,,,,,,,
140,PT00M00.00S,2021-11-21T00:30:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,32,19,2021-11-21T00:30:49Z,1390000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,
141,PT00M00.00S,2021-11-21T00:30:46.7Z,1,REGULAR,period,end,[],0,,,1610612754,32,19,2021-11-21T00:30:46Z,1400000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,out,['startperiod'],1630537,,,1610612754,32,19,2021-11-21T00:33:27Z,1410000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,out,['startperiod'],1626167,,,1610612754,32,19,2021-11-21T00:33:27Z,1420000,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,out,['startperiod'],1630529,,,1610612754,32,19,2021-11-21T00:33:27Z,1430000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,out,['startperiod'],1629637,,,1610612754,32,19,2021-11-21T00:33:27Z,1440000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,in,['startperiod'],203200,,,1610612754,32,19,2021-11-21T00:33:27Z,1450000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,in,['startperiod'],1629048,,,1610612754,32,19,2021-11-21T00:33:27Z,1460000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612754,32,19,2021-11-21T00:33:27Z,1470000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-11-21T00:33:07.3Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612754,32,19,2021-11-21T00:33:27Z,1480000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-11-21T00:33:33.9Z,2,REGULAR,period,start,[],0,,,1610612754,32,19,2021-11-21T00:33:33Z,1490000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M50.00S,2021-11-21T00:33:43.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,8.492115637319317,47.05882352941176,1610612754,32,19,2021-11-21T00:33:50Z,1500000,15.0,27.0,1,left,MISS T. McConnell driving finger roll Layup,[204456],1610612754.0,IND,driving finger roll,,,McConnell,T. McConnell,,,,,3.1,Missed,,,,,,,,,,,,,,,,,,,
152,PT11M46.00S,2021-11-21T00:33:47.2Z,2,REGULAR,rebound,defensive,[],202066,,,1610612740,32,19,2021-11-21T00:33:50Z,1510000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
153,PT11M40.00S,2021-11-21T00:33:59.2Z,2,REGULAR,foul,personal,[],204456,,,1610612740,32,19,2021-11-21T00:34:14Z,1520000,,,0,,T. McConnell loose ball personal FOUL (1 PF),"[204456, 1628404]",1610612754.0,IND,loose ball,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Hart,1628404.0,
155,PT11M24.00S,2021-11-21T00:34:31.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,92.32917214191852,61.029411764705884,1610612740,32,21,2021-11-21T00:34:39Z,1540000,55.0,20.0,1,right,J. Valanciunas driving Hook (6 PTS) (N. Alexander-Walker 3 AST),"[202685, 1629638]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,5.85,Made,,,,,,,,6.0,N. Alexander-Walker,1629638.0,3.0,,,,,,,,
157,PT11M05.00S,2021-11-21T00:34:50.4Z,2,REGULAR,2pt,Jump Shot,[],1629103,22.552562417871222,57.84313725490197,1610612754,34,21,2021-11-21T00:35:03Z,1560000,-39.0,159.0,1,left,K. Martin 16' floating Jump Shot (7 PTS) (T. Craig 1 AST),"[1629103, 1628470]",1610612754.0,IND,floating,,,Martin,K. Martin,,,,,16.42,Made,,,,,,,,7.0,T. Craig,1628470.0,1.0,,,,,,,,
159,PT10M46.00S,2021-11-21T00:35:08.1Z,2,REGULAR,3pt,Jump Shot,[],1630184,69.59592641261499,76.22549019607843,1610612740,34,21,2021-11-21T00:35:13Z,1580000,131.0,233.0,1,right,MISS K. Lewis Jr. 26' pullup 3PT,[1630184],1610612740.0,NOP,pullup,,,Lewis Jr.,K. Lewis Jr.,,,,,26.76,Missed,,,,,,,,,,,,,,,,,,,
160,PT10M43.00S,2021-11-21T00:35:11.1Z,2,REGULAR,rebound,defensive,[],1628470,,,1610612754,34,21,2021-11-21T00:35:13Z,1590000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
161,PT10M32.00S,2021-11-21T00:35:22.2Z,2,REGULAR,3pt,Jump Shot,[],1629048,32.013797634691194,54.166666666666664,1610612754,34,21,2021-11-21T00:35:28Z,1600000,-21.0,248.0,1,left,MISS G. Bitadze 24' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
162,PT10M28.00S,2021-11-21T00:35:26.2Z,2,REGULAR,rebound,defensive,[],1630184,,,1610612740,34,21,2021-11-21T00:35:28Z,1610000,,,0,,K. Lewis Jr. REBOUND (Off:0 Def:1),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
163,PT10M25.00S,2021-11-21T00:35:29.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629638,92.9862023653088,46.81372549019608,1610612740,34,21,2021-11-21T00:35:37Z,1620000,-16.0,13.0,1,right,MISS N. Alexander-Walker running finger roll Layup,[1629638],1610612740.0,NOP,running finger roll,,,Alexander-Walker,N. Alexander-Walker,,,,,2.08,Missed,,,,,,,,,,,,,,,,,,,
164,PT10M21.00S,2021-11-21T00:35:33.7Z,2,REGULAR,rebound,offensive,[],202685,,,1610612740,34,21,2021-11-21T00:35:37Z,1630000,,,0,,J. Valanciunas REBOUND (Off:2 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,163.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
165,PT10M21.00S,2021-11-21T00:35:32.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,94.40999984741211,50.0,1610612740,34,23,2021-11-21T00:35:41Z,1640000,0.0,0.0,1,right,J. Valanciunas tip Layup (8 PTS),[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,,,,,,,,8.0,,,,,,,,,,,
166,PT10M07.00S,2021-11-21T00:35:47.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,17.16491458607096,55.63725490196079,1610612754,36,23,2021-11-21T00:35:53Z,1650000,-28.0,109.0,1,left,T. McConnell 11' floating Jump Shot (2 PTS),[204456],1610612754.0,IND,floating,,,McConnell,T. McConnell,,,,,11.25,Made,,,,,,,,2.0,,,,,,,,,,,
167,PT09M52.00S,2021-11-21T00:36:01.9Z,2,REGULAR,2pt,Jump Shot,[],202685,92.85479632063075,15.931372549019606,1610612740,36,23,2021-11-21T00:36:06Z,1660000,-170.0,15.0,1,right,MISS J. Valanciunas 17' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,17.09,Missed,,,,,,,,,,,,,,,,,,,
168,PT09M50.00S,2021-11-21T00:36:03.9Z,2,REGULAR,rebound,defensive,[],1628470,,,1610612754,36,23,2021-11-21T00:36:06Z,1670000,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
169,PT09M45.00S,2021-11-21T00:36:09.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629048,26.888961892247043,16.911764705882355,1610612754,36,23,2021-11-21T00:36:15Z,1680000,165.0,200.0,1,left,MISS G. Bitadze 25' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,25.98,Missed,,,,,,,,,,,,,,,,,,,
170,PT09M41.00S,2021-11-21T00:36:13.2Z,2,REGULAR,rebound,defensive,[],1628404,,,1610612740,36,23,2021-11-21T00:36:15Z,1690000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
171,PT09M41.00S,2021-11-21T00:36:17.6Z,2,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612740,36,23,2021-11-21T00:36:27Z,1700000,,,0,,J. Hart lost ball out-of-bounds TURNOVER (3 TO),[1628404],1610612740.0,NOP,lost ball,,,Hart,J. Hart,,,,,,,,,,,3.0,,,,,,,,,201639.0,,,,,
173,PT09M36.00S,2021-11-21T00:36:43.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203200,7.046649145860711,46.32352941176471,1610612754,38,23,2021-11-21T00:37:06Z,1720000,18.0,14.0,1,left,J. Holiday cutting finger roll Layup (5 PTS) (G. Bitadze 1 AST),"[203200, 1629048]",1610612754.0,IND,cutting finger roll,,,Holiday,J. Holiday,,,,,2.29,Made,,,,,,,,5.0,G. Bitadze,1629048.0,1.0,,,,,,,,
175,PT09M36.00S,2021-11-21T00:36:48.7Z,2,REGULAR,foul,personal,['1freethrow'],202066,,,1610612754,38,23,2021-11-21T00:37:01Z,1740000,,,0,,G. Temple shooting personal FOUL (1 PF) (Holiday 1 FT),"[202066, 203200]",1610612740.0,NOP,shooting,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Holiday,203200.0,
177,PT09M36.00S,2021-11-21T00:37:19.3Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],203200,,,1610612754,38,23,2021-11-21T00:37:25Z,1760000,,,0,,MISS J. Holiday Free Throw 1 of 1,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,Missed,,,,,,,,,,,,,,,,,,,
178,PT09M32.00S,2021-11-21T00:37:23.3Z,2,REGULAR,rebound,offensive,[],1629048,,,1610612754,38,23,2021-11-21T00:37:25Z,1770000,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,177.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
