actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT11M27.00S,2022-02-03T00:13:51.5Z,1,REGULAR,block,,[],1628964,,,1610612754,0,0,2022-02-03T00:13:53Z,150000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M25.00S,2022-02-03T00:13:53.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,0,2022-02-03T00:14:01Z,160000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT11M02.00S,2022-02-03T00:14:16.6Z,1,REGULAR,3pt,Jump Shot,[],1630175,89.17542706964521,3.1862745098039214,1610612753,0,0,2022-02-03T00:14:22Z,170000,-234.0,49.0,1,right,MISS C. Anthony pullup 3PT,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,23.92,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M59.00S,2022-02-03T00:14:20.4Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,0,0,2022-02-03T00:14:20Z,180000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M55.00S,2022-02-03T00:14:23.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203200,10.068988173455978,4.166666666666666,1610612754,0,0,2022-02-03T00:14:36Z,190000,229.0,42.0,1,left,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.3,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M52.00S,2022-02-03T00:14:26.9Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,0,0,2022-02-03T00:14:27Z,200000,,,0,,T. Taylor REBOUND (Off:2 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,19.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
21,PT10M48.00S,2022-02-03T00:14:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630678,5.469776609724048,53.92156862745098,1610612754,2,0,2022-02-03T00:14:42Z,210000,-20.0,-1.0,1,left,T. Taylor Layup (2 PTS),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,1.96,Made,,,,,,,2.0,,,,,,,,,,,,
22,PT10M32.00S,2022-02-03T00:14:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.93495400788436,53.92156862745098,1610612753,2,2,2022-02-03T00:14:52Z,220000,20.0,23.0,1,right,F. Wagner driving finger roll Layup (2 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,3.04,Made,,,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,
24,PT10M18.00S,2022-02-03T00:15:01.2Z,1,REGULAR,3pt,Jump Shot,[],1628470,8.754927726675426,94.6078431372549,1610612754,5,2,2022-02-03T00:15:05Z,240000,-223.0,30.0,1,left,T. Craig 3PT  (3 PTS) (J. Holiday 1 AST),"[1628470, 203200]",1610612754.0,IND,,,,Craig,T. Craig,,,,,22.5,Made,,,,,,,3.0,J. Holiday,203200.0,1.0,,,,,,,,,
26,PT10M02.00S,2022-02-03T00:15:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,81.553876478318,38.48039215686275,1610612753,5,4,2022-02-03T00:15:22Z,260000,-58.0,121.0,1,right,W. Carter Jr. 13' turnaround Jump Shot (2 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,13.39,Made,,,,,,,2.0,C. Anthony,1630175.0,1.0,,,,,,,,,
28,PT09M46.00S,2022-02-03T00:15:32.1Z,1,REGULAR,3pt,Jump Shot,[],1628470,23.078186596583443,88.48039215686273,1610612754,5,4,2022-02-03T00:15:36Z,280000,-192.0,164.0,1,left,MISS T. Craig 25' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M44.00S,2022-02-03T00:15:34.1Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,5,4,2022-02-03T00:15:36Z,290000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
30,PT09M34.00S,2022-02-03T00:15:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,93.64323258869908,53.431372549019606,1610612753,5,6,2022-02-03T00:15:56Z,300000,17.0,7.0,1,right,W. Carter Jr. driving finger roll Layup (4 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,driving finger roll,,,Carter Jr.,W. Carter Jr.,,,,,1.87,Made,,,,,,,4.0,J. Suggs,1630591.0,1.0,,,,,,,,,
31,PT09M16.00S,2022-02-03T00:16:02.5Z,1,REGULAR,3pt,Jump Shot,[],1630678,7.5722733245729295,96.07843137254902,1610612754,8,6,2022-02-03T00:16:06Z,310000,-230.0,19.0,1,left,T. Taylor 3PT  (5 PTS) (T. Craig 1 AST),"[1630678, 1628470]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,23.12,Made,,,,,,,5.0,T. Craig,1628470.0,1.0,,,,,,,,,
33,PT08M58.00S,2022-02-03T00:16:20.2Z,1,REGULAR,3pt,Jump Shot,[],1630591,68.67608409986859,64.4607843137255,1610612753,8,6,2022-02-03T00:16:26Z,330000,72.0,242.0,1,right,MISS J. Suggs 25' pullup 3PT,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M56.00S,2022-02-03T00:16:22.2Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,8,6,2022-02-03T00:16:26Z,340000,,,0,,T. Taylor REBOUND (Off:2 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,33.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
35,PT08M40.00S,2022-02-03T00:16:39.3Z,1,REGULAR,2pt,Jump Shot,[],1630537,21.23850197109067,54.41176470588235,1610612754,8,6,2022-02-03T00:16:44Z,350000,-22.0,147.0,1,left,MISS C. Duarte 14' pullup Shot,[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,14.88,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M37.00S,2022-02-03T00:16:42.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,8,6,2022-02-03T00:16:44Z,360000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
37,PT08M17.00S,2022-02-03T00:17:01.8Z,1,REGULAR,3pt,Jump Shot,[],1630175,63.81406044678055,50.0,1610612753,8,6,2022-02-03T00:17:06Z,370000,0.0,288.0,1,right,MISS C. Anthony 28' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,28.76,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M14.00S,2022-02-03T00:17:04.8Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,8,6,2022-02-03T00:17:06Z,380000,,,0,,T. Taylor REBOUND (Off:2 Def:2),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,37.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
39,PT08M05.00S,2022-02-03T00:17:13.9Z,1,REGULAR,3pt,Jump Shot,[],1630678,28.203022339027594,20.34313725490196,1610612754,8,6,2022-02-03T00:17:20Z,390000,148.0,213.0,1,left,MISS T. Taylor 25' 3PT,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M00.00S,2022-02-03T00:17:18.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,8,6,2022-02-03T00:21:26Z,400000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
43,PT07M57.00S,2022-02-03T00:17:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630175,92.85479632063075,54.41176470588235,1610612753,8,6,2022-02-03T00:17:29Z,430000,22.0,15.0,1,right,MISS C. Anthony running finger roll Layup,[1630175],1610612753.0,ORL,running finger roll,,,Anthony,C. Anthony,,,,,2.65,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2022-02-03T00:17:25.1Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,8,6,2022-02-03T00:17:29Z,440000,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
45,PT07M47.00S,2022-02-03T00:17:32.0Z,1,REGULAR,3pt,Jump Shot,[],1627747,12.171484888304862,4.411764705882353,1610612754,11,6,2022-02-03T00:17:38Z,450000,228.0,62.0,1,left,C. LeVert 3PT  (3 PTS) (T. Craig 2 AST),"[1627747, 1628470]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,23.62,Made,,,,,,,3.0,T. Craig,1628470.0,2.0,,,,,,,,,
47,PT07M31.00S,2022-02-03T00:17:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,82.34231274638634,62.745098039215684,1610612753,11,8,2022-02-03T00:17:53Z,470000,64.0,113.0,1,right,W. Carter Jr. 13' turnaround Jump Shot (6 PTS) (J. Suggs 2 AST),"[1628976, 1630591]",1610612753.0,ORL,turnaround,,,Carter Jr.,W. Carter Jr.,,,,,13.02,Made,,,,,,,6.0,J. Suggs,1630591.0,2.0,,,,,,,,,
49,PT07M21.00S,2022-02-03T00:17:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,6.915243101182654,55.14705882352941,1610612754,13,8,2022-02-03T00:18:02Z,490000,-26.0,13.0,1,left,C. LeVert driving finger roll Layup (5 PTS),[1627747],1610612754.0,IND,driving finger roll,,,LeVert,C. LeVert,,,,,2.86,Made,,,,,,,5.0,,,,,,,,,,,,
50,PT07M09.00S,2022-02-03T00:18:10.1Z,1,REGULAR,turnover,bad pass,[],1628976,,,1610612753,13,8,2022-02-03T00:18:15Z,500000,,,0,,W. Carter Jr. bad pass TURNOVER (1 TO),"[1628976, 1627747]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,1.0,LeVert,1627747.0,,,,,,
51,PT07M09.00S,2022-02-03T00:18:10.1Z,1,REGULAR,steal,,[],1627747,,,1610612754,13,8,2022-02-03T00:18:12Z,510000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M03.00S,2022-02-03T00:18:15.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628470,6.521024967148489,3.6764705882352944,1610612754,16,8,2022-02-03T00:18:26Z,520000,232.0,9.0,1,left,T. Craig 3PT running (6 PTS) (C. Duarte 1 AST),"[1628470, 1630537]",1610612754.0,IND,running,,,Craig,T. Craig,,,,,23.18,Made,,,,,,,6.0,C. Duarte,1630537.0,1.0,,,,,,,,,
54,PT07M01.00S,2022-02-03T00:18:31.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,16,8,2022-02-03T00:18:31Z,540000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M01.00S,2022-02-03T00:20:27.6Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,16,8,2022-02-03T00:21:15Z,550000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M01.00S,2022-02-03T00:20:27.6Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,16,8,2022-02-03T00:21:15Z,560000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M01.00S,2022-02-03T00:20:27.6Z,1,REGULAR,substitution,in,[],1629643,,,1610612753,16,8,2022-02-03T00:21:15Z,570000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M01.00S,2022-02-03T00:20:27.6Z,1,REGULAR,substitution,in,[],203914,,,1610612753,16,8,2022-02-03T00:21:15Z,580000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2022-02-03T00:21:33.5Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,16,8,2022-02-03T00:21:37Z,590000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1628470]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,1.0,Craig,1628470.0,,,,,,
61,PT06M46.00S,2022-02-03T00:21:33.5Z,1,REGULAR,steal,,[],1628470,,,1610612754,16,8,2022-02-03T00:21:35Z,600000,,,0,,T. Craig STEAL (1 STL),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2022-02-03T00:21:39.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630678,5.863994743758213,48.77450980392157,1610612754,18,8,2022-02-03T00:21:47Z,610000,6.0,3.0,1,left,T. Taylor running DUNK (7 PTS) (J. Holiday 2 AST),"[1630678, 203200]",1610612754.0,IND,running,,,Taylor,T. Taylor,,,,,0.66,Made,,,,,,,7.0,J. Holiday,203200.0,2.0,,,,,,,,,
64,PT06M37.00S,2022-02-03T00:21:46.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612753,18,8,2022-02-03T00:21:53Z,630000,,,0,,TEAM delay-of-game VIOLATION,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,1146.0,,,,,
65,PT06M28.00S,2022-02-03T00:22:00.3Z,1,REGULAR,2pt,Jump Shot,[],1630532,86.94152431011827,29.411764705882355,1610612753,18,8,2022-02-03T00:22:05Z,640000,-103.0,70.0,1,right,MISS F. Wagner 12' driving floating bank Shot,[1630532],1610612753.0,ORL,driving floating bank,,,Wagner,F. Wagner,,,,,12.46,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M25.00S,2022-02-03T00:22:03.3Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,18,8,2022-02-03T00:22:05Z,650000,,,0,,T. Taylor REBOUND (Off:2 Def:3),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,65.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
67,PT06M17.00S,2022-02-03T00:22:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628470,15.456636005256241,60.78431372549019,1610612754,18,8,2022-02-03T00:22:16Z,660000,-54.0,93.0,1,left,MISS T. Craig 10' step back Shot,[1628470],1610612754.0,IND,step back,,,Craig,T. Craig,,,,,10.73,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M13.00S,2022-02-03T00:22:15.1Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,18,8,2022-02-03T00:22:16Z,670000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
69,PT06M01.00S,2022-02-03T00:22:26.2Z,1,REGULAR,3pt,Jump Shot,[],203914,91.40932982917214,3.431372549019608,1610612753,18,8,2022-02-03T00:22:32Z,680000,-233.0,28.0,1,right,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M00.00S,2022-02-03T00:22:27.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,18,8,2022-02-03T00:22:32Z,690000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,
71,PT06M00.00S,2022-02-03T00:22:32.4Z,1,REGULAR,foul,personal,[],1630678,,,1610612753,18,8,2022-02-03T00:22:40Z,700000,,,0,,T. Taylor loose ball personal FOUL (1 PF),"[1630678, 1628976]",1610612754.0,IND,loose ball,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Carter Jr.,1628976.0,
73,PT05M56.00S,2022-02-03T00:22:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630175,92.9862023653088,54.65686274509803,1610612753,18,8,2022-02-03T00:23:00Z,720000,23.0,13.0,1,right,MISS C. Anthony cutting Layup,[1630175],1610612753.0,ORL,cutting,,,Anthony,C. Anthony,,,,,2.69,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M52.00S,2022-02-03T00:23:00.0Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,18,8,2022-02-03T00:23:00Z,730000,,,0,,C. Duarte REBOUND (Off:0 Def:2),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
75,PT05M40.00S,2022-02-03T00:23:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,12.302890932982917,46.32352941176471,1610612754,20,8,2022-02-03T00:23:16Z,740000,18.0,63.0,1,left,C. LeVert 6' pullup Jump Shot (7 PTS),[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,6.57,Made,,,,,,,7.0,,,,,,,,,,,,
76,PT05M31.00S,2022-02-03T00:23:19.6Z,1,REGULAR,3pt,Jump Shot,[],203914,92.59198423127464,2.450980392156863,1610612753,20,11,2022-02-03T00:23:30Z,750000,-238.0,17.0,1,right,G. Harris 3PT  (3 PTS) (C. Anthony 2 AST),"[203914, 1630175]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.83,Made,,,,,,,3.0,C. Anthony,1630175.0,2.0,,,,,,,,,
78,PT05M23.00S,2022-02-03T00:23:28.4Z,1,REGULAR,3pt,Jump Shot,[],1627747,30.436925098554536,22.30392156862745,1610612754,20,11,2022-02-03T00:23:34Z,770000,138.0,234.0,1,left,MISS C. LeVert 27' pullup 3PT,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,27.16,Missed,,,,,,,,,,,,,,,,,,,
79,PT05M23.00S,2022-02-03T00:23:28.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,20,11,2022-02-03T00:23:34Z,780000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
80,PT05M15.00S,2022-02-03T00:23:37.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628976,65.78515111695138,41.66666666666667,1610612753,20,11,2022-02-03T00:23:43Z,790000,-42.0,269.0,1,right,MISS W. Carter Jr. 27' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M12.00S,2022-02-03T00:23:40.0Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,20,11,2022-02-03T00:23:43Z,800000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT05M07.00S,2022-02-03T00:23:45.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630537,32.53942181340342,44.11764705882353,1610612754,23,11,2022-02-03T00:23:56Z,810000,29.0,253.0,1,left,C. Duarte 25' 3PT running (3 PTS) (C. LeVert 1 AST),"[1630537, 1627747]",1610612754.0,IND,running,,,Duarte,C. Duarte,,,,,25.51,Made,,,,,,,3.0,C. LeVert,1627747.0,1.0,,,,,,,,,
84,PT04M47.00S,2022-02-03T00:24:03.7Z,1,REGULAR,3pt,Jump Shot,[],1629643,66.83639947437582,38.23529411764706,1610612753,23,11,2022-02-03T00:24:08Z,830000,-59.0,259.0,1,right,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M45.00S,2022-02-03T00:24:05.7Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,23,11,2022-02-03T00:24:08Z,840000,,,0,,C. Duarte REBOUND (Off:0 Def:3),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,84.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
86,PT04M35.00S,2022-02-03T00:24:17.1Z,1,REGULAR,3pt,Jump Shot,[],1628470,34.247700394218136,52.20588235294118,1610612754,23,11,2022-02-03T00:24:21Z,850000,-11.0,269.0,1,left,MISS T. Craig 26' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,26.96,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M32.00S,2022-02-03T00:24:20.1Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,23,11,2022-02-03T00:24:21Z,860000,,,0,,C. Okeke REBOUND (Off:0 Def:2),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,86.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
88,PT04M28.00S,2022-02-03T00:24:23.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,88.51839684625493,5.392156862745098,1610612753,23,14,2022-02-03T00:24:31Z,870000,-223.0,55.0,1,right,F. Wagner 3PT running pullup (5 PTS) (C. Anthony 3 AST),"[1630532, 1630175]",1610612753.0,ORL,running pullup,,,Wagner,F. Wagner,,,,,22.98,Made,,,,,,,5.0,C. Anthony,1630175.0,3.0,,,,,,,,,
