actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT11M04.00S,2022-03-09T00:13:06.7Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630596,,,1610612739,2,3,2022-03-09T00:13:24Z,200000,,,0,,MISS E. Mobley Free Throw 2 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT11M02.00S,2022-03-09T00:13:08.7Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,2,3,2022-03-09T00:13:24Z,210000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M51.00S,2022-03-09T00:13:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.30420499342969,87.5,1610612754,2,3,2022-03-09T00:13:38Z,220000,188.0,217.0,1,right,MISS T. Haliburton 28' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,28.69,Missed,,,,,,,,,,,,,,,,,,
23,PT10M50.00S,2022-03-09T00:13:34.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,2,3,2022-03-09T00:13:38Z,230000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,
24,PT10M50.00S,2022-03-09T00:13:38.6Z,1,REGULAR,foul,personal,[],1630171,,,1610612754,2,3,2022-03-09T00:13:43Z,240000,,,0,,I. Okoro loose ball personal FOUL (1 PF),"[1630171, 1630543]",1610612739.0,CLE,loose ball,,,Okoro,I. Okoro,,,,,,,,,,,204058.0,1.0,0.0,Jackson,1630543.0,,,,,,,,,
26,PT10M37.00S,2022-03-09T00:14:13.3Z,1,REGULAR,turnover,out-of-bounds,[],1627763,,,1610612754,2,3,2022-03-09T00:14:26Z,260000,,,0,,M. Brogdon lost ball out-of-bounds TURNOVER (2 TO),[1627763],1610612754.0,IND,lost ball,,,Brogdon,M. Brogdon,,,,,,,,,,,202007.0,,,,,2.0,,,,,,,,
27,PT10M26.00S,2022-03-09T00:14:27.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,9.543363994743759,96.56862745098039,1610612739,2,3,2022-03-09T00:15:51Z,270000,-233.0,37.0,1,left,MISS D. Garland step back 3PT,[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,23.58,Missed,,,,,,,,,,,,,,,,,,
28,PT10M24.00S,2022-03-09T00:14:29.9Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,2,3,2022-03-09T00:14:33Z,280000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,
29,PT10M11.00S,2022-03-09T00:14:42.7Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,2,3,2022-03-09T00:14:46Z,290000,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1630596]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,1.0,,,,,Mobley,1630596.0,,
30,PT10M11.00S,2022-03-09T00:14:42.7Z,1,REGULAR,steal,,[],1630596,,,1610612739,2,3,2022-03-09T00:14:44Z,300000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M04.00S,2022-03-09T00:14:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630171,8.09789750328515,50.49019607843137,1610612739,2,3,2022-03-09T00:14:53Z,310000,-2.0,24.0,1,left,MISS I. Okoro Layup,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,2.37,Missed,,,,,,,,,,,,,,,,,,
33,PT10M02.00S,2022-03-09T00:14:51.2Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,2,3,2022-03-09T00:14:53Z,330000,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,
34,PT10M02.00S,2022-03-09T00:14:52.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628374,21.50131406044678,93.62745098039215,1610612739,2,3,2022-03-09T00:14:57Z,340000,-218.0,150.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,
35,PT09M59.00S,2022-03-09T00:14:54.6Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,2,3,2022-03-09T00:14:54Z,350000,,,0,,E. Mobley REBOUND (Off:2 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,34.0,2.0,0.0,2.0,,,,
36,PT09M57.00S,2022-03-09T00:14:56.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628374,6.652431011826544,51.71568627450981,1610612739,2,5,2022-03-09T00:15:03Z,360000,-9.0,10.0,1,left,L. Markkanen alley-oop DUNK (2 PTS) (D. Garland 1 AST),"[1628374, 1629636]",1610612739.0,CLE,alley-oop,,,Markkanen,L. Markkanen,,,,,1.32,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,,
38,PT09M34.00S,2022-03-09T00:15:20.5Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,2,5,2022-03-09T00:15:25Z,380000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1630171]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,1.0,,,,,Okoro,1630171.0,,
39,PT09M34.00S,2022-03-09T00:15:20.5Z,1,REGULAR,steal,,[],1630171,,,1610612739,2,5,2022-03-09T00:15:22Z,390000,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2022-03-09T00:15:32.2Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612739,2,5,2022-03-09T00:15:39Z,400000,,,0,,I. Jackson shooting personal FOUL (1 PF) (Mobley 2 FT),"[1630543, 1630596]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,,,,,,,204058.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,
42,PT09M23.00S,2022-03-09T00:15:59.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630596,,,1610612739,2,6,2022-03-09T00:15:59Z,420000,,,0,,E. Mobley Free Throw 1 of 2 (4 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
43,PT09M23.00S,2022-03-09T00:16:14.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630596,,,1610612739,2,7,2022-03-09T00:16:14Z,430000,,,0,,E. Mobley Free Throw 2 of 2 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
44,PT09M13.00S,2022-03-09T00:16:27.6Z,1,REGULAR,3pt,Jump Shot,[],1627763,66.83639947437582,54.41176470588235,1610612754,2,7,2022-03-09T00:16:31Z,440000,22.0,259.0,1,right,MISS M. Brogdon 26' pullup 3PT,[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,
45,PT09M09.00S,2022-03-09T00:16:31.6Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,2,7,2022-03-09T00:16:31Z,450000,,,0,,I. Jackson REBOUND (Off:1 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,44.0,2.0,1.0,1.0,,,,
46,PT09M08.00S,2022-03-09T00:16:34.5Z,1,REGULAR,foul,personal,[],1630171,,,1610612754,2,7,2022-03-09T00:16:42Z,460000,,,0,,I. Okoro personal FOUL (2 PF),"[1630171, 1627741]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,202007.0,2.0,0.0,Hield,1627741.0,,,,,,,,,
48,PT09M08.00S,2022-03-09T00:16:44.8Z,1,REGULAR,substitution,out,[],1630171,,,1610612754,2,7,2022-03-09T00:16:54Z,480000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
49,PT09M08.00S,2022-03-09T00:16:44.8Z,1,REGULAR,substitution,in,[],1630205,,,1610612754,2,7,2022-03-09T00:16:54Z,490000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,
50,PT09M08.00S,2022-03-09T00:16:59.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,2,7,2022-03-09T00:17:07Z,500000,,,0,,TEAM delay-of-game VIOLATION,[],1610612739.0,CLE,,,,,,,,,,,,,,,,204058.0,,,,,,,,,,,,,
51,PT08M53.00S,2022-03-09T00:17:19.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629052,94.03745072273325,49.754901960784316,1610612754,2,7,2022-03-09T00:17:23Z,510000,-1.0,4.0,1,right,MISS O. Brissett driving finger roll Layup,[1629052],1610612754.0,IND,driving finger roll,,,Brissett,O. Brissett,,,,,0.37,Missed,,,,,,,,,,,,,,,,,,
52,PT08M51.00S,2022-03-09T00:17:22.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,2,7,2022-03-09T00:17:22Z,520000,,,0,,E. Mobley REBOUND (Off:2 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,51.0,3.0,1.0,2.0,,,,
53,PT08M40.00S,2022-03-09T00:17:35.2Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612739,2,7,2022-03-09T00:17:44Z,530000,,,0,,I. Jackson shooting personal FOUL (2 PF) (Markkanen 2 FT),"[1630543, 1628374]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,,,,,,,202007.0,2.0,0.0,Markkanen,1628374.0,,,,,,,,,
55,PT08M40.00S,2022-03-09T00:18:02.3Z,1,REGULAR,freethrow,1 of 2,[],1628374,,,1610612739,2,8,2022-03-09T00:18:02Z,550000,,,0,,L. Markkanen Free Throw 1 of 2 (3 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
56,PT08M40.00S,2022-03-09T00:18:09.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,2,8,2022-03-09T00:18:09Z,560000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT08M40.00S,2022-03-09T00:20:28.1Z,1,REGULAR,substitution,out,[],1630543,,,1610612739,2,8,2022-03-09T00:20:44Z,570000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
58,PT08M40.00S,2022-03-09T00:20:28.1Z,1,REGULAR,substitution,in,[],1629048,,,1610612739,2,8,2022-03-09T00:20:44Z,580000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M40.00S,2022-03-09T00:21:12.2Z,1,REGULAR,freethrow,2 of 2,[],1628374,,,1610612739,2,9,2022-03-09T00:21:12Z,590000,,,0,,L. Markkanen Free Throw 2 of 2 (4 PTS),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
60,PT08M23.00S,2022-03-09T00:21:30.5Z,1,REGULAR,3pt,Jump Shot,[],1629052,70.90998685939553,92.15686274509804,1610612754,5,9,2022-03-09T00:21:34Z,600000,211.0,221.0,1,right,O. Brissett 30' 3PT  (3 PTS) (B. Hield 1 AST),"[1629052, 1627741]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,30.53,Made,3.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,,
62,PT08M06.00S,2022-03-09T00:21:47.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,16.376478318002626,37.99019607843137,1610612739,5,9,2022-03-09T00:21:53Z,620000,60.0,101.0,1,left,MISS D. Garland 11' floating Shot,[1629636],1610612739.0,CLE,floating,,,Garland,D. Garland,,,,,11.78,Missed,,,,,,,,,,,,,,,,,,
63,PT08M03.00S,2022-03-09T00:21:50.5Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,5,9,2022-03-09T00:21:53Z,630000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,
64,PT07M57.00S,2022-03-09T00:21:57.1Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,5,9,2022-03-09T00:22:02Z,640000,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 1628374]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,2.0,,,,,Markkanen,1628374.0,,
65,PT07M57.00S,2022-03-09T00:21:57.1Z,1,REGULAR,steal,,[],1628374,,,1610612739,5,9,2022-03-09T00:21:59Z,650000,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M49.00S,2022-03-09T00:22:04.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629636,28.86005256241787,12.5,1610612739,5,12,2022-03-09T00:22:10Z,660000,188.0,219.0,1,left,D. Garland 28' 3PT pullup (3 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,28.81,Made,3.0,,,,,,,,,,,,,,,,,
67,PT07M37.00S,2022-03-09T00:22:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,93.51182654402102,49.754901960784316,1610612754,5,12,2022-03-09T00:22:42Z,670000,-1.0,8.0,1,right,MISS M. Brogdon driving Layup,[1627763],1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,0.86,Missed,,,,,,,,,,,,,,,,,,
68,PT07M36.00S,2022-03-09T00:22:17.0Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,5,12,2022-03-09T00:22:21Z,680000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,
69,PT07M33.00S,2022-03-09T00:22:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629731,5.206964520367937,52.450980392156865,1610612739,5,14,2022-03-09T00:22:32Z,690000,-12.0,-4.0,1,left,D. Wade running alley-oop Layup (2 PTS) (D. Garland 2 AST),"[1629731, 1629636]",1610612739.0,CLE,running alley-oop,,,Wade,D. Wade,,,,,1.28,Made,2.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,,,
71,PT07M11.00S,2022-03-09T00:22:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,95.22010512483574,97.30392156862744,1610612754,8,14,2022-03-09T00:22:48Z,710000,237.0,-8.0,1,right,T. Haliburton 3PT  (3 PTS) (M. Brogdon 1 AST),"[1630169, 1627763]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,23.66,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
73,PT06M56.00S,2022-03-09T00:22:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,9.543363994743759,50.73529411764706,1610612739,8,16,2022-03-09T00:23:02Z,730000,-4.0,37.0,1,left,L. Markkanen turnaround Jump Shot (6 PTS),[1628374],1610612739.0,CLE,turnaround,,,Markkanen,L. Markkanen,,,,,3.74,Made,6.0,,,,,,,,,,,,,,,,,
74,PT06M45.00S,2022-03-09T00:23:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,93.77463863337714,50.245098039215684,1610612754,10,16,2022-03-09T00:23:11Z,740000,1.0,6.0,1,right,M. Brogdon driving finger roll Layup (2 PTS),[1627763],1610612754.0,IND,driving finger roll,,,Brogdon,M. Brogdon,,,,,0.61,Made,2.0,,,,,,,,,,,,,,,,,
75,PT06M34.00S,2022-03-09T00:23:18.7Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,10,16,2022-03-09T00:23:22Z,750000,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 1630169]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,1.0,,,,,Haliburton,1630169.0,,
76,PT06M34.00S,2022-03-09T00:23:18.7Z,1,REGULAR,steal,,[],1630169,,,1610612754,10,16,2022-03-09T00:23:20Z,760000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M31.00S,2022-03-09T00:23:23.0Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,10,16,2022-03-09T00:23:28Z,770000,,,0,,T. Haliburton bad pass TURNOVER (3 TO),"[1630169, 1629636]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,3.0,,,,,Garland,1629636.0,,
78,PT06M31.00S,2022-03-09T00:23:23.0Z,1,REGULAR,steal,,[],1629636,,,1610612739,10,16,2022-03-09T00:23:24Z,780000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M29.00S,2022-03-09T00:23:30.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627763,,,1610612739,10,16,2022-03-09T00:23:41Z,790000,,,0,,M. Brogdon take personal FOUL (1 PF) (Garland 2 FT),"[1627763, 1629636]",1610612754.0,IND,take,,,Brogdon,M. Brogdon,,,,,,,,,,,2534.0,1.0,0.0,Garland,1629636.0,,,,,,,,,
81,PT06M29.00S,2022-03-09T00:24:00.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629636,,,1610612739,10,17,2022-03-09T00:24:00Z,810000,,,0,,D. Garland Free Throw 1 of 2 (4 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
82,PT06M29.00S,2022-03-09T00:24:01.1Z,1,REGULAR,substitution,out,[],1629052,,,1610612739,10,17,2022-03-09T00:24:10Z,820000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M29.00S,2022-03-09T00:24:01.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,10,17,2022-03-09T00:24:10Z,830000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M29.00S,2022-03-09T00:24:01.1Z,1,REGULAR,substitution,out,[],1628374,,,1610612739,10,17,2022-03-09T00:24:10Z,840000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M29.00S,2022-03-09T00:24:01.1Z,1,REGULAR,substitution,in,[],1630188,,,1610612739,10,17,2022-03-09T00:24:10Z,850000,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M29.00S,2022-03-09T00:24:01.1Z,1,REGULAR,substitution,in,[],202334,,,1610612739,10,17,2022-03-09T00:24:10Z,860000,,,0,,SUB in: E. Davis,[202334],1610612739.0,CLE,,,,Davis,E. Davis,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M29.00S,2022-03-09T00:24:01.1Z,1,REGULAR,substitution,in,[],201567,,,1610612739,10,17,2022-03-09T00:24:10Z,870000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M29.00S,2022-03-09T00:24:29.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629636,,,1610612739,10,18,2022-03-09T00:24:29Z,880000,,,0,,D. Garland Free Throw 2 of 2 (5 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
89,PT06M22.00S,2022-03-09T00:24:38.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,87.72996057818659,63.23529411764706,1610612754,10,18,2022-03-09T00:24:43Z,890000,66.0,63.0,1,right,MISS T. Haliburton 9' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,9.12,Missed,,,,,,,,,,,,,,,,,,
90,PT06M18.00S,2022-03-09T00:24:42.7Z,1,REGULAR,rebound,defensive,[],1630205,,,1610612739,10,18,2022-03-09T00:24:43Z,900000,,,0,,L. Stevens REBOUND (Off:0 Def:1),[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,
91,PT06M04.00S,2022-03-09T00:24:55.9Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612739,10,18,2022-03-09T00:24:59Z,910000,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 1629048]",1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,1.0,,,,,Bitadze,1629048.0,,
