actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M28.00S,2022-01-06T00:42:37.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,10.463206307490145,72.54901960784314,1610612751,2,2,2022-01-06T00:42:42Z,170000,-113.0,46.0,1,left,MISS K. Durant 12' turnaround Shot,[201142],1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,12.17,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2022-01-06T00:42:40.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,2,2022-01-06T00:42:42Z,180000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,17.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
19,PT10M06.00S,2022-01-06T00:43:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,91.93495400788436,47.05882352941176,1610612754,4,2,2022-01-06T00:43:06Z,190000,-15.0,23.0,1,right,D. Sabonis Layup (2 PTS) (M. Turner 1 AST),"[1627734, 1626167]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,2.75,Made,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
21,PT10M06.00S,2022-01-06T00:43:03.4Z,1,REGULAR,foul,personal,['1freethrow'],201142,,,1610612754,4,2,2022-01-06T00:43:09Z,210000,,,0,,K. Durant shooting personal FOUL (1 PF) (Sabonis 1 FT),"[201142, 1627734]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Sabonis,1627734.0,,,
23,PT10M06.00S,2022-01-06T00:43:28.2Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612754,5,2,2022-01-06T00:43:28Z,230000,,,0,,D. Sabonis Free Throw 1 of 1 (3 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,3.0,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2022-01-06T00:43:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,13.87976346911958,49.50980392156863,1610612751,5,4,2022-01-06T00:43:51Z,240000,2.0,78.0,1,left,K. Durant 7' fadeaway Jump Shot (4 PTS) (N. Claxton 1 AST),"[201142, 1629651]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,7.8,Made,,4.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,
26,PT09M37.00S,2022-01-06T00:44:04.5Z,1,REGULAR,turnover,bad pass,[],1627734,,,1610612754,5,4,2022-01-06T00:44:14Z,260000,,,0,,D. Sabonis bad pass TURNOVER (2 TO),"[1627734, 1629651]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,2.0,Claxton,1629651.0,,,,,,,,,,,
27,PT09M37.00S,2022-01-06T00:44:04.5Z,1,REGULAR,steal,,[],1629651,,,1610612751,5,4,2022-01-06T00:44:06Z,270000,,,0,,N. Claxton STEAL (2 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M37.00S,2022-01-06T00:44:07.4Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612751,5,4,2022-01-06T00:44:19Z,280000,,,0,,K. Irving step out-of-bounds TURNOVER (1 TO),[202681],1610612751.0,BKN,step,,,Irving,K. Irving,,,,,,,,,,,,1.0,,,,,,204059.0,,,,,,,
29,PT09M33.00S,2022-01-06T00:44:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,82.9993429697766,95.34313725490196,1610612754,5,4,2022-01-06T00:44:28Z,290000,227.0,107.0,1,right,MISS M. Turner 25' bank 3PT,[1626167],1610612754.0,IND,bank,,,Turner,M. Turner,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2022-01-06T00:44:26.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,4,2022-01-06T00:44:28Z,300000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,29.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
31,PT09M24.00S,2022-01-06T00:44:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,8.229303547963205,57.35294117647059,1610612751,5,4,2022-01-06T00:44:43Z,310000,-37.0,25.0,1,left,MISS J. Harden running Layup - blocked,"[201935, 1626167]",1610612751.0,BKN,running,,,Harden,J. Harden,,,,,4.44,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
32,PT09M24.00S,2022-01-06T00:44:32.1Z,1,REGULAR,block,,[],1626167,,,1610612751,5,4,2022-01-06T00:44:34Z,320000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M24.00S,2022-01-06T00:44:32.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,5,4,2022-01-06T00:44:43Z,330000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
34,PT09M24.00S,2022-01-06T00:44:37.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,5,4,2022-01-06T00:44:37Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M09.00S,2022-01-06T00:44:59.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201935,22.28975032851511,69.36274509803921,1610612751,5,6,2022-01-06T00:45:04Z,350000,-97.0,157.0,1,left,J. Harden 18' step back Jump Shot (2 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,18.44,Made,,2.0,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2022-01-06T00:45:13.1Z,1,REGULAR,3pt,Jump Shot,[],203200,68.9388961892247,67.40196078431373,1610612754,5,6,2022-01-06T00:45:19Z,360000,87.0,239.0,1,right,MISS J. Holiday 25' step back 3PT,[203200],1610612754.0,IND,step back,,,Holiday,J. Holiday,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2022-01-06T00:45:17.1Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,5,6,2022-01-06T00:45:19Z,370000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:1),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,36.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
38,PT08M48.00S,2022-01-06T00:45:21.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",201935,13.61695137976347,43.13725490196079,1610612751,5,8,2022-01-06T00:46:14Z,380000,34.0,75.0,1,left,J. Harden 8' running pullup Jump Shot (4 PTS),[201935],1610612751.0,BKN,running pullup,,,Harden,J. Harden,,,,,8.29,Made,,4.0,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2022-01-06T00:45:32.2Z,1,REGULAR,3pt,Jump Shot,[],203200,65.52233902759527,42.64705882352941,1610612754,8,8,2022-01-06T00:45:39Z,390000,-37.0,272.0,1,right,J. Holiday 27' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,27.41,Made,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
41,PT08M24.00S,2022-01-06T00:45:45.1Z,1,REGULAR,3pt,Jump Shot,[],201142,22.026938239159,12.009803921568627,1610612751,8,11,2022-01-06T00:45:48Z,410000,190.0,155.0,1,left,K. Durant 24' 3PT  (7 PTS) (D. Duke Jr. 1 AST),"[201142, 1630561]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,24.5,Made,,7.0,D. Duke Jr.,1630561.0,1.0,,,,,,,,,,,,,,
43,PT08M13.00S,2022-01-06T00:45:59.2Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612754,8,11,2022-01-06T00:46:03Z,430000,,,0,,N. Claxton shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1629651, 1627734]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,203800.0,1.0,0.0,Sabonis,1627734.0,,,
45,PT08M13.00S,2022-01-06T00:46:30.3Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,9,11,2022-01-06T00:46:30Z,450000,,,0,,D. Sabonis Free Throw 1 of 2 (4 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,4.0,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2022-01-06T00:46:46.7Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,10,11,2022-01-06T00:46:46Z,460000,,,0,,D. Sabonis Free Throw 2 of 2 (5 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,,5.0,,,,,,,,,,,,,,,,,
47,PT07M58.00S,2022-01-06T00:47:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,12.565703022339028,37.254901960784316,1610612751,10,11,2022-01-06T00:47:10Z,470000,64.0,66.0,1,left,MISS K. Irving 9' turnaround Shot - blocked,"[202681, 1626167]",1610612751.0,BKN,turnaround,,,Irving,K. Irving,,,,,9.14,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
48,PT07M58.00S,2022-01-06T00:47:05.6Z,1,REGULAR,block,,[],1626167,,,1610612751,10,11,2022-01-06T00:47:08Z,480000,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M56.00S,2022-01-06T00:47:07.6Z,1,REGULAR,rebound,defensive,[],1630613,,,1610612754,10,11,2022-01-06T00:47:10Z,490000,,,0,,D. Washington Jr. REBOUND (Off:0 Def:1),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,47.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
50,PT07M46.00S,2022-01-06T00:47:19.7Z,1,REGULAR,3pt,Jump Shot,[],1630613,68.67608409986859,31.61764705882353,1610612754,10,11,2022-01-06T00:47:24Z,500000,-92.0,242.0,1,right,MISS D. Washington Jr. 25' 3PT,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M41.00S,2022-01-06T00:47:23.0Z,1,REGULAR,rebound,defensive,[],1630561,,,1610612751,10,11,2022-01-06T00:47:23Z,510000,,,0,,D. Duke Jr. REBOUND (Off:0 Def:2),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,50.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
52,PT07M35.00S,2022-01-06T00:47:29.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201142,25.18068331143233,41.42156862745098,1610612751,10,11,2022-01-06T00:47:36Z,520000,43.0,184.0,1,left,MISS K. Durant 18' running pullup Shot,[201142],1610612751.0,BKN,running pullup,,,Durant,K. Durant,,,,,18.91,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M31.00S,2022-01-06T00:47:33.6Z,1,REGULAR,rebound,defensive,[],1630613,,,1610612754,10,11,2022-01-06T00:47:36Z,530000,,,0,,D. Washington Jr. REBOUND (Off:0 Def:2),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,52.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
54,PT07M23.00S,2022-01-06T00:47:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626208,95.0886990801577,52.94117647058824,1610612754,12,11,2022-01-06T00:47:45Z,540000,15.0,-6.0,1,right,K. Sykes cutting Layup (4 PTS) (D. Sabonis 2 AST),"[1626208, 1627734]",1610612754.0,IND,cutting,,,Sykes,K. Sykes,,,,,1.6,Made,,4.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,,,,,
56,PT07M05.00S,2022-01-06T00:48:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,5.338370565045992,53.431372549019606,1610612751,12,13,2022-01-06T00:48:04Z,560000,-17.0,-2.0,1,left,N. Claxton cutting Layup (2 PTS) (K. Durant 1 AST),"[1629651, 201142]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,1.74,Made,,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,,
58,PT06M54.00S,2022-01-06T00:48:12.2Z,1,REGULAR,turnover,lost ball,[],203200,,,1610612754,12,13,2022-01-06T00:48:15Z,580000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[203200, 1630561]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,1.0,Duke Jr.,1630561.0,,,,,,,,,,,
59,PT06M54.00S,2022-01-06T00:48:12.2Z,1,REGULAR,steal,,[],1630561,,,1610612751,12,13,2022-01-06T00:48:13Z,590000,,,0,,D. Duke Jr. STEAL (1 STL),[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2022-01-06T00:48:14.7Z,1,REGULAR,turnover,bad pass,[],202681,,,1610612751,12,13,2022-01-06T00:49:38Z,600000,,,0,,K. Irving bad pass TURNOVER (2 TO),"[202681, 1626167]",1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,2.0,Turner,1626167.0,,,,,,,,,,,
61,PT06M50.00S,2022-01-06T00:48:14.7Z,1,REGULAR,steal,,[],1626167,,,1610612754,12,13,2022-01-06T00:48:18Z,610000,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2022-01-06T00:48:24.6Z,1,REGULAR,turnover,out-of-bounds,[],1630613,,,1610612754,12,13,2022-01-06T00:49:45Z,620000,,,0,,D. Washington Jr. lost ball out-of-bounds TURNOVER (1 TO),[1630613],1610612754.0,IND,lost ball,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,1.0,,,,,,204059.0,,,,,,,
63,PT06M49.00S,2022-01-06T00:48:34.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,12,13,2022-01-06T00:49:26Z,630000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M49.00S,2022-01-06T00:50:57.9Z,1,REGULAR,substitution,out,[],1630561,,,1610612751,12,13,2022-01-06T00:51:14Z,640000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2022-01-06T00:50:57.9Z,1,REGULAR,substitution,out,[],202681,,,1610612751,12,13,2022-01-06T00:51:14Z,650000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M49.00S,2022-01-06T00:50:57.9Z,1,REGULAR,substitution,in,[],201949,,,1610612751,12,13,2022-01-06T00:51:14Z,660000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M49.00S,2022-01-06T00:50:57.9Z,1,REGULAR,substitution,in,[],201988,,,1610612751,12,13,2022-01-06T00:51:14Z,670000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M49.00S,2022-01-06T00:51:20.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612751,12,13,2022-01-06T00:51:24Z,680000,,,0,,TEAM delay-of-game VIOLATION,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,204059.0,,,,,,,
70,PT06M37.00S,2022-01-06T00:51:43.7Z,1,REGULAR,foul,personal,['2freethrow'],1626208,,,1610612751,12,13,2022-01-06T00:51:48Z,690000,,,0,,K. Sykes shooting personal FOUL (1 PF) (Durant 2 FT),"[1626208, 201142]",1610612754.0,IND,shooting,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,203800.0,1.0,0.0,Durant,201142.0,,,
72,PT06M37.00S,2022-01-06T00:52:04.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201142,,,1610612751,12,14,2022-01-06T00:52:04Z,710000,,,0,,K. Durant Free Throw 1 of 2 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,8.0,,,,,,,,,,,,,,,,,
73,PT06M37.00S,2022-01-06T00:52:20.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201142,,,1610612751,12,15,2022-01-06T00:52:21Z,720000,,,0,,K. Durant Free Throw 2 of 2 (9 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,Made,,9.0,,,,,,,,,,,,,,,,,
74,PT06M23.00S,2022-01-06T00:52:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,84.57621550591328,49.50980392156863,1610612754,14,15,2022-01-06T00:52:42Z,730000,-2.0,92.0,1,right,M. Turner 9' turnaround Jump Shot (2 PTS) (D. Sabonis 3 AST),"[1626167, 1627734]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,9.25,Made,,2.0,D. Sabonis,1627734.0,3.0,,,,,,,,,,,,,,
76,PT06M23.00S,2022-01-06T00:52:40.5Z,1,REGULAR,foul,personal,['1freethrow'],201142,,,1610612754,14,15,2022-01-06T00:52:44Z,750000,,,0,,K. Durant shooting personal FOUL (2 PF) (Turner 1 FT),"[201142, 1626167]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Turner,1626167.0,,,
79,PT06M23.00S,2022-01-06T00:53:00.4Z,1,REGULAR,substitution,in,[],202362,,,1610612754,14,15,2022-01-06T00:53:53Z,780000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M23.00S,2022-01-06T00:53:00.4Z,1,REGULAR,substitution,out,[],203200,,,1610612754,14,15,2022-01-06T00:53:53Z,790000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M23.00S,2022-01-06T00:53:35.2Z,1,REGULAR,freethrow,1 of 1,[],1626167,,,1610612754,15,15,2022-01-06T00:53:35Z,800000,,,0,,M. Turner Free Throw 1 of 1 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,,3.0,,,,,,,,,,,,,,,,,
82,PT06M13.00S,2022-01-06T00:53:50.7Z,1,REGULAR,2pt,Jump Shot,[],201142,16.113666228646515,77.69607843137256,1610612751,15,15,2022-01-06T00:53:55Z,810000,-138.0,99.0,1,left,MISS K. Durant 17' Jump Shot,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,17.02,Missed,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2022-01-06T00:53:53.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,15,15,2022-01-06T00:53:55Z,820000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,82.0,,,,,,,,2.0,2.0,0.0,,,,,,,,
84,PT05M58.00S,2022-01-06T00:54:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.77463863337714,45.09803921568628,1610612754,17,15,2022-01-06T00:54:10Z,830000,-25.0,6.0,1,right,D. Sabonis cutting Layup (7 PTS) (D. Washington Jr. 1 AST),"[1627734, 1630613]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,2.52,Made,,7.0,D. Washington Jr.,1630613.0,1.0,,,,,,,,,,,,,,
86,PT05M36.00S,2022-01-06T00:54:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,9.017739816031538,56.86274509803921,1610612751,17,15,2022-01-06T00:54:32Z,850000,-34.0,32.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,4.71,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M32.00S,2022-01-06T00:54:31.0Z,1,REGULAR,rebound,offensive,[],201949,,,1610612751,17,15,2022-01-06T00:54:32Z,860000,,,0,,J. Johnson REBOUND (Off:1 Def:0),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,86.0,,,,,,,,1.0,0.0,1.0,,,,,,,,
88,PT05M32.00S,2022-01-06T00:54:30.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201949,5.590000152587891,50.0,1610612751,17,15,2022-01-06T00:54:30Z,870000,0.0,0.0,1,left,MISS J. Johnson tip Layup,[201949],1610612751.0,BKN,tip,,,Johnson,J. Johnson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M31.00S,2022-01-06T00:54:32.0Z,1,REGULAR,rebound,defensive,[],1626208,,,1610612754,17,15,2022-01-06T00:54:32Z,880000,,,0,,K. Sykes REBOUND (Off:0 Def:1),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,88.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
90,PT05M28.00S,2022-01-06T00:54:35.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626167,76.69185282522996,89.2156862745098,1610612754,17,15,2022-01-06T00:54:41Z,890000,196.0,167.0,1,right,MISS M. Turner 25' running 3PT,[1626167],1610612754.0,IND,running,,,Turner,M. Turner,,,,,25.73,Missed,,,,,,,,,,,,,,,,,,,
91,PT05M25.00S,2022-01-06T00:54:38.3Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,17,15,2022-01-06T00:54:41Z,900000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,90.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
92,PT05M19.00S,2022-01-06T00:54:45.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,31.488173455978973,63.725490196078425,1610612751,17,15,2022-01-06T00:54:52Z,910000,-69.0,243.0,1,left,MISS P. Mills 25' running 3PT,[201988],1610612751.0,BKN,running,,,Mills,P. Mills,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,,
93,PT05M14.00S,2022-01-06T00:54:50.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,17,15,2022-01-06T00:54:52Z,920000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,92.0,,,,,,,,1.0,1.0,0.0,,,,,,,,
