actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
28,PT09M38.00S,2021-12-11T00:13:40.3Z,1,REGULAR,3pt,Jump Shot,[],1629029,9.017739816031538,95.83333333333334,1610612742,4,5,2021-12-11T00:13:48Z,280000,-229.0,32.0,1,left,MISS L. Doncic step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,23.15,Missed,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2021-12-11T00:13:44.3Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,4,5,2021-12-11T00:13:44Z,290000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,28.0,,,,,,1.0,0.0,1.0,,,,,,,,,
30,PT09M34.00S,2021-12-11T00:13:45.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],204001,32.14520367936925,53.431372549019606,1610612742,4,8,2021-12-11T00:13:50Z,300000,-17.0,250.0,1,left,K. Porzingis 25' 3PT  (6 PTS) (D. Powell 1 AST),"[204001, 203939]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.03,Made,,,6.0,D. Powell,203939.0,1.0,,,,,,,,,,,,
32,PT09M10.00S,2021-12-11T00:14:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,91.5407358738502,47.794117647058826,1610612754,4,8,2021-12-11T00:14:13Z,320000,-11.0,27.0,1,right,MISS C. Duarte driving Layup,[1630537],1610612754.0,IND,driving,,,Duarte,C. Duarte,,,,,2.92,Missed,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2021-12-11T00:14:11.0Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,8,2021-12-11T00:14:13Z,330000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,32.0,,,,,,1.0,1.0,0.0,,,,,,,,,
34,PT08M57.00S,2021-12-11T00:14:22.4Z,1,REGULAR,3pt,Jump Shot,[],204001,33.98488830486202,58.82352941176471,1610612742,4,8,2021-12-11T00:14:26Z,340000,-44.0,267.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2021-12-11T00:14:25.4Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,4,8,2021-12-11T00:14:26Z,350000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,34.0,,,,,,1.0,1.0,0.0,,,,,,,,,
36,PT08M50.00S,2021-12-11T00:14:29.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630537,81.553876478318,52.450980392156865,1610612754,4,8,2021-12-11T00:14:49Z,360000,12.0,121.0,1,right,MISS C. Duarte 12' running pullup Shot,[1630537],1610612754.0,IND,running pullup,,,Duarte,C. Duarte,,,,,12.15,Missed,,,,,,,,,,,,,,,,,,
37,PT08M48.00S,2021-12-11T00:14:31.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,4,8,2021-12-11T00:14:49Z,370000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,
38,PT08M48.00S,2021-12-11T00:14:34.6Z,1,REGULAR,foul,personal,[],203939,,,1610612754,4,8,2021-12-11T00:14:43Z,380000,,,0,,D. Powell loose ball personal FOUL (1 PF),"[203939, 1627734]",1610612742.0,DAL,loose ball,,,Powell,D. Powell,,,,,,,,2715.0,,,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0
41,PT08M43.00S,2021-12-11T00:15:00.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630537,69.07030223390277,24.509803921568626,1610612754,4,8,2021-12-11T00:15:07Z,400000,-127.0,238.0,1,right,MISS C. Duarte 27' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,27.02,Missed,,,,,,,,,,,,,,,,,,
42,PT08M43.00S,2021-12-11T00:15:00.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,4,8,2021-12-11T00:15:07Z,410000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,41.0,,,,,,2.0,2.0,0.0,,,,,,,,,
44,PT08M31.00S,2021-12-11T00:15:11.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.327858081471746,53.18627450980392,1610612742,4,8,2021-12-11T00:15:16Z,420000,-16.0,261.0,1,left,MISS L. Doncic 26' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,
45,PT08M28.00S,2021-12-11T00:15:14.5Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,4,8,2021-12-11T00:15:16Z,430000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,44.0,,,,,,2.0,1.0,1.0,,,,,,,,,
47,PT08M19.00S,2021-12-11T00:15:23.5Z,1,REGULAR,turnover,bad pass,[],1627763,,,1610612754,4,8,2021-12-11T00:15:29Z,450000,,,0,,M. Brogdon bad pass TURNOVER (1 TO),"[1627763, 1629029]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,1.0,Doncic,1629029.0,,,,,,
48,PT08M19.00S,2021-12-11T00:15:23.5Z,1,REGULAR,steal,,[],1629029,,,1610612742,4,8,2021-12-11T00:15:27Z,460000,,,0,,L. Doncic STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M03.00S,2021-12-11T00:15:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",204001,8.229303547963205,50.98039215686274,1610612742,4,10,2021-12-11T00:15:48Z,480000,-5.0,25.0,1,left,K. Porzingis Layup (8 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,2.54,Made,,,8.0,,,,,,,,,,,,,,,
51,PT07M48.00S,2021-12-11T00:15:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.19776609724047,46.32352941176471,1610612754,6,10,2021-12-11T00:15:58Z,490000,-18.0,21.0,1,right,D. Sabonis cutting Layup (2 PTS) (C. LeVert 1 AST),"[1627734, 1627747]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,2.78,Made,,,2.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,
53,PT07M26.00S,2021-12-11T00:16:16.3Z,1,REGULAR,2pt,Jump Shot,[],1629029,15.325229960578188,71.81372549019608,1610612742,6,10,2021-12-11T00:16:21Z,510000,-109.0,92.0,1,left,MISS L. Doncic 14' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,14.25,Missed,,,,,,,,,,,,,,,,,,
54,PT07M23.00S,2021-12-11T00:16:19.3Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,6,10,2021-12-11T00:16:21Z,520000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,53.0,,,,,,1.0,1.0,0.0,,,,,,,,,
55,PT07M18.00S,2021-12-11T00:16:23.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1627734,93.9060446780552,48.529411764705884,1610612754,8,10,2021-12-11T00:16:29Z,530000,-7.0,5.0,1,right,D. Sabonis running DUNK (4 PTS) (C. Duarte 1 AST),"[1627734, 1630537]",1610612754.0,IND,running,,,Sabonis,D. Sabonis,,,,,0.88,Made,,,4.0,C. Duarte,1630537.0,1.0,,,,,,,,,,,,
57,PT07M03.00S,2021-12-11T00:16:41.6Z,1,REGULAR,foul,personal,[],1627734,,,1610612742,8,10,2021-12-11T00:17:06Z,550000,,,0,,D. Sabonis personal FOUL (1 PF),"[1627734, 203939]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,1627526.0,,,,,,,,,,,,,1.0,0.0,Powell,203939.0
59,PT07M03.00S,2021-12-11T00:16:51.4Z,1,REGULAR,substitution,out,[],203493,,,1610612742,8,10,2021-12-11T00:16:53Z,570000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M03.00S,2021-12-11T00:16:51.4Z,1,REGULAR,substitution,in,[],1628973,,,1610612742,8,10,2021-12-11T00:16:53Z,580000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2021-12-11T00:17:17.5Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,8,10,2021-12-11T00:17:20Z,590000,,,0,,L. Doncic bad pass TURNOVER (2 TO),"[1629029, 1627747]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,2.0,LeVert,1627747.0,,,,,,
62,PT06M55.00S,2021-12-11T00:17:17.5Z,1,REGULAR,steal,,[],1627747,,,1610612754,8,10,2021-12-11T00:17:18Z,600000,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2021-12-11T00:17:22.3Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612754,8,10,2021-12-11T00:17:36Z,610000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Duarte 2 FT),"[204001, 1630537]",1610612742.0,DAL,shooting,,,Porzingis,K. Porzingis,,,,,,,,1627526.0,,,,,,,,,,,,,1.0,0.0,Duarte,1630537.0
65,PT06M51.00S,2021-12-11T00:17:35.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,8,10,2021-12-11T00:17:35Z,630000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M51.00S,2021-12-11T00:20:31.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630537,,,1610612754,9,10,2021-12-11T00:20:31Z,640000,,,0,,C. Duarte Free Throw 1 of 2 (3 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,,,3.0,,,,,,,,,,,,,,,
67,PT06M51.00S,2021-12-11T00:20:42.6Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630537,,,1610612754,10,10,2021-12-11T00:20:42Z,650000,,,0,,C. Duarte Free Throw 2 of 2 (4 PTS),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,Made,,,4.0,,,,,,,,,,,,,,,
68,PT06M30.00S,2021-12-11T00:21:06.5Z,1,REGULAR,2pt,Jump Shot,[],1628973,6.652431011826544,15.196078431372548,1610612742,10,12,2021-12-11T00:21:12Z,660000,174.0,10.0,1,left,J. Brunson 17' fadeaway Jump Shot (2 PTS),[1628973],1610612742.0,DAL,fadeaway,,,Brunson,J. Brunson,,,,,17.43,Made,,,2.0,,,,,,,,,,,,,,,
69,PT06M02.00S,2021-12-11T00:21:35.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,10,12,2021-12-11T00:21:43Z,670000,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,,,,2715.0,,,,,,,,,,,,,,,,
70,PT05M41.00S,2021-12-11T00:22:08.8Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,10,12,2021-12-11T00:22:12Z,680000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1627763]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,1.0,Brogdon,1627763.0,,,,,,
71,PT05M41.00S,2021-12-11T00:22:08.8Z,1,REGULAR,steal,,[],1627763,,,1610612754,10,12,2021-12-11T00:22:10Z,690000,,,0,,M. Brogdon STEAL (1 STL),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M38.00S,2021-12-11T00:22:11.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627763,71.17279894875165,21.813725490196077,1610612754,10,12,2021-12-11T00:22:17Z,700000,-141.0,218.0,1,right,MISS M. Brogdon 26' running pullup 3PT,[1627763],1610612754.0,IND,running pullup,,,Brogdon,M. Brogdon,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2021-12-11T00:22:16.4Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,10,12,2021-12-11T00:22:17Z,710000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,72.0,,,,,,1.0,1.0,0.0,,,,,,,,,
74,PT05M26.00S,2021-12-11T00:22:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,6.652431011826544,45.34313725490196,1610612742,10,14,2021-12-11T00:25:48Z,720000,23.0,10.0,1,left,L. Doncic driving Layup (4 PTS) (J. Brunson 1 AST),"[1629029, 1628973]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,2.54,Made,,,4.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,
76,PT05M13.00S,2021-12-11T00:22:38.6Z,1,REGULAR,foul,offensive,[],1627734,,,1610612754,10,14,2021-12-11T00:22:50Z,740000,,,0,,D. Sabonis offensive FOUL (2 PF),"[1627734, 203939]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,202007.0,,,,,,,,,,,,,2.0,0.0,Powell,203939.0
78,PT05M13.00S,2021-12-11T00:22:38.6Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612754,10,14,2021-12-11T00:22:38Z,760000,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,202007.0,,,,,,,,1.0,,,,,,,,
79,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,out,[],1630537,,,1610612742,10,14,2021-12-11T00:23:07Z,770000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612742,10,14,2021-12-11T00:23:07Z,780000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,out,[],204001,,,1610612742,10,14,2021-12-11T00:23:07Z,790000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,out,[],203939,,,1610612742,10,14,2021-12-11T00:23:07Z,800000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,in,[],1629052,,,1610612742,10,14,2021-12-11T00:23:07Z,810000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,in,[],203087,,,1610612742,10,14,2021-12-11T00:23:07Z,820000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,in,[],1629650,,,1610612742,10,14,2021-12-11T00:23:07Z,830000,,,0,,SUB in: M. Brown,[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M13.00S,2021-12-11T00:22:49.9Z,1,REGULAR,substitution,in,[],203501,,,1610612742,10,14,2021-12-11T00:23:07Z,840000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M59.00S,2021-12-11T00:23:27.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629650,9.149145860709593,55.88235294117647,1610612742,10,14,2021-12-11T00:25:02Z,850000,-29.0,34.0,1,left,MISS M. Brown turnaround bank Shot,[1629650],1610612742.0,DAL,turnaround bank,,,Brown,M. Brown,,,,,4.46,Missed,,,,,,,,,,,,,,,,,,
88,PT04M55.00S,2021-12-11T00:23:31.1Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,10,14,2021-12-11T00:23:32Z,860000,,,0,,J. Lamb REBOUND (Off:0 Def:1),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,87.0,,,,,,1.0,1.0,0.0,,,,,,,,,
89,PT04M46.00S,2021-12-11T00:23:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.64323258869908,53.431372549019606,1610612754,12,14,2021-12-11T00:23:43Z,870000,17.0,7.0,1,right,M. Turner Layup (4 PTS) (M. Brogdon 2 AST),"[1626167, 1627763]",1610612754.0,IND,,,,Turner,M. Turner,,,,,1.87,Made,,,4.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,,,
91,PT04M26.00S,2021-12-11T00:24:02.0Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,12,14,2021-12-11T00:24:09Z,890000,,,0,,L. Doncic traveling TURNOVER (3 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,2715.0,,,,,,,,3.0,,,,,,,,
