actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
37,PT09M38.00S,2021-12-17T00:14:58.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628977,7.5722733245729295,50.98039215686274,1610612765,2,10,2021-12-17T00:15:07Z,370000,-5.0,19.0,1,left,H. Diallo alley-oop DUNK (6 PTS) (S. Bey 1 AST),"[1628977, 1630180]",1610612765.0,DET,alley-oop,,,Diallo,H. Diallo,,,,,,,,,,Made,6.0,1.93,,,,,S. Bey,1630180.0,1.0,,,,,,
39,PT09M32.00S,2021-12-17T00:15:13.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,2,10,2021-12-17T00:15:13Z,390000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M21.00S,2021-12-17T00:18:09.0Z,1,REGULAR,3pt,Jump Shot,[],203200,67.88764783180025,53.67647058823529,1610612754,2,10,2021-12-17T00:18:15Z,400000,18.0,249.0,1,right,MISS J. Holiday 25' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,Missed,,25.01,,,,,,,,,,,,,
41,PT09M15.00S,2021-12-17T00:18:15.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,10,2021-12-17T00:18:15Z,410000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,
42,PT09M09.00S,2021-12-17T00:18:25.8Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612765,2,10,2021-12-17T00:18:30Z,420000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Bey 2 FT),"[1627734, 1630180]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,204059.0,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,,,,,
44,PT09M09.00S,2021-12-17T00:18:47.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630180,,,1610612765,2,11,2021-12-17T00:18:47Z,440000,,,0,,S. Bey Free Throw 1 of 2 (3 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
45,PT09M09.00S,2021-12-17T00:19:03.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630180,,,1610612765,2,12,2021-12-17T00:19:03Z,450000,,,0,,S. Bey Free Throw 2 of 2 (4 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
46,PT08M58.00S,2021-12-17T00:19:19.9Z,1,REGULAR,foul,personal,[],1630165,,,1610612754,2,12,2021-12-17T00:19:59Z,460000,,,0,,K. Hayes personal FOUL (1 PF),"[1630165, 202954]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,202041.0,1.0,0.0,Wanamaker,202954.0,,,,,,,,,,,,,,,,
48,PT08M44.00S,2021-12-17T00:19:54.8Z,1,REGULAR,3pt,Jump Shot,[],203200,62.89421813403416,35.294117647058826,1610612754,2,12,2021-12-17T00:20:02Z,480000,-74.0,296.0,1,right,MISS J. Holiday 30' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,Missed,,30.53,,,,,,,,,,,,,
49,PT08M44.00S,2021-12-17T00:19:58.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,2,12,2021-12-17T00:19:58Z,490000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,
50,PT08M44.00S,2021-12-17T00:19:59.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,2,12,2021-12-17T00:20:07Z,500000,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,202041.0,,,,,,,,,,,,,,,,,,,,
51,PT08M22.00S,2021-12-17T00:20:35.6Z,1,REGULAR,turnover,3-second-violation,[],1630191,,,1610612765,2,12,2021-12-17T00:20:43Z,510000,,,0,,I. Stewart 3-second-violation TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,202041.0,,,,,,,,,,,,,,,1.0,,,,,
52,PT08M03.00S,2021-12-17T00:21:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,92.59198423127464,53.67647058823529,1610612754,4,12,2021-12-17T00:21:08Z,520000,18.0,17.0,1,right,M. Turner driving finger roll Layup (2 PTS),[1626167],1610612754.0,IND,driving finger roll,,,Turner,M. Turner,,,,,,,,,,Made,2.0,2.51,,,,,,,,,,,,,
53,PT07M50.00S,2021-12-17T00:21:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,6.389618922470433,54.166666666666664,1610612765,4,12,2021-12-17T00:21:21Z,530000,-21.0,8.0,1,left,MISS K. Hayes driving finger roll Layup,[1630165],1610612765.0,DET,driving finger roll,,,Hayes,K. Hayes,,,,,,,,,,Missed,,2.21,,,,,,,,,,,,,
54,PT07M48.00S,2021-12-17T00:21:19.1Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,4,12,2021-12-17T00:21:21Z,540000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,
55,PT07M42.00S,2021-12-17T00:21:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,93.11760840998686,47.05882352941176,1610612754,6,12,2021-12-17T00:21:31Z,550000,-15.0,12.0,1,right,D. Sabonis running Layup (4 PTS) (C. LeVert 1 AST),"[1627734, 1627747]",1610612754.0,IND,running,,,Sabonis,D. Sabonis,,,,,,,,,,Made,4.0,1.91,,,,,C. LeVert,1627747.0,1.0,,,,,,
57,PT07M24.00S,2021-12-17T00:21:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,6.783837056504599,56.127450980392155,1610612765,6,12,2021-12-17T00:21:46Z,570000,-31.0,11.0,1,left,MISS I. Stewart driving Layup - blocked,"[1630191, 1626167]",1610612765.0,DET,driving,,,Stewart,I. Stewart,,,,,,,,,,Missed,,3.26,,,,,,,,,,,Turner,1626167.0,
58,PT07M24.00S,2021-12-17T00:21:42.1Z,1,REGULAR,block,,[],1626167,,,1610612765,6,12,2021-12-17T00:21:44Z,580000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M22.00S,2021-12-17T00:21:44.1Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612765,6,12,2021-12-17T00:21:46Z,590000,,,0,,S. Bey REBOUND (Off:1 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,57.0,2.0,1.0,1.0,,,,,,,,,
60,PT07M22.00S,2021-12-17T00:21:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,5.075558475689881,45.588235294117645,1610612765,6,14,2021-12-17T00:21:53Z,600000,22.0,-5.0,1,left,S. Bey putback Layup (6 PTS),[1630180],1610612765.0,DET,putback,,,Bey,S. Bey,,,,,,,,,,Made,6.0,2.26,,,,,,,,,,,,,
61,PT07M11.00S,2021-12-17T00:21:55.6Z,1,REGULAR,3pt,Jump Shot,[],203200,69.07030223390277,33.57843137254902,1610612754,9,14,2021-12-17T00:22:01Z,610000,-82.0,238.0,1,right,J. Holiday 25' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,,,,,,Made,3.0,25.2,,,,,D. Sabonis,1627734.0,1.0,,,,,,
63,PT06M55.00S,2021-12-17T00:22:11.6Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,9,14,2021-12-17T00:22:15Z,630000,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 202954]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,1.0,Wanamaker,202954.0,,,
64,PT06M55.00S,2021-12-17T00:22:11.6Z,1,REGULAR,steal,,[],202954,,,1610612754,9,14,2021-12-17T00:22:13Z,640000,,,0,,B. Wanamaker STEAL (1 STL),[202954],1610612754.0,IND,,,,Wanamaker,B. Wanamaker,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M54.00S,2021-12-17T00:22:15.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,9,14,2021-12-17T00:22:15Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M54.00S,2021-12-17T00:22:16.7Z,1,REGULAR,substitution,out,[],1627747,,,1610612754,9,14,2021-12-17T00:22:24Z,660000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M54.00S,2021-12-17T00:22:16.7Z,1,REGULAR,substitution,in,[],1630537,,,1610612754,9,14,2021-12-17T00:22:24Z,670000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M36.00S,2021-12-17T00:22:47.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203200,92.59198423127464,96.32352941176471,1610612754,12,14,2021-12-17T00:22:52Z,680000,232.0,17.0,1,right,J. Holiday 3PT  (6 PTS) (D. Sabonis 2 AST),"[203200, 1627734]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,Made,6.0,23.22,,,,,D. Sabonis,1627734.0,2.0,,,,,,
70,PT06M28.00S,2021-12-17T00:22:59.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,14,2021-12-17T00:22:59Z,700000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M28.00S,2021-12-17T00:25:21.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612765,12,14,2021-12-17T00:25:41Z,710000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M28.00S,2021-12-17T00:25:21.9Z,1,REGULAR,substitution,in,[],1629052,,,1610612765,12,14,2021-12-17T00:25:41Z,720000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M18.00S,2021-12-17T00:26:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,13.61695137976347,56.127450980392155,1610612765,12,14,2021-12-17T00:26:06Z,730000,-31.0,75.0,1,left,MISS C. Cunningham 8' pullup Shot - blocked,"[1630595, 1626167]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,,,,,Missed,,8.15,,,,,,,,,,,Turner,1626167.0,
74,PT06M18.00S,2021-12-17T00:26:02.3Z,1,REGULAR,block,,[],1626167,,,1610612765,12,14,2021-12-17T00:26:04Z,740000,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M16.00S,2021-12-17T00:26:04.3Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,12,14,2021-12-17T00:26:06Z,750000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,
76,PT06M11.00S,2021-12-17T00:26:09.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630537,81.553876478318,39.950980392156865,1610612754,12,14,2021-12-17T00:35:07Z,760000,-50.0,121.0,1,right,MISS C. Duarte 13' running pullup Shot,[1630537],1610612754.0,IND,running pullup,,,Duarte,C. Duarte,,,,,,,,,,Missed,,13.09,,,,,,,,,,,,,
77,PT06M07.00S,2021-12-17T00:26:13.6Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,12,14,2021-12-17T00:26:20Z,770000,,,0,,S. Bey REBOUND (Off:1 Def:2),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,76.0,3.0,2.0,1.0,,,,,,,,,
78,PT05M56.00S,2021-12-17T00:26:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,10.988830486202366,36.27450980392157,1610612765,12,14,2021-12-17T00:26:29Z,780000,69.0,51.0,1,left,MISS S. Bey 8' turnaround Shot,[1630180],1610612765.0,DET,turnaround,,,Bey,S. Bey,,,,,,,,,,Missed,,8.54,,,,,,,,,,,,,
79,PT05M54.00S,2021-12-17T00:26:25.6Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,12,14,2021-12-17T00:26:29Z,790000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,
80,PT05M41.00S,2021-12-17T00:26:38.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630537,93.77463863337714,49.754901960784316,1610612754,14,14,2021-12-17T00:26:42Z,800000,-1.0,6.0,1,right,C. Duarte cutting DUNK (2 PTS) (O. Brissett 1 AST),"[1630537, 1629052]",1610612754.0,IND,cutting,,,Duarte,C. Duarte,,,,,,,,,,Made,2.0,0.61,,,,,O. Brissett,1629052.0,1.0,,,,,,
82,PT05M29.00S,2021-12-17T00:26:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,12.040078843626807,42.8921568627451,1610612765,14,16,2021-12-17T00:26:55Z,820000,36.0,61.0,1,left,C. Cunningham 7' driving floating Jump Shot (2 PTS),[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,,,,,,Made,2.0,7.03,,,,,,,,,,,,,
83,PT05M09.00S,2021-12-17T00:27:10.9Z,1,REGULAR,2pt,Jump Shot,[],1630537,92.32917214191852,18.872549019607842,1610612754,16,16,2021-12-17T00:27:23Z,830000,-156.0,20.0,1,right,C. Duarte 15' pullup Jump Shot (4 PTS),[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,,,,,,Made,4.0,15.68,,,,,,,,,,,,,
84,PT04M55.00S,2021-12-17T00:27:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.1268068331143235,45.83333333333333,1610612765,16,18,2021-12-17T00:27:28Z,840000,21.0,5.0,1,left,C. Cunningham driving Layup (4 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,,,Made,4.0,2.14,,,,,,,,,,,,,
85,PT04M44.00S,2021-12-17T00:27:35.4Z,1,REGULAR,3pt,Jump Shot,[],1626167,67.62483574244416,30.392156862745097,1610612754,16,18,2021-12-17T00:27:40Z,850000,-98.0,252.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,Missed,,27.02,,,,,,,,,,,,,
86,PT04M41.00S,2021-12-17T00:27:38.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,16,18,2021-12-17T00:27:40Z,860000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,85.0,2.0,2.0,0.0,,,,,,,,,
87,PT04M33.00S,2021-12-17T00:27:49.9Z,1,REGULAR,foul,personal,['2freethrow'],1629052,,,1610612765,16,18,2021-12-17T00:27:55Z,870000,,,0,,O. Brissett shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1629052, 1630595]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,202041.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,,,,,,,,
89,PT04M33.00S,2021-12-17T00:28:22.1Z,1,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,16,19,2021-12-17T00:28:22Z,890000,,,0,,C. Cunningham Free Throw 1 of 2 (5 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
90,PT04M33.00S,2021-12-17T00:28:22.7Z,1,REGULAR,substitution,out,[],203200,,,1610612765,16,19,2021-12-17T00:28:40Z,900000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
