actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
25,PT10M15.00S,2022-02-05T00:15:11.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630678,5.590000152587891,50.0,1610612754,0,8,2022-02-05T00:15:38Z,250000,0.0,0.0,1,left,MISS T. Taylor tip Layup,[1630678],1610612754.0,IND,tip,,,Taylor,T. Taylor,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
26,PT10M15.00S,2022-02-05T00:15:11.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,8,2022-02-05T00:15:38Z,260000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,25.0,4.0,3.0,1.0,,,,,,,,,,,,,
27,PT10M11.00S,2022-02-05T00:15:14.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629750,92.9862023653088,50.49019607843137,1610612741,0,10,2022-02-05T00:17:31Z,270000,2.0,13.0,1,right,J. Green running alley-oop DUNK (4 PTS) (A. Dosunmu 2 AST),"[1629750, 1630245]",1610612741.0,CHI,running alley-oop,,,Green,J. Green,,,,,1.36,Made,4.0,,,,,A. Dosunmu,1630245.0,2.0,,,,,,,,,,
29,PT09M57.00S,2022-02-05T00:15:30.2Z,1,REGULAR,foul,personal,[],1630245,,,1610612754,0,10,2022-02-05T00:15:33Z,290000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1630537]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,204059.0,1.0,0.0,Duarte,1630537.0,,,,,
31,PT09M52.00S,2022-02-05T00:15:51.7Z,1,REGULAR,3pt,Jump Shot,[],1630537,24.129434954007884,92.15686274509804,1610612754,3,10,2022-02-05T00:15:56Z,310000,-211.0,174.0,1,left,C. Duarte 27' 3PT  (3 PTS) (C. LeVert 1 AST),"[1630537, 1627747]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,27.35,Made,3.0,,,,,C. LeVert,1627747.0,1.0,,,,,,,,,,
33,PT09M25.00S,2022-02-05T00:16:17.3Z,1,REGULAR,3pt,Jump Shot,[],1629750,93.9060446780552,96.07843137254902,1610612741,3,10,2022-02-05T00:16:23Z,330000,230.0,5.0,1,right,MISS J. Green 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,
34,PT09M21.00S,2022-02-05T00:16:21.3Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,3,10,2022-02-05T00:16:23Z,340000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT09M15.00S,2022-02-05T00:16:27.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627747,15.850854139290407,55.63725490196079,1610612754,5,10,2022-02-05T00:16:36Z,350000,-28.0,96.0,1,left,C. LeVert 10' pullup Jump Shot (2 PTS) (C. Duarte 1 AST),"[1627747, 1630537]",1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,10.05,Made,2.0,,,,,C. Duarte,1630537.0,1.0,,,,,,,,,,
37,PT08M57.00S,2022-02-05T00:16:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628972,92.72339027595268,53.92156862745098,1610612741,5,12,2022-02-05T00:16:53Z,370000,20.0,16.0,1,right,T. Brown Jr. cutting Layup (2 PTS) (A. Dosunmu 3 AST),"[1628972, 1630245]",1610612741.0,CHI,cutting,,,Brown Jr.,T. Brown Jr.,,,,,2.52,Made,2.0,,,,,A. Dosunmu,1630245.0,3.0,,,,,,,,,,
39,PT08M57.00S,2022-02-05T00:16:50.5Z,1,REGULAR,foul,personal,['1freethrow'],1630537,,,1610612741,5,12,2022-02-05T00:16:56Z,390000,,,0,,C. Duarte shooting personal FOUL (1 PF) (Brown Jr. 1 FT),"[1630537, 1628972]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,,,,,,,,,,,204058.0,1.0,0.0,Brown Jr.,1628972.0,,,,,
41,PT08M57.00S,2022-02-05T00:17:11.6Z,1,REGULAR,freethrow,1 of 1,[],1628972,,,1610612741,5,13,2022-02-05T00:17:11Z,410000,,,0,,T. Brown Jr. Free Throw 1 of 1 (3 PTS),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
42,PT08M44.00S,2022-02-05T00:17:27.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,15.850854139290407,47.549019607843135,1610612754,7,13,2022-02-05T00:17:31Z,420000,12.0,96.0,1,left,C. LeVert 9' pullup Jump Shot (4 PTS),[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,9.73,Made,4.0,,,,,,,,,,,,,,,,,
43,PT08M29.00S,2022-02-05T00:17:41.7Z,1,REGULAR,2pt,Jump Shot,[],201942,80.23981603153744,21.813725490196077,1610612741,7,15,2022-02-05T00:17:45Z,430000,-141.0,133.0,1,right,D. DeRozan 19' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,19.39,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2022-02-05T00:17:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,5.995400788436268,47.549019607843135,1610612754,9,15,2022-02-05T00:17:59Z,440000,12.0,4.0,1,left,T. Taylor Layup (2 PTS) (C. LeVert 2 AST),"[1630678, 1627747]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,1.29,Made,2.0,,,,,C. LeVert,1627747.0,2.0,,,,,,,,,,
46,PT08M19.00S,2022-02-05T00:17:57.1Z,1,REGULAR,foul,personal,['1freethrow'],1628972,,,1610612754,9,15,2022-02-05T00:18:02Z,460000,,,0,,T. Brown Jr. shooting personal FOUL (1 PF) (Taylor 1 FT),"[1628972, 1630678]",1610612741.0,CHI,shooting,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,204058.0,1.0,0.0,Taylor,1630678.0,,,,,
48,PT08M19.00S,2022-02-05T00:18:14.6Z,1,REGULAR,freethrow,1 of 1,[],1630678,,,1610612754,10,15,2022-02-05T00:18:14Z,480000,,,0,,T. Taylor Free Throw 1 of 1 (3 PTS),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
49,PT08M07.00S,2022-02-05T00:18:28.4Z,1,REGULAR,2pt,Jump Shot,[],201942,81.02825229960578,77.20588235294117,1610612741,10,15,2022-02-05T00:18:32Z,490000,136.0,126.0,1,right,MISS D. DeRozan 18' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,18.53,Missed,,,,,,,,,,,,,,,,,,
50,PT08M04.00S,2022-02-05T00:18:31.4Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,10,15,2022-02-05T00:18:32Z,500000,,,0,,N. Vucevic REBOUND (Off:2 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,49.0,5.0,3.0,2.0,,,,,,,,,,,,,
51,PT08M03.00S,2022-02-05T00:18:32.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,93.11760840998686,49.754901960784316,1610612741,10,17,2022-02-05T00:18:36Z,510000,-1.0,12.0,1,right,N. Vucevic putback Layup (4 PTS),[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,1.23,Made,4.0,,,,,,,,,,,,,,,,,
52,PT07M51.00S,2022-02-05T00:18:43.5Z,1,REGULAR,3pt,Jump Shot,[],1627747,31.225361366622867,62.99019607843137,1610612754,13,17,2022-02-05T00:18:49Z,520000,-65.0,241.0,1,left,C. LeVert 24' 3PT step back (7 PTS),[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,24.96,Made,7.0,,,,,,,,,,,,,,,,,
53,PT07M31.00S,2022-02-05T00:19:03.5Z,1,REGULAR,2pt,Jump Shot,[],202696,91.80354796320631,28.676470588235293,1610612741,13,19,2022-02-05T00:19:08Z,530000,-107.0,25.0,1,right,N. Vucevic 10' pullup Jump Shot (6 PTS),[202696],1610612741.0,CHI,pullup,,,Vucevic,N. Vucevic,,,,,10.94,Made,6.0,,,,,,,,,,,,,,,,,
54,PT07M25.00S,2022-02-05T00:19:09.6Z,1,REGULAR,3pt,Jump Shot,[],1627747,29.25427069645204,72.54901960784314,1610612754,13,19,2022-02-05T00:19:21Z,540000,-113.0,222.0,1,left,MISS C. LeVert 24' pullup 3PT,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,
55,PT07M21.00S,2022-02-05T00:19:13.6Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,13,19,2022-02-05T00:19:21Z,550000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:2),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,
56,PT07M07.00S,2022-02-05T00:19:28.2Z,1,REGULAR,3pt,Jump Shot,[],201942,92.06636005256242,96.07843137254902,1610612741,13,19,2022-02-05T00:19:33Z,560000,230.0,22.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,23.15,Missed,,,,,,,,,,,,,,,,,,
57,PT07M02.00S,2022-02-05T00:19:33.2Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,13,19,2022-02-05T00:19:33Z,570000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,,,,,,
58,PT07M02.00S,2022-02-05T00:19:32.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629750,94.40999984741211,50.0,1610612741,13,21,2022-02-05T00:19:36Z,580000,0.0,0.0,1,right,J. Green tip Layup (6 PTS),[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2022-02-05T00:19:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,7.178055190538765,53.67647058823529,1610612754,13,21,2022-02-05T00:19:52Z,590000,-18.0,15.0,1,left,MISS T. Taylor Layup,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,2.37,Missed,,,,,,,,,,,,,,,,,,
60,PT06M45.00S,2022-02-05T00:19:49.8Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,13,21,2022-02-05T00:19:52Z,600000,,,0,,T. Taylor REBOUND (Off:2 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,59.0,2.0,0.0,2.0,,,,,,,,,,,,,
61,PT06M41.00S,2022-02-05T00:19:53.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203200,5.995400788436268,3.6764705882352944,1610612754,13,21,2022-02-05T00:20:00Z,610000,232.0,4.0,1,left,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.16,Missed,,,,,,,,,,,,,,,,,,
62,PT06M39.00S,2022-02-05T00:19:55.8Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,13,21,2022-02-05T00:19:57Z,620000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:3),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,61.0,3.0,3.0,0.0,,,,,,,,,,,,,
63,PT06M25.00S,2022-02-05T00:20:11.6Z,1,REGULAR,turnover,traveling,[],201942,,,1610612741,13,21,2022-02-05T00:20:16Z,630000,,,0,,D. DeRozan traveling TURNOVER (1 TO),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,,
64,PT06M25.00S,2022-02-05T00:20:22.0Z,1,REGULAR,substitution,out,[],201942,,,1610612754,13,21,2022-02-05T00:20:26Z,640000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M25.00S,2022-02-05T00:20:22.0Z,1,REGULAR,substitution,in,[],1629744,,,1610612754,13,21,2022-02-05T00:20:26Z,650000,,,0,,SUB in: M. Thomas,[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M14.00S,2022-02-05T00:20:43.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627747,17.821944809461236,54.65686274509803,1610612754,15,21,2022-02-05T00:20:56Z,660000,-23.0,115.0,1,left,C. LeVert 11' pullup Jump Shot (9 PTS),[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,11.73,Made,9.0,,,,,,,,,,,,,,,,,
67,PT05M55.00S,2022-02-05T00:21:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,92.46057818659659,62.254901960784316,1610612741,15,23,2022-02-05T00:21:07Z,670000,61.0,18.0,1,right,N. Vucevic 6' turnaround Jump Shot (8 PTS) (A. Dosunmu 4 AST),"[202696, 1630245]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,6.4,Made,8.0,,,,,A. Dosunmu,1630245.0,4.0,,,,,,,,,,
69,PT05M44.00S,2022-02-05T00:21:13.1Z,1,REGULAR,2pt,Jump Shot,[],1630678,23.99802890932983,35.049019607843135,1610612754,15,23,2022-02-05T00:21:19Z,690000,75.0,173.0,1,left,MISS T. Taylor 18' Jump Shot,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,18.86,Missed,,,,,,,,,,,,,,,,,,
70,PT05M39.00S,2022-02-05T00:21:18.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,15,23,2022-02-05T00:21:19Z,700000,,,0,,N. Vucevic REBOUND (Off:2 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,69.0,6.0,4.0,2.0,,,,,,,,,,,,,
71,PT05M32.00S,2022-02-05T00:21:28.6Z,1,REGULAR,foul,personal,[],1630537,,,1610612741,15,23,2022-02-05T00:21:39Z,710000,,,0,,C. Duarte personal FOUL (2 PF),"[1630537, 202696]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,204058.0,2.0,0.0,Vucevic,202696.0,,,,,
73,PT05M32.00S,2022-02-05T00:21:40.7Z,1,REGULAR,substitution,out,[],1630537,,,1610612741,15,23,2022-02-05T00:21:47Z,730000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M32.00S,2022-02-05T00:21:40.7Z,1,REGULAR,substitution,in,[],1630613,,,1610612741,15,23,2022-02-05T00:21:47Z,740000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M27.00S,2022-02-05T00:22:07.7Z,1,REGULAR,3pt,Jump Shot,[],202696,65.25952693823915,43.13725490196079,1610612741,15,26,2022-02-05T00:22:14Z,750000,-34.0,274.0,1,right,N. Vucevic 27' 3PT  (11 PTS) (A. Dosunmu 5 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,27.62,Made,11.0,,,,,A. Dosunmu,1630245.0,5.0,,,,,,,,,,
77,PT05M14.00S,2022-02-05T00:22:22.8Z,1,REGULAR,turnover,traveling,[],1630678,,,1610612754,15,26,2022-02-05T00:22:28Z,770000,,,0,,T. Taylor traveling TURNOVER (1 TO),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,101284.0,,,,,1.0,,,,
78,PT05M14.00S,2022-02-05T00:22:38.3Z,1,REGULAR,substitution,out,[],1628972,,,1610612741,15,26,2022-02-05T00:22:41Z,780000,,,0,,SUB out: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M14.00S,2022-02-05T00:22:38.3Z,1,REGULAR,substitution,in,[],1630792,,,1610612741,15,26,2022-02-05T00:22:41Z,790000,,,0,,SUB in: M. Hill,[1630792],1610612741.0,CHI,,,,Hill,M. Hill,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M03.00S,2022-02-05T00:22:59.5Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,15,26,2022-02-05T00:23:04Z,800000,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 203200]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,
81,PT05M03.00S,2022-02-05T00:22:59.5Z,1,REGULAR,steal,,[],203200,,,1610612754,15,26,2022-02-05T00:23:01Z,810000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M58.00S,2022-02-05T00:23:04.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628470,33.327858081471746,51.470588235294116,1610612754,18,26,2022-02-05T00:23:11Z,820000,-7.0,261.0,1,left,T. Craig 26' 3PT running (3 PTS) (C. LeVert 3 AST),"[1628470, 1627747]",1610612754.0,IND,running,,,Craig,T. Craig,,,,,26.09,Made,3.0,,,,,C. LeVert,1627747.0,3.0,,,,,,,,,,
84,PT04M40.00S,2022-02-05T00:23:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,92.32917214191852,49.26470588235294,1610612741,18,28,2022-02-05T00:23:28Z,840000,-4.0,20.0,1,right,N. Vucevic Layup (13 PTS) (A. Dosunmu 6 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1.99,Made,13.0,,,,,A. Dosunmu,1630245.0,6.0,,,,,,,,,,
86,PT04M30.00S,2022-02-05T00:23:31.8Z,1,REGULAR,3pt,Jump Shot,[],1630613,28.86005256241787,18.137254901960784,1610612754,18,28,2022-02-05T00:23:37Z,860000,159.0,219.0,1,left,MISS D. Washington Jr. 27' 3PT,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,
87,PT04M26.00S,2022-02-05T00:23:35.8Z,1,REGULAR,rebound,defensive,[],1630792,,,1610612741,18,28,2022-02-05T00:23:37Z,870000,,,0,,M. Hill REBOUND (Off:0 Def:1),[1630792],1610612741.0,CHI,,,,Hill,M. Hill,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,
88,PT04M13.00S,2022-02-05T00:23:49.1Z,1,REGULAR,2pt,Jump Shot,[],202696,83.39356110381078,77.45098039215686,1610612741,18,28,2022-02-05T00:23:55Z,880000,137.0,104.0,1,right,MISS N. Vucevic 17' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,17.2,Missed,,,,,,,,,,,,,,,,,,
89,PT04M11.00S,2022-02-05T00:23:51.1Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,18,28,2022-02-05T00:23:55Z,890000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,
