actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
17,PT10M48.00S,2021-12-09T00:12:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,80.89684625492772,50.98039215686274,1610612754,1,4,2021-12-09T00:12:40Z,170000,5.0,127.0,1,right,MISS C. LeVert 12' fadeaway Shot,[1627747],1610612754.0,IND,fadeaway,,,LeVert,C. LeVert,,,,,,,,,,Missed,,12.72,,,,,,,,,,,,,
18,PT10M44.00S,2021-12-09T00:12:39.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,1,4,2021-12-09T00:12:40Z,180000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M38.00S,2021-12-09T00:12:44.5Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,1,4,2021-12-09T00:12:47Z,190000,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1630537]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1.0,Duarte,1630537.0,,,,,,
20,PT10M38.00S,2021-12-09T00:12:44.5Z,1,REGULAR,steal,,[],1630537,,,1610612754,1,4,2021-12-09T00:12:46Z,200000,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M34.00S,2021-12-09T00:12:48.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627734,92.9862023653088,50.73529411764706,1610612754,3,4,2021-12-09T00:12:54Z,210000,4.0,13.0,1,right,D. Sabonis running DUNK (2 PTS),[1627734],1610612754.0,IND,running,,,Sabonis,D. Sabonis,,,,,,,,,,Made,2.0,1.39,,,,,,,,,,,,,
22,PT10M11.00S,2021-12-09T00:13:13.5Z,1,REGULAR,foul,personal,[],1627747,,,1610612752,3,4,2021-12-09T00:13:22Z,220000,,,0,,C. LeVert personal FOUL (1 PF),"[1627747, 203095]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,1627961.0,1.0,0.0,Fournier,203095.0,,,,,,,,,,,,,,,,
24,PT10M03.00S,2021-12-09T00:13:38.5Z,1,REGULAR,2pt,Jump Shot,[],203944,27.151773981603156,27.941176470588236,1610612752,3,4,2021-12-09T00:13:49Z,240000,110.0,203.0,1,left,MISS J. Randle 23' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,,,Missed,,23.08,,,,,,,,,,,,,
25,PT09M59.00S,2021-12-09T00:13:42.5Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612754,3,4,2021-12-09T00:13:49Z,250000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,
26,PT09M55.00S,2021-12-09T00:13:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626167,92.72339027595268,52.450980392156865,1610612754,5,4,2021-12-09T00:13:54Z,260000,12.0,16.0,1,right,M. Turner running Layup (2 PTS) (M. Brogdon 1 AST),"[1626167, 1627763]",1610612754.0,IND,running,,,Turner,M. Turner,,,,,,,,,,Made,2.0,2.01,,,,,,,,M. Brogdon,1627763.0,1.0,,,
28,PT09M50.00S,2021-12-09T00:13:53.6Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,5,4,2021-12-09T00:13:59Z,280000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (2 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,1155.0,,,,,,,,,,,,2.0,,,,,,,,
29,PT09M41.00S,2021-12-09T00:14:11.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627747,71.56701708278581,33.088235294117645,1610612754,5,4,2021-12-09T00:14:16Z,290000,-85.0,215.0,1,right,MISS C. LeVert 23' step back Shot,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,,,,,,Missed,,23.09,,,,,,,,,,,,,
30,PT09M38.00S,2021-12-09T00:14:14.4Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,5,4,2021-12-09T00:14:16Z,300000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M27.00S,2021-12-09T00:14:25.6Z,1,REGULAR,3pt,Jump Shot,[],1629628,28.07161629434954,19.362745098039216,1610612752,5,4,2021-12-09T00:14:30Z,310000,153.0,211.0,1,left,MISS R. Barrett 26' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,26.11,,,,,,,,,,,,,
32,PT09M25.00S,2021-12-09T00:14:27.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,5,4,2021-12-09T00:14:30Z,320000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M19.00S,2021-12-09T00:14:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630537,92.9862023653088,45.09803921568628,1610612754,7,4,2021-12-09T00:14:39Z,330000,-25.0,13.0,1,right,C. Duarte running reverse Layup (2 PTS) (D. Sabonis 1 AST),"[1630537, 1627734]",1610612754.0,IND,running reverse,,,Duarte,C. Duarte,,,,,,,,,,Made,2.0,2.79,,,,,,,,D. Sabonis,1627734.0,1.0,,,
35,PT09M14.00S,2021-12-09T00:14:41.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,7,4,2021-12-09T00:14:41Z,350000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M02.00S,2021-12-09T00:17:46.9Z,1,REGULAR,2pt,Jump Shot,[],203944,7.703679369250986,27.450980392156865,1610612752,7,4,2021-12-09T00:17:53Z,360000,113.0,20.0,1,left,MISS J. Randle 11' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,,,,,,Missed,,11.44,,,,,,,,,,,,,
37,PT08M58.00S,2021-12-09T00:17:50.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,7,4,2021-12-09T00:17:53Z,370000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
38,PT08M53.00S,2021-12-09T00:17:55.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627763,82.7365308804205,26.47058823529412,1610612754,9,4,2021-12-09T00:18:11Z,380000,-118.0,110.0,1,right,M. Brogdon 16' running pullup Jump Shot (3 PTS),[1627763],1610612754.0,IND,running pullup,,,Brogdon,M. Brogdon,,,,,,,,,,Made,3.0,16.09,,,,,,,,,,,,,
39,PT08M26.00S,2021-12-09T00:18:22.9Z,1,REGULAR,3pt,Jump Shot,[],202692,32.802233902759525,73.0392156862745,1610612752,9,4,2021-12-09T00:18:27Z,390000,-115.0,256.0,1,left,MISS A. Burks 28' 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Missed,,28.05,,,,,,,,,,,,,
40,PT08M23.00S,2021-12-09T00:18:25.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,9,4,2021-12-09T00:18:27Z,400000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT08M16.00S,2021-12-09T00:18:32.9Z,1,REGULAR,3pt,Jump Shot,[],1627763,70.12155059132719,73.52941176470588,1610612754,12,4,2021-12-09T00:18:38Z,410000,118.0,228.0,1,right,M. Brogdon 25' 3PT  (6 PTS) (C. LeVert 1 AST),"[1627763, 1627747]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,Made,6.0,25.69,,,,,,,,C. LeVert,1627747.0,1.0,,,
43,PT07M50.00S,2021-12-09T00:19:07.2Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612752,12,4,2021-12-09T00:19:13Z,430000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (Randle 2 FT),"[1627734, 203944]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,1830.0,1.0,0.0,Randle,203944.0,,,,,,,,,,,,,,,,
45,PT07M50.00S,2021-12-09T00:19:28.2Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,12,5,2021-12-09T00:19:28Z,450000,,,0,,J. Randle Free Throw 1 of 2 (1 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
46,PT07M50.00S,2021-12-09T00:19:46.0Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,12,6,2021-12-09T00:19:46Z,460000,,,0,,J. Randle Free Throw 2 of 2 (2 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
47,PT07M41.00S,2021-12-09T00:19:57.3Z,1,REGULAR,3pt,Jump Shot,[],1630537,93.9060446780552,3.9215686274509802,1610612754,15,6,2021-12-09T00:20:03Z,470000,-230.0,5.0,1,right,C. Duarte 3PT  (5 PTS) (D. Sabonis 2 AST),"[1630537, 1627734]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,Made,5.0,23.04,,,,,,,,D. Sabonis,1627734.0,2.0,,,
49,PT07M18.00S,2021-12-09T00:20:19.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,9.806176084099869,51.9607843137255,1610612752,15,6,2021-12-09T00:20:29Z,490000,-10.0,40.0,1,left,MISS J. Randle pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,,,,,Missed,,4.09,,,,,,,,,,,,,
50,PT07M14.00S,2021-12-09T00:20:23.8Z,1,REGULAR,rebound,offensive,[],201959,,,1610612752,15,6,2021-12-09T00:20:24Z,500000,,,0,,T. Gibson REBOUND (Off:1 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,,,
51,PT07M14.00S,2021-12-09T00:20:23.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201959,5.590000152587891,50.0,1610612752,15,6,2021-12-09T00:20:26Z,510000,0.0,0.0,1,left,MISS T. Gibson tip Layup,[201959],1610612752.0,NYK,tip,,,Gibson,T. Gibson,,,,,,,,,,Missed,,0.0,,,,,,,,,,,,,
52,PT07M14.00S,2021-12-09T00:20:23.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,15,6,2021-12-09T00:20:26Z,520000,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
53,PT07M01.00S,2021-12-09T00:20:36.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,93.64323258869908,3.9215686274509802,1610612754,15,6,2021-12-09T00:20:41Z,530000,-230.0,7.0,1,right,MISS M. Brogdon 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,Missed,,23.05,,,,,,,,,,,,,
54,PT06M58.00S,2021-12-09T00:20:39.8Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,15,6,2021-12-09T00:20:41Z,540000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,
55,PT06M52.00S,2021-12-09T00:20:48.8Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612752,15,6,2021-12-09T00:20:56Z,550000,,,0,,C. LeVert shooting personal FOUL (2 PF) (Burks 2 FT),"[1627747, 202692]",1610612754.0,IND,shooting,,,LeVert,C. LeVert,,,,,1155.0,2.0,0.0,Burks,202692.0,,,,,,,,,,,,,,,,
57,PT06M52.00S,2021-12-09T00:21:11.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202692,,,1610612752,15,7,2021-12-09T00:21:11Z,570000,,,0,,A. Burks Free Throw 1 of 2 (3 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
58,PT06M52.00S,2021-12-09T00:21:12.2Z,1,REGULAR,substitution,out,[],1627747,,,1610612752,15,7,2021-12-09T00:21:14Z,580000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M52.00S,2021-12-09T00:21:12.2Z,1,REGULAR,substitution,in,[],203087,,,1610612752,15,7,2021-12-09T00:21:14Z,590000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2021-12-09T00:21:28.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],202692,,,1610612752,15,8,2021-12-09T00:21:29Z,600000,,,0,,A. Burks Free Throw 2 of 2 (4 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
61,PT06M43.00S,2021-12-09T00:21:41.2Z,1,REGULAR,foul,personal,[],202692,,,1610612754,15,8,2021-12-09T00:21:54Z,610000,,,0,,A. Burks personal FOUL (1 PF),"[202692, 1627763]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,1627961.0,1.0,0.0,Brogdon,1627763.0,,,,,,,,,,,,,,,,
63,PT06M35.00S,2021-12-09T00:22:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630537,82.21090670170827,46.568627450980394,1610612754,17,8,2021-12-09T00:22:12Z,630000,-17.0,115.0,1,right,C. Duarte 11' fadeaway Jump Shot (7 PTS),[1630537],1610612754.0,IND,fadeaway,,,Duarte,C. Duarte,,,,,,,,,,Made,7.0,11.6,,,,,,,,,,,,,
64,PT06M22.00S,2021-12-09T00:22:19.3Z,1,REGULAR,2pt,Jump Shot,[],202692,27.54599211563732,64.95098039215686,1610612752,17,8,2021-12-09T00:22:22Z,640000,-75.0,206.0,1,left,MISS A. Burks 21' pullup Shot,[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,,,,,,Missed,,21.95,,,,,,,,,,,,,
65,PT06M19.00S,2021-12-09T00:22:21.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,17,8,2021-12-09T00:22:21Z,650000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,
66,PT06M06.00S,2021-12-09T00:22:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.85479632063075,45.34313725490196,1610612754,17,8,2021-12-09T00:22:41Z,660000,-23.0,15.0,1,right,MISS D. Sabonis driving Layup - blocked,"[1627734, 203944]",1610612754.0,IND,driving,,,Sabonis,D. Sabonis,,,,,,,,,,Missed,,2.75,,,,,,,,,,,Randle,203944.0,
67,PT06M06.00S,2021-12-09T00:22:35.2Z,1,REGULAR,block,,[],203944,,,1610612754,17,8,2021-12-09T00:22:37Z,670000,,,0,,J. Randle BLOCK (1 BLK),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2021-12-09T00:22:38.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,17,8,2021-12-09T00:22:41Z,680000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,
69,PT06M00.00S,2021-12-09T00:22:41.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,25.04927726675427,84.80392156862744,1610612752,17,11,2021-12-09T00:22:48Z,690000,-174.0,183.0,1,left,R. Barrett 25' 3PT running (5 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,,,,,,Made,5.0,25.25,,,,,,,,E. Fournier,203095.0,1.0,,,
71,PT05M45.00S,2021-12-09T00:22:55.8Z,1,REGULAR,2pt,Jump Shot,[],203087,90.09526938239159,22.54901960784314,1610612754,17,11,2021-12-09T00:23:03Z,710000,-137.0,41.0,1,right,MISS J. Lamb 14' step back Shot,[203087],1610612754.0,IND,step back,,,Lamb,J. Lamb,,,,,,,,,,Missed,,14.32,,,,,,,,,,,,,
72,PT05M42.00S,2021-12-09T00:22:58.8Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,17,11,2021-12-09T00:23:03Z,720000,,,0,,E. Fournier REBOUND (Off:0 Def:3),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,71.0,3.0,3.0,0.0,,,,,,,,,
73,PT05M36.00S,2021-12-09T00:23:04.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203095,23.866622864651774,14.705882352941178,1610612752,17,14,2021-12-09T00:23:11Z,730000,176.0,172.0,1,left,E. Fournier 24' 3PT running pullup (3 PTS),[203095],1610612752.0,NYK,running pullup,,,Fournier,E. Fournier,,,,,,,,,,Made,3.0,24.63,,,,,,,,,,,,,
74,PT05M36.00S,2021-12-09T00:23:12.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,14,2021-12-09T00:23:12Z,740000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M36.00S,2021-12-09T00:24:59.4Z,1,REGULAR,substitution,out,[],202692,,,1610612754,17,14,2021-12-09T00:25:37Z,750000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M36.00S,2021-12-09T00:24:59.4Z,1,REGULAR,substitution,out,[],201959,,,1610612754,17,14,2021-12-09T00:25:37Z,760000,,,0,,SUB out: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M36.00S,2021-12-09T00:24:59.4Z,1,REGULAR,substitution,in,[],201565,,,1610612754,17,14,2021-12-09T00:25:37Z,770000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M36.00S,2021-12-09T00:24:59.4Z,1,REGULAR,substitution,in,[],1629011,,,1610612754,17,14,2021-12-09T00:25:37Z,780000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M19.00S,2021-12-09T00:26:22.3Z,1,REGULAR,foul,personal,[],1629011,,,1610612754,17,14,2021-12-09T00:26:33Z,790000,,,0,,M. Robinson personal FOUL (1 PF),"[1629011, 1627734]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1830.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,
81,PT05M13.00S,2021-12-09T00:26:49.2Z,1,REGULAR,2pt,Jump Shot,[],1627763,82.7365308804205,77.20588235294117,1610612754,17,14,2021-12-09T00:26:53Z,810000,136.0,110.0,1,right,MISS M. Brogdon 17' pullup Shot,[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,,,,,,Missed,,17.48,,,,,,,,,,,,,
82,PT05M09.00S,2021-12-09T00:26:53.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,17,14,2021-12-09T00:26:55Z,820000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,
83,PT05M00.00S,2021-12-09T00:27:01.8Z,1,REGULAR,2pt,Jump Shot,[],201565,7.440867279894875,28.676470588235293,1610612752,17,16,2021-12-09T00:27:06Z,830000,107.0,17.0,1,left,D. Rose 10' driving floating Jump Shot (2 PTS),[201565],1610612752.0,NYK,driving floating,,,Rose,D. Rose,,,,,,,,,,Made,2.0,10.8,,,,,,,,,,,,,
84,PT04M40.00S,2021-12-09T00:27:21.0Z,1,REGULAR,3pt,Jump Shot,[],1630537,91.01511169513797,95.58823529411765,1610612754,20,16,2021-12-09T00:27:25Z,840000,228.0,32.0,1,right,C. Duarte 3PT  (10 PTS) (M. Brogdon 2 AST),"[1630537, 1627763]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,Made,10.0,23.01,,,,,,,,M. Brogdon,1627763.0,2.0,,,
86,PT04M21.00S,2021-12-09T00:27:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,6.258212877792378,57.107843137254896,1610612752,20,16,2021-12-09T00:27:44Z,860000,-36.0,6.0,1,left,MISS R. Barrett driving finger roll Layup,[1629628],1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,,,,,,Missed,,3.61,,,,,,,,,,,,,
87,PT04M18.00S,2021-12-09T00:27:42.9Z,1,REGULAR,rebound,offensive,[],201565,,,1610612752,20,16,2021-12-09T00:30:41Z,870000,,,0,,D. Rose REBOUND (Off:1 Def:0),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,86.0,1.0,0.0,1.0,,,,,,,,,
88,PT04M15.00S,2021-12-09T00:27:46.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,33.196452036793694,49.50980392156863,1610612752,20,16,2021-12-09T00:27:52Z,880000,2.0,260.0,1,left,MISS J. Randle 25' step back 3PT,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,,,,,Missed,,25.95,,,,,,,,,,,,,
89,PT04M11.00S,2021-12-09T00:27:50.8Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,20,16,2021-12-09T00:27:52Z,890000,,,0,,J. Lamb REBOUND (Off:0 Def:1),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,
