actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
27,PT09M33.00S,2022-02-01T00:13:15.0Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,8,4,2022-02-01T00:13:15Z,270000,,,0,,I. Jackson REBOUND (Off:2 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,26.0,3.0,1.0,2.0,,,,,,,,,,
28,PT09M26.00S,2022-02-01T00:13:22.6Z,1,REGULAR,turnover,out-of-bounds,[],1630537,,,1610612754,8,4,2022-02-01T00:13:27Z,280000,,,0,,C. Duarte bad pass out-of-bounds TURNOVER (1 TO),[1630537],1610612754.0,IND,bad pass,,,Duarte,C. Duarte,,,,,,,,,,,,,,,202007.0,1.0,,,,,,,,
29,PT09M17.00S,2022-02-01T00:13:46.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,80.1084099868594,27.205882352941174,1610612746,8,4,2022-02-01T00:13:54Z,290000,-114.0,134.0,1,right,MISS M. Morris Sr. 17' turnaround Shot,[202694],1610612746.0,LAC,turnaround,,,Morris Sr.,M. Morris Sr.,,,,,17.63,Missed,,,,,,,,,,,,,,,,,,
30,PT09M14.00S,2022-02-01T00:13:49.9Z,1,REGULAR,rebound,offensive,[],201586,,,1610612746,8,4,2022-02-01T00:13:54Z,300000,,,0,,S. Ibaka REBOUND (Off:1 Def:0),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,
31,PT09M14.00S,2022-02-01T00:13:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201586,93.51182654402102,50.98039215686274,1610612746,8,6,2022-02-01T00:13:57Z,310000,5.0,8.0,1,right,S. Ibaka putback Layup (4 PTS),[201586],1610612746.0,LAC,putback,,,Ibaka,S. Ibaka,,,,,0.98,Made,4.0,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2022-02-01T00:14:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,6.258212877792378,45.34313725490196,1610612754,10,6,2022-02-01T00:14:13Z,320000,23.0,6.0,1,left,I. Jackson reverse Layup (7 PTS) (J. Holiday 1 AST),"[1630543, 203200]",1610612754.0,IND,reverse,,,Jackson,I. Jackson,,,,,2.41,Made,7.0,J. Holiday,203200.0,1.0,,,,,,,,,,,,,,
34,PT08M36.00S,2022-02-01T00:14:27.3Z,1,REGULAR,2pt,Jump Shot,[],202694,84.44480946123521,76.22549019607843,1610612746,10,6,2022-02-01T00:14:31Z,340000,131.0,94.0,1,right,MISS M. Morris Sr. 16' Jump Shot,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,16.11,Missed,,,,,,,,,,,,,,,,,,
35,PT08M33.00S,2022-02-01T00:14:30.3Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,10,6,2022-02-01T00:14:31Z,350000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
36,PT08M21.00S,2022-02-01T00:14:42.9Z,1,REGULAR,3pt,Jump Shot,[],1628470,31.35676741130092,37.99019607843137,1610612754,13,6,2022-02-01T00:14:48Z,360000,60.0,242.0,1,left,T. Craig 24' 3PT  (3 PTS) (C. LeVert 2 AST),"[1628470, 1627747]",1610612754.0,IND,,,,Craig,T. Craig,,,,,24.96,Made,3.0,C. LeVert,1627747.0,2.0,,,,,,,,,,,,,,
38,PT08M02.00S,2022-02-01T00:15:00.9Z,1,REGULAR,2pt,Jump Shot,[],202704,76.2976346911958,37.00980392156863,1610612746,13,8,2022-02-01T00:15:05Z,380000,-65.0,170.0,1,right,R. Jackson 18' pullup Jump Shot (2 PTS),[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,18.23,Made,2.0,,,,,,,,,,,,,,,,,
39,PT07M48.00S,2022-02-01T00:15:15.0Z,1,REGULAR,3pt,Jump Shot,[],203200,5.863994743758213,4.901960784313726,1610612754,13,8,2022-02-01T00:15:19Z,390000,225.0,3.0,1,left,MISS J. Holiday 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,
40,PT07M45.00S,2022-02-01T00:15:18.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,13,8,2022-02-01T00:15:19Z,400000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,
41,PT07M33.00S,2022-02-01T00:15:30.2Z,1,REGULAR,2pt,Jump Shot,[],201586,92.85479632063075,77.20588235294117,1610612746,13,10,2022-02-01T00:17:11Z,410000,136.0,15.0,1,right,S. Ibaka 13' Jump Shot (6 PTS) (A. Coffey 1 AST),"[201586, 1629599]",1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,13.68,Made,6.0,A. Coffey,1629599.0,1.0,,,,,,,,,,,,,,
43,PT07M20.00S,2022-02-01T00:15:44.1Z,1,REGULAR,3pt,Jump Shot,[],1628470,22.552562417871222,89.2156862745098,1610612754,13,10,2022-02-01T00:15:47Z,430000,-196.0,159.0,1,left,MISS T. Craig 25' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,
44,PT07M18.00S,2022-02-01T00:15:46.7Z,1,REGULAR,rebound,offensive,[],1630537,,,1610612754,13,10,2022-02-01T00:15:46Z,440000,,,0,,C. Duarte REBOUND (Off:1 Def:0),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,
45,PT07M16.00S,2022-02-01T00:15:47.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630537,9.149145860709593,36.51960784313725,1610612754,15,10,2022-02-01T00:16:16Z,450000,67.0,34.0,1,left,C. Duarte 7' bank Jump Shot (2 PTS),[1630537],1610612754.0,IND,bank,,,Duarte,C. Duarte,,,,,7.53,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M06.00S,2022-02-01T00:15:57.8Z,1,REGULAR,3pt,Jump Shot,[],1629599,73.27529566360053,83.82352941176471,1610612746,15,10,2022-02-01T00:16:06Z,460000,169.0,199.0,1,right,MISS A. Coffey 26' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,
47,PT07M04.00S,2022-02-01T00:15:59.8Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,15,10,2022-02-01T00:16:06Z,470000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,
48,PT06M56.00S,2022-02-01T00:16:07.3Z,1,REGULAR,3pt,Jump Shot,[],1627747,32.013797634691194,35.78431372549019,1610612754,15,10,2022-02-01T00:16:13Z,480000,71.0,248.0,1,left,MISS C. LeVert 25' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,
49,PT06M53.00S,2022-02-01T00:16:10.3Z,1,REGULAR,rebound,defensive,[],201586,,,1610612746,15,10,2022-02-01T00:16:13Z,490000,,,0,,S. Ibaka REBOUND (Off:1 Def:1),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,48.0,2.0,1.0,1.0,,,,,,,,,,
50,PT06M32.00S,2022-02-01T00:16:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,93.24901445466492,54.41176470588235,1610612746,15,10,2022-02-01T00:16:35Z,500000,22.0,11.0,1,right,MISS T. Mann driving finger roll Layup,[1629611],1610612746.0,LAC,driving finger roll,,,Mann,T. Mann,,,,,2.47,Missed,,,,,,,,,,,,,,,,,,
51,PT06M30.00S,2022-02-01T00:16:33.7Z,1,REGULAR,rebound,offensive,[],201586,,,1610612746,15,10,2022-02-01T00:16:35Z,510000,,,0,,S. Ibaka REBOUND (Off:2 Def:1),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,50.0,3.0,1.0,2.0,,,,,,,,,,
52,PT06M30.00S,2022-02-01T00:16:34.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201586,94.40999984741211,50.0,1610612746,15,12,2022-02-01T00:16:34Z,520000,0.0,0.0,1,right,S. Ibaka tip Layup (8 PTS),[201586],1610612746.0,LAC,tip,,,Ibaka,S. Ibaka,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,
53,PT06M30.00S,2022-02-01T00:16:37.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,15,12,2022-02-01T00:16:37Z,530000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M14.00S,2022-02-01T00:19:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,6.521024967148489,47.549019607843135,1610612754,15,12,2022-02-01T00:19:54Z,540000,12.0,9.0,1,left,MISS I. Jackson alley-oop Layup,[1630543],1610612754.0,IND,alley-oop,,,Jackson,I. Jackson,,,,,1.51,Missed,,,,,,,,,,,,,,,,,,
55,PT06M11.00S,2022-02-01T00:19:53.0Z,1,REGULAR,rebound,defensive,[],201586,,,1610612746,15,12,2022-02-01T00:19:53Z,550000,,,0,,S. Ibaka REBOUND (Off:2 Def:2),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,54.0,4.0,2.0,2.0,,,,,,,,,,
56,PT06M07.00S,2022-02-01T00:19:58.5Z,1,REGULAR,foul,personal,[],203200,,,1610612746,15,12,2022-02-01T00:20:06Z,560000,,,0,,J. Holiday personal FOUL (1 PF),"[203200, 202704]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,2003.0,,1.0,0.0,Jackson,202704.0,,,,
58,PT06M00.00S,2022-02-01T00:20:26.2Z,1,REGULAR,turnover,3-second-violation,[],201586,,,1610612746,15,12,2022-02-01T00:20:32Z,580000,,,0,,S. Ibaka 3-second-violation TURNOVER (1 TO),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,202007.0,1.0,,,,,,,,
59,PT05M47.00S,2022-02-01T00:20:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627747,8.623521681997373,57.107843137254896,1610612754,15,12,2022-02-01T00:20:52Z,590000,-36.0,29.0,1,left,MISS C. LeVert driving Layup - blocked,"[1627747, 201586]",1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,4.56,Missed,,,,,,,,,,,,,,,Ibaka,201586.0,,
60,PT05M47.00S,2022-02-01T00:20:47.8Z,1,REGULAR,block,,[],201586,,,1610612754,15,12,2022-02-01T00:20:50Z,600000,,,0,,S. Ibaka BLOCK (1 BLK),[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M44.00S,2022-02-01T00:20:50.8Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,15,12,2022-02-01T00:20:52Z,610000,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,
63,PT05M36.00S,2022-02-01T00:20:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,86.81011826544021,42.40196078431372,1610612746,15,12,2022-02-01T00:21:05Z,630000,-38.0,71.0,1,right,MISS M. Morris Sr. 8' driving floating Shot - blocked,"[202694, 203200]",1610612746.0,LAC,driving floating,,,Morris Sr.,M. Morris Sr.,,,,,8.1,Missed,,,,,,,,,,,,,,,Holiday,203200.0,,
82,PT05M36.00S,2022-02-01T00:20:59.3Z,1,REGULAR,block,,[],203200,,,1610612746,15,12,2022-02-01T00:23:04Z,635000,,,0,,J. Holiday BLOCK (1 BLK),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M32.00S,2022-02-01T00:21:03.3Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,15,12,2022-02-01T00:21:05Z,640000,,,0,,I. Jackson REBOUND (Off:2 Def:2),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,63.0,4.0,2.0,2.0,,,,,,,,,,
65,PT05M26.00S,2022-02-01T00:21:08.8Z,1,REGULAR,2pt,Jump Shot,[],1628470,26.62614980289093,54.41176470588235,1610612754,15,12,2022-02-01T00:32:14Z,650000,-22.0,198.0,1,left,MISS T. Craig 19' pullup Shot,[1628470],1610612754.0,IND,pullup,,,Craig,T. Craig,,,,,19.9,Missed,,,,,,,,,,,,,,,,,,
66,PT05M22.00S,2022-02-01T00:21:12.8Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,15,12,2022-02-01T00:21:15Z,660000,,,0,,M. Morris Sr. REBOUND (Off:1 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,65.0,2.0,1.0,1.0,,,,,,,,,,
67,PT05M15.00S,2022-02-01T00:21:19.2Z,1,REGULAR,2pt,Jump Shot,[],202704,84.05059132720105,74.01960784313727,1610612746,15,14,2022-02-01T00:21:25Z,670000,120.0,97.0,1,right,R. Jackson 15' pullup Jump Shot (4 PTS),[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,15.46,Made,4.0,,,,,,,,,,,,,,,,,
69,PT05M00.00S,2022-02-01T00:21:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,6.652431011826544,47.30392156862745,1610612754,17,14,2022-02-01T00:21:41Z,690000,13.0,10.0,1,left,I. Jackson reverse Layup (9 PTS) (J. Holiday 2 AST),"[1630543, 203200]",1610612754.0,IND,reverse,,,Jackson,I. Jackson,,,,,1.68,Made,9.0,J. Holiday,203200.0,2.0,,,,,,,,,,,,,,
71,PT05M00.00S,2022-02-01T00:21:39.1Z,1,REGULAR,foul,personal,['1freethrow'],201586,,,1610612754,17,14,2022-02-01T00:21:46Z,710000,,,0,,S. Ibaka shooting personal FOUL (1 PF) (Jackson 1 FT),"[201586, 1630543]",1610612746.0,LAC,shooting,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,2003.0,,1.0,0.0,Jackson,1630543.0,,,,
73,PT05M00.00S,2022-02-01T00:21:47.3Z,1,REGULAR,substitution,out,[],203200,,,1610612754,17,14,2022-02-01T00:22:09Z,730000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M00.00S,2022-02-01T00:21:47.3Z,1,REGULAR,substitution,in,[],203087,,,1610612754,17,14,2022-02-01T00:22:09Z,740000,,,0,,SUB in: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M00.00S,2022-02-01T00:22:08.7Z,1,REGULAR,freethrow,1 of 1,[],1630543,,,1610612754,17,14,2022-02-01T00:22:08Z,750000,,,0,,MISS I. Jackson Free Throw 1 of 1,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Missed,,,,,,,,,,,,,,,,,,
76,PT04M58.00S,2022-02-01T00:22:10.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,17,14,2022-02-01T00:22:11Z,760000,,,0,,M. Morris Sr. REBOUND (Off:1 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,,
77,PT04M48.00S,2022-02-01T00:22:20.6Z,1,REGULAR,3pt,Jump Shot,[],202704,69.72733245729303,27.205882352941174,1610612746,17,14,2022-02-01T00:22:26Z,770000,-114.0,232.0,1,right,MISS R. Jackson 25' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,
78,PT04M43.00S,2022-02-01T00:22:25.6Z,1,REGULAR,rebound,defensive,[],203087,,,1610612754,17,14,2022-02-01T00:22:26Z,780000,,,0,,J. Lamb REBOUND (Off:0 Def:1),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,
79,PT04M31.00S,2022-02-01T00:22:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,5.995400788436268,54.166666666666664,1610612754,19,14,2022-02-01T00:22:40Z,790000,-21.0,4.0,1,left,C. LeVert driving finger roll Layup (2 PTS) (C. Duarte 2 AST),"[1627747, 1630537]",1610612754.0,IND,driving finger roll,,,LeVert,C. LeVert,,,,,2.12,Made,2.0,C. Duarte,1630537.0,2.0,,,,,,,,,,,,,,
80,PT04M31.00S,2022-02-01T00:22:41.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,19,14,2022-02-01T00:22:41Z,800000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M31.00S,2022-02-01T00:25:02.0Z,1,REGULAR,substitution,out,[],1630543,,,1610612746,19,14,2022-02-01T00:25:23Z,810000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M31.00S,2022-02-01T00:25:02.0Z,1,REGULAR,substitution,out,[],201586,,,1610612746,19,14,2022-02-01T00:25:23Z,820000,,,0,,SUB out: S. Ibaka,[201586],1610612746.0,LAC,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M31.00S,2022-02-01T00:25:02.0Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,19,14,2022-02-01T00:25:23Z,830000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M31.00S,2022-02-01T00:25:02.0Z,1,REGULAR,substitution,in,[],1630678,,,1610612746,19,14,2022-02-01T00:25:23Z,840000,,,0,,SUB in: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M31.00S,2022-02-01T00:25:02.0Z,1,REGULAR,substitution,in,[],201587,,,1610612746,19,14,2022-02-01T00:25:23Z,850000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M31.00S,2022-02-01T00:25:02.0Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,19,14,2022-02-01T00:25:23Z,860000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
