actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M45.00S,2022-03-30T23:12:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203999,9.149145860709593,46.07843137254902,1610612743,0,2,2022-03-30T23:12:49Z,180000,20.0,34.0,1,left,N. Jokic cutting finger roll Layup (2 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,cutting finger roll,,,Jokic,N. Jokic,,,,,3.88,Made,,,,,,,,,,,2.0,M. Morris,1628420.0,1.0,,,,,
20,PT10M33.00S,2022-03-30T23:12:55.0Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,0,2,2022-03-30T23:12:59Z,200000,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 203999]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,1.0,,,,,Jokic,203999.0,,,
21,PT10M33.00S,2022-03-30T23:12:55.0Z,1,REGULAR,steal,,[],203999,,,1610612743,0,2,2022-03-30T23:12:56Z,210000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2022-03-30T23:13:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203115,7.5722733245729295,45.588235294117645,1610612743,0,4,2022-03-30T23:13:06Z,220000,22.0,19.0,1,left,W. Barton running Layup (2 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,running,,,Barton,W. Barton,,,,,2.89,Made,,,,,,,,,,,2.0,N. Jokic,203999.0,1.0,,,,,
24,PT10M19.00S,2022-03-30T23:13:08.8Z,1,REGULAR,2pt,Jump Shot,[],1630169,86.28449408672799,11.76470588235294,1610612754,0,4,2022-03-30T23:13:13Z,240000,-191.0,76.0,1,right,MISS T. Haliburton 20' pullup Shot,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,20.59,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2022-03-30T23:13:12.4Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,0,4,2022-03-30T23:13:12Z,250000,,,0,,T. Taylor REBOUND (Off:1 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
26,PT10M16.00S,2022-03-30T23:13:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630678,92.59198423127464,45.83333333333333,1610612754,2,4,2022-03-30T23:20:57Z,260000,-21.0,17.0,1,right,T. Taylor Layup (2 PTS),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,2.69,Made,,,,,,,,,,,2.0,,,,,,,,
27,PT09M50.00S,2022-03-30T23:13:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,10.726018396846255,38.970588235294116,1610612743,2,6,2022-03-30T23:16:07Z,270000,55.0,48.0,1,left,N. Jokic 7' cutting Layup (4 PTS) (M. Morris 2 AST),"[203999, 1628420]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,7.33,Made,,,,,,,,,,,4.0,M. Morris,1628420.0,2.0,,,,,
29,PT09M35.00S,2022-03-30T23:13:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,91.67214191852825,54.41176470588235,1610612754,2,6,2022-03-30T23:14:05Z,290000,22.0,26.0,1,right,MISS G. Bitadze Layup - blocked,"[1629048, 203932]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,3.4,Missed,,,,,,,,,,,,,,,,,Gordon,203932.0,
30,PT09M35.00S,2022-03-30T23:13:54.1Z,1,REGULAR,block,,[],203932,,,1610612754,2,6,2022-03-30T23:13:56Z,300000,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M35.00S,2022-03-30T23:13:54.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,2,6,2022-03-30T23:14:05Z,310000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,
32,PT09M35.00S,2022-03-30T23:13:57.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,2,6,2022-03-30T23:13:57Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M32.00S,2022-03-30T23:14:14.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629048,81.553876478318,59.80392156862745,1610612754,2,6,2022-03-31T00:13:05Z,330000,49.0,121.0,1,right,MISS G. Bitadze 13' floating Shot,[1629048],1610612754.0,IND,floating,,,Bitadze,G. Bitadze,,,,,13.05,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M30.00S,2022-03-30T23:14:16.1Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,2,6,2022-03-30T23:14:19Z,340000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
35,PT09M24.00S,2022-03-30T23:14:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.1268068331143235,54.166666666666664,1610612743,2,8,2022-03-30T23:14:35Z,350000,-21.0,5.0,1,left,A. Gordon running reverse Layup (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,running reverse,,,Gordon,A. Gordon,,,,,2.14,Made,,,,,,,,,,,2.0,N. Jokic,203999.0,2.0,,,,,
37,PT09M11.00S,2022-03-30T23:14:34.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,67.88764783180025,38.970588235294116,1610612754,2,8,2022-03-30T23:14:40Z,370000,-55.0,249.0,1,right,MISS B. Hield 25' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2022-03-30T23:14:38.8Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,2,8,2022-03-30T23:14:40Z,380000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT09M01.00S,2022-03-30T23:14:44.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203999,11.777266754270697,44.6078431372549,1610612743,2,10,2022-03-30T23:15:11Z,390000,27.0,58.0,1,left,N. Jokic 6' running Jump Shot (6 PTS),[203999],1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,6.42,Made,,,,,,,,,,,6.0,,,,,,,,
40,PT09M01.00S,2022-03-30T23:14:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,2,10,2022-03-30T23:14:50Z,400000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2022-03-30T23:18:04.7Z,1,REGULAR,2pt,Jump Shot,[],1626147,76.16622864651774,62.5,1610612754,4,10,2022-03-30T23:18:11Z,410000,62.0,172.0,1,right,J. Anderson 18' pullup Jump Shot (2 PTS),[1626147],1610612754.0,IND,pullup,,,Anderson,J. Anderson,,,,,18.25,Made,,,,,,,,,,,2.0,,,,,,,,
42,PT08M24.00S,2022-03-30T23:18:19.2Z,1,REGULAR,3pt,Jump Shot,[],201145,7.30946123521682,3.6764705882352944,1610612743,4,10,2022-03-30T23:18:24Z,420000,232.0,16.0,1,left,MISS J. Green 3PT,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,23.22,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M20.00S,2022-03-30T23:18:23.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,4,10,2022-03-30T23:18:24Z,430000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT08M11.00S,2022-03-30T23:18:31.2Z,1,REGULAR,3pt,Jump Shot,[],1629048,65.25952693823915,58.08823529411765,1610612754,4,10,2022-03-30T23:18:36Z,440000,40.0,274.0,1,right,MISS G. Bitadze 27' 3PT,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,27.71,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M08.00S,2022-03-30T23:18:34.2Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,4,10,2022-03-30T23:18:34Z,450000,,,0,,T. Taylor REBOUND (Off:2 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,44.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
46,PT08M08.00S,2022-03-30T23:18:35.8Z,1,REGULAR,foul,personal,['2freethrow'],1628420,,,1610612754,4,10,2022-03-30T23:18:42Z,460000,,,0,,M. Morris shooting personal FOUL (1 PF) (Taylor 2 FT),"[1628420, 1630678]",1610612743.0,DEN,shooting,,,Morris,M. Morris,,,,,,,,,,,101283.0,1.0,0.0,Taylor,1630678.0,,,,,,,,,,
48,PT08M08.00S,2022-03-30T23:19:04.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630678,,,1610612754,5,10,2022-03-30T23:19:23Z,480000,,,0,,T. Taylor Free Throw 1 of 2 (3 PTS),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,Made,,,,,,,,,,,3.0,,,,,,,,
49,PT08M08.00S,2022-03-30T23:19:04.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630678,,,1610612754,5,10,2022-03-30T23:19:23Z,490000,,,0,,MISS T. Taylor Free Throw 2 of 2,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M07.00S,2022-03-30T23:19:05.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,10,2022-03-30T23:19:23Z,500000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT07M51.00S,2022-03-30T23:19:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.5722733245729295,50.98039215686274,1610612743,5,12,2022-03-30T23:19:49Z,510000,-5.0,19.0,1,left,N. Jokic finger roll Layup (8 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,finger roll,,,Jokic,N. Jokic,,,,,1.93,Made,,,,,,,,,,,8.0,A. Gordon,203932.0,1.0,,,,,
53,PT07M39.00S,2022-03-30T23:19:51.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,66.17936925098554,38.970588235294116,1610612754,8,12,2022-03-30T23:19:56Z,530000,-55.0,265.0,1,right,B. Hield 27' 3PT  (3 PTS) (J. Anderson 1 AST),"[1627741, 1626147]",1610612754.0,IND,,,,Hield,B. Hield,,,,,27.11,Made,,,,,,,,,,,3.0,J. Anderson,1626147.0,1.0,,,,,
55,PT07M21.00S,2022-03-30T23:20:14.0Z,1,REGULAR,foul,personal,['2freethrow'],1630678,,,1610612743,8,12,2022-03-30T23:20:19Z,550000,,,0,,T. Taylor shooting personal FOUL (1 PF) (Green 2 FT),"[1630678, 201145]",1610612754.0,IND,shooting,,,Taylor,T. Taylor,,,,,,,,,,,1146.0,1.0,0.0,Green,201145.0,,,,,,,,,,
57,PT07M21.00S,2022-03-30T23:20:38.3Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,8,13,2022-03-30T23:20:38Z,570000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
58,PT07M21.00S,2022-03-30T23:20:57.3Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,8,14,2022-03-30T23:20:57Z,580000,,,0,,J. Green Free Throw 2 of 2 (2 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,,,,,,,,,,,2.0,,,,,,,,
59,PT07M02.00S,2022-03-30T23:21:17.8Z,1,REGULAR,3pt,Jump Shot,[],1627741,93.11760840998686,3.431372549019608,1610612754,8,14,2022-03-30T23:21:22Z,590000,-233.0,12.0,1,right,MISS B. Hield 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M00.00S,2022-03-30T23:21:19.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,8,14,2022-03-30T23:21:22Z,600000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
61,PT06M44.00S,2022-03-30T23:21:36.7Z,1,REGULAR,2pt,Jump Shot,[],201145,12.040078843626807,27.941176470588236,1610612743,8,14,2022-03-30T23:21:40Z,610000,110.0,61.0,1,left,MISS J. Green 12' driving floating bank Shot,[201145],1610612743.0,DEN,driving floating bank,,,Green,J. Green,,,,,12.59,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2022-03-30T23:21:39.7Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612754,8,14,2022-03-30T23:21:40Z,620000,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
63,PT06M40.00S,2022-03-30T23:21:41.0Z,1,REGULAR,turnover,bad pass,[],1629048,,,1610612754,8,14,2022-03-30T23:21:44Z,630000,,,0,,G. Bitadze bad pass TURNOVER (2 TO),"[1629048, 201145]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,2.0,,,,,Green,201145.0,,,
64,PT06M40.00S,2022-03-30T23:21:41.0Z,1,REGULAR,steal,,[],201145,,,1610612743,8,14,2022-03-30T23:21:42Z,640000,,,0,,J. Green STEAL (1 STL),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M32.00S,2022-03-30T23:21:48.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,8,14,2022-03-30T23:21:52Z,650000,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1630169]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,1.0,,,,,Haliburton,1630169.0,,,
66,PT06M32.00S,2022-03-30T23:21:48.5Z,1,REGULAR,steal,,[],1630169,,,1610612754,8,14,2022-03-30T23:21:50Z,660000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2022-03-30T23:21:52.6Z,1,REGULAR,foul,personal,[],203999,,,1610612754,8,14,2022-03-30T23:22:34Z,670000,,,0,,N. Jokic take personal FOUL (1 PF),"[203999, 1627741]",1610612743.0,DEN,take,,,Jokic,N. Jokic,,,,,,,,,,,1627964.0,1.0,0.0,Hield,1627741.0,,,,,,,,,,
69,PT06M10.00S,2022-03-30T23:22:33.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626147,90.62089356110381,71.56862745098039,1610612754,8,14,2022-03-30T23:24:54Z,690000,108.0,36.0,1,right,MISS J. Anderson 11' driving floating bank Shot,[1626147],1610612754.0,IND,driving floating bank,,,Anderson,J. Anderson,,,,,11.36,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M06.00S,2022-03-30T23:22:37.3Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612754,8,14,2022-03-30T23:22:39Z,700000,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
71,PT06M06.00S,2022-03-30T23:22:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629048,93.11760840998686,48.529411764705884,1610612754,8,14,2022-03-30T23:22:47Z,710000,-7.0,12.0,1,right,MISS G. Bitadze putback Layup - blocked,"[1629048, 203999]",1610612754.0,IND,putback,,,Bitadze,G. Bitadze,,,,,1.43,Missed,,,,,,,,,,,,,,,,,Jokic,203999.0,
72,PT06M06.00S,2022-03-30T23:22:37.1Z,1,REGULAR,block,,[],203999,,,1610612754,8,14,2022-03-30T23:22:39Z,720000,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2022-03-30T23:22:37.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,8,14,2022-03-30T23:22:47Z,730000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
74,PT06M05.00S,2022-03-30T23:22:41.5Z,1,REGULAR,foul,personal,[],1626147,,,1610612743,8,14,2022-03-30T23:37:54Z,740000,,,0,,J. Anderson take personal FOUL (2 PF),"[1626147, 203999]",1610612754.0,IND,take,,,Anderson,J. Anderson,,,,,,,,,,,1146.0,2.0,0.0,Jokic,203999.0,,,,,,,,,,
76,PT06M05.00S,2022-03-30T23:22:54.9Z,1,REGULAR,substitution,out,[],1630169,,,1610612743,8,14,2022-03-30T23:23:09Z,760000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M05.00S,2022-03-30T23:22:54.9Z,1,REGULAR,substitution,out,[],1626147,,,1610612743,8,14,2022-03-30T23:23:09Z,770000,,,0,,SUB out: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M05.00S,2022-03-30T23:22:54.9Z,1,REGULAR,substitution,in,[],1630613,,,1610612743,8,14,2022-03-30T23:23:09Z,780000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M05.00S,2022-03-30T23:22:54.9Z,1,REGULAR,substitution,in,[],202362,,,1610612743,8,14,2022-03-30T23:23:09Z,790000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2022-03-30T23:23:20.2Z,1,REGULAR,3pt,Jump Shot,[],203932,32.53942181340342,42.40196078431372,1610612743,8,14,2022-03-30T23:23:24Z,800000,38.0,253.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M52.00S,2022-03-30T23:23:23.2Z,1,REGULAR,rebound,defensive,[],202362,,,1610612754,8,14,2022-03-30T23:23:24Z,810000,,,0,,L. Stephenson REBOUND (Off:0 Def:1),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
82,PT05M39.00S,2022-03-30T23:23:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,93.64323258869908,47.30392156862745,1610612754,10,14,2022-03-30T23:23:39Z,820000,-13.0,7.0,1,right,T. Taylor driving Layup (5 PTS) (D. Washington Jr. 1 AST),"[1630678, 1630613]",1610612754.0,IND,driving,,,Taylor,T. Taylor,,,,,1.53,Made,,,,,,,,,,,5.0,D. Washington Jr.,1630613.0,1.0,,,,,
84,PT05M25.00S,2022-03-30T23:23:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,5.863994743758213,46.81372549019608,1610612743,10,16,2022-03-30T23:33:04Z,840000,16.0,3.0,1,left,M. Morris cutting Layup (2 PTS) (N. Jokic 3 AST),"[1628420, 203999]",1610612743.0,DEN,cutting,,,Morris,M. Morris,,,,,1.61,Made,,,,,,,,,,,2.0,N. Jokic,203999.0,3.0,,,,,
86,PT05M12.00S,2022-03-30T23:24:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202362,92.59198423127464,55.14705882352941,1610612754,10,16,2022-03-30T23:24:09Z,860000,26.0,17.0,1,right,MISS L. Stephenson driving Layup,[202362],1610612754.0,IND,driving,,,Stephenson,L. Stephenson,,,,,3.09,Missed,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2022-03-30T23:24:07.2Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612754,10,16,2022-03-30T23:24:09Z,870000,,,0,,G. Bitadze REBOUND (Off:2 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,86.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
88,PT05M08.00S,2022-03-30T23:24:06.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629048,94.40999984741211,50.0,1610612754,10,16,2022-03-30T23:24:06Z,880000,0.0,0.0,1,right,MISS G. Bitadze tip Layup,[1629048],1610612754.0,IND,tip,,,Bitadze,G. Bitadze,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M07.00S,2022-03-30T23:24:07.6Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612754,10,16,2022-03-30T23:24:07Z,890000,,,0,,G. Bitadze REBOUND (Off:3 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,88.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
90,PT05M07.00S,2022-03-30T23:24:07.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629048,94.40999984741211,50.0,1610612754,10,16,2022-03-30T23:24:14Z,900000,0.0,0.0,1,right,MISS G. Bitadze tip Layup,[1629048],1610612754.0,IND,tip,,,Bitadze,G. Bitadze,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
91,PT05M06.00S,2022-03-30T23:24:08.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,16,2022-03-30T23:24:14Z,910000,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,90.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
