actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
29,PT09M59.00S,2022-04-05T23:13:33.9Z,1,REGULAR,steal,,[],1630543,,,1610612754,7,3,2022-04-05T23:13:35Z,290000,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M56.00S,2022-04-05T23:13:38.2Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612754,7,3,2022-04-05T23:13:44Z,300000,,,0,,T. Harris shooting personal FOUL (1 PF) (Jackson 2 FT),"[202699, 1630543]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,,,,,,,201245.0,1.0,0.0,Jackson,1630543.0,,,,,,,,,,
32,PT09M56.00S,2022-04-05T23:14:04.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630543,,,1610612754,8,3,2022-04-05T23:14:04Z,320000,,,0,,I. Jackson Free Throw 1 of 2 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,,,,,,,,3.0,,,,,,,
33,PT09M56.00S,2022-04-05T23:14:31.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630543,,,1610612754,9,3,2022-04-05T23:14:31Z,330000,,,0,,I. Jackson Free Throw 2 of 2 (4 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,,,,,,,,4.0,,,,,,,
34,PT09M49.00S,2022-04-05T23:14:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.389618922470433,55.392156862745104,1610612755,9,5,2022-04-05T23:14:45Z,340000,-27.0,8.0,1,left,J. Embiid driving Layup (2 PTS) (J. Harden 2 AST),"[203954, 201935]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,2.8,Made,,,,,,,,,,,,2.0,J. Harden,201935.0,2.0,,,,
36,PT09M41.00S,2022-04-05T23:14:53.4Z,1,REGULAR,turnover,out-of-bounds,[],1630543,,,1610612754,9,5,2022-04-05T23:14:57Z,360000,,,0,,I. Jackson lost ball out-of-bounds TURNOVER (1 TO),[1630543],1610612754.0,IND,lost ball,,,Jackson,I. Jackson,,,,,,,,,,,2715.0,,,,,,,,,,,1.0,,,
37,PT09M35.00S,2022-04-05T23:14:59.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,23.209592641261498,8.333333333333332,1610612755,9,8,2022-04-05T23:15:08Z,370000,208.0,166.0,1,left,T. Maxey 26' 3PT step back (3 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,26.62,Made,,,,,,,,,,,,3.0,,,,,,,
38,PT09M29.00S,2022-04-05T23:15:05.3Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,9,8,2022-04-05T23:15:11Z,380000,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 202699]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0,
39,PT09M29.00S,2022-04-05T23:15:05.3Z,1,REGULAR,steal,,[],202699,,,1610612755,9,8,2022-04-05T23:15:08Z,390000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M25.00S,2022-04-05T23:15:12.4Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612755,9,8,2022-04-05T23:15:28Z,400000,,,0,,I. Jackson shooting personal FOUL (2 PF) (Harden 2 FT),"[1630543, 201935]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,,,,,,,204059.0,2.0,0.0,Harden,201935.0,,,,,,,,,,
42,PT09M25.00S,2022-04-05T23:15:40.0Z,1,REGULAR,freethrow,1 of 2,"['fastbreak', 'fromturnover']",201935,,,1610612755,9,9,2022-04-05T23:27:51Z,420000,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
45,PT09M25.00S,2022-04-05T23:15:40.0Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",201935,,,1610612755,9,9,2022-04-05T23:27:51Z,425000,,,0,,MISS J. Harden Free Throw 2 of 2,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,Missed,,,,,,,,,,,,,,,,,,,
46,PT09M25.00S,2022-04-05T23:15:40.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,9,9,2022-04-05T23:28:30Z,427500,,,0,,T. Haliburton REBOUND (Off:1 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
43,PT09M25.00S,2022-04-05T23:15:41.7Z,1,REGULAR,substitution,out,[],1630543,,,1610612754,9,9,2022-04-05T23:27:51Z,430000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M25.00S,2022-04-05T23:15:41.7Z,1,REGULAR,substitution,in,[],1630188,,,1610612754,9,9,2022-04-05T23:27:51Z,440000,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT09M03.00S,2022-04-05T23:16:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630188,94.56307490144546,94.36274509803921,1610612754,9,9,2022-04-05T23:27:04Z,445000,222.0,-1.0,1,right,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,22.18,Missed,,,,,,,,,,,,,,,,,,,
48,PT09M01.00S,2022-04-05T23:16:33.6Z,1,REGULAR,rebound,offensive,[],1630678,,,1610612754,9,9,2022-04-05T23:27:04Z,447500,,,0,,T. Taylor REBOUND (Off:1 Def:0),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
49,PT09M00.00S,2022-04-05T23:16:35.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630678,92.85479632063075,46.568627450980394,1610612754,11,9,2022-04-05T23:27:29Z,448750,-17.0,15.0,1,right,T. Taylor DUNK (2 PTS),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,2.26,Made,,,,,,,,,,,,2.0,,,,,,,
50,PT08M48.00S,2022-04-05T23:16:46.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,11.383048620236531,36.029411764705884,1610612755,11,9,2022-04-05T23:16:49Z,500000,70.0,55.0,1,left,MISS J. Embiid 8' turnaround Hook,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,8.86,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M46.00S,2022-04-05T23:16:48.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,11,9,2022-04-05T23:16:49Z,510000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
52,PT08M39.00S,2022-04-05T23:16:55.4Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612754,11,9,2022-04-05T23:17:03Z,520000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Haliburton 2 FT),"[1630178, 1630169]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,,,,,,,201245.0,1.0,0.0,Haliburton,1630169.0,,,,,,,,,,
54,PT08M39.00S,2022-04-05T23:17:20.0Z,1,REGULAR,freethrow,1 of 2,[],1630169,,,1610612754,12,9,2022-04-05T23:17:20Z,540000,,,0,,T. Haliburton Free Throw 1 of 2 (1 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
55,PT08M39.00S,2022-04-05T23:17:34.4Z,1,REGULAR,freethrow,2 of 2,[],1630169,,,1610612754,13,9,2022-04-05T23:17:34Z,550000,,,0,,T. Haliburton Free Throw 2 of 2 (2 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
56,PT08M21.00S,2022-04-05T23:17:53.7Z,1,REGULAR,3pt,Jump Shot,[],1629680,7.966491458607096,4.166666666666666,1610612755,13,9,2022-04-05T23:17:59Z,560000,229.0,22.0,1,left,MISS M. Thybulle 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,23.03,Missed,,,,,,,,,,,,,,,,,,,
57,PT08M18.00S,2022-04-05T23:17:56.7Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,13,9,2022-04-05T23:17:59Z,570000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
58,PT08M02.00S,2022-04-05T23:18:15.8Z,1,REGULAR,turnover,bad pass,[],1630678,,,1610612754,13,9,2022-04-05T23:25:09Z,580000,,,0,,T. Taylor bad pass TURNOVER (1 TO),"[1630678, 201935]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,1.0,Harden,201935.0,
59,PT08M02.00S,2022-04-05T23:18:15.8Z,1,REGULAR,steal,,[],201935,,,1610612755,13,9,2022-04-05T23:18:17Z,590000,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M55.00S,2022-04-05T23:18:19.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202699,25.837713534822605,20.34313725490196,1610612755,13,12,2022-04-05T23:18:24Z,600000,148.0,190.0,1,left,T. Harris 24' 3PT running (6 PTS) (J. Harden 3 AST),"[202699, 201935]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,24.13,Made,,,,,,,,,,,,6.0,J. Harden,201935.0,3.0,,,,
62,PT07M32.00S,2022-04-05T23:18:44.3Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612754,13,12,2022-04-05T23:18:51Z,620000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Smith 2 FT),"[203954, 1630188]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,2715.0,1.0,0.0,Smith,1630188.0,,,,,,,,,,
64,PT07M32.00S,2022-04-05T23:19:08.8Z,1,REGULAR,freethrow,1 of 2,[],1630188,,,1610612754,14,12,2022-04-05T23:19:08Z,640000,,,0,,J. Smith Free Throw 1 of 2 (1 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,Made,,,,,,,,,,,,1.0,,,,,,,
65,PT07M32.00S,2022-04-05T23:19:24.4Z,1,REGULAR,freethrow,2 of 2,[],1630188,,,1610612754,15,12,2022-04-05T23:19:24Z,650000,,,0,,J. Smith Free Throw 2 of 2 (2 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,Made,,,,,,,,,,,,2.0,,,,,,,
66,PT07M18.00S,2022-04-05T23:19:43.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,16.770696452036795,98.0392156862745,1610612755,15,15,2022-04-05T23:19:47Z,660000,-240.0,105.0,1,left,T. Maxey 26' 3PT  (6 PTS) (J. Harden 4 AST),"[1630178, 201935]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,26.22,Made,,,,,,,,,,,,6.0,J. Harden,201935.0,4.0,,,,
68,PT07M01.00S,2022-04-05T23:19:59.3Z,1,REGULAR,turnover,lost ball,[],1627741,,,1610612754,15,15,2022-04-05T23:20:02Z,680000,,,0,,B. Hield lost ball TURNOVER (1 TO),"[1627741, 202699]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0,
69,PT07M01.00S,2022-04-05T23:19:59.3Z,1,REGULAR,steal,,[],202699,,,1610612755,15,15,2022-04-05T23:20:00Z,690000,,,0,,T. Harris STEAL (2 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M58.00S,2022-04-05T23:20:02.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,21.23850197109067,5.637254901960785,1610612755,15,15,2022-04-05T23:20:07Z,700000,222.0,147.0,1,left,MISS T. Maxey 26' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M54.00S,2022-04-05T23:20:06.6Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,15,15,2022-04-05T23:20:07Z,710000,,,0,,O. Brissett REBOUND (Off:0 Def:2),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
72,PT06M44.00S,2022-04-05T23:20:16.0Z,1,REGULAR,2pt,Jump Shot,[],1630188,83.65637319316689,10.049019607843137,1610612754,17,15,2022-04-05T23:20:20Z,720000,-200.0,101.0,1,right,J. Smith 22' Jump Shot (4 PTS) (T. Haliburton 2 AST),"[1630188, 1630169]",1610612754.0,IND,,,,Smith,J. Smith,,,,,22.39,Made,,,,,,,,,,,,4.0,T. Haliburton,1630169.0,2.0,,,,
74,PT06M18.00S,2022-04-05T23:20:42.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,17.427726675427067,40.19607843137255,1610612755,17,17,2022-04-05T23:20:48Z,740000,49.0,111.0,1,left,J. Harden 12' driving floating Jump Shot (3 PTS) (T. Maxey 1 AST),"[201935, 1630178]",1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,12.16,Made,,,,,,,,,,,,3.0,T. Maxey,1630178.0,1.0,,,,
76,PT06M18.00S,2022-04-05T23:20:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,17,17,2022-04-05T23:20:51Z,760000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M18.00S,2022-04-05T23:23:13.6Z,1,REGULAR,substitution,out,[],1629680,,,1610612754,17,17,2022-04-05T23:23:45Z,770000,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M18.00S,2022-04-05T23:23:13.6Z,1,REGULAR,substitution,in,[],201980,,,1610612754,17,17,2022-04-05T23:23:45Z,780000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M54.00S,2022-04-05T23:24:14.9Z,1,REGULAR,2pt,Jump Shot,[],1630169,77.4802890932983,42.8921568627451,1610612754,17,17,2022-04-05T23:24:21Z,790000,-36.0,159.0,1,right,MISS T. Haliburton 16' driving floating Shot,[1630169],1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,16.31,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M49.00S,2022-04-05T23:24:19.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,17,17,2022-04-05T23:24:19Z,800000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
81,PT05M32.00S,2022-04-05T23:24:35.7Z,1,REGULAR,3pt,Jump Shot,[],202699,8.492115637319317,3.431372549019608,1610612755,17,20,2022-04-05T23:24:40Z,810000,233.0,27.0,1,left,T. Harris 3PT  (9 PTS) (T. Maxey 2 AST),"[202699, 1630178]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,23.44,Made,,,,,,,,,,,,9.0,T. Maxey,1630178.0,2.0,,,,
83,PT05M14.00S,2022-04-05T23:24:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630188,69.85873850197109,26.47058823529412,1610612754,20,20,2022-04-05T23:24:57Z,830000,-118.0,231.0,1,right,J. Smith 25' 3PT  (7 PTS) (B. Hield 2 AST),"[1630188, 1627741]",1610612754.0,IND,,,,Smith,J. Smith,,,,,25.9,Made,,,,,,,,,,,,7.0,B. Hield,1627741.0,2.0,,,,
85,PT04M58.00S,2022-04-05T23:25:09.1Z,1,REGULAR,3pt,Jump Shot,[],201980,28.33442838370565,20.34313725490196,1610612755,20,20,2022-04-05T23:25:20Z,850000,148.0,214.0,1,left,MISS D. Green 26' 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
86,PT04M56.00S,2022-04-05T23:25:11.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,20,20,2022-04-05T23:25:20Z,860000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,
87,PT04M56.00S,2022-04-05T23:25:16.7Z,1,REGULAR,foul,personal,[],1630188,,,1610612755,20,20,2022-04-05T23:25:41Z,870000,,,0,,J. Smith loose ball personal FOUL (1 PF),"[1630188, 203954]",1610612754.0,IND,loose ball,,,Smith,J. Smith,,,,,,,,,,,201245.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,
89,PT04M56.00S,2022-04-05T23:25:27.8Z,1,REGULAR,substitution,out,[],1630169,,,1610612755,20,20,2022-04-05T23:25:37Z,890000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M56.00S,2022-04-05T23:25:27.8Z,1,REGULAR,substitution,out,[],1630678,,,1610612755,20,20,2022-04-05T23:25:37Z,900000,,,0,,SUB out: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M56.00S,2022-04-05T23:25:27.8Z,1,REGULAR,substitution,in,[],1626147,,,1610612755,20,20,2022-04-05T23:25:37Z,910000,,,0,,SUB in: J. Anderson,[1626147],1610612754.0,IND,,,,Anderson,J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M56.00S,2022-04-05T23:25:27.8Z,1,REGULAR,substitution,in,[],204456,,,1610612755,20,20,2022-04-05T23:25:37Z,920000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M44.00S,2022-04-05T23:25:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,7.835085413929041,50.49019607843137,1610612755,20,22,2022-04-05T23:25:58Z,930000,-2.0,21.0,1,left,J. Embiid finger roll Layup (4 PTS),[203954],1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,2.12,Made,,,,,,,,,,,,4.0,,,,,,,
94,PT04M29.00S,2022-04-05T23:26:08.0Z,1,REGULAR,2pt,Jump Shot,[],1626147,83.65637319316689,24.509803921568626,1610612754,20,22,2022-04-05T23:26:12Z,940000,-127.0,101.0,1,right,MISS J. Anderson 16' pullup Shot,[1626147],1610612754.0,IND,pullup,,,Anderson,J. Anderson,,,,,16.27,Missed,,,,,,,,,,,,,,,,,,,
