actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
22,PT10M50.00S,2021-12-30T00:12:51.0Z,1,REGULAR,turnover,lost ball,[],1629667,,,1610612766,0,1,2021-12-30T00:12:54Z,220000,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1629667, 1630537]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,1.0,Duarte,1630537.0,,,
23,PT10M50.00S,2021-12-30T00:12:51.0Z,1,REGULAR,steal,,[],1630537,,,1610612754,0,1,2021-12-30T00:12:52Z,230000,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M45.00S,2021-12-30T00:12:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203200,93.24901445466492,46.568627450980394,1610612754,2,1,2021-12-30T00:13:04Z,240000,-17.0,11.0,1,right,J. Holiday running finger roll Layup (2 PTS) (C. Duarte 1 AST),"[203200, 1630537]",1610612754.0,IND,running finger roll,,,Holiday,J. Holiday,,,,,2.04,Made,,,,,,,,,,,,2.0,,,,C. Duarte,1630537.0,1.0
26,PT10M39.00S,2021-12-30T00:13:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,12.828515111695138,47.549019607843135,1610612766,2,1,2021-12-30T00:13:16Z,260000,12.0,68.0,1,left,MISS L. Ball 6' driving finger roll Layup,[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,6.92,Missed,,,,,,,,,,,,,,,,,,
27,PT10M37.00S,2021-12-30T00:13:05.1Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,2,1,2021-12-30T00:13:05Z,270000,,,0,,L. Ball REBOUND (Off:3 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,26.0,3.0,0.0,3.0,,,,,,,,,,,,,,
28,PT10M37.00S,2021-12-30T00:13:06.0Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612766,2,1,2021-12-30T00:13:14Z,280000,,,0,,M. Turner shooting personal FOUL (1 PF) (Ball 2 FT),"[1626167, 1630163]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,,,,,,,,,201638.0,1.0,0.0,Ball,1630163.0,,,,,,,
30,PT10M37.00S,2021-12-30T00:13:32.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630163,,,1610612766,2,2,2021-12-30T00:13:32Z,300000,,,0,,L. Ball Free Throw 1 of 2 (1 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
31,PT10M37.00S,2021-12-30T00:13:47.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630163,,,1610612766,2,3,2021-12-30T00:13:47Z,310000,,,0,,L. Ball Free Throw 2 of 2 (2 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
32,PT10M25.00S,2021-12-30T00:14:01.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,66.83639947437582,36.029411764705884,1610612754,5,3,2021-12-30T00:14:06Z,320000,-70.0,259.0,1,right,M. Turner 26' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1626167, 1627734]",1610612754.0,IND,,,,Turner,M. Turner,,,,,26.85,Made,,,,,,,,,,,,3.0,,,,D. Sabonis,1627734.0,1.0
34,PT10M09.00S,2021-12-30T00:14:16.2Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,5,3,2021-12-30T00:14:20Z,340000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 203200]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,,
35,PT10M09.00S,2021-12-30T00:14:16.2Z,1,REGULAR,steal,,[],203200,,,1610612754,5,3,2021-12-30T00:14:17Z,350000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
36,PT10M04.00S,2021-12-30T00:14:20.9Z,1,REGULAR,turnover,lost ball,[],203200,,,1610612754,5,3,2021-12-30T00:14:26Z,360000,,,0,,J. Holiday lost ball TURNOVER (1 TO),"[203200, 202330]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,1.0,Hayward,202330.0,,,
37,PT10M04.00S,2021-12-30T00:14:20.9Z,1,REGULAR,steal,,[],202330,,,1610612766,5,3,2021-12-30T00:14:26Z,370000,,,0,,G. Hayward STEAL (1 STL),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M59.00S,2021-12-30T00:14:26.5Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,5,3,2021-12-30T00:14:31Z,380000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1627734]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,1.0,Sabonis,1627734.0,,,
39,PT09M59.00S,2021-12-30T00:14:26.5Z,1,REGULAR,steal,,[],1627734,,,1610612754,5,3,2021-12-30T00:14:27Z,390000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M53.00S,2021-12-30T00:14:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627734,92.85479632063075,43.872549019607845,1610612754,7,3,2021-12-30T00:14:39Z,400000,-31.0,15.0,1,right,D. Sabonis running Layup (2 PTS),[1627734],1610612754.0,IND,running,,,Sabonis,D. Sabonis,,,,,3.39,Made,,,,,,,,,,,,2.0,,,,,,
41,PT09M40.00S,2021-12-30T00:14:45.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,9.806176084099869,48.77450980392157,1610612766,7,5,2021-12-30T00:14:52Z,410000,6.0,40.0,1,left,M. Plumlee cutting finger roll Layup (3 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting finger roll,,,Plumlee,M. Plumlee,,,,,4.02,Made,,,,,,,,,,,,3.0,,,,L. Ball,1630163.0,1.0
43,PT09M27.00S,2021-12-30T00:14:57.5Z,1,REGULAR,2pt,Jump Shot,[],1630537,76.39618922470433,18.872549019607845,1610612754,7,5,2021-12-30T00:20:34Z,430000,-156.0,169.0,1,right,MISS C. Duarte 23' pullup Shot,[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,23.0,Missed,,,,,,,,,,,,,,,,,,
44,PT09M24.00S,2021-12-30T00:15:00.5Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,7,5,2021-12-30T00:15:03Z,440000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT09M16.00S,2021-12-30T00:15:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.521024967148489,45.83333333333333,1610612766,7,7,2021-12-30T00:15:14Z,450000,21.0,9.0,1,left,T. Rozier driving finger roll Layup (2 PTS),[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,2.26,Made,,,,,,,,,,,,2.0,,,,,,
46,PT09M04.00S,2021-12-30T00:15:21.1Z,1,REGULAR,3pt,Jump Shot,[],1626167,77.7431011826544,87.25490196078431,1610612754,7,7,2021-12-30T00:15:25Z,460000,186.0,157.0,1,right,MISS M. Turner 24' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,24.34,Missed,,,,,,,,,,,,,,,,,,
47,PT09M02.00S,2021-12-30T00:15:23.1Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,7,7,2021-12-30T00:15:25Z,470000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT08M56.00S,2021-12-30T00:15:29.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1626179,11.251642575558476,52.450980392156865,1610612766,7,7,2021-12-30T00:15:46Z,480000,-12.0,53.0,1,left,MISS T. Rozier running pullup Shot,[1626179],1610612766.0,CHA,running pullup,,,Rozier,T. Rozier,,,,,5.47,Missed,,,,,,,,,,,,,,,,,,
49,PT08M56.00S,2021-12-30T00:15:29.8Z,1,REGULAR,rebound,offensive,[],1629667,,,1610612766,7,7,2021-12-30T00:16:04Z,490000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50,PT08M54.00S,2021-12-30T00:15:33.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629667,5.590000152587891,50.0,1610612766,7,9,2021-12-30T00:15:33Z,500000,0.0,0.0,1,left,J. McDaniels tip Layup (2 PTS),[1629667],1610612766.0,CHA,tip,,,McDaniels,J. McDaniels,,,,,0.0,Made,,,,,,,,,,,,2.0,,,,,,
51,PT08M54.00S,2021-12-30T00:15:42.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,7,9,2021-12-30T00:15:42Z,510000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M41.00S,2021-12-30T00:18:46.2Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612754,7,9,2021-12-30T00:18:51Z,520000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1630163]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,1.0,Ball,1630163.0,,,
53,PT08M41.00S,2021-12-30T00:18:46.2Z,1,REGULAR,steal,,[],1630163,,,1610612766,7,9,2021-12-30T00:18:48Z,530000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M37.00S,2021-12-30T00:18:50.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630163,32.53942181340342,32.84313725490196,1610612766,7,9,2021-12-30T00:18:59Z,540000,86.0,253.0,1,left,MISS L. Ball 26' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,26.75,Missed,,,,,,,,,,,,,,,,,,
55,PT08M33.00S,2021-12-30T00:18:54.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,7,9,2021-12-30T00:18:59Z,550000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT08M23.00S,2021-12-30T00:19:02.8Z,1,REGULAR,3pt,Jump Shot,[],1627747,91.5407358738502,1.9607843137254901,1610612754,7,9,2021-12-30T00:19:11Z,560000,-240.0,27.0,1,right,MISS C. LeVert 24' step back 3PT,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,24.17,Missed,,,,,,,,,,,,,,,,,,
57,PT08M20.00S,2021-12-30T00:19:05.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,7,9,2021-12-30T00:19:11Z,570000,,,0,,L. Ball REBOUND (Off:3 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,56.0,4.0,1.0,3.0,,,,,,,,,,,,,,
58,PT08M05.00S,2021-12-30T00:19:23.8Z,1,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612766,7,9,2021-12-30T00:19:31Z,580000,,,0,,D. Sabonis shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1627734, 1629667]",1610612754.0,IND,shooting,,,Sabonis,D. Sabonis,,,,,,,,,,,,,201638.0,1.0,0.0,McDaniels,1629667.0,,,,,,,
60,PT08M05.00S,2021-12-30T00:19:47.1Z,1,REGULAR,freethrow,1 of 2,[],1629667,,,1610612766,7,10,2021-12-30T00:19:47Z,600000,,,0,,J. McDaniels Free Throw 1 of 2 (3 PTS),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
61,PT08M05.00S,2021-12-30T00:19:59.7Z,1,REGULAR,freethrow,2 of 2,[],1629667,,,1610612766,7,11,2021-12-30T00:19:59Z,610000,,,0,,J. McDaniels Free Throw 2 of 2 (4 PTS),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,Made,,,,,,,,,,,,4.0,,,,,,
62,PT07M54.00S,2021-12-30T00:20:13.1Z,1,REGULAR,3pt,Jump Shot,[],1627747,66.83639947437582,55.14705882352941,1610612754,10,11,2021-12-30T00:20:19Z,620000,26.0,259.0,1,right,C. LeVert 26' 3PT pullup (3 PTS),[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,26.05,Made,,,,,,,,,,,,3.0,,,,,,
64,PT07M31.00S,2021-12-30T00:20:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,5.863994743758213,54.65686274509803,1610612766,10,13,2021-12-30T00:20:40Z,640000,-23.0,3.0,1,left,L. Ball driving finger roll Layup (4 PTS),[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,2.34,Made,,,,,,,,,,,,4.0,,,,,,
65,PT07M21.00S,2021-12-30T00:20:45.6Z,1,REGULAR,3pt,Jump Shot,[],1627747,66.17936925098554,41.911764705882355,1610612754,10,13,2021-12-30T00:20:52Z,650000,-40.0,265.0,1,right,MISS C. LeVert 26' 3PT,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
66,PT07M18.00S,2021-12-30T00:20:48.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,10,13,2021-12-30T00:20:52Z,660000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,
67,PT07M01.00S,2021-12-30T00:21:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629667,13.222733245729303,51.9607843137255,1610612766,10,15,2021-12-30T00:21:11Z,670000,-10.0,72.0,1,left,J. McDaniels 7' turnaround fadeaway Jump Shot (6 PTS) (M. Plumlee 1 AST),"[1629667, 203486]",1610612766.0,CHA,turnaround fadeaway,,,McDaniels,J. McDaniels,,,,,7.25,Made,,,,,,,,,,,,6.0,,,,M. Plumlee,203486.0,1.0
69,PT06M50.00S,2021-12-30T00:21:18.1Z,1,REGULAR,foul,personal,[],202330,,,1610612754,10,15,2021-12-30T00:21:26Z,690000,,,0,,G. Hayward personal FOUL (1 PF),"[202330, 203200]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,200834.0,1.0,0.0,Holiday,203200.0,,,,,,,
71,PT06M50.00S,2021-12-30T00:21:22.8Z,1,REGULAR,substitution,out,[],202330,,,1610612754,10,15,2021-12-30T00:21:27Z,710000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M50.00S,2021-12-30T00:21:22.8Z,1,REGULAR,substitution,in,[],1626162,,,1610612754,10,15,2021-12-30T00:21:27Z,720000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M43.00S,2021-12-30T00:21:42.9Z,1,REGULAR,3pt,Jump Shot,[],1626167,72.48685939553219,13.970588235294118,1610612754,10,15,2021-12-30T00:21:49Z,730000,-180.0,206.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,27.37,Missed,,,,,,,,,,,,,,,,,,
74,PT06M36.00S,2021-12-30T00:21:49.9Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,10,15,2021-12-30T00:21:49Z,740000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT06M33.00S,2021-12-30T00:21:51.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,26.231931668856767,18.627450980392158,1610612766,10,18,2021-12-30T00:21:59Z,750000,157.0,194.0,1,left,T. Rozier 24' 3PT running pullup (5 PTS) (K. Oubre Jr. 1 AST),"[1626179, 1626162]",1610612766.0,CHA,running pullup,,,Rozier,T. Rozier,,,,,24.96,Made,,,,,,,,,,,,5.0,,,,K. Oubre Jr.,1626162.0,1.0
77,PT06M20.00S,2021-12-30T00:22:05.1Z,1,REGULAR,3pt,Jump Shot,[],1627734,68.01905387647832,61.76470588235294,1610612754,10,18,2021-12-30T00:22:09Z,770000,59.0,248.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2021-12-30T00:22:09.1Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,10,18,2021-12-30T00:22:09Z,780000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT06M13.00S,2021-12-30T00:22:14.2Z,1,REGULAR,foul,personal,['3freethrow'],1630537,,,1610612766,10,18,2021-12-30T00:22:25Z,790000,,,0,,C. Duarte shooting personal FOUL (1 PF) (Rozier 3 FT),"[1630537, 1626179]",1610612754.0,IND,shooting,,,Duarte,C. Duarte,,,,,,,,,,,,,200834.0,1.0,0.0,Rozier,1626179.0,,,,,,,
81,PT06M13.00S,2021-12-30T00:22:43.5Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],1626179,,,1610612766,10,18,2021-12-30T00:23:40Z,810000,,,0,,MISS T. Rozier Free Throw 1 of 3,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT06M13.00S,2021-12-30T00:22:43.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,10,18,2021-12-30T00:23:40Z,820000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
83,PT06M13.00S,2021-12-30T00:22:43.5Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],1626179,,,1610612766,10,19,2021-12-30T00:23:40Z,830000,,,0,,T. Rozier Free Throw 2 of 3 (6 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,,,,,,,,,,,6.0,,,,,,
84,PT06M13.00S,2021-12-30T00:23:02.2Z,1,REGULAR,substitution,out,[],1630537,,,1610612766,10,19,2021-12-30T00:23:20Z,840000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M13.00S,2021-12-30T00:23:02.2Z,1,REGULAR,substitution,out,[],1627734,,,1610612766,10,19,2021-12-30T00:23:20Z,850000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M13.00S,2021-12-30T00:23:02.2Z,1,REGULAR,substitution,out,[],1629667,,,1610612766,10,19,2021-12-30T00:23:20Z,860000,,,0,,SUB out: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M13.00S,2021-12-30T00:23:02.2Z,1,REGULAR,substitution,out,[],203486,,,1610612766,10,19,2021-12-30T00:23:20Z,870000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M13.00S,2021-12-30T00:23:02.2Z,1,REGULAR,substitution,in,[],1629052,,,1610612766,10,19,2021-12-30T00:23:20Z,880000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,
