actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
42,PT08M20.00S,2022-01-29T01:16:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.51182654402102,59.068627450980394,1610612740,7,6,2022-01-29T01:31:22Z,420000,45.0,8.0,1,right,MISS J. Hart driving Layup - blocked,"[1628404, 1628420]",1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,,,4.61,Missed,,,,,,,,,,,,,,,Morris,1628420.0
43,PT08M20.00S,2022-01-29T01:16:07.8Z,1,REGULAR,block,,[],1628420,,,1610612740,7,6,2022-01-29T01:16:10Z,430000,,,0,,M. Morris BLOCK (1 BLK),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2022-01-29T01:16:08.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,7,6,2022-01-29T01:21:46Z,440000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,
45,PT08M19.00S,2022-01-29T01:16:13.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,7,6,2022-01-29T01:16:13Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M09.00S,2022-01-29T01:16:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,93.77463863337714,48.28431372549019,1610612740,9,6,2022-01-29T01:16:39Z,460000,-9.0,6.0,1,right,H. Jones driving Layup (2 PTS) (D. Graham 1 AST),"[1630529, 1628984]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,,,1.05,Made,2.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,
48,PT07M56.00S,2022-01-29T01:16:48.2Z,1,REGULAR,3pt,Jump Shot,[],203932,23.73521681997372,13.725490196078432,1610612743,9,6,2022-01-29T01:17:05Z,480000,181.0,171.0,1,left,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,24.9,Missed,,,,,,,,,,,,,,,,
49,PT07M53.00S,2022-01-29T01:16:51.2Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,9,6,2022-01-29T01:17:05Z,490000,,,0,,W. Hernangomez REBOUND (Off:1 Def:3),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,48.0,4.0,3.0,1.0,,,,,,,,
50,PT07M48.00S,2022-01-29T01:17:05.1Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612740,9,6,2022-01-29T01:18:24Z,500000,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,201638.0,,,,,,,,,,,,,,,,,,,
51,PT07M39.00S,2022-01-29T01:17:24.3Z,1,REGULAR,foul,personal,['2freethrow'],1628420,,,1610612740,9,6,2022-01-29T01:17:31Z,510000,,,0,,M. Morris shooting personal FOUL (1 PF) (Graham 2 FT),"[1628420, 1628984]",1610612743.0,DEN,shooting,,,Morris,M. Morris,,,,,1627541.0,,,,,,,,,,,,1.0,0.0,Graham,1628984.0,,,,
53,PT07M39.00S,2022-01-29T01:17:47.4Z,1,REGULAR,freethrow,1 of 2,[],1628984,,,1610612740,10,6,2022-01-29T01:17:47Z,530000,,,0,,D. Graham Free Throw 1 of 2 (6 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
54,PT07M39.00S,2022-01-29T01:18:07.0Z,1,REGULAR,freethrow,2 of 2,[],1628984,,,1610612740,11,6,2022-01-29T01:18:07Z,540000,,,0,,D. Graham Free Throw 2 of 2 (7 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
55,PT07M26.00S,2022-01-29T01:18:23.5Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,11,6,2022-01-29T01:18:29Z,550000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (2 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,1627963.0,2.0,,,,,,,,,,,,,,,,,,
56,PT07M13.00S,2022-01-29T01:18:41.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626195,67.36202365308804,61.51960784313726,1610612740,11,6,2022-01-29T01:18:46Z,560000,58.0,254.0,1,right,MISS W. Hernangomez 26' 3PT,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,26.07,Missed,,,,,,,,,,,,,,,,
57,PT07M09.00S,2022-01-29T01:18:45.0Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,11,6,2022-01-29T01:18:46Z,570000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,
58,PT07M03.00S,2022-01-29T01:18:50.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,9.411957950065702,48.28431372549019,1610612743,11,8,2022-01-29T01:18:55Z,580000,9.0,36.0,1,left,N. Jokic Hook (2 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,3.7,Made,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,
60,PT06M49.00S,2022-01-29T01:19:04.0Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612740,11,8,2022-01-29T01:19:08Z,600000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 203999]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,1.0,,,,,,,,,,,,,,,Jokic,203999.0,,
61,PT06M49.00S,2022-01-29T01:19:04.0Z,1,REGULAR,steal,,[],203999,,,1610612743,11,8,2022-01-29T01:19:06Z,610000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2022-01-29T01:19:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203932,6.1268068331143235,53.67647058823529,1610612743,11,10,2022-01-29T01:19:16Z,620000,-18.0,5.0,1,left,A. Gordon driving Layup (4 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,,,1.91,Made,4.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,
64,PT06M47.00S,2022-01-29T01:19:14.1Z,1,REGULAR,foul,personal,['1freethrow'],202066,,,1610612743,11,10,2022-01-29T01:19:23Z,640000,,,0,,G. Temple shooting personal FOUL (1 PF) (Gordon 1 FT),"[202066, 203932]",1610612740.0,NOP,shooting,,,Temple,G. Temple,,,,,1627541.0,,,,,,,,,,,,1.0,0.0,Gordon,203932.0,,,,
66,PT06M47.00S,2022-01-29T01:19:33.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,11,10,2022-01-29T01:19:33Z,660000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M47.00S,2022-01-29T01:22:28.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203932,,,1610612743,11,11,2022-01-29T01:22:28Z,670000,,,0,,A. Gordon Free Throw 1 of 1 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
68,PT06M27.00S,2022-01-29T01:22:53.4Z,1,REGULAR,2pt,Jump Shot,[],1628984,74.45795006570303,46.81372549019608,1610612740,11,11,2022-01-29T01:31:45Z,680000,-16.0,188.0,1,right,MISS D. Graham 18' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,18.83,Missed,,,,,,,,,,,,,,,,
69,PT06M23.00S,2022-01-29T01:22:57.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,11,2022-01-29T01:22:59Z,690000,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,68.0,4.0,4.0,0.0,,,,,,,,
70,PT06M16.00S,2022-01-29T01:23:04.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,11,11,2022-01-29T01:23:10Z,700000,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 1630529]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,3.0,,,,,,,,,,,,,,,Jones,1630529.0,,
71,PT06M16.00S,2022-01-29T01:23:04.1Z,1,REGULAR,steal,,[],1630529,,,1610612740,11,11,2022-01-29T01:23:06Z,710000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M10.00S,2022-01-29T01:23:09.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202066,94.69448094612353,94.36274509803921,1610612740,11,11,2022-01-29T01:23:15Z,720000,222.0,-3.0,1,right,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,22.18,Missed,,,,,,,,,,,,,,,,
73,PT06M06.00S,2022-01-29T01:23:13.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,11,11,2022-01-29T01:23:15Z,730000,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,
74,PT06M02.00S,2022-01-29T01:23:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203999,7.178055190538765,50.73529411764706,1610612743,11,13,2022-01-29T01:23:25Z,740000,-4.0,15.0,1,left,N. Jokic cutting Layup (4 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,,,1.54,Made,4.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,
76,PT05M38.00S,2022-01-29T01:23:43.8Z,1,REGULAR,2pt,Jump Shot,[],1630529,84.1819973718791,77.69607843137256,1610612740,11,13,2022-01-29T01:24:57Z,760000,138.0,96.0,1,right,MISS H. Jones 16' pullup Shot,[1630529],1610612740.0,NOP,pullup,,,Jones,H. Jones,,,,,,,16.86,Missed,,,,,,,,,,,,,,,,
77,PT05M37.00S,2022-01-29T01:23:44.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,11,13,2022-01-29T01:24:57Z,770000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,
78,PT05M37.00S,2022-01-29T01:23:51.3Z,1,REGULAR,foul,personal,[],1626195,,,1610612743,11,13,2022-01-29T01:24:50Z,780000,,,0,,W. Hernangomez loose ball personal FOUL (1 PF),"[1626195, 201145]",1610612740.0,NOP,loose ball,,,Hernangomez,W. Hernangomez,,,,,1627541.0,,,,,,,,,,,,1.0,0.0,Green,201145.0,,,,
80,PT05M24.00S,2022-01-29T01:24:15.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,5.732588699080158,49.754901960784316,1610612743,11,15,2022-01-29T01:24:40Z,800000,1.0,1.0,1,left,A. Gordon alley-oop DUNK (7 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,,,0.18,Made,7.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,
82,PT05M09.00S,2022-01-29T01:24:29.3Z,1,REGULAR,3pt,Jump Shot,[],1628984,70.90998685939553,19.11764705882353,1610612740,11,15,2022-01-29T01:25:49Z,820000,-154.0,221.0,1,right,MISS D. Graham 26' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,26.95,Missed,,,,,,,,,,,,,,,,
83,PT05M04.00S,2022-01-29T01:24:34.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,11,15,2022-01-29T01:24:34Z,830000,,,0,,A. Gordon REBOUND (Off:0 Def:3),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,
84,PT04M59.00S,2022-01-29T01:24:39.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,27.808804204993432,75.98039215686273,1610612743,11,15,2022-01-29T01:26:08Z,840000,-130.0,209.0,1,left,MISS A. Gordon 24' pullup 3PT,[203932],1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,,,24.6,Missed,,,,,,,,,,,,,,,,
85,PT04M57.00S,2022-01-29T01:24:41.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,11,15,2022-01-29T01:24:44Z,850000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,
86,PT04M51.00S,2022-01-29T01:24:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,92.46057818659659,46.81372549019608,1610612740,13,15,2022-01-29T01:26:30Z,860000,-16.0,18.0,1,right,J. Hart driving Layup (2 PTS),[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,,,2.43,Made,2.0,,,,,,,,,,,,,,,
87,PT04M40.00S,2022-01-29T01:24:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,5.469776609724048,50.98039215686274,1610612743,13,17,2022-01-29T01:25:11Z,870000,-5.0,-1.0,1,left,A. Gordon cutting Layup (9 PTS) (N. Jokic 3 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,,,0.5,Made,9.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,
89,PT04M29.00S,2022-01-29T01:25:11.8Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,13,17,2022-01-29T01:25:38Z,890000,,,0,,D. Graham bad pass out-of-bounds TURNOVER (2 TO),[1628984],1610612740.0,NOP,bad pass,,,Graham,D. Graham,,,,,1627541.0,2.0,,,,,,,,,,,,,,,,,,
