actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
16,PT10M38.00S,2021-12-22T01:12:34.1Z,1,REGULAR,rebound,offensive,[],1628984,,,1610612740,0,3,2021-12-22T01:21:34Z,160000,,,0,,D. Graham REBOUND (Off:1 Def:0),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M37.00S,2021-12-22T01:12:35.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,76.03482260183968,87.00980392156863,1610612740,0,3,2021-12-22T01:12:39Z,170000,185.0,173.0,1,right,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Missed,,,,,,25.31,,,,,,,,,
18,PT10M34.00S,2021-12-22T01:12:38.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,3,2021-12-22T01:12:39Z,180000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M23.00S,2021-12-22T01:12:48.6Z,1,REGULAR,turnover,lost ball,[],1626181,,,1610612757,0,3,2021-12-22T01:13:04Z,190000,,,0,,N. Powell lost ball TURNOVER (1 TO),"[1626181, 1628404]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,1.0,Hart,1628404.0,,,,,,
20,PT10M23.00S,2021-12-22T01:12:48.6Z,1,REGULAR,steal,,[],1628404,,,1610612740,0,3,2021-12-22T01:17:49Z,200000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2021-12-22T01:12:54.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628404,92.85479632063075,46.81372549019608,1610612740,2,3,2021-12-22T01:13:15Z,210000,-16.0,15.0,1,right,J. Hart driving Layup (2 PTS),[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,,,,,,Made,2.0,,,,,2.17,,,,,,,,,
22,PT10M20.00S,2021-12-22T01:12:56.8Z,1,REGULAR,foul,personal,['1freethrow'],1626204,,,1610612740,2,3,2021-12-22T01:13:06Z,220000,,,0,,L. Nance Jr. shooting personal FOUL (1 PF) (Hart 1 FT),"[1626204, 1628404]",1610612757.0,POR,shooting,,,Nance Jr.,L. Nance Jr.,,,,,201246.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,,
24,PT10M20.00S,2021-12-22T01:13:23.8Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1628404,,,1610612740,3,3,2021-12-22T01:13:23Z,240000,,,0,,J. Hart Free Throw 1 of 1 (3 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
25,PT10M05.00S,2021-12-22T01:13:40.4Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612757,3,3,2021-12-22T01:13:44Z,250000,,,0,,J. Nurkic bad pass TURNOVER (1 TO),"[203994, 1628984]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,1.0,Graham,1628984.0,,,,,,
26,PT10M05.00S,2021-12-22T01:13:40.4Z,1,REGULAR,steal,,[],1628984,,,1610612740,3,3,2021-12-22T01:13:42Z,260000,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M50.00S,2021-12-22T01:13:55.8Z,1,REGULAR,turnover,bad pass,[],1628984,,,1610612740,3,3,2021-12-22T01:13:59Z,270000,,,0,,D. Graham bad pass TURNOVER (1 TO),"[1628984, 203994]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,1.0,Nurkic,203994.0,,,,,,
28,PT09M50.00S,2021-12-22T01:13:55.8Z,1,REGULAR,steal,,[],203994,,,1610612757,3,3,2021-12-22T01:13:57Z,280000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M40.00S,2021-12-22T01:14:11.5Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612757,3,3,2021-12-22T01:14:24Z,290000,,,0,,J. Valanciunas shooting personal FOUL (2 PF) (Nurkic 2 FT),"[202685, 203994]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,1179.0,2.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,,
31,PT09M40.00S,2021-12-22T01:14:29.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203994,,,1610612757,3,3,2021-12-22T01:14:48Z,310000,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,,,,,,,,,,
32,PT09M40.00S,2021-12-22T01:14:29.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612757,3,3,2021-12-22T01:14:48Z,320000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,
33,PT09M40.00S,2021-12-22T01:14:31.1Z,1,REGULAR,substitution,out,[],202685,,,1610612757,3,3,2021-12-22T01:14:35Z,330000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M40.00S,2021-12-22T01:14:31.1Z,1,REGULAR,substitution,in,[],1626195,,,1610612757,3,3,2021-12-22T01:14:35Z,340000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M40.00S,2021-12-22T01:14:29.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203994,,,1610612757,3,3,2021-12-22T01:14:48Z,350000,,,0,,MISS J. Nurkic Free Throw 2 of 2,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,,,,,,,,,,
36,PT09M37.00S,2021-12-22T01:14:32.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,3,3,2021-12-22T01:14:48Z,360000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT09M31.00S,2021-12-22T01:14:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.9060446780552,51.470588235294116,1610612740,5,3,2021-12-22T01:14:58Z,370000,7.0,5.0,1,right,J. Hart driving Layup (5 PTS),[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,,,,,,Made,5.0,,,,,0.88,,,,,,,,,
38,PT09M18.00S,2021-12-22T01:15:06.3Z,1,REGULAR,3pt,Jump Shot,[],203081,25.18068331143233,85.04901960784314,1610612757,5,3,2021-12-22T01:16:53Z,380000,-175.0,184.0,1,left,MISS D. Lillard 25' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,,,,,,Missed,,,,,,25.42,,,,,,,,,
39,PT09M17.00S,2021-12-22T01:15:07.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,5,3,2021-12-22T01:15:24Z,390000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
40,PT09M14.00S,2021-12-22T01:15:25.0Z,1,REGULAR,foul,personal,[],203994,,,1610612740,5,3,2021-12-22T01:15:45Z,400000,,,0,,J. Nurkic loose ball personal FOUL (1 PF),"[203994, 1627742]",1610612757.0,POR,loose ball,,,Nurkic,J. Nurkic,,,,,1627519.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,,
42,PT09M05.00S,2021-12-22T01:15:33.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,85.23324572930355,79.41176470588235,1610612740,5,3,2021-12-22T01:15:41Z,420000,147.0,86.0,1,right,MISS B. Ingram 17' Jump Shot,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,Missed,,,,,,17.05,,,,,,,,,
43,PT09M02.00S,2021-12-22T01:15:36.6Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,5,3,2021-12-22T01:15:41Z,430000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,
44,PT08M48.00S,2021-12-22T01:15:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,7.440867279894875,51.470588235294116,1610612757,5,3,2021-12-22T01:16:14Z,440000,-7.0,17.0,1,left,MISS J. Nurkic cutting finger roll Layup,[203994],1610612757.0,POR,cutting finger roll,,,Nurkic,J. Nurkic,,,,,,,,,,Missed,,,,,,1.89,,,,,,,,,
45,PT08M46.00S,2021-12-22T01:15:52.7Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,5,3,2021-12-22T01:16:04Z,450000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,
46,PT08M41.00S,2021-12-22T01:16:00.0Z,1,REGULAR,foul,personal,[],1626181,,,1610612740,5,3,2021-12-22T01:16:09Z,460000,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1630529]",1610612757.0,POR,,,,Powell,N. Powell,,,,,201246.0,1.0,0.0,Jones,1630529.0,,,,,,,,,,,,,,,,
48,PT08M27.00S,2021-12-22T01:16:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628984,63.288436268068324,40.44117647058824,1610612740,5,3,2021-12-22T01:18:28Z,480000,-48.0,293.0,1,right,MISS D. Graham 29' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,,,Missed,,,,,,29.65,,,,,,,,,
49,PT08M22.00S,2021-12-22T01:16:37.4Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,5,3,2021-12-22T01:16:37Z,490000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:2),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,
50,PT08M17.00S,2021-12-22T01:16:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,8.492115637319317,49.754901960784316,1610612757,5,3,2021-12-22T01:16:51Z,500000,1.0,27.0,1,left,MISS D. Lillard driving Layup - blocked,"[203081, 1630529]",1610612757.0,POR,driving,,,Lillard,D. Lillard,,,,,,,,,,Missed,,,,,,2.73,,,,Jones,1630529.0,,,,
51,PT08M17.00S,2021-12-22T01:16:44.2Z,1,REGULAR,block,,[],1630529,,,1610612757,5,3,2021-12-22T01:16:47Z,510000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M17.00S,2021-12-22T01:16:44.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,5,3,2021-12-22T01:16:51Z,520000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,
53,PT08M17.00S,2021-12-22T01:16:50.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,5,3,2021-12-22T01:16:50Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M03.00S,2021-12-22T01:17:16.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,6.258212877792378,50.73529411764706,1610612757,5,5,2021-12-22T01:17:22Z,540000,-4.0,6.0,1,left,J. Nurkic cutting finger roll Layup (5 PTS) (D. Lillard 1 AST),"[203994, 203081]",1610612757.0,POR,cutting finger roll,,,Nurkic,J. Nurkic,,,,,,,,,,Made,5.0,,,,,0.73,,,,,,D. Lillard,203081.0,1.0,
56,PT07M52.00S,2021-12-22T01:17:28.6Z,1,REGULAR,turnover,out-of-bounds,[],1628984,,,1610612740,5,5,2021-12-22T01:17:35Z,560000,,,0,,D. Graham bad pass out-of-bounds TURNOVER (2 TO),[1628984],1610612740.0,NOP,bad pass,,,Graham,D. Graham,,,,,1179.0,,,,,,,,,,,,2.0,,,,,,,,
57,PT07M41.00S,2021-12-22T01:17:49.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626181,26.49474375821288,47.549019607843135,1610612757,5,5,2021-12-22T01:22:02Z,570000,12.0,197.0,1,left,MISS N. Powell 19' pullup Shot,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,,,,,,Missed,,,,,,19.7,,,,,,,,,
58,PT07M38.00S,2021-12-22T01:17:52.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,5,2021-12-22T01:22:02Z,580000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M36.00S,2021-12-22T01:17:58.8Z,1,REGULAR,foul,personal,[],203503,,,1610612740,5,5,2021-12-22T01:18:06Z,590000,,,0,,T. Snell personal FOUL (1 PF),"[203503, 1627742]",1610612757.0,POR,,,,Snell,T. Snell,,,,,1627519.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,,,,,
61,PT07M33.00S,2021-12-22T01:18:20.2Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,5,5,2021-12-22T01:18:27Z,610000,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1626204]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,1.0,Nance Jr.,1626204.0,,,,,,
62,PT07M33.00S,2021-12-22T01:18:20.2Z,1,REGULAR,steal,,[],1626204,,,1610612757,5,5,2021-12-22T01:18:22Z,620000,,,0,,L. Nance Jr. STEAL (1 STL),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M22.00S,2021-12-22T01:18:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626204,4.944152431011826,3.6764705882352944,1610612757,5,5,2021-12-22T01:18:35Z,630000,232.0,-6.0,1,left,MISS L. Nance Jr. 3PT,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,Missed,,,,,,23.17,,,,,,,,,
64,PT07M19.00S,2021-12-22T01:18:34.3Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,5,5,2021-12-22T01:18:35Z,640000,,,0,,W. Hernangomez REBOUND (Off:0 Def:2),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT07M09.00S,2021-12-22T01:18:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,85.89027595269383,3.9215686274509802,1610612740,5,5,2021-12-22T01:18:48Z,650000,-230.0,80.0,1,right,MISS H. Jones 24' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,Missed,,,,,,24.39,,,,,,,,,
66,PT07M06.00S,2021-12-22T01:18:46.6Z,1,REGULAR,rebound,defensive,[],203503,,,1610612757,5,5,2021-12-22T01:18:48Z,660000,,,0,,T. Snell REBOUND (Off:0 Def:1),[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT06M59.00S,2021-12-22T01:18:59.9Z,1,REGULAR,foul,personal,[],1630529,,,1610612757,5,5,2021-12-22T01:19:11Z,670000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 203081]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,1627519.0,1.0,0.0,Lillard,203081.0,,,,,,,,,,,,,,,,
69,PT06M59.00S,2021-12-22T01:19:11.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,5,5,2021-12-22T01:19:11Z,690000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2021-12-22T01:21:43.4Z,1,REGULAR,substitution,out,[],1626204,,,1610612757,5,5,2021-12-22T01:21:56Z,700000,,,0,,SUB out: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M59.00S,2021-12-22T01:21:43.4Z,1,REGULAR,substitution,out,[],203503,,,1610612757,5,5,2021-12-22T01:21:56Z,710000,,,0,,SUB out: T. Snell,[203503],1610612757.0,POR,,,,Snell,T. Snell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M59.00S,2021-12-22T01:21:43.4Z,1,REGULAR,substitution,in,[],1629014,,,1610612757,5,5,2021-12-22T01:21:56Z,720000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M59.00S,2021-12-22T01:21:43.4Z,1,REGULAR,substitution,in,[],203496,,,1610612757,5,5,2021-12-22T01:21:56Z,730000,,,0,,SUB in: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2021-12-22T01:22:19.4Z,1,REGULAR,foul,personal,[],1626195,,,1610612757,5,5,2021-12-22T01:22:32Z,740000,,,0,,W. Hernangomez personal FOUL (1 PF),"[1626195, 203081]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,201246.0,1.0,0.0,Lillard,203081.0,,,,,,,,,,,,,,,,
76,PT06M39.00S,2021-12-22T01:22:42.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,9.149145860709593,30.637254901960787,1610612757,5,5,2021-12-22T01:22:49Z,760000,97.0,34.0,1,left,MISS A. Simons 10' turnaround Shot,[1629014],1610612757.0,POR,turnaround,,,Simons,A. Simons,,,,,,,,,,Missed,,,,,,10.24,,,,,,,,,
77,PT06M36.00S,2021-12-22T01:22:45.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,5,2021-12-22T01:22:49Z,770000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,,
78,PT06M17.00S,2021-12-22T01:23:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626195,93.64323258869908,45.34313725490196,1610612740,7,5,2021-12-22T01:23:08Z,780000,-23.0,7.0,1,right,W. Hernangomez Layup (2 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,Made,2.0,,,,,2.44,,,,,,,,,
79,PT05M49.00S,2021-12-22T01:23:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,5.995400788436268,54.90196078431373,1610612757,7,7,2021-12-22T01:23:37Z,790000,-25.0,4.0,1,left,D. Lillard driving finger roll Layup (2 PTS),[203081],1610612757.0,POR,driving finger roll,,,Lillard,D. Lillard,,,,,,,,,,Made,2.0,,,,,2.48,,,,,,,,,
80,PT05M36.00S,2021-12-22T01:23:44.9Z,1,REGULAR,3pt,Jump Shot,[],1628984,72.35545335085413,17.15686274509804,1610612740,10,7,2021-12-22T01:23:50Z,800000,-164.0,207.0,1,right,D. Graham 26' 3PT  (3 PTS) (W. Hernangomez 1 AST),"[1628984, 1626195]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,Made,3.0,,,,,26.45,,,,,,W. Hernangomez,1626195.0,1.0,
82,PT05M23.00S,2021-12-22T01:24:06.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630529,,,1610612757,10,7,2021-12-22T01:24:26Z,820000,,,0,,H. Jones personal FOUL (2 PF) (Lillard 2 FT),"[1630529, 203081]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,201246.0,2.0,0.0,Lillard,203081.0,,,,,,,,,,,,,,,,
84,PT05M23.00S,2021-12-22T01:24:34.2Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612757,10,8,2021-12-22T01:25:03Z,840000,,,0,,D. Lillard Free Throw 1 of 2 (3 PTS),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
85,PT05M23.00S,2021-12-22T01:24:35.0Z,1,REGULAR,substitution,out,[],1628984,,,1610612757,10,8,2021-12-22T01:24:47Z,850000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M23.00S,2021-12-22T01:24:35.0Z,1,REGULAR,substitution,out,[],1630529,,,1610612757,10,8,2021-12-22T01:24:47Z,860000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M23.00S,2021-12-22T01:24:35.0Z,1,REGULAR,substitution,in,[],203107,,,1610612757,10,8,2021-12-22T01:24:47Z,870000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M23.00S,2021-12-22T01:24:35.0Z,1,REGULAR,substitution,in,[],1629638,,,1610612757,10,8,2021-12-22T01:24:47Z,880000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M23.00S,2021-12-22T01:24:34.2Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612757,10,8,2021-12-22T01:25:03Z,890000,,,0,,MISS D. Lillard Free Throw 2 of 2,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,Missed,,,,,,,,,,,,,,,
90,PT05M20.00S,2021-12-22T01:24:37.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,10,8,2021-12-22T01:25:03Z,900000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,
