actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M43.00S,2022-01-30T00:12:49.7Z,1,REGULAR,block,,[],1629057,,,1610612740,2,3,2022-01-30T00:12:54Z,170000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2022-01-30T00:12:49.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,2,3,2022-01-30T00:15:23Z,180000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,
26,PT10M43.00S,2022-01-30T00:12:54.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,2,3,2022-01-30T00:15:05Z,185000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,201246.0,,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2022-01-30T00:13:17.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,66.04796320630749,50.49019607843137,1610612738,2,6,2022-01-30T00:14:21Z,200000,2.0,267.0,1,right,J. Tatum 26' 3PT  (3 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,3.0,26.66,,,,,R. Williams III,1629057.0,1.0,,,,
22,PT10M20.00S,2022-01-30T00:13:31.2Z,1,REGULAR,3pt,Jump Shot,[],1628984,31.750985545335087,72.79411764705883,1610612740,2,6,2022-01-30T00:13:36Z,220000,-114.0,246.0,1,left,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,Missed,,27.11,,,,,,,,,,,
23,PT10M20.00S,2022-01-30T00:13:31.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,6,2022-01-30T00:13:36Z,230000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,
24,PT10M08.00S,2022-01-30T00:13:42.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,89.17542706964521,78.67647058823529,1610612738,2,8,2022-01-30T00:13:51Z,240000,143.0,49.0,1,right,J. Tatum 15' step back Jump Shot (5 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,,,,,,,Made,5.0,15.16,,,,,,,,,,,
25,PT10M07.00S,2022-01-30T00:13:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,2,8,2022-01-30T00:13:51Z,250000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M56.00S,2022-01-30T00:16:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626195,7.703679369250986,40.19607843137255,1610612740,2,8,2022-01-30T00:17:33Z,260000,49.0,20.0,1,left,MISS W. Hernangomez floating Shot,[1626195],1610612740.0,NOP,floating,,,Hernangomez,W. Hernangomez,,,,,,,,,,,Missed,,5.29,,,,,,,,,,,
28,PT09M51.00S,2022-01-30T00:16:56.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,2,8,2022-01-30T00:17:05Z,270000,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,27.0,3.0,2.0,1.0,,,,,,,
29,PT09M37.00S,2022-01-30T00:17:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.32917214191852,53.431372549019606,1610612738,2,10,2022-01-30T00:17:17Z,280000,17.0,20.0,1,right,J. Tatum driving Layup (7 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,,Made,7.0,2.61,,,,,,,,,,,
30,PT09M21.00S,2022-01-30T00:17:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202066,7.178055190538765,53.92156862745098,1610612740,4,10,2022-01-30T00:17:33Z,290000,-20.0,15.0,1,left,G. Temple driving Layup (2 PTS),[202066],1610612740.0,NOP,driving,,,Temple,G. Temple,,,,,,,,,,,Made,2.0,2.47,,,,,,,,,,,
31,PT09M12.00S,2022-01-30T00:17:35.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.07030223390277,25.735294117647058,1610612738,4,10,2022-01-30T00:17:40Z,300000,-121.0,238.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Missed,,26.73,,,,,,,,,,,
32,PT09M08.00S,2022-01-30T00:17:39.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,4,10,2022-01-30T00:17:40Z,310000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,
33,PT09M02.00S,2022-01-30T00:17:44.7Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612740,4,10,2022-01-30T00:18:47Z,320000,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 1627759]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,1.0,,,,,,,,,,,,,,,,,Brown,1627759.0
34,PT09M02.00S,2022-01-30T00:17:44.7Z,1,REGULAR,steal,,[],1627759,,,1610612738,4,10,2022-01-30T00:17:48Z,330000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2022-01-30T00:17:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,91.5407358738502,53.431372549019606,1610612738,4,12,2022-01-30T00:19:05Z,340000,17.0,27.0,1,right,J. Brown running Layup (5 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,,,,,,,Made,5.0,3.2,,,,,,,,,,,
36,PT08M38.00S,2022-01-30T00:18:09.0Z,1,REGULAR,2pt,Jump Shot,[],202066,20.97568988173456,52.94117647058824,1610612740,4,12,2022-01-30T00:18:20Z,350000,-15.0,145.0,1,left,MISS G. Temple 14' floating Shot,[202066],1610612740.0,NOP,floating,,,Temple,G. Temple,,,,,,,,,,,Missed,,14.54,,,,,,,,,,,
37,PT08M34.00S,2022-01-30T00:18:13.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,12,2022-01-30T00:18:20Z,360000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,
38,PT08M26.00S,2022-01-30T00:18:20.8Z,1,REGULAR,2pt,Jump Shot,[],1628369,86.81011826544021,32.84313725490196,1610612738,4,14,2022-01-30T00:18:27Z,370000,-86.0,71.0,1,right,J. Tatum 11' turnaround Jump Shot (9 PTS),[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,,,,,,,Made,9.0,11.17,,,,,,,,,,,
39,PT08M11.00S,2022-01-30T00:18:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,4,14,2022-01-30T00:18:41Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M07.00S,2022-01-30T00:18:54.9Z,1,REGULAR,3pt,Jump Shot,[],1628404,31.09395532194481,76.7156862745098,1610612740,4,14,2022-01-30T00:18:59Z,390000,-134.0,240.0,1,left,MISS J. Hart 27' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,Missed,,27.45,,,,,,,,,,,
41,PT08M04.00S,2022-01-30T00:18:57.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,14,2022-01-30T00:18:59Z,400000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,
42,PT07M48.00S,2022-01-30T00:19:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.59198423127464,54.41176470588235,1610612738,4,16,2022-01-30T00:19:23Z,410000,22.0,17.0,1,right,J. Tatum driving Layup (11 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,,Made,11.0,2.79,,,,,A. Horford,201143.0,1.0,,,,
44,PT07M32.00S,2022-01-30T00:19:30.0Z,1,REGULAR,3pt,Jump Shot,[],202066,12.697109067017081,3.1862745098039214,1610612740,4,16,2022-01-30T00:19:38Z,430000,234.0,67.0,1,left,MISS G. Temple 24' 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,Missed,,24.35,,,,,,,,,,,
45,PT07M27.00S,2022-01-30T00:19:35.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,16,2022-01-30T00:19:38Z,440000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,
46,PT07M19.00S,2022-01-30T00:19:42.7Z,1,REGULAR,3pt,Jump Shot,[],203935,89.56964520367937,95.58823529411765,1610612738,4,16,2022-01-30T00:19:49Z,450000,228.0,46.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,Missed,,23.24,,,,,,,,,,,
47,PT07M16.00S,2022-01-30T00:19:45.7Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,4,16,2022-01-30T00:19:49Z,460000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,
48,PT07M16.00S,2022-01-30T00:19:52.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612740,4,16,2022-01-30T00:20:03Z,470000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 202066]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,1627534.0,,1.0,0.0,Temple,202066.0,,,,,,,,,,,,,,
50,PT07M02.00S,2022-01-30T00:20:14.7Z,1,REGULAR,3pt,Jump Shot,[],1630529,32.40801576872536,61.76470588235294,1610612740,4,16,2022-01-30T00:20:22Z,490000,-59.0,252.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,Missed,,25.89,,,,,,,,,,,
51,PT06M58.00S,2022-01-30T00:20:18.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,16,2022-01-30T00:20:22Z,500000,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,50.0,4.0,3.0,1.0,,,,,,,
52,PT06M51.00S,2022-01-30T00:20:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.46057818659659,53.67647058823529,1610612738,4,18,2022-01-30T00:20:35Z,510000,18.0,18.0,1,right,A. Horford Layup (2 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,Made,2.0,2.6,,,,,M. Smart,203935.0,2.0,,,,
54,PT06M35.00S,2022-01-30T00:20:42.7Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612740,4,18,2022-01-30T00:20:52Z,530000,,,0,,M. Smart shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[203935, 1626195]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1627541.0,,1.0,0.0,Hernangomez,1626195.0,,,,,,,,,,,,,,
56,PT06M35.00S,2022-01-30T00:21:08.6Z,1,REGULAR,freethrow,1 of 2,[],1626195,,,1610612740,5,18,2022-01-30T00:21:08Z,550000,,,0,,W. Hernangomez Free Throw 1 of 2 (3 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
57,PT06M35.00S,2022-01-30T00:21:19.3Z,1,REGULAR,substitution,out,[],202066,,,1610612740,5,18,2022-01-30T00:21:22Z,560000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M35.00S,2022-01-30T00:21:19.3Z,1,REGULAR,substitution,in,[],1629638,,,1610612740,5,18,2022-01-30T00:21:22Z,570000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M35.00S,2022-01-30T00:21:32.0Z,1,REGULAR,freethrow,2 of 2,[],1626195,,,1610612740,6,18,2022-01-30T00:21:32Z,580000,,,0,,W. Hernangomez Free Throw 2 of 2 (4 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
60,PT06M13.00S,2022-01-30T00:21:56.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.8712220762155,36.473651960784316,1610612738,6,18,2022-01-30T00:34:15Z,590000,-68.0,250.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Missed,,25.85,,,,,,,,,,,
61,PT06M09.00S,2022-01-30T00:22:00.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,6,18,2022-01-30T00:22:06Z,600000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,
62,PT06M05.00S,2022-01-30T00:22:05.3Z,1,REGULAR,3pt,Jump Shot,[],1628984,29.25427069645204,74.01960784313727,1610612740,6,18,2022-01-30T00:22:14Z,610000,-120.0,222.0,1,left,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,Missed,,25.28,,,,,,,,,,,
63,PT06M02.00S,2022-01-30T00:22:08.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,6,18,2022-01-30T00:22:14Z,620000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,
64,PT05M54.00S,2022-01-30T00:22:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,87.20433639947439,43.13725490196079,1610612738,6,18,2022-01-30T00:22:26Z,630000,-34.0,68.0,1,right,MISS A. Horford 7' Layup,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,Missed,,7.6,,,,,,,,,,,
65,PT05M51.00S,2022-01-30T00:22:19.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,6,18,2022-01-30T00:22:19Z,640000,,,0,,R. Williams III REBOUND (Off:2 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,64.0,5.0,3.0,2.0,,,,,,,
66,PT05M49.00S,2022-01-30T00:22:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,89.96386333771353,51.71568627450981,1610612738,6,18,2022-01-30T00:22:32Z,650000,9.0,42.0,1,right,MISS R. Williams III tip Layup,[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,,Missed,,4.27,,,,,,,,,,,
67,PT05M45.00S,2022-01-30T00:22:25.1Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612740,6,18,2022-01-30T00:22:32Z,660000,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,
68,PT05M44.00S,2022-01-30T00:22:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,9.149145860709593,59.068627450980394,1610612740,6,18,2022-01-30T00:24:22Z,670000,-45.0,34.0,1,left,MISS N. Alexander-Walker driving floating Shot,[1629638],1610612740.0,NOP,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,Missed,,5.63,,,,,,,,,,,
69,PT05M41.00S,2022-01-30T00:22:30.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,18,2022-01-30T00:22:40Z,680000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,68.0,3.0,3.0,0.0,,,,,,,
70,PT05M38.00S,2022-01-30T00:22:33.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,6,18,2022-01-30T00:22:45Z,690000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1628404]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,2.0,,,,,,,,,,,,,,,,,Hart,1628404.0
71,PT05M38.00S,2022-01-30T00:22:33.2Z,1,REGULAR,steal,,[],1628404,,,1610612740,6,18,2022-01-30T00:22:36Z,700000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M33.00S,2022-01-30T00:22:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,6.652431011826544,54.166666666666664,1610612740,6,18,2022-01-30T00:22:54Z,710000,-21.0,10.0,1,left,MISS H. Jones Layup - blocked,"[1630529, 1629057]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,Missed,,2.31,,,,,,,,Williams III,1629057.0,,
73,PT05M33.00S,2022-01-30T00:22:37.9Z,1,REGULAR,block,,[],1629057,,,1610612740,6,18,2022-01-30T00:23:09Z,720000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M26.00S,2022-01-30T00:22:44.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,18,2022-01-30T00:22:54Z,730000,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,72.0,4.0,4.0,0.0,,,,,,,
75,PT05M21.00S,2022-01-30T00:22:49.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627759,91.14651773981603,56.86274509803921,1610612738,6,20,2022-01-30T00:25:31Z,740000,34.0,31.0,1,right,J. Brown driving floating Jump Shot (7 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,,,,,,,Made,7.0,4.6,,,,,J. Tatum,1628369.0,1.0,,,,
77,PT05M06.00S,2022-01-30T00:23:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629638,29.911300919842315,29.65686274509804,1610612740,6,20,2022-01-30T00:23:13Z,760000,102.0,229.0,1,left,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,Missed,,25.03,,,,,,,,,,,
78,PT05M01.00S,2022-01-30T00:23:09.3Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,6,20,2022-01-30T00:23:13Z,770000,,,0,,W. Hernangomez REBOUND (Off:1 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,77.0,1.0,0.0,1.0,,,,,,,
79,PT04M59.00S,2022-01-30T00:23:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626195,6.389618922470433,54.166666666666664,1610612740,8,20,2022-01-30T00:23:18Z,780000,-21.0,8.0,1,left,W. Hernangomez Layup (6 PTS),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,Made,6.0,2.21,,,,,,,,,,,
80,PT04M49.00S,2022-01-30T00:23:23.2Z,1,REGULAR,foul,personal,['2freethrow'],1626195,,,1610612738,8,20,2022-01-30T00:23:39Z,790000,,,0,,W. Hernangomez shooting personal FOUL (1 PF) (Brown 2 FT),"[1626195, 1627759]",1610612740.0,NOP,shooting,,,Hernangomez,W. Hernangomez,,,,,201246.0,,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,
82,PT04M49.00S,2022-01-30T00:23:58.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,8,21,2022-01-30T00:23:58Z,810000,,,0,,J. Brown Free Throw 1 of 2 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,8.0,,,,,,,,,,,,
83,PT04M49.00S,2022-01-30T00:24:00.5Z,1,REGULAR,substitution,out,[],1628984,,,1610612738,8,21,2022-01-30T00:24:21Z,820000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M49.00S,2022-01-30T00:24:00.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,8,21,2022-01-30T00:24:21Z,840000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M49.00S,2022-01-30T00:24:00.5Z,1,REGULAR,substitution,out,[],201143,,,1610612738,8,21,2022-01-30T00:24:21Z,850000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M49.00S,2022-01-30T00:24:00.5Z,1,REGULAR,substitution,in,[],1630631,,,1610612738,8,21,2022-01-30T00:24:21Z,860000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M49.00S,2022-01-30T00:24:00.5Z,1,REGULAR,substitution,in,[],1629637,,,1610612738,8,21,2022-01-30T00:24:21Z,870000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M49.00S,2022-01-30T00:24:00.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,8,21,2022-01-30T00:24:21Z,880000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
