actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
19,PT10M26.00S,2021-12-02T01:13:34.3Z,1,REGULAR,3pt,Jump Shot,[],204001,31.09395532194481,31.61764705882353,1610612742,2,5,2021-12-02T01:14:13Z,190000,92.0,240.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2021-12-02T01:13:38.3Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,2,5,2021-12-02T01:13:41Z,200000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
21,PT10M12.00S,2021-12-02T01:13:48.1Z,1,REGULAR,3pt,Jump Shot,[],202066,95.0886990801577,97.05882352941177,1610612740,5,5,2021-12-02T01:14:46Z,210000,235.0,-6.0,1,right,G. Temple 3PT  (3 PTS) (D. Graham 1 AST),"[202066, 1628984]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,23.54,Made,3.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,,,,
23,PT10M06.00S,2021-12-02T01:13:57.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,5,5,2021-12-02T01:13:57Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2021-12-02T01:14:13.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,18.873193166885677,66.91176470588235,1610612742,5,7,2021-12-02T01:15:25Z,240000,-85.0,125.0,1,left,L. Doncic 15' step back Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,15.09,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M32.00S,2021-12-02T01:14:37.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,84.97043363994744,43.627450980392155,1610612740,5,7,2021-12-02T01:14:43Z,250000,-32.0,89.0,1,right,MISS J. Valanciunas 9' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,9.44,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M29.00S,2021-12-02T01:14:40.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,5,7,2021-12-02T01:14:43Z,260000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT09M25.00S,2021-12-02T01:14:44.5Z,1,REGULAR,3pt,Jump Shot,[],204001,32.14520367936925,37.00980392156863,1610612742,5,7,2021-12-02T01:16:05Z,270000,65.0,250.0,1,left,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M21.00S,2021-12-02T01:14:48.5Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,5,7,2021-12-02T01:14:53Z,280000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT09M16.00S,2021-12-02T01:14:53.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,78.0059132720105,7.8431372549019605,1610612740,8,7,2021-12-02T01:16:47Z,290000,-211.0,154.0,1,right,B. Ingram 26' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,26.12,Made,3.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,,
31,PT09M07.00S,2021-12-02T01:15:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203939,5.863994743758213,46.568627450980394,1610612742,8,9,2021-12-02T01:15:40Z,310000,17.0,3.0,1,left,D. Powell running Layup (2 PTS) (D. Finney-Smith 1 AST),"[203939, 1627827]",1610612742.0,DAL,running,,,Powell,D. Powell,,,,,1.74,Made,2.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,,,,
33,PT09M07.00S,2021-12-02T01:15:09.9Z,1,REGULAR,foul,personal,['1freethrow'],202685,,,1610612742,8,9,2021-12-02T01:15:27Z,330000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Powell 1 FT),"[202685, 203939]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,202037.0,,1.0,0.0,Powell,203939.0,,,,,,,,,
35,PT09M07.00S,2021-12-02T01:15:34.9Z,1,REGULAR,freethrow,1 of 1,[],203939,,,1610612742,8,10,2021-12-02T01:15:34Z,350000,,,0,,D. Powell Free Throw 1 of 1 (3 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
36,PT08M56.00S,2021-12-02T01:15:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,94.03745072273325,53.18627450980392,1610612740,8,10,2021-12-02T01:17:41Z,360000,16.0,4.0,1,right,MISS B. Ingram driving reverse Layup,[1627742],1610612740.0,NOP,driving reverse,,,Ingram,B. Ingram,,,,,1.63,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2021-12-02T01:15:50.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,8,10,2021-12-02T01:15:55Z,370000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,
38,PT08M50.00S,2021-12-02T01:15:54.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,5.601182654402102,96.07843137254902,1610612742,8,13,2021-12-02T01:18:48Z,380000,-230.0,0.0,1,left,R. Bullock 3PT running (3 PTS) (L. Doncic 2 AST),"[203493, 1629029]",1610612742.0,DAL,running,,,Bullock,R. Bullock,,,,,23.04,Made,3.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,,
40,PT08M40.00S,2021-12-02T01:16:03.8Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,8,13,2021-12-02T01:16:09Z,400000,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 203939]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,1.0,,,,,,,,,Powell,203939.0,,,
41,PT08M40.00S,2021-12-02T01:16:03.8Z,1,REGULAR,steal,,[],203939,,,1610612742,8,13,2021-12-02T01:19:45Z,410000,,,0,,D. Powell STEAL (1 STL),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2021-12-02T01:16:08.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203939,5.206964520367937,49.754901960784316,1610612742,8,15,2021-12-02T01:20:01Z,420000,1.0,-4.0,1,left,D. Powell running alley-oop DUNK (5 PTS) (L. Doncic 3 AST),"[203939, 1629029]",1610612742.0,DAL,running alley-oop,,,Powell,D. Powell,,,,,0.38,Made,5.0,L. Doncic,1629029.0,3.0,,,,,,,,,,,,,,,
44,PT08M20.00S,2021-12-02T01:16:22.8Z,1,REGULAR,2pt,Jump Shot,[],1628984,81.02825229960578,73.77450980392157,1610612740,8,15,2021-12-02T01:16:28Z,440000,119.0,126.0,1,right,MISS D. Graham 17' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,17.31,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2021-12-02T01:16:25.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,8,15,2021-12-02T01:16:28Z,450000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,
46,PT08M16.00S,2021-12-02T01:16:29.6Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,8,15,2021-12-02T01:16:43Z,460000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,,,,,,,1830.0,1.0,,,,,,,,,,,,,
47,PT07M57.00S,2021-12-02T01:16:57.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630529,91.5407358738502,4.166666666666666,1610612740,8,15,2021-12-02T01:20:35Z,470000,-229.0,27.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,23.08,Missed,,,,,,,,,,,,,,,,,,,
48,PT07M56.00S,2021-12-02T01:16:58.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,8,15,2021-12-02T01:17:04Z,480000,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,
49,PT07M56.00S,2021-12-02T01:17:05.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,8,15,2021-12-02T01:17:05Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M40.00S,2021-12-02T01:17:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,4.944152431011826,46.81372549019608,1610612742,8,17,2021-12-02T01:17:34Z,500000,16.0,-6.0,1,left,L. Doncic driving finger roll Layup (4 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,1.7,Made,4.0,,,,,,,,,,,,,,,,,,
51,PT07M26.00S,2021-12-02T01:17:40.3Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,8,17,2021-12-02T01:17:47Z,510000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 203493]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,1.0,,,,,,,,,Bullock,203493.0,,,
52,PT07M26.00S,2021-12-02T01:17:40.3Z,1,REGULAR,steal,,[],203493,,,1610612742,8,17,2021-12-02T01:17:42Z,520000,,,0,,R. Bullock STEAL (1 STL),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M21.00S,2021-12-02T01:17:48.0Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,8,17,2021-12-02T01:17:57Z,530000,,,0,,L. Doncic bad pass out-of-bounds TURNOVER (2 TO),[1629029],1610612742.0,DAL,bad pass,,,Doncic,L. Doncic,,,,,,,,,,,1627534.0,2.0,,,,,,,,,,,,,
54,PT07M05.00S,2021-12-02T01:18:06.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,84.44480946123521,73.0392156862745,1610612740,10,17,2021-12-02T01:18:12Z,540000,115.0,94.0,1,right,B. Ingram 14' Jump Shot (5 PTS) (D. Graham 2 AST),"[1627742, 1628984]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,14.85,Made,5.0,D. Graham,1628984.0,2.0,,,,,,,,,,,,,,,
56,PT06M46.00S,2021-12-02T01:18:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.196452036793694,49.26470588235294,1610612742,10,20,2021-12-02T01:21:54Z,560000,4.0,260.0,1,left,L. Doncic 25' 3PT step back (7 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.95,Made,7.0,,,,,,,,,,,,,,,,,,
57,PT06M18.00S,2021-12-02T01:18:52.9Z,1,REGULAR,2pt,Jump Shot,[],202066,92.72339027595268,91.42156862745098,1610612740,10,20,2021-12-02T01:18:59Z,570000,207.0,16.0,1,right,MISS G. Temple 20' step back Shot,[202066],1610612740.0,NOP,step back,,,Temple,G. Temple,,,,,20.77,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M14.00S,2021-12-02T01:18:56.9Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,10,20,2021-12-02T01:18:56Z,580000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,57.0,2.0,2.0,0.0,,,,,
59,PT06M03.00S,2021-12-02T01:19:08.2Z,1,REGULAR,3pt,Jump Shot,[],203493,22.552562417871222,87.00980392156863,1610612742,10,20,2021-12-02T01:22:37Z,590000,-185.0,159.0,1,left,MISS R. Bullock 24' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,24.43,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M00.00S,2021-12-02T01:19:11.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,10,20,2021-12-02T01:19:13Z,600000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,
61,PT05M52.00S,2021-12-02T01:19:22.7Z,1,REGULAR,foul,personal,[],1629029,,,1610612740,10,20,2021-12-02T01:19:33Z,610000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 1627742]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,1627534.0,,1.0,0.0,Ingram,1627742.0,,,,,,,,,
63,PT05M52.00S,2021-12-02T01:19:38.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,20,2021-12-02T01:19:38Z,630000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,out,[],202685,,,1610612740,10,20,2021-12-02T01:22:31Z,640000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,out,[],204001,,,1610612740,10,20,2021-12-02T01:22:31Z,650000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,out,[],203939,,,1610612740,10,20,2021-12-02T01:22:31Z,660000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,out,[],203493,,,1610612740,10,20,2021-12-02T01:22:31Z,670000,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,10,20,2021-12-02T01:22:31Z,680000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,in,[],1628467,,,1610612740,10,20,2021-12-02T01:22:31Z,690000,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,in,[],1628973,,,1610612740,10,20,2021-12-02T01:22:31Z,700000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2021-12-02T01:22:12.7Z,1,REGULAR,substitution,in,[],203501,,,1610612740,10,20,2021-12-02T01:22:31Z,710000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M45.00S,2021-12-02T01:22:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612740,10,20,2021-12-02T01:22:50Z,720000,,,0,,J. Brunson shooting personal FOUL (1 PF) (Ingram 2 FT),"[1628973, 1627742]",1610612742.0,DAL,shooting,,,Brunson,J. Brunson,,,,,,,,,,,1627534.0,,1.0,0.0,Ingram,1627742.0,,,,,,,,,
74,PT05M45.00S,2021-12-02T01:23:05.4Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,11,20,2021-12-02T01:23:05Z,740000,,,0,,B. Ingram Free Throw 1 of 2 (6 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
75,PT05M45.00S,2021-12-02T01:23:19.1Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,12,20,2021-12-02T01:23:19Z,750000,,,0,,B. Ingram Free Throw 2 of 2 (7 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
76,PT05M28.00S,2021-12-02T01:23:37.5Z,1,REGULAR,2pt,Jump Shot,[],1629029,12.040078843626807,20.588235294117645,1610612742,12,22,2021-12-02T01:23:44Z,760000,147.0,61.0,1,left,L. Doncic 15' pullup Jump Shot (9 PTS),[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,15.91,Made,9.0,,,,,,,,,,,,,,,,,,
77,PT05M11.00S,2021-12-02T01:23:56.1Z,1,REGULAR,turnover,out-of-bounds,[],1626195,,,1610612740,12,22,2021-12-02T01:24:03Z,770000,,,0,,W. Hernangomez bad pass out-of-bounds TURNOVER (1 TO),[1626195],1610612740.0,NOP,bad pass,,,Hernangomez,W. Hernangomez,,,,,,,,,,,1830.0,1.0,,,,,,,,,,,,,
78,PT04M52.00S,2021-12-02T01:24:43.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628467,6.1268068331143235,96.32352941176471,1610612742,12,22,2021-12-02T01:26:41Z,780000,-232.0,5.0,1,left,MISS M. Kleber 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,23.17,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M46.00S,2021-12-02T01:24:49.3Z,1,REGULAR,rebound,offensive,[],1629029,,,1610612742,12,22,2021-12-02T01:24:49Z,790000,,,0,,L. Doncic REBOUND (Off:1 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,78.0,2.0,1.0,1.0,,,,,
80,PT04M46.00S,2021-12-02T01:24:49.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629029,5.590000152587891,50.0,1610612742,12,24,2021-12-02T01:24:49Z,800000,0.0,0.0,1,left,L. Doncic putback Layup (11 PTS),[1629029],1610612742.0,DAL,putback,,,Doncic,L. Doncic,,,,,0.0,Made,11.0,,,,,,,,,,,,,,,,,,
81,PT04M30.00S,2021-12-02T01:25:05.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.61169513797634,62.00980392156863,1610612740,14,24,2021-12-02T01:26:13Z,810000,60.0,158.0,1,right,B. Ingram 16' pullup Jump Shot (9 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,16.9,Made,9.0,,,,,,,,,,,,,,,,,,
82,PT04M20.00S,2021-12-02T01:25:15.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,17.821944809461236,95.34313725490196,1610612742,14,27,2021-12-02T01:27:15Z,820000,-227.0,115.0,1,left,L. Doncic 25' 3PT step back (14 PTS),[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.42,Made,14.0,,,,,,,,,,,,,,,,,,
83,PT03M52.00S,2021-12-02T01:25:47.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,14,27,2021-12-02T01:26:59Z,830000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,,,,,,,1830.0,,,,,,,,,,,,,,
84,PT03M52.00S,2021-12-02T01:25:52.1Z,1,REGULAR,substitution,out,[],1628984,,,1610612742,14,27,2021-12-02T01:26:15Z,840000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M52.00S,2021-12-02T01:25:52.1Z,1,REGULAR,substitution,out,[],202066,,,1610612742,14,27,2021-12-02T01:26:15Z,850000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M52.00S,2021-12-02T01:25:52.1Z,1,REGULAR,substitution,out,[],1627827,,,1610612742,14,27,2021-12-02T01:26:15Z,860000,,,0,,SUB out: D. Finney-Smith,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M52.00S,2021-12-02T01:25:52.1Z,1,REGULAR,substitution,in,[],1629638,,,1610612742,14,27,2021-12-02T01:26:15Z,870000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M52.00S,2021-12-02T01:25:52.1Z,1,REGULAR,substitution,in,[],1630184,,,1610612742,14,27,2021-12-02T01:26:15Z,880000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M52.00S,2021-12-02T01:25:52.1Z,1,REGULAR,substitution,in,[],1628425,,,1610612742,14,27,2021-12-02T01:26:15Z,890000,,,0,,SUB in: S. Brown,[1628425],1610612742.0,DAL,,,,Brown,S. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M32.00S,2021-12-02T01:26:24.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,3.892904073587385,95.09803921568627,1610612742,14,27,2021-12-02T01:28:46Z,900000,-225.0,-16.0,1,left,MISS L. Doncic step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,22.61,Missed,,,,,,,,,,,,,,,,,,,
