actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
42,PT08M40.00S,2022-02-11T00:45:32.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,6,10,2022-02-11T00:45:40Z,420000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,
43,PT08M40.00S,2022-02-11T00:45:37.6Z,1,REGULAR,foul,personal,[],200782,,,1610612740,6,10,2022-02-11T00:45:43Z,430000,,,0,,P. Tucker loose ball personal FOUL (1 PF),"[200782, 1630529]",1610612748.0,MIA,loose ball,,,Tucker,P. Tucker,,,,,1626301.0,,,,,,,,1.0,0.0,Jones,1630529.0,,,,,,,,
45,PT08M29.00S,2022-02-11T00:46:09.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,6,10,2022-02-11T00:46:09Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M28.00S,2022-02-11T00:46:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203468,93.11760840998686,46.07843137254902,1610612740,6,10,2022-02-11T00:50:38Z,460000,-20.0,12.0,1,right,MISS C. McCollum cutting Layup - blocked,"[203468, 202710]",1610612740.0,NOP,cutting,,,McCollum,C. McCollum,,,,,,,2.31,Missed,,,,,,,,,,,,,Butler,202710.0,,
47,PT08M28.00S,2022-02-11T00:46:30.5Z,1,REGULAR,block,,[],202710,,,1610612740,6,10,2022-02-11T00:46:34Z,470000,,,0,,J. Butler BLOCK (1 BLK),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M27.00S,2022-02-11T00:46:31.5Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,6,10,2022-02-11T00:50:38Z,480000,,,0,,C. McCollum REBOUND (Off:1 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,46.0,2.0,1.0,1.0,,,,
49,PT08M27.00S,2022-02-11T00:46:37.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203468,94.40999984741211,50.0,1610612740,8,10,2022-02-11T00:50:44Z,490000,0.0,0.0,1,right,C. McCollum putback Layup (4 PTS),[203468],1610612740.0,NOP,putback,,,McCollum,C. McCollum,,,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,
50,PT08M06.00S,2022-02-11T00:46:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,18.478975032851512,53.18627450980392,1610612748,8,12,2022-02-11T00:46:56Z,500000,-16.0,121.0,1,left,B. Adebayo 12' pullup Jump Shot (6 PTS) (K. Lowry 3 AST),"[1628389, 200768]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,12.22,Made,6.0,K. Lowry,200768.0,3.0,,,,,,,,,,,,
52,PT07M48.00S,2022-02-11T00:47:07.4Z,1,REGULAR,3pt,Jump Shot,[],1627742,75.77201051248358,87.99019607843137,1610612740,11,12,2022-02-11T00:47:11Z,520000,190.0,175.0,1,right,B. Ingram 25' 3PT  (5 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,25.84,Made,5.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,
54,PT07M21.00S,2022-02-11T00:47:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,9.543363994743759,50.73529411764706,1610612748,11,14,2022-02-11T00:51:56Z,540000,-4.0,37.0,1,left,K. Lowry driving finger roll Layup (5 PTS) (D. Robinson 1 AST),"[200768, 1629130]",1610612748.0,MIA,driving finger roll,,,Lowry,K. Lowry,,,,,,,3.74,Made,5.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,
56,PT07M10.00S,2022-02-11T00:47:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,93.51182654402102,37.254901960784316,1610612740,13,14,2022-02-11T01:11:47Z,560000,-64.0,8.0,1,right,J. Valanciunas 6' turnaround Jump Shot (2 PTS) (D. Graham 2 AST),"[202685, 1628984]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,,,6.43,Made,2.0,D. Graham,1628984.0,2.0,,,,,,,,,,,,
57,PT07M01.00S,2022-02-11T00:47:54.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,10.463206307490145,52.69607843137255,1610612748,13,16,2022-02-11T00:53:39Z,570000,-13.0,46.0,1,left,B. Adebayo driving floating Jump Shot (8 PTS),[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,,,4.78,Made,8.0,,,,,,,,,,,,,,,
58,PT06M41.00S,2022-02-11T00:48:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,85.89027595269383,44.11764705882353,1610612740,13,16,2022-02-11T00:53:59Z,580000,-29.0,80.0,1,right,MISS C. McCollum 8' turnaround fadeaway Shot,[203468],1610612740.0,NOP,turnaround fadeaway,,,McCollum,C. McCollum,,,,,,,8.53,Missed,,,,,,,,,,,,,,,,
59,PT06M38.00S,2022-02-11T00:48:17.7Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,13,16,2022-02-11T00:48:17Z,590000,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,58.0,1.0,0.0,1.0,,,,
60,PT06M36.00S,2022-02-11T00:48:20.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,69.59592641261499,23.774509803921568,1610612740,13,16,2022-02-11T00:48:24Z,600000,-131.0,233.0,1,right,MISS D. Graham 26' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,26.76,Missed,,,,,,,,,,,,,,,,
61,PT06M34.00S,2022-02-11T00:48:21.9Z,1,REGULAR,rebound,offensive,[],1628984,,,1610612740,13,16,2022-02-11T00:48:21Z,610000,,,0,,D. Graham REBOUND (Off:1 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,60.0,2.0,1.0,1.0,,,,
62,PT06M32.00S,2022-02-11T00:48:23.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,72.88107752956637,17.15686274509804,1610612740,13,16,2022-02-11T00:48:27Z,620000,-164.0,202.0,1,right,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,26.06,Missed,,,,,,,,,,,,,,,,
63,PT06M30.00S,2022-02-11T00:48:25.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,13,16,2022-02-11T00:48:27Z,630000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,
64,PT06M09.00S,2022-02-11T00:49:03.7Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612748,13,16,2022-02-11T00:52:27Z,640000,,,0,,H. Jones shooting personal FOUL (1 PF) (Butler 2 FT),"[1630529, 202710]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,1626301.0,,,,,,,,1.0,0.0,Butler,202710.0,,,,,,,,
66,PT06M09.00S,2022-02-11T00:49:19.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,13,16,2022-02-11T00:51:28Z,660000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M09.00S,2022-02-11T00:51:29.3Z,1,REGULAR,substitution,out,[],203468,,,1610612748,13,16,2022-02-11T00:52:01Z,670000,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M09.00S,2022-02-11T00:51:29.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,13,16,2022-02-11T00:52:01Z,680000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M09.00S,2022-02-11T00:51:29.3Z,1,REGULAR,substitution,in,[],1629109,,,1610612748,13,16,2022-02-11T00:52:01Z,690000,,,0,,SUB in: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M09.00S,2022-02-11T00:51:29.3Z,1,REGULAR,substitution,in,[],203473,,,1610612748,13,16,2022-02-11T00:52:01Z,700000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M09.00S,2022-02-11T00:52:28.7Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,13,17,2022-02-11T00:52:28Z,710000,,,0,,J. Butler Free Throw 1 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
73,PT06M09.00S,2022-02-11T00:52:45.8Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,13,18,2022-02-11T00:52:45Z,720000,,,0,,J. Butler Free Throw 2 of 2 (5 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
74,PT05M49.00S,2022-02-11T00:53:08.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630529,92.72339027595268,49.01960784313725,1610612740,15,18,2022-02-11T00:55:57Z,730000,-5.0,16.0,1,right,H. Jones driving DUNK (2 PTS) (D. Graham 3 AST),"[1630529, 1628984]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,,,1.66,Made,2.0,D. Graham,1628984.0,3.0,,,,,,,,,,,,
76,PT05M49.00S,2022-02-11T00:53:11.1Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612740,15,18,2022-02-11T00:53:32Z,750000,,,0,,D. Robinson shooting personal FOUL (1 PF) (Jones 1 FT),"[1629130, 1630529]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,1626301.0,,,,,,,,1.0,0.0,Jones,1630529.0,,,,,,,,
78,PT05M49.00S,2022-02-11T00:53:26.4Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,15,18,2022-02-11T00:55:57Z,770000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M49.00S,2022-02-11T00:53:26.4Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,15,18,2022-02-11T00:55:57Z,780000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M49.00S,2022-02-11T00:53:44.2Z,1,REGULAR,freethrow,1 of 1,[],1630529,,,1610612740,16,18,2022-02-11T00:53:44Z,790000,,,0,,H. Jones Free Throw 1 of 1 (3 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
81,PT05M31.00S,2022-02-11T00:54:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203473,5.338370565045992,45.09803921568628,1610612748,16,20,2022-02-11T00:54:15Z,800000,25.0,-2.0,1,left,D. Dedmon cutting Layup (2 PTS) (K. Lowry 4 AST),"[203473, 200768]",1610612748.0,MIA,cutting,,,Dedmon,D. Dedmon,,,,,,,2.46,Made,2.0,K. Lowry,200768.0,4.0,,,,,,,,,,,,
83,PT05M10.00S,2022-02-11T00:54:31.7Z,1,REGULAR,foul,personal,['2freethrow'],203473,,,1610612740,16,20,2022-02-11T00:54:38Z,820000,,,0,,D. Dedmon shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[203473, 202685]",1610612748.0,MIA,shooting,,,Dedmon,D. Dedmon,,,,,1626301.0,,,,,,,,1.0,0.0,Valanciunas,202685.0,,,,,,,,
85,PT05M10.00S,2022-02-11T00:54:56.5Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,17,20,2022-02-11T00:54:56Z,840000,,,0,,J. Valanciunas Free Throw 1 of 2 (3 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
86,PT05M10.00S,2022-02-11T00:54:57.5Z,1,REGULAR,substitution,out,[],200768,,,1610612740,17,20,2022-02-11T00:55:01Z,850000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M10.00S,2022-02-11T00:54:57.5Z,1,REGULAR,substitution,in,[],1629216,,,1610612740,17,20,2022-02-11T00:55:01Z,860000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M10.00S,2022-02-11T00:55:16.2Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,18,20,2022-02-11T00:55:16Z,870000,,,0,,J. Valanciunas Free Throw 2 of 2 (4 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
89,PT04M48.00S,2022-02-11T00:55:42.2Z,1,REGULAR,2pt,Jump Shot,[],202710,4.28712220762155,18.38235294117647,1610612748,18,22,2022-02-11T00:55:51Z,880000,158.0,-12.0,1,left,J. Butler 15' turnaround Jump Shot (7 PTS) (G. Vincent 1 AST),"[202710, 1629216]",1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,,,15.86,Made,7.0,G. Vincent,1629216.0,1.0,,,,,,,,,,,,
91,PT04M29.00S,2022-02-11T00:56:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,87.46714848883047,50.245098039215684,1610612740,18,22,2022-02-11T00:58:26Z,900000,1.0,65.0,1,right,MISS J. Alvarado 6' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,,,6.53,Missed,,,,,,,,,,,,,,,,
92,PT04M27.00S,2022-02-11T00:56:02.4Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,18,22,2022-02-11T00:56:04Z,910000,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,91.0,1.0,1.0,0.0,,,,
93,PT04M12.00S,2022-02-11T00:56:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,25.837713534822605,13.725490196078432,1610612748,18,22,2022-02-11T00:59:11Z,920000,181.0,190.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,26.3,Missed,,,,,,,,,,,,,,,,
94,PT04M07.00S,2022-02-11T00:56:23.1Z,1,REGULAR,rebound,defensive,[],1629109,,,1610612740,18,22,2022-02-11T00:56:22Z,930000,,,0,,G. Clark REBOUND (Off:0 Def:1),[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,93.0,1.0,1.0,0.0,,,,
