actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
16,PT11M03.00S,2022-03-26T21:12:09.2Z,1,REGULAR,2pt,Jump Shot,[],1627749,20.18725361366623,67.8921568627451,1610612759,0,1,2022-03-26T21:12:13Z,160000,-89.0,137.0,1,left,MISS D. Murray 16' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,16.39,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2022-03-26T21:12:13.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,1,2022-03-26T21:12:13Z,170000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
18,PT10M50.00S,2022-03-26T21:12:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.56307490144546,54.90196078431373,1610612740,0,1,2022-03-26T21:12:28Z,180000,25.0,-1.0,1,right,MISS J. Valanciunas cutting Layup - blocked,"[202685, 1629640]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,2.45,Missed,,,,,,,,,,,Johnson,1629640.0,,,,,,,
19,PT10M50.00S,2022-03-26T21:12:22.4Z,1,REGULAR,block,,[],1629640,,,1610612740,0,1,2022-03-26T21:12:24Z,190000,,,0,,K. Johnson BLOCK (1 BLK),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M47.00S,2022-03-26T21:12:25.4Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,1,2022-03-26T21:12:28Z,200000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M45.00S,2022-03-26T21:12:27.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626196,6.389618922470433,95.34313725490196,1610612759,0,1,2022-03-26T21:12:33Z,210000,-227.0,8.0,1,left,MISS J. Richardson 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M42.00S,2022-03-26T21:12:29.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,1,2022-03-26T21:12:29Z,220000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
23,PT10M41.00S,2022-03-26T21:12:31.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,5.601182654402102,55.14705882352941,1610612759,0,1,2022-03-26T21:12:35Z,230000,-26.0,0.0,1,left,MISS J. Poeltl Layup,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,2.57,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M41.00S,2022-03-26T21:12:31.0Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,0,1,2022-03-26T21:12:35Z,240000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
25,PT10M33.00S,2022-03-26T21:12:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.64323258869908,52.69607843137255,1610612740,0,1,2022-03-26T21:12:48Z,250000,13.0,7.0,1,right,MISS C. McCollum driving reverse Layup,[203468],1610612740.0,NOP,driving reverse,,,McCollum,C. McCollum,,,,,1.53,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M30.00S,2022-03-26T21:12:42.6Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,1,2022-03-26T21:12:42Z,260000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,25.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
27,PT10M27.00S,2022-03-26T21:12:44.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,64.47109067017082,44.36274509803921,1610612740,0,1,2022-03-26T21:12:52Z,270000,-28.0,281.0,1,right,MISS D. Graham 28' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,28.29,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M27.00S,2022-03-26T21:12:44.7Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,0,1,2022-03-26T21:12:52Z,280000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
29,PT10M23.00S,2022-03-26T21:12:53.1Z,1,REGULAR,foul,personal,['2freethrow'],1629640,,,1610612740,0,1,2022-03-26T21:13:00Z,290000,,,0,,K. Johnson shooting personal FOUL (1 PF) (Hayes 2 FT),"[1629640, 1629637]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,,,,,,,202056.0,1.0,0.0,Hayes,1629637.0,,,,,,,,,,
31,PT10M23.00S,2022-03-26T21:13:17.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629637,,,1610612740,0,1,2022-03-26T21:13:17Z,310000,,,0,,MISS J. Hayes Free Throw 1 of 2,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
32,PT10M23.00S,2022-03-26T21:13:17.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,0,1,2022-03-26T21:13:17Z,320000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
33,PT10M23.00S,2022-03-26T21:13:33.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629637,,,1610612740,1,1,2022-03-26T21:13:33Z,330000,,,0,,J. Hayes Free Throw 2 of 2 (1 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
34,PT10M09.00S,2022-03-26T21:13:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,8.360709592641262,50.245098039215684,1610612759,1,1,2022-03-26T21:13:53Z,340000,-1.0,26.0,1,left,MISS K. Johnson driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,2.61,Missed,,,,,,,,,,,,,,,,,,,
35,PT10M06.00S,2022-03-26T21:13:50.7Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,1,1,2022-03-26T21:13:53Z,350000,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
36,PT09M49.00S,2022-03-26T21:14:08.0Z,1,REGULAR,2pt,Jump Shot,[],202685,89.48751642575559,26.505055147058826,1610612740,3,1,2022-03-26T21:14:14Z,360000,-117.0,46.0,1,right,J. Valanciunas 12' fadeaway Jump Shot (2 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,fadeaway,,,Valanciunas,J. Valanciunas,,,,,12.63,Made,,,,,,,,,,2.0,,,C. McCollum,203468.0,1.0,,,,
38,PT09M35.00S,2022-03-26T21:14:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,5.469776609724048,34.80392156862745,1610612759,3,3,2022-03-26T21:16:34Z,380000,76.0,-1.0,1,left,D. Murray 7' driving floating Jump Shot (2 PTS),[1627749],1610612759.0,SAS,driving floating,,,Murray,D. Murray,,,,,7.6,Made,,,,,,,,,,2.0,,,,,,,,,
39,PT09M28.00S,2022-03-26T21:14:32.1Z,1,REGULAR,turnover,out-of-bounds,[],202685,,,1610612740,3,3,2022-03-26T21:14:39Z,390000,,,0,,J. Valanciunas bad pass out-of-bounds TURNOVER (1 TO),[202685],1610612740.0,NOP,bad pass,,,Valanciunas,J. Valanciunas,,,,,,,,,,,203591.0,,,,,,,,,,,1.0,,,
40,PT09M20.00S,2022-03-26T21:14:46.7Z,1,REGULAR,foul,personal,[],1629637,,,1610612759,3,3,2022-03-26T21:14:53Z,400000,,,0,,J. Hayes personal FOUL (1 PF),"[1629637, 1629640]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,202041.0,1.0,0.0,Johnson,1629640.0,,,,,,,,,,
42,PT09M14.00S,2022-03-26T21:15:07.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,19.530223390275953,67.15686274509804,1610612759,3,5,2022-03-26T21:15:11Z,420000,-86.0,131.0,1,left,D. Murray 15' pullup Jump Shot (4 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,15.67,Made,,,,,,,,,,4.0,,,,,,,,,
44,PT08M59.00S,2022-03-26T21:15:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.9862023653088,48.77450980392157,1610612740,5,5,2022-03-26T21:15:31Z,440000,-6.0,13.0,1,right,H. Jones driving Layup (2 PTS),[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,1.47,Made,,,,,,,,,,2.0,,,,,,,,,
45,PT08M46.00S,2022-03-26T21:15:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629640,33.065045992115635,50.73529411764706,1610612759,5,5,2022-03-26T21:15:38Z,450000,-4.0,258.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M44.00S,2022-03-26T21:15:36.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,5,5,2022-03-26T21:15:38Z,460000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT08M39.00S,2022-03-26T21:15:42.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630529,94.95729303547962,4.166666666666666,1610612740,5,5,2022-03-26T21:15:49Z,470000,-229.0,-5.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M35.00S,2022-03-26T21:15:46.4Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,5,5,2022-03-26T21:15:49Z,480000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
49,PT08M31.00S,2022-03-26T21:15:53.1Z,1,REGULAR,foul,offensive,[],1627751,,,1610612759,5,5,2022-03-26T21:16:03Z,490000,,,0,,J. Poeltl offensive FOUL (1 PF),"[1627751, 1629637]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,203591.0,1.0,0.0,Hayes,1629637.0,,,,,,,,,,
51,PT08M31.00S,2022-03-26T21:15:53.1Z,1,REGULAR,turnover,offensive foul,[],1627751,,,1610612759,5,5,2022-03-26T21:15:53Z,510000,,,0,,J. Poeltl offensive foul TURNOVER (1 TO),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,203591.0,,,,,,,,,,,1.0,,,
52,PT08M31.00S,2022-03-26T21:16:14.1Z,1,REGULAR,substitution,out,[],1629640,,,1610612740,5,5,2022-03-26T21:16:17Z,520000,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M31.00S,2022-03-26T21:16:14.1Z,1,REGULAR,substitution,in,[],1628966,,,1610612740,5,5,2022-03-26T21:16:17Z,530000,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M17.00S,2022-03-26T21:16:36.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,96.40275952693824,93.87254901960785,1610612740,5,5,2022-03-26T21:16:42Z,540000,219.0,-19.0,1,right,MISS C. McCollum step back 3PT,[203468],1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,22.02,Missed,,,,,,,,,,,,,,,,,,,
55,PT08M13.00S,2022-03-26T21:16:39.3Z,1,REGULAR,rebound,defensive,[],1630563,,,1610612759,5,5,2022-03-26T21:16:39Z,550000,,,0,,J. Primo REBOUND (Off:0 Def:1),[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
56,PT08M01.00S,2022-03-26T21:16:51.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,28.07161629434954,78.43137254901961,1610612759,5,5,2022-03-26T21:16:56Z,560000,-142.0,211.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M58.00S,2022-03-26T21:16:54.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,5,5,2022-03-26T21:16:56Z,570000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
58,PT07M45.00S,2022-03-26T21:17:08.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,87.33574244415243,49.754901960784316,1610612740,5,5,2022-03-26T21:17:14Z,580000,-1.0,67.0,1,right,MISS J. Valanciunas 6' driving Hook,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,6.65,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M42.00S,2022-03-26T21:17:11.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,5,5,2022-03-26T21:17:14Z,590000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
60,PT07M38.00S,2022-03-26T21:17:15.0Z,1,REGULAR,3pt,Jump Shot,[],1630563,4.155716162943495,96.81372549019608,1610612759,5,5,2022-03-26T21:17:23Z,600000,-234.0,-13.0,1,left,MISS J. Primo 3PT,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,23.45,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M34.00S,2022-03-26T21:17:19.0Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,5,5,2022-03-26T21:17:23Z,610000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:0),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,60.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
62,PT07M33.00S,2022-03-26T21:17:20.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,5.601182654402102,45.83333333333333,1610612759,5,7,2022-03-26T21:17:29Z,620000,21.0,0.0,1,left,K. Bates-Diop putback Layup (2 PTS),[1628966],1610612759.0,SAS,putback,,,Bates-Diop,K. Bates-Diop,,,,,2.08,Made,,,,,,,,,,2.0,,,,,,,,,
63,PT07M12.00S,2022-03-26T21:17:41.3Z,1,REGULAR,2pt,Jump Shot,[],203468,74.32654402102497,25.0,1610612740,5,7,2022-03-26T21:17:47Z,630000,-125.0,189.0,1,right,MISS C. McCollum 22' Jump Shot,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,22.64,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M09.00S,2022-03-26T21:17:44.1Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,5,7,2022-03-26T21:17:44Z,640000,,,0,,J. Hayes REBOUND (Off:2 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,63.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
65,PT07M07.00S,2022-03-26T21:17:45.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,72.61826544021025,78.67647058823529,1610612740,8,7,2022-03-26T21:17:50Z,650000,143.0,205.0,1,right,D. Graham 25' 3PT  (3 PTS) (J. Hayes 1 AST),"[1628984, 1629637]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.01,Made,,,,,,,,,,3.0,,,J. Hayes,1629637.0,1.0,,,,
67,PT07M06.00S,2022-03-26T21:17:53.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,7,2022-03-26T21:17:53Z,670000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M05.00S,2022-03-26T21:20:49.6Z,1,REGULAR,turnover,out-of-bounds,[],1630563,,,1610612759,8,7,2022-03-26T21:20:58Z,680000,,,0,,J. Primo bad pass out-of-bounds TURNOVER (1 TO),[1630563],1610612759.0,SAS,bad pass,,,Primo,J. Primo,,,,,,,,,,,203591.0,,,,,,,,,,,1.0,,,
69,PT06M54.00S,2022-03-26T21:21:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,93.77463863337714,52.69607843137255,1610612740,10,7,2022-03-26T21:21:15Z,690000,13.0,6.0,1,right,J. Valanciunas Layup (4 PTS) (C. McCollum 2 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,1.48,Made,,,,,,,,,,4.0,,,C. McCollum,203468.0,2.0,,,,
71,PT06M33.00S,2022-03-26T21:21:31.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,4.5499342969776615,77.69607843137256,1610612759,10,7,2022-03-26T21:21:37Z,710000,-138.0,-10.0,1,left,MISS D. Murray 13' fadeaway Shot,[1627749],1610612759.0,SAS,fadeaway,,,Murray,D. Murray,,,,,13.88,Missed,,,,,,,,,,,,,,,,,,,
72,PT06M30.00S,2022-03-26T21:21:34.3Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,10,7,2022-03-26T21:21:37Z,720000,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
73,PT06M17.00S,2022-03-26T21:21:52.7Z,1,REGULAR,foul,personal,[],1626196,,,1610612740,10,7,2022-03-26T21:22:01Z,730000,,,0,,J. Richardson personal FOUL (1 PF),"[1626196, 202685]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,202041.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,
75,PT06M10.00S,2022-03-26T21:22:16.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,83.26215505913272,97.05882352941177,1610612740,10,7,2022-03-26T21:22:23Z,750000,235.0,105.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2022-03-26T21:22:20.1Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,10,7,2022-03-26T21:22:23Z,760000,,,0,,J. Hayes REBOUND (Off:3 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,75.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
77,PT06M05.00S,2022-03-26T21:22:21.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628984,72.88107752956637,11.27450980392157,1610612740,13,7,2022-03-26T21:22:26Z,770000,-194.0,202.0,1,right,D. Graham 28' 3PT  (6 PTS) (J. Hayes 2 AST),"[1628984, 1629637]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,28.01,Made,,,,,,,,,,6.0,,,J. Hayes,1629637.0,2.0,,,,
79,PT05M40.00S,2022-03-26T21:22:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,5.206964520367937,46.81372549019608,1610612759,13,9,2022-03-26T21:22:52Z,790000,16.0,-4.0,1,left,J. Poeltl cutting Layup (2 PTS) (K. Bates-Diop 1 AST),"[1627751, 1628966]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,1.63,Made,,,,,,,,,,2.0,,,K. Bates-Diop,1628966.0,1.0,,,,
81,PT05M24.00S,2022-03-26T21:23:01.7Z,1,REGULAR,3pt,Jump Shot,[],1628984,70.25295663600527,20.588235294117645,1610612740,13,9,2022-03-26T21:23:06Z,810000,-147.0,227.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,27.06,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2022-03-26T21:23:04.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,13,9,2022-03-26T21:23:06Z,820000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
83,PT05M13.00S,2022-03-26T21:23:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630563,4.812746386333772,47.794117647058826,1610612759,13,11,2022-03-26T21:23:20Z,830000,11.0,-7.0,1,left,J. Primo driving Layup (3 PTS) (D. Murray 1 AST),"[1630563, 1627749]",1610612759.0,SAS,driving,,,Primo,J. Primo,,,,,1.32,Made,,,,,,,,,,3.0,,,D. Murray,1627749.0,1.0,,,,
85,PT04M46.00S,2022-03-26T21:23:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,86.46517739816032,50.635723039215684,1610612740,15,11,2022-03-26T21:23:46Z,850000,3.0,75.0,1,right,C. McCollum 7' driving floating Jump Shot (2 PTS) (D. Graham 1 AST),"[203468, 1628984]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,7.48,Made,,,,,,,,,,2.0,,,D. Graham,1628984.0,1.0,,,,
87,PT04M23.00S,2022-03-26T21:24:02.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,11.12023653088042,40.68627450980392,1610612759,15,13,2022-03-26T21:24:12Z,870000,47.0,52.0,1,left,J. Poeltl 6' turnaround Hook (4 PTS),[1627751],1610612759.0,SAS,turnaround,,,Poeltl,J. Poeltl,,,,,6.98,Made,,,,,,,,,,4.0,,,,,,,,,
