actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
18,PT10M44.00S,2021-11-25T01:12:27.8Z,1,REGULAR,block,,[],1629655,,,1610612740,5,2,2021-11-25T01:12:29Z,180000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M42.00S,2021-11-25T01:12:29.8Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,5,2,2021-11-25T01:12:34Z,190000,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
20,PT10M39.00S,2021-11-25T01:12:33.5Z,1,REGULAR,turnover,bad pass,[],203078,,,1610612764,5,2,2021-11-25T01:12:38Z,200000,,,0,,B. Beal bad pass TURNOVER (1 TO),"[203078, 1630529]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,
21,PT10M39.00S,2021-11-25T01:12:33.5Z,1,REGULAR,steal,,[],1630529,,,1610612740,5,2,2021-11-25T01:12:36Z,210000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2021-11-25T01:12:38.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630529,93.51182654402102,52.20588235294118,1610612740,7,2,2021-11-25T01:13:26Z,220000,11.0,8.0,1,right,H. Jones running Layup (2 PTS),[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,1.39,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT10M21.00S,2021-11-25T01:12:50.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,21.76412614980289,87.00980392156863,1610612764,7,2,2021-11-25T01:12:57Z,230000,-185.0,152.0,1,left,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,23.95,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M17.00S,2021-11-25T01:12:54.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,7,2,2021-11-25T01:12:57Z,240000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT10M04.00S,2021-11-25T01:13:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,92.32917214191852,49.26470588235294,1610612740,9,2,2021-11-25T01:13:13Z,250000,-4.0,20.0,1,right,D. Graham cutting finger roll Layup (2 PTS) (J. Valanciunas 1 AST),"[1628984, 202685]",1610612740.0,NOP,cutting finger roll,,,Graham,D. Graham,,,,,1.99,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,,
27,PT09M53.00S,2021-11-25T01:13:19.9Z,1,REGULAR,3pt,Jump Shot,[],203484,21.107095926412615,89.95098039215686,1610612764,9,5,2021-11-25T01:13:24Z,270000,-200.0,146.0,1,left,K. Caldwell-Pope 24' 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[203484, 203915]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,24.74,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,,
29,PT09M31.00S,2021-11-25T01:13:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,92.72339027595268,46.32352941176471,1610612740,9,5,2021-11-25T01:15:02Z,290000,-18.0,16.0,1,right,MISS D. Graham driving Layup,[1628984],1610612740.0,NOP,driving,,,Graham,D. Graham,,,,,2.43,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M25.00S,2021-11-25T01:13:47.5Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,9,5,2021-11-25T01:13:51Z,300000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,
31,PT09M25.00S,2021-11-25T01:13:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,11,5,2021-11-25T01:13:48Z,310000,0.0,0.0,1,right,J. Valanciunas putback Layup (7 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,7.0,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2021-11-25T01:13:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,5.601182654402102,46.81372549019608,1610612764,11,5,2021-11-25T01:14:02Z,320000,16.0,0.0,1,left,MISS D. Gafford alley-oop Layup,[1629655],1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M13.00S,2021-11-25T01:13:59.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,5,2021-11-25T01:13:59Z,330000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,32.0,2.0,1.0,1.0,,,,,,
34,PT09M11.00S,2021-11-25T01:14:06.7Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612740,11,5,2021-11-25T01:14:13Z,340000,,,0,,B. Beal shooting personal FOUL (2 PF) (Hart 2 FT),"[203078, 1628404]",1610612764.0,WAS,shooting,,,Beal,B. Beal,,,,,,,,,,,203054.0,2.0,0.0,Hart,1628404.0,,,,,,,,,,
36,PT09M11.00S,2021-11-25T01:14:29.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628404,,,1610612740,12,5,2021-11-25T01:14:29Z,360000,,,0,,J. Hart Free Throw 1 of 2 (1 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
37,PT09M11.00S,2021-11-25T01:14:52.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628404,,,1610612740,13,5,2021-11-25T01:14:52Z,370000,,,0,,J. Hart Free Throw 2 of 2 (2 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
38,PT09M01.00S,2021-11-25T01:15:04.9Z,1,REGULAR,2pt,Jump Shot,[],203915,22.815374507227332,56.86274509803921,1610612764,13,5,2021-11-25T01:15:11Z,380000,-34.0,162.0,1,left,MISS S. Dinwiddie 16' pullup Shot,[203915],1610612764.0,WAS,pullup,,,Dinwiddie,S. Dinwiddie,,,,,16.56,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M58.00S,2021-11-25T01:15:07.9Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,13,5,2021-11-25T01:15:11Z,390000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT08M48.00S,2021-11-25T01:15:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,93.11760840998686,54.166666666666664,1610612740,15,5,2021-11-25T01:15:22Z,400000,21.0,12.0,1,right,D. Graham driving finger roll Layup (4 PTS),[1628984],1610612740.0,NOP,driving finger roll,,,Graham,D. Graham,,,,,2.41,Made,4.0,,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2021-11-25T01:15:28.3Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612764,15,5,2021-11-25T01:15:32Z,410000,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1628404]",1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,1.0,Hart,1628404.0,
42,PT08M38.00S,2021-11-25T01:15:28.3Z,1,REGULAR,steal,,[],1628404,,,1610612740,15,5,2021-11-25T01:15:29Z,420000,,,0,,J. Hart STEAL (1 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M34.00S,2021-11-25T01:15:37.8Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612740,15,5,2021-11-25T01:17:31Z,430000,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Ingram 2 FT),"[203915, 1627742]",1610612764.0,WAS,shooting,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,2715.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,
45,PT08M34.00S,2021-11-25T01:16:00.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627742,,,1610612740,16,5,2021-11-25T01:16:00Z,450000,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
46,PT08M34.00S,2021-11-25T01:16:01.4Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,16,5,2021-11-25T01:16:09Z,460000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M34.00S,2021-11-25T01:16:01.4Z,1,REGULAR,substitution,in,[],1630184,,,1610612740,16,5,2021-11-25T01:16:09Z,470000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M34.00S,2021-11-25T01:16:17.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627742,,,1610612740,17,5,2021-11-25T01:16:17Z,480000,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
49,PT08M17.00S,2021-11-25T01:16:37.1Z,1,REGULAR,3pt,Jump Shot,[],203078,27.020367936925098,19.362745098039216,1610612764,17,5,2021-11-25T01:16:43Z,490000,153.0,201.0,1,left,MISS B. Beal 25' 3PT,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M14.00S,2021-11-25T01:16:40.1Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,17,5,2021-11-25T01:16:43Z,500000,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,,
51,PT08M02.00S,2021-11-25T01:16:51.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,87.46714848883047,49.26470588235294,1610612740,19,5,2021-11-25T01:18:15Z,510000,-4.0,65.0,1,right,J. Valanciunas 6' Hook (9 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,6.54,Made,9.0,,,,,,,,,,,,,,,,,,
52,PT08M02.00S,2021-11-25T01:17:03.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,19,5,2021-11-25T01:17:03Z,520000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M02.00S,2021-11-25T01:19:25.5Z,1,REGULAR,substitution,out,[],1630184,,,1610612764,19,5,2021-11-25T01:19:42Z,530000,,,0,,SUB out: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M02.00S,2021-11-25T01:19:25.5Z,1,REGULAR,substitution,in,[],1628984,,,1610612764,19,5,2021-11-25T01:19:42Z,540000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M42.00S,2021-11-25T01:20:28.0Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612764,19,5,2021-11-25T01:20:36Z,560000,,,0,,J. Hart shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1628404, 203915]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,203592.0,1.0,0.0,Dinwiddie,203915.0,,,,,,,,,,
58,PT07M42.00S,2021-11-25T01:20:38.4Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612764,19,5,2021-11-25T01:20:38Z,580000,,,0,,MISS S. Dinwiddie Free Throw 1 of 2,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M42.00S,2021-11-25T01:20:38.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,19,5,2021-11-25T01:20:38Z,590000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,
60,PT07M42.00S,2021-11-25T01:20:50.9Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612764,19,6,2021-11-25T01:20:51Z,600000,,,0,,S. Dinwiddie Free Throw 2 of 2 (1 PTS),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2021-11-25T01:21:16.4Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612740,19,6,2021-11-25T01:21:23Z,610000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[1629655, 202685]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,2715.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,
63,PT07M22.00S,2021-11-25T01:21:44.8Z,1,REGULAR,freethrow,1 of 2,[],202685,,,1610612740,20,6,2021-11-25T01:21:44Z,630000,,,0,,J. Valanciunas Free Throw 1 of 2 (10 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
64,PT07M22.00S,2021-11-25T01:22:02.3Z,1,REGULAR,freethrow,2 of 2,[],202685,,,1610612740,21,6,2021-11-25T01:22:02Z,640000,,,0,,J. Valanciunas Free Throw 2 of 2 (11 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,11.0,,,,,,,,,,,,,,,,,,
65,PT07M05.00S,2021-11-25T01:22:20.6Z,1,REGULAR,3pt,Jump Shot,[],203078,19.136005256241788,94.85294117647058,1610612764,21,6,2021-11-25T01:22:29Z,650000,-224.0,127.0,1,left,MISS B. Beal 25' 3PT,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M58.00S,2021-11-25T01:22:27.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,21,6,2021-11-25T01:22:29Z,660000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,65.0,3.0,2.0,1.0,,,,,,
67,PT06M54.00S,2021-11-25T01:22:30.2Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628984,79.97700394218134,25.98039215686275,1610612740,21,6,2021-11-25T01:22:41Z,670000,-120.0,136.0,1,right,MISS D. Graham 18' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,18.12,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2021-11-25T01:22:33.4Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612740,21,6,2021-11-25T01:22:33Z,680000,,,0,,B. Ingram REBOUND (Off:1 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,67.0,2.0,1.0,1.0,,,,,,
69,PT06M48.00S,2021-11-25T01:22:36.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630529,78.26872536136662,83.33333333333334,1610612740,21,6,2021-11-25T01:22:47Z,690000,167.0,152.0,1,right,MISS H. Jones 22' Jump Shot,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M46.00S,2021-11-25T01:22:38.7Z,1,REGULAR,rebound,defensive,[],203915,,,1610612764,21,6,2021-11-25T01:22:47Z,700000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,
71,PT06M39.00S,2021-11-25T01:22:55.3Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612764,21,6,2021-11-25T01:23:04Z,710000,,,0,,B. Ingram shooting personal FOUL (1 PF) (Dinwiddie 2 FT),"[1627742, 203915]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,2715.0,1.0,0.0,Dinwiddie,203915.0,,,,,,,,,,
73,PT06M39.00S,2021-11-25T01:23:09.7Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612764,21,7,2021-11-25T01:23:09Z,730000,,,0,,S. Dinwiddie Free Throw 1 of 2 (2 PTS),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
74,PT06M39.00S,2021-11-25T01:23:10.6Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,21,7,2021-11-25T01:23:18Z,740000,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M39.00S,2021-11-25T01:23:10.6Z,1,REGULAR,substitution,in,[],1626149,,,1610612764,21,7,2021-11-25T01:23:18Z,750000,,,0,,SUB in: M. Harrell,[1626149],1610612764.0,WAS,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M39.00S,2021-11-25T01:23:27.7Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612764,21,8,2021-11-25T01:23:27Z,760000,,,0,,S. Dinwiddie Free Throw 2 of 2 (3 PTS),[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
77,PT06M27.00S,2021-11-25T01:23:41.0Z,1,REGULAR,2pt,Jump Shot,[],1627742,93.38042049934296,73.2843137254902,1610612740,23,8,2021-11-25T01:23:47Z,770000,116.0,10.0,1,right,B. Ingram 11' turnaround Jump Shot (4 PTS) (J. Hart 1 AST),"[1627742, 1628404]",1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,11.68,Made,4.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,,
79,PT06M13.00S,2021-11-25T01:23:59.0Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612764,23,8,2021-11-25T01:24:18Z,790000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Beal 2 FT),"[202685, 203078]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,203592.0,1.0,0.0,Beal,203078.0,,,,,,,,,,
81,PT06M13.00S,2021-11-25T01:24:21.6Z,1,REGULAR,freethrow,1 of 2,[],203078,,,1610612764,23,8,2021-11-25T01:24:21Z,810000,,,0,,MISS B. Beal Free Throw 1 of 2,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,Missed,,,,,,,,,,,,,,,,,,,
82,PT06M13.00S,2021-11-25T01:24:21.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,23,8,2021-11-25T01:24:21Z,820000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,
83,PT06M13.00S,2021-11-25T01:24:23.0Z,1,REGULAR,substitution,out,[],203915,,,1610612764,23,8,2021-11-25T01:24:30Z,830000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M13.00S,2021-11-25T01:24:23.0Z,1,REGULAR,substitution,in,[],203526,,,1610612764,23,8,2021-11-25T01:24:30Z,840000,,,0,,SUB in: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M13.00S,2021-11-25T01:24:41.5Z,1,REGULAR,freethrow,2 of 2,[],203078,,,1610612764,23,9,2021-11-25T01:24:41Z,850000,,,0,,B. Beal Free Throw 2 of 2 (3 PTS),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
86,PT06M01.00S,2021-11-25T01:24:54.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,76.16622864651774,50.0,1610612740,25,9,2021-11-25T01:25:04Z,860000,0.0,172.0,1,right,B. Ingram 17' turnaround Jump Shot (6 PTS) (J. Hart 2 AST),"[1627742, 1628404]",1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,17.15,Made,6.0,J. Hart,1628404.0,2.0,,,,,,,,,,,,,,,
88,PT05M43.00S,2021-11-25T01:25:12.8Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,25,9,2021-11-25T01:25:18Z,880000,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1628404]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,1.0,Hart,1628404.0,
89,PT05M43.00S,2021-11-25T01:25:12.8Z,1,REGULAR,steal,,[],1628404,,,1610612740,25,9,2021-11-25T01:25:15Z,890000,,,0,,J. Hart STEAL (2 STL),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M36.00S,2021-11-25T01:25:19.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,67.23061760840999,53.67647058823529,1610612740,25,9,2021-11-25T01:25:27Z,900000,18.0,256.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
